"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	""	""	"ANWAR ALI KHAN"	""	"BIRBHADRA YASHRAJ"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"10"	"7A"	""	""	"131"	""	"79"	""	""	"68"	""	""	"19"	""	""	"4"	""	""	""	"8"	""	""	"4"	""	""	"5"	""	""	"3"	""	""	""	"19"	""	""	""	"340"	""	""	""	"0"	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""
"18"	"11"	"8"	""	""	"143"	""	"111"	""	""	"275"	""	""	"14"	""	""	"11"	""	""	""	"17"	""	""	"6"	""	""	"8"	""	""	"5"	""	""	""	"15"	""	""	""	"605"	""	""	""	"0"	""	""	""	"605"	""	""	""	""	""	""	""	""	""	""	""
"19"	"12"	"9"	""	""	"119"	""	"163"	""	""	"75"	""	""	"7"	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	""	"4"	""	""	""	"383"	""	""	""	"0"	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""
"20"	"13"	"10"	""	""	"135"	""	"34"	""	""	"61"	""	""	"7"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"5"	""	""	""	"245"	""	""	""	"0"	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""	""
"21"	"14"	"11"	""	""	"3"	""	"183"	""	""	"85"	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"278"	""	""	""	"0"	""	""	""	"278"	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	""	""	"1012"	""	"1843"	""	""	"1492"	""	""	"130"	""	""	"43"	""	""	""	"67"	""	""	"40"	""	""	"33"	""	""	"45"	""	""	""	"116"	""	""	""	"4821"	""	""	""	"0"	""	""	""	"4821"	""	""	""	""	""	""	""	""	""	""	""
"23"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Round No. ……              2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"32"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	"16"	""	""	""	""	""	""
"34"	"1"	"12"	""	""	"54"	""	""	"163"	""	"187"	""	""	"28"	""	""	""	"6"	""	""	""	"7"	""	""	"9"	""	""	"12"	""	""	""	"23"	""	""	"51"	""	""	""	""	"540"	""	""	""	"0"	""	""	""	"540"	""	""	""	""	""	""	""	""	""
"35"	"2"	"13"	""	""	"124"	""	""	"12"	""	"204"	""	""	"16"	""	""	""	"7"	""	""	""	"6"	""	""	"6"	""	""	"8"	""	""	""	"5"	""	""	"19"	""	""	""	""	"407"	""	""	""	"0"	""	""	""	"407"	""	""	""	""	""	""	""	""	""
"36"	"3"	"14"	""	""	"96"	""	""	"96"	""	"198"	""	""	"17"	""	""	""	"7"	""	""	""	"6"	""	""	"5"	""	""	"8"	""	""	""	"9"	""	""	"20"	""	""	""	""	"462"	""	""	""	"0"	""	""	""	"462"	""	""	""	""	""	""	""	""	""
"37"	"4"	"15"	""	""	"19"	""	""	"103"	""	"76"	""	""	"8"	""	""	""	"5"	""	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	"14"	""	""	""	""	"231"	""	""	""	"0"	""	""	""	"231"	""	""	""	""	""	""	""	""	""
"38"	"5"	"16"	""	""	"64"	""	""	"11"	""	"85"	""	""	"12"	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"6"	""	""	""	"1"	""	""	"3"	""	""	""	""	"187"	""	""	""	"0"	""	""	""	"187"	""	""	""	""	""	""	""	""	""
"39"	"6"	"17"	""	""	"4"	""	""	"93"	""	"95"	""	""	"18"	""	""	""	"5"	""	""	""	"0"	""	""	"3"	""	""	"5"	""	""	""	"3"	""	""	"6"	""	""	""	""	"232"	""	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""	""	""
"40"	"7"	"18"	""	""	"99"	""	""	"17"	""	"163"	""	""	"22"	""	""	""	"7"	""	""	""	"8"	""	""	"1"	""	""	"3"	""	""	""	"2"	""	""	"9"	""	""	""	""	"331"	""	""	""	"0"	""	""	""	"331"	""	""	""	""	""	""	""	""	""
"41"	"8"	"19"	""	""	"197"	""	""	"15"	""	"133"	""	""	"18"	""	""	""	"5"	""	""	""	"8"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	""	""	"382"	""	""	""	"0"	""	""	""	"382"	""	""	""	""	""	""	""	""	""
"42"	"9"	"20"	""	""	"15"	""	""	"11"	""	"210"	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	""	"250"	""	""	""	"0"	""	""	""	"250"	""	""	""	""	""	""	""	""	""
"43"	"10"	"21"	""	""	"232"	""	""	"122"	""	"77"	""	""	"22"	""	""	""	"5"	""	""	""	"15"	""	""	"2"	""	""	"2"	""	""	""	"2"	""	""	"22"	""	""	""	""	"501"	""	""	""	"0"	""	""	""	"501"	""	""	""	""	""	""	""	""	""
"44"	"11"	"22"	""	""	"59"	""	""	"204"	""	"59"	""	""	"17"	""	""	""	"2"	""	""	""	"5"	""	""	"0"	""	""	"2"	""	""	""	"4"	""	""	"3"	""	""	""	""	"355"	""	""	""	"0"	""	""	""	"355"	""	""	""	""	""	""	""	""	""
"45"	"12"	"22A"	""	""	"15"	""	""	"181"	""	"11"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	""	""	"214"	""	""	""	"0"	""	""	""	"214"	""	""	""	""	""	""	""	""	""
"46"	"13"	"23"	""	""	"124"	""	""	"127"	""	"62"	""	""	"58"	""	""	""	"3"	""	""	""	"4"	""	""	"3"	""	""	"1"	""	""	""	"6"	""	""	"8"	""	""	""	""	"396"	""	""	""	"0"	""	""	""	"396"	""	""	""	""	""	""	""	""	""
"47"	"14"	"24"	""	""	"68"	""	""	"139"	""	"26"	""	""	"37"	""	""	""	"4"	""	""	""	"2"	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	"1"	""	""	""	""	"285"	""	""	""	"0"	""	""	""	"285"	""	""	""	""	""	""	""	""	""
"48"	"Total"	""	""	""	"1170"	""	""	"1294"	""	"1586"	""	""	"280"	""	""	""	"59"	""	""	""	"68"	""	""	"33"	""	""	"54"	""	""	""	"66"	""	""	"163"	""	""	""	""	"4773"	""	""	""	"0"	""	""	""	"4773"	""	""	""	""	""	""	""	""	""
"49"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"53"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"55"	"1"	"25"	""	""	"95"	""	""	"52"	""	"44"	""	""	"19"	""	""	""	"3"	""	""	""	"6"	""	""	"4"	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	"230"	""	""	""	"0"	""	""	""	"230"	""	""	""	""	""	""	""	""	""
"56"	"2"	"26"	""	""	"20"	""	""	"164"	""	"80"	""	""	"8"	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	""	"282"	""	""	""	"0"	""	""	""	"282"	""	""	""	""	""	""	""	""	""
"57"	"3"	"27"	""	""	"34"	""	""	"212"	""	"20"	""	""	"5"	""	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	"3"	""	""	""	"9"	""	""	""	"8"	""	""	""	"300"	""	""	""	"0"	""	""	""	"300"	""	""	""	""	""	""	""	""	""
"58"	"4"	"27A"	""	""	"34"	""	""	"83"	""	"90"	""	""	"37"	""	""	""	"1"	""	""	""	"4"	""	""	"2"	""	""	"2"	""	""	""	"7"	""	""	""	"4"	""	""	""	"264"	""	""	""	"0"	""	""	""	"264"	""	""	""	""	""	""	""	""	""
"59"	"5"	"28"	""	""	"82"	""	""	"160"	""	"118"	""	""	"43"	""	""	""	"5"	""	""	""	"4"	""	""	"3"	""	""	"2"	""	""	""	"4"	""	""	""	"11"	""	""	""	"432"	""	""	""	"0"	""	""	""	"432"	""	""	""	""	""	""	""	""	""
"60"	"6"	"29"	""	""	"13"	""	""	"176"	""	"91"	""	""	"13"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"4"	""	""	""	"3"	""	""	""	"2"	""	""	""	"303"	""	""	""	"0"	""	""	""	"303"	""	""	""	""	""	""	""	""	""
"61"	"7"	"30"	""	""	"12"	""	""	"100"	""	"110"	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	"233"	""	""	""	"0"	""	""	""	"233"	""	""	""	""	""	""	""	""	""
"62"	"8"	"31"	""	""	"78"	""	""	"186"	""	"100"	""	""	"38"	""	""	""	"2"	""	""	""	"4"	""	""	"2"	""	""	"1"	""	""	""	"6"	""	""	""	"3"	""	""	""	"420"	""	""	""	"0"	""	""	""	"420"	""	""	""	""	""	""	""	""	""
"63"	"9"	"32"	""	""	"124"	""	""	"91"	""	"183"	""	""	"16"	""	""	""	"6"	""	""	""	"16"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	"26"	""	""	""	"477"	""	""	""	"0"	""	""	""	"477"	""	""	""	""	""	""	""	""	""
"64"	"10"	"33"	""	""	"54"	""	""	"182"	""	"36"	""	""	"9"	""	""	""	"3"	""	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	""	"301"	""	""	""	"0"	""	""	""	"301"	""	""	""	""	""	""	""	""	""
"65"	"11"	"34"	""	""	"126"	""	""	"16"	""	"72"	""	""	"11"	""	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"5"	""	""	""	"237"	""	""	""	"0"	""	""	""	"237"	""	""	""	""	""	""	""	""	""
"66"	"12"	"34A"	""	""	"93"	""	""	"3"	""	"96"	""	""	"7"	""	""	""	"4"	""	""	""	"3"	""	""	"0"	""	""	"2"	""	""	""	"7"	""	""	""	"15"	""	""	""	"230"	""	""	""	"0"	""	""	""	"230"	""	""	""	""	""	""	""	""	""
"67"	"13"	"35"	""	""	"117"	""	""	"281"	""	"78"	""	""	"84"	""	""	""	"5"	""	""	""	"8"	""	""	"2"	""	""	"4"	""	""	""	"13"	""	""	""	"22"	""	""	""	"614"	""	""	""	"0"	""	""	""	"614"	""	""	""	""	""	""	""	""	""
"68"	"14"	"36"	""	""	"192"	""	""	"146"	""	"48"	""	""	"28"	""	""	""	"10"	""	""	""	"12"	""	""	"8"	""	""	"4"	""	""	""	"7"	""	""	""	"19"	""	""	""	"474"	""	""	""	"0"	""	""	""	"474"	""	""	""	""	""	""	""	""	""
"69"	"Total"	""	""	""	"1074"	""	""	"1852"	""	"1166"	""	""	"319"	""	""	""	"47"	""	""	""	"73"	""	""	"27"	""	""	"33"	""	""	""	"81"	""	""	""	"125"	""	""	""	"4797"	""	""	""	"0"	""	""	""	"4797"	""	""	""	""	""	""	""	""	""
"70"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"74"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"76"	"1"	"37"	""	""	"107"	""	""	"175"	""	"82"	""	""	"19"	""	""	""	"3"	""	""	""	"14"	""	""	"2"	""	""	"7"	""	""	""	"3"	""	""	""	"8"	""	""	""	"420"	""	""	""	"0"	""	""	""	"420"	""	""	""	""	""	""	""	""	""
"77"	"2"	"38"	""	""	"8"	""	""	"164"	""	"75"	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	"260"	""	""	""	"0"	""	""	""	"260"	""	""	""	""	""	""	""	""	""
"78"	"3"	"39"	""	""	"84"	""	""	"75"	""	"124"	""	""	"31"	""	""	""	"9"	""	""	""	"9"	""	""	"0"	""	""	"6"	""	""	""	"8"	""	""	""	"10"	""	""	""	"356"	""	""	""	"0"	""	""	""	"356"	""	""	""	""	""	""	""	""	""
"79"	"4"	"40"	""	""	"39"	""	""	"105"	""	"90"	""	""	"8"	""	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	"4"	""	""	""	"1"	""	""	""	"11"	""	""	""	"262"	""	""	""	"0"	""	""	""	"262"	""	""	""	""	""	""	""	""	""
"80"	"5"	"41"	""	""	"83"	""	""	"120"	""	"27"	""	""	"3"	""	""	""	"2"	""	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"243"	""	""	""	"0"	""	""	""	"243"	""	""	""	""	""	""	""	""	""
"81"	"6"	"42"	""	""	"85"	""	""	"146"	""	"121"	""	""	"26"	""	""	""	"6"	""	""	""	"4"	""	""	"1"	""	""	"6"	""	""	""	"4"	""	""	""	"24"	""	""	""	"423"	""	""	""	"0"	""	""	""	"423"	""	""	""	""	""	""	""	""	""
