"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                                          177-RAJGIR"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"57"	"48"	"104"	"11"	"6"	"215"	"5"	"1"	"1"	"3"	"0"	"346"	"346"	"0"
"58"	"49"	"106"	"16"	"4"	"105"	"8"	"3"	"3"	"10"	"0"	"255"	"255"	"0"
"59"	"50"	"58"	"14"	"4"	"224"	"13"	"1"	"3"	"7"	"0"	"324"	"324"	"0"
"60"	"51"	"130"	"16"	"7"	"119"	"5"	"3"	"1"	"8"	"0"	"289"	"289"	"0"
"61"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"63"	"52"	"74"	"19"	"3"	"143"	"5"	"0"	"1"	"3"	"0"	"248"	"248"	"0"
"64"	"53"	"56"	"8"	"4"	"140"	"11"	"3"	"1"	"14"	"0"	"237"	"237"	"0"
"65"	"54"	"59"	"6"	"3"	"233"	"7"	"1"	"10"	"18"	"0"	"337"	"337"	"0"
"66"	"55"	"47"	"16"	"3"	"274"	"8"	"3"	"2"	"11"	"0"	"364"	"364"	"0"
"67"	"56"	"65"	"32"	"2"	"28"	"4"	"1"	"5"	"1"	"0"	"138"	"138"	"0"
"68"	"57"	"26"	"20"	"3"	"156"	"7"	"1"	"1"	"2"	"0"	"216"	"216"	"0"
"69"	"58"	"64"	"29"	"3"	"54"	"4"	"3"	"1"	"4"	"0"	"162"	"162"	"0"
"70"	"59"	"4"	"2"	"0"	"349"	"3"	"0"	"3"	"1"	"0"	"362"	"362"	"0"
"71"	"60"	"7"	"17"	"1"	"262"	"3"	"2"	"2"	"1"	"0"	"295"	"295"	"0"
"72"	"61"	"44"	"10"	"0"	"151"	"3"	"1"	"1"	"6"	"0"	"216"	"216"	"0"
"73"	"62"	"69"	"18"	"10"	"229"	"8"	"2"	"2"	"22"	"0"	"360"	"360"	"0"
"74"	"63"	"25"	"24"	"4"	"89"	"6"	"2"	"5"	"15"	"0"	"170"	"170"	"0"
"75"	"64"	"20"	"12"	"4"	"282"	"6"	"2"	"0"	"5"	"0"	"331"	"331"	"0"
"76"	"65"	"26"	"3"	"3"	"73"	"2"	"0"	"0"	"0"	"0"	"107"	"107"	"0"
"77"	"66"	"14"	"40"	"5"	"112"	"50"	"0"	"1"	"8"	"0"	"230"	"230"	"0"
"78"	"67"	"32"	"85"	"7"	"185"	"10"	"6"	"7"	"7"	"0"	"339"	"339"	"0"
"79"	"68"	"33"	"189"	"15"	"39"	"10"	"3"	"9"	"3"	"0"	"301"	"301"	"0"
"80"	"69"	"39"	"101"	"17"	"225"	"18"	"10"	"8"	"25"	"0"	"443"	"443"	"0"
"81"	"70"	"27"	"107"	"12"	"96"	"8"	"5"	"6"	"16"	"0"	"277"	"277"	"0"
"82"	"71"	"21"	"182"	"4"	"118"	"8"	"3"	"9"	"11"	"0"	"356"	"356"	"0"
"83"	"72"	"30"	"85"	"8"	"115"	"6"	"2"	"5"	"8"	"0"	"259"	"259"	"0"
"84"	"73"	"126"	"37"	"8"	"108"	"16"	"5"	"7"	"8"	"0"	"315"	"315"	"0"
"85"	"74"	"24"	"118"	"7"	"70"	"10"	"5"	"2"	"4"	"0"	"240"	"240"	"0"
"86"	"75"	"13"	"68"	"1"	"70"	"6"	"1"	"4"	"2"	"0"	"165"	"165"	"0"
"87"	"75A"	"32"	"118"	"9"	"83"	"5"	"3"	"3"	"6"	"0"	"259"	"259"	"0"
"88"	"76"	"92"	"13"	"5"	"217"	"20"	"2"	"1"	"7"	"0"	"357"	"357"	"0"
"89"	"77"	"66"	"19"	"10"	"120"	"11"	"6"	"3"	"7"	"0"	"242"	"242"	"0"
"90"	"78"	"28"	"24"	"3"	"224"	"4"	"5"	"0"	"1"	"0"	"289"	"289"	"0"
"91"	"79"	"18"	"14"	"0"	"259"	"4"	"0"	"0"	"1"	"0"	"296"	"296"	"0"
"92"	"80"	"57"	"12"	"3"	"209"	"9"	"2"	"1"	"10"	"0"	"303"	"303"	"0"
"93"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"95"	"81"	"21"	"9"	"1"	"290"	"23"	"1"	"1"	"1"	"0"	"347"	"347"	"0"
"96"	"82"	"29"	"14"	"1"	"152"	"3"	"2"	"4"	"4"	"0"	"209"	"209"	"0"
"97"	"83"	"96"	"39"	"6"	"186"	"7"	"5"	"6"	"22"	"0"	"367"	"367"	"0"
"98"	"84"	"75"	"26"	"10"	"360"	"17"	"2"	"6"	"19"	"0"	"515"	"515"	"0"
"99"	"85"	"51"	"49"	"3"	"268"	"8"	"3"	"6"	"12"	"0"	"400"	"400"	"0"
"100"	"86"	"144"	"24"	"11"	"247"	"18"	"5"	"10"	"12"	"0"	"471"	"471"	"0"
"101"	"87"	"17"	"51"	"4"	"176"	"4"	"2"	"1"	"4"	"0"	"259"	"259"	"0"
"102"	"88"	"64"	"21"	"4"	"160"	"5"	"4"	"0"	"2"	"0"	"260"	"260"	"0"
"103"	"89"	"43"	"25"	"5"	"203"	"11"	"5"	"3"	"13"	"0"	"308"	"308"	"0"
"104"	"90"	"15"	"93"	"7"	"190"	"9"	"4"	"5"	"6"	"0"	"329"	"329"	"0"
"105"	"91"	"8"	"14"	"4"	"107"	"31"	"2"	"2"	"4"	"0"	"172"	"172"	"0"
"106"	"92"	"106"	"28"	"4"	"82"	"3"	"0"	"3"	"1"	"0"	"227"	"227"	"0"
"107"	"93"	"44"	"12"	"4"	"238"	"7"	"3"	"1"	"5"	"0"	"314"	"314"	"0"
"108"	"94"	"115"	"10"	"6"	"200"	"12"	"3"	"4"	"12"	"0"	"362"	"362"	"0"
"109"	"95"	"11"	"12"	"3"	"241"	"6"	"6"	"5"	"1"	"0"	"285"	"285"	"0"
"110"	"96"	"65"	"9"	"4"	"133"	"5"	"5"	"4"	"21"	"0"	"246"	"246"	"0"
"111"	"97"	"81"	"30"	"9"	"273"	"28"	"4"	"5"	"14"	"0"	"444"	"444"	"0"
"112"	"98"	"121"	"13"	"1"	"268"	"12"	"4"	"3"	"3"	"0"	"425"	"425"	"0"
"113"	"99"	"21"	"15"	"4"	"160"	"2"	"0"	"0"	"1"	"0"	"203"	"203"	"0"
"114"	"100"	"36"	"9"	"3"	"208"	"7"	"2"	"1"	"5"	"0"	"271"	"271"	"0"
"115"	"101"	"107"	"24"	"4"	"143"	"26"	"3"	"4"	"16"	"0"	"327"	"327"	"0"
"116"	"102"	"73"	"16"	"6"	"210"	"31"	"9"	"9"	"23"	"0"	"377"	"377"	"0"
"117"	"103"	"152"	"23"	"3"	"130"	"3"	"1"	"6"	"11"	"0"	"329"	"329"	"0"
"118"	"104"	"31"	"145"	"8"	"181"	"8"	"1"	"8"	"14"	"0"	"396"	"396"	"0"
"119"	"105"	"30"	"41"	"7"	"92"	"11"	"4"	"4"	"18"	"0"	"207"	"207"	"0"
"120"	"106"	"25"	"95"	"11"	"150"	"10"	"1"	"4"	"14"	"0"	"310"	"310"	"0"
"121"	"107"	"60"	"40"	"7"	"118"	"9"	"5"	"9"	"33"	"0"	"281"	"281"	"0"
"122"	"108"	"87"	"138"	"3"	"63"	"16"	"2"	"7"	"12"	"0"	"328"	"328"	"0"
"123"	"109"	"21"	"31"	"14"	"450"	"10"	"1"	"0"	"4"	"0"	"531"	"531"	"0"
"124"	"110"	"79"	"68"	"9"	"182"	"11"	"3"	"20"	"17"	"0"	"389"	"389"	"0"
"125"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"127"	"111"	"65"	"32"	"6"	"268"	"9"	"2"	"4"	"8"	"0"	"394"	"394"	"0"
"128"	"112"	"30"	"40"	"3"	"228"	"8"	"4"	"4"	"6"	"0"	"323"	"323"	"0"
"129"	"113"	"25"	"35"	"7"	"140"	"7"	"4"	"2"	"9"	"0"	"229"	"229"	"0"
"130"	"114"	"42"	"92"	"2"	"206"	"24"	"1"	"6"	"2"	"0"	"375"	"375"	"0"
"131"	"115"	"31"	"49"	"6"	"136"	"7"	"1"	"2"	"5"	"0"	"237"	"237"	"0"
"132"	"115A"	"33"	"38"	"5"	"148"	"2"	"1"	"6"	"4"	"0"	"237"	"237"	"0"
"133"	"116"	"92"	"82"	"4"	"133"	"8"	"3"	"6"	"9"	"0"	"337"	"337"	"0"
"134"	"117"	"113"	"47"	"5"	"281"	"12"	"3"	"4"	"12"	"0"	"477"	"477"	"0"
"135"	"118"	"21"	"123"	"4"	"154"	"15"	"6"	"11"	"11"	"0"	"345"	"345"	"0"
"136"	"119"	"20"	"32"	"10"	"41"	"173"	"19"	"8"	"13"	"0"	"316"	"316"	"0"
"137"	"120"	"9"	"43"	"2"	"180"	"6"	"0"	"3"	"1"	"0"	"244"	"244"	"0"
"138"	"120A"	"18"	"34"	"10"	"198"	"3"	"1"	"4"	"3"	"0"	"271"	"271"	"0"
"139"	"121"	"31"	"31"	"6"	"224"	"6"	"2"	"2"	"7"	"0"	"309"	"309"	"0"
"140"	"122"	"13"	"118"	"5"	"146"	"3"	"3"	"1"	"5"	"0"	"294"	"294"	"0"
"141"	"123"	"66"	"424"	"12"	"16"	"8"	"10"	"19"	"15"	"0"	"570"	"570"	"0"
"142"	"124"	"16"	"13"	"2"	"121"	"36"	"4"	"3"	"3"	"0"	"198"	"198"	"0"
"143"	"125"	"15"	"28"	"2"	"178"	"6"	"2"	"6"	"4"	"0"	"241"	"241"	"0"
"144"	"126"	"42"	"51"	"7"	"224"	"20"	"10"	"16"	"14"	"0"	"384"	"384"	"0"
"145"	"127"	"55"	"53"	"5"	"171"	"8"	"1"	"8"	"1"	"0"	"302"	"302"	"0"
"146"	"128"	"48"	"99"	"8"	"58"	"3"	"2"	"7"	"7"	"0"	"232"	"232"	"0"
"147"	"129"	"22"	"5"	"26"	"328"	"10"	"1"	"4"	"11"	"0"	"407"	"407"	"0"
"148"	"130"	"27"	"54"	"7"	"111"	"11"	"1"	"1"	"4"	"0"	"216"	"216"	"0"
"149"	"131"	"143"	"55"	"20"	"125"	"5"	"1"	"1"	"2"	"0"	"352"	"352"	"0"
"150"	"132"	"24"	"31"	"3"	"97"	"1"	"3"	"0"	"5"	"0"	"164"	"164"	"0"
"151"	"133"	"43"	"13"	"0"	"325"	"9"	"4"	"0"	"10"	"0"	"404"	"404"	"0"
"152"	"134"	"79"	"59"	"10"	"88"	"4"	"3"	"5"	"20"	"0"	"268"	"268"	"0"
"153"	"135"	"22"	"65"	"7"	"105"	"11"	"0"	"7"	"2"	"0"	"219"	"219"	"0"
"154"	"136"	"27"	"23"	"5"	"204"	"10"	"3"	"4"	"3"	"0"	"279"	"279"	"0"
"155"	"137"	"24"	"24"	"8"	"180"	"2"	"1"	"0"	"5"	"0"	"244"	"244"	"0"
"156"	"138"	"38"	"29"	"5"	"194"	"6"	"1"	"3"	"5"	"0"	"281"	"281"	"0"
"157"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"159"	"139"	"139"	"15"	"34"	"96"	"3"	"0"	"2"	"3"	"0"	"292"	"292"	"0"
"160"	"140"	"55"	"12"	"7"	"306"	"10"	"4"	"2"	"9"	"0"	"405"	"405"	"0"
"161"	"141"	"13"	"220"	"10"	"14"	"1"	"3"	"9"	"7"	"0"	"277"	"277"	"0"
"162"	"142"	"21"	"33"	"6"	"105"	"6"	"2"	"6"	"8"	"0"	"187"	"187"	"0"
"163"	"143"	"18"	"117"	"4"	"2"	"10"	"0"	"2"	"2"	"0"	"155"	"155"	"0"
"164"	"144"	"34"	"66"	"4"	"86"	"10"	"0"	"6"	"6"	"0"	"212"	"212"	"0"
"165"	"145"	"54"	"53"	"5"	"86"	"5"	"1"	"3"	"8"	"0"	"215"	"215"	"0"
"166"	"146"	"23"	"197"	"18"	"1"	"10"	"4"	"7"	"5"	"0"	"265"	"265"	"0"
"167"	"147"	"36"	"20"	"4"	"168"	"19"	"2"	"4"	"6"	"0"	"259"	"259"	"0"
"168"	"148"	"32"	"15"	"3"	"175"	"6"	"2"	"2"	"3"	"0"	"238"	"238"	"0"
"169"	"149"	"118"	"15"	"3"	"60"	"1"	"2"	"5"	"9"	"0"	"213"	"213"	"0"
"170"	"150"	"28"	"5"	"15"	"231"	"8"	"6"	"2"	"6"	"0"	"301"	"301"	"0"
"171"	"151"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"172"	"152"	"19"	"9"	"8"	"423"	"15"	"2"	"3"	"5"	"0"	"484"	"484"	"0"
"173"	"153"	"5"	"28"	"4"	"99"	"3"	"0"	"3"	"3"	"0"	"145"	"145"	"0"
"174"	"154"	"9"	"1"	"2"	"282"	"5"	"5"	"3"	"6"	"0"	"313"	"313"	"0"
"175"	"155"	"29"	"9"	"8"	"249"	"10"	"2"	"3"	"11"	"0"	"321"	"321"	"0"
"176"	"156"	"22"	"10"	"3"	"245"	"11"	"9"	"0"	"14"	"0"	"314"	"314"	"0"
"177"	"157"	"21"	"3"	"8"	"403"	"8"	"4"	"0"	"7"	"0"	"454"	"454"	"0"
"178"	"158"	"7"	"1"	"0"	"260"	"3"	"1"	"0"	"0"	"0"	"272"	"272"	"0"
"179"	"159"	"9"	"3"	"3"	"340"	"14"	"5"	"2"	"5"	"0"	"381"	"381"	"0"
"180"	"160"	"19"	"14"	"6"	"240"	"8"	"3"	"3"	"4"	"0"	"297"	"297"	"0"
"181"	"161"	"43"	"11"	"7"	"300"	"17"	"3"	"3"	"2"	"0"	"386"	"386"	"0"
"182"	"162"	"43"	"235"	"13"	"3"	"27"	"5"	"10"	"5"	"0"	"341"	"341"	"0"
"183"	"163"	"48"	"179"	"8"	"50"	"20"	"4"	"11"	"12"	"0"	"332"	"332"	"0"
"184"	"164"	"33"	"167"	"5"	"30"	"27"	"2"	"14"	"16"	"0"	"294"	"294"	"0"
"185"	"165"	"35"	"148"	"4"	"60"	"29"	"1"	"1"	"2"	"0"	"280"	"280"	"0"
"186"	"166"	"22"	"47"	"9"	"242"	"28"	"1"	"2"	"5"	"0"	"356"	"356"	"0"
"187"	"167"	"55"	"42"	"14"	"287"	"65"	"6"	"5"	"20"	"0"	"494"	"494"	"0"
"188"	"168"	"141"	"10"	"10"	"174"	"3"	"1"	"0"	"2"	"0"	"341"	"341"	"0"
"189"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"190"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"191"	"169"	"15"	"49"	"1"	"85"	"26"	"4"	"2"	"6"	"0"	"188"	"188"	"0"
"192"	"170"	"51"	"73"	"8"	"87"	"33"	"5"	"4"	"11"	"0"	"272"	"272"	"0"
"193"	"171"	"12"	"64"	"4"	"253"	"7"	"3"	"3"	"2"	"0"	"348"	"348"	"0"
"194"	"172"	"25"	"112"	"6"	"160"	"3"	"1"	"6"	"2"	"0"	"315"	"315"	"0"
"195"	"173"	"10"	"28"	"2"	"46"	"1"	"0"	"3"	"2"	"0"	"92"	"92"	"0"
"196"	"174"	"209"	"81"	"7"	"279"	"11"	"4"	"4"	"8"	"0"	"603"	"603"	"0"
"197"	"175"	"131"	"91"	"12"	"136"	"13"	"4"	"7"	"16"	"0"	"410"	"410"	"0"
"198"	"176"	"99"	"30"	"6"	"262"	"9"	"1"	"5"	"6"	"0"	"418"	"418"	"0"
"199"	"177"	"77"	"78"	"10"	"144"	"4"	"3"	"1"	"11"	"0"	"328"	"328"	"0"
"200"	"178"	"65"	"35"	"4"	"211"	"21"	"3"	"5"	"6"	"0"	"350"	"350"	"0"
"201"	"179"	"9"	"67"	"5"	"44"	"4"	"1"	"3"	"3"	"0"	"136"	"136"	"0"
"202"	"180"	"13"	"90"	"2"	"44"	"17"	"1"	"1"	"6"	"0"	"174"	"174"	"0"
"203"	"181"	"6"	"2"	"1"	"212"	"3"	"0"	"1"	"3"	"0"	"228"	"228"	"0"
"204"	"182"	"26"	"7"	"2"	"86"	"6"	"3"	"1"	"1"	"0"	"132"	"132"	"0"
"205"	"183"	"24"	"88"	"4"	"15"	"7"	"0"	"3"	"0"	"0"	"141"	"141"	"0"
"206"	"184"	"67"	"8"	"1"	"204"	"7"	"2"	"1"	"3"	"0"	"293"	"293"	"0"
"207"	"185"	"21"	"27"	"8"	"252"	"20"	"1"	"5"	"2"	"0"	"336"	"336"	"0"
"208"	"186"	"18"	"146"	"1"	"31"	"4"	"0"	"0"	"1"	"0"	"201"	"201"	"0"
"209"	"187"	"6"	"52"	"0"	"221"	"2"	"1"	"2"	"1"	"0"	"285"	"285"	"0"
"210"	"188"	"29"	"22"	"2"	"162"	"3"	"1"	"1"	"7"	"0"	"227"	"227"	"0"
"211"	"189"	"111"	"42"	"5"	"26"	"2"	"0"	"2"	"6"	"0"	"194"	"194"	"0"
"212"	"190"	"37"	"3"	"2"	"182"	"5"	"0"	"0"	"8"	"0"	"237"	"237"	"0"
"213"	"191"	"16"	"100"	"10"	"47"	"31"	"1"	"7"	"5"	"0"	"217"	"217"	"0"
"214"	"192"	"24"	"46"	"7"	"151"	"11"	"1"	"2"	"4"	"0"	"246"	"246"	"0"
"215"	"193"	"9"	"22"	"5"	"143"	"3"	"0"	"3"	"5"	"0"	"190"	"190"	"0"
"216"	"194"	"6"	"33"	"1"	"13"	"3"	"0"	"0"	"0"	"0"	"56"	"56"	"0"
"217"	"195"	"36"	"21"	"1"	"86"	"9"	"1"	"3"	"9"	"0"	"166"	"166"	"0"
"218"	"196"	"80"	"153"	"3"	"32"	"12"	"3"	"23"	"9"	"0"	"315"	"315"	"0"
"219"	"197"	"6"	"71"	"4"	"23"	"0"	"0"	"0"	"1"	"0"	"105"	"105"	"0"
"220"	"198"	"28"	"14"	"1"	"93"	"2"	"2"	"6"	"10"	"0"	"156"	"156"	"0"
"221"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
