"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.109.BAKHRI..S.C..A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"101"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"103"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"104"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"105"	"72"	"28"	"227"	"47"	"126"	"8"	"10"	"14"	"14"	"474"	"0"	"474"	"0"
"106"	"73"	"25"	"72"	"58"	"310"	"19"	"16"	"5"	"12"	"517"	"0"	"517"	"0"
"107"	"74"	"16"	"30"	"181"	"120"	"10"	"99"	"7"	"8"	"471"	"0"	"471"	"0"
"108"	"74A"	"5"	"10"	"43"	"65"	"8"	"137"	"8"	"5"	"281"	"0"	"281"	"0"
"109"	"75"	"27"	"20"	"240"	"355"	"10"	"10"	"7"	"12"	"681"	"0"	"681"	"0"
"110"	"76"	"10"	"14"	"354"	"24"	"4"	"33"	"11"	"18"	"468"	"0"	"468"	"0"
"111"	"77"	"10"	"93"	"275"	"117"	"13"	"91"	"8"	"15"	"622"	"0"	"622"	"0"
"112"	"78"	"29"	"265"	"153"	"115"	"14"	"28"	"10"	"24"	"638"	"0"	"638"	"0"
"113"	"79"	"14"	"78"	"215"	"80"	"5"	"9"	"5"	"15"	"421"	"0"	"421"	"0"
"114"	"80"	"23"	"60"	"418"	"188"	"17"	"27"	"14"	"20"	"767"	"0"	"767"	"0"
"115"	"81"	"9"	"82"	"156"	"259"	"5"	"23"	"9"	"4"	"547"	"0"	"547"	"0"
"116"	"82"	"8"	"125"	"180"	"163"	"10"	"31"	"9"	"16"	"542"	"0"	"542"	"0"
"117"	"83"	"7"	"238"	"68"	"23"	"3"	"9"	"4"	"3"	"355"	"0"	"355"	"0"
"118"	"84"	"12"	"63"	"173"	"227"	"13"	"17"	"6"	"14"	"525"	"0"	"525"	"0"
"119"	"85"	"8"	"106"	"68"	"76"	"3"	"13"	"5"	"11"	"290"	"0"	"290"	"0"
"120"	"86"	"9"	"17"	"246"	"159"	"10"	"29"	"9"	"16"	"495"	"0"	"495"	"0"
"121"	"87"	"3"	"9"	"136"	"202"	"3"	"6"	"3"	"3"	"365"	"0"	"365"	"0"
"122"	"88"	"9"	"8"	"198"	"256"	"8"	"6"	"4"	"10"	"499"	"0"	"499"	"0"
"123"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"124"	"90"	"16"	"9"	"141"	"211"	"15"	"3"	"3"	"14"	"412"	"0"	"412"	"0"
"125"	"91"	"14"	"98"	"304"	"125"	"14"	"36"	"5"	"12"	"608"	"0"	"608"	"0"
"126"	"92"	"22"	"305"	"165"	"145"	"10"	"85"	"6"	"9"	"747"	"0"	"747"	"0"
"127"	"93"	"7"	"185"	"209"	"65"	"11"	"42"	"5"	"20"	"544"	"0"	"544"	"0"
"128"	"94"	"19"	"146"	"235"	"205"	"8"	"17"	"7"	"12"	"649"	"0"	"649"	"0"
"129"	"95"	"10"	"89"	"188"	"40"	"8"	"25"	"3"	"4"	"367"	"0"	"367"	"0"
"130"	"96"	"3"	"171"	"245"	"52"	"4"	"25"	"5"	"7"	"512"	"0"	"512"	"0"
"131"	"97"	"19"	"37"	"159"	"113"	"22"	"128"	"12"	"13"	"503"	"0"	"503"	"0"
"132"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"136"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"137"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"138"	"98"	"5"	"67"	"275"	"86"	"39"	"21"	"12"	"14"	"519"	"0"	"519"	"0"
"139"	"99"	"7"	"9"	"232"	"114"	"19"	"29"	"2"	"13"	"425"	"0"	"425"	"0"
"140"	"100"	"8"	"29"	"197"	"46"	"1"	"7"	"10"	"8"	"306"	"0"	"306"	"0"
"141"	"101"	"7"	"25"	"240"	"74"	"2"	"17"	"0"	"6"	"371"	"0"	"371"	"0"
"142"	"102"	"13"	"16"	"199"	"236"	"8"	"20"	"10"	"8"	"510"	"0"	"510"	"0"
"143"	"103"	"17"	"78"	"205"	"164"	"10"	"26"	"8"	"26"	"534"	"0"	"534"	"0"
"144"	"104"	"23"	"35"	"223"	"295"	"7"	"13"	"3"	"5"	"604"	"0"	"604"	"0"
"145"	"105"	"11"	"138"	"165"	"98"	"5"	"13"	"2"	"12"	"444"	"0"	"444"	"0"
"146"	"106"	"12"	"8"	"53"	"153"	"3"	"15"	"5"	"9"	"258"	"0"	"258"	"0"
"147"	"107"	"6"	"27"	"107"	"170"	"5"	"9"	"1"	"8"	"333"	"0"	"333"	"0"
"148"	"108"	"1"	"22"	"180"	"67"	"2"	"7"	"1"	"8"	"288"	"0"	"288"	"0"
"149"	"109"	"5"	"37"	"202"	"21"	"33"	"4"	"3"	"8"	"313"	"0"	"313"	"0"
"150"	"109A"	"5"	"30"	"185"	"15"	"42"	"6"	"4"	"12"	"299"	"0"	"299"	"0"
"151"	"110"	"15"	"225"	"184"	"21"	"24"	"3"	"10"	"16"	"498"	"0"	"498"	"0"
"152"	"111"	"10"	"139"	"183"	"8"	"11"	"4"	"11"	"9"	"375"	"0"	"375"	"0"
"153"	"112"	"20"	"116"	"294"	"51"	"22"	"4"	"2"	"13"	"522"	"0"	"522"	"0"
"154"	"113"	"24"	"291"	"146"	"24"	"23"	"3"	"4"	"9"	"524"	"0"	"524"	"0"
"155"	"114"	"15"	"87"	"87"	"100"	"49"	"7"	"8"	"9"	"362"	"0"	"362"	"0"
"156"	"115"	"20"	"196"	"108"	"102"	"25"	"10"	"9"	"18"	"488"	"0"	"488"	"0"
"157"	"116"	"10"	"158"	"176"	"90"	"33"	"11"	"3"	"20"	"501"	"0"	"501"	"0"
"158"	"117"	"12"	"38"	"169"	"69"	"113"	"9"	"5"	"11"	"426"	"0"	"426"	"0"
"159"	"117A"	"13"	"15"	"132"	"22"	"104"	"13"	"6"	"17"	"322"	"0"	"322"	"0"
"160"	"118"	"36"	"106"	"113"	"83"	"222"	"18"	"17"	"32"	"627"	"0"	"627"	"0"
"161"	"119"	"9"	"74"	"247"	"48"	"11"	"13"	"5"	"24"	"431"	"0"	"431"	"0"
"162"	"120"	"29"	"111"	"209"	"112"	"16"	"15"	"11"	"13"	"516"	"0"	"516"	"0"
"163"	"121"	"23"	"132"	"138"	"49"	"7"	"18"	"3"	"11"	"381"	"0"	"381"	"0"
"164"	"122"	"29"	"128"	"212"	"137"	"12"	"16"	"6"	"9"	"549"	"0"	"549"	"0"
"165"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"169"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"170"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"171"	"123"	"29"	"65"	"173"	"105"	"10"	"7"	"4"	"12"	"405"	"0"	"405"	"0"
"172"	"124"	"9"	"160"	"59"	"197"	"18"	"16"	"15"	"19"	"493"	"0"	"493"	"0"
"173"	"125"	"13"	"25"	"511"	"189"	"12"	"9"	"3"	"9"	"771"	"0"	"771"	"0"
"174"	"126"	"15"	"35"	"334"	"63"	"3"	"7"	"2"	"5"	"464"	"0"	"464"	"0"
"175"	"126A"	"15"	"22"	"311"	"73"	"2"	"4"	"0"	"3"	"430"	"0"	"430"	"0"
"176"	"127"	"3"	"3"	"202"	"198"	"5"	"4"	"2"	"3"	"420"	"0"	"420"	"0"
"177"	"128"	"7"	"189"	"183"	"44"	"2"	"3"	"5"	"9"	"442"	"0"	"442"	"0"
"178"	"129"	"10"	"258"	"290"	"84"	"9"	"10"	"8"	"19"	"688"	"0"	"688"	"0"
"179"	"130"	"8"	"63"	"253"	"53"	"4"	"8"	"9"	"7"	"405"	"0"	"405"	"0"
"180"	"131"	"6"	"74"	"170"	"24"	"4"	"3"	"5"	"4"	"290"	"0"	"290"	"0"
"181"	"132"	"15"	"206"	"325"	"42"	"12"	"6"	"5"	"17"	"628"	"0"	"628"	"0"
"182"	"133"	"37"	"119"	"388"	"85"	"8"	"8"	"8"	"17"	"670"	"0"	"670"	"0"
"183"	"134"	"2"	"19"	"333"	"26"	"5"	"4"	"0"	"4"	"393"	"0"	"393"	"0"
"184"	"135"	"5"	"58"	"310"	"29"	"8"	"6"	"5"	"12"	"433"	"0"	"433"	"0"
"185"	"135A"	"5"	"45"	"169"	"15"	"2"	"3"	"1"	"0"	"240"	"0"	"240"	"0"
"186"	"136"	"20"	"120"	"526"	"76"	"9"	"6"	"6"	"4"	"767"	"0"	"767"	"0"
"187"	"137"	"4"	"260"	"153"	"57"	"3"	"2"	"2"	"5"	"486"	"0"	"486"	"0"
"188"	"138"	"7"	"54"	"197"	"19"	"3"	"5"	"3"	"6"	"294"	"0"	"294"	"0"
"189"	"138A"	"13"	"50"	"299"	"34"	"2"	"4"	"2"	"5"	"409"	"0"	"409"	"0"
"190"	"139"	"16"	"94"	"226"	"41"	"6"	"8"	"7"	"6"	"404"	"0"	"404"	"0"
"191"	"140"	"7"	"58"	"196"	"20"	"1"	"3"	"5"	"3"	"293"	"0"	"293"	"0"
"192"	"140A"	"9"	"49"	"193"	"39"	"10"	"4"	"6"	"9"	"319"	"0"	"319"	"0"
"193"	"141"	"22"	"50"	"184"	"72"	"149"	"13"	"5"	"8"	"503"	"0"	"503"	"0"
"194"	"142"	"10"	"13"	"230"	"218"	"26"	"8"	"7"	"14"	"526"	"0"	"526"	"0"
"195"	"143"	"7"	"54"	"96"	"152"	"6"	"3"	"1"	"7"	"326"	"0"	"326"	"0"
"196"	"144"	"16"	"138"	"150"	"128"	"11"	"8"	"4"	"13"	"468"	"0"	"468"	"0"
"197"	"145"	"22"	"150"	"268"	"32"	"54"	"11"	"3"	"10"	"550"	"0"	"550"	"0"
"198"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"202"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"203"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"204"	"146"	"3"	"99"	"78"	"54"	"5"	"6"	"4"	"10"	"259"	"0"	"259"	"0"
"205"	"147"	"19"	"109"	"272"	"210"	"19"	"7"	"13"	"20"	"669"	"0"	"669"	"0"
"206"	"148"	"35"	"130"	"360"	"227"	"19"	"9"	"5"	"16"	"801"	"0"	"801"	"0"
"207"	"149"	"14"	"114"	"196"	"86"	"6"	"7"	"5"	"7"	"435"	"0"	"435"	"0"
"208"	"150"	"17"	"104"	"228"	"48"	"4"	"9"	"7"	"17"	"434"	"0"	"434"	"0"
"209"	"151"	"5"	"131"	"85"	"44"	"4"	"20"	"9"	"27"	"325"	"0"	"325"	"0"
"210"	"151A"	"9"	"89"	"53"	"55"	"5"	"58"	"3"	"21"	"293"	"0"	"293"	"0"
"211"	"152"	"30"	"124"	"85"	"80"	"5"	"57"	"7"	"39"	"427"	"0"	"427"	"0"
"212"	"153"	"22"	"201"	"151"	"70"	"9"	"31"	"4"	"30"	"518"	"0"	"518"	"0"
"213"	"154"	"7"	"168"	"81"	"48"	"5"	"3"	"9"	"19"	"340"	"0"	"340"	"0"
"214"	"154A"	"8"	"98"	"227"	"72"	"1"	"7"	"6"	"12"	"431"	"0"	"431"	"0"
"215"	"155"	"13"	"89"	"170"	"56"	"4"	"10"	"5"	"16"	"363"	"0"	"363"	"0"
"216"	"155A"	"20"	"125"	"71"	"36"	"8"	"2"	"4"	"12"	"278"	"0"	"278"	"0"
"217"	"156"	"18"	"151"	"25"	"111"	"8"	"6"	"9"	"15"	"343"	"0"	"343"	"0"
"218"	"156A"	"19"	"42"	"123"	"122"	"7"	"9"	"10"	"13"	"345"	"0"	"345"	"0"
"219"	"157"	"13"	"57"	"228"	"134"	"25"	"14"	"11"	"15"	"497"	"0"	"497"	"0"
"220"	"158"	"22"	"21"	"276"	"18"	"7"	"8"	"1"	"12"	"365"	"0"	"365"	"0"
"221"	"158A"	"15"	"60"	"174"	"6"	"4"	"9"	"6"	"22"	"296"	"0"	"296"	"0"
"222"	"159"	"14"	"224"	"184"	"60"	"6"	"5"	"4"	"16"	"513"	"0"	"513"	"0"
"223"	"160"	"33"	"175"	"131"	"78"	"16"	"8"	"6"	"11"	"458"	"0"	"458"	"0"
"224"	"161"	"18"	"236"	"248"	"62"	"6"	"12"	"13"	"13"	"608"	"0"	"608"	"0"
"225"	"162"	"27"	"104"	"223"	"203"	"8"	"3"	"6"	"9"	"583"	"0"	"583"	"0"
"226"	"163"	"20"	"81"	"254"	"198"	"20"	"33"	"13"	"23"	"642"	"0"	"642"	"0"
"227"	"164"	"16"	"108"	"101"	"131"	"2"	"4"	"0"	"11"	"373"	"0"	"373"	"0"
