"No..and.Name.of.Assembly.Constituency...........49..Patepur..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"20"	"12"	"430"	"118"	"1"	"94"	"122"	"28"	"11"	"6"	"50"	"430"	"0"	"430"	"0"
"21"	"Grand Total"	"5611"	"671"	"86"	"2111"	"1936"	"296"	"135"	"86"	"290"	"5611"	"0"	"5611"	"0"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"29"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"30"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"31"	"13"	"387"	"74"	"8"	"68"	"138"	"43"	"20"	"6"	"30"	"387"	"0"	"387"	"0"
"32"	"14"	"410"	"142"	"4"	"41"	"108"	"70"	"15"	"7"	"23"	"410"	"0"	"410"	"0"
"33"	"14K"	"251"	"38"	"6"	"19"	"116"	"27"	"23"	"3"	"19"	"251"	"0"	"251"	"0"
"34"	"15"	"208"	"120"	"3"	"14"	"47"	"8"	"7"	"0"	"9"	"208"	"0"	"208"	"0"
"35"	"16"	"299"	"77"	"6"	"91"	"54"	"26"	"25"	"9"	"11"	"299"	"0"	"299"	"0"
"36"	"17"	"311"	"34"	"4"	"113"	"112"	"8"	"17"	"9"	"14"	"311"	"0"	"311"	"0"
"37"	"18"	"334"	"57"	"3"	"73"	"49"	"11"	"118"	"9"	"14"	"334"	"0"	"334"	"0"
"38"	"18K"	"323"	"110"	"9"	"63"	"66"	"9"	"48"	"4"	"14"	"323"	"0"	"323"	"0"
"39"	"19"	"417"	"84"	"4"	"137"	"85"	"32"	"55"	"12"	"8"	"417"	"0"	"417"	"0"
"40"	"20"	"476"	"127"	"11"	"81"	"95"	"27"	"109"	"13"	"13"	"476"	"0"	"476"	"0"
"41"	"21"	"450"	"48"	"6"	"100"	"223"	"20"	"12"	"9"	"32"	"450"	"0"	"450"	"0"
"42"	"22"	"344"	"89"	"3"	"79"	"145"	"10"	"6"	"4"	"8"	"344"	"0"	"344"	"0"
"43"	"23"	"457"	"57"	"9"	"200"	"122"	"20"	"34"	"3"	"12"	"457"	"0"	"457"	"0"
"44"	"24"	"417"	"208"	"12"	"84"	"95"	"6"	"3"	"2"	"7"	"417"	"0"	"417"	"0"
"45"	"Grand Total"	"5084"	"1265"	"88"	"1163"	"1455"	"317"	"492"	"90"	"214"	"5084"	"0"	"5084"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"53"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"54"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"55"	"25"	"488"	"223"	"11"	"55"	"109"	"18"	"11"	"14"	"47"	"488"	"0"	"488"	"0"
"56"	"26"	"596"	"64"	"14"	"298"	"152"	"38"	"7"	"7"	"16"	"596"	"0"	"596"	"0"
"57"	"27"	"365"	"225"	"7"	"60"	"43"	"13"	"5"	"2"	"10"	"365"	"0"	"365"	"0"
"58"	"28"	"299"	"59"	"98"	"65"	"39"	"4"	"8"	"10"	"16"	"299"	"0"	"299"	"0"
"59"	"28K"	"342"	"231"	"34"	"26"	"35"	"3"	"6"	"3"	"4"	"342"	"0"	"342"	"0"
"60"	"29"	"514"	"260"	"42"	"59"	"86"	"13"	"8"	"13"	"33"	"514"	"0"	"514"	"0"
"61"	"30"	"566"	"357"	"8"	"85"	"60"	"5"	"33"	"5"	"13"	"566"	"0"	"566"	"0"
"62"	"31"	"400"	"257"	"5"	"34"	"59"	"12"	"24"	"3"	"6"	"400"	"0"	"400"	"0"
"63"	"32"	"448"	"164"	"7"	"140"	"72"	"37"	"8"	"4"	"16"	"448"	"0"	"448"	"0"
"64"	"33"	"450"	"65"	"8"	"51"	"245"	"36"	"7"	"8"	"30"	"450"	"0"	"450"	"0"
"65"	"34"	"344"	"27"	"6"	"115"	"111"	"35"	"35"	"3"	"12"	"344"	"0"	"344"	"0"
"66"	"35"	"497"	"94"	"6"	"97"	"151"	"73"	"57"	"6"	"13"	"497"	"0"	"497"	"0"
"67"	"36"	"543"	"92"	"12"	"127"	"258"	"22"	"7"	"9"	"16"	"543"	"0"	"543"	"0"
"68"	"37"	"318"	"30"	"15"	"56"	"179"	"10"	"10"	"4"	"14"	"318"	"0"	"318"	"0"
"69"	"Grand Total"	"6170"	"2148"	"273"	"1268"	"1599"	"319"	"226"	"91"	"246"	"6170"	"0"	"6170"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"77"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"78"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"79"	"37K"	"304"	"13"	"1"	"165"	"104"	"15"	"2"	"1"	"3"	"304"	"0"	"304"	"0"
"80"	"38"	"306"	"30"	"5"	"33"	"182"	"30"	"4"	"4"	"18"	"306"	"0"	"306"	"0"
"81"	"39"	"576"	"16"	"6"	"445"	"81"	"11"	"5"	"1"	"11"	"576"	"0"	"576"	"0"
"82"	"40"	"312"	"26"	"15"	"141"	"77"	"3"	"22"	"8"	"20"	"312"	"0"	"312"	"0"
"83"	"41"	"553"	"24"	"7"	"179"	"282"	"28"	"11"	"7"	"15"	"553"	"0"	"553"	"0"
"84"	"42"	"431"	"27"	"4"	"296"	"89"	"3"	"5"	"2"	"5"	"431"	"0"	"431"	"0"
"85"	"43"	"385"	"21"	"17"	"107"	"148"	"43"	"23"	"11"	"15"	"385"	"0"	"385"	"0"
"86"	"44"	"488"	"36"	"7"	"250"	"113"	"35"	"11"	"7"	"29"	"488"	"0"	"488"	"0"
"87"	"45"	"361"	"25"	"6"	"137"	"128"	"18"	"14"	"5"	"28"	"361"	"0"	"361"	"0"
"88"	"46"	"267"	"58"	"13"	"50"	"105"	"12"	"4"	"8"	"17"	"267"	"0"	"267"	"0"
"89"	"47"	"270"	"135"	"3"	"7"	"100"	"14"	"4"	"0"	"7"	"270"	"0"	"270"	"0"
"90"	"48"	"448"	"83"	"6"	"138"	"119"	"35"	"10"	"15"	"42"	"448"	"0"	"448"	"0"
"91"	"49"	"721"	"52"	"9"	"405"	"183"	"42"	"8"	"9"	"13"	"721"	"0"	"721"	"0"
"92"	"50"	"307"	"164"	"9"	"43"	"41"	"14"	"11"	"10"	"15"	"307"	"0"	"307"	"0"
"93"	"Grand Total"	"5729"	"710"	"108"	"2396"	"1752"	"303"	"134"	"88"	"238"	"5729"	"0"	"5729"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"101"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"102"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"103"	"51"	"548"	"293"	"12"	"92"	"99"	"15"	"9"	"11"	"17"	"548"	"0"	"548"	"0"
"104"	"52"	"461"	"83"	"13"	"282"	"42"	"9"	"14"	"5"	"13"	"461"	"0"	"461"	"0"
"105"	"53"	"443"	"116"	"11"	"204"	"70"	"17"	"8"	"5"	"12"	"443"	"0"	"443"	"0"
"106"	"53K"	"374"	"158"	"2"	"79"	"91"	"11"	"5"	"6"	"22"	"374"	"0"	"374"	"0"
"107"	"54"	"336"	"83"	"7"	"135"	"49"	"19"	"12"	"7"	"24"	"336"	"0"	"336"	"0"
"108"	"55"	"289"	"66"	"2"	"50"	"126"	"18"	"6"	"2"	"19"	"289"	"0"	"289"	"0"
"109"	"56"	"500"	"130"	"6"	"219"	"117"	"14"	"4"	"4"	"6"	"500"	"0"	"500"	"0"
"110"	"57"	"578"	"125"	"16"	"209"	"119"	"54"	"13"	"11"	"31"	"578"	"0"	"578"	"0"
"111"	"58"	"372"	"27"	"8"	"199"	"85"	"35"	"5"	"5"	"8"	"372"	"0"	"372"	"0"
"112"	"58K"	"331"	"20"	"3"	"106"	"100"	"52"	"13"	"11"	"26"	"331"	"0"	"331"	"0"
"113"	"59"	"607"	"109"	"12"	"162"	"255"	"31"	"10"	"4"	"24"	"607"	"0"	"607"	"0"
"114"	"60"	"487"	"102"	"9"	"231"	"102"	"10"	"6"	"9"	"18"	"487"	"0"	"487"	"0"
"115"	"61"	"336"	"24"	"9"	"196"	"73"	"5"	"9"	"5"	"15"	"336"	"0"	"336"	"0"
"116"	"61K"	"352"	"41"	"10"	"143"	"103"	"21"	"13"	"5"	"16"	"352"	"0"	"352"	"0"
"117"	"Grand Total"	"6014"	"1377"	"120"	"2307"	"1431"	"311"	"127"	"90"	"251"	"6014"	"0"	"6014"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"125"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"126"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"127"	"62"	"398"	"71"	"12"	"118"	"69"	"69"	"16"	"10"	"33"	"398"	"0"	"398"	"0"
"128"	"63"	"396"	"50"	"8"	"180"	"112"	"24"	"2"	"1"	"19"	"396"	"0"	"396"	"0"
"129"	"64"	"494"	"47"	"6"	"203"	"161"	"22"	"20"	"7"	"28"	"494"	"0"	"494"	"0"
"130"	"65"	"261"	"69"	"6"	"66"	"80"	"11"	"9"	"5"	"15"	"261"	"0"	"261"	"0"
"131"	"65K"	"261"	"57"	"3"	"77"	"112"	"3"	"3"	"0"	"6"	"261"	"0"	"261"	"0"
"132"	"66"	"407"	"59"	"10"	"58"	"219"	"26"	"6"	"10"	"19"	"407"	"0"	"407"	"0"
"133"	"67"	"302"	"75"	"2"	"46"	"117"	"18"	"5"	"6"	"33"	"302"	"0"	"302"	"0"
"134"	"68"	"559"	"66"	"7"	"251"	"127"	"34"	"19"	"16"	"39"	"559"	"0"	"559"	"0"
"135"	"69"	"346"	"21"	"7"	"234"	"63"	"3"	"2"	"5"	"11"	"346"	"0"	"346"	"0"
"136"	"70"	"407"	"36"	"4"	"149"	"170"	"21"	"11"	"3"	"13"	"407"	"0"	"407"	"0"
"137"	"71"	"448"	"37"	"6"	"263"	"62"	"45"	"14"	"6"	"15"	"448"	"0"	"448"	"0"
"138"	"72"	"639"	"44"	"15"	"505"	"39"	"9"	"9"	"7"	"11"	"639"	"0"	"639"	"0"
"139"	"73"	"477"	"8"	"7"	"408"	"20"	"5"	"12"	"7"	"10"	"477"	"0"	"477"	"0"
"140"	"74"	"320"	"16"	"6"	"253"	"28"	"3"	"5"	"2"	"7"	"320"	"0"	"320"	"0"
"141"	"Grand Total"	"5715"	"656"	"99"	"2811"	"1379"	"293"	"133"	"85"	"259"	"5715"	"0"	"5715"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"149"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"150"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"151"	"75"	"481"	"14"	"6"	"177"	"161"	"40"	"14"	"13"	"56"	"481"	"0"	"481"	"0"
"152"	"76"	"423"	"128"	"9"	"83"	"138"	"41"	"5"	"6"	"13"	"423"	"0"	"423"	"0"
"153"	"77"	"500"	"43"	"10"	"105"	"252"	"29"	"10"	"22"	"29"	"500"	"0"	"500"	"0"
"154"	"78"	"442"	"19"	"5"	"158"	"184"	"44"	"14"	"4"	"14"	"442"	"0"	"442"	"0"
"155"	"79"	"489"	"23"	"11"	"286"	"110"	"13"	"10"	"16"	"20"	"489"	"0"	"489"	"0"
"156"	"80"	"409"	"19"	"11"	"142"	"164"	"42"	"7"	"3"	"21"	"409"	"0"	"409"	"0"
"157"	"81"	"589"	"11"	"3"	"333"	"195"	"17"	"13"	"2"	"15"	"589"	"0"	"589"	"0"
"158"	"82"	"496"	"31"	"12"	"193"	"175"	"51"	"9"	"5"	"20"	"496"	"0"	"496"	"0"
"159"	"83"	"295"	"47"	"5"	"165"	"60"	"6"	"2"	"2"	"8"	"295"	"0"	"295"	"0"
"160"	"84"	"283"	"18"	"5"	"84"	"131"	"12"	"11"	"4"	"18"	"283"	"0"	"283"	"0"
"161"	"84K"	"396"	"22"	"10"	"216"	"93"	"15"	"15"	"5"	"20"	"396"	"0"	"396"	"0"
"162"	"85"	"548"	"142"	"7"	"72"	"210"	"70"	"10"	"7"	"30"	"548"	"0"	"548"	"0"
"163"	"86"	"688"	"70"	"16"	"117"	"263"	"104"	"32"	"17"	"69"	"688"	"0"	"688"	"0"
"164"	"87"	"594"	"24"	"3"	"64"	"455"	"23"	"8"	"2"	"15"	"594"	"0"	"594"	"0"
"165"	"Grand Total"	"6633"	"611"	"113"	"2195"	"2591"	"507"	"160"	"108"	"348"	"6633"	"0"	"6633"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"173"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"174"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"175"	"88"	"715"	"79"	"11"	"88"	"405"	"58"	"17"	"10"	"47"	"715"	"0"	"715"	"0"
"176"	"89"	"531"	"118"	"9"	"129"	"135"	"112"	"17"	"3"	"8"	"531"	"0"	"531"	"0"
"177"	"90"	"574"	"82"	"11"	"82"	"335"	"27"	"9"	"7"	"21"	"574"	"0"	"574"	"0"
"178"	"91"	"450"	"45"	"5"	"84"	"181"	"78"	"15"	"14"	"28"	"450"	"0"	"450"	"0"
"179"	"92"	"458"	"55"	"16"	"120"	"171"	"28"	"33"	"9"	"26"	"458"	"0"	"458"	"0"
"180"	"93"	"459"	"60"	"8"	"76"	"219"	"33"	"17"	"10"	"36"	"459"	"0"	"459"	"0"
"181"	"94"	"381"	"14"	"3"	"232"	"99"	"19"	"6"	"2"	"6"	"381"	"0"	"381"	"0"
"182"	"95"	"422"	"40"	"9"	"192"	"135"	"14"	"14"	"7"	"11"	"422"	"0"	"422"	"0"
"183"	"96"	"371"	"41"	"6"	"116"	"144"	"30"	"7"	"10"	"17"	"371"	"0"	"371"	"0"
"184"	"97"	"309"	"13"	"1"	"91"	"160"	"18"	"10"	"7"	"9"	"309"	"0"	"309"	"0"
"185"	"97K"	"326"	"15"	"3"	"105"	"143"	"35"	"15"	"3"	"7"	"326"	"0"	"326"	"0"
"186"	"98"	"441"	"26"	"7"	"152"	"202"	"28"	"6"	"4"	"16"	"441"	"0"	"441"	"0"
"187"	"99"	"584"	"27"	"6"	"111"	"380"	"34"	"7"	"5"	"14"	"584"	"0"	"584"	"0"
"188"	"100"	"564"	"22"	"7"	"398"	"76"	"16"	"21"	"9"	"15"	"564"	"0"	"564"	"0"
"189"	"Grand Total"	"6585"	"637"	"102"	"1976"	"2785"	"530"	"194"	"100"	"261"	"6585"	"0"	"6585"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"197"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"198"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"199"	"101"	"527"	"91"	"16"	"145"	"156"	"73"	"5"	"12"	"29"	"527"	"0"	"527"	"0"
"200"	"102"	"525"	"79"	"9"	"163"	"214"	"22"	"3"	"10"	"25"	"525"	"0"	"525"	"0"
"201"	"103"	"348"	"82"	"7"	"92"	"83"	"44"	"10"	"9"	"21"	"348"	"0"	"348"	"0"
"202"	"104"	"389"	"114"	"8"	"162"	"55"	"15"	"7"	"5"	"23"	"389"	"0"	"389"	"0"
"203"	"105"	"474"	"107"	"8"	"150"	"125"	"31"	"11"	"17"	"25"	"474"	"0"	"474"	"0"
"204"	"106"	"498"	"49"	"11"	"307"	"67"	"11"	"11"	"1"	"41"	"498"	"0"	"498"	"0"
"205"	"107"	"538"	"66"	"10"	"239"	"167"	"18"	"7"	"7"	"24"	"538"	"0"	"538"	"0"
"206"	"108"	"400"	"67"	"6"	"133"	"144"	"17"	"1"	"9"	"23"	"400"	"0"	"400"	"0"
