"X123.....vkyeuxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"33"	"24"	"86"	"329"	"10"	"3"	"8"	"7"	"28"	"471"	"0"	"471"	"0"
"34"	"25"	"106"	"207"	"14"	"9"	"7"	"8"	"33"	"384"	"0"	"384"	"0"
"35"	"25 A"	"68"	"164"	"10"	"5"	"4"	"6"	"15"	"272"	"0"	"272"	"0"
"36"	"26"	"215"	"55"	"35"	"5"	"16"	"5"	"102"	"433"	"0"	"433"	"0"
"37"	"26 A"	"147"	"62"	"8"	"3"	"2"	"5"	"19"	"246"	"0"	"246"	"0"
"38"	"27"	"74"	"452"	"12"	"4"	"15"	"9"	"19"	"585"	"0"	"585"	"0"
"39"	"28"	"171"	"204"	"48"	"5"	"10"	"7"	"10"	"455"	"0"	"455"	"0"
"40"	"28 A"	"131"	"244"	"9"	"5"	"7"	"7"	"13"	"416"	"0"	"416"	"0"
"41"	"29"	"157"	"488"	"12"	"4"	"22"	"16"	"30"	"729"	"0"	"729"	"0"
"42"	"30"	"192"	"181"	"40"	"8"	"8"	"11"	"19"	"459"	"0"	"459"	"0"
"43"	"31"	"45"	"237"	"62"	"16"	"13"	"14"	"19"	"406"	"0"	"406"	"0"
"44"	"31 A"	"13"	"196"	"48"	"3"	"7"	"4"	"14"	"285"	"0"	"285"	"0"
"45"	"32"	"39"	"322"	"14"	"18"	"10"	"21"	"97"	"521"	"0"	"521"	"0"
"46"	"33"	"150"	"233"	"24"	"3"	"17"	"9"	"18"	"454"	"0"	"454"	"0"
"47"	"ROUND 3"	"1594"	"3374"	"346"	"91"	"146"	"129"	"436"	"6116"	"0"	"6116"	"0"
"48"	"33 A"	"21"	"256"	"12"	"6"	"9"	"9"	"35"	"348"	"0"	"348"	"0"
"49"	"34"	"52"	"341"	"6"	"6"	"12"	"9"	"8"	"434"	"0"	"434"	"0"
"50"	"34 A"	"51"	"165"	"8"	"3"	"2"	"13"	"26"	"268"	"0"	"268"	"0"
"51"	"35"	"248"	"167"	"11"	"6"	"5"	"15"	"27"	"479"	"0"	"479"	"0"
"52"	"36"	"176"	"325"	"13"	"4"	"19"	"6"	"17"	"560"	"0"	"560"	"0"
"53"	"37"	"212"	"210"	"7"	"12"	"10"	"17"	"39"	"507"	"0"	"507"	"0"
"54"	"123  &  vkyeuxj"	""	""	""	""	""	""	""	""	""	""	""
"55"	"ernku dsUnz la[;k"	"pUns'ojh flag"	"ujsUnz uk0 ;kno"	"eukjs atu flag"	"latho jke"	"futZyk flag"	"T;ksfr\"k dqekj"	"lq'khy dqekj ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"57"	"38"	"166"	"79"	"2"	"2"	"9"	"5"	"18"	"281"	"0"	"281"	"0"
"58"	"38 A"	"203"	"118"	"5"	"6"	"9"	"4"	"34"	"379"	"0"	"379"	"0"
"59"	"39"	"98"	"218"	"7"	"2"	"23"	"6"	"46"	"400"	"0"	"400"	"0"
"60"	"39 A"	"83"	"101"	"4"	"85"	"7"	"6"	"18"	"304"	"0"	"304"	"0"
"61"	"40"	"287"	"97"	"8"	"3"	"2"	"3"	"20"	"420"	"0"	"420"	"0"
"62"	"41"	"287"	"205"	"4"	"3"	"6"	"9"	"15"	"529"	"0"	"529"	"0"
"63"	"42"	"160"	"392"	"20"	"5"	"10"	"11"	"22"	"620"	"0"	"620"	"0"
"64"	"43"	"90"	"181"	"12"	"2"	"4"	"4"	"7"	"300"	"0"	"300"	"0"
"65"	"ROUND 4"	"2134"	"2855"	"119"	"145"	"127"	"117"	"332"	"5829"	"0"	"5829"	"0"
"66"	"44"	"103"	"89"	"3"	"1"	"4"	"3"	"20"	"223"	"0"	"223"	"0"
"67"	"45"	"228"	"227"	"24"	"11"	"21"	"12"	"34"	"557"	"0"	"557"	"0"
"68"	"46"	"88"	"75"	"19"	"1"	"7"	"6"	"32"	"228"	"0"	"228"	"0"
"69"	"47"	"51"	"188"	"9"	"2"	"3"	"2"	"14"	"269"	"0"	"269"	"0"
"70"	"48"	"369"	"102"	"13"	"10"	"9"	"12"	"29"	"544"	"0"	"544"	"0"
"71"	"49"	"281"	"14"	"12"	"3"	"1"	"6"	"27"	"344"	"0"	"344"	"0"
"72"	"50"	"265"	"93"	"18"	"1"	"5"	"4"	"38"	"424"	"0"	"424"	"0"
"73"	"51"	"58"	"216"	"11"	"4"	"2"	"11"	"68"	"370"	"0"	"370"	"0"
"74"	"52"	"205"	"91"	"16"	"8"	"2"	"10"	"48"	"380"	"0"	"380"	"0"
"75"	"53"	"139"	"187"	"13"	"2"	"8"	"15"	"37"	"401"	"0"	"401"	"0"
"76"	"53 A"	"116"	"150"	"11"	"4"	"3"	"13"	"16"	"313"	"0"	"313"	"0"
"77"	"54"	"53"	"177"	"14"	"1"	"2"	"9"	"19"	"275"	"0"	"275"	"0"
"78"	"54 A"	"166"	"108"	"15"	"3"	"3"	"7"	"21"	"323"	"0"	"323"	"0"
"79"	"55"	"448"	"59"	"7"	"6"	"5"	"4"	"25"	"554"	"0"	"554"	"0"
"80"	"ROUND 5"	"2570"	"1776"	"185"	"57"	"75"	"114"	"428"	"5205"	"0"	"5205"	"0"
"81"	"56"	"184"	"189"	"7"	"6"	"2"	"2"	"14"	"404"	"0"	"404"	"0"
"82"	"57"	"188"	"296"	"16"	"4"	"4"	"10"	"26"	"544"	"0"	"544"	"0"
"83"	"58"	"209"	"157"	"25"	"7"	"8"	"14"	"29"	"449"	"0"	"449"	"0"
"84"	"59"	"199"	"143"	"30"	"12"	"6"	"12"	"23"	"425"	"0"	"425"	"0"
"85"	"60"	"174"	"88"	"7"	"3"	"0"	"4"	"9"	"285"	"0"	"285"	"0"
"86"	"61"	"235"	"189"	"18"	"6"	"5"	"24"	"30"	"507"	"0"	"507"	"0"
"87"	"62"	"150"	"230"	"12"	"8"	"3"	"11"	"23"	"437"	"0"	"437"	"0"
"88"	"63"	"57"	"395"	"11"	"8"	"3"	"11"	"16"	"501"	"0"	"501"	"0"
"89"	"64"	"126"	"386"	"11"	"1"	"5"	"8"	"13"	"550"	"0"	"550"	"0"
"90"	"65"	"259"	"195"	"14"	"3"	"2"	"3"	"13"	"489"	"0"	"489"	"0"
"91"	"66"	"14"	"296"	"10"	"4"	"3"	"9"	"19"	"355"	"0"	"355"	"0"
"92"	"66 A"	"33"	"68"	"3"	"3"	"0"	"0"	"2"	"109"	"0"	"109"	"0"
"93"	"67"	"64"	"194"	"5"	"7"	"8"	"14"	"26"	"318"	"0"	"318"	"0"
"94"	"67 A"	"66"	"211"	"6"	"1"	"4"	"4"	"22"	"314"	"0"	"314"	"0"
"95"	"ROUND 6"	"1958"	"3037"	"175"	"73"	"53"	"126"	"265"	"5687"	"0"	"5687"	"0"
"96"	"68"	"76"	"226"	"9"	"5"	"3"	"4"	"19"	"342"	"0"	"342"	"0"
"97"	"69"	"75"	"255"	"9"	"5"	"4"	"5"	"8"	"361"	"0"	"361"	"0"
"98"	"69 A"	"45"	"279"	"12"	"4"	"3"	"6"	"23"	"372"	"0"	"372"	"0"
"99"	"70"	"140"	"310"	"13"	"1"	"4"	"8"	"24"	"500"	"0"	"500"	"0"
"100"	"71"	"150"	"269"	"8"	"3"	"7"	"5"	"6"	"448"	"0"	"448"	"0"
"101"	"72"	"245"	"196"	"13"	"6"	"4"	"23"	"23"	"510"	"0"	"510"	"0"
"102"	"73"	"149"	"396"	"6"	"1"	"8"	"10"	"16"	"586"	"0"	"586"	"0"
"103"	"74"	"307"	"202"	"8"	"6"	"5"	"21"	"69"	"618"	"0"	"618"	"0"
"104"	"75"	"49"	"333"	"33"	"2"	"10"	"6"	"11"	"444"	"0"	"444"	"0"
"105"	"76"	"66"	"231"	"10"	"4"	"13"	"10"	"24"	"358"	"0"	"358"	"0"
"106"	"77"	"132"	"130"	"7"	"1"	"3"	"1"	"111"	"385"	"0"	"385"	"0"
"107"	"78"	"219"	"154"	"10"	"6"	"2"	"6"	"31"	"428"	"0"	"428"	"0"
"108"	"123  &  vkyeuxj"	""	""	""	""	""	""	""	""	""	""	""
"109"	"ernku dsUnz la[;k"	"pUns'ojh flag"	"ujsUnz uk0 ;kno"	"eukjs atu flag"	"latho jke"	"futZyk flag"	"T;ksfr\"k dqekj"	"lq'khy dqekj ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"111"	"79"	"70"	"475"	"18"	"5"	"13"	"27"	"18"	"626"	"0"	"626"	"0"
"112"	"80"	"29"	"280"	"9"	"3"	"2"	"23"	"25"	"371"	"0"	"371"	"0"
"113"	"ROUND 7"	"1752"	"3736"	"165"	"52"	"81"	"155"	"408"	"6349"	"0"	"6349"	"0"
"114"	"81"	"62"	"407"	"32"	"2"	"4"	"5"	"34"	"546"	"0"	"546"	"0"
"115"	"82"	"4"	"241"	"9"	"2"	"0"	"4"	"11"	"271"	"0"	"271"	"0"
"116"	"83"	"74"	"208"	"15"	"8"	"3"	"10"	"25"	"343"	"0"	"343"	"0"
"117"	"84"	"112"	"270"	"10"	"3"	"6"	"5"	"4"	"410"	"0"	"410"	"0"
"118"	"85"	"51"	"285"	"22"	"5"	"6"	"3"	"15"	"387"	"0"	"387"	"0"
"119"	"86"	"195"	"192"	"9"	"0"	"1"	"0"	"4"	"401"	"0"	"401"	"0"
"120"	"87"	"54"	"363"	"6"	"1"	"5"	"6"	"37"	"472"	"0"	"472"	"0"
"121"	"88"	"71"	"423"	"28"	"10"	"7"	"39"	"44"	"622"	"0"	"622"	"0"
"122"	"89"	"70"	"318"	"46"	"1"	"1"	"6"	"33"	"475"	"0"	"475"	"0"
"123"	"90"	"44"	"316"	"65"	"6"	"8"	"7"	"18"	"464"	"0"	"464"	"0"
"124"	"91"	"193"	"157"	"20"	"2"	"9"	"8"	"40"	"429"	"0"	"429"	"0"
"125"	"92"	"49"	"215"	"32"	"7"	"1"	"9"	"32"	"345"	"0"	"345"	"0"
"126"	"93"	"64"	"91"	"5"	"3"	"5"	"8"	"84"	"260"	"0"	"260"	"0"
"127"	"94"	"54"	"147"	"3"	"5"	"4"	"4"	"15"	"232"	"0"	"232"	"0"
"128"	"ROUND 8"	"1097"	"3633"	"302"	"55"	"60"	"114"	"396"	"5657"	"0"	"5657"	"0"
"129"	"95"	"350"	"42"	"12"	"2"	"6"	"7"	"26"	"445"	"0"	"445"	"0"
"130"	"96"	"121"	"263"	"4"	"5"	"6"	"1"	"29"	"429"	"0"	"429"	"0"
"131"	"96 A"	"26"	"186"	"20"	"7"	"5"	"4"	"50"	"298"	"0"	"298"	"0"
"132"	"97"	"263"	"297"	"27"	"7"	"8"	"10"	"14"	"626"	"0"	"626"	"0"
"133"	"98"	"150"	"213"	"28"	"20"	"4"	"9"	"19"	"443"	"0"	"443"	"0"
"134"	"98 A"	"35"	"284"	"9"	"4"	"3"	"7"	"14"	"356"	"0"	"356"	"0"
"135"	"99"	"96"	"260"	"105"	"7"	"8"	"11"	"20"	"507"	"0"	"507"	"0"
"136"	"100"	"104"	"274"	"84"	"1"	"4"	"8"	"21"	"496"	"0"	"496"	"0"
"137"	"101"	"141"	"216"	"109"	"9"	"6"	"6"	"21"	"508"	"0"	"508"	"0"
"138"	"102"	"228"	"102"	"39"	"3"	"5"	"3"	"8"	"388"	"0"	"388"	"0"
"139"	"103"	"137"	"153"	"218"	"8"	"2"	"5"	"15"	"538"	"0"	"538"	"0"
"140"	"104"	"185"	"85"	"6"	"3"	"1"	"1"	"21"	"302"	"0"	"302"	"0"
"141"	"104 A"	"56"	"113"	"22"	"4"	"2"	"3"	"20"	"220"	"0"	"220"	"0"
"142"	"105"	"154"	"88"	"11"	"2"	"2"	"3"	"16"	"276"	"0"	"276"	"0"
"143"	"ROUND 9"	"2046"	"2576"	"694"	"82"	"62"	"78"	"294"	"5832"	"0"	"5832"	"0"
"144"	"105 A"	"59"	"139"	"11"	"4"	"4"	"2"	"10"	"229"	"0"	"229"	"0"
"145"	"106"	"38"	"246"	"26"	"6"	"5"	"9"	"10"	"340"	"0"	"340"	"0"
"146"	"106 A"	"171"	"216"	"34"	"2"	"5"	"2"	"12"	"442"	"0"	"442"	"0"
"147"	"107"	"314"	"289"	"62"	"6"	"3"	"2"	"29"	"705"	"0"	"705"	"0"
"148"	"108"	"343"	"273"	"92"	"19"	"8"	"7"	"45"	"787"	"0"	"787"	"0"
"149"	"109"	"194"	"227"	"50"	"8"	"4"	"11"	"15"	"509"	"0"	"509"	"0"
"150"	"110"	"82"	"189"	"33"	"7"	"5"	"13"	"19"	"348"	"0"	"348"	"0"
"151"	"110 A"	"68"	"89"	"71"	"3"	"4"	"4"	"29"	"268"	"0"	"268"	"0"
"152"	"111"	"127"	"286"	"16"	"10"	"9"	"14"	"25"	"487"	"0"	"487"	"0"
"153"	"111 A"	"148"	"130"	"12"	"3"	"4"	"8"	"57"	"362"	"0"	"362"	"0"
"154"	"112"	"296"	"193"	"30"	"8"	"10"	"13"	"29"	"579"	"0"	"579"	"0"
"155"	"113"	"150"	"71"	"15"	"2"	"2"	"6"	"28"	"274"	"0"	"274"	"0"
"156"	"114"	"357"	"112"	"13"	"7"	"6"	"9"	"78"	"582"	"0"	"582"	"0"
"157"	"115"	"47"	"285"	"36"	"6"	"7"	"67"	"24"	"472"	"0"	"472"	"0"
"158"	"ROUND 10"	"2394"	"2745"	"501"	"91"	"76"	"167"	"410"	"6384"	"0"	"6384"	"0"
"159"	"116"	"153"	"150"	"24"	"4"	"7"	"19"	"149"	"506"	"0"	"506"	"0"
"160"	"117"	"56"	"251"	"8"	"3"	"0"	"5"	"33"	"356"	"0"	"356"	"0"
"161"	"118"	"26"	"261"	"22"	"5"	"2"	"14"	"62"	"392"	"0"	"392"	"0"
"162"	"123  &  vkyeuxj"	""	""	""	""	""	""	""	""	""	""	""
"163"	"ernku dsUnz la[;k"	"pUns'ojh flag"	"ujsUnz uk0 ;kno"	"eukjs atu flag"	"latho jke"	"futZyk flag"	"T;ksfr\"k dqekj"	"lq'khy dqekj ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"165"	"119"	"145"	"88"	"7"	"3"	"5"	"7"	"23"	"278"	"0"	"278"	"0"
"166"	"120"	"87"	"158"	"16"	"3"	"2"	"5"	"137"	"408"	"0"	"408"	"0"
"167"	"121"	"48"	"303"	"18"	"7"	"8"	"10"	"15"	"409"	"0"	"409"	"0"
"168"	"122"	"191"	"236"	"16"	"4"	"3"	"11"	"30"	"491"	"0"	"491"	"0"
"169"	"123"	"95"	"149"	"9"	"4"	"2"	"7"	"37"	"303"	"0"	"303"	"0"
"170"	"123 A"	"110"	"122"	"3"	"3"	"2"	"10"	"16"	"266"	"0"	"266"	"0"
"171"	"124"	"185"	"213"	"11"	"6"	"3"	"16"	"179"	"613"	"0"	"613"	"0"
"172"	"125"	"291"	"169"	"15"	"13"	"4"	"13"	"127"	"632"	"0"	"632"	"0"
"173"	"126"	"137"	"102"	"10"	"4"	"3"	"6"	"51"	"313"	"0"	"313"	"0"
"174"	"126 A"	"134"	"92"	"12"	"6"	"2"	"5"	"89"	"340"	"0"	"340"	"0"
"175"	"127"	"87"	"253"	"12"	"8"	"4"	"10"	"43"	"417"	"0"	"417"	"0"
"176"	"ROUND 11"	"1745"	"2547"	"183"	"73"	"47"	"138"	"991"	"5724"	"0"	"5724"	"0"
"177"	"128"	"116"	"311"	"15"	"11"	"7"	"18"	"112"	"590"	"0"	"590"	"0"
"178"	"129"	"239"	"236"	"15"	"5"	"5"	"12"	"163"	"675"	"0"	"675"	"0"
"179"	"130"	"156"	"208"	"9"	"1"	"7"	"7"	"176"	"564"	"0"	"564"	"0"
"180"	"131"	"126"	"52"	"3"	"9"	"55"	"5"	"69"	"319"	"0"	"319"	"0"
"181"	"131 A"	"167"	"30"	"12"	"4"	"26"	"3"	"70"	"312"	"0"	"312"	"0"
"182"	"132"	"290"	"52"	"4"	"4"	"31"	"10"	"97"	"488"	"0"	"488"	"0"
"183"	"133"	"202"	"65"	"11"	"3"	"3"	"8"	"67"	"359"	"0"	"359"	"0"
"184"	"134"	"243"	"191"	"9"	"0"	"3"	"2"	"37"	"485"	"0"	"485"	"0"
"185"	"135"	"108"	"44"	"6"	"2"	"8"	"5"	"41"	"214"	"0"	"214"	"0"
"186"	"136"	"152"	"193"	"10"	"2"	"1"	"3"	"35"	"396"	"0"	"396"	"0"
"187"	"137"	"65"	"194"	"2"	"1"	"3"	"7"	"21"	"293"	"0"	"293"	"0"
"188"	"138"	"36"	"208"	"49"	"4"	"7"	"25"	"110"	"439"	"0"	"439"	"0"
"189"	"139"	"94"	"194"	"21"	"2"	"8"	"9"	"44"	"372"	"0"	"372"	"0"
"190"	"140"	"182"	"60"	"5"	"8"	"0"	"7"	"21"	"283"	"0"	"283"	"0"
"191"	"ROUND 12"	"2176"	"2038"	"171"	"56"	"164"	"121"	"1063"	"5789"	"0"	"5789"	"0"
"192"	"141"	"150"	"231"	"15"	"5"	"3"	"20"	"40"	"464"	"0"	"464"	"0"
"193"	"142"	"293"	"132"	"3"	"2"	"1"	"6"	"39"	"476"	"0"	"476"	"0"
"194"	"142 A"	"80"	"156"	"6"	"12"	"0"	"1"	"56"	"311"	"0"	"311"	"0"
"195"	"143"	"302"	"114"	"6"	"5"	"3"	"6"	"71"	"507"	"0"	"507"	"0"
"196"	"144"	"161"	"322"	"23"	"3"	"8"	"14"	"18"	"549"	"0"	"549"	"0"
"197"	"145"	"69"	"181"	"10"	"2"	"3"	"5"	"105"	"375"	"0"	"375"	"0"
"198"	"145 A"	"84"	"143"	"10"	"3"	"6"	"5"	"112"	"363"	"0"	"363"	"0"
"199"	"146"	"113"	"159"	"11"	"4"	"2"	"8"	"24"	"321"	"0"	"321"	"0"
"200"	"146 A"	"214"	"123"	"9"	"9"	"3"	"11"	"42"	"411"	"0"	"411"	"0"
"201"	"147"	"393"	"107"	"10"	"1"	"6"	"6"	"87"	"610"	"0"	"610"	"0"
"202"	"148"	"344"	"121"	"48"	"2"	"4"	"10"	"36"	"565"	"0"	"565"	"0"
"203"	"149"	"136"	"174"	"12"	"2"	"7"	"6"	"69"	"406"	"0"	"406"	"0"
"204"	"150"	"182"	"159"	"14"	"6"	"6"	"14"	"101"	"482"	"0"	"482"	"0"
"205"	"151"	"279"	"63"	"11"	"2"	"5"	"3"	"13"	"376"	"0"	"376"	"0"
"206"	"ROUND 13"	"2800"	"2185"	"188"	"58"	"57"	"115"	"813"	"6216"	"0"	"6216"	"0"
"207"	"152"	"119"	"217"	"24"	"1"	"3"	"9"	"17"	"390"	"0"	"390"	"0"
"208"	"153"	"291"	"21"	"8"	"5"	"3"	"5"	"25"	"358"	"0"	"358"	"0"
"209"	"153 A"	"101"	"208"	"9"	"2"	"0"	"0"	"21"	"341"	"0"	"341"	"0"
"210"	"154"	"268"	"157"	"15"	"6"	"7"	"7"	"131"	"591"	"0"	"591"	"0"
"211"	"155"	"340"	"37"	"12"	"6"	"9"	"7"	"67"	"478"	"0"	"478"	"0"
"212"	"156"	"249"	"65"	"21"	"3"	"1"	"8"	"74"	"421"	"0"	"421"	"0"
"213"	"157"	"225"	"135"	"10"	"11"	"1"	"8"	"31"	"421"	"0"	"421"	"0"
"214"	"158"	"283"	"63"	"6"	"3"	"0"	"4"	"14"	"373"	"0"	"373"	"0"
"215"	"159"	"205"	"124"	"22"	"7"	"2"	"7"	"40"	"407"	"0"	"407"	"0"
"216"	"123  &  vkyeuxj"	""	""	""	""	""	""	""	""	""	""	""
"217"	"ernku dsUnz la[;k"	"pUns'ojh flag"	"ujsUnz uk0 ;kno"	"eukjs atu flag"	"latho jke"	"futZyk flag"	"T;ksfr\"k dqekj"	"lq'khy dqekj ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"219"	"159 A"	"86"	"164"	"12"	"2"	"0"	"5"	"12"	"281"	"0"	"281"	"0"
"220"	"160"	"136"	"95"	"11"	"4"	"3"	"3"	"26"	"278"	"0"	"278"	"0"
"221"	"161"	"150"	"100"	"20"	"2"	"2"	"6"	"118"	"398"	"0"	"398"	"0"
"222"	"162"	"570"	"35"	"11"	"3"	"1"	"3"	"26"	"649"	"0"	"649"	"0"
"223"	"163"	"283"	"50"	"16"	"16"	"16"	"22"	"79"	"482"	"0"	"482"	"0"
"224"	"ROUND 14"	"3306"	"1471"	"197"	"71"	"48"	"94"	"681"	"5868"	"0"	"5868"	"0"
"225"	"164"	"292"	"55"	"22"	"8"	"10"	"15"	"127"	"529"	"0"	"529"	"0"
"226"	"165"	"86"	"72"	"150"	"6"	"6"	"9"	"49"	"378"	"0"	"378"	"0"
"227"	"166"	"80"	"140"	"122"	"5"	"10"	"17"	"75"	"449"	"0"	"449"	"0"
"228"	"167"	"128"	"255"	"24"	"9"	"7"	"10"	"169"	"602"	"0"	"602"	"0"
"229"	"168"	"61"	"47"	"1"	"0"	"4"	"7"	"318"	"438"	"0"	"438"	"0"
"230"	"169"	"141"	"10"	"6"	"5"	"3"	"12"	"347"	"524"	"0"	"524"	"0"
"231"	"170"	"191"	"92"	"9"	"3"	"5"	"6"	"170"	"476"	"0"	"476"	"0"
"232"	"171"	"81"	"217"	"30"	"4"	"6"	"7"	"167"	"512"	"0"	"512"	"0"
"233"	"172"	"17"	"277"	"12"	"3"	"3"	"3"	"19"	"334"	"0"	"334"	"0"
"234"	"172 A"	"90"	"183"	"8"	"2"	"4"	"3"	"8"	"298"	"0"	"298"	"0"
"235"	"173"	"134"	"157"	"13"	"2"	"4"	"6"	"19"	"335"	"0"	"335"	"0"
"236"	"173 A"	"23"	"163"	"85"	"5"	"2"	"6"	"10"	"294"	"0"	"294"	"0"
"237"	"174"	"200"	"189"	"12"	"7"	"3"	"13"	"71"	"495"	"0"	"495"	"0"
"238"	"ROUND 15"	"1524"	"1857"	"494"	"59"	"67"	"114"	"1549"	"5664"	"0"	"5664"	"0"
