"Polling.Station.No"	"Total.No.of.Electors.at.the.polling.Station"	"Votes.polled.candidate.in.desending.order"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Vote.polled"	"X..Vote.Polled"	"Nature.of.booth.hyper.sensitive.s.ensitive"	"Type.of.force.CPMF.CR.PF.CISF.B.SF.SAP.D.AP.HG"	"Strength.of.force..1.4...2.8."	"Repoll.if.any.reasons"	"X..of.votes.polled.on.repoll"
"27"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"28"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"29"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"31"	"13"	"706"	"100"	"39.68"	"136"	"53.97"	"7"	"2.78"	"1"	"0.4"	"8"	"3.17"	"252"	"35.69"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"32"	"14"	"964"	"307"	"89.24"	"28"	"8.14"	"3"	"0.87"	"1"	"0.29"	"5"	"1.45"	"344"	"35.68"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"33"	"15"	"817"	"156"	"52"	"70"	"23.33"	"11"	"3.67"	"53"	"17.67"	"10"	"3.33"	"300"	"36.72"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"34"	"15d"	"930"	"275"	"80.88"	"45"	"13.24"	"2"	"0.59"	"13"	"3.82"	"5"	"1.47"	"340"	"36.56"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"35"	"16"	"700"	"162"	"81.41"	"34"	"17.09"	"2"	"1.01"	"1"	"0.5"	"0"	"0"	"199"	"28.43"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"36"	"17"	"1345"	"406"	"79.61"	"88"	"17.25"	"4"	"0.78"	"4"	"0.78"	"8"	"1.57"	"510"	"37.92"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"37"	"18"	"1178"	"334"	"80.48"	"55"	"13.25"	"17"	"4.1"	"6"	"1.45"	"3"	"0.72"	"415"	"35.23"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"38"	"19"	"1077"	"280"	"62.36"	"110"	"24.5"	"22"	"4.9"	"25"	"5.57"	"12"	"2.67"	"449"	"41.69"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"39"	"20"	"1071"	"242"	"53.9"	"148"	"32.96"	"40"	"8.91"	"6"	"1.34"	"13"	"2.9"	"449"	"41.92"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"40"	"21"	"1304"	"361"	"54.29"	"242"	"36.39"	"25"	"3.76"	"18"	"2.71"	"19"	"2.86"	"665"	"51"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"41"	"22"	"1197"	"273"	"60.26"	"135"	"29.8"	"29"	"6.4"	"1"	"0.22"	"15"	"3.31"	"453"	"37.84"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"42"	"23"	"602"	"115"	"38.85"	"150"	"50.68"	"25"	"8.45"	"2"	"0.68"	"4"	"1.35"	"296"	"49.17"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"43"	"23d"	"888"	"102"	"36.3"	"152"	"54.09"	"24"	"8.54"	"1"	"0.36"	"2"	"0.71"	"281"	"31.64"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"44"	"24"	"1195"	"38"	"8.82"	"254"	"58.93"	"127"	"29.47"	"3"	"0.7"	"9"	"2.09"	"431"	"36.07"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"45"	";ksx"	"13974"	"3151"	"58.53"	"1647"	"30.59"	"338"	"6.28"	"135"	"2.51"	"113"	"2.1"	"5384"	"38.53"	""	""	""	""	""
"46"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"49"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"50"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"51"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"52"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"53"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"54"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"55"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"57"	"25"	"1168"	"35"	"11.4"	"232"	"75.57"	"35"	"11.4"	"0"	"0"	"5"	"1.63"	"307"	"26.28"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"58"	"26"	"1387"	"69"	"14.97"	"334"	"72.45"	"52"	"11.28"	"1"	"0.22"	"5"	"1.08"	"461"	"33.24"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"59"	"27"	"1183"	"135"	"29.03"	"273"	"58.71"	"47"	"10.11"	"2"	"0.43"	"8"	"1.72"	"465"	"39.31"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"60"	"28"	"821"	"69"	"21.77"	"232"	"73.19"	"12"	"3.79"	"3"	"0.95"	"1"	"0.32"	"317"	"38.61"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"61"	"28d"	"870"	"101"	"34.01"	"186"	"62.63"	"9"	"3.03"	"1"	"0.34"	"0"	"0"	"297"	"34.14"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"62"	"29"	"1080"	"408"	"79.69"	"74"	"14.45"	"16"	"3.13"	"10"	"1.95"	"4"	"0.78"	"512"	"47.41"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"63"	"30"	"813"	"200"	"55.25"	"128"	"35.36"	"22"	"6.08"	"7"	"1.93"	"5"	"1.38"	"362"	"44.53"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"64"	"31"	"1149"	"447"	"76.67"	"120"	"20.58"	"7"	"1.2"	"7"	"1.2"	"2"	"0.34"	"583"	"50.74"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"65"	"32"	"1311"	"438"	"56.23"	"279"	"35.82"	"24"	"3.08"	"15"	"1.93"	"23"	"2.95"	"779"	"59.42"	"Sensitive"	"CPMF."	"Half sec"	""	""
"66"	"33"	"832"	"116"	"68.24"	"49"	"28.82"	"0"	"0"	"3"	"1.76"	"2"	"1.18"	"170"	"20.43"	"Sensitive"	"CPMF."	"Half sec"	""	""
"67"	"33d"	"894"	"257"	"62.68"	"128"	"31.22"	"8"	"1.95"	"8"	"1.95"	"9"	"2.2"	"410"	"45.86"	"Sensitive"	"CPMF."	"Half sec"	""	""
"68"	"34"	"1027"	"402"	"66.45"	"141"	"23.31"	"15"	"2.48"	"21"	"3.47"	"26"	"4.3"	"605"	"58.91"	"Sensitive"	"CPMF."	"Half sec"	""	""
"69"	"35"	"652"	"261"	"60.28"	"159"	"36.72"	"6"	"1.39"	"3"	"0.69"	"4"	"0.92"	"433"	"66.41"	"Sensitive"	"CPMF."	"Half sec"	""	""
"70"	"35d"	"839"	"303"	"61.21"	"172"	"34.75"	"11"	"2.22"	"5"	"1.01"	"4"	"0.81"	"495"	"59"	"Sensitive"	"CPMF."	"Half sec"	""	""
"71"	";ksx"	"14026"	"3241"	"52.31"	"2507"	"40.46"	"264"	"4.26"	"86"	"1.39"	"98"	"1.58"	"6196"	"44.18"	""	""	""	""	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"75"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"76"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"77"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"78"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"79"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"80"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"81"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"83"	"36"	"1400"	"213"	"43.03"	"241"	"48.69"	"27"	"5.45"	"3"	"0.61"	"11"	"2.22"	"495"	"35.36"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"84"	"37"	"1359"	"214"	"35.85"	"351"	"58.79"	"22"	"3.69"	"6"	"1.01"	"4"	"0.67"	"597"	"43.93"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"85"	"38"	"771"	"363"	"80.49"	"67"	"14.86"	"4"	"0.89"	"8"	"1.77"	"9"	"2"	"451"	"58.5"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"86"	"38d"	"866"	"204"	"71.08"	"70"	"24.39"	"6"	"2.09"	"4"	"1.39"	"3"	"1.05"	"287"	"33.14"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"87"	"39"	"808"	"83"	"17.47"	"355"	"74.74"	"23"	"4.84"	"8"	"1.68"	"6"	"1.26"	"475"	"58.79"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"88"	"39d"	"832"	"5"	"2.09"	"221"	"92.47"	"8"	"3.35"	"3"	"1.26"	"2"	"0.84"	"239"	"28.73"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"89"	"40"	"1285"	"403"	"56.21"	"237"	"33.05"	"30"	"4.18"	"22"	"3.07"	"25"	"3.49"	"717"	"55.8"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"90"	"41"	"958"	"247"	"49.11"	"216"	"42.94"	"29"	"5.77"	"3"	"0.6"	"8"	"1.59"	"503"	"52.51"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"91"	"42"	"936"	"400"	"77.82"	"79"	"15.37"	"13"	"2.53"	"11"	"2.14"	"11"	"2.14"	"514"	"54.91"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"92"	"43"	"1347"	"448"	"75.93"	"125"	"21.19"	"5"	"0.85"	"3"	"0.51"	"9"	"1.53"	"590"	"43.8"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"93"	"44"	"795"	"128"	"35.75"	"210"	"58.66"	"15"	"4.19"	"2"	"0.56"	"3"	"0.84"	"358"	"45.03"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"94"	"44d"	"674"	"166"	"63.85"	"88"	"33.85"	"4"	"1.54"	"0"	"0"	"2"	"0.77"	"260"	"38.58"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"95"	"45"	"1095"	"344"	"64.91"	"159"	"30"	"15"	"2.83"	"6"	"1.13"	"6"	"1.13"	"530"	"48.4"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"96"	"46"	"774"	"187"	"43.59"	"222"	"51.75"	"12"	"2.8"	"3"	"0.7"	"5"	"1.17"	"429"	"55.43"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"97"	";ksx"	"13900"	"3405"	"52.83"	"2641"	"40.98"	"213"	"3.3"	"82"	"1.27"	"104"	"1.61"	"6445"	"46.37"	""	""	""	""	""
"98"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"101"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"102"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"103"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"104"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"105"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"106"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"107"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"109"	"46d"	"737"	"157"	"71.69"	"56"	"25.57"	"3"	"1.37"	"2"	"0.91"	"1"	"0.46"	"219"	"29.72"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"110"	"47"	"814"	"44"	"11.11"	"310"	"78.28"	"30"	"7.58"	"1"	"0.25"	"11"	"2.78"	"396"	"48.65"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"111"	"47d"	"827"	"26"	"13.98"	"143"	"76.88"	"11"	"5.91"	"1"	"0.54"	"5"	"2.69"	"186"	"22.49"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"112"	"48"	"740"	"95"	"27.86"	"191"	"56.01"	"40"	"11.73"	"2"	"0.59"	"13"	"3.81"	"341"	"46.08"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"113"	"48d"	"753"	"19"	"9"	"163"	"77.25"	"24"	"11.37"	"1"	"0.47"	"4"	"1.9"	"211"	"28.02"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"114"	"49"	"844"	"122"	"36.86"	"192"	"58.01"	"11"	"3.32"	"1"	"0.3"	"5"	"1.51"	"331"	"39.22"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"115"	"49d"	"818"	"4"	"2.08"	"153"	"79.69"	"33"	"17.19"	"2"	"1.04"	"0"	"0"	"192"	"23.47"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"116"	"50"	"859"	"79"	"26.07"	"193"	"63.7"	"29"	"9.57"	"0"	"0"	"2"	"0.66"	"303"	"35.27"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"117"	"50d"	"641"	"109"	"47.19"	"105"	"45.45"	"11"	"4.76"	"2"	"0.87"	"4"	"1.73"	"231"	"36.04"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"118"	"51"	"730"	"140"	"34.48"	"208"	"51.23"	"32"	"7.88"	"19"	"4.68"	"7"	"1.72"	"406"	"55.62"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"119"	"51d"	"872"	"59"	"32.78"	"92"	"51.11"	"26"	"14.44"	"2"	"1.11"	"1"	"0.56"	"180"	"20.64"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"120"	"52"	"855"	"85"	"20.29"	"293"	"69.93"	"33"	"7.88"	"5"	"1.19"	"3"	"0.72"	"419"	"49.01"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"121"	"52d"	"630"	"39"	"18.4"	"161"	"75.94"	"8"	"3.77"	"0"	"0"	"4"	"1.89"	"212"	"33.65"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"122"	"53"	"1198"	"298"	"43.25"	"357"	"51.81"	"23"	"3.34"	"3"	"0.44"	"8"	"1.16"	"689"	"57.51"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"123"	";ksx"	"11318"	"1276"	"29.56"	"2617"	"60.63"	"314"	"7.28"	"41"	"0.95"	"68"	"1.58"	"4316"	"38.13"	""	""	""	""	""
"124"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"127"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"128"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"129"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"130"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"131"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"132"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"133"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"135"	"54"	"728"	"205"	"65.08"	"94"	"29.84"	"9"	"2.86"	"2"	"0.63"	"5"	"1.59"	"315"	"43.27"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"136"	"54d"	"673"	"83"	"30.29"	"171"	"62.41"	"17"	"6.2"	"0"	"0"	"3"	"1.09"	"274"	"40.71"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"137"	"55"	"898"	"139"	"46.18"	"132"	"43.85"	"11"	"3.65"	"4"	"1.33"	"15"	"4.98"	"301"	"33.52"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"138"	"56"	"805"	"154"	"73.33"	"49"	"23.33"	"0"	"0"	"5"	"2.38"	"2"	"0.95"	"210"	"26.09"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"139"	"56d"	"618"	"65"	"48.15"	"55"	"40.74"	"2"	"1.48"	"10"	"7.41"	"3"	"2.22"	"135"	"21.84"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"140"	"57"	"626"	"202"	"44.99"	"215"	"47.88"	"27"	"6.01"	"2"	"0.45"	"3"	"0.67"	"449"	"71.73"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"141"	"57d"	"785"	"72"	"33.18"	"137"	"63.13"	"7"	"3.23"	"0"	"0"	"1"	"0.46"	"217"	"27.64"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"142"	"58"	"532"	"58"	"14.5"	"311"	"77.75"	"23"	"5.75"	"0"	"0"	"8"	"2"	"400"	"75.19"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"143"	"58d"	"872"	"64"	"32.99"	"120"	"61.86"	"4"	"2.06"	"1"	"0.52"	"5"	"2.58"	"194"	"22.25"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"144"	"59"	"770"	"168"	"62.69"	"86"	"32.09"	"6"	"2.24"	"4"	"1.49"	"4"	"1.49"	"268"	"34.81"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"145"	"59d"	"638"	"98"	"68.53"	"38"	"26.57"	"2"	"1.4"	"2"	"1.4"	"3"	"2.1"	"143"	"22.41"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"146"	"60"	"1396"	"96"	"29.72"	"206"	"63.78"	"3"	"0.93"	"2"	"0.62"	"16"	"4.95"	"323"	"23.14"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"147"	"61"	"1203"	"264"	"53.01"	"163"	"32.73"	"56"	"11.24"	"5"	"1"	"10"	"2.01"	"498"	"41.4"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
