"Annexure.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"16"	"8"	"209"	"9"	"73"	"10"	"5"	"3"	"10"	"80"	"399"	"0"	"399"	"0"
"17"	"9"	"140"	"13"	"20"	"10"	"12"	"31"	"23"	"182"	"431"	"0"	"431"	"0"
"18"	"10"	"466"	"17"	"33"	"7"	"2"	"4"	"2"	"15"	"546"	"0"	"546"	"0"
"19"	"11"	"306"	"27"	"43"	"3"	"9"	"7"	"8"	"32"	"435"	"0"	"435"	"0"
"20"	"12"	"242"	"11"	"6"	"7"	"3"	"3"	"4"	"12"	"288"	"0"	"288"	"0"
"21"	"12A"	"454"	"16"	"6"	"6"	"2"	"12"	"15"	"24"	"535"	"0"	"535"	"0"
"22"	"Total..."	"3775"	"218"	"1103"	"134"	"86"	"249"	"138"	"1035"	"6738"	"0"	"6738"	"0"
"23"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"29"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"31"	"13"	"205"	"16"	"4"	"7"	"4"	"2"	"1"	"19"	"258"	"0"	"258"	"0"
"32"	"14"	"553"	"31"	"90"	"15"	"5"	"11"	"2"	"18"	"725"	"0"	"725"	"0"
"33"	"15"	"289"	"22"	"161"	"8"	"6"	"11"	"4"	"39"	"540"	"0"	"540"	"0"
"34"	"16"	"265"	"12"	"148"	"15"	"6"	"7"	"10"	"24"	"487"	"0"	"487"	"0"
"35"	"16A"	"112"	"9"	"179"	"8"	"20"	"10"	"14"	"120"	"472"	"0"	"472"	"0"
"36"	"17"	"287"	"14"	"85"	"5"	"3"	"8"	"4"	"83"	"489"	"0"	"489"	"0"
"37"	"18"	"321"	"21"	"140"	"4"	"3"	"9"	"7"	"67"	"572"	"0"	"572"	"0"
"38"	"19"	"422"	"25"	"70"	"13"	"3"	"4"	"13"	"53"	"603"	"0"	"603"	"0"
"39"	"20"	"109"	"12"	"292"	"19"	"11"	"11"	"8"	"38"	"500"	"0"	"500"	"0"
"40"	"21"	"410"	"17"	"159"	"7"	"18"	"45"	"16"	"62"	"734"	"0"	"734"	"0"
"41"	"22"	"201"	"8"	"205"	"10"	"11"	"29"	"16"	"112"	"592"	"0"	"592"	"0"
"42"	"23"	"162"	"6"	"176"	"15"	"8"	"77"	"18"	"73"	"535"	"0"	"535"	"0"
"43"	"24"	"233"	"9"	"149"	"9"	"9"	"75"	"14"	"52"	"550"	"0"	"550"	"0"
"44"	"25"	"76"	"4"	"128"	"9"	"5"	"7"	"8"	"36"	"273"	"0"	"273"	"0"
"45"	"Total..."	"3645"	"206"	"1986"	"144"	"112"	"306"	"135"	"796"	"7330"	"0"	"7330"	"0"
"46"	"rand Tot"	"7420"	"424"	"3089"	"278"	"198"	"555"	"273"	"1831"	"14068"	"0"	"14068"	"0"
"47"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"53"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"54"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"55"	"26"	"370"	"26"	"16"	"8"	"15"	"19"	"14"	"270"	"738"	"0"	"738"	"0"
"56"	"27"	"121"	"9"	"8"	"5"	"4"	"29"	"20"	"361"	"557"	"0"	"557"	"0"
"57"	"28"	"205"	"12"	"102"	"12"	"7"	"30"	"7"	"227"	"602"	"0"	"602"	"0"
"58"	"29"	"282"	"12"	"130"	"9"	"10"	"24"	"8"	"59"	"534"	"0"	"534"	"0"
"59"	"30"	"46"	"2"	"23"	"3"	"6"	"12"	"12"	"438"	"542"	"0"	"542"	"0"
"60"	"31"	"250"	"13"	"118"	"10"	"8"	"13"	"18"	"265"	"695"	"0"	"695"	"0"
"61"	"32"	"55"	"10"	"110"	"8"	"5"	"36"	"5"	"348"	"577"	"0"	"577"	"0"
"62"	"33"	"302"	"24"	"68"	"12"	"11"	"16"	"14"	"344"	"791"	"0"	"791"	"0"
"63"	"34"	"201"	"12"	"13"	"5"	"4"	"8"	"6"	"125"	"374"	"0"	"374"	"0"
"64"	"35"	"129"	"5"	"88"	"5"	"6"	"12"	"5"	"125"	"375"	"0"	"375"	"0"
"65"	"36"	"195"	"22"	"230"	"17"	"28"	"26"	"17"	"89"	"624"	"0"	"624"	"0"
"66"	"37"	"328"	"18"	"73"	"7"	"5"	"7"	"6"	"27"	"471"	"0"	"471"	"0"
"67"	"38"	"155"	"11"	"77"	"7"	"6"	"12"	"5"	"126"	"399"	"0"	"399"	"0"
"68"	"39"	"73"	"4"	"67"	"2"	"5"	"19"	"12"	"230"	"412"	"0"	"412"	"0"
"69"	"Total..."	"2712"	"180"	"1123"	"110"	"120"	"263"	"149"	"3034"	"7691"	"0"	"7691"	"0"
"70"	"rand Tor"	"10132"	"604"	"4212"	"388"	"318"	"818"	"422"	"4865"	"21759"	"0"	"21759"	"0"
"71"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"77"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"78"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"79"	"40"	"87"	"8"	"162"	"9"	"9"	"13"	"7"	"182"	"477"	"0"	"477"	"0"
"80"	"41"	"335"	"27"	"25"	"9"	"5"	"14"	"5"	"45"	"465"	"0"	"465"	"0"
"81"	"42"	"546"	"34"	"19"	"9"	"2"	"5"	"2"	"28"	"645"	"0"	"645"	"0"
"82"	"43"	"149"	"13"	"2"	"2"	"3"	"1"	"0"	"2"	"172"	"0"	"172"	"0"
"83"	"44"	"314"	"25"	"9"	"32"	"5"	"2"	"5"	"7"	"399"	"0"	"399"	"0"
"84"	"44A"	"131"	"10"	"7"	"0"	"2"	"3"	"4"	"55"	"212"	"0"	"212"	"0"
"85"	"45"	"270"	"31"	"34"	"5"	"7"	"7"	"4"	"82"	"440"	"0"	"440"	"0"
"86"	"46"	"416"	"21"	"20"	"15"	"14"	"8"	"17"	"71"	"582"	"0"	"582"	"0"
"87"	"47"	"265"	"20"	"40"	"12"	"8"	"5"	"1"	"19"	"370"	"0"	"370"	"0"
"88"	"48"	"270"	"16"	"12"	"2"	"5"	"4"	"1"	"31"	"341"	"0"	"341"	"0"
"89"	"49"	"265"	"24"	"17"	"4"	"2"	"4"	"5"	"94"	"415"	"0"	"415"	"0"
"90"	"50"	"206"	"9"	"14"	"4"	"10"	"14"	"12"	"116"	"385"	"0"	"385"	"0"
"91"	"51"	"349"	"23"	"9"	"2"	"3"	"5"	"5"	"16"	"412"	"0"	"412"	"0"
"92"	"52"	"258"	"22"	"15"	"7"	"4"	"1"	"6"	"12"	"325"	"0"	"325"	"0"
"93"	"Total..."	"3861"	"283"	"385"	"112"	"79"	"86"	"74"	"760"	"5640"	"0"	"5640"	"0"
"94"	"rand Tot"	"13993"	"887"	"4597"	"500"	"397"	"904"	"496"	"5625"	"27399"	"0"	"27399"	"0"
"95"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"101"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"103"	"53"	"205"	"29"	"26"	"11"	"11"	"9"	"12"	"106"	"409"	"0"	"409"	"0"
"104"	"54"	"272"	"25"	"12"	"10"	"6"	"4"	"6"	"115"	"450"	"0"	"450"	"0"
"105"	"55"	"328"	"13"	"7"	"7"	"5"	"4"	"7"	"27"	"398"	"0"	"398"	"0"
"106"	"56"	"273"	"21"	"5"	"1"	"2"	"0"	"6"	"6"	"314"	"0"	"314"	"0"
"107"	"57"	"394"	"29"	"3"	"5"	"3"	"3"	"1"	"33"	"471"	"0"	"471"	"0"
"108"	"58"	"297"	"31"	"19"	"11"	"6"	"9"	"7"	"83"	"463"	"0"	"463"	"0"
"109"	"59"	"228"	"14"	"9"	"3"	"3"	"4"	"7"	"10"	"278"	"0"	"278"	"0"
"110"	"60"	"244"	"9"	"15"	"3"	"5"	"2"	"3"	"5"	"286"	"0"	"286"	"0"
"111"	"61"	"212"	"8"	"61"	"14"	"9"	"6"	"2"	"218"	"530"	"0"	"530"	"0"
"112"	"62"	"304"	"21"	"14"	"5"	"3"	"10"	"4"	"182"	"543"	"0"	"543"	"0"
"113"	"63"	"378"	"28"	"22"	"7"	"10"	"5"	"12"	"110"	"572"	"0"	"572"	"0"
"114"	"64"	"249"	"16"	"22"	"6"	"7"	"20"	"10"	"277"	"607"	"0"	"607"	"0"
"115"	"65"	"124"	"11"	"3"	"3"	"3"	"6"	"4"	"209"	"363"	"0"	"363"	"0"
"116"	"66"	"496"	"27"	"139"	"9"	"2"	"2"	"7"	"22"	"704"	"0"	"704"	"0"
"117"	"Total..."	"4004"	"282"	"357"	"95"	"75"	"84"	"88"	"1403"	"6388"	"0"	"6388"	"0"
"118"	"rand Tot"	"17997"	"1169"	"4954"	"595"	"472"	"988"	"584"	"7028"	"33787"	"0"	"33787"	"0"
"119"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"125"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"127"	"67"	"134"	"14"	"196"	"12"	"6"	"5"	"4"	"28"	"399"	"0"	"399"	"0"
"128"	"68"	"232"	"17"	"293"	"8"	"4"	"6"	"4"	"46"	"610"	"0"	"610"	"0"
"129"	"69"	"364"	"36"	"96"	"10"	"3"	"1"	"7"	"8"	"525"	"0"	"525"	"0"
"130"	"70"	"270"	"9"	"35"	"6"	"3"	"2"	"4"	"67"	"396"	"0"	"396"	"0"
"131"	"71"	"370"	"53"	"38"	"28"	"8"	"11"	"7"	"72"	"587"	"0"	"587"	"0"
"132"	"72"	"241"	"26"	"39"	"12"	"5"	"7"	"8"	"23"	"361"	"0"	"361"	"0"
"133"	"72A"	"191"	"11"	"24"	"4"	"1"	"11"	"3"	"70"	"315"	"0"	"315"	"0"
"134"	"73"	"321"	"19"	"174"	"1"	"4"	"9"	"3"	"63"	"594"	"0"	"594"	"0"
"135"	"74"	"146"	"15"	"116"	"9"	"5"	"3"	"4"	"10"	"308"	"0"	"308"	"0"
"136"	"75"	"357"	"29"	"31"	"22"	"0"	"2"	"2"	"16"	"459"	"0"	"459"	"0"
"137"	"76"	"339"	"28"	"11"	"7"	"7"	"17"	"10"	"64"	"483"	"0"	"483"	"0"
"138"	"77"	"153"	"15"	"4"	"5"	"4"	"3"	"5"	"25"	"214"	"0"	"214"	"0"
"139"	"78"	"104"	"15"	"7"	"3"	"1"	"9"	"3"	"99"	"241"	"0"	"241"	"0"
"140"	"79"	"296"	"30"	"10"	"9"	"1"	"10"	"5"	"53"	"414"	"0"	"414"	"0"
"141"	"Total..."	"3518"	"317"	"1074"	"136"	"52"	"96"	"69"	"644"	"5906"	"0"	"5906"	"0"
"142"	"rand Tot"	"21515"	"1486"	"6028"	"731"	"524"	"1084"	"653"	"7672"	"39693"	"0"	"39693"	"0"
"143"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"149"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"151"	"80"	"270"	"33"	"24"	"22"	"13"	"18"	"4"	"191"	"575"	"0"	"575"	"0"
"152"	"81"	"229"	"30"	"5"	"19"	"3"	"12"	"4"	"142"	"444"	"0"	"444"	"0"
"153"	"82"	"348"	"26"	"44"	"9"	"8"	"18"	"9"	"82"	"544"	"0"	"544"	"0"
"154"	"83"	"428"	"12"	"29"	"14"	"5"	"9"	"8"	"17"	"522"	"0"	"522"	"0"
"155"	"84"	"322"	"15"	"4"	"20"	"2"	"5"	"1"	"39"	"408"	"0"	"408"	"0"
"156"	"85"	"363"	"15"	"16"	"18"	"9"	"3"	"6"	"26"	"456"	"0"	"456"	"0"
"157"	"86"	"115"	"10"	"351"	"18"	"12"	"16"	"21"	"66"	"609"	"0"	"609"	"0"
"158"	"87"	"39"	"9"	"415"	"14"	"6"	"15"	"13"	"66"	"577"	"0"	"577"	"0"
"159"	"88"	"342"	"15"	"39"	"20"	"3"	"12"	"19"	"68"	"518"	"0"	"518"	"0"
"160"	"89"	"230"	"22"	"178"	"17"	"12"	"8"	"10"	"152"	"629"	"0"	"629"	"0"
"161"	"90"	"363"	"14"	"15"	"3"	"2"	"2"	"0"	"4"	"403"	"0"	"403"	"0"
"162"	"91"	"397"	"16"	"13"	"7"	"2"	"4"	"10"	"9"	"458"	"0"	"458"	"0"
"163"	"92"	"280"	"26"	"7"	"4"	"2"	"2"	"5"	"15"	"341"	"0"	"341"	"0"
"164"	"92A"	"245"	"10"	"6"	"10"	"3"	"2"	"13"	"2"	"291"	"0"	"291"	"0"
"165"	"Total..."	"3971"	"253"	"1146"	"195"	"82"	"126"	"123"	"879"	"6775"	"0"	"6775"	"0"
"166"	"rand Tot"	"25486"	"1739"	"7174"	"926"	"606"	"1210"	"776"	"8551"	"46468"	"0"	"46468"	"0"
"167"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"173"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"175"	"93"	"387"	"28"	"11"	"44"	"3"	"6"	"9"	"14"	"502"	"0"	"502"	"0"
"176"	"94"	"174"	"24"	"8"	"20"	"5"	"8"	"140"	"11"	"390"	"0"	"390"	"0"
"177"	"95"	"211"	"179"	"5"	"14"	"3"	"8"	"28"	"23"	"471"	"0"	"471"	"0"
"178"	"96"	"250"	"51"	"9"	"32"	"2"	"5"	"3"	"64"	"416"	"0"	"416"	"0"
"179"	"97"	"305"	"24"	"11"	"5"	"3"	"2"	"7"	"77"	"434"	"0"	"434"	"0"
"180"	"98"	"144"	"44"	"2"	"5"	"2"	"2"	"2"	"2"	"203"	"0"	"203"	"0"
"181"	"99"	"269"	"17"	"2"	"2"	"2"	"5"	"4"	"13"	"314"	"0"	"314"	"0"
"182"	"100"	"172"	"27"	"7"	"5"	"9"	"5"	"7"	"88"	"320"	"0"	"320"	"0"
"183"	"101"	"333"	"37"	"6"	"5"	"4"	"4"	"0"	"15"	"404"	"0"	"404"	"0"
"184"	"102"	"237"	"63"	"24"	"8"	"6"	"5"	"51"	"10"	"404"	"0"	"404"	"0"
"185"	"103"	"102"	"247"	"36"	"37"	"4"	"4"	"16"	"5"	"451"	"0"	"451"	"0"
"186"	"104"	"287"	"33"	"6"	"6"	"0"	"3"	"3"	"17"	"355"	"0"	"355"	"0"
"187"	"104A"	"203"	"12"	"4"	"4"	"1"	"4"	"3"	"9"	"240"	"0"	"240"	"0"
"188"	"105"	"352"	"21"	"18"	"4"	"2"	"1"	"2"	"12"	"412"	"0"	"412"	"0"
"189"	"Total..."	"3426"	"807"	"149"	"191"	"46"	"62"	"275"	"360"	"5316"	"0"	"5316"	"0"
"190"	"rand Tot"	"28912"	"2546"	"7323"	"1117"	"652"	"1272"	"1051"	"8911"	"51784"	"0"	"51784"	"0"
"191"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"197"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"199"	"106"	"321"	"17"	"12"	"6"	"5"	"4"	"9"	"120"	"494"	"0"	"494"	"0"
"200"	"107"	"353"	"15"	"8"	"3"	"2"	"25"	"9"	"21"	"436"	"0"	"436"	"0"
"201"	"108"	"156"	"6"	"9"	"2"	"4"	"4"	"2"	"23"	"206"	"0"	"206"	"0"
"202"	"109"	"202"	"8"	"10"	"4"	"6"	"3"	"3"	"61"	"297"	"0"	"297"	"0"
"203"	"110"	"112"	"11"	"10"	"12"	"13"	"13"	"14"	"207"	"392"	"0"	"392"	"0"
"204"	"111"	"152"	"14"	"6"	"3"	"8"	"9"	"9"	"200"	"401"	"0"	"401"	"0"
"205"	"111A"	"111"	"9"	"3"	"2"	"0"	"10"	"4"	"128"	"267"	"0"	"267"	"0"
"206"	"112"	"219"	"11"	"10"	"3"	"2"	"5"	"5"	"59"	"314"	"0"	"314"	"0"
"207"	"113"	"205"	"9"	"3"	"0"	"4"	"0"	"0"	"10"	"231"	"0"	"231"	"0"
"208"	"113A"	"206"	"11"	"11"	"11"	"2"	"9"	"8"	"120"	"378"	"0"	"378"	"0"
"209"	"114"	"254"	"14"	"6"	"5"	"4"	"3"	"5"	"10"	"301"	"0"	"301"	"0"
"210"	"115"	"453"	"35"	"23"	"5"	"1"	"18"	"11"	"37"	"583"	"0"	"583"	"0"
"211"	"116"	"453"	"24"	"10"	"81"	"13"	"9"	"6"	"31"	"627"	"0"	"627"	"0"
"212"	"117"	"388"	"32"	"11"	"13"	"8"	"9"	"12"	"156"	"629"	"0"	"629"	"0"
"213"	"Total..."	"3585"	"216"	"132"	"150"	"72"	"121"	"97"	"1183"	"5556"	"0"	"5556"	"0"
"214"	"rand Tot"	"32497"	"2762"	"7455"	"1267"	"724"	"1393"	"1148"	"10094"	"57340"	"0"	"57340"	"0"
"215"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"221"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"223"	"118"	"379"	"21"	"7"	"4"	"4"	"4"	"3"	"20"	"442"	"0"	"442"	"0"
"224"	"119"	"427"	"25"	"30"	"8"	"6"	"4"	"7"	"28"	"535"	"0"	"535"	"0"
"225"	"120"	"302"	"14"	"11"	"8"	"1"	"5"	"9"	"32"	"382"	"0"	"382"	"0"
"226"	"121"	"283"	"16"	"16"	"5"	"2"	"5"	"4"	"14"	"345"	"0"	"345"	"0"
"227"	"122"	"244"	"22"	"59"	"6"	"3"	"3"	"2"	"37"	"376"	"0"	"376"	"0"
"228"	"123"	"275"	"14"	"3"	"7"	"2"	"5"	"1"	"9"	"316"	"0"	"316"	"0"
"229"	"124"	"212"	"9"	"7"	"2"	"4"	"37"	"3"	"71"	"345"	"0"	"345"	"0"
"230"	"125"	"234"	"3"	"3"	"4"	"0"	"1"	"1"	"13"	"259"	"0"	"259"	"0"
"231"	"126"	"248"	"15"	"12"	"4"	"2"	"5"	"3"	"89"	"378"	"0"	"378"	"0"
