"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUEN"	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""
"7"	"ssembly Constituency/Segment                                                        197981"	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                                        206-Sahar"	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"71"	"53"	"PRIMARY SCHOOL BIHTA(WEST PART)"	"139"	"452"	"95"	"16"	"702"	"0"	"702"	"0"
"72"	"54"	"HIGH SCHOOL BIHTA(NORTH PART )"	"99"	"89"	"137"	"30"	"355"	"0"	"355"	"0"
"73"	"54A"	"HIGH SCHOOL BIHTA(SOUTH PART )"	"130"	"19"	"165"	"4"	"318"	"0"	"318"	"0"
"74"	"55"	"HIGH SCHOOL BIHTA (SOUTH PART)"	"49"	"278"	"149"	"37"	"513"	"0"	"513"	"0"
"75"	"56"	"PRIMARY SCHOOL DHARMPURA"	"56"	"109"	"102"	"0"	"267"	"0"	"267"	"0"
"76"	"57"	"PRIMARY SCHOOL BIHTA ENGLISH"	"342"	"119"	"25"	"22"	"508"	"0"	"508"	"0"
"77"	"58"	"HIGH SCHOOL BARKA GAON(NORTH PART)"	"66"	"234"	"166"	"15"	"481"	"0"	"481"	"0"
"78"	"59"	"HIGH SCHOOL BARKA GAON(SOUTH PART)"	"44"	"137"	"120"	"14"	"315"	"0"	"315"	"0"
"79"	"60"	"MIDDLE SCHOOL BARKA GAON BOYS (WEST PART)"	"80"	"219"	"149"	"26"	"474"	"0"	"474"	"0"
"80"	"61"	"PANCHAYAT BHAWAN BARKA GAON"	"177"	"196"	"47"	"32"	"452"	"0"	"452"	"0"
"81"	"62"	"MIDDLE SCHOOL BHADSERA"	"57"	"232"	"157"	"21"	"467"	"0"	"467"	"0"
"82"	"63"	"MIDDLE SCHOOL DUMARIYA (EAST PART )"	"171"	"181"	"21"	"16"	"389"	"0"	"389"	"0"
"83"	"64"	"MIDDLE SCHOOL DUMARIYA (WEST PART )"	"112"	"107"	"69"	"1"	"289"	"0"	"289"	"0"
"84"	"65"	"PRIMARY SCHOOL DHANGAWAN (EAST PART)"	"86"	"96"	"129"	"6"	"317"	"0"	"317"	"0"
"85"	"66"	"PRIMARY SCHOOL DHANGAWAN(WEST PART)"	"162"	"239"	"42"	"7"	"450"	"0"	"450"	"0"
"86"	"67"	"PRIMARY SCHOOL KAPURDIHRA"	"118"	"341"	"158"	"24"	"641"	"0"	"641"	"0"
"87"	"68"	"PRIMARY SCHOOL DHARMDAS DIHRA"	"49"	"211"	"19"	"2"	"281"	"0"	"281"	"0"
"88"	"69"	"SANSKRIT SCHOOL ITAHURI"	"31"	"99"	"145"	"2"	"277"	"0"	"277"	"0"
"89"	"70"	"PRIMARY SCHOOL RANNI"	"55"	"145"	"103"	"11"	"314"	"0"	"314"	"0"
"90"	"71"	"PRIMARY SCHOOL DEO(SOUTH PART)"	"93"	"259"	"132"	"25"	"509"	"0"	"509"	"0"
"91"	"72"	"PRIMARY SCHOOL DEO(NORTH PART)"	"118"	"293"	"113"	"10"	"534"	"0"	"534"	"0"
"92"	"73"	"MIDDLE SCHOOL CHANDA(NORTH PART)"	"42"	"81"	"201"	"9"	"333"	"0"	"333"	"0"
"93"	"74"	"MIDDLE SCHOOL CHANDA(SOUTH PART)"	"119"	"165"	"117"	"10"	"411"	"0"	"411"	"0"
"94"	"75"	"URDU PRIMARY SCHOOL KURMURI(NORTH PART)"	"42"	"223"	"27"	"9"	"301"	"0"	"301"	"0"
"95"	"76"	"URDU PRIMARY SCHOOL KURMURI(SOUTH PART)"	"93"	"176"	"45"	"3"	"317"	"0"	"317"	"0"
"96"	"77"	"PRIMARY SCHOOL KURMURI(WEST PART)"	"235"	"10"	"117"	"3"	"365"	"0"	"365"	"0"
"97"	"78"	"MIDDLE SCHOOL KURMURI (SOUTH PART)"	"219"	"273"	"37"	"37"	"566"	"0"	"566"	"0"
"98"	"79"	"HIGH SCHOOL SIKRAHTTA (EAST BHAWAN SOUTH PART)"	"222"	"410"	"57"	"37"	"726"	"0"	"726"	"0"
"99"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"100"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"101"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"102"	"80"	"HIGH SCHOOL SIKRAHTTA (WEST BHAWAN NORTH PART)"	"95"	"298"	"93"	"14"	"500"	"0"	"500"	"0"
"103"	"81"	"MIDDLE SCHOOL SIKRAHTTAKALA (EAST PART)"	"75"	"180"	"89"	"7"	"351"	"0"	"351"	"0"
"104"	"82"	"URDU SCHOOL SIKRAHTTA KHURD(EAST PART)"	"146"	"167"	"69"	"6"	"388"	"0"	"388"	"0"
"105"	"83"	"URDU PRIMARY SCHOOL SIKRAHTTA KHURD(WEST PART)"	"144"	"107"	"41"	"4"	"296"	"0"	"296"	"0"
"106"	"84"	"MIDDLE SCHOOL SIKRAHTTAKALA(WEST PART)"	"108"	"159"	"43"	"2"	"312"	"0"	"312"	"0"
"107"	"85"	"PANCHAYAT BHAWAN BAGAR(NORTH PART)"	"25"	"318"	"215"	"24"	"582"	"0"	"582"	"0"
"108"	"86"	"PANCHAYAT BHAWAN BAGAR(SOURTH PART)"	"37"	"104"	"239"	"10"	"390"	"0"	"390"	"0"
"109"	"87"	"JANTA HITAISI LIBRERY BAGAR"	"42"	"219"	"230"	"16"	"507"	"0"	"507"	"0"
"110"	"88"	"PRIMARY SCHOOL DARIDIH(EAST PART)"	"79"	"245"	"125"	"7"	"456"	"0"	"456"	"0"
"111"	"89"	"PRMIARY SCHOOL DARIDEE (WEST PART)"	"75"	"137"	"7"	"7"	"226"	"0"	"226"	"0"
"112"	"90"	"PRIMARY SCHOOL BSARA"	"76"	"243"	"144"	"7"	"470"	"0"	"470"	"0"
"113"	"91"	"URDU PRIMARY SCHOOL PANWARI"	"188"	"259"	"24"	"19"	"490"	"0"	"490"	"0"
"114"	"92"	"HRIJAN PRIMARY SCHOOL PANWARI"	"187"	"328"	"101"	"20"	"636"	"0"	"636"	"0"
"115"	"93"	"MIDIL SCHOOL KUTHA"	"64"	"393"	"236"	"24"	"717"	"0"	"717"	"0"
"116"	"94"	"PRIMARY SCHOOL MOAAPKALA"	"62"	"222"	"212"	"19"	"515"	"0"	"515"	"0"
"117"	"95"	"PANCHYAT BHAVAN MOAAPKLA"	"109"	"184"	"126"	"14"	"433"	"0"	"433"	"0"
"118"	"96"	"PRIMARY SCHOOL MOAAPKALA KANAYA"	"22"	"257"	"54"	"15"	"348"	"0"	"348"	"0"
"119"	"97"	"PRIMARY SCHOOL VISHMBERPUR"	"64"	"207"	"234"	"10"	"515"	"0"	"515"	"0"
"120"	"98"	"PRIMARY SCHOOL VARSEE"	"486"	"101"	"15"	"2"	"604"	"0"	"604"	"0"
"121"	"99"	"PRIMARY SCHOOL SAVNA"	"99"	"46"	"110"	"2"	"257"	"0"	"257"	"0"
"122"	"100"	"PRIMARY SCHOOL BARAI"	"76"	"44"	"152"	"2"	"274"	"0"	"274"	"0"
"123"	"101"	"PRIMARY SCHOOL NARAYANPUR"	"48"	"155"	"29"	"15"	"247"	"0"	"247"	"0"
"124"	"102"	"PRIMARY SCHOOL SAHIYARA"	"133"	"268"	"61"	"19"	"481"	"0"	"481"	"0"
"125"	"103"	"PRIMARY SCHOOL MOAP KHURD(EAST PART)"	"78"	"95"	"62"	"7"	"242"	"0"	"242"	"0"
"126"	"104"	"PRIMARY SCHOOL MOAAPKHURUD WEST PRAT"	"214"	"126"	"34"	"11"	"385"	"0"	"385"	"0"
"127"	"105"	"MIDDLE SCHOOL IAMADUPAR"	"140"	"118"	"250"	"17"	"525"	"0"	"525"	"0"
"128"	"106"	"PRIMARY SCHOOL IAMADUPAR"	"36"	"263"	"93"	"32"	"424"	"0"	"424"	"0"
"129"	"107"	"MIDDLE SCHOOL VISHNUPURA"	"78"	"130"	"131"	"14"	"353"	"0"	"353"	"0"
"130"	"108"	"PRIMARY SCHOOL VISHNUPURA"	"61"	"545"	"57"	"23"	"686"	"0"	"686"	"0"
"131"	"109"	"PRIMARY SCHOOL RAJPUR"	"192"	"369"	"105"	"16"	"682"	"0"	"682"	"0"
"132"	"110"	"SANKARIT HIGH SCHOOL ANDHARI(NORTH PART)"	"76"	"230"	"153"	"15"	"474"	"0"	"474"	"0"
"133"	"111"	"SHINKRIT HIGH SCHOOL ANDHARI(SOUTHPART)"	"41"	"269"	"56"	"20"	"386"	"0"	"386"	"0"
"134"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"135"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"136"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"137"	"112"	"MIDDLE SCHOOL FATEHPUR"	"103"	"259"	"170"	"27"	"559"	"0"	"559"	"0"
"138"	"113"	"PRIMARY SCHOOL DHARAMPUR"	"179"	"137"	"33"	"11"	"360"	"0"	"360"	"0"
"139"	"114"	"PRIMARY SCHOOL OJHWALIYA"	"158"	"247"	"90"	"11"	"506"	"0"	"506"	"0"
"140"	"115"	"PRIMARY SCHOOL HARPUR"	"31"	"180"	"99"	"28"	"338"	"0"	"338"	"0"
"141"	"116"	"PRIMARY SCHOOL JANPURIYA"	"116"	"239"	"80"	"7"	"442"	"0"	"442"	"0"
"142"	"117"	"PRIMARY URDU SCHOOL KOOLODEHARI(NORTH PART)"	"83"	"234"	"89"	"18"	"424"	"0"	"424"	"0"
"143"	"118"	"PRIMARY URDE VSCHOOL KOOLODIHARI(SOUTH PART)"	"45"	"228"	"84"	"11"	"368"	"0"	"368"	"0"
"144"	"119"	"PRIMARY SCHOOL KOOLODIHARI POLISH CAMPS KA PAS"	"70"	"413"	"51"	"22"	"556"	"0"	"556"	"0"
"145"	"120"	"URDU MAKHTAB CHTRAPURA"	"38"	"270"	"14"	"11"	"333"	"0"	"333"	"0"
"146"	"121"	"PRIMARY SCHOOL KHANDAVA CHATURBHUJ (NORTH)"	"34"	"344"	"42"	"17"	"437"	"0"	"437"	"0"
"147"	"122"	"PRIMARY SCHOOL KHANDAVA CHARTBURG SOUTHPART"	"150"	"60"	"170"	"0"	"380"	"0"	"380"	"0"
"148"	"123"	"P.S.KHANDAVA BUJURG(WEST OF ROAD)NEW BHAWAN,LEFT PART"	"132"	"237"	"42"	"11"	"422"	"0"	"422"	"0"
"149"	"124"	"P.S.KHANDAVA BUJURG (WEST OF ROAD),NEWBHAWAN,RIGHT PART"	"113"	"227"	"46"	"20"	"406"	"0"	"406"	"0"
"150"	"125"	"PRIMARY SCHOOL LODIPUR"	"38"	"190"	"14"	"8"	"250"	"0"	"250"	"0"
"151"	"126"	"PRIMARY SCHOOL SAKUAANA"	"52"	"144"	"73"	"5"	"274"	"0"	"274"	"0"
"152"	"127"	"PRIMARY SCHOOL DHAVARI NAVE BAHWAN"	"101"	"225"	"57"	"4"	"387"	"0"	"387"	"0"
"153"	"128"	"MIDDLE SCHOOL DHANCHUAA EAST PART"	"101"	"169"	"79"	"31"	"380"	"0"	"380"	"0"
"154"	"129"	"MIDDLE SCHOOL DHANCHAA MEDIAL PART"	"141"	"277"	"61"	"16"	"495"	"0"	"495"	"0"
"155"	"130"	"PRIMARY SCHOOL PATALPURA"	"73"	"207"	"14"	"6"	"300"	"0"	"300"	"0"
"156"	"131"	"MIDDLE SCHOOL CHAKCHOUDHARI WEST PART"	"175"	"150"	"26"	"15"	"366"	"0"	"366"	"0"
"157"	"132"	"MIDDLE SCHOOL CHAKCHOUDHARI EAST PART"	"82"	"130"	"100"	"7"	"319"	"0"	"319"	"0"
"158"	"133"	"MIDDLE SCHOOL CHAURI"	"52"	"300"	"194"	"17"	"563"	"0"	"563"	"0"
"159"	"134"	"PRIMARY SCHOOL TAGPUR CHAPARA"	"51"	"27"	"60"	"2"	"140"	"0"	"140"	"0"
"160"	"135"	"PRIMARY SCHOOL BAHUARA"	"273"	"230"	"50"	"8"	"561"	"0"	"561"	"0"
"161"	"136"	"PRIMARY SCHOOL BANGOATI"	"146"	"177"	"35"	"5"	"363"	"0"	"363"	"0"
"162"	"137"	"MIDDLE SCHOOL PURHRA"	"58"	"168"	"362"	"9"	"597"	"0"	"597"	"0"
"163"	"138"	"PRIMARY SCHOOL NIMA HARIZAN TOLA"	"22"	"150"	"81"	"10"	"263"	"0"	"263"	"0"
"164"	"139"	"PRIMARY SCHOOL AMRUHAON (EAST PART)"	"46"	"240"	"183"	"4"	"473"	"0"	"473"	"0"
"165"	"140"	"PRIMARY SCHOOL BHATBIGHA"	"142"	"178"	"21"	"6"	"347"	"0"	"347"	"0"
"166"	"141"	"MIDDLE SCHOOL KOOSIYR(NORTH PART)"	"19"	"185"	"67"	"8"	"279"	"0"	"279"	"0"
"167"	"142"	"MIDDLE SCHOOL KOOSIYR(SOUTH PART)"	"81"	"147"	"99"	"3"	"330"	"0"	"330"	"0"
"168"	"143"	"HIGH SCHOOL GORPA"	"91"	"46"	"114"	"4"	"255"	"0"	"255"	"0"
"169"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"170"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"171"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"172"	"144"	"PRIMARY SCHOOL BHIKHAMPUR"	"154"	"235"	"12"	"17"	"418"	"0"	"418"	"0"
"173"	"145"	"MIDDLE SCHOOL YOOGA KHRAICHA"	"18"	"172"	"56"	"7"	"253"	"0"	"253"	"0"
"174"	"146"	"PRIMARY SCHOOL VISHANBERPUR"	"38"	"109"	"36"	"8"	"191"	"0"	"191"	"0"
"175"	"147"	"PRIMARY SCHOOL  CHIRALI"	"182"	"63"	"26"	"12"	"283"	"0"	"283"	"0"
"176"	"148"	"PANCHAYAT BHAWAN DILIYA (NORTH PART)"	"114"	"106"	"30"	"11"	"261"	"0"	"261"	"0"
"177"	"149"	"PANCHAYAT BHAWAN DILIYA (SOUTH PART)"	"17"	"122"	"179"	"10"	"328"	"0"	"328"	"0"
"178"	"150"	"PRIMARY SCHOOL BAGHUAI"	"159"	"101"	"39"	"12"	"311"	"0"	"311"	"0"
"179"	"151"	"MIDDLE SCHOOL MARANPUR (SOUTH PART)"	"120"	"47"	"53"	"5"	"225"	"0"	"225"	"0"
"180"	"152"	"MIDDLE SCHOOL MARANPUR (NORTH PART)"	"60"	"213"	"45"	"8"	"326"	"0"	"326"	"0"
"181"	"153"	"MIDDLE SCHOOL MARANPUR (MIDDLE PART)"	"22"	"199"	"84"	"5"	"310"	"0"	"310"	"0"
"182"	"154"	"PRIMARY SCHOOL SETUHARI"	"98"	"331"	"74"	"21"	"524"	"0"	"524"	"0"
"183"	"155"	"PRIMARY SCHOOL BARUNA NORTH PART"	"84"	"291"	"23"	"7"	"405"	"0"	"405"	"0"
"184"	"156"	"PRIMARY SCHOOL BARUNA (SOUTH PART)"	"103"	"165"	"41"	"7"	"316"	"0"	"316"	"0"
"185"	"157"	"PRIMARY SANSKRIT SCHOOL EKWARI"	"57"	"354"	"193"	"28"	"632"	"0"	"632"	"0"
"186"	"158"	"URDE PRIMARY SCHOOL EKWARI (NORTH PART)"	"33"	"152"	"85"	"15"	"285"	"0"	"285"	"0"
"187"	"159"	"MIDDLE SCHOOL EKWARI"	"193"	"184"	"56"	"11"	"444"	"0"	"444"	"0"
"188"	"160"	"SINKRIT SCHOOL EKWARI (SOUTH PART)"	"70"	"128"	"91"	"8"	"297"	"0"	"297"	"0"
"189"	"161"	"PRIMARY SCHOOL HANUMAN CHAPRA"	"105"	"476"	"100"	"28"	"709"	"0"	"709"	"0"
"190"	"162"	"SINKRIT SCHOOL AKVAREE (NORTH PART)"	"77"	"196"	"113"	"11"	"397"	"0"	"397"	"0"
"191"	"163"	"HIGH SCHOOL AKVAREE (SOUTH PART)"	"24"	"305"	"31"	"13"	"373"	"0"	"373"	"0"
"192"	"164"	"MIDDLE SCHOOL PAIRHAP (WEST PART)"	"36"	"179"	"88"	"13"	"316"	"0"	"316"	"0"
"193"	"165"	"MIDDLE SCHOOL PAIRHAP  MIDDLE PART"	"113"	"166"	"72"	"13"	"364"	"0"	"364"	"0"
"194"	"166"	"MIDDLE SCHOOL PAIRHAP EAST PART"	"28"	"226"	"57"	"12"	"323"	"0"	"323"	"0"
"195"	"167"	"DUDH UTPDAN SHYOGE SAMATI KA BHAWAN PAIRHAP"	"25"	"115"	"87"	"3"	"230"	"0"	"230"	"0"
"196"	"168"	"PRIMARY  SCHOOL KHAIRA"	"230"	"213"	"71"	"24"	"538"	"0"	"538"	"0"
"197"	"169"	"PRIMARY SCHOOL KARVASIN"	"111"	"152"	"49"	"11"	"323"	"0"	"323"	"0"
"198"	"170"	"PRIMARY SCHOOL GULJARPUR (NORTH PART)"	"70"	"246"	"55"	"12"	"383"	"0"	"383"	"0"
"199"	"171"	"PRIMARY SCHOOL GULJARPUR (SOUTH PART)"	"46"	"79"	"63"	"7"	"195"	"0"	"195"	"0"
"200"	"172"	"PANCHYT BHWAN GULJARPUR"	"60"	"102"	"81"	"8"	"251"	"0"	"251"	"0"
"201"	"173"	"PRIMARY SCHOOL ANUAA"	"89"	"241"	"125"	"6"	"461"	"0"	"461"	"0"
"202"	"174"	"PRIMARY SCHOOL INURKHEE"	"149"	"206"	"99"	"20"	"474"	"0"	"474"	"0"
"203"	"175"	"PRIMARY SCHOOL MISRICHAK"	"78"	"356"	"83"	"15"	"532"	"0"	"532"	"0"
"204"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
