"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"
"35"	"20"	""	"67"	""	"6"	""	"308"	""	"34"	""	"7"	""	"15"	""	"7"	""	"21"	""	""	""	"465"	""	""	""	""	"465"	""	""	""	""	""	""	""
"36"	"21"	""	"18"	""	"3"	""	"145"	""	"26"	""	"5"	""	"5"	""	"2"	""	"2"	""	""	""	"206"	""	""	""	""	"206"	""	""	""	""	""	""	""
"37"	"22"	""	"39"	""	"9"	""	"279"	""	"39"	""	"10"	""	"9"	""	"4"	""	"8"	""	""	""	"397"	""	""	""	""	"397"	""	""	""	""	""	""	""
"38"	"23"	""	"23"	""	"7"	""	"412"	""	"61"	""	"7"	""	"12"	""	"8"	""	"22"	""	""	""	"552"	""	""	""	""	"552"	""	""	""	""	""	""	""
"39"	"24"	""	"20"	""	"5"	""	"246"	""	"95"	""	"12"	""	"6"	""	"4"	""	"13"	""	""	""	"401"	""	""	""	""	"401"	""	""	""	""	""	""	""
"40"	"25"	""	"12"	""	"2"	""	"285"	""	"69"	""	"7"	""	"4"	""	"2"	""	"8"	""	""	""	"389"	""	""	""	""	"389"	""	""	""	""	""	""	""
"41"	"26"	""	"63"	""	"7"	""	"189"	""	"46"	""	"14"	""	"10"	""	"5"	""	"8"	""	""	""	"342"	""	""	""	""	"342"	""	""	""	""	""	""	""
"42"	"27"	""	"17"	""	"3"	""	"163"	""	"39"	""	"3"	""	"4"	""	"3"	""	"10"	""	""	""	"242"	""	""	""	""	"242"	""	""	""	""	""	""	""
"43"	"27A"	""	"15"	""	"2"	""	"107"	""	"121"	""	"9"	""	"6"	""	"2"	""	"2"	""	""	""	"264"	""	""	""	""	"264"	""	""	""	""	""	""	""
"44"	"Total"	""	"380"	""	"65"	""	"3342"	""	"674"	""	"95"	""	"88"	""	"59"	""	"143"	""	""	""	"4846"	""	""	""	""	"4846"	""	""	"0"	""	""	""	""
"45"	"Till Last Round"	""	"-1340"	""	"-91"	""	"-2021"	""	"-555"	""	"-76"	""	"-73"	""	"-61"	""	"-94"	""	""	""	"-4311"	""	"0"	""	""	"-4311"	""	""	"0"	""	""	""	""
"46"	"Grand Total"	""	"1720"	""	"156"	""	"5363"	""	"1229"	""	"171"	""	"161"	""	"120"	""	"237"	""	""	""	"9157"	""	"0"	""	""	"9157"	""	""	"0"	""	""	""	""
"47"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""
"49"	"Serial no. of polling station"	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	""	"Suresh Rai"	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"8"	"78"	""	"5"	""	"185"	""	""	"177"	"19"	""	"9"	""	"4"	""	""	"16"	""	""	"493"	""	""	""	""	"493"	""	""	""	""	""	""	""	""
"51"	"29"	"19"	""	"9"	""	"246"	""	""	"37"	"4"	""	"11"	""	"3"	""	""	"18"	""	""	"347"	""	""	""	""	"347"	""	""	""	""	""	""	""	""
"52"	"29A"	"34"	""	"3"	""	"188"	""	""	"41"	"3"	""	"3"	""	"3"	""	""	"6"	""	""	"281"	""	""	""	""	"281"	""	""	""	""	""	""	""	""
"53"	"30"	"31"	""	"5"	""	"172"	""	""	"25"	"2"	""	"5"	""	"4"	""	""	"5"	""	""	"249"	""	""	""	""	"249"	""	""	""	""	""	""	""	""
"54"	"30A"	"36"	""	"4"	""	"179"	""	""	"31"	"2"	""	"7"	""	"2"	""	""	"5"	""	""	"266"	""	""	""	""	"266"	""	""	""	""	""	""	""	""
"55"	"31"	"53"	""	"9"	""	"175"	""	""	"152"	"15"	""	"8"	""	"7"	""	""	"13"	""	""	"432"	""	""	""	""	"432"	""	""	""	""	""	""	""	""
"56"	"32"	"24"	""	"7"	""	"168"	""	""	"18"	"1"	""	"0"	""	"1"	""	""	"6"	""	""	"225"	""	""	""	""	"225"	""	""	""	""	""	""	""	""
"57"	"33"	"19"	""	"1"	""	"204"	""	""	"9"	"6"	""	"4"	""	"2"	""	""	"11"	""	""	"256"	""	""	""	""	"256"	""	""	""	""	""	""	""	""
"58"	"34"	"8"	""	"3"	""	"271"	""	""	"60"	"8"	""	"6"	""	"4"	""	""	"5"	""	""	"365"	""	""	""	""	"365"	""	""	""	""	""	""	""	""
"59"	"35"	"166"	""	"1"	""	"70"	""	""	"58"	"4"	""	"5"	""	"4"	""	""	"6"	""	""	"314"	""	""	""	""	"314"	""	""	""	""	""	""	""	""
"60"	"36"	"11"	""	"1"	""	"82"	""	""	"5"	"2"	""	"0"	""	"2"	""	""	"1"	""	""	"104"	""	""	""	""	"104"	""	""	""	""	""	""	""	""
"61"	"37"	"309"	""	"11"	""	"253"	""	""	"14"	"6"	""	"1"	""	"3"	""	""	"4"	""	""	"601"	""	""	""	""	"601"	""	""	""	""	""	""	""	""
"62"	"38"	"75"	""	"7"	""	"343"	""	""	"19"	"3"	""	"7"	""	"2"	""	""	"15"	""	""	"471"	""	""	""	""	"471"	""	""	""	""	""	""	""	""
"63"	"39"	"200"	""	"3"	""	"107"	""	""	"65"	"6"	""	"2"	""	"4"	""	""	"6"	""	""	"393"	""	""	""	""	"393"	""	""	""	""	""	""	""	""
"64"	"Total"	"1063"	""	"69"	""	"2643"	""	""	"711"	"81"	""	"68"	""	"45"	""	""	"117"	""	""	"4797"	""	""	""	""	"4797"	""	""	"0"	""	""	""	""	""
"65"	"Till Last Round"	"-1720"	""	"-156"	""	"-5363"	""	""	"-1229"	"-171"	""	"-161"	""	"-120"	""	""	"-237"	""	""	"-9157"	""	"0"	""	""	"-9157"	""	""	"0"	""	""	""	""	""
"66"	"Grand Total"	"2783"	""	"225"	""	"8006"	""	""	"1940"	"252"	""	"229"	""	"165"	""	""	"354"	""	""	"13954"	""	"0"	""	""	"13954"	""	""	"0"	""	""	""	""	""
"67"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"69"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"40"	""	"138"	""	"2"	""	"258"	""	"10"	""	"4"	""	"7"	""	"10"	""	"15"	""	""	""	"444"	""	""	""	""	"444"	""	""	""	""	""	""	""
"71"	"41"	""	"118"	""	"6"	""	"147"	""	"21"	""	"2"	""	"4"	""	"2"	""	"3"	""	""	""	"303"	""	""	""	""	"303"	""	""	""	""	""	""	""
"72"	"42"	""	"181"	""	"2"	""	"103"	""	"12"	""	"1"	""	"3"	""	"2"	""	"0"	""	""	""	"304"	""	""	""	""	"304"	""	""	""	""	""	""	""
"73"	"43"	""	"430"	""	"4"	""	"81"	""	"4"	""	"2"	""	"0"	""	"0"	""	"5"	""	""	""	"526"	""	""	""	""	"526"	""	""	""	""	""	""	""
"74"	"44"	""	"145"	""	"11"	""	"227"	""	"24"	""	"1"	""	"1"	""	"0"	""	"3"	""	""	""	"412"	""	""	""	""	"412"	""	""	""	""	""	""	""
"75"	"44A"	""	"98"	""	"8"	""	"227"	""	"25"	""	"2"	""	"6"	""	"2"	""	"11"	""	""	""	"379"	""	""	""	""	"379"	""	""	""	""	""	""	""
"76"	"45"	""	"133"	""	"2"	""	"222"	""	"8"	""	"2"	""	"0"	""	"2"	""	"9"	""	""	""	"378"	""	""	""	""	"378"	""	""	""	""	""	""	""
"77"	"45A"	""	"147"	""	"6"	""	"137"	""	"16"	""	"3"	""	"1"	""	"5"	""	"7"	""	""	""	"322"	""	""	""	""	"322"	""	""	""	""	""	""	""
"78"	"46"	""	"234"	""	"19"	""	"52"	""	"65"	""	"6"	""	"6"	""	"2"	""	"9"	""	""	""	"393"	""	""	""	""	"393"	""	""	""	""	""	""	""
"79"	"46A"	""	"120"	""	"6"	""	"188"	""	"57"	""	"6"	""	"2"	""	"4"	""	"8"	""	""	""	"391"	""	""	""	""	"391"	""	""	""	""	""	""	""
"80"	"47"	""	"304"	""	"9"	""	"72"	""	"11"	""	"1"	""	"1"	""	"2"	""	"2"	""	""	""	"402"	""	""	""	""	"402"	""	""	""	""	""	""	""
"81"	"48"	""	"335"	""	"9"	""	"47"	""	"30"	""	"4"	""	"4"	""	"5"	""	"3"	""	""	""	"437"	""	""	""	""	"437"	""	""	""	""	""	""	""
"82"	"49"	""	"176"	""	"7"	""	"239"	""	"16"	""	"2"	""	"5"	""	"1"	""	"5"	""	""	""	"451"	""	""	""	""	"451"	""	""	""	""	""	""	""
"83"	"50"	""	"146"	""	"6"	""	"184"	""	"8"	""	"1"	""	"2"	""	"3"	""	"8"	""	""	""	"358"	""	""	""	""	"358"	""	""	""	""	""	""	""
"84"	"Total"	""	"2705"	""	"97"	""	"2184"	""	"307"	""	"37"	""	"42"	""	"40"	""	"88"	""	""	""	"5500"	""	""	""	""	"5500"	""	""	"0"	""	""	""	""
"85"	"Till Last Round"	""	"-2783"	""	"-225"	""	"-8006"	""	"-1940"	""	"-252"	""	"-229"	""	"-165"	""	"-354"	""	""	""	"-13954"	""	"0"	""	""	"-13954"	""	""	"0"	""	""	""	""
"86"	"Grand Total"	""	"5488"	""	"322"	""	"10190"	""	"2247"	""	"289"	""	"271"	""	"205"	""	"442"	""	""	""	"19454"	""	"0"	""	""	"19454"	""	""	"0"	""	""	""	""
"87"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"89"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"51"	""	"82"	""	"11"	""	"364"	""	"13"	""	"2"	""	"4"	""	"1"	""	""	"9"	""	""	"486"	""	""	""	""	"486"	""	""	""	""	""	""	""
"91"	"52"	""	"301"	""	"14"	""	"236"	""	"28"	""	"2"	""	"6"	""	"5"	""	""	"6"	""	""	"598"	""	""	""	""	"598"	""	""	""	""	""	""	""
"92"	"53"	""	"360"	""	"6"	""	"266"	""	"77"	""	"2"	""	"3"	""	"2"	""	""	"6"	""	""	"722"	""	""	""	""	"722"	""	""	""	""	""	""	""
"93"	"54"	""	"454"	""	"11"	""	"76"	""	"14"	""	"5"	""	"3"	""	"1"	""	""	"16"	""	""	"580"	""	""	""	""	"580"	""	""	""	""	""	""	""
"94"	"55"	""	"259"	""	"21"	""	"60"	""	"9"	""	"1"	""	"1"	""	"9"	""	""	"4"	""	""	"364"	""	""	""	""	"364"	""	""	""	""	""	""	""
"95"	"56"	""	"273"	""	"3"	""	"328"	""	"20"	""	"4"	""	"5"	""	"5"	""	""	"5"	""	""	"643"	""	""	""	""	"643"	""	""	""	""	""	""	""
"96"	"57"	""	"234"	""	"10"	""	"257"	""	"41"	""	"2"	""	"12"	""	"4"	""	""	"3"	""	""	"563"	""	""	""	""	"563"	""	""	""	""	""	""	""
"97"	"58"	""	"64"	""	"11"	""	"213"	""	"16"	""	"1"	""	"2"	""	"2"	""	""	"2"	""	""	"311"	""	""	""	""	"311"	""	""	""	""	""	""	""
"98"	"59"	""	"268"	""	"1"	""	"128"	""	"16"	""	"3"	""	"3"	""	"4"	""	""	"7"	""	""	"430"	""	""	""	""	"430"	""	""	""	""	""	""	""
"99"	"59A"	""	"87"	""	"1"	""	"27"	""	"4"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	""	"120"	""	""	""	""	"120"	""	""	""	""	""	""	""
"100"	"60"	""	"57"	""	"25"	""	"33"	""	"10"	""	"1"	""	"1"	""	"3"	""	""	"5"	""	""	"135"	""	""	""	""	"135"	""	""	""	""	""	""	""
"101"	"61"	""	"433"	""	"33"	""	"102"	""	"51"	""	"2"	""	"3"	""	"9"	""	""	"10"	""	""	"643"	""	""	""	""	"643"	""	""	""	""	""	""	""
"102"	"62"	""	"178"	""	"11"	""	"135"	""	"22"	""	"1"	""	"3"	""	"3"	""	""	"4"	""	""	"357"	""	""	""	""	"357"	""	""	""	""	""	""	""
"103"	"63"	""	"135"	""	"3"	""	"177"	""	"95"	""	"3"	""	"6"	""	"2"	""	""	"7"	""	""	"428"	""	""	""	""	"428"	""	""	""	""	""	""	""
"104"	"Total"	""	"3185"	""	"161"	""	"2402"	""	"416"	""	"29"	""	"52"	""	"50"	""	""	"85"	""	""	"6380"	""	""	""	""	"6380"	""	""	"0"	""	""	""	""
"105"	"Till Last Round"	""	"-5488"	""	"-322"	""	"-10190"	""	"-2247"	""	"-289"	""	"-271"	""	"-205"	""	""	"-442"	""	""	"-19454"	""	"0"	""	""	"-19454"	""	""	"0"	""	""	""	""
"106"	"Grand Total"	""	"8673"	""	"483"	""	"12592"	""	"2663"	""	"318"	""	"323"	""	"255"	""	""	"527"	""	""	"25834"	""	"0"	""	""	"25834"	""	""	"0"	""	""	""	""
"107"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"109"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"64"	""	"237"	""	"19"	""	"78"	""	"253"	""	"14"	""	"12"	""	"13"	""	"10"	""	""	""	"636"	""	""	""	""	"636"	""	""	""	""	""	""	""
"111"	"65"	""	"186"	""	"12"	""	"129"	""	"65"	""	"5"	""	"9"	""	"5"	""	"10"	""	""	""	"421"	""	""	""	""	"421"	""	""	""	""	""	""	""
"112"	"66"	""	"190"	""	"2"	""	"42"	""	"3"	""	"2"	""	"0"	""	"2"	""	"2"	""	""	""	"243"	""	""	""	""	"243"	""	""	""	""	""	""	""
"113"	"67"	""	"182"	""	"4"	""	"159"	""	"13"	""	"2"	""	"7"	""	"10"	""	"9"	""	""	""	"386"	""	""	""	""	"386"	""	""	""	""	""	""	""
"114"	"68"	""	"221"	""	"14"	""	"72"	""	"18"	""	"4"	""	"4"	""	"6"	""	"7"	""	""	""	"346"	""	""	""	""	"346"	""	""	""	""	""	""	""
"115"	"69"	""	"194"	""	"3"	""	"173"	""	"18"	""	"1"	""	"4"	""	"6"	""	"5"	""	""	""	"404"	""	""	""	""	"404"	""	""	""	""	""	""	""
"116"	"69A"	""	"267"	""	"4"	""	"128"	""	"21"	""	"6"	""	"2"	""	"2"	""	"9"	""	""	""	"439"	""	""	""	""	"439"	""	""	""	""	""	""	""
"117"	"70"	""	"76"	""	"3"	""	"289"	""	"15"	""	"2"	""	"2"	""	"7"	""	"2"	""	""	""	"396"	""	""	""	""	"396"	""	""	""	""	""	""	""
"118"	"70A"	""	"103"	""	"1"	""	"156"	""	"16"	""	"1"	""	"3"	""	"1"	""	"3"	""	""	""	"284"	""	""	""	""	"284"	""	""	""	""	""	""	""
"119"	"71"	""	"145"	""	"3"	""	"157"	""	"12"	""	"0"	""	"4"	""	"1"	""	"11"	""	""	""	"333"	""	""	""	""	"333"	""	""	""	""	""	""	""
"120"	"72"	""	"349"	""	"7"	""	"86"	""	"11"	""	"13"	""	"10"	""	"3"	""	"12"	""	""	""	"491"	""	""	""	""	"491"	""	""	""	""	""	""	""
"121"	"73"	""	"212"	""	"21"	""	"53"	""	"111"	""	"3"	""	"7"	""	"4"	""	"6"	""	""	""	"417"	""	""	""	""	"417"	""	""	""	""	""	""	""
"122"	"73A"	""	"208"	""	"1"	""	"33"	""	"10"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	""	"253"	""	""	""	""	"253"	""	""	""	""	""	""	""
"123"	"74"	""	"252"	""	"0"	""	"26"	""	"9"	""	"3"	""	"0"	""	"3"	""	"2"	""	""	""	"295"	""	""	""	""	"295"	""	""	""	""	""	""	""
"124"	"Total"	""	"2822"	""	"94"	""	"1581"	""	"575"	""	"56"	""	"64"	""	"63"	""	"89"	""	""	""	"5344"	""	""	""	""	"5344"	""	""	"0"	""	""	""	""
"125"	"Till Last Round"	""	"-8673"	""	"-483"	""	"-12592"	""	"-2663"	""	"-318"	""	"-323"	""	"-255"	""	"-527"	""	""	""	"-25834"	""	"0"	""	""	"-25834"	""	""	"0"	""	""	""	""
"126"	"Grand Total"	""	"11495"	""	"577"	""	"14173"	""	"3238"	""	"374"	""	"387"	""	"318"	""	"616"	""	""	""	"31178"	""	"0"	""	""	"31178"	""	""	"0"	""	""	""	""
"127"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"129"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"74A"	""	"217"	""	"8"	""	"108"	""	"27"	""	"3"	""	"3"	""	"1"	""	"5"	""	""	""	"372"	""	""	""	""	"372"	""	""	""	""	""	""	""
"131"	"75"	""	"317"	""	"1"	""	"29"	""	"5"	""	"1"	""	"1"	""	"2"	""	"0"	""	""	""	"356"	""	""	""	""	"356"	""	""	""	""	""	""	""
"132"	"75A"	""	"258"	""	"2"	""	"35"	""	"5"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	""	"302"	""	""	""	""	"302"	""	""	""	""	""	""	""
"133"	"76"	""	"275"	""	"10"	""	"84"	""	"18"	""	"4"	""	"6"	""	"6"	""	"4"	""	""	""	"407"	""	""	""	""	"407"	""	""	""	""	""	""	""
"134"	"76A"	""	"59"	""	"1"	""	"36"	""	"7"	""	"4"	""	"2"	""	"1"	""	"6"	""	""	""	"116"	""	""	""	""	"116"	""	""	""	""	""	""	""
"135"	"77"	""	"386"	""	"6"	""	"73"	""	"36"	""	"3"	""	"3"	""	"9"	""	"4"	""	""	""	"520"	""	""	""	""	"520"	""	""	""	""	""	""	""
"136"	"77A"	""	"293"	""	"2"	""	"32"	""	"36"	""	"0"	""	"1"	""	"0"	""	"2"	""	""	""	"366"	""	""	""	""	"366"	""	""	""	""	""	""	""
"137"	"78"	""	"298"	""	"2"	""	"30"	""	"8"	""	"2"	""	"1"	""	"2"	""	"3"	""	""	""	"346"	""	""	""	""	"346"	""	""	""	""	""	""	""
