"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X016F.MorAmD2H0UBAN"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"190"	"151"	""	"1050"	"18"	"23"	"169"	"20"	"116"	"10"	"8"	"25"	"12"	"15"	"4"	"23"	"35"	"460"
"191"	"152"	""	"963"	"18"	"11"	"177"	"32"	"113"	"3"	"5"	"9"	"1"	"2"	"4"	"7"	"14"	"378"
"192"	"153"	""	"1381"	"18"	"13"	"66"	"23"	"490"	"7"	"10"	"10"	"5"	"12"	"14"	"34"	"17"	"701"
"193"	"154"	""	"1046"	"18"	"11"	"122"	"7"	"341"	"10"	"9"	"9"	"2"	"9"	"0"	"13"	"7"	"540"
"194"	"155"	""	"959"	"18"	"11"	"149"	"11"	"301"	"6"	"3"	"6"	"2"	"4"	"2"	"8"	"9"	"512"
"195"	"156"	""	"1089"	"18"	"7"	"28"	"8"	"306"	"7"	"4"	"5"	"6"	"12"	"4"	"18"	"10"	"415"
"196"	"157"	""	"1260"	"19"	"12"	"28"	"8"	"487"	"5"	"8"	"17"	"5"	"21"	"7"	"33"	"14"	"645"
"197"	"158"	""	"1264"	"19"	"13"	"86"	"7"	"416"	"4"	"6"	"20"	"8"	"16"	"8"	"46"	"25"	"655"
"198"	"159"	""	"874"	"19"	"19"	"131"	"18"	"236"	"9"	"5"	"23"	"3"	"21"	"8"	"22"	"33"	"528"
"199"	"159"	"A"	"576"	"19"	"6"	"52"	"2"	"165"	"2"	"1"	"4"	"1"	"5"	"0"	"8"	"2"	"248"
"200"	"160"	""	"956"	"19"	"9"	"115"	"10"	"263"	"13"	"8"	"14"	"5"	"9"	"4"	"36"	"17"	"503"
"201"	"161"	""	"1247"	"19"	"32"	"99"	"22"	"347"	"7"	"13"	"24"	"4"	"14"	"6"	"29"	"16"	"613"
"202"	"162"	""	"1243"	"19"	"8"	"137"	"22"	"252"	"7"	"9"	"16"	"4"	"10"	"6"	"42"	"21"	"534"
"203"	"163"	""	"1112"	"19"	"14"	"130"	"10"	"188"	"6"	"5"	"14"	"2"	"11"	"3"	"25"	"16"	"424"
"204"	"164"	""	"1223"	"19"	"5"	"114"	"17"	"344"	"10"	"11"	"26"	"4"	"8"	"11"	"26"	"15"	"591"
"205"	"165"	""	"1236"	"19"	"14"	"117"	"16"	"382"	"17"	"7"	"18"	"3"	"8"	"4"	"19"	"6"	"611"
"206"	"166"	""	"1369"	"20"	"5"	"111"	"16"	"392"	"4"	"3"	"14"	"5"	"5"	"9"	"37"	"21"	"622"
"207"	"167"	"A"	"599"	"20"	"7"	"47"	"5"	"216"	"3"	"1"	"4"	"2"	"1"	"5"	"12"	"5"	"308"
"208"	"167"	""	"886"	"20"	"19"	"83"	"18"	"266"	"9"	"5"	"17"	"8"	"5"	"6"	"23"	"44"	"503"
"209"	"168"	""	"827"	"20"	"8"	"134"	"12"	"260"	"8"	"4"	"11"	"3"	"4"	"6"	"21"	"23"	"494"
"210"	"169"	""	"1206"	"20"	"8"	"86"	"9"	"368"	"3"	"5"	"15"	"0"	"7"	"4"	"20"	"9"	"534"
"211"	"170"	""	"970"	"20"	"5"	"80"	"8"	"301"	"5"	"6"	"17"	"4"	"13"	"4"	"16"	"14"	"473"
"212"	"170"	"A"	"615"	"20"	"3"	"49"	"8"	"240"	"4"	"1"	"5"	"1"	"4"	"0"	"5"	"5"	"325"
"213"	"171"	""	"1084"	"20"	"6"	"75"	"13"	"424"	"3"	"5"	"8"	"4"	"5"	"1"	"13"	"1"	"558"
"214"	"172"	""	"1349"	"20"	"12"	"153"	"18"	"368"	"2"	"12"	"18"	"8"	"29"	"7"	"43"	"32"	"702"
"215"	"173"	""	"1117"	"20"	"9"	"78"	"8"	"405"	"12"	"8"	"7"	"2"	"5"	"5"	"17"	"15"	"571"
"216"	"174"	""	"640"	"21"	"12"	"62"	"6"	"206"	"5"	"10"	"7"	"0"	"3"	"1"	"11"	"8"	"331"
"217"	"175"	"A"	"471"	"21"	"6"	"83"	"5"	"67"	"1"	"1"	"0"	"1"	"1"	"1"	"5"	"7"	"178"
"218"	"175"	""	"1130"	"21"	"31"	"258"	"36"	"113"	"4"	"5"	"10"	"2"	"5"	"3"	"24"	"29"	"520"
"219"	"176"	""	"1236"	"21"	"11"	"136"	"20"	"305"	"4"	"9"	"22"	"5"	"10"	"16"	"26"	"38"	"602"
"220"	"177"	""	"1398"	"21"	"15"	"103"	"13"	"501"	"11"	"4"	"8"	"6"	"15"	"8"	"28"	"15"	"727"
"221"	"178"	""	"1239"	"21"	"19"	"105"	"11"	"269"	"5"	"2"	"12"	"5"	"9"	"5"	"10"	"13"	"465"
"222"	"179"	""	"846"	"21"	"2"	"20"	"0"	"121"	"3"	"3"	"8"	"0"	"6"	"3"	"8"	"6"	"180"
"223"	"180"	"A"	"488"	"21"	"3"	"12"	"2"	"96"	"4 of 53"	"1"	"5"	"2"	"8"	"0"	"8"	"11"	"151"
"224"	""	""	""	""	""	"016F-MorAmD2H0UBAN"	""	""	""	""	""	""	""	""	""	""	""
"225"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Booth No."	"Ext"	"Voters"	"Round"	"RAJA RAM SINGH"	"RANA RANDHIR"	"LALAM PD. YADAV"	"SHIV JEE RAI"	"SITA RAM PD. YADAV"	"AMRESH KUMAR"	"UPENDRA SINGH"	"MD. FIROJ   ALAM"	"MANOJ KUMAR"	"MAHABIR RAM"	"MAHENDRA PRASAD"	"MUKESH KUMAR"	"Total"
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"228"	"180"	""	"916"	"21"	"6"	"73"	"9"	"316"	"5"	"5"	"4"	"4"	"9"	"5"	"16"	"13"	"465"
"229"	"181"	""	"973"	"21"	"8"	"134"	"10"	"223"	"5"	"5"	"6"	"0"	"11"	"2"	"10"	"23"	"437"
"230"	"182"	""	"688"	"22"	"18"	"71"	"7"	"179"	"4"	"3"	"8"	"4"	"7"	"1"	"33"	"6"	"341"
"231"	"183"	""	"597"	"22"	"4"	"84"	"7"	"224"	"1"	"1"	"9"	"1"	"5"	"0"	"8"	"2"	"346"
"232"	"184"	""	"1095"	"22"	"14"	"200"	"15"	"169"	"0"	"2"	"7"	"8"	"11"	"9"	"10"	"19"	"464"
"233"	"185"	""	"554"	"22"	"2"	"14"	"7"	"195"	"2"	"5"	"8"	"1"	"5"	"1"	"16"	"5"	"261"
"234"	"186"	""	"1073"	"22"	"7"	"57"	"9"	"326"	"19"	"16"	"21"	"13"	"24"	"9"	"30"	"30"	"561"
"235"	"186"	"A"	"410"	"22"	"1"	"22"	"3"	"141"	"2"	"2"	"5"	"1"	"1"	"0"	"5"	"4"	"187"
"236"	"187"	""	"982"	"22"	"5"	"89"	"5"	"207"	"6"	"2"	"11"	"2"	"10"	"5"	"19"	"17"	"378"
"237"	"188"	""	"1210"	"22"	"10"	"143"	"16"	"197"	"8"	"11"	"14"	"8"	"9"	"4"	"19"	"19"	"458"
"238"	"189"	""	"977"	"22"	"7"	"173"	"24"	"123"	"5"	"5"	"7"	"5"	"12"	"5"	"19"	"35"	"420"
"239"	"190"	""	"808"	"22"	"17"	"151"	"15"	"172"	"5"	"1"	"12"	"8"	"6"	"5"	"5"	"12"	"409"
"240"	"191"	""	"601"	"23"	"5"	"113"	"16"	"74"	"1"	"3"	"5"	"1"	"1"	"3"	"6"	"3"	"231"
"241"	"192"	""	"979"	"23"	"9"	"155"	"11"	"227"	"9"	"7"	"11"	"4"	"11"	"13"	"41"	"47"	"545"
"242"	"192"	"A"	"612"	"23"	"11"	"40"	"5"	"166"	"4"	"2"	"6"	"2"	"3"	"2"	"16"	"10"	"267"
"243"	"193"	""	"1118"	"23"	"18"	"223"	"11"	"211"	"4"	"8"	"6"	"3"	"12"	"7"	"24"	"34"	"561"
"244"	"Total"	""	""	""	"2724"	"28512"	"3959"	"47990"	"1373"	"1243"	"2612"	"952"	"2153"	"1149"	"4180"	"3822"	"100669"
"245"	"5 of 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
