"No..and.Name.of.Assembly.Constituency...........51..Lalganji"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"29"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"30"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"31"	"14"	"397"	"13"	"35"	"77"	"227"	"7"	"1"	"15"	"5"	"6"	"11"	"397"	"0"	"397"	"0"
"32"	"15"	"435"	"20"	"132"	"132"	"112"	"4"	"5"	"17"	"4"	"2"	"7"	"435"	"0"	"435"	"0"
"33"	"16"	"534"	"24"	"312"	"81"	"80"	"5"	"9"	"9"	"3"	"6"	"5"	"534"	"0"	"534"	"0"
"34"	"17"	"541"	"26"	"68"	"255"	"140"	"3"	"11"	"10"	"8"	"5"	"15"	"541"	"0"	"541"	"0"
"35"	"18"	"431"	"14"	"56"	"55"	"258"	"6"	"9"	"12"	"7"	"6"	"8"	"431"	"0"	"431"	"0"
"36"	"18K"	"270"	"9"	"12"	"71"	"141"	"9"	"3"	"8"	"2"	"5"	"10"	"270"	"0"	"270"	"0"
"37"	"19"	"571"	"1"	"0"	"16"	"538"	"4"	"1"	"4"	"3"	"0"	"4"	"571"	"0"	"571"	"0"
"38"	"20"	"515"	"11"	"6"	"214"	"259"	"3"	"3"	"9"	"4"	"3"	"3"	"515"	"0"	"515"	"0"
"39"	"21"	"353"	"2"	"15"	"75"	"242"	"2"	"0"	"10"	"1"	"1"	"5"	"353"	"0"	"353"	"0"
"40"	"21K"	"426"	"2"	"4"	"70"	"335"	"2"	"0"	"6"	"5"	"1"	"1"	"426"	"0"	"426"	"0"
"41"	"22"	"654"	"3"	"131"	"212"	"287"	"6"	"1"	"8"	"2"	"1"	"3"	"654"	"0"	"654"	"0"
"42"	"23"	"638"	"13"	"56"	"111"	"402"	"5"	"6"	"27"	"3"	"5"	"10"	"638"	"0"	"638"	"0"
"43"	"24"	"631"	"12"	"10"	"186"	"382"	"2"	"3"	"18"	"9"	"4"	"5"	"631"	"0"	"631"	"0"
"44"	"25"	"573"	"4"	"11"	"177"	"363"	"4"	"2"	"6"	"0"	"3"	"3"	"573"	"0"	"573"	"0"
"45"	"Grand Total"	"6969"	"154"	"848"	"1732"	"3766"	"62"	"54"	"159"	"56"	"48"	"90"	"6969"	"0"	"6969"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"53"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"54"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"55"	"26"	"418"	"6"	"10"	"170"	"217"	"5"	"0"	"5"	"1"	"1"	"3"	"418"	"0"	"418"	"0"
"56"	"26K"	"466"	"3"	"7"	"271"	"175"	"1"	"0"	"6"	"3"	"0"	"0"	"466"	"0"	"466"	"0"
"57"	"27"	"354"	"3"	"6"	"148"	"184"	"3"	"0"	"5"	"2"	"1"	"2"	"354"	"0"	"354"	"0"
"58"	"27K"	"358"	"5"	"7"	"203"	"134"	"2"	"0"	"4"	"2"	"0"	"1"	"358"	"0"	"358"	"0"
"59"	"28"	"666"	"8"	"14"	"378"	"228"	"1"	"6"	"16"	"5"	"4"	"6"	"666"	"0"	"666"	"0"
"60"	"29"	"416"	"2"	"6"	"156"	"220"	"3"	"4"	"11"	"1"	"2"	"11"	"416"	"0"	"416"	"0"
"61"	"29K"	"331"	"1"	"3"	"98"	"225"	"1"	"0"	"2"	"0"	"1"	"0"	"331"	"0"	"331"	"0"
"62"	"30"	"314"	"2"	"5"	"107"	"182"	"2"	"0"	"9"	"0"	"3"	"4"	"314"	"0"	"314"	"0"
"63"	"31"	"405"	"2"	"18"	"116"	"221"	"5"	"7"	"27"	"2"	"1"	"6"	"405"	"0"	"405"	"0"
"64"	"32"	"343"	"3"	"7"	"142"	"178"	"3"	"1"	"6"	"2"	"0"	"1"	"343"	"0"	"343"	"0"
"65"	"32K"	"370"	"3"	"3"	"64"	"282"	"4"	"0"	"9"	"0"	"2"	"3"	"370"	"0"	"370"	"0"
"66"	"33"	"334"	"3"	"6"	"126"	"166"	"3"	"1"	"13"	"6"	"3"	"7"	"334"	"0"	"334"	"0"
"67"	"33K"	"411"	"7"	"66"	"112"	"202"	"3"	"4"	"9"	"3"	"0"	"5"	"411"	"0"	"411"	"0"
"68"	"34"	"520"	"5"	"59"	"196"	"207"	"4"	"7"	"13"	"3"	"13"	"13"	"520"	"0"	"520"	"0"
"69"	"Grand Total"	"5706"	"53"	"217"	"2287"	"2821"	"40"	"30"	"135"	"30"	"31"	"62"	"5706"	"0"	"5706"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"77"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"78"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"79"	"35"	"388"	"6"	"19"	"127"	"213"	"1"	"1"	"15"	"1"	"0"	"5"	"388"	"0"	"388"	"0"
"80"	"35K"	"245"	"4"	"2"	"39"	"180"	"2"	"2"	"8"	"1"	"2"	"5"	"245"	"0"	"245"	"0"
"81"	"36"	"551"	"9"	"4"	"200"	"301"	"5"	"6"	"11"	"8"	"3"	"4"	"551"	"0"	"551"	"0"
"82"	"37"	"443"	"4"	"5"	"288"	"114"	"6"	"3"	"8"	"4"	"1"	"10"	"443"	"0"	"443"	"0"
"83"	"38"	"478"	"3"	"64"	"140"	"218"	"5"	"8"	"13"	"6"	"10"	"11"	"478"	"0"	"478"	"0"
"84"	"39"	"434"	"16"	"74"	"163"	"126"	"5"	"1"	"13"	"7"	"9"	"20"	"434"	"0"	"434"	"0"
"85"	"40"	"590"	"10"	"23"	"194"	"301"	"5"	"7"	"30"	"6"	"8"	"6"	"590"	"0"	"590"	"0"
"86"	"41"	"375"	"8"	"12"	"220"	"105"	"1"	"4"	"11"	"7"	"1"	"6"	"375"	"0"	"375"	"0"
"87"	"41K"	"386"	"6"	"53"	"61"	"235"	"5"	"3"	"7"	"0"	"3"	"13"	"386"	"0"	"386"	"0"
"88"	"42"	"502"	"16"	"102"	"196"	"132"	"4"	"8"	"6"	"6"	"9"	"23"	"502"	"0"	"502"	"0"
"89"	"43"	"482"	"6"	"61"	"262"	"115"	"4"	"3"	"9"	"5"	"5"	"12"	"482"	"0"	"482"	"0"
"90"	"44"	"603"	"30"	"309"	"117"	"89"	"4"	"6"	"11"	"11"	"5"	"21"	"603"	"0"	"603"	"0"
"91"	"45"	"497"	"10"	"100"	"130"	"213"	"6"	"9"	"16"	"2"	"3"	"8"	"497"	"0"	"497"	"0"
"92"	"46"	"416"	"13"	"114"	"135"	"106"	"6"	"4"	"6"	"5"	"13"	"14"	"416"	"0"	"416"	"0"
"93"	"Grand Total"	"6390"	"141"	"942"	"2272"	"2448"	"59"	"65"	"164"	"69"	"72"	"158"	"6390"	"0"	"6390"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"101"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"102"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"103"	"46K"	"412"	"10"	"124"	"74"	"170"	"2"	"2"	"11"	"2"	"8"	"9"	"412"	"0"	"412"	"0"
"104"	"47"	"513"	"10"	"159"	"170"	"115"	"5"	"9"	"9"	"3"	"12"	"21"	"513"	"0"	"513"	"0"
"105"	"48"	"402"	"17"	"35"	"140"	"190"	"6"	"3"	"5"	"1"	"1"	"4"	"402"	"0"	"402"	"0"
"106"	"49"	"314"	"3"	"41"	"177"	"65"	"5"	"4"	"4"	"7"	"1"	"7"	"314"	"0"	"314"	"0"
"107"	"50"	"386"	"15"	"112"	"132"	"92"	"5"	"5"	"11"	"4"	"4"	"6"	"386"	"0"	"386"	"0"
"108"	"51"	"397"	"8"	"172"	"58"	"124"	"2"	"4"	"9"	"3"	"5"	"12"	"397"	"0"	"397"	"0"
"109"	"52"	"538"	"12"	"80"	"320"	"90"	"7"	"2"	"10"	"5"	"8"	"4"	"538"	"0"	"538"	"0"
"110"	"53"	"441"	"33"	"69"	"85"	"185"	"8"	"10"	"10"	"9"	"13"	"19"	"441"	"0"	"441"	"0"
"111"	"54"	"398"	"17"	"12"	"64"	"248"	"9"	"3"	"22"	"5"	"5"	"13"	"398"	"0"	"398"	"0"
"112"	"55"	"543"	"6"	"19"	"206"	"204"	"14"	"8"	"26"	"12"	"13"	"35"	"543"	"0"	"543"	"0"
"113"	"56"	"339"	"14"	"7"	"152"	"121"	"3"	"2"	"15"	"10"	"5"	"10"	"339"	"0"	"339"	"0"
"114"	"57"	"505"	"6"	"15"	"328"	"94"	"4"	"4"	"12"	"7"	"24"	"11"	"505"	"0"	"505"	"0"
"115"	"58"	"426"	"3"	"31"	"234"	"121"	"7"	"2"	"10"	"4"	"5"	"9"	"426"	"0"	"426"	"0"
"116"	"59"	"663"	"20"	"62"	"524"	"24"	"8"	"9"	"3"	"5"	"4"	"4"	"663"	"0"	"663"	"0"
"117"	"Grand Total"	"6277"	"174"	"938"	"2664"	"1843"	"85"	"67"	"157"	"77"	"108"	"164"	"6277"	"0"	"6277"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"125"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"126"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"127"	"60"	"597"	"20"	"32"	"403"	"82"	"10"	"4"	"9"	"13"	"7"	"17"	"597"	"0"	"597"	"0"
"128"	"61"	"271"	"6"	"33"	"136"	"61"	"5"	"4"	"6"	"6"	"4"	"10"	"271"	"0"	"271"	"0"
"129"	"61K"	"296"	"8"	"102"	"108"	"49"	"1"	"6"	"6"	"5"	"4"	"7"	"296"	"0"	"296"	"0"
"130"	"62"	"762"	"14"	"139"	"137"	"403"	"13"	"15"	"27"	"2"	"4"	"8"	"762"	"0"	"762"	"0"
"131"	"63"	"445"	"18"	"120"	"183"	"100"	"3"	"2"	"7"	"4"	"5"	"3"	"445"	"0"	"445"	"0"
"132"	"64"	"468"	"17"	"11"	"286"	"95"	"5"	"11"	"9"	"8"	"7"	"19"	"468"	"0"	"468"	"0"
"133"	"65"	"457"	"7"	"22"	"195"	"185"	"3"	"0"	"17"	"6"	"4"	"18"	"457"	"0"	"457"	"0"
"134"	"66"	"487"	"12"	"119"	"162"	"146"	"6"	"9"	"10"	"7"	"8"	"8"	"487"	"0"	"487"	"0"
"135"	"67"	"539"	"6"	"18"	"401"	"65"	"4"	"8"	"5"	"9"	"12"	"11"	"539"	"0"	"539"	"0"
"136"	"68"	"614"	"29"	"244"	"124"	"82"	"5"	"10"	"12"	"17"	"62"	"29"	"614"	"0"	"614"	"0"
"137"	"69"	"327"	"22"	"103"	"89"	"47"	"4"	"11"	"9"	"11"	"23"	"8"	"327"	"0"	"327"	"0"
"138"	"69K"	"267"	"10"	"7"	"64"	"130"	"4"	"4"	"23"	"6"	"8"	"11"	"267"	"0"	"267"	"0"
"139"	"70"	"714"	"19"	"227"	"171"	"263"	"6"	"5"	"8"	"4"	"2"	"9"	"714"	"0"	"714"	"0"
"140"	"71"	"563"	"7"	"13"	"202"	"250"	"8"	"7"	"30"	"16"	"8"	"22"	"563"	"0"	"563"	"0"
"141"	"Grand Total"	"6807"	"195"	"1190"	"2661"	"1958"	"77"	"96"	"178"	"114"	"158"	"180"	"6807"	"0"	"6807"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"149"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"150"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"151"	"72"	"425"	"4"	"35"	"142"	"178"	"7"	"9"	"20"	"10"	"6"	"14"	"425"	"0"	"425"	"0"
"152"	"73"	"594"	"17"	"56"	"436"	"49"	"4"	"3"	"4"	"8"	"10"	"7"	"594"	"0"	"594"	"0"
"153"	"74"	"537"	"7"	"8"	"53"	"423"	"7"	"4"	"19"	"4"	"5"	"7"	"537"	"0"	"537"	"0"
"154"	"75"	"404"	"19"	"178"	"102"	"87"	"1"	"3"	"4"	"4"	"4"	"2"	"404"	"0"	"404"	"0"
"155"	"76"	"423"	"4"	"7"	"94"	"284"	"2"	"1"	"17"	"1"	"5"	"8"	"423"	"0"	"423"	"0"
"156"	"77"	"511"	"9"	"90"	"137"	"235"	"5"	"5"	"14"	"5"	"2"	"9"	"511"	"0"	"511"	"0"
"157"	"78"	"495"	"14"	"116"	"156"	"164"	"4"	"4"	"11"	"9"	"4"	"13"	"495"	"0"	"495"	"0"
"158"	"79"	"387"	"6"	"74"	"137"	"141"	"5"	"3"	"9"	"3"	"2"	"7"	"387"	"0"	"387"	"0"
"159"	"80"	"501"	"9"	"46"	"112"	"305"	"4"	"5"	"9"	"4"	"1"	"6"	"501"	"0"	"501"	"0"
"160"	"81"	"447"	"37"	"44"	"113"	"141"	"19"	"13"	"13"	"18"	"8"	"41"	"447"	"0"	"447"	"0"
"161"	"82"	"764"	"29"	"318"	"73"	"282"	"8"	"7"	"15"	"8"	"9"	"15"	"764"	"0"	"764"	"0"
"162"	"83"	"624"	"16"	"47"	"266"	"220"	"9"	"3"	"12"	"15"	"18"	"18"	"624"	"0"	"624"	"0"
"163"	"84"	"608"	"12"	"65"	"284"	"149"	"16"	"7"	"22"	"11"	"11"	"31"	"608"	"0"	"608"	"0"
"164"	"85"	"423"	"7"	"32"	"182"	"141"	"6"	"1"	"17"	"14"	"3"	"20"	"423"	"0"	"423"	"0"
"165"	"Grand Total"	"7143"	"190"	"1116"	"2287"	"2799"	"97"	"68"	"186"	"114"	"88"	"198"	"7143"	"0"	"7143"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"173"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"174"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"175"	"86"	"498"	"11"	"28"	"251"	"161"	"8"	"6"	"12"	"8"	"4"	"9"	"498"	"0"	"498"	"0"
"176"	"87"	"477"	"7"	"48"	"136"	"261"	"5"	"4"	"8"	"3"	"2"	"3"	"477"	"0"	"477"	"0"
"177"	"88"	"467"	"10"	"26"	"339"	"39"	"7"	"3"	"7"	"17"	"6"	"13"	"467"	"0"	"467"	"0"
"178"	"89"	"427"	"5"	"94"	"57"	"228"	"5"	"5"	"11"	"6"	"5"	"11"	"427"	"0"	"427"	"0"
"179"	"90"	"513"	"9"	"116"	"81"	"277"	"7"	"3"	"12"	"2"	"1"	"5"	"513"	"0"	"513"	"0"
"180"	"91"	"568"	"21"	"8"	"395"	"109"	"6"	"4"	"8"	"11"	"0"	"6"	"568"	"0"	"568"	"0"
"181"	"92"	"656"	"11"	"85"	"329"	"165"	"12"	"3"	"14"	"15"	"6"	"16"	"656"	"0"	"656"	"0"
