"No..and.Name.of.Assembly.Constituency...........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"30"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"31"	"14"	"406"	"38"	"23"	"260"	"85"	"406"	"0"	"406"	"0"
"32"	"14K"	"268"	"72"	"9"	"83"	"104"	"268"	"0"	"268"	"0"
"33"	"15"	"457"	"359"	"5"	"73"	"20"	"457"	"0"	"457"	"0"
"34"	"16"	"538"	"121"	"25"	"107"	"285"	"538"	"0"	"538"	"0"
"35"	"17"	"507"	"100"	"14"	"139"	"254"	"507"	"0"	"507"	"0"
"36"	"18"	"326"	"91"	"14"	"65"	"156"	"326"	"0"	"326"	"0"
"37"	"19"	"545"	"70"	"21"	"268"	"186"	"545"	"0"	"545"	"0"
"38"	"20"	"404"	"54"	"18"	"200"	"132"	"404"	"0"	"404"	"0"
"39"	"21"	"374"	"23"	"8"	"75"	"268"	"374"	"0"	"374"	"0"
"40"	"22"	"540"	"148"	"22"	"100"	"270"	"540"	"0"	"540"	"0"
"41"	"23"	"330"	"89"	"21"	"88"	"132"	"330"	"0"	"330"	"0"
"42"	"24"	"639"	"218"	"45"	"188"	"188"	"639"	"0"	"639"	"0"
"43"	"25"	"360"	"48"	"12"	"37"	"263"	"360"	"0"	"360"	"0"
"44"	"25K"	"386"	"120"	"15"	"51"	"200"	"386"	"0"	"386"	"0"
"45"	"Grand Total"	"6080"	"1551"	"252"	"1734"	"2543"	"6080"	"0"	"6080"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"53"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"54"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"55"	"26"	"522"	"133"	"34"	"172"	"183"	"522"	"0"	"522"	"0"
"56"	"27"	"461"	"143"	"19"	"93"	"206"	"461"	"0"	"461"	"0"
"57"	"28"	"392"	"88"	"21"	"145"	"138"	"392"	"0"	"392"	"0"
"58"	"29"	"436"	"97"	"9"	"109"	"221"	"436"	"0"	"436"	"0"
"59"	"30"	"363"	"76"	"13"	"128"	"146"	"363"	"0"	"363"	"0"
"60"	"31"	"489"	"273"	"10"	"127"	"79"	"489"	"0"	"489"	"0"
"61"	"32"	"518"	"203"	"31"	"163"	"121"	"518"	"0"	"518"	"0"
"62"	"33"	"670"	"254"	"12"	"63"	"341"	"670"	"0"	"670"	"0"
"63"	"34"	"306"	"83"	"16"	"70"	"137"	"306"	"0"	"306"	"0"
"64"	"35"	"317"	"106"	"19"	"108"	"84"	"317"	"0"	"317"	"0"
"65"	"36"	"498"	"80"	"19"	"186"	"213"	"498"	"0"	"498"	"0"
"66"	"37"	"361"	"60"	"14"	"44"	"243"	"361"	"0"	"361"	"0"
"67"	"38"	"420"	"97"	"19"	"139"	"165"	"420"	"0"	"420"	"0"
"68"	"38K"	"299"	"98"	"11"	"114"	"76"	"299"	"0"	"299"	"0"
"69"	"Grand Total"	"6052"	"1791"	"247"	"1661"	"2353"	"6052"	"0"	"6052"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"77"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"78"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"79"	"39"	"443"	"50"	"21"	"48"	"324"	"443"	"0"	"443"	"0"
"80"	"39K"	"245"	"45"	"12"	"89"	"99"	"245"	"0"	"245"	"0"
"81"	"40"	"330"	"44"	"10"	"117"	"159"	"330"	"0"	"330"	"0"
"82"	"40K"	"309"	"15"	"5"	"42"	"247"	"309"	"0"	"309"	"0"
"83"	"41"	"389"	"95"	"6"	"19"	"269"	"389"	"0"	"389"	"0"
"84"	"41K"	"340"	"19"	"9"	"57"	"255"	"340"	"0"	"340"	"0"
"85"	"42"	"506"	"74"	"20"	"156"	"256"	"506"	"0"	"506"	"0"
"86"	"43"	"447"	"54"	"9"	"126"	"258"	"447"	"0"	"447"	"0"
"87"	"44"	"256"	"46"	"15"	"99"	"96"	"256"	"0"	"256"	"0"
"88"	"45"	"488"	"88"	"17"	"76"	"307"	"488"	"0"	"488"	"0"
"89"	"46"	"615"	"116"	"22"	"200"	"277"	"615"	"0"	"615"	"0"
"90"	"47"	"476"	"176"	"16"	"124"	"160"	"476"	"0"	"476"	"0"
"91"	"48"	"386"	"88"	"25"	"170"	"103"	"386"	"0"	"386"	"0"
"92"	"48K"	"260"	"102"	"9"	"81"	"68"	"260"	"0"	"260"	"0"
"93"	"Grand Total"	"5490"	"1012"	"196"	"1404"	"2878"	"5490"	"0"	"5490"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"101"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"102"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"103"	"49"	"379"	"94"	"10"	"62"	"213"	"379"	"0"	"379"	"0"
"104"	"50"	"559"	"248"	"43"	"170"	"98"	"559"	"0"	"559"	"0"
"105"	"51"	"609"	"227"	"26"	"95"	"261"	"609"	"0"	"609"	"0"
"106"	"52"	"454"	"51"	"18"	"109"	"276"	"454"	"0"	"454"	"0"
"107"	"53"	"507"	"216"	"14"	"37"	"240"	"507"	"0"	"507"	"0"
"108"	"54"	"438"	"156"	"31"	"143"	"108"	"438"	"0"	"438"	"0"
"109"	"55"	"423"	"222"	"18"	"86"	"97"	"423"	"0"	"423"	"0"
"110"	"56"	"387"	"187"	"13"	"101"	"86"	"387"	"0"	"387"	"0"
"111"	"57"	"357"	"159"	"19"	"71"	"108"	"357"	"0"	"357"	"0"
"112"	"58"	"422"	"379"	"6"	"22"	"15"	"422"	"0"	"422"	"0"
"113"	"59"	"581"	"218"	"17"	"172"	"174"	"581"	"0"	"581"	"0"
"114"	"60"	"484"	"53"	"11"	"136"	"284"	"484"	"0"	"484"	"0"
"115"	"61"	"510"	"207"	"13"	"65"	"225"	"510"	"0"	"510"	"0"
"116"	"62"	"418"	"187"	"15"	"134"	"82"	"418"	"0"	"418"	"0"
"117"	"Grand Total"	"6528"	"2604"	"254"	"1403"	"2267"	"6528"	"0"	"6528"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"125"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"126"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"127"	"63"	"529"	"294"	"12"	"169"	"54"	"529"	"0"	"529"	"0"
"128"	"64"	"500"	"57"	"11"	"57"	"375"	"500"	"0"	"500"	"0"
"129"	"65"	"513"	"126"	"20"	"204"	"163"	"513"	"0"	"513"	"0"
"130"	"66"	"514"	"316"	"12"	"118"	"68"	"514"	"0"	"514"	"0"
"131"	"67"	"360"	"250"	"9"	"61"	"40"	"360"	"0"	"360"	"0"
"132"	"68"	"271"	"152"	"7"	"22"	"90"	"271"	"0"	"271"	"0"
"133"	"69"	"308"	"87"	"7"	"62"	"152"	"308"	"0"	"308"	"0"
"134"	"70"	"422"	"225"	"6"	"46"	"145"	"422"	"0"	"422"	"0"
"135"	"71"	"476"	"56"	"8"	"47"	"365"	"476"	"0"	"476"	"0"
"136"	"72"	"344"	"100"	"13"	"101"	"130"	"344"	"0"	"344"	"0"
"137"	"73"	"444"	"79"	"14"	"85"	"266"	"444"	"0"	"444"	"0"
"138"	"74"	"482"	"73"	"10"	"220"	"179"	"482"	"0"	"482"	"0"
"139"	"75"	"582"	"279"	"25"	"161"	"117"	"582"	"0"	"582"	"0"
"140"	"76"	"438"	"150"	"23"	"104"	"161"	"438"	"0"	"438"	"0"
"141"	"Grand Total"	"6183"	"2244"	"177"	"1457"	"2305"	"6183"	"0"	"6183"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"149"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"150"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"151"	"77"	"560"	"285"	"24"	"116"	"135"	"560"	"0"	"560"	"0"
"152"	"78"	"328"	"195"	"6"	"52"	"75"	"328"	"0"	"328"	"0"
"153"	"79"	"444"	"119"	"21"	"218"	"86"	"444"	"0"	"444"	"0"
"154"	"80"	"419"	"326"	"7"	"47"	"39"	"419"	"0"	"419"	"0"
"155"	"81"	"437"	"280"	"13"	"21"	"123"	"437"	"0"	"437"	"0"
"156"	"82"	"389"	"105"	"11"	"34"	"239"	"389"	"0"	"389"	"0"
"157"	"83"	"290"	"61"	"7"	"47"	"175"	"290"	"0"	"290"	"0"
"158"	"83K"	"460"	"280"	"13"	"91"	"76"	"460"	"0"	"460"	"0"
"159"	"84"	"389"	"170"	"29"	"161"	"29"	"389"	"0"	"389"	"0"
"160"	"85"	"648"	"162"	"26"	"134"	"326"	"648"	"0"	"648"	"0"
"161"	"86"	"581"	"73"	"25"	"92"	"391"	"581"	"0"	"581"	"0"
"162"	"87"	"396"	"204"	"15"	"89"	"88"	"396"	"0"	"396"	"0"
"163"	"88"	"531"	"243"	"41"	"170"	"77"	"531"	"0"	"531"	"0"
"164"	"89"	"326"	"173"	"17"	"83"	"53"	"326"	"0"	"326"	"0"
"165"	"Grand Total"	"6198"	"2676"	"255"	"1355"	"1912"	"6198"	"0"	"6198"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"173"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"174"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"175"	"89K"	"301"	"166"	"6"	"81"	"48"	"301"	"0"	"301"	"0"
"176"	"90"	"428"	"138"	"33"	"117"	"140"	"428"	"0"	"428"	"0"
"177"	"91"	"551"	"186"	"12"	"98"	"255"	"551"	"0"	"551"	"0"
"178"	"92"	"370"	"249"	"12"	"84"	"25"	"370"	"0"	"370"	"0"
"179"	"93"	"377"	"226"	"16"	"80"	"55"	"377"	"0"	"377"	"0"
"180"	"94"	"328"	"83"	"14"	"69"	"162"	"328"	"0"	"328"	"0"
"181"	"95"	"267"	"153"	"6"	"55"	"53"	"267"	"0"	"267"	"0"
"182"	"96"	"340"	"55"	"4"	"31"	"250"	"340"	"0"	"340"	"0"
"183"	"97"	"375"	"106"	"15"	"114"	"140"	"375"	"0"	"375"	"0"
"184"	"98"	"353"	"140"	"10"	"52"	"151"	"353"	"0"	"353"	"0"
"185"	"98K"	"509"	"169"	"24"	"159"	"157"	"509"	"0"	"509"	"0"
"186"	"99"	"519"	"270"	"24"	"116"	"109"	"519"	"0"	"519"	"0"
"187"	"100"	"565"	"242"	"26"	"203"	"94"	"565"	"0"	"565"	"0"
"188"	"101"	"524"	"161"	"20"	"134"	"209"	"524"	"0"	"524"	"0"
"189"	"Grand Total"	"5807"	"2344"	"222"	"1393"	"1848"	"5807"	"0"	"5807"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"197"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"198"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"199"	"102"	"478"	"70"	"14"	"46"	"348"	"478"	"0"	"478"	"0"
"200"	"103"	"547"	"237"	"9"	"70"	"231"	"547"	"0"	"547"	"0"
"201"	"104"	"573"	"240"	"21"	"148"	"164"	"573"	"0"	"573"	"0"
"202"	"105"	"556"	"160"	"26"	"59"	"311"	"556"	"0"	"556"	"0"
"203"	"106"	"410"	"138"	"12"	"165"	"95"	"410"	"0"	"410"	"0"
"204"	"106K"	"394"	"179"	"15"	"61"	"139"	"394"	"0"	"394"	"0"
"205"	"107"	"538"	"286"	"16"	"105"	"131"	"538"	"0"	"538"	"0"
"206"	"108"	"492"	"173"	"7"	"23"	"289"	"492"	"0"	"492"	"0"
"207"	"109"	"409"	"152"	"18"	"28"	"211"	"409"	"0"	"409"	"0"
"208"	"109K"	"367"	"277"	"5"	"34"	"51"	"367"	"0"	"367"	"0"
"209"	"110"	"510"	"77"	"8"	"21"	"404"	"510"	"0"	"510"	"0"
"210"	"111"	"360"	"82"	"22"	"134"	"122"	"360"	"0"	"360"	"0"
"211"	"111K"	"359"	"112"	"29"	"124"	"94"	"359"	"0"	"359"	"0"
"212"	"112"	"677"	"149"	"17"	"114"	"397"	"677"	"0"	"677"	"0"
"213"	"Grand Total"	"6670"	"2332"	"219"	"1132"	"2987"	"6670"	"0"	"6670"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"221"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"222"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"223"	"113"	"401"	"107"	"13"	"43"	"238"	"401"	"0"	"401"	"0"
"224"	"114"	"395"	"43"	"14"	"98"	"240"	"395"	"0"	"395"	"0"
"225"	"114K"	"384"	"35"	"18"	"129"	"202"	"384"	"0"	"384"	"0"
"226"	"115"	"372"	"116"	"11"	"46"	"199"	"372"	"0"	"372"	"0"
"227"	"115K"	"357"	"181"	"14"	"73"	"89"	"357"	"0"	"357"	"0"
"228"	"116"	"577"	"114"	"33"	"207"	"223"	"577"	"0"	"577"	"0"
"229"	"117"	"426"	"104"	"39"	"144"	"139"	"426"	"0"	"426"	"0"
"230"	"118"	"384"	"102"	"13"	"34"	"235"	"384"	"0"	"384"	"0"
"231"	"119"	"619"	"141"	"25"	"312"	"141"	"619"	"0"	"619"	"0"
"232"	"120"	"663"	"172"	"28"	"195"	"268"	"663"	"0"	"663"	"0"
"233"	"121"	"278"	"9"	"24"	"213"	"32"	"278"	"0"	"278"	"0"
"234"	"122"	"486"	"220"	"22"	"179"	"65"	"486"	"0"	"486"	"0"
"235"	"123"	"484"	"91"	"18"	"61"	"314"	"484"	"0"	"484"	"0"
"236"	"124"	"220"	"18"	"21"	"88"	"93"	"220"	"0"	"220"	"0"
"237"	"Grand Total"	"6046"	"1453"	"293"	"1822"	"2478"	"6046"	"0"	"6046"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"245"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"246"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"247"	"125"	"544"	"278"	"26"	"121"	"119"	"544"	"0"	"544"	"0"
"248"	"126"	"443"	"197"	"17"	"39"	"190"	"443"	"0"	"443"	"0"
"249"	"127"	"531"	"230"	"18"	"29"	"254"	"531"	"0"	"531"	"0"
"250"	"128"	"318"	"40"	"28"	"175"	"75"	"318"	"0"	"318"	"0"
"251"	"128K"	"380"	"77"	"23"	"78"	"202"	"380"	"0"	"380"	"0"
"252"	"129"	"332"	"30"	"10"	"92"	"200"	"332"	"0"	"332"	"0"
"253"	"130"	"324"	"158"	"4"	"46"	"116"	"324"	"0"	"324"	"0"
"254"	"131"	"356"	"48"	"26"	"169"	"113"	"356"	"0"	"356"	"0"
"255"	"132"	"337"	"174"	"8"	"68"	"87"	"337"	"0"	"337"	"0"
"256"	"133"	"575"	"179"	"23"	"235"	"138"	"575"	"0"	"575"	"0"
"257"	"134"	"610"	"323"	"14"	"201"	"72"	"610"	"0"	"610"	"0"
"258"	"135"	"409"	"38"	"12"	"90"	"269"	"409"	"0"	"409"	"0"
"259"	"136"	"446"	"50"	"39"	"200"	"157"	"446"	"0"	"446"	"0"
"260"	"137"	"581"	"80"	"24"	"184"	"293"	"581"	"0"	"581"	"0"
"261"	"Grand Total"	"6186"	"1902"	"272"	"1727"	"2285"	"6186"	"0"	"6186"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"269"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"270"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"271"	"138"	"559"	"76"	"20"	"237"	"226"	"559"	"0"	"559"	"0"
"272"	"139"	"328"	"206"	"9"	"75"	"38"	"328"	"0"	"328"	"0"
"273"	"139K"	"395"	"256"	"13"	"95"	"31"	"395"	"0"	"395"	"0"
"274"	"140"	"409"	"128"	"8"	"170"	"103"	"409"	"0"	"409"	"0"
"275"	"141"	"488"	"114"	"22"	"88"	"264"	"488"	"0"	"488"	"0"
"276"	"142"	"621"	"134"	"7"	"47"	"433"	"621"	"0"	"621"	"0"
"277"	"143"	"356"	"224"	"13"	"33"	"86"	"356"	"0"	"356"	"0"
"278"	"143K"	"451"	"112"	"20"	"210"	"109"	"451"	"0"	"451"	"0"
"279"	"144"	"554"	"296"	"24"	"111"	"123"	"554"	"0"	"554"	"0"
"280"	"145"	"433"	"113"	"15"	"142"	"163"	"433"	"0"	"433"	"0"
"281"	"146"	"506"	"116"	"16"	"83"	"291"	"506"	"0"	"506"	"0"
"282"	"147"	"438"	"200"	"12"	"92"	"134"	"438"	"0"	"438"	"0"
"283"	"148"	"605"	"263"	"8"	"73"	"261"	"605"	"0"	"605"	"0"
"284"	"149"	"623"	"225"	"14"	"270"	"114"	"623"	"0"	"623"	"0"
"285"	"Grand Total"	"6766"	"2463"	"201"	"1726"	"2376"	"6766"	"0"	"6766"	"0"
