"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"14"	"-11"	"25"	""	"4"	""	"82"	""	""	"5"	""	""	"132"	""	""	"5"	""	""	""	"5"	""	""	"5"	""	""	"3"	""	""	"266"	""	""	""	""	""	""	""	"266"	""	""	""	""	""	""	""	""	""	""	""
"15"	"-12"	"280"	""	"15"	""	"15"	""	""	"0"	""	""	"87"	""	""	"6"	""	""	""	"10"	""	""	"5"	""	""	"16"	""	""	"434"	""	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""
"16"	"-13"	"10"	""	"2"	""	"318"	""	""	"13"	""	""	"6"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"351"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""
"17"	"-14"	"48"	""	"4"	""	"190"	""	""	"12"	""	""	"42"	""	""	"1"	""	""	""	"6"	""	""	"2"	""	""	"1"	""	""	"306"	""	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	""	""	""	""
"18"	"Total"	"1782"	""	"115"	""	"1161"	""	""	"137"	""	""	"1141"	""	""	"53"	""	""	""	"93"	""	""	"32"	""	""	"89"	""	""	"4603"	""	""	""	"0"	""	""	""	"4603"	""	""	"0"	""	""	""	""	""	""	""	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Grand Total"	"1782"	""	"115"	""	"1161"	""	""	"137"	""	""	"1141"	""	""	"53"	""	""	""	"93"	""	""	"32"	""	""	"89"	""	""	"4603"	""	""	""	"0"	""	""	""	"4603"	""	""	"0"	""	""	""	""	""	""	""	""
"21"	"Date                 22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ROUND - 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i"	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"35"	"-15"	""	"199"	""	"7"	""	"9"	""	""	"3"	""	""	"41"	""	""	"5"	""	""	""	"1"	""	""	"1"	""	""	"7"	""	""	""	"273"	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""
"36"	"-16"	""	"343"	""	"8"	""	"4"	""	""	"8"	""	""	"220"	""	""	"13"	""	""	""	"5"	""	""	"5"	""	""	"18"	""	""	""	"624"	""	""	""	""	""	""	"624"	""	""	""	""	""	""	""	""	""	""
"37"	"-17"	""	"174"	""	"3"	""	"5"	""	""	"14"	""	""	"123"	""	""	"6"	""	""	""	"8"	""	""	"4"	""	""	"5"	""	""	""	"342"	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"38"	"-18"	""	"28"	""	"1"	""	"222"	""	""	"17"	""	""	"11"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"293"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""
"39"	"-19"	""	"114"	""	"6"	""	"246"	""	""	"8"	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	"4"	""	""	""	"386"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""
"40"	"-20"	""	"9"	""	"2"	""	"168"	""	""	"18"	""	""	"122"	""	""	"5"	""	""	""	"7"	""	""	"6"	""	""	"13"	""	""	""	"350"	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""
"41"	"-21"	""	"34"	""	"4"	""	"215"	""	""	"26"	""	""	"140"	""	""	"8"	""	""	""	"9"	""	""	"1"	""	""	"4"	""	""	""	"441"	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""
"42"	"-22"	""	"51"	""	"10"	""	"172"	""	""	"15"	""	""	"140"	""	""	"13"	""	""	""	"12"	""	""	"3"	""	""	"14"	""	""	""	"430"	""	""	""	""	""	""	"430"	""	""	""	""	""	""	""	""	""	""
"43"	"-23"	""	"26"	""	"3"	""	"133"	""	""	"19"	""	""	"121"	""	""	"17"	""	""	""	"4"	""	""	"7"	""	""	"5"	""	""	""	"335"	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""
"44"	"-24"	""	"293"	""	"15"	""	"47"	""	""	"28"	""	""	"94"	""	""	"3"	""	""	""	"12"	""	""	"3"	""	""	"15"	""	""	""	"510"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""
"45"	"-25"	""	"67"	""	"4"	""	"12"	""	""	"8"	""	""	"320"	""	""	"17"	""	""	""	"15"	""	""	"9"	""	""	"15"	""	""	""	"467"	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	""
"46"	"-26"	""	"37"	""	"2"	""	"158"	""	""	"13"	""	""	"93"	""	""	"4"	""	""	""	"8"	""	""	"2"	""	""	"7"	""	""	""	"324"	""	""	""	""	""	""	"324"	""	""	""	""	""	""	""	""	""	""
"47"	"-27"	""	"222"	""	"3"	""	"59"	""	""	"19"	""	""	"9"	""	""	"6"	""	""	""	"7"	""	""	"1"	""	""	"4"	""	""	""	"330"	""	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""
"48"	"-28"	""	"175"	""	"53"	""	"55"	""	""	"30"	""	""	"32"	""	""	"10"	""	""	""	"10"	""	""	"4"	""	""	"10"	""	""	""	"379"	""	""	""	""	""	""	"379"	""	""	""	""	""	""	""	""	""	""
"49"	"Total"	""	"1772"	""	"121"	""	"1505"	""	""	"226"	""	""	"1470"	""	""	"110"	""	""	""	"102"	""	""	"52"	""	""	"126"	""	""	""	"5484"	""	""	""	"0"	""	""	"5484"	""	""	"0"	""	""	""	""	""	""	""
"50"	"Till last Round"	""	"1782"	""	"115"	""	"1161"	""	""	"137"	""	""	"1141"	""	""	"53"	""	""	""	"93"	""	""	"32"	""	""	"89"	""	""	""	"4603"	""	""	""	"0"	""	""	"4603"	""	""	"0"	""	""	""	""	""	""	""
"51"	"Grand Total"	""	"3554"	""	"236"	""	"2666"	""	""	"363"	""	""	"2611"	""	""	"163"	""	""	""	"195"	""	""	"84"	""	""	"215"	""	""	""	"10087"	""	""	""	"0"	""	""	"10087"	""	""	"0"	""	""	""	""	""	""	""
"52"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"ROUND - 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"67"	"-29"	""	"3"	""	"2"	""	"337"	""	""	"18"	""	""	"8"	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"3"	""	""	"374"	""	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""
"68"	"-30"	""	"95"	""	"0"	""	"225"	""	""	"14"	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"342"	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"69"	"-31"	""	"17"	""	"2"	""	"193"	""	""	"47"	""	""	"41"	""	""	"8"	""	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"314"	""	""	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""
"70"	"-32"	""	"533"	""	"13"	""	"29"	""	""	"4"	""	""	"11"	""	""	"8"	""	""	""	"7"	""	""	"4"	""	""	"11"	""	""	"620"	""	""	""	""	""	""	""	"620"	""	""	""	""	""	""	""	""	""	""
"71"	"-33"	""	"10"	""	"3"	""	"221"	""	""	"8"	""	""	"3"	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"250"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""
"72"	"-34"	""	"55"	""	"4"	""	"96"	""	""	"38"	""	""	"24"	""	""	"7"	""	""	""	"6"	""	""	"4"	""	""	"20"	""	""	"254"	""	""	""	""	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""
"73"	"34A"	""	"142"	""	"2"	""	"32"	""	""	"4"	""	""	"21"	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"208"	""	""	""	""	""	""	""	"208"	""	""	""	""	""	""	""	""	""	""
"74"	"-35"	""	"164"	""	"9"	""	"37"	""	""	"24"	""	""	"18"	""	""	"5"	""	""	""	"8"	""	""	"3"	""	""	"5"	""	""	"273"	""	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""
"75"	"-36"	""	"193"	""	"13"	""	"98"	""	""	"19"	""	""	"30"	""	""	"11"	""	""	""	"15"	""	""	"4"	""	""	"7"	""	""	"390"	""	""	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""
"76"	"-37"	""	"549"	""	"5"	""	"3"	""	""	"10"	""	""	"57"	""	""	"7"	""	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"640"	""	""	""	""	""	""	""	"640"	""	""	""	""	""	""	""	""	""	""
"77"	"-38"	""	"93"	""	"5"	""	"211"	""	""	"18"	""	""	"26"	""	""	"2"	""	""	""	"8"	""	""	"3"	""	""	"8"	""	""	"374"	""	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""
"78"	"-39"	""	"235"	""	"0"	""	"3"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"240"	""	""	""	""	""	""	""	"240"	""	""	""	""	""	""	""	""	""	""
"79"	"-40"	""	"82"	""	"5"	""	"5"	""	""	"3"	""	""	"186"	""	""	"9"	""	""	""	"11"	""	""	"3"	""	""	"15"	""	""	"319"	""	""	""	""	""	""	""	"319"	""	""	""	""	""	""	""	""	""	""
"80"	"40A"	""	"182"	""	"1"	""	"1"	""	""	"0"	""	""	"21"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"6"	""	""	"212"	""	""	""	""	""	""	""	"212"	""	""	""	""	""	""	""	""	""	""
"81"	"Total"	""	"2353"	""	"64"	""	"1491"	""	""	"207"	""	""	"449"	""	""	"63"	""	""	""	"68"	""	""	"25"	""	""	"90"	""	""	"4810"	""	""	""	"0"	""	""	""	"4810"	""	"0"	""	""	""	""	""	""	""	""
"82"	"Till last Round"	""	"3554"	""	"236"	""	"2666"	""	""	"363"	""	""	"2611"	""	""	"163"	""	""	""	"195"	""	""	"84"	""	""	"215"	""	""	"10087"	""	""	""	"0"	""	""	""	"10087"	""	"0"	""	""	""	""	""	""	""	""
"83"	"Grand Total"	""	"5907"	""	"300"	""	"4157"	""	""	"570"	""	""	"3060"	""	""	"226"	""	""	""	"263"	""	""	"109"	""	""	"305"	""	""	"14897"	""	""	""	"0"	""	""	""	"14897"	""	"0"	""	""	""	""	""	""	""	""
"84"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"ROUND - 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"99"	"-41"	""	"240"	""	"1"	""	"16"	""	""	"3"	""	""	"25"	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	"7"	""	""	"301"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""
"100"	"-42"	""	"166"	""	"5"	""	"3"	""	""	"8"	""	""	"203"	""	""	"12"	""	""	""	"11"	""	""	"2"	""	""	"1"	""	""	"411"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""
"101"	"-43"	""	"268"	""	"3"	""	"6"	""	""	"16"	""	""	"153"	""	""	"12"	""	""	""	"9"	""	""	"5"	""	""	"14"	""	""	"486"	""	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""
"102"	"-44"	""	"133"	""	"2"	""	"40"	""	""	"25"	""	""	"373"	""	""	"10"	""	""	""	"12"	""	""	"2"	""	""	"12"	""	""	"609"	""	""	""	""	""	""	""	"609"	""	""	""	""	""	""	""	""	""	""
"103"	"-45"	""	"95"	""	"17"	""	"213"	""	""	"14"	""	""	"37"	""	""	"7"	""	""	""	"6"	""	""	"1"	""	""	"6"	""	""	"396"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""
