"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke....................1....izk.i.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"11"	"5"	"413"	"78"	"193"	"3"	"4"	"6"	"6"	"12"	"7"	"14"	"736"	"0"	"736"	"0"
"12"	"6"	"241"	"119"	"173"	"6"	"3"	"4"	"4"	"26"	"5"	"15"	"596"	"0"	"596"	"0"
"13"	"7"	"114"	"104"	"316"	"7"	"6"	"4"	"11"	"9"	"15"	"12"	"598"	"0"	"598"	"0"
"14"	"8"	"71"	"118"	"241"	"5"	"1"	"1"	"1"	"2"	"1"	"4"	"445"	"0"	"445"	"0"
"15"	"9"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"14"	"0"	"14"	"0"
"16"	"9A"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"17"	"10"	"53"	"2"	"133"	"39"	"4"	"2"	"1"	"1"	"4"	"11"	"250"	"0"	"250"	"0"
"18"	"11"	"335"	"17"	"115"	"1"	"1"	"2"	"3"	"3"	"8"	"26"	"511"	"0"	"511"	"0"
"19"	"12"	"108"	"59"	"398"	"17"	"3"	"3"	"5"	"8"	"2"	"11"	"614"	"0"	"614"	"0"
"20"	"13"	"247"	"33"	"243"	"4"	"4"	"1"	"5"	"15"	"6"	"11"	"569"	"0"	"569"	"0"
"21"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"22"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"23"	"14"	"389"	"23"	"52"	"0"	"1"	"4"	"1"	"3"	"9"	"14"	"496"	"0"	"496"	"0"
"24"	"15"	"179"	"17"	"307"	"11"	"4"	"4"	"7"	"5"	"4"	"11"	"549"	"0"	"549"	"0"
"25"	"16"	"130"	"51"	"200"	"6"	"1"	"5"	"5"	"5"	"2"	"17"	"422"	"0"	"422"	"0"
"26"	"16A"	"66"	"49"	"150"	"7"	"3"	"3"	"7"	"12"	"7"	"15"	"319"	"0"	"319"	"0"
"27"	"17"	"564"	"56"	"112"	"25"	"2"	"2"	"12"	"6"	"9"	"29"	"817"	"0"	"817"	"0"
"28"	"18"	"298"	"69"	"222"	"33"	"6"	"6"	"10"	"13"	"13"	"36"	"706"	"0"	"706"	"0"
"29"	"19"	"81"	"15"	"119"	"2"	"3"	"0"	"0"	"4"	"7"	"9"	"240"	"0"	"240"	"0"
"30"	"20"	"210"	"21"	"142"	"10"	"1"	"2"	"2"	"5"	"4"	"3"	"400"	"0"	"400"	"0"
"31"	"21"	"164"	"91"	"80"	"3"	"5"	"2"	"0"	"10"	"5"	"11"	"371"	"0"	"371"	"0"
"32"	"22"	"307"	"93"	"274"	"11"	"6"	"4"	"2"	"10"	"6"	"6"	"719"	"0"	"719"	"0"
"33"	"23"	"122"	"19"	"483"	"9"	"9"	"7"	"5"	"3"	"10"	"13"	"680"	"0"	"680"	"0"
"34"	"24"	"29"	"86"	"413"	"17"	"2"	"7"	"6"	"14"	"7"	"14"	"595"	"0"	"595"	"0"
"35"	"25"	"178"	"7"	"167"	"10"	"5"	"1"	"3"	"1"	"3"	"18"	"393"	"0"	"393"	"0"
"36"	"26"	"129"	"7"	"152"	"3"	"0"	"0"	"2"	"2"	"1"	"2"	"298"	"0"	"298"	"0"
"37"	"27"	"266"	"37"	"244"	"8"	"4"	"2"	"0"	"6"	"7"	"11"	"585"	"0"	"585"	"0"
"38"	"28"	"359"	"24"	"158"	"9"	"6"	"4"	"4"	"7"	"8"	"16"	"595"	"0"	"595"	"0"
"39"	"29"	"168"	"22"	"140"	"3"	"22"	"3"	"6"	"3"	"9"	"12"	"388"	"0"	"388"	"0"
"40"	"29A"	"61"	"11"	"253"	"7"	"32"	"0"	"3"	"4"	"0"	"8"	"379"	"0"	"379"	"0"
"41"	"30"	"60"	"79"	"190"	"17"	"9"	"1"	"4"	"12"	"11"	"40"	"423"	"0"	"423"	"0"
"42"	"31"	"153"	"32"	"327"	"14"	"4"	"3"	"5"	"6"	"6"	"24"	"574"	"0"	"574"	"0"
"43"	"32"	"346"	"22"	"231"	"9"	"4"	"4"	"9"	"16"	"19"	"53"	"713"	"0"	"713"	"0"
"44"	"33"	"87"	"28"	"376"	"5"	"3"	"2"	"7"	"2"	"4"	"20"	"534"	"0"	"534"	"0"
"45"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"46"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"47"	"34"	"260"	"14"	"90"	"7"	"1"	"2"	"2"	"4"	"1"	"8"	"389"	"0"	"389"	"0"
"48"	"35"	"131"	"9"	"380"	"10"	"16"	"3"	"2"	"4"	"1"	"13"	"569"	"0"	"569"	"0"
"49"	"36"	"224"	"20"	"129"	"7"	"3"	"0"	"7"	"0"	"1"	"1"	"392"	"0"	"392"	"0"
"50"	"37"	"192"	"11"	"140"	"9"	"4"	"1"	"1"	"6"	"4"	"19"	"387"	"0"	"387"	"0"
"51"	"38"	"7"	"10"	"254"	"15"	"0"	"2"	"2"	"7"	"6"	"5"	"308"	"0"	"308"	"0"
"52"	"39"	"26"	"47"	"487"	"9"	"8"	"4"	"4"	"17"	"7"	"10"	"619"	"0"	"619"	"0"
"53"	"40"	"34"	"20"	"493"	"6"	"6"	"4"	"5"	"4"	"6"	"26"	"604"	"0"	"604"	"0"
"54"	"41"	"13"	"17"	"398"	"10"	"4"	"6"	"6"	"2"	"8"	"15"	"479"	"0"	"479"	"0"
"55"	"42"	"403"	"32"	"191"	"3"	"5"	"24"	"7"	"3"	"0"	"15"	"683"	"0"	"683"	"0"
"56"	"43"	"334"	"25"	"213"	"6"	"5"	"12"	"3"	"8"	"8"	"22"	"636"	"0"	"636"	"0"
"57"	"44"	"288"	"9"	"102"	"0"	"3"	"2"	"3"	"2"	"2"	"20"	"431"	"0"	"431"	"0"
"58"	"45"	"133"	"7"	"243"	"9"	"6"	"3"	"5"	"4"	"6"	"13"	"429"	"0"	"429"	"0"
"59"	"46"	"315"	"55"	"132"	"4"	"11"	"5"	"6"	"12"	"11"	"31"	"582"	"0"	"582"	"0"
"60"	"47"	"166"	"1"	"159"	"4"	"1"	"13"	"6"	"2"	"0"	"4"	"356"	"0"	"356"	"0"
"61"	"47A"	"164"	"1"	"55"	"1"	"2"	"3"	"4"	"0"	"0"	"14"	"244"	"0"	"244"	"0"
"62"	"48"	"350"	"11"	"93"	"1"	"20"	"2"	"8"	"2"	"3"	"8"	"498"	"0"	"498"	"0"
"63"	"49"	"197"	"21"	"143"	"4"	"0"	"3"	"1"	"1"	"5"	"8"	"383"	"0"	"383"	"0"
"64"	"49A"	"82"	"41"	"135"	"6"	"1"	"4"	"2"	"2"	"2"	"2"	"277"	"0"	"277"	"0"
"65"	"50"	"312"	"79"	"120"	"5"	"2"	"4"	"5"	"6"	"2"	"72"	"607"	"0"	"607"	"0"
"66"	"51"	"271"	"10"	"104"	"0"	"6"	"1"	"5"	"0"	"1"	"6"	"404"	"0"	"404"	"0"
"67"	"51A"	"189"	"24"	"38"	"1"	"2"	"2"	"4"	"5"	"4"	"6"	"275"	"0"	"275"	"0"
"68"	"52"	"343"	"75"	"118"	"4"	"11"	"11"	"1"	"5"	"4"	"13"	"585"	"0"	"585"	"0"
"69"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"70"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"71"	"53"	"207"	"32"	"133"	"0"	"3"	"0"	"5"	"2"	"0"	"13"	"395"	"0"	"395"	"0"
"72"	"53A"	"236"	"24"	"161"	"3"	"1"	"0"	"11"	"4"	"8"	"7"	"455"	"0"	"455"	"0"
"73"	"54"	"319"	"11"	"159"	"10"	"3"	"19"	"6"	"2"	"3"	"30"	"562"	"0"	"562"	"0"
"74"	"55"	"311"	"17"	"191"	"4"	"5"	"2"	"43"	"2"	"3"	"12"	"590"	"0"	"590"	"0"
"75"	"56"	"303"	"8"	"182"	"5"	"7"	"3"	"7"	"3"	"1"	"16"	"535"	"0"	"535"	"0"
"76"	"56A"	"34"	"18"	"334"	"4"	"5"	"1"	"1"	"3"	"0"	"4"	"404"	"0"	"404"	"0"
"77"	"57"	"278"	"22"	"265"	"8"	"3"	"1"	"1"	"5"	"6"	"11"	"600"	"0"	"600"	"0"
"78"	"58"	"231"	"19"	"135"	"4"	"2"	"2"	"2"	"3"	"2"	"9"	"409"	"0"	"409"	"0"
"79"	"59"	"166"	"37"	"214"	"3"	"2"	"2"	"5"	"3"	"4"	"9"	"445"	"0"	"445"	"0"
"80"	"60"	"147"	"63"	"187"	"2"	"5"	"5"	"3"	"7"	"4"	"5"	"428"	"0"	"428"	"0"
"81"	"61"	"213"	"77"	"189"	"3"	"4"	"2"	"4"	"4"	"1"	"5"	"502"	"0"	"502"	"0"
"82"	"62"	"173"	"39"	"177"	"4"	"6"	"1"	"4"	"2"	"4"	"6"	"416"	"0"	"416"	"0"
"83"	"63"	"78"	"13"	"66"	"6"	"3"	"1"	"2"	"2"	"0"	"0"	"171"	"0"	"171"	"0"
"84"	"64"	"172"	"95"	"254"	"4"	"2"	"10"	"0"	"10"	"4"	"17"	"568"	"0"	"568"	"0"
"85"	"65"	"129"	"21"	"304"	"14"	"7"	"5"	"4"	"4"	"6"	"15"	"509"	"0"	"509"	"0"
"86"	"65A"	"138"	"20"	"188"	"4"	"4"	"3"	"2"	"4"	"2"	"12"	"377"	"0"	"377"	"0"
"87"	"66"	"164"	"39"	"268"	"2"	"3"	"3"	"4"	"4"	"3"	"3"	"493"	"0"	"493"	"0"
"88"	"67"	"270"	"31"	"237"	"3"	"4"	"4"	"7"	"4"	"9"	"7"	"576"	"0"	"576"	"0"
"89"	"68"	"175"	"43"	"131"	"1"	"2"	"0"	"1"	"3"	"1"	"9"	"366"	"0"	"366"	"0"
"90"	"69"	"100"	"11"	"131"	"3"	"2"	"2"	"1"	"1"	"0"	"0"	"251"	"0"	"251"	"0"
"91"	"70"	"49"	"30"	"151"	"3"	"1"	"0"	"1"	"0"	"0"	"5"	"240"	"0"	"240"	"0"
"92"	"71"	"318"	"38"	"330"	"3"	"1"	"1"	"6"	"3"	"3"	"9"	"712"	"0"	"712"	"0"
"93"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"94"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"95"	"72"	"152"	"13"	"109"	"1"	"2"	"2"	"16"	"0"	"1"	"2"	"298"	"0"	"298"	"0"
"96"	"72A"	"86"	"5"	"47"	"1"	"0"	"4"	"8"	"0"	"0"	"3"	"154"	"0"	"154"	"0"
"97"	"73"	"159"	"13"	"78"	"0"	"0"	"5"	"2"	"3"	"3"	"5"	"268"	"0"	"268"	"0"
"98"	"74"	"178"	"14"	"105"	"1"	"6"	"7"	"3"	"3"	"0"	"12"	"329"	"0"	"329"	"0"
"99"	"74A"	"150"	"17"	"77"	"3"	"2"	"13"	"7"	"1"	"2"	"8"	"280"	"0"	"280"	"0"
"100"	"75"	"35"	"44"	"74"	"4"	"3"	"5"	"6"	"6"	"0"	"13"	"190"	"0"	"190"	"0"
"101"	"76"	"285"	"12"	"189"	"2"	"2"	"4"	"3"	"4"	"1"	"8"	"510"	"0"	"510"	"0"
"102"	"77"	"303"	"10"	"90"	"2"	"0"	"1"	"8"	"7"	"0"	"9"	"430"	"0"	"430"	"0"
"103"	"77A"	"218"	"32"	"126"	"1"	"6"	"6"	"11"	"3"	"0"	"7"	"410"	"0"	"410"	"0"
"104"	"78"	"386"	"12"	"96"	"2"	"2"	"1"	"9"	"5"	"4"	"9"	"526"	"0"	"526"	"0"
"105"	"79"	"168"	"5"	"34"	"0"	"0"	"0"	"12"	"1"	"0"	"2"	"222"	"0"	"222"	"0"
"106"	"80"	"98"	"27"	"221"	"12"	"19"	"1"	"20"	"5"	"2"	"14"	"419"	"0"	"419"	"0"
"107"	"80A"	"89"	"21"	"130"	"4"	"6"	"1"	"26"	"3"	"3"	"5"	"288"	"0"	"288"	"0"
"108"	"81"	"144"	"118"	"136"	"5"	"8"	"6"	"41"	"6"	"5"	"9"	"478"	"0"	"478"	"0"
"109"	"82"	"169"	"30"	"194"	"4"	"9"	"8"	"63"	"2"	"1"	"11"	"491"	"0"	"491"	"0"
"110"	"83"	"348"	"14"	"153"	"6"	"4"	"4"	"24"	"25"	"0"	"21"	"599"	"0"	"599"	"0"
"111"	"84"	"220"	"93"	"197"	"6"	"22"	"2"	"34"	"7"	"2"	"24"	"607"	"0"	"607"	"0"
"112"	"85"	"92"	"22"	"80"	"1"	"4"	"2"	"12"	"3"	"0"	"6"	"222"	"0"	"222"	"0"
"113"	"86"	"270"	"43"	"124"	"5"	"7"	"13"	"59"	"5"	"6"	"11"	"543"	"0"	"543"	"0"
"114"	"87"	"188"	"16"	"89"	"2"	"8"	"1"	"29"	"2"	"0"	"5"	"340"	"0"	"340"	"0"
"115"	"88"	"168"	"6"	"88"	"1"	"0"	"1"	"1"	"0"	"1"	"9"	"275"	"0"	"275"	"0"
"116"	"89"	"118"	"12"	"183"	"5"	"4"	"0"	"0"	"1"	"2"	"7"	"332"	"0"	"332"	"0"
"117"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"118"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"119"	"90"	"273"	"5"	"102"	"2"	"0"	"0"	"2"	"0"	"0"	"4"	"388"	"0"	"388"	"0"
"120"	"90A"	"217"	"7"	"113"	"2"	"2"	"1"	"1"	"0"	"1"	"3"	"347"	"0"	"347"	"0"
"121"	"91"	"208"	"32"	"158"	"1"	"0"	"2"	"4"	"0"	"2"	"4"	"411"	"0"	"411"	"0"
"122"	"92"	"206"	"10"	"128"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"357"	"0"	"357"	"0"
"123"	"93"	"242"	"8"	"97"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"353"	"0"	"353"	"0"
"124"	"94"	"269"	"60"	"190"	"0"	"1"	"0"	"8"	"2"	"0"	"5"	"535"	"0"	"535"	"0"
"125"	"95"	"142"	"75"	"320"	"4"	"0"	"2"	"2"	"4"	"1"	"14"	"564"	"0"	"564"	"0"
"126"	"96"	"209"	"4"	"46"	"1"	"4"	"0"	"0"	"0"	"1"	"5"	"270"	"0"	"270"	"0"
"127"	"96A"	"171"	"22"	"115"	"3"	"6"	"1"	"7"	"2"	"1"	"3"	"331"	"0"	"331"	"0"
"128"	"97"	"100"	"57"	"254"	"4"	"1"	"0"	"4"	"5"	"6"	"11"	"442"	"0"	"442"	"0"
"129"	"98"	"144"	"11"	"44"	"2"	"4"	"1"	"1"	"0"	"2"	"10"	"219"	"0"	"219"	"0"
"130"	"99"	"380"	"9"	"117"	"0"	"3"	"2"	"10"	"6"	"3"	"10"	"540"	"0"	"540"	"0"
"131"	"100"	"296"	"21"	"324"	"14"	"4"	"5"	"6"	"6"	"4"	"15"	"695"	"0"	"695"	"0"
"132"	"101"	"133"	"40"	"275"	"6"	"1"	"2"	"3"	"0"	"0"	"4"	"464"	"0"	"464"	"0"
"133"	"102"	"185"	"15"	"250"	"5"	"0"	"1"	"2"	"0"	"0"	"2"	"460"	"0"	"460"	"0"
"134"	"103"	"191"	"20"	"163"	"1"	"2"	"3"	"0"	"6"	"5"	"7"	"398"	"0"	"398"	"0"
"135"	"103A"	"208"	"13"	"136"	"3"	"1"	"2"	"2"	"1"	"3"	"6"	"375"	"0"	"375"	"0"
"136"	"104"	"267"	"4"	"343"	"7"	"2"	"0"	"1"	"1"	"1"	"7"	"633"	"0"	"633"	"0"
"137"	"105"	"276"	"7"	"143"	"5"	"1"	"0"	"4"	"2"	"4"	"4"	"446"	"0"	"446"	"0"
"138"	"106"	"282"	"5"	"79"	"1"	"0"	"1"	"0"	"0"	"1"	"7"	"376"	"0"	"376"	"0"
"139"	"106A"	"212"	"6"	"62"	"0"	"0"	"1"	"0"	"1"	"1"	"8"	"291"	"0"	"291"	"0"
"140"	"107"	"396"	"6"	"165"	"2"	"0"	"6"	"2"	"2"	"1"	"14"	"594"	"0"	"594"	"0"
"141"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"142"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"143"	"108"	"212"	"2"	"90"	"1"	"0"	"0"	"7"	"0"	"1"	"3"	"316"	"0"	"316"	"0"
"144"	"108A"	"227"	"5"	"106"	"0"	"4"	"0"	"3"	"0"	"1"	"4"	"350"	"0"	"350"	"0"
"145"	"109"	"83"	"64"	"151"	"4"	"2"	"0"	"1"	"8"	"2"	"18"	"333"	"0"	"333"	"0"
"146"	"109A"	"50"	"68"	"156"	"3"	"2"	"1"	"2"	"2"	"4"	"6"	"294"	"0"	"294"	"0"
"147"	"110"	"13"	"130"	"203"	"4"	"2"	"1"	"0"	"7"	"7"	"8"	"375"	"0"	"375"	"0"
"148"	"111"	"288"	"73"	"201"	"5"	"6"	"4"	"4"	"16"	"11"	"77"	"685"	"0"	"685"	"0"
"149"	"112"	"129"	"85"	"193"	"6"	"0"	"2"	"2"	"4"	"2"	"8"	"431"	"0"	"431"	"0"
"150"	"113"	"210"	"3"	"105"	"2"	"1"	"1"	"3"	"0"	"1"	"13"	"339"	"0"	"339"	"0"
"151"	"113A"	"249"	"5"	"89"	"2"	"0"	"0"	"2"	"0"	"2"	"6"	"355"	"0"	"355"	"0"
"152"	"114"	"334"	"62"	"211"	"8"	"5"	"6"	"3"	"6"	"6"	"35"	"676"	"0"	"676"	"0"
"153"	"115"	"364"	"58"	"148"	"1"	"4"	"3"	"6"	"3"	"4"	"5"	"596"	"0"	"596"	"0"
"154"	"116"	"409"	"5"	"124"	"1"	"4"	"2"	"1"	"2"	"0"	"7"	"555"	"0"	"555"	"0"
"155"	"117"	"230"	"9"	"164"	"4"	"7"	"0"	"1"	"2"	"0"	"5"	"422"	"0"	"422"	"0"
"156"	"117A"	"40"	"47"	"173"	"3"	"1"	"0"	"3"	"0"	"4"	"7"	"278"	"0"	"278"	"0"
"157"	"118"	"327"	"2"	"231"	"1"	"2"	"3"	"2"	"0"	"1"	"39"	"608"	"0"	"608"	"0"
"158"	"119"	"225"	"3"	"199"	"8"	"0"	"2"	"0"	"2"	"2"	"7"	"448"	"0"	"448"	"0"
"159"	"120"	"197"	"3"	"126"	"3"	"0"	"2"	"1"	"2"	"0"	"26"	"360"	"0"	"360"	"0"
"160"	"121"	"237"	"9"	"176"	"2"	"0"	"2"	"0"	"2"	"4"	"44"	"476"	"0"	"476"	"0"
"161"	"122"	"374"	"23"	"174"	"2"	"2"	"2"	"0"	"2"	"0"	"9"	"588"	"0"	"588"	"0"
"162"	"123"	"173"	"23"	"178"	"3"	"1"	"2"	"4"	"2"	"2"	"10"	"398"	"0"	"398"	"0"
"163"	"124"	"282"	"27"	"133"	"2"	"7"	"4"	"19"	"2"	"2"	"11"	"489"	"0"	"489"	"0"
"164"	"125"	"338"	"8"	"148"	"5"	"2"	"4"	"5"	"1"	"3"	"20"	"534"	"0"	"534"	"0"
"165"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"166"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"167"	"126"	"334"	"7"	"57"	"1"	"0"	"1"	"2"	"0"	"1"	"21"	"424"	"0"	"424"	"0"
"168"	"127"	"89"	"19"	"117"	"3"	"1"	"2"	"31"	"1"	"19"	"21"	"303"	"0"	"303"	"0"
"169"	"127A"	"97"	"70"	"73"	"4"	"7"	"3"	"16"	"10"	"13"	"32"	"325"	"0"	"325"	"0"
"170"	"128"	"99"	"14"	"112"	"8"	"1"	"3"	"26"	"2"	"3"	"15"	"283"	"0"	"283"	"0"
"171"	"129"	"98"	"64"	"122"	"7"	"0"	"1"	"13"	"5"	"31"	"9"	"350"	"0"	"350"	"0"
"172"	"130"	"125"	"76"	"110"	"6"	"6"	"2"	"4"	"6"	"96"	"8"	"439"	"0"	"439"	"0"
"173"	"130A"	"126"	"61"	"160"	"5"	"13"	"2"	"4"	"9"	"78"	"37"	"495"	"0"	"495"	"0"
"174"	"131"	"172"	"198"	"197"	"5"	"1"	"4"	"6"	"16"	"11"	"25"	"635"	"0"	"635"	"0"
"175"	"132"	"198"	"74"	"181"	"4"	"2"	"5"	"4"	"11"	"33"	"19"	"531"	"0"	"531"	"0"
"176"	"133"	"87"	"193"	"141"	"5"	"2"	"3"	"12"	"11"	"6"	"19"	"479"	"0"	"479"	"0"
"177"	"134"	"90"	"98"	"93"	"2"	"3"	"0"	"9"	"8"	"7"	"25"	"335"	"0"	"335"	"0"
"178"	"134A"	"34"	"92"	"90"	"3"	"3"	"0"	"5"	"4"	"4"	"17"	"252"	"0"	"252"	"0"
"179"	"135"	"129"	"28"	"267"	"8"	"16"	"2"	"2"	"5"	"105"	"22"	"584"	"0"	"584"	"0"
"180"	"136"	"133"	"35"	"162"	"5"	"5"	"4"	"8"	"7"	"9"	"173"	"541"	"0"	"541"	"0"
"181"	"137"	"87"	"52"	"111"	"8"	"2"	"2"	"4"	"4"	"9"	"162"	"441"	"0"	"441"	"0"
"182"	"137A"	"81"	"15"	"131"	"2"	"6"	"1"	"14"	"3"	"6"	"84"	"343"	"0"	"343"	"0"
"183"	"138"	"164"	"146"	"128"	"1"	"4"	"1"	"3"	"5"	"4"	"98"	"554"	"0"	"554"	"0"
"184"	"139"	"122"	"46"	"251"	"11"	"1"	"8"	"4"	"10"	"8"	"75"	"536"	"0"	"536"	"0"
"185"	"140"	"139"	"17"	"166"	"4"	"1"	"1"	"13"	"3"	"8"	"11"	"363"	"0"	"363"	"0"
"186"	"141"	"116"	"58"	"157"	"4"	"2"	"2"	"18"	"3"	"7"	"94"	"461"	"0"	"461"	"0"
"187"	"142"	"112"	"34"	"154"	"2"	"4"	"2"	"4"	"6"	"1"	"108"	"427"	"0"	"427"	"0"
"188"	"143"	"142"	"54"	"192"	"2"	"1"	"0"	"1"	"3"	"8"	"13"	"416"	"0"	"416"	"0"
"189"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
