"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"86"	"74"	"133"	"35"	"146"	"65"	"12"	"6"	"7"	"10"	"13"	"24"	"451"	"-"	"451"	"-"
"87"	"75"	"58"	"34"	"17"	"16"	"6"	"3"	"1"	"3"	"2"	"8"	"148"	"-"	"148"	"-"
"88"	"76"	"51"	"13"	"77"	"84"	"2"	"6"	"6"	"5"	"2"	"4"	"250"	"-"	"250"	"-"
"89"	"77"	"21"	"22"	"267"	"156"	"4"	"3"	"14"	"10"	"3"	"16"	"516"	"-"	"516"	"-"
"90"	"78"	"5"	"26"	"140"	"234"	"6"	"5"	"11"	"9"	"13"	"9"	"458"	"-"	"458"	"-"
"91"	"79"	"17"	"33"	"235"	"157"	"8"	"7"	"10"	"14"	"18"	"16"	"515"	"-"	"515"	"-"
"92"	"80"	"15"	"4"	"195"	"133"	"2"	"1"	"3"	"6"	"6"	"5"	"370"	"-"	"370"	"-"
"93"	"81"	"15"	"49"	"122"	"26"	"6"	"5"	"6"	"6"	"18"	"10"	"263"	"-"	"263"	"-"
"94"	"82"	"9"	"38"	"197"	"186"	"5"	"8"	"11"	"14"	"10"	"14"	"492"	"-"	"492"	"-"
"95"	"83"	"3"	"15"	"92"	"209"	"7"	"5"	"21"	"14"	"7"	"16"	"389"	"-"	"389"	"-"
"96"	"84"	"21"	"112"	"118"	"74"	"11"	"8"	"11"	"6"	"10"	"11"	"382"	"-"	"382"	"-"
"97"	"85"	"18"	"53"	"48"	"56"	"2"	"3"	"6"	"12"	"9"	"18"	"225"	"-"	"225"	"-"
"98"	"86"	"18"	"57"	"296"	"89"	"8"	"8"	"7"	"6"	"16"	"18"	"523"	"-"	"523"	"-"
"99"	"87"	"25"	"85"	"58"	"206"	"3"	"15"	"21"	"9"	"10"	"12"	"444"	"-"	"444"	"-"
"100"	"88"	"11"	"34"	"83"	"128"	"4"	"5"	"13"	"18"	"8"	"19"	"323"	"-"	"323"	"-"
"101"	"89"	"19"	"88"	"251"	"143"	"6"	"18"	"12"	"15"	"15"	"9"	"576"	"-"	"576"	"-"
"102"	"90"	"12"	"62"	"237"	"94"	"16"	"9"	"10"	"7"	"10"	"22"	"479"	"-"	"479"	"-"
"103"	"91"	"8"	"72"	"102"	"93"	"3"	"7"	"4"	"3"	"4"	"4"	"300"	"-"	"300"	"-"
"104"	"92"	"19"	"107"	"155"	"35"	"5"	"11"	"6"	"2"	"11"	"4"	"355"	"-"	"355"	"-"
"105"	"92A"	"8"	"67"	"131"	"69"	"3"	"10"	"6"	"7"	"8"	"12"	"321"	"-"	"321"	"-"
"106"	"93"	"14"	"71"	"15"	"144"	"7"	"7"	"15"	"3"	"4"	"10"	"290"	"-"	"290"	"-"
"107"	"94"	"14"	"3"	"13"	"116"	"5"	"3"	"6"	"12"	"4"	"18"	"194"	"-"	"194"	"-"
"108"	"94A"	"7"	"17"	"94"	"360"	"4"	"3"	"8"	"8"	"10"	"9"	"520"	"-"	"520"	"-"
"109"	"95"	"20"	"13"	"75"	"112"	"1"	"1"	"3"	"7"	"5"	"4"	"241"	"-"	"241"	"-"
"110"	"95A"	"9"	"30"	"61"	"133"	"5"	"3"	"6"	"1"	"5"	"12"	"265"	"-"	"265"	"-"
"111"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"112"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"113"	"96"	"15"	"53"	"402"	"95"	"8"	"9"	"7"	"11"	"29"	"16"	"645"	"-"	"645"	"-"
"114"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"115"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"116"	"97"	"5"	"10"	"241"	"32"	"0"	"1"	"3"	"3"	"8"	"10"	"313"	"-"	"313"	"-"
"117"	"98"	"6"	"7"	"182"	"58"	"4"	"4"	"6"	"1"	"16"	"11"	"295"	"-"	"295"	"-"
"118"	"99"	"30"	"15"	"313"	"57"	"4"	"1"	"1"	"4"	"2"	"2"	"429"	"-"	"429"	"-"
"119"	"100"	"11"	"32"	"84"	"98"	"6"	"7"	"12"	"10"	"16"	"14"	"290"	"-"	"290"	"-"
"120"	"101"	"8"	"31"	"170"	"59"	"4"	"5"	"9"	"9"	"9"	"15"	"319"	"-"	"319"	"-"
"121"	"102"	"5"	"19"	"248"	"41"	"1"	"3"	"5"	"9"	"6"	"5"	"342"	"-"	"342"	"-"
"122"	"103"	"12"	"23"	"185"	"199"	"7"	"3"	"11"	"20"	"14"	"5"	"479"	"-"	"479"	"-"
"123"	"104"	"16"	"9"	"229"	"131"	"3"	"3"	"3"	"10"	"4"	"2"	"410"	"-"	"410"	"-"
"124"	"105"	"16"	"45"	"170"	"132"	"9"	"8"	"16"	"19"	"7"	"25"	"447"	"-"	"447"	"-"
"125"	"106"	"16"	"19"	"272"	"221"	"7"	"2"	"14"	"22"	"9"	"21"	"603"	"-"	"603"	"-"
"126"	"107"	"19"	"47"	"277"	"222"	"13"	"4"	"17"	"13"	"24"	"12"	"648"	"-"	"648"	"-"
"127"	"108"	"14"	"51"	"99"	"167"	"6"	"9"	"6"	"8"	"11"	"6"	"377"	"-"	"377"	"-"
"128"	"109"	"12"	"39"	"271"	"79"	"8"	"12"	"7"	"16"	"6"	"14"	"464"	"-"	"464"	"-"
"129"	"110"	"13"	"16"	"277"	"113"	"6"	"6"	"19"	"25"	"25"	"26"	"526"	"-"	"526"	"-"
"130"	"111"	"14"	"10"	"207"	"150"	"14"	"10"	"23"	"21"	"20"	"34"	"503"	"-"	"503"	"-"
"131"	"112"	"29"	"29"	"241"	"292"	"16"	"17"	"27"	"25"	"17"	"42"	"735"	"-"	"735"	"-"
"132"	"113"	"7"	"26"	"306"	"65"	"6"	"2"	"2"	"6"	"12"	"11"	"443"	"-"	"443"	"-"
"133"	"114"	"25"	"237"	"74"	"50"	"19"	"23"	"12"	"20"	"13"	"7"	"480"	"-"	"480"	"-"
"134"	"115"	"9"	"41"	"116"	"373"	"3"	"7"	"9"	"4"	"16"	"12"	"590"	"-"	"590"	"-"
"135"	"116"	"7"	"106"	"114"	"170"	"11"	"11"	"12"	"11"	"12"	"14"	"468"	"-"	"468"	"-"
"136"	"117"	"19"	"119"	"125"	"35"	"4"	"10"	"6"	"7"	"14"	"20"	"359"	"-"	"359"	"-"
"137"	"118"	"2"	"47"	"43"	"553"	"3"	"1"	"5"	"2"	"2"	"2"	"660"	"-"	"660"	"-"
"138"	"119"	"19"	"29"	"254"	"104"	"15"	"3"	"5"	"9"	"9"	"5"	"452"	"-"	"452"	"-"
"139"	"120"	"10"	"64"	"161"	"19"	"2"	"1"	"1"	"3"	"4"	"5"	"270"	"-"	"270"	"-"
"140"	"120A"	"6"	"105"	"73"	"23"	"3"	"0"	"2"	"1"	"1"	"2"	"216"	"-"	"216"	"-"
"141"	"121"	"21"	"64"	"160"	"67"	"5"	"5"	"9"	"4"	"7"	"7"	"349"	"-"	"349"	"-"
"142"	"122"	"10"	"24"	"178"	"56"	"7"	"5"	"3"	"6"	"5"	"4"	"298"	"-"	"298"	"-"
"143"	"123"	"14"	"50"	"238"	"122"	"17"	"12"	"18"	"25"	"25"	"32"	"553"	"-"	"553"	"-"
"144"	"124"	"15"	"21"	"182"	"222"	"12"	"8"	"16"	"11"	"17"	"12"	"516"	"-"	"516"	"-"
"145"	"125"	"2"	"7"	"76"	"124"	"2"	"1"	"13"	"3"	"7"	"4"	"239"	"-"	"239"	"-"
"146"	"126"	"4"	"8"	"275"	"35"	"5"	"2"	"3"	"4"	"10"	"7"	"353"	"-"	"353"	"-"
"147"	"126A"	"8"	"17"	"207"	"69"	"7"	"4"	"12"	"7"	"10"	"10"	"351"	"-"	"351"	"-"
"148"	"127"	"9"	"8"	"112"	"141"	"5"	"2"	"9"	"10"	"8"	"2"	"306"	"-"	"306"	"-"
"149"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"150"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"151"	"128"	"21"	"5"	"228"	"104"	"5"	"4"	"4"	"12"	"12"	"18"	"413"	"-"	"413"	"-"
"152"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"153"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"154"	"129"	"7"	"25"	"238"	"138"	"4"	"5"	"3"	"5"	"10"	"10"	"445"	"-"	"445"	"-"
"155"	"130"	"12"	"10"	"111"	"286"	"3"	"4"	"12"	"5"	"16"	"11"	"470"	"-"	"470"	"-"
"156"	"131"	"1"	"7"	"46"	"231"	"6"	"1"	"8"	"3"	"8"	"11"	"322"	"-"	"322"	"-"
"157"	"132"	"8"	"35"	"119"	"93"	"2"	"6"	"5"	"4"	"5"	"6"	"283"	"-"	"283"	"-"
"158"	"133"	"3"	"12"	"156"	"63"	"3"	"3"	"1"	"8"	"9"	"12"	"270"	"-"	"270"	"-"
"159"	"134"	"4"	"9"	"231"	"83"	"0"	"1"	"13"	"6"	"1"	"7"	"355"	"-"	"355"	"-"
"160"	"135"	"15"	"34"	"185"	"123"	"2"	"4"	"14"	"8"	"11"	"15"	"411"	"-"	"411"	"-"
"161"	"136"	"3"	"18"	"109"	"122"	"4"	"4"	"8"	"6"	"7"	"4"	"285"	"-"	"285"	"-"
"162"	"137"	"5"	"32"	"190"	"99"	"3"	"8"	"13"	"13"	"11"	"8"	"382"	"-"	"382"	"-"
"163"	"138"	"5"	"39"	"250"	"158"	"2"	"2"	"5"	"2"	"9"	"6"	"478"	"-"	"478"	"-"
"164"	"139"	"9"	"22"	"187"	"208"	"8"	"2"	"14"	"19"	"12"	"9"	"500"	"-"	"500"	"-"
"165"	"140"	"11"	"5"	"240"	"140"	"7"	"4"	"14"	"16"	"6"	"11"	"454"	"-"	"454"	"-"
"166"	"141"	"4"	"5"	"260"	"144"	"1"	"2"	"5"	"3"	"4"	"1"	"429"	"-"	"429"	"-"
"167"	"142"	"12"	"26"	"293"	"240"	"8"	"3"	"7"	"4"	"13"	"1"	"607"	"-"	"607"	"-"
"168"	"143"	"8"	"4"	"269"	"97"	"9"	"6"	"12"	"18"	"28"	"6"	"457"	"-"	"457"	"-"
"169"	"143A"	"6"	"6"	"306"	"59"	"1"	"5"	"5"	"4"	"14"	"8"	"414"	"-"	"414"	"-"
"170"	"144"	"13"	"25"	"308"	"199"	"2"	"6"	"4"	"3"	"9"	"6"	"575"	"-"	"575"	"-"
"171"	"145"	"6"	"1"	"270"	"13"	"1"	"1"	"5"	"7"	"6"	"5"	"315"	"-"	"315"	"-"
"172"	"146"	"12"	"16"	"268"	"12"	"37"	"7"	"4"	"5"	"13"	"6"	"380"	"-"	"380"	"-"
"173"	"147"	"2"	"65"	"94"	"159"	"3"	"9"	"6"	"3"	"4"	"6"	"351"	"-"	"351"	"-"
"174"	"147A"	"5"	"9"	"172"	"147"	"2"	"0"	"7"	"2"	"4"	"3"	"351"	"-"	"351"	"-"
"175"	"148"	"7"	"15"	"66"	"480"	"5"	"5"	"10"	"5"	"4"	"4"	"601"	"-"	"601"	"-"
"176"	"149"	"14"	"30"	"236"	"229"	"3"	"5"	"18"	"21"	"20"	"33"	"609"	"-"	"609"	"-"
"177"	"150"	"4"	"18"	"270"	"57"	"20"	"2"	"8"	"4"	"16"	"19"	"418"	"-"	"418"	"-"
"178"	"151"	"14"	"17"	"217"	"181"	"8"	"5"	"14"	"8"	"8"	"2"	"474"	"-"	"474"	"-"
"179"	"152"	"3"	"15"	"219"	"43"	"5"	"8"	"4"	"7"	"12"	"6"	"322"	"-"	"322"	"-"
"180"	"153"	"12"	"8"	"125"	"102"	"2"	"1"	"13"	"4"	"3"	"0"	"270"	"-"	"270"	"-"
"181"	"154"	"16"	"13"	"309"	"86"	"8"	"8"	"10"	"11"	"16"	"10"	"487"	"-"	"487"	"-"
"182"	"155"	"2"	"5"	"127"	"449"	"3"	"1"	"2"	"5"	"3"	"5"	"602"	"-"	"602"	"-"
"183"	"156"	"13"	"52"	"250"	"115"	"4"	"16"	"13"	"15"	"19"	"33"	"530"	"-"	"530"	"-"
"184"	"157"	"4"	"14"	"208"	"121"	"7"	"2"	"12"	"4"	"11"	"4"	"387"	"-"	"387"	"-"
"185"	"158"	"16"	"14"	"135"	"89"	"3"	"9"	"9"	"7"	"11"	"4"	"297"	"-"	"297"	"-"
"186"	"158A"	"0"	"4"	"132"	"132"	"0"	"0"	"4"	"4"	"11"	"1"	"288"	"-"	"288"	"-"
"187"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"189"	"159"	"27"	"7"	"113"	"151"	"9"	"6"	"16"	"11"	"17"	"13"	"370"	"-"	"370"	"-"
"190"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"191"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"192"	"160"	"17"	"53"	"85"	"191"	"8"	"8"	"34"	"20"	"23"	"48"	"487"	"-"	"487"	"-"
"193"	"161"	"13"	"35"	"166"	"50"	"9"	"7"	"13"	"18"	"24"	"20"	"355"	"-"	"355"	"-"
"194"	"162"	"2"	"7"	"170"	"299"	"4"	"3"	"10"	"6"	"8"	"1"	"510"	"-"	"510"	"-"
"195"	"163"	"9"	"13"	"178"	"266"	"8"	"7"	"14"	"9"	"11"	"3"	"518"	"-"	"518"	"-"
