"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"13"	"4"	"3"	"135"	"1"	"22"	"162"	"12"	"3"	"3"	"3"	"2"	"2"	"345"	"0"	"345"	"0"
"14"	"5"	"3Ka"	"71"	"10"	"117"	"64"	"4"	"5"	"5"	"6"	"6"	"6"	"294"	"0"	"294"	"0"
"15"	"6"	"4"	"20"	"2"	"8"	"179"	"3"	"0"	"1"	"0"	"0"	"1"	"214"	"0"	"214"	"0"
"16"	"7"	"5"	"47"	"2"	"9"	"344"	"6"	"3"	"3"	"8"	"6"	"6"	"434"	"0"	"434"	"0"
"17"	"8"	"6"	"130"	"5"	"12"	"74"	"8"	"6"	"5"	"6"	"5"	"10"	"261"	"0"	"261"	"0"
"18"	"9"	"7"	"186"	"3"	"5"	"51"	"3"	"2"	"2"	"3"	"7"	"15"	"277"	"0"	"277"	"0"
"19"	"10"	"8"	"51"	"20"	"57"	"139"	"12"	"7"	"10"	"18"	"6"	"15"	"335"	"0"	"335"	"0"
"20"	"11"	"9"	"146"	"23"	"33"	"120"	"16"	"2"	"4"	"3"	"5"	"23"	"375"	"0"	"375"	"0"
"21"	"12"	"10"	"178"	"2"	"0"	"25"	"2"	"0"	"3"	"3"	"1"	"0"	"214"	"0"	"214"	"0"
"22"	"13"	"11"	"236"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"241"	"0"	"241"	"0"
"23"	"14"	"11Ka"	"421"	"1"	"3"	"26"	"3"	"2"	"0"	"0"	"0"	"0"	"456"	"0"	"456"	"0"
"24"	"Total"	""	"2038"	"100"	"354"	"1598"	"100"	"36"	"48"	"81"	"46"	"95"	"4496"	"0"	"4496"	"0"
"25"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"26"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"27"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"28"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"29"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"30"	"1"	"12"	"113"	"5"	"11"	"286"	"8"	"4"	"7"	"14"	"9"	"16"	"473"	"0"	"473"	"0"
"31"	"2"	"13"	"63"	"1"	"11"	"177"	"7"	"6"	"2"	"2"	"6"	"8"	"283"	"0"	"283"	"0"
"32"	"3"	"14"	"95"	"8"	"53"	"171"	"15"	"6"	"7"	"19"	"8"	"19"	"401"	"0"	"401"	"0"
"33"	"4"	"14Ka"	"22"	"2"	"3"	"119"	"6"	"0"	"0"	"4"	"0"	"5"	"161"	"0"	"161"	"0"
"34"	"5"	"15"	"181"	"12"	"57"	"137"	"11"	"8"	"6"	"12"	"3"	"6"	"433"	"0"	"433"	"0"
"35"	"6"	"16"	"21"	"3"	"2"	"96"	"7"	"3"	"3"	"5"	"1"	"6"	"147"	"0"	"147"	"0"
"36"	"7"	"17"	"125"	"4"	"27"	"135"	"7"	"7"	"5"	"3"	"6"	"8"	"327"	"0"	"327"	"0"
"37"	"8"	"18"	"141"	"6"	"16"	"176"	"16"	"7"	"1"	"5"	"4"	"3"	"375"	"0"	"375"	"0"
"38"	"9"	"19"	"52"	"3"	"32"	"189"	"14"	"4"	"5"	"10"	"8"	"14"	"331"	"0"	"331"	"0"
"39"	"10"	"19Ka"	"113"	"8"	"7"	"93"	"10"	"2"	"3"	"5"	"2"	"23"	"266"	"0"	"266"	"0"
"40"	"11"	"20"	"108"	"1"	"4"	"118"	"6"	"2"	"2"	"10"	"5"	"19"	"275"	"0"	"275"	"0"
"41"	"12"	"21"	"175"	"2"	"40"	"28"	"5"	"2"	"1"	"5"	"5"	"7"	"270"	"0"	"270"	"0"
"42"	"13"	"21Ka"	"22"	"0"	"26"	"19"	"3"	"0"	"2"	"1"	"5"	"10"	"88"	"0"	"88"	"0"
"43"	"14"	"22"	"235"	"7"	"58"	"104"	"7"	"3"	"5"	"6"	"0"	"4"	"429"	"0"	"429"	"0"
"44"	"Total"	""	"1466"	"62"	"347"	"1848"	"122"	"54"	"49"	"101"	"62"	"148"	"4259"	"0"	"4259"	"0"
"45"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"46"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"47"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"48"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"49"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"50"	"1"	"23"	"165"	"6"	"18"	"54"	"13"	"3"	"3"	"8"	"1"	"5"	"276"	"0"	"276"	"0"
"51"	"2"	"24"	"137"	"11"	"30"	"104"	"20"	"10"	"3"	"6"	"3"	"8"	"332"	"0"	"332"	"0"
"52"	"3"	"25"	"24"	"9"	"16"	"149"	"8"	"5"	"4"	"10"	"4"	"4"	"233"	"0"	"233"	"0"
"53"	"4"	"26"	"107"	"11"	"39"	"216"	"8"	"1"	"5"	"5"	"7"	"23"	"422"	"0"	"422"	"0"
"54"	"5"	"27"	"168"	"19"	"25"	"140"	"16"	"8"	"10"	"11"	"11"	"23"	"431"	"0"	"431"	"0"
"55"	"6"	"28"	"196"	"2"	"4"	"151"	"7"	"2"	"3"	"3"	"1"	"6"	"375"	"0"	"375"	"0"
"56"	"7"	"29"	"81"	"2"	"103"	"180"	"9"	"3"	"6"	"8"	"3"	"6"	"401"	"0"	"401"	"0"
"57"	"8"	"30"	"240"	"0"	"21"	"65"	"1"	"3"	"0"	"0"	"0"	"1"	"331"	"0"	"331"	"0"
"58"	"9"	"31"	"86"	"5"	"104"	"228"	"11"	"9"	"9"	"17"	"6"	"5"	"480"	"0"	"480"	"0"
"59"	"10"	"32"	"104"	"14"	"18"	"238"	"41"	"18"	"5"	"15"	"12"	"34"	"499"	"0"	"499"	"0"
"60"	"11"	"33"	"121"	"75"	"53"	"52"	"4"	"2"	"5"	"7"	"2"	"3"	"324"	"0"	"324"	"0"
"61"	"12"	"34"	"597"	"3"	"3"	"4"	"6"	"1"	"1"	"1"	"1"	"1"	"618"	"0"	"618"	"0"
"62"	"13"	"35"	"38"	"11"	"27"	"165"	"12"	"9"	"5"	"4"	"9"	"19"	"299"	"0"	"299"	"0"
"63"	"14"	"36"	"263"	"13"	"15"	"15"	"8"	"6"	"1"	"1"	"4"	"13"	"339"	"0"	"339"	"0"
"64"	"Total"	""	"2327"	"181"	"476"	"1761"	"164"	"80"	"60"	"96"	"64"	"151"	"5360"	"0"	"5360"	"0"
"65"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"66"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"67"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"68"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"69"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"70"	"1"	"37"	"124"	"8"	"49"	"29"	"4"	"0"	"8"	"4"	"3"	"10"	"239"	"0"	"239"	"0"
"71"	"2"	"38"	"51"	"0"	"45"	"66"	"4"	"1"	"1"	"0"	"4"	"5"	"177"	"0"	"177"	"0"
"72"	"3"	"39"	"130"	"4"	"68"	"27"	"8"	"3"	"6"	"6"	"6"	"5"	"263"	"0"	"263"	"0"
"73"	"4"	"40"	"203"	"21"	"116"	"63"	"14"	"7"	"10"	"5"	"9"	"9"	"457"	"0"	"457"	"0"
"74"	"5"	"41"	"141"	"8"	"149"	"75"	"8"	"3"	"2"	"4"	"7"	"16"	"413"	"0"	"413"	"0"
"75"	"6"	"42"	"166"	"38"	"105"	"84"	"14"	"9"	"8"	"7"	"11"	"13"	"455"	"0"	"455"	"0"
"76"	"7"	"42Ka"	"94"	"2"	"29"	"54"	"7"	"0"	"4"	"2"	"1"	"7"	"200"	"0"	"200"	"0"
"77"	"8"	"43"	"149"	"5"	"21"	"140"	"11"	"2"	"3"	"5"	"1"	"7"	"344"	"0"	"344"	"0"
"78"	"9"	"44"	"118"	"6"	"101"	"86"	"11"	"3"	"6"	"1"	"11"	"10"	"353"	"0"	"353"	"0"
"79"	"10"	"45"	"49"	"4"	"42"	"272"	"3"	"1"	"2"	"5"	"1"	"0"	"379"	"0"	"379"	"0"
"80"	"11"	"46"	"28"	"4"	"28"	"366"	"7"	"2"	"2"	"12"	"4"	"4"	"457"	"0"	"457"	"0"
"81"	"12"	"47"	"64"	"11"	"25"	"87"	"2"	"0"	"1"	"6"	"2"	"5"	"203"	"0"	"203"	"0"
"82"	"13"	"48"	"39"	"5"	"109"	"112"	"8"	"1"	"5"	"8"	"7"	"4"	"298"	"0"	"298"	"0"
"83"	"14"	"49"	"109"	"9"	"86"	"110"	"8"	"2"	"5"	"4"	"4"	"7"	"344"	"0"	"344"	"0"
"84"	"Total"	""	"1465"	"125"	"973"	"1571"	"109"	"34"	"63"	"69"	"71"	"102"	"4582"	"0"	"4582"	"0"
"85"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"86"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"87"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"88"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"90"	"1"	"49Ka"	"6"	"0"	"5"	"246"	"14"	"2"	"6"	"6"	"1"	"9"	"295"	"0"	"295"	"0"
"91"	"2"	"50"	"83"	"2"	"73"	"152"	"8"	"1"	"1"	"5"	"8"	"15"	"348"	"0"	"348"	"0"
"92"	"3"	"51"	"55"	"1"	"2"	"128"	"7"	"2"	"1"	"0"	"1"	"2"	"199"	"0"	"199"	"0"
"93"	"4"	"52"	"286"	"15"	"37"	"129"	"18"	"9"	"8"	"14"	"12"	"20"	"548"	"0"	"548"	"0"
"94"	"5"	"53"	"114"	"6"	"125"	"85"	"13"	"9"	"10"	"13"	"14"	"26"	"415"	"0"	"415"	"0"
"95"	"6"	"54"	"119"	"3"	"20"	"84"	"9"	"2"	"3"	"5"	"4"	"2"	"251"	"0"	"251"	"0"
"96"	"7"	"54Ka"	"135"	"2"	"15"	"42"	"2"	"2"	"1"	"4"	"2"	"10"	"215"	"0"	"215"	"0"
"97"	"8"	"55"	"50"	"9"	"123"	"188"	"2"	"4"	"5"	"4"	"6"	"10"	"401"	"0"	"401"	"0"
"98"	"9"	"56"	"76"	"24"	"90"	"28"	"2"	"2"	"1"	"3"	"1"	"2"	"229"	"0"	"229"	"0"
"99"	"10"	"57"	"10"	"52"	"103"	"182"	"6"	"1"	"5"	"2"	"7"	"15"	"383"	"0"	"383"	"0"
"100"	"11"	"58"	"112"	"14"	"53"	"94"	"14"	"10"	"15"	"6"	"7"	"18"	"343"	"0"	"343"	"0"
"101"	"12"	"59"	"41"	"11"	"39"	"184"	"7"	"6"	"7"	"11"	"6"	"9"	"321"	"0"	"321"	"0"
"102"	"13"	"60"	"147"	"16"	"33"	"51"	"6"	"1"	"2"	"3"	"4"	"11"	"274"	"0"	"274"	"0"
"103"	"14"	"61"	"226"	"1"	"10"	"48"	"10"	"1"	"1"	"1"	"1"	"3"	"302"	"0"	"302"	"0"
"104"	"Total"	""	"1460"	"156"	"728"	"1641"	"118"	"52"	"66"	"77"	"74"	"152"	"4524"	"0"	"4524"	"0"
"105"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"106"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"107"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"108"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"110"	"1"	"62"	"41"	"14"	"20"	"196"	"9"	"1"	"2"	"0"	"2"	"5"	"290"	"0"	"290"	"0"
"111"	"2"	"63"	"11"	"10"	"19"	"178"	"14"	"7"	"4"	"8"	"5"	"14"	"270"	"0"	"270"	"0"
"112"	"3"	"64"	"64"	"41"	"10"	"244"	"16"	"2"	"7"	"9"	"11"	"28"	"432"	"0"	"432"	"0"
"113"	"4"	"65"	"86"	"8"	"22"	"99"	"14"	"6"	"6"	"8"	"9"	"26"	"284"	"0"	"284"	"0"
"114"	"5"	"66"	"140"	"2"	"3"	"22"	"3"	"1"	"2"	"2"	"0"	"1"	"176"	"0"	"176"	"0"
"115"	"6"	"67"	"266"	"28"	"16"	"32"	"6"	"0"	"3"	"2"	"1"	"5"	"359"	"0"	"359"	"0"
"116"	"7"	"68"	"73"	"6"	"34"	"208"	"7"	"3"	"6"	"13"	"5"	"7"	"362"	"0"	"362"	"0"
"117"	"8"	"69"	"77"	"5"	"110"	"74"	"12"	"3"	"6"	"5"	"2"	"9"	"303"	"0"	"303"	"0"
"118"	"9"	"70"	"31"	"3"	"29"	"193"	"14"	"3"	"6"	"6"	"3"	"15"	"303"	"0"	"303"	"0"
"119"	"10"	"71"	"112"	"11"	"96"	"107"	"12"	"6"	"6"	"7"	"5"	"5"	"367"	"0"	"367"	"0"
"120"	"11"	"72"	"199"	"11"	"54"	"103"	"15"	"4"	"11"	"13"	"6"	"19"	"435"	"0"	"435"	"0"
"121"	"12"	"73"	"88"	"3"	"33"	"200"	"4"	"0"	"2"	"2"	"0"	"0"	"332"	"0"	"332"	"0"
"122"	"13"	"74"	"154"	"2"	"12"	"82"	"35"	"5"	"1"	"8"	"3"	"1"	"303"	"0"	"303"	"0"
"123"	"14"	"75"	"161"	"3"	"7"	"192"	"4"	"0"	"0"	"5"	"2"	"1"	"375"	"0"	"375"	"0"
"124"	"Total"	""	"1503"	"147"	"465"	"1930"	"165"	"41"	"62"	"88"	"54"	"136"	"4591"	"0"	"4591"	"0"
"125"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"126"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"127"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"128"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"129"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"130"	"1"	"76"	"23"	"2"	"31"	"158"	"6"	"1"	"1"	"6"	"4"	"4"	"236"	"0"	"236"	"0"
"131"	"2"	"77"	"159"	"85"	"42"	"124"	"13"	"4"	"3"	"7"	"7"	"10"	"454"	"0"	"454"	"0"
"132"	"3"	"78"	"179"	"2"	"134"	"74"	"5"	"2"	"2"	"2"	"2"	"4"	"406"	"0"	"406"	"0"
"133"	"4"	"79"	"177"	"10"	"12"	"199"	"14"	"8"	"10"	"16"	"2"	"16"	"464"	"0"	"464"	"0"
"134"	"5"	"80"	"65"	"10"	"37"	"137"	"11"	"4"	"4"	"5"	"5"	"4"	"282"	"0"	"282"	"0"
"135"	"6"	"81"	"22"	"11"	"19"	"325"	"6"	"1"	"6"	"5"	"3"	"11"	"409"	"0"	"409"	"0"
"136"	"7"	"82"	"121"	"15"	"24"	"127"	"9"	"2"	"1"	"11"	"2"	"10"	"322"	"0"	"322"	"0"
"137"	"8"	"83"	"333"	"1"	"0"	"29"	"4"	"2"	"2"	"1"	"1"	"3"	"376"	"0"	"376"	"0"
"138"	"9"	"84"	"29"	"14"	"39"	"250"	"16"	"3"	"6"	"14"	"2"	"8"	"381"	"0"	"381"	"0"
"139"	"10"	"85"	"10"	"2"	"17"	"250"	"3"	"0"	"3"	"3"	"1"	"1"	"290"	"0"	"290"	"0"
"140"	"11"	"86"	"9"	"0"	"2"	"172"	"1"	"3"	"0"	"0"	"0"	"1"	"188"	"0"	"188"	"0"
"141"	"12"	"87"	"81"	"2"	"3"	"3"	"5"	"0"	"0"	"1"	"2"	"5"	"102"	"0"	"102"	"0"
"142"	"13"	"88"	"417"	"3"	"10"	"88"	"6"	"1"	"3"	"4"	"1"	"1"	"534"	"0"	"534"	"0"
"143"	"14"	"89"	"217"	"4"	"49"	"101"	"22"	"4"	"10"	"9"	"18"	"31"	"465"	"0"	"465"	"0"
"144"	"Total"	""	"1842"	"161"	"419"	"2037"	"121"	"35"	"51"	"84"	"50"	"109"	"4909"	"0"	"4909"	"0"
"145"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"146"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"147"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"148"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"150"	"1"	"90"	"480"	"11"	"5"	"4"	"6"	"0"	"2"	"0"	"1"	"6"	"515"	"0"	"515"	"0"
"151"	"2"	"91"	"180"	"2"	"5"	"44"	"5"	"0"	"1"	"1"	"2"	"2"	"242"	"0"	"242"	"0"
"152"	"3"	"92"	"119"	"5"	"2"	"157"	"4"	"3"	"1"	"4"	"8"	"12"	"315"	"0"	"315"	"0"
"153"	"4"	"93"	"43"	"4"	"95"	"278"	"11"	"5"	"13"	"24"	"5"	"17"	"495"	"0"	"495"	"0"
"154"	"5"	"94"	"7"	"1"	"89"	"92"	"2"	"1"	"3"	"2"	"5"	"0"	"202"	"0"	"202"	"0"
"155"	"6"	"95"	"157"	"8"	"20"	"43"	"3"	"0"	"0"	"1"	"3"	"1"	"236"	"0"	"236"	"0"
"156"	"7"	"96"	"96"	"16"	"61"	"99"	"5"	"3"	"6"	"4"	"6"	"4"	"300"	"0"	"300"	"0"
"157"	"8"	"97"	"64"	"11"	"39"	"156"	"12"	"8"	"7"	"7"	"8"	"3"	"315"	"0"	"315"	"0"
"158"	"9"	"98"	"159"	"6"	"47"	"81"	"6"	"1"	"6"	"11"	"3"	"4"	"324"	"0"	"324"	"0"
"159"	"10"	"99"	"69"	"31"	"70"	"110"	"17"	"4"	"11"	"15"	"9"	"34"	"370"	"0"	"370"	"0"
"160"	"11"	"100"	"154"	"10"	"24"	"204"	"15"	"5"	"5"	"7"	"5"	"8"	"437"	"0"	"437"	"0"
"161"	"12"	"101"	"46"	"9"	"85"	"151"	"14"	"6"	"13"	"16"	"9"	"19"	"368"	"0"	"368"	"0"
"162"	"13"	"102"	"4"	"1"	"49"	"355"	"10"	"4"	"10"	"8"	"7"	"18"	"466"	"0"	"466"	"0"
"163"	"14"	"103"	"3"	"1"	"2"	"219"	"7"	"3"	"0"	"5"	"2"	"2"	"244"	"0"	"244"	"0"
"164"	"Total"	""	"1581"	"116"	"593"	"1993"	"117"	"43"	"78"	"105"	"73"	"130"	"4829"	"0"	"4829"	"0"
"165"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"166"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"167"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"168"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"170"	"1"	"104"	"112"	"29"	"62"	"118"	"9"	"7"	"6"	"11"	"5"	"10"	"369"	"0"	"369"	"0"
"171"	"2"	"105"	"119"	"16"	"89"	"83"	"12"	"4"	"6"	"13"	"7"	"11"	"360"	"0"	"360"	"0"
"172"	"3"	"106"	"271"	"24"	"113"	"82"	"10"	"2"	"4"	"8"	"9"	"15"	"538"	"0"	"538"	"0"
"173"	"4"	"107"	"103"	"7"	"40"	"46"	"3"	"2"	"7"	"5"	"4"	"10"	"227"	"0"	"227"	"0"
"174"	"5"	"108"	"166"	"0"	"23"	"45"	"2"	"0"	"1"	"1"	"1"	"0"	"239"	"0"	"239"	"0"
"175"	"6"	"109"	"35"	"5"	"72"	"75"	"6"	"4"	"9"	"6"	"4"	"5"	"223"	"0"	"223"	"0"
"176"	"7"	"110"	"249"	"2"	"7"	"10"	"1"	"2"	"1"	"0"	"2"	"4"	"278"	"0"	"278"	"0"
"177"	"8"	"111"	"50"	"42"	"77"	"224"	"16"	"8"	"7"	"9"	"10"	"17"	"460"	"0"	"460"	"0"
"178"	"9"	"112"	"249"	"3"	"6"	"114"	"7"	"3"	"3"	"2"	"1"	"15"	"403"	"0"	"403"	"0"
"179"	"10"	"113"	"216"	"1"	"49"	"128"	"11"	"1"	"0"	"9"	"1"	"0"	"416"	"0"	"416"	"0"
"180"	"11"	"114"	"134"	"8"	"135"	"95"	"7"	"4"	"12"	"19"	"9"	"16"	"439"	"0"	"439"	"0"
"181"	"12"	"114Ka"	"82"	"7"	"70"	"102"	"6"	"1"	"3"	"1"	"3"	"1"	"276"	"0"	"276"	"0"
"182"	"13"	"115"	"172"	"10"	"5"	"260"	"9"	"4"	"6"	"6"	"1"	"5"	"478"	"0"	"478"	"0"
"183"	"14"	"116"	"141"	"31"	"82"	"85"	"16"	"2"	"3"	"8"	"5"	"8"	"381"	"0"	"381"	"0"
"184"	"Total"	""	"2101"	"185"	"830"	"1467"	"115"	"44"	"68"	"98"	"62"	"117"	"5087"	"0"	"5087"	"0"
"185"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"186"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"187"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"188"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"189"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
