"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"20"	"16"	"18"	"180"	"7"	"23"	"4"	"6"	"4"	"242"	"-"	"242"	"-"
"21"	"16A"	"38"	"139"	"7"	"31"	"3"	"2"	"3"	"223"	"-"	"223"	"-"
"22"	"17"	"40"	"267"	"8"	"175"	"4"	"11"	"4"	"509"	"-"	"509"	"-"
"23"	"18"	"57"	"111"	"4"	"34"	"5"	"1"	"6"	"218"	"-"	"218"	"-"
"24"	"19"	"43"	"96"	"5"	"207"	"8"	"5"	"9"	"373"	"-"	"373"	"-"
"25"	"19A"	"46"	"130"	"6"	"35"	"2"	"3"	"5"	"227"	"-"	"227"	"-"
"26"	"20"	"102"	"138"	"16"	"136"	"17"	"23"	"21"	"453"	"-"	"453"	"-"
"27"	"21"	"7"	"44"	"2"	"98"	"2"	"3"	"4"	"160"	"-"	"160"	"-"
"28"	"22"	"11"	"75"	"6"	"253"	"3"	"7"	"5"	"360"	"-"	"360"	"-"
"29"	"23"	"23"	"288"	"16"	"136"	"7"	"23"	"7"	"500"	"-"	"500"	"-"
"30"	"24"	"62"	"356"	"7"	"31"	"4"	"8"	"10"	"478"	"-"	"478"	"-"
"31"	"25"	"60"	"281"	"14"	"109"	"10"	"12"	"14"	"500"	"-"	"500"	"-"
"32"	"26"	"49"	"240"	"10"	"236"	"12"	"9"	"6"	"562"	"-"	"562"	"-"
"33"	"27"	"12"	"143"	"1"	"19"	"1"	"3"	"0"	"179"	"-"	"179"	"-"
"34"	"28"	"50"	"117"	"13"	"311"	"13"	"9"	"13"	"526"	"-"	"526"	"-"
"35"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"36"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"37"	"29"	"16"	"44"	"6"	"308"	"17"	"5"	"10"	"406"	"-"	"406"	"-"
"38"	"30"	"17"	"174"	"13"	"233"	"14"	"6"	"17"	"474"	"-"	"474"	"-"
"39"	"31"	"41"	"227"	"7"	"155"	"5"	"11"	"6"	"452"	"-"	"452"	"-"
"40"	"32"	"9"	"17"	"9"	"281"	"17"	"3"	"4"	"340"	"-"	"340"	"-"
"41"	"33"	"25"	"240"	"5"	"117"	"8"	"19"	"9"	"423"	"-"	"423"	"-"
"42"	"33A"	"12"	"34"	"4"	"263"	"4"	"3"	"4"	"324"	"-"	"324"	"-"
"43"	"34"	"32"	"217"	"11"	"167"	"8"	"24"	"26"	"485"	"-"	"485"	"-"
"44"	"35"	"8"	"90"	"7"	"197"	"8"	"9"	"6"	"325"	"-"	"325"	"-"
"45"	"35A"	"55"	"32"	"12"	"155"	"5"	"2"	"5"	"266"	"-"	"266"	"-"
"46"	"36"	"67"	"228"	"3"	"35"	"3"	"6"	"6"	"348"	"-"	"348"	"-"
"47"	"36A"	"41"	"233"	"24"	"51"	"7"	"10"	"6"	"372"	"-"	"372"	"-"
"48"	"37"	"35"	"214"	"11"	"132"	"14"	"15"	"7"	"428"	"-"	"428"	"-"
"49"	"37A"	"34"	"167"	"4"	"107"	"10"	"7"	"4"	"333"	"-"	"333"	"-"
"50"	"38"	"67"	"291"	"23"	"46"	"8"	"17"	"23"	"475"	"-"	"475"	"-"
"51"	"39"	"71"	"82"	"13"	"280"	"16"	"13"	"19"	"494"	"-"	"494"	"-"
"52"	"40"	"48"	"200"	"7"	"129"	"9"	"25"	"19"	"437"	"-"	"437"	"-"
"53"	"41"	"188"	"146"	"18"	"173"	"18"	"21"	"15"	"579"	"-"	"579"	"-"
"54"	"42"	"339"	"104"	"19"	"40"	"9"	"12"	"7"	"530"	"-"	"530"	"-"
"55"	"43"	"284"	"69"	"6"	"113"	"9"	"11"	"24"	"516"	"-"	"516"	"-"
"56"	"44"	"207"	"102"	"14"	"137"	"12"	"7"	"15"	"494"	"-"	"494"	"-"
"57"	"45"	"136"	"237"	"11"	"168"	"11"	"12"	"11"	"586"	"-"	"586"	"-"
"58"	"46"	"60"	"230"	"10"	"145"	"13"	"24"	"33"	"515"	"-"	"515"	"-"
"59"	"47"	"68"	"222"	"18"	"98"	"7"	"21"	"25"	"459"	"-"	"459"	"-"
"60"	"48"	"80"	"210"	"11"	"88"	"6"	"11"	"4"	"410"	"-"	"410"	"-"
"61"	"49"	"34"	"107"	"11"	"151"	"15"	"9"	"7"	"334"	"-"	"334"	"-"
"62"	"50"	"105"	"186"	"8"	"87"	"13"	"15"	"8"	"422"	"-"	"422"	"-"
"63"	"50A"	"76"	"130"	"10"	"76"	"14"	"10"	"14"	"330"	"-"	"330"	"-"
"64"	"51"	"80"	"25"	"3"	"117"	"12"	"5"	"3"	"245"	"-"	"245"	"-"
"65"	"52"	"41"	"238"	"15"	"178"	"15"	"19"	"27"	"533"	"-"	"533"	"-"
"66"	"53"	"58"	"465"	"13"	"49"	"18"	"35"	"26"	"664"	"-"	"664"	"-"
"67"	"54"	"25"	"211"	"7"	"31"	"15"	"25"	"16"	"330"	"-"	"330"	"-"
"68"	"55"	"51"	"310"	"10"	"62"	"6"	"11"	"12"	"462"	"-"	"462"	"-"
"69"	"56"	"235"	"177"	"9"	"49"	"13"	"14"	"7"	"504"	"-"	"504"	"-"
"70"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"71"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"72"	"57"	"227"	"246"	"15"	"70"	"7"	"22"	"22"	"609"	"-"	"609"	"-"
"73"	"58"	"17"	"152"	"2"	"186"	"8"	"5"	"6"	"376"	"-"	"376"	"-"
"74"	"59"	"34"	"297"	"18"	"187"	"14"	"28"	"22"	"600"	"-"	"600"	"-"
"75"	"60"	"28"	"113"	"5"	"164"	"14"	"8"	"8"	"340"	"-"	"340"	"-"
"76"	"61"	"22"	"566"	"8"	"24"	"6"	"10"	"9"	"645"	"-"	"645"	"-"
"77"	"62"	"16"	"430"	"3"	"15"	"7"	"8"	"11"	"490"	"-"	"490"	"-"
"78"	"63"	"7"	"598"	"6"	"38"	"3"	"5"	"3"	"660"	"-"	"660"	"-"
"79"	"64"	"29"	"474"	"9"	"13"	"6"	"16"	"7"	"554"	"-"	"554"	"-"
"80"	"65"	"22"	"370"	"1"	"17"	"3"	"6"	"5"	"424"	"-"	"424"	"-"
"81"	"66"	"19"	"457"	"7"	"116"	"5"	"17"	"24"	"645"	"-"	"645"	"-"
"82"	"67"	"34"	"413"	"13"	"169"	"12"	"20"	"29"	"690"	"-"	"690"	"-"
"83"	"68"	"58"	"338"	"17"	"39"	"7"	"21"	"9"	"489"	"-"	"489"	"-"
"84"	"68A"	"34"	"253"	"4"	"40"	"8"	"16"	"12"	"367"	"-"	"367"	"-"
"85"	"69"	"18"	"346"	"9"	"66"	"6"	"20"	"12"	"477"	"-"	"477"	"-"
"86"	"70"	"199"	"191"	"19"	"39"	"6"	"13"	"7"	"474"	"-"	"474"	"-"
"87"	"71"	"45"	"180"	"6"	"90"	"8"	"5"	"4"	"338"	"-"	"338"	"-"
"88"	"72"	"92"	"386"	"12"	"124"	"14"	"14"	"12"	"654"	"-"	"654"	"-"
"89"	"73"	"62"	"242"	"14"	"143"	"10"	"23"	"26"	"520"	"-"	"520"	"-"
"90"	"74"	"27"	"531"	"1"	"32"	"1"	"8"	"1"	"601"	"-"	"601"	"-"
"91"	"75"	"15"	"537"	"6"	"51"	"6"	"4"	"5"	"624"	"-"	"624"	"-"
"92"	"76"	"12"	"364"	"2"	"18"	"6"	"15"	"7"	"424"	"-"	"424"	"-"
"93"	"77"	"48"	"322"	"12"	"119"	"7"	"17"	"20"	"545"	"-"	"545"	"-"
"94"	"78"	"26"	"388"	"5"	"50"	"3"	"6"	"5"	"483"	"-"	"483"	"-"
"95"	"79"	"26"	"132"	"16"	"232"	"12"	"11"	"16"	"445"	"-"	"445"	"-"
"96"	"80"	"51"	"285"	"10"	"54"	"12"	"34"	"58"	"504"	"-"	"504"	"-"
"97"	"81"	"72"	"293"	"13"	"57"	"3"	"13"	"15"	"466"	"-"	"466"	"-"
"98"	"82"	"62"	"345"	"4"	"91"	"7"	"8"	"8"	"525"	"-"	"525"	"-"
"99"	"83"	"33"	"166"	"4"	"267"	"4"	"13"	"11"	"498"	"-"	"498"	"-"
"100"	"84"	"135"	"241"	"13"	"167"	"17"	"21"	"31"	"625"	"-"	"625"	"-"
"101"	"85"	"120"	"365"	"27"	"165"	"14"	"22"	"9"	"722"	"-"	"722"	"-"
"102"	"86"	"129"	"195"	"7"	"79"	"11"	"9"	"12"	"442"	"-"	"442"	"-"
"103"	"87"	"276"	"19"	"8"	"50"	"3"	"2"	"5"	"363"	"-"	"363"	"-"
"104"	"88"	"138"	"184"	"7"	"70"	"8"	"9"	"8"	"424"	"-"	"424"	"-"
"105"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"106"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"107"	"88A"	"47"	"181"	"8"	"31"	"7"	"9"	"6"	"289"	"-"	"289"	"-"
"108"	"89"	"142"	"198"	"11"	"29"	"12"	"10"	"16"	"418"	"-"	"418"	"-"
"109"	"90"	"179"	"135"	"10"	"75"	"15"	"20"	"20"	"454"	"-"	"454"	"-"
"110"	"91"	"133"	"141"	"12"	"57"	"3"	"11"	"17"	"374"	"-"	"374"	"-"
"111"	"92"	"113"	"300"	"17"	"56"	"22"	"23"	"32"	"563"	"-"	"563"	"-"
"112"	"93"	"235"	"237"	"14"	"72"	"15"	"13"	"15"	"601"	"-"	"601"	"-"
"113"	"94"	"212"	"171"	"13"	"187"	"9"	"12"	"20"	"624"	"-"	"624"	"-"
"114"	"95"	"79"	"394"	"12"	"300"	"11"	"19"	"8"	"823"	"-"	"823"	"-"
"115"	"96"	"76"	"106"	"14"	"221"	"9"	"9"	"12"	"447"	"-"	"447"	"-"
"116"	"97"	"309"	"265"	"16"	"144"	"10"	"16"	"16"	"776"	"-"	"776"	"-"
"117"	"98"	"317"	"82"	"11"	"227"	"12"	"9"	"17"	"675"	"-"	"675"	"-"
"118"	"99"	"258"	"17"	"7"	"58"	"4"	"1"	"5"	"350"	"-"	"350"	"-"
"119"	"100"	"227"	"184"	"10"	"56"	"13"	"16"	"9"	"515"	"-"	"515"	"-"
"120"	"101"	"124"	"232"	"12"	"60"	"14"	"20"	"6"	"468"	"-"	"468"	"-"
"121"	"102"	"313"	"103"	"19"	"29"	"3"	"8"	"6"	"481"	"-"	"481"	"-"
"122"	"103"	"60"	"318"	"14"	"188"	"13"	"22"	"20"	"635"	"-"	"635"	"-"
"123"	"104"	"76"	"293"	"11"	"45"	"13"	"22"	"19"	"479"	"-"	"479"	"-"
"124"	"105"	"92"	"247"	"14"	"29"	"10"	"23"	"40"	"455"	"-"	"455"	"-"
"125"	"106"	"121"	"243"	"15"	"72"	"7"	"17"	"17"	"492"	"-"	"492"	"-"
"126"	"107"	"34"	"383"	"8"	"15"	"3"	"12"	"8"	"463"	"-"	"463"	"-"
"127"	"108"	"81"	"87"	"3"	"266"	"3"	"3"	"0"	"443"	"-"	"443"	"-"
"128"	"109"	"254"	"147"	"6"	"42"	"2"	"4"	"0"	"455"	"-"	"455"	"-"
"129"	"110"	"21"	"92"	"9"	"207"	"22"	"16"	"23"	"390"	"-"	"390"	"-"
"130"	"111"	"22"	"267"	"8"	"34"	"10"	"9"	"19"	"369"	"-"	"369"	"-"
"131"	"112"	"16"	"318"	"7"	"22"	"2"	"20"	"7"	"392"	"-"	"392"	"-"
"132"	"112A"	"39"	"196"	"10"	"51"	"8"	"15"	"25"	"344"	"-"	"344"	"-"
"133"	"113"	"30"	"272"	"4"	"44"	"3"	"17"	"16"	"386"	"-"	"386"	"-"
"134"	"113A"	"7"	"173"	"3"	"30"	"9"	"6"	"16"	"244"	"-"	"244"	"-"
"135"	"114"	"51"	"165"	"14"	"86"	"12"	"25"	"22"	"375"	"-"	"375"	"-"
"136"	"115"	"4"	"265"	"2"	"2"	"0"	"2"	"1"	"276"	"-"	"276"	"-"
"137"	"116"	"152"	"213"	"11"	"127"	"5"	"10"	"4"	"522"	"-"	"522"	"-"
"138"	"117"	"5"	"144"	"3"	"25"	"4"	"9"	"4"	"194"	"-"	"194"	"-"
"139"	"118"	"16"	"428"	"8"	"109"	"8"	"9"	"6"	"584"	"-"	"584"	"-"
"140"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"142"	"119"	"5"	"59"	"2"	"279"	"28"	"8"	"33"	"414"	"-"	"414"	"-"
"143"	"120"	"9"	"124"	"6"	"229"	"15"	"5"	"13"	"401"	"-"	"401"	"-"
"144"	"121"	"2"	"314"	"2"	"47"	"2"	"4"	"1"	"372"	"-"	"372"	"-"
"145"	"122"	"49"	"417"	"10"	"39"	"10"	"20"	"9"	"554"	"-"	"554"	"-"
"146"	"123"	"11"	"181"	"9"	"15"	"3"	"19"	"7"	"245"	"-"	"245"	"-"
"147"	"124"	"80"	"200"	"7"	"102"	"11"	"14"	"21"	"435"	"-"	"435"	"-"
"148"	"125"	"232"	"326"	"7"	"65"	"9"	"10"	"6"	"655"	"-"	"655"	"-"
"149"	"126"	"46"	"348"	"13"	"70"	"12"	"15"	"8"	"512"	"-"	"512"	"-"
"150"	"127"	"172"	"7"	"0"	"19"	"1"	"0"	"1"	"200"	"-"	"200"	"-"
"151"	"128"	"19"	"239"	"11"	"287"	"7"	"5"	"3"	"571"	"-"	"571"	"-"
"152"	"129"	"8"	"204"	"7"	"97"	"2"	"5"	"4"	"327"	"-"	"327"	"-"
"153"	"130"	"104"	"116"	"6"	"179"	"6"	"7"	"11"	"429"	"-"	"429"	"-"
"154"	"131"	"16"	"118"	"13"	"359"	"14"	"10"	"9"	"539"	"-"	"539"	"-"
"155"	"132"	"124"	"36"	"18"	"242"	"14"	"7"	"16"	"457"	"-"	"457"	"-"
"156"	"133"	"8"	"77"	"8"	"87"	"8"	"9"	"10"	"207"	"-"	"207"	"-"
"157"	"134"	"17"	"211"	"6"	"28"	"3"	"11"	"8"	"284"	"-"	"284"	"-"
"158"	"135"	"97"	"46"	"10"	"144"	"16"	"11"	"14"	"338"	"-"	"338"	"-"
"159"	"135A"	"79"	"63"	"7"	"153"	"3"	"6"	"11"	"322"	"-"	"322"	"-"
"160"	"136"	"25"	"55"	"8"	"218"	"6"	"2"	"7"	"321"	"-"	"321"	"-"
"161"	"137"	"18"	"18"	"8"	"123"	"9"	"6"	"0"	"182"	"-"	"182"	"-"
"162"	"138"	"60"	"318"	"22"	"136"	"28"	"31"	"32"	"627"	"-"	"627"	"-"
"163"	"139"	"123"	"228"	"9"	"63"	"11"	"10"	"10"	"454"	"-"	"454"	"-"
"164"	"140"	"235"	"53"	"8"	"24"	"4"	"7"	"17"	"348"	"-"	"348"	"-"
"165"	"141"	"229"	"19"	"10"	"15"	"1"	"2"	"6"	"282"	"-"	"282"	"-"
"166"	"142"	"78"	"111"	"12"	"236"	"7"	"14"	"16"	"474"	"-"	"474"	"-"
"167"	"143"	"4"	"65"	"2"	"250"	"10"	"2"	"8"	"341"	"-"	"341"	"-"
"168"	"143A"	"32"	"92"	"6"	"169"	"11"	"12"	"6"	"328"	"-"	"328"	"-"
"169"	"144"	"14"	"26"	"6"	"243"	"13"	"7"	"13"	"322"	"-"	"322"	"-"
"170"	"145"	"9"	"15"	"6"	"445"	"16"	"5"	"8"	"504"	"-"	"504"	"-"
"171"	"146"	"19"	"27"	"3"	"444"	"18"	"14"	"20"	"545"	"-"	"545"	"-"
"172"	"147"	"5"	"28"	"7"	"353"	"12"	"6"	"8"	"419"	"-"	"419"	"-"
"173"	"148"	"90"	"310"	"30"	"14"	"7"	"24"	"21"	"496"	"-"	"496"	"-"
"174"	"149"	"64"	"226"	"15"	"19"	"5"	"18"	"13"	"360"	"-"	"360"	"-"
"175"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"176"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"177"	"149A"	"99"	"130"	"14"	"36"	"12"	"15"	"25"	"331"	"-"	"331"	"-"
"178"	"150"	"222"	"47"	"12"	"194"	"14"	"8"	"16"	"513"	"-"	"513"	"-"
"179"	"151"	"15"	"212"	"8"	"196"	"16"	"13"	"11"	"471"	"-"	"471"	"-"
"180"	"152"	"48"	"40"	"4"	"115"	"4"	"0"	"4"	"215"	"-"	"215"	"-"
"181"	"153"	"18"	"69"	"6"	"349"	"9"	"12"	"22"	"485"	"-"	"485"	"-"
"182"	"153A"	"63"	"54"	"7"	"50"	"4"	"6"	"18"	"202"	"-"	"202"	"-"
"183"	"154"	"174"	"43"	"10"	"79"	"5"	"15"	"12"	"338"	"-"	"338"	"-"
"184"	"154A"	"84"	"28"	"9"	"156"	"7"	"6"	"15"	"305"	"-"	"305"	"-"
"185"	"155"	"21"	"190"	"10"	"73"	"11"	"10"	"15"	"330"	"-"	"330"	"-"
"186"	"155A"	"19"	"217"	"10"	"80"	"7"	"4"	"6"	"343"	"-"	"343"	"-"
"187"	"156"	"10"	"19"	"2"	"178"	"12"	"7"	"12"	"240"	"-"	"240"	"-"
"188"	"157"	"49"	"323"	"7"	"79"	"5"	"5"	"6"	"474"	"-"	"474"	"-"
"189"	"158"	"55"	"182"	"7"	"237"	"18"	"29"	"32"	"560"	"-"	"560"	"-"
"190"	"159"	"76"	"133"	"8"	"130"	"5"	"2"	"12"	"366"	"-"	"366"	"-"
"191"	"160"	"42"	"141"	"9"	"266"	"14"	"10"	"19"	"501"	"-"	"501"	"-"
"192"	"161"	"61"	"70"	"6"	"159"	"7"	"7"	"9"	"319"	"-"	"319"	"-"
"193"	"162"	"49"	"43"	"8"	"236"	"6"	"8"	"14"	"364"	"-"	"364"	"-"
"194"	"163"	"20"	"256"	"4"	"29"	"1"	"1"	"2"	"313"	"-"	"313"	"-"
"195"	"164"	"39"	"187"	"8"	"78"	"9"	"9"	"8"	"338"	"-"	"338"	"-"
"196"	"165"	"40"	"72"	"18"	"146"	"9"	"24"	"23"	"332"	"-"	"332"	"-"
"197"	"166"	"6"	"43"	"2"	"136"	"4"	"8"	"3"	"202"	"-"	"202"	"-"
"198"	"167"	"2"	"33"	"5"	"195"	"9"	"3"	"7"	"254"	"-"	"254"	"-"
"199"	"168"	"147"	"228"	"12"	"68"	"8"	"20"	"7"	"490"	"-"	"490"	"-"
"200"	"169"	"158"	"227"	"19"	"107"	"12"	"18"	"21"	"562"	"-"	"562"	"-"
"201"	"170"	"41"	"131"	"8"	"99"	"12"	"15"	"17"	"323"	"-"	"323"	"-"
"202"	"170A"	"28"	"116"	"3"	"67"	"3"	"8"	"3"	"228"	"-"	"228"	"-"
"203"	"171"	"43"	"88"	"8"	"168"	"19"	"13"	"12"	"351"	"-"	"351"	"-"
"204"	"172"	"99"	"55"	"7"	"118"	"6"	"4"	"12"	"301"	"-"	"301"	"-"
"205"	"173"	"155"	"193"	"16"	"88"	"9"	"17"	"16"	"494"	"-"	"494"	"-"
"206"	"174"	"247"	"52"	"14"	"129"	"10"	"13"	"10"	"475"	"-"	"475"	"-"
"207"	"175"	"11"	"260"	"4"	"22"	"4"	"10"	"7"	"318"	"-"	"318"	"-"
"208"	"176"	"140"	"120"	"11"	"272"	"13"	"20"	"16"	"592"	"-"	"592"	"-"
"209"	"177"	"159"	"107"	"6"	"135"	"9"	"11"	"15"	"442"	"-"	"442"	"-"
"210"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"212"	"178"	"9"	"120"	"11"	"185"	"7"	"7"	"15"	"354"	"-"	"354"	"-"
"213"	"179"	"3"	"125"	"13"	"279"	"10"	"3"	"10"	"443"	"-"	"443"	"-"
"214"	"180"	"171"	"82"	"9"	"185"	"10"	"8"	"17"	"482"	"-"	"482"	"-"
"215"	"181"	"78"	"125"	"22"	"289"	"14"	"12"	"9"	"549"	"-"	"549"	"-"
"216"	"182"	"33"	"124"	"5"	"267"	"6"	"6"	"7"	"448"	"-"	"448"	"-"
"217"	"183"	"60"	"140"	"12"	"86"	"10"	"16"	"18"	"342"	"-"	"342"	"-"
"218"	"184"	"15"	"481"	"3"	"61"	"3"	"2"	"8"	"573"	"-"	"573"	"-"
"219"	"185"	"47"	"427"	"16"	"100"	"10"	"19"	"20"	"639"	"-"	"639"	"-"
"220"	"186"	"11"	"158"	"11"	"170"	"20"	"15"	"15"	"400"	"-"	"400"	"-"
"221"	"187"	"261"	"8"	"5"	"77"	"3"	"3"	"12"	"369"	"-"	"369"	"-"
"222"	"188"	"259"	"26"	"16"	"86"	"8"	"11"	"22"	"428"	"-"	"428"	"-"
"223"	"189"	"45"	"84"	"6"	"93"	"9"	"4"	"10"	"251"	"-"	"251"	"-"
"224"	"190"	"70"	"125"	"10"	"91"	"9"	"10"	"11"	"326"	"-"	"326"	"-"
"225"	"191"	"230"	"138"	"17"	"46"	"5"	"11"	"18"	"465"	"-"	"465"	"-"
"226"	"192"	"48"	"126"	"10"	"257"	"21"	"13"	"9"	"484"	"-"	"484"	"-"
"227"	"193"	"297"	"16"	"13"	"61"	"3"	"2"	"5"	"397"	"-"	"397"	"-"
"228"	"194"	"84"	"54"	"7"	"295"	"6"	"4"	"3"	"453"	"-"	"453"	"-"
"229"	"195"	"293"	"66"	"7"	"49"	"7"	"1"	"5"	"428"	"-"	"428"	"-"
"230"	"196"	"60"	"145"	"10"	"440"	"15"	"12"	"17"	"699"	"-"	"699"	"-"
"231"	"197"	"244"	"21"	"10"	"82"	"7"	"9"	"17"	"390"	"-"	"390"	"-"
"232"	"198"	"183"	"100"	"19"	"104"	"8"	"12"	"22"	"448"	"-"	"448"	"-"
"233"	"199"	"187"	"52"	"6"	"149"	"8"	"5"	"6"	"413"	"-"	"413"	"-"
"234"	"200"	"118"	"205"	"13"	"194"	"13"	"31"	"25"	"599"	"-"	"599"	"-"
"235"	"201"	"218"	"65"	"7"	"103"	"10"	"3"	"12"	"418"	"-"	"418"	"-"
"236"	"202"	"242"	"66"	"4"	"7"	"2"	"4"	"10"	"335"	"-"	"335"	"-"
"237"	"203"	"227"	"128"	"9"	"44"	"3"	"7"	"18"	"436"	"-"	"436"	"-"
"238"	"204"	"84"	"182"	"19"	"176"	"13"	"11"	"14"	"499"	"-"	"499"	"-"
"239"	"205"	"184"	"122"	"8"	"133"	"2"	"6"	"9"	"464"	"-"	"464"	"-"
"240"	"206"	"7"	"337"	"8"	"32"	"0"	"2"	"1"	"387"	"-"	"387"	"-"
"241"	"207"	"91"	"289"	"13"	"171"	"5"	"8"	"9"	"586"	"-"	"586"	"-"
"242"	"208"	"346"	"73"	"6"	"48"	"7"	"3"	"10"	"493"	"-"	"493"	"-"
"243"	"209"	"201"	"163"	"16"	"71"	"3"	"12"	"7"	"473"	"-"	"473"	"-"
"244"	"210"	"183"	"38"	"18"	"131"	"13"	"8"	"25"	"416"	"-"	"416"	"-"
"245"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"246"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"247"	"211"	"223"	"57"	"4"	"42"	"8"	"4"	"17"	"355"	"-"	"355"	"-"
"248"	"212"	"161"	"73"	"11"	"54"	"5"	"6"	"4"	"314"	"-"	"314"	"-"
"249"	"213"	"178"	"49"	"8"	"16"	"0"	"1"	"5"	"257"	"-"	"257"	"-"
"250"	"214"	"6"	"15"	"3"	"127"	"8"	"2"	"1"	"162"	"-"	"162"	"-"
"251"	"215"	"298"	"14"	"11"	"84"	"6"	"5"	"5"	"423"	"-"	"423"	"-"
