"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"45"	"Current Round Total"	"706"	"1776"	"5386"	"116"	"354"	"148"	"56"	"91"	"234"	"346"	"111"	"319"	"9643"	"0"	"9643"	"0"
"46"	"Previous Round Total"	"474"	"2427"	"3840"	"68"	"72"	"111"	"42"	"78"	"171"	"268"	"102"	"316"	"7969"	"0"	"7969"	"0"
"47"	"TOTAL"	"1180"	"4203"	"9226"	"184"	"426"	"259"	"98"	"169"	"405"	"614"	"213"	"635"	"17612"	"0"	"17612"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"56"	"27"	"163"	"40"	"293"	"23"	"5"	"13"	"5"	"6"	"28"	"40"	"24"	"35"	"675"	""	"675"	""
"57"	"28"	"56"	"5"	"264"	"4"	"2"	"1"	"0"	"3"	"6"	"4"	"0"	"3"	"348"	""	"348"	""
"58"	"29"	"56"	"15"	"450"	"12"	"4"	"14"	"3"	"7"	"25"	"72"	"17"	"31"	"706"	""	"706"	""
"59"	"30"	"117"	"19"	"480"	"3"	"4"	"8"	"0"	"7"	"29"	"37"	"13"	"26"	"743"	""	"743"	""
"60"	"31"	"52"	"5"	"289"	"3"	"3"	"9"	"4"	"5"	"8"	"8"	"1"	"5"	"392"	""	"392"	""
"61"	"32"	"9"	"9"	"246"	"2"	"0"	"4"	"2"	"4"	"7"	"10"	"4"	"8"	"305"	""	"305"	""
"62"	"33"	"459"	"72"	"126"	"9"	"12"	"12"	"10"	"8"	"25"	"9"	"11"	"32"	"785"	""	"785"	""
"63"	"34"	"224"	"32"	"169"	"58"	"7"	"6"	"3"	"5"	"15"	"73"	"8"	"39"	"639"	""	"639"	""
"64"	"35"	"74"	"78"	"271"	"33"	"12"	"11"	"9"	"1"	"24"	"19"	"8"	"29"	"569"	""	"569"	""
"65"	"36"	"98"	"79"	"364"	"29"	"1"	"12"	"6"	"13"	"22"	"94"	"9"	"16"	"743"	""	"743"	""
"66"	"37"	"92"	"162"	"490"	"11"	"21"	"16"	"3"	"9"	"33"	"34"	"9"	"31"	"911"	""	"911"	""
"67"	"38"	"18"	"77"	"236"	"10"	"1"	"5"	"2"	"4"	"5"	"28"	"2"	"6"	"394"	""	"394"	""
"68"	"38A"	"21"	"29"	"311"	"21"	"0"	"9"	"2"	"1"	"15"	"30"	"3"	"9"	"451"	""	"451"	""
"69"	"39"	"49"	"33"	"423"	"9"	"4"	"8"	"5"	"8"	"31"	"261"	"4"	"13"	"848"	""	"848"	""
"70"	"Current Round Total"	"1488"	"655"	"4412"	"227"	"76"	"128"	"54"	"81"	"273"	"719"	"113"	"283"	"8509"	"0"	"8509"	"0"
"71"	"Previous Round Total"	"1180"	"4203"	"9226"	"184"	"426"	"259"	"98"	"169"	"405"	"614"	"213"	"635"	"17612"	"0"	"17612"	"0"
"72"	"TOTAL"	"2668"	"4858"	"13638"	"411"	"502"	"387"	"152"	"250"	"678"	"1333"	"326"	"918"	"26121"	"0"	"26121"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"81"	"40"	"91"	"4"	"179"	"1"	"4"	"2"	"2"	"3"	"12"	"149"	"3"	"3"	"453"	""	"453"	""
"82"	"41"	"84"	"21"	"416"	"11"	"1"	"8"	"3"	"16"	"12"	"30"	"18"	"34"	"654"	""	"654"	""
"83"	"42"	"239"	"444"	"11"	"5"	"6"	"4"	"1"	"2"	"2"	"3"	"7"	"22"	"746"	""	"746"	""
"84"	"43"	"136"	"144"	"234"	"5"	"86"	"6"	"5"	"5"	"9"	"15"	"3"	"8"	"656"	""	"656"	""
"85"	"44"	"115"	"133"	"429"	"4"	"7"	"12"	"3"	"5"	"7"	"5"	"4"	"11"	"735"	""	"735"	""
"86"	"45"	"363"	"86"	"4"	"2"	"7"	"2"	"5"	"1"	"2"	"1"	"3"	"16"	"492"	""	"492"	""
"87"	"46"	"13"	"339"	"35"	"1"	"30"	"4"	"6"	"6"	"7"	"2"	"6"	"18"	"467"	""	"467"	""
"88"	"46A"	"3"	"132"	"12"	"1"	"11"	"1"	"2"	"0"	"2"	"0"	"8"	"10"	"182"	""	"182"	""
"89"	"47"	"103"	"144"	"96"	"3"	"61"	"6"	"6"	"6"	"10"	"22"	"5"	"12"	"474"	""	"474"	""
"90"	"48"	"38"	"296"	"65"	"3"	"6"	"1"	"5"	"7"	"4"	"2"	"11"	"183"	"621"	""	"621"	""
"91"	"49"	"30"	"222"	"239"	"6"	"50"	"9"	"8"	"6"	"16"	"9"	"13"	"21"	"629"	""	"629"	""
"92"	"50"	"19"	"180"	"103"	"3"	"19"	"5"	"2"	"1"	"2"	"3"	"1"	"5"	"343"	""	"343"	""
"93"	"51"	"51"	"177"	"237"	"12"	"118"	"14"	"6"	"9"	"9"	"4"	"6"	"16"	"659"	""	"659"	""
"94"	"52"	"14"	"337"	"19"	"11"	"137"	"2"	"4"	"1"	"0"	"0"	"1"	"15"	"541"	""	"541"	""
"95"	"Current Round Total"	"1299"	"2659"	"2079"	"68"	"543"	"76"	"58"	"68"	"94"	"245"	"89"	"374"	"7652"	"0"	"7652"	"0"
"96"	"Previous Round Total"	"2668"	"4858"	"13638"	"411"	"502"	"387"	"152"	"250"	"678"	"1333"	"326"	"918"	"26121"	"0"	"26121"	"0"
"97"	"TOTAL"	"3967"	"7517"	"15717"	"479"	"1045"	"463"	"210"	"318"	"772"	"1578"	"415"	"1292"	"33773"	"0"	"33773"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"106"	"53"	"19"	"306"	"49"	"6"	"75"	"4"	"9"	"5"	"3"	"1"	"4"	"21"	"502"	""	"502"	""
"107"	"54"	"9"	"246"	"63"	"2"	"118"	"3"	"15"	"4"	"7"	"24"	"4"	"14"	"509"	""	"509"	""
"108"	"55"	"113"	"78"	"187"	"25"	"74"	"6"	"6"	"12"	"20"	"17"	"13"	"26"	"577"	""	"577"	""
"109"	"56"	"84"	"211"	"89"	"8"	"187"	"10"	"9"	"9"	"5"	"1"	"8"	"29"	"650"	""	"650"	""
"110"	"57"	"11"	"174"	"28"	"11"	"200"	"2"	"4"	"2"	"1"	"1"	"3"	"10"	"447"	""	"447"	""
"111"	"58"	"51"	"114"	"163"	"2"	"52"	"1"	"3"	"9"	"1"	"5"	"2"	"12"	"415"	""	"415"	""
"112"	"59"	"12"	"292"	"40"	"14"	"176"	"7"	"15"	"7"	"5"	"4"	"8"	"20"	"600"	""	"600"	""
"113"	"60"	"245"	"78"	"284"	"3"	"3"	"13"	"3"	"5"	"7"	"5"	"0"	"12"	"658"	""	"658"	""
"114"	"61"	"103"	"20"	"427"	"26"	"7"	"11"	"7"	"3"	"22"	"13"	"9"	"33"	"681"	""	"681"	""
"115"	"62"	"11"	"132"	"263"	"3"	"1"	"10"	"2"	"1"	"6"	"3"	"3"	"5"	"440"	""	"440"	""
"116"	"63"	"268"	"32"	"419"	"1"	"2"	"3"	"2"	"4"	"19"	"53"	"6"	"8"	"817"	""	"817"	""
"117"	"64"	"62"	"47"	"331"	"9"	"2"	"10"	"2"	"3"	"11"	"22"	"10"	"17"	"526"	""	"526"	""
"118"	"65"	"160"	"95"	"365"	"47"	"7"	"5"	"2"	"4"	"21"	"17"	"6"	"23"	"752"	""	"752"	""
"119"	"66"	"99"	"87"	"247"	"11"	"3"	"8"	"6"	"9"	"26"	"112"	"44"	"41"	"693"	""	"693"	""
"120"	"Current Round Total"	"1247"	"1912"	"2955"	"168"	"907"	"93"	"85"	"77"	"154"	"278"	"120"	"271"	"8267"	"0"	"8267"	"0"
"121"	"Previous Round Total"	"3967"	"7517"	"15717"	"479"	"1045"	"463"	"210"	"318"	"772"	"1578"	"415"	"1292"	"33773"	"0"	"33773"	"0"
"122"	"TOTAL"	"5214"	"9429"	"18672"	"647"	"1952"	"556"	"295"	"395"	"926"	"1856"	"535"	"1563"	"42040"	"0"	"42040"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"131"	"67"	"30"	"92"	"116"	"5"	"0"	"3"	"2"	"1"	"11"	"75"	"5"	"11"	"351"	""	"351"	""
"132"	"68"	"12"	"451"	"24"	"2"	"7"	"2"	"1"	"2"	"0"	"3"	"10"	"87"	"601"	""	"601"	""
"133"	"69"	"18"	"142"	"416"	"14"	"9"	"12"	"9"	"8"	"21"	"158"	"19"	"9"	"835"	""	"835"	""
"134"	"70"	"98"	"182"	"306"	"9"	"4"	"6"	"3"	"3"	"8"	"24"	"3"	"9"	"655"	""	"655"	""
"135"	"71"	"121"	"174"	"83"	"22"	"4"	"2"	"3"	"2"	"6"	"82"	"6"	"8"	"513"	""	"513"	""
"136"	"72"	"53"	"43"	"94"	"9"	"5"	"4"	"4"	"7"	"14"	"53"	"61"	"18"	"365"	""	"365"	""
"137"	"73"	"146"	"21"	"245"	"8"	"3"	"4"	"2"	"1"	"10"	"3"	"3"	"8"	"454"	""	"454"	""
"138"	"74"	"33"	"25"	"514"	"5"	"3"	"7"	"1"	"3"	"9"	"36"	"2"	"2"	"640"	""	"640"	""
"139"	"75"	"10"	"294"	"16"	"2"	"28"	"2"	"5"	"4"	"1"	"2"	"3"	"28"	"395"	""	"395"	""
"140"	"76"	"169"	"41"	"83"	"22"	"2"	"4"	"1"	"1"	"0"	"3"	"3"	"7"	"336"	""	"336"	""
"141"	"77"	"27"	"287"	"23"	"3"	"16"	"1"	"5"	"4"	"2"	"1"	"6"	"27"	"402"	""	"402"	""
"142"	"78"	"302"	"16"	"75"	"16"	"4"	"4"	"4"	"2"	"6"	"26"	"3"	"24"	"482"	""	"482"	""
"143"	"79"	"28"	"145"	"121"	"2"	"3"	"3"	"4"	"6"	"12"	"122"	"4"	"8"	"458"	""	"458"	""
"144"	"80"	"513"	"14"	"24"	"22"	"9"	"3"	"1"	"5"	"3"	"10"	"9"	"103"	"716"	""	"716"	""
"145"	"Current Round Total"	"1560"	"1927"	"2140"	"141"	"97"	"57"	"45"	"49"	"103"	"598"	"137"	"349"	"7203"	"0"	"7203"	"0"
"146"	"Previous Round Total"	"5214"	"9429"	"18672"	"647"	"1952"	"556"	"295"	"395"	"926"	"1856"	"535"	"1563"	"42040"	"0"	"42040"	"0"
"147"	"TOTAL"	"6774"	"11356"	"20812"	"788"	"2049"	"613"	"340"	"444"	"1029"	"2454"	"672"	"1912"	"49243"	"0"	"49243"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"156"	"81"	"16"	"79"	"433"	"5"	"2"	"9"	"0"	"2"	"4"	"0"	"0"	"7"	"557"	""	"557"	""
"157"	"82"	"73"	"43"	"444"	"2"	"4"	"4"	"4"	"4"	"8"	"6"	"12"	"80"	"684"	""	"684"	""
"158"	"83"	"34"	"31"	"180"	"7"	"1"	"7"	"1"	"1"	"3"	"9"	"5"	"34"	"313"	""	"313"	""
"159"	"83A"	"94"	"30"	"173"	"21"	"1"	"14"	"1"	"2"	"9"	"4"	"0"	"14"	"363"	""	"363"	""
"160"	"84"	"33"	"18"	"71"	"2"	"2"	"2"	"3"	"0"	"5"	"2"	"14"	"279"	"431"	""	"431"	""
"161"	"85"	"178"	"72"	"127"	"7"	"3"	"7"	"5"	"8"	"18"	"10"	"10"	"36"	"481"	""	"481"	""
"162"	"86"	"15"	"140"	"5"	"5"	"1"	"2"	"3"	"5"	"1"	"3"	"11"	"235"	"426"	""	"426"	""
"163"	"86A"	"20"	"84"	"4"	"2"	"5"	"2"	"0"	"2"	"0"	"0"	"4"	"133"	"256"	""	"256"	""
"164"	"87"	"11"	"256"	"71"	"5"	"0"	"1"	"2"	"1"	"2"	"1"	"4"	"13"	"367"	""	"367"	""
"165"	"88"	"17"	"443"	"20"	"2"	"1"	"0"	"2"	"5"	"3"	"1"	"10"	"43"	"547"	""	"547"	""
"166"	"89"	"8"	"372"	"77"	"4"	"3"	"3"	"1"	"0"	"4"	"2"	"2"	"23"	"499"	""	"499"	""
"167"	"90"	"11"	"529"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"556"	""	"556"	""
"168"	"91"	"8"	"479"	"8"	"6"	"1"	"1"	"6"	"2"	"0"	"0"	"3"	"22"	"536"	""	"536"	""
"169"	"92"	"111"	"71"	"103"	"14"	"206"	"6"	"2"	"4"	"4"	"6"	"3"	"48"	"578"	""	"578"	""
"170"	"Current Round Total"	"629"	"2647"	"1724"	"83"	"231"	"58"	"30"	"36"	"61"	"45"	"80"	"970"	"6594"	"0"	"6594"	"0"
"171"	"Previous Round Total"	"6774"	"11356"	"20812"	"788"	"2049"	"613"	"340"	"444"	"1029"	"2454"	"672"	"1912"	"49243"	"0"	"49243"	"0"
"172"	"TOTAL"	"7403"	"14003"	"22536"	"871"	"2280"	"671"	"370"	"480"	"1090"	"2499"	"752"	"2882"	"55837"	"0"	"55837"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"181"	"93"	"23"	"27"	"230"	"3"	"178"	"13"	"2"	"1"	"5"	"2"	"5"	"39"	"528"	""	"528"	""
"182"	"94"	"19"	"118"	"210"	"6"	"251"	"8"	"1"	"3"	"5"	"4"	"7"	"24"	"656"	""	"656"	""
"183"	"95"	"74"	"18"	"386"	"8"	"13"	"16"	"6"	"4"	"19"	"10"	"12"	"21"	"587"	""	"587"	""
"184"	"96"	"102"	"23"	"372"	"6"	"7"	"5"	"1"	"1"	"6"	"1"	"4"	"8"	"536"	""	"536"	""
"185"	"97"	"34"	"139"	"185"	"6"	"33"	"1"	"2"	"2"	"3"	"4"	"3"	"31"	"443"	""	"443"	""
