"Polling.Station.No."	"Ashok.Prasad.Verma"	"Ashwamedh.Devi"	"Prayag.Chandra.Mukhiya"	"Rajnarayan.Singh"	"Sunil.Kumar.Suman"	"Baiju.Sah"	"Shyam.Sunder.Bhagat"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"22"	"15"	"176"	"94"	"10"	"6"	"3"	"4"	"6"	"299"	""	"299"	""
"23"	"16"	"196"	"248"	"33"	"7"	"9"	"14"	"11"	"518"	""	"518"	""
"24"	"17"	"168"	"173"	"10"	"4"	"2"	"0"	"5"	"362"	""	"362"	""
"25"	"18"	"147"	"83"	"9"	"1"	"2"	"3"	"2"	"247"	""	"247"	""
"26"	"18A"	"134"	"133"	"9"	"4"	"5"	"9"	"17"	"311"	""	"311"	""
"27"	"19"	"139"	"194"	"13"	"3"	"7"	"5"	"6"	"367"	""	"367"	""
"28"	"19A"	"61"	"281"	"13"	"2"	"0"	"3"	"8"	"368"	""	"368"	""
"29"	"20"	"223"	"366"	"17"	"4"	"2"	"5"	"7"	"624"	""	"624"	""
"30"	"21"	"220"	"274"	"20"	"3"	"10"	"6"	"15"	"548"	""	"548"	""
"31"	"22"	"311"	"225"	"10"	"8"	"6"	"5"	"14"	"579"	""	"579"	""
"32"	"23"	"298"	"228"	"53"	"0"	"5"	"3"	"10"	"597"	""	"597"	""
"33"	"24"	"95"	"190"	"38"	"5"	"1"	"7"	"6"	"342"	""	"342"	""
"34"	"Page Total"	"4967"	"4990"	"740"	"147"	"163"	"181"	"258"	"11446"	"0"	"11446"	"0"
"35"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"36"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"37"	"B.F."	"4967"	"4990"	"740"	"147"	"163"	"181"	"258"	"11446"	"0"	"11446"	"0"
"38"	"24A"	"141"	"127"	"15"	"4"	"9"	"9"	"2"	"307"	""	"307"	""
"39"	"25"	"141"	"175"	"14"	"9"	"5"	"17"	"15"	"376"	""	"376"	""
"40"	"26"	"263"	"107"	"27"	"9"	"1"	"10"	"8"	"425"	""	"425"	""
"41"	"27"	"217"	"164"	"18"	"4"	"6"	"7"	"12"	"428"	""	"428"	""
"42"	"28"	"148"	"159"	"40"	"9"	"2"	"5"	"22"	"385"	""	"385"	""
"43"	"29"	"212"	"102"	"65"	"5"	"11"	"9"	"10"	"414"	""	"414"	""
"44"	"30"	"133"	"137"	"37"	"14"	"13"	"132"	"26"	"492"	""	"492"	""
"45"	"31"	"144"	"180"	"9"	"1"	"5"	"6"	"14"	"359"	""	"359"	""
"46"	"32"	"84"	"345"	"9"	"4"	"4"	"6"	"7"	"459"	""	"459"	""
"47"	"33"	"257"	"249"	"111"	"21"	"15"	"19"	"21"	"693"	""	"693"	""
"48"	"34"	"144"	"379"	"17"	"3"	"6"	"18"	"10"	"577"	""	"577"	""
"49"	"35"	"191"	"327"	"56"	"4"	"8"	"12"	"6"	"604"	""	"604"	""
"50"	"36"	"254"	"251"	"65"	"16"	"14"	"15"	"18"	"633"	""	"633"	""
"51"	"37"	"155"	"226"	"14"	"5"	"8"	"5"	"15"	"428"	""	"428"	""
"52"	"Page Total"	"7451"	"7918"	"1237"	"255"	"270"	"451"	"444"	"18026"	"0"	"18026"	"0"
"53"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"54"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"55"	"B.F."	"7451"	"7918"	"1237"	"255"	"270"	"451"	"444"	"18026"	"0"	"18026"	"0"
"56"	"38"	"155"	"193"	"119"	"15"	"4"	"8"	"11"	"505"	""	"505"	""
"57"	"39"	"137"	"337"	"54"	"11"	"11"	"8"	"20"	"578"	""	"578"	""
"58"	"40"	"175"	"303"	"21"	"5"	"6"	"14"	"9"	"533"	""	"533"	""
"59"	"41"	"260"	"305"	"30"	"4"	"7"	"11"	"4"	"621"	""	"621"	""
"60"	"42"	"136"	"261"	"126"	"16"	"5"	"39"	"13"	"596"	""	"596"	""
"61"	"43"	"216"	"264"	"13"	"6"	"3"	"5"	"17"	"524"	""	"524"	""
"62"	"44"	"65"	"262"	"9"	"3"	"5"	"11"	"12"	"367"	""	"367"	""
"63"	"44A"	"102"	"195"	"78"	"2"	"6"	"9"	"4"	"396"	""	"396"	""
"64"	"45"	"204"	"183"	"17"	"4"	"6"	"11"	"27"	"452"	""	"452"	""
"65"	"46"	"273"	"197"	"42"	"1"	"4"	"12"	"16"	"545"	""	"545"	""
"66"	"47"	"149"	"136"	"21"	"2"	"1"	"3"	"7"	"319"	""	"319"	""
"67"	"47A"	"137"	"124"	"12"	"7"	"1"	"9"	"2"	"292"	""	"292"	""
"68"	"48"	"252"	"190"	"39"	"7"	"5"	"9"	"26"	"528"	""	"528"	""
"69"	"49"	"118"	"243"	"3"	"0"	"2"	"3"	"1"	"370"	""	"370"	""
"70"	"Page Total"	"9830"	"11111"	"1821"	"338"	"336"	"603"	"613"	"24652"	"0"	"24652"	"0"
"71"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"72"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"73"	"B.F."	"9830"	"11111"	"1821"	"338"	"336"	"603"	"613"	"24652"	"0"	"24652"	"0"
"74"	"49A"	"58"	"331"	"8"	"1"	"5"	"5"	"6"	"414"	""	"414"	""
"75"	"50"	"200"	"171"	"8"	"7"	"6"	"6"	"18"	"416"	""	"416"	""
"76"	"50A"	"165"	"260"	"8"	"5"	"4"	"7"	"8"	"457"	""	"457"	""
"77"	"51"	"135"	"169"	"32"	"6"	"12"	"6"	"18"	"378"	""	"378"	""
"78"	"51A"	"148"	"255"	"26"	"12"	"15"	"8"	"8"	"472"	""	"472"	""
"79"	"52"	"195"	"219"	"5"	"1"	"53"	"4"	"9"	"486"	""	"486"	""
"80"	"53"	"176"	"79"	"35"	"3"	"14"	"3"	"20"	"330"	""	"330"	""
"81"	"54"	"238"	"307"	"13"	"4"	"11"	"4"	"12"	"589"	""	"589"	""
"82"	"55"	"142"	"233"	"8"	"0"	"19"	"5"	"12"	"419"	""	"419"	""
"83"	"55A"	"161"	"131"	"20"	"4"	"46"	"11"	"10"	"383"	""	"383"	""
"84"	"56"	"341"	"233"	"34"	"4"	"22"	"13"	"31"	"678"	""	"678"	""
"85"	"57"	"84"	"265"	"26"	"6"	"12"	"4"	"2"	"399"	""	"399"	""
"86"	"57A"	"143"	"183"	"18"	"10"	"24"	"4"	"15"	"397"	""	"397"	""
"87"	"58"	"100"	"130"	"9"	"3"	"11"	"2"	"5"	"260"	""	"260"	""
"88"	"Page Total"	"12116"	"14077"	"2071"	"404"	"590"	"685"	"787"	"30730"	"0"	"30730"	"0"
"89"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"90"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"91"	"B.F."	"12116"	"14077"	"2071"	"404"	"590"	"685"	"787"	"30730"	"0"	"30730"	"0"
"92"	"59"	"154"	"324"	"16"	"7"	"6"	"3"	"19"	"529"	""	"529"	""
"93"	"60"	"216"	"315"	"14"	"2"	"3"	"1"	"6"	"557"	""	"557"	""
"94"	"61"	"101"	"120"	"18"	"1"	"4"	"1"	"11"	"256"	""	"256"	""
"95"	"61A"	"186"	"170"	"10"	"4"	"4"	"5"	"11"	"390"	""	"390"	""
"96"	"62"	"182"	"253"	"9"	"1"	"19"	"7"	"9"	"480"	""	"480"	""
"97"	"63"	"47"	"193"	"9"	"2"	"2"	"3"	"8"	"264"	""	"264"	""
"98"	"64"	"273"	"227"	"26"	"6"	"10"	"13"	"21"	"576"	""	"576"	""
"99"	"65"	"177"	"183"	"96"	"7"	"12"	"15"	"32"	"522"	""	"522"	""
"100"	"66"	"225"	"183"	"49"	"4"	"6"	"5"	"18"	"490"	""	"490"	""
"101"	"67"	"236"	"217"	"36"	"5"	"8"	"12"	"32"	"546"	""	"546"	""
"102"	"68"	"17"	"267"	"15"	"5"	"2"	"5"	"11"	"322"	""	"322"	""
"103"	"68A"	"32"	"268"	"9"	"4"	"8"	"5"	"5"	"331"	""	"331"	""
"104"	"69"	"127"	"142"	"15"	"7"	"15"	"9"	"29"	"344"	""	"344"	""
"105"	"70"	"198"	"301"	"21"	"6"	"1"	"6"	"23"	"556"	""	"556"	""
"106"	"Page Total"	"14287"	"17240"	"2414"	"465"	"690"	"775"	"1022"	"36893"	"0"	"36893"	"0"
"107"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"108"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"109"	"B.F."	"14287"	"17240"	"2414"	"465"	"690"	"775"	"1022"	"36893"	"0"	"36893"	"0"
"110"	"71"	"134"	"184"	"11"	"4"	"3"	"7"	"10"	"353"	""	"353"	""
"111"	"72"	"258"	"130"	"9"	"1"	"0"	"5"	"8"	"411"	""	"411"	""
"112"	"73"	"292"	"215"	"27"	"5"	"8"	"7"	"16"	"570"	""	"570"	""
"113"	"74"	"93"	"365"	"105"	"7"	"12"	"14"	"15"	"611"	""	"611"	""
"114"	"75"	"193"	"301"	"37"	"9"	"8"	"3"	"16"	"567"	""	"567"	""
"115"	"76"	"315"	"234"	"29"	"7"	"3"	"8"	"10"	"606"	""	"606"	""
"116"	"77"	"78"	"200"	"14"	"4"	"3"	"4"	"2"	"305"	""	"305"	""
"117"	"78"	"391"	"65"	"12"	"8"	"27"	"12"	"23"	"538"	""	"538"	""
"118"	"79"	"390"	"60"	"8"	"1"	"0"	"5"	"13"	"477"	""	"477"	""
"119"	"80"	"187"	"28"	"8"	"3"	"3"	"10"	"22"	"261"	""	"261"	""
"120"	"81"	"238"	"150"	"22"	"10"	"6"	"12"	"30"	"468"	""	"468"	""
"121"	"82"	"165"	"99"	"9"	"4"	"2"	"2"	"6"	"287"	""	"287"	""
"122"	"82A"	"227"	"23"	"10"	"3"	"9"	"3"	"18"	"293"	""	"293"	""
"123"	"83"	"122"	"243"	"9"	"5"	"2"	"7"	"6"	"394"	""	"394"	""
"124"	"Page Total"	"17370"	"19537"	"2724"	"536"	"776"	"874"	"1217"	"43034"	"0"	"43034"	"0"
"125"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"126"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"127"	"B.F."	"17370"	"19537"	"2724"	"536"	"776"	"874"	"1217"	"43034"	"0"	"43034"	"0"
"128"	"84"	"159"	"38"	"7"	"4"	"7"	"2"	"16"	"233"	""	"233"	""
"129"	"84A"	"138"	"5"	"2"	"0"	"0"	"2"	"8"	"155"	""	"155"	""
"130"	"85"	"99"	"323"	"14"	"3"	"29"	"4"	"6"	"478"	""	"478"	""
"131"	"86"	"109"	"211"	"10"	"3"	"57"	"1"	"6"	"397"	""	"397"	""
"132"	"87"	"63"	"135"	"7"	"1"	"9"	"1"	"1"	"217"	""	"217"	""
"133"	"88"	"118"	"56"	"34"	"4"	"27"	"4"	"4"	"247"	""	"247"	""
"134"	"89"	"85"	"237"	"17"	"3"	"4"	"4"	"9"	"359"	""	"359"	""
"135"	"90"	"124"	"147"	"23"	"5"	"6"	"7"	"8"	"320"	""	"320"	""
"136"	"91"	"302"	"105"	"8"	"1"	"3"	"2"	"3"	"424"	""	"424"	""
"137"	"92"	"101"	"164"	"10"	"1"	"1"	"1"	"9"	"287"	""	"287"	""
"138"	"93"	"184"	"58"	"4"	"2"	"1"	"1"	"6"	"256"	""	"256"	""
"139"	"93A"	"70"	"183"	"4"	"0"	"3"	"1"	"2"	"263"	""	"263"	""
"140"	"94"	"248"	"80"	"8"	"2"	"0"	"3"	"15"	"356"	""	"356"	""
"141"	"95"	"289"	"8"	"0"	"1"	"2"	"1"	"0"	"301"	""	"301"	""
"142"	"Page Total"	"19459"	"21287"	"2872"	"566"	"925"	"908"	"1310"	"47327"	"0"	"47327"	"0"
"143"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"144"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"145"	"B.F."	"19459"	"21287"	"2872"	"566"	"925"	"908"	"1310"	"47327"	"0"	"47327"	"0"
"146"	"96"	"240"	"126"	"15"	"8"	"9"	"10"	"22"	"430"	""	"430"	""
"147"	"97"	"61"	"286"	"16"	"5"	"3"	"10"	"12"	"393"	""	"393"	""
"148"	"98"	"259"	"77"	"9"	"2"	"4"	"3"	"13"	"367"	""	"367"	""
"149"	"98A"	"113"	"146"	"8"	"2"	"8"	"9"	"4"	"290"	""	"290"	""
"150"	"99"	"14"	"205"	"47"	"3"	"45"	"7"	"10"	"331"	""	"331"	""
"151"	"99A"	"56"	"235"	"49"	"10"	"22"	"8"	"9"	"389"	""	"389"	""
"152"	"100"	"169"	"371"	"19"	"11"	"22"	"20"	"34"	"646"	""	"646"	""
"153"	"101"	"16"	"301"	"12"	"4"	"2"	"2"	"3"	"340"	""	"340"	""
"154"	"101A"	"102"	"205"	"9"	"10"	"5"	"5"	"8"	"344"	""	"344"	""
"155"	"102"	"171"	"248"	"15"	"5"	"11"	"10"	"24"	"484"	""	"484"	""
"156"	"103"	"77"	"210"	"4"	"3"	"2"	"3"	"12"	"311"	""	"311"	""
"157"	"103A"	"64"	"201"	"18"	"5"	"3"	"3"	"8"	"302"	""	"302"	""
"158"	"104"	"140"	"199"	"4"	"3"	"8"	"3"	"5"	"362"	""	"362"	""
"159"	"105"	"177"	"216"	"15"	"3"	"7"	"5"	"9"	"432"	""	"432"	""
"160"	"Page Total"	"21118"	"24313"	"3112"	"640"	"1076"	"1006"	"1483"	"52748"	"0"	"52748"	"0"
"161"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"163"	"B.F."	"21118"	"24313"	"3112"	"640"	"1076"	"1006"	"1483"	"52748"	"0"	"52748"	"0"
"164"	"106"	"248"	"183"	"30"	"13"	"30"	"7"	"27"	"538"	""	"538"	""
"165"	"107"	"430"	"246"	"7"	"2"	"10"	"3"	"10"	"708"	""	"708"	""
"166"	"108"	"242"	"296"	"11"	"2"	"6"	"14"	"15"	"586"	""	"586"	""
"167"	"109"	"12"	"212"	"4"	"3"	"14"	"6"	"3"	"254"	""	"254"	""
"168"	"110"	"274"	"81"	"17"	"7"	"3"	"9"	"12"	"403"	""	"403"	""
"169"	"111"	"192"	"258"	"66"	"9"	"5"	"4"	"11"	"545"	""	"545"	""
"170"	"112"	"281"	"292"	"33"	"8"	"9"	"10"	"39"	"672"	""	"672"	""
"171"	"113"	"115"	"417"	"15"	"3"	"5"	"10"	"6"	"571"	""	"571"	""
"172"	"114"	"149"	"100"	"37"	"3"	"4"	"5"	"7"	"305"	""	"305"	""
"173"	"115"	"61"	"236"	"22"	"4"	"3"	"0"	"3"	"329"	""	"329"	""
"174"	"115A"	"79"	"207"	"18"	"4"	"7"	"3"	"20"	"338"	""	"338"	""
"175"	"116"	"200"	"327"	"23"	"13"	"14"	"25"	"47"	"649"	""	"649"	""
"176"	"117"	"178"	"246"	"19"	"3"	"5"	"8"	"19"	"478"	""	"478"	""
"177"	"118"	"183"	"259"	"30"	"7"	"6"	"8"	"12"	"505"	""	"505"	""
"178"	"Page Total"	"23762"	"27673"	"3444"	"721"	"1197"	"1118"	"1714"	"59629"	"0"	"59629"	"0"
"179"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"181"	"B.F."	"23762"	"27673"	"3444"	"721"	"1197"	"1118"	"1714"	"59629"	"0"	"59629"	"0"
"182"	"119"	"105"	"295"	"17"	"1"	"2"	"2"	"12"	"434"	""	"434"	""
"183"	"120"	"83"	"225"	"11"	"1"	"5"	"4"	"4"	"333"	""	"333"	""
"184"	"121"	"166"	"165"	"3"	"4"	"15"	"4"	"4"	"361"	""	"361"	""
"185"	"122"	"148"	"240"	"30"	"4"	"2"	"7"	"15"	"446"	""	"446"	""
"186"	"123"	"187"	"121"	"19"	"5"	"3"	"1"	"4"	"340"	""	"340"	""
"187"	"124"	"382"	"59"	"16"	"2"	"6"	"3"	"17"	"485"	""	"485"	""
"188"	"125"	"305"	"44"	"22"	"4"	"15"	"8"	"12"	"410"	""	"410"	""
"189"	"126"	"17"	"195"	"46"	"7"	"27"	"3"	"8"	"303"	""	"303"	""
"190"	"127"	"160"	"270"	"32"	"6"	"7"	"12"	"10"	"497"	""	"497"	""
"191"	"128"	"188"	"371"	"53"	"12"	"10"	"38"	"18"	"690"	""	"690"	""
"192"	"129"	"273"	"229"	"41"	"9"	"5"	"6"	"11"	"574"	""	"574"	""
"193"	"130"	"58"	"176"	"55"	"12"	"6"	"13"	"20"	"340"	""	"340"	""
"194"	"130A"	"253"	"132"	"19"	"7"	"3"	"7"	"8"	"429"	""	"429"	""
"195"	"131"	"194"	"187"	"24"	"6"	"2"	"2"	"8"	"423"	""	"423"	""
"196"	"Page Total"	"26281"	"30382"	"3832"	"801"	"1305"	"1228"	"1865"	"65694"	"0"	"65694"	"0"
"197"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"198"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"199"	"B.F."	"26281"	"30382"	"3832"	"801"	"1305"	"1228"	"1865"	"65694"	"0"	"65694"	"0"
"200"	"131A"	"191"	"203"	"26"	"1"	"6"	"4"	"6"	"437"	""	"437"	""
"201"	"132"	"141"	"208"	"32"	"0"	"2"	"1"	"11"	"395"	""	"395"	""
"202"	"132A"	"106"	"201"	"72"	"10"	"4"	"9"	"11"	"413"	""	"413"	""
"203"	"133"	"189"	"86"	"113"	"10"	"8"	"15"	"35"	"456"	""	"456"	""
"204"	"134"	"282"	"228"	"96"	"3"	"15"	"10"	"23"	"657"	""	"657"	""
"205"	"135"	"226"	"152"	"66"	"2"	"6"	"2"	"7"	"461"	""	"461"	""
"206"	"136"	"271"	"126"	"53"	"1"	"1"	"3"	"10"	"465"	""	"465"	""
"207"	"137"	"147"	"248"	"7"	"5"	"1"	"4"	"7"	"419"	""	"419"	""
"208"	"137A"	"174"	"155"	"5"	"5"	"4"	"4"	"5"	"352"	""	"352"	""
"209"	"138"	"303"	"222"	"39"	"8"	"4"	"12"	"13"	"601"	""	"601"	""
"210"	"139"	"138"	"338"	"14"	"1"	"4"	"5"	"5"	"505"	""	"505"	""
"211"	"140"	"404"	"189"	"48"	"6"	"10"	"8"	"28"	"693"	""	"693"	""
"212"	"141"	"248"	"73"	"144"	"11"	"7"	"6"	"13"	"502"	""	"502"	""
"213"	"142"	"152"	"157"	"4"	"5"	"10"	"1"	"12"	"341"	""	"341"	""
"214"	"Page Total"	"29253"	"32968"	"4551"	"869"	"1387"	"1312"	"2051"	"72391"	"0"	"72391"	"0"
"215"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"216"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"217"	"B.F."	"29253"	"32968"	"4551"	"869"	"1387"	"1312"	"2051"	"72391"	"0"	"72391"	"0"
"218"	"143"	"295"	"177"	"31"	"2"	"4"	"5"	"10"	"524"	""	"524"	""
"219"	"144"	"268"	"243"	"33"	"6"	"6"	"8"	"22"	"586"	""	"586"	""
"220"	"145"	"312"	"145"	"12"	"5"	"6"	"8"	"12"	"500"	""	"500"	""
"221"	"146"	"147"	"199"	"59"	"8"	"4"	"2"	"8"	"427"	""	"427"	""
"222"	"147"	"71"	"195"	"18"	"1"	"0"	"0"	"3"	"288"	""	"288"	""
"223"	"148"	"307"	"195"	"99"	"11"	"4"	"4"	"9"	"629"	""	"629"	""
"224"	"149"	"76"	"269"	"105"	"4"	"8"	"6"	"2"	"470"	""	"470"	""
"225"	"150"	"227"	"57"	"114"	"6"	"5"	"5"	"3"	"417"	""	"417"	""
"226"	"150A"	"149"	"206"	"80"	"7"	"7"	"2"	"5"	"456"	""	"456"	""
"227"	"151"	"234"	"206"	"46"	"5"	"8"	"13"	"29"	"541"	""	"541"	""
"228"	"152"	"242"	"163"	"78"	"7"	"4"	"12"	"26"	"532"	""	"532"	""
"229"	"153"	"127"	"136"	"115"	"2"	"5"	"1"	"6"	"392"	""	"392"	""
"230"	"154"	"94"	"152"	"30"	"5"	"8"	"13"	"11"	"313"	""	"313"	""
"231"	"155"	"93"	"137"	"33"	"2"	"2"	"6"	"3"	"276"	""	"276"	""
"232"	"Page Total"	"31895"	"35448"	"5404"	"940"	"1458"	"1397"	"2200"	"78742"	"0"	"78742"	"0"
"233"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"234"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"235"	"B.F."	"31895"	"35448"	"5404"	"940"	"1458"	"1397"	"2200"	"78742"	"0"	"78742"	"0"
"236"	"155A"	"71"	"160"	"71"	"3"	"11"	"15"	"15"	"346"	""	"346"	""
"237"	"156"	"285"	"69"	"159"	"12"	"8"	"0"	"5"	"538"	""	"538"	""
"238"	"157"	"155"	"239"	"49"	"3"	"4"	"3"	"4"	"457"	""	"457"	""
"239"	"158"	"102"	"143"	"29"	"2"	"6"	"6"	"3"	"291"	""	"291"	""
"240"	"159"	"89"	"306"	"20"	"1"	"3"	"5"	"5"	"429"	""	"429"	""
"241"	"160"	"50"	"258"	"8"	"1"	"1"	"1"	"1"	"320"	""	"320"	""
"242"	"161"	"37"	"138"	"10"	"4"	"3"	"3"	"1"	"196"	""	"196"	""
"243"	"162"	"106"	"246"	"10"	"1"	"14"	"3"	"11"	"391"	""	"391"	""
"244"	"163"	"204"	"109"	"8"	"0"	"9"	"4"	"4"	"338"	""	"338"	""
"245"	"163A"	"177"	"132"	"11"	"5"	"14"	"2"	"9"	"350"	""	"350"	""
"246"	"164"	"180"	"324"	"18"	"10"	"33"	"11"	"12"	"588"	""	"588"	""
"247"	"165"	"211"	"152"	"24"	"6"	"8"	"8"	"15"	"424"	""	"424"	""
"248"	"166"	"165"	"302"	"12"	"2"	"8"	"10"	"8"	"507"	""	"507"	""
