"No..and.Name.of.Assembly.Constituency.43..Parsa.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"39"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"41"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""
"42"	"25"	"6"	""	"42"	""	"170"	""	"16"	""	"10"	""	"244"	""	""	""	""	""	""	""
"43"	"26"	"8"	""	"79"	""	"148"	""	"9"	""	"9"	""	"253"	""	""	""	""	""	""	""
"44"	"27"	"27"	""	"225"	""	"159"	""	"20"	""	"28"	""	"459"	""	""	""	""	""	""	""
"45"	"27A"	"14"	""	"93"	""	"133"	""	"15"	""	"35"	""	"290"	""	""	""	""	""	""	""
"46"	"28"	"13"	""	"75"	""	"239"	""	"12"	""	"13"	""	"352"	""	""	""	""	""	""	""
"47"	"29"	"15"	""	"145"	""	"128"	""	"25"	""	"25"	""	"338"	""	""	""	""	""	""	""
"48"	"29A"	"4"	""	"105"	""	"128"	""	"11"	""	"6"	""	"254"	""	""	""	""	""	""	""
"49"	"30"	"21"	""	"210"	""	"218"	""	"22"	""	"27"	""	"498"	""	""	""	""	""	""	""
"50"	"31"	"8"	""	"54"	""	"149"	""	"21"	""	"17"	""	"249"	""	""	""	""	""	""	""
"51"	"31A"	"24"	""	"140"	""	"124"	""	"27"	""	"29"	""	"344"	""	""	""	""	""	""	""
"52"	"32"	"18"	""	"64"	""	"194"	""	"9"	""	"19"	""	"304"	""	""	""	""	""	""	""
"53"	"33"	"43"	""	"281"	""	"91"	""	"18"	""	"9"	""	"442"	""	""	""	""	""	""	""
"54"	"34"	"17"	""	"65"	""	"212"	""	"27"	""	"60"	""	"381"	""	""	""	""	""	""	""
"55"	"34A"	"8"	""	"55"	""	"168"	""	"19"	""	"27"	""	"277"	""	""	""	""	""	""	""
"56"	"Total"	"226"	""	"1633"	""	"2261"	""	"251"	""	"314"	""	"4685"	""	""	""	""	""	""	""
"57"	"No. and Name of Assembly Constituency-43- Parsa Round No.-04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"60"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"61"	"35"	"21"	""	"82"	""	"187"	""	"24"	""	"22"	""	"336"	""	""	""	""	""	""	""
"62"	"35A"	"18"	""	"55"	""	"227"	""	"17"	""	"17"	""	"334"	""	""	""	""	""	""	""
"63"	"36"	"17"	""	"59"	""	"235"	""	"17"	""	"28"	""	"356"	""	""	""	""	""	""	""
"64"	"37"	"9"	""	"105"	""	"154"	""	"5"	""	"17"	""	"290"	""	""	""	""	""	""	""
"65"	"38"	"20"	""	"113"	""	"224"	""	"33"	""	"24"	""	"414"	""	""	""	""	""	""	""
"66"	"39"	"11"	""	"110"	""	"215"	""	"21"	""	"28"	""	"385"	""	""	""	""	""	""	""
"67"	"39A"	"14"	""	"26"	""	"238"	""	"14"	""	"14"	""	"306"	""	""	""	""	""	""	""
"68"	"40"	"14"	""	"200"	""	"114"	""	"15"	""	"10"	""	"353"	""	""	""	""	""	""	""
"69"	"41"	"15"	""	"146"	""	"292"	""	"32"	""	"30"	""	"515"	""	""	""	""	""	""	""
"70"	"42"	"4"	""	"61"	""	"379"	""	"2"	""	"5"	""	"451"	""	""	""	""	""	""	""
"71"	"43"	"22"	""	"171"	""	"202"	""	"14"	""	"8"	""	"417"	""	""	""	""	""	""	""
"72"	"44"	"27"	""	"171"	""	"197"	""	"25"	""	"31"	""	"451"	""	""	""	""	""	""	""
"73"	"45"	"16"	""	"56"	""	"284"	""	"17"	""	"19"	""	"392"	""	""	""	""	""	""	""
"74"	"46"	"28"	""	"139"	""	"334"	""	"59"	""	"33"	""	"593"	""	""	""	""	""	""	""
"75"	"Total"	"236"	""	"1494"	""	"3282"	""	"295"	""	"286"	""	"5593"	""	""	""	""	""	""	""
"76"	"No. and Name of Assembly Constituency-43- Parsa Round No.-05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"79"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"80"	"47"	"21"	""	"48"	""	"294"	""	"9"	""	"7"	""	"379"	""	""	""	""	""	""	""
"81"	"48"	"20"	""	"126"	""	"80"	""	"9"	""	"25"	""	"260"	""	""	""	""	""	""	""
"82"	"48A"	"26"	""	"199"	""	"42"	""	"12"	""	"22"	""	"301"	""	""	""	""	""	""	""
"83"	"49"	"13"	""	"107"	""	"258"	""	"25"	""	"25"	""	"428"	""	""	""	""	""	""	""
"84"	"50"	"25"	""	"269"	""	"225"	""	"29"	""	"29"	""	"577"	""	""	""	""	""	""	""
"85"	"51"	"9"	""	"134"	""	"285"	""	"31"	""	"23"	""	"482"	""	""	""	""	""	""	""
"86"	"52"	"21"	""	"218"	""	"242"	""	"55"	""	"42"	""	"578"	""	""	""	""	""	""	""
"87"	"53"	"28"	""	"172"	""	"129"	""	"39"	""	"32"	""	"400"	""	""	""	""	""	""	""
"88"	"54"	"25"	""	"82"	""	"402"	""	"19"	""	"36"	""	"564"	""	""	""	""	""	""	""
"89"	"55"	"23"	""	"159"	""	"280"	""	"33"	""	"25"	""	"520"	""	""	""	""	""	""	""
"90"	"56"	"22"	""	"77"	""	"365"	""	"25"	""	"23"	""	"512"	""	""	""	""	""	""	""
"91"	"57"	"13"	""	"96"	""	"240"	""	"17"	""	"36"	""	"402"	""	""	""	""	""	""	""
"92"	"58"	"25"	""	"97"	""	"293"	""	"18"	""	"23"	""	"456"	""	""	""	""	""	""	""
"93"	"59"	"11"	""	"113"	""	"178"	""	"13"	""	"34"	""	"349"	""	""	""	""	""	""	""
"94"	"Total"	"282"	""	"1897"	""	"3313"	""	"334"	""	"382"	""	"6208"	""	""	""	""	""	""	""
"95"	"No. and Name of Assembly Constituency-43- Parsa Round No.-06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"98"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"99"	"60"	"18"	""	"81"	""	"221"	""	"30"	""	"50"	""	"400"	""	""	""	""	""	""	""
"100"	"61"	"7"	""	"35"	""	"327"	""	"18"	""	"35"	""	"422"	""	""	""	""	""	""	""
"101"	"62"	"14"	""	"206"	""	"193"	""	"9"	""	"32"	""	"454"	""	""	""	""	""	""	""
"102"	"63"	"5"	""	"142"	""	"183"	""	"21"	""	"7"	""	"358"	""	""	""	""	""	""	""
"103"	"64"	"13"	""	"78"	""	"156"	""	"16"	""	"12"	""	"275"	""	""	""	""	""	""	""
"104"	"65"	"40"	""	"157"	""	"341"	""	"61"	""	"38"	""	"637"	""	""	""	""	""	""	""
"105"	"66"	"18"	""	"373"	""	"133"	""	"48"	""	"33"	""	"605"	""	""	""	""	""	""	""
"106"	"67"	"20"	""	"87"	""	"258"	""	"16"	""	"20"	""	"401"	""	""	""	""	""	""	""
"107"	"67A"	"9"	""	"153"	""	"108"	""	"18"	""	"17"	""	"305"	""	""	""	""	""	""	""
"108"	"68"	"20"	""	"90"	""	"185"	""	"24"	""	"25"	""	"344"	""	""	""	""	""	""	""
"109"	"68A"	"12"	""	"55"	""	"155"	""	"10"	""	"20"	""	"252"	""	""	""	""	""	""	""
"110"	"69"	"18"	""	"102"	""	"256"	""	"44"	""	"37"	""	"457"	""	""	""	""	""	""	""
"111"	"70"	"26"	""	"129"	""	"180"	""	"14"	""	"35"	""	"384"	""	""	""	""	""	""	""
"112"	"71"	"16"	""	"153"	""	"244"	""	"10"	""	"15"	""	"438"	""	""	""	""	""	""	""
"113"	"Total"	"236"	""	"1841"	""	"2940"	""	"339"	""	"376"	""	"5732"	""	""	""	""	""	""	""
"114"	"No. and Name of Assembly Constituency-43- Parsa Round No.-07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"117"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"118"	"72"	"77"	""	"120"	""	"96"	""	"17"	""	"27"	""	"337"	""	""	""	""	""	""	""
"119"	"73"	"8"	""	"48"	""	"260"	""	"20"	""	"12"	""	"348"	""	""	""	""	""	""	""
"120"	"74"	"17"	""	"248"	""	"142"	""	"11"	""	"9"	""	"427"	""	""	""	""	""	""	""
"121"	"75"	"49"	""	"170"	""	"199"	""	"22"	""	"34"	""	"474"	""	""	""	""	""	""	""
"122"	"76"	"6"	""	"125"	""	"228"	""	"9"	""	"10"	""	"378"	""	""	""	""	""	""	""
"123"	"77"	"30"	""	"166"	""	"137"	""	"7"	""	"19"	""	"359"	""	""	""	""	""	""	""
"124"	"77A"	"11"	""	"73"	""	"165"	""	"19"	""	"22"	""	"290"	""	""	""	""	""	""	""
"125"	"78"	"13"	""	"113"	""	"223"	""	"24"	""	"22"	""	"395"	""	""	""	""	""	""	""
"126"	"79"	"4"	""	"39"	""	"191"	""	"7"	""	"1"	""	"242"	""	""	""	""	""	""	""
"127"	"80"	"12"	""	"97"	""	"343"	""	"20"	""	"19"	""	"491"	""	""	""	""	""	""	""
"128"	"81"	"6"	""	"63"	""	"94"	""	"9"	""	"8"	""	"180"	""	""	""	""	""	""	""
"129"	"82"	"30"	""	"187"	""	"74"	""	"9"	""	"13"	""	"313"	""	""	""	""	""	""	""
"130"	"82A"	"18"	""	"252"	""	"78"	""	"16"	""	"25"	""	"389"	""	""	""	""	""	""	""
"131"	"83"	"19"	""	"144"	""	"175"	""	"15"	""	"20"	""	"373"	""	""	""	""	""	""	""
"132"	"Total"	"300"	""	"1845"	""	"2405"	""	"205"	""	"241"	""	"4996"	""	""	""	""	""	""	""
"133"	"No. and Name of Assembly Constituency-43- Parsa Round No.-08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"136"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"137"	"84"	"26"	""	"164"	""	"217"	""	"27"	""	"21"	""	"455"	""	""	""	""	""	""	""
"138"	"85"	"19"	""	"151"	""	"210"	""	"14"	""	"9"	""	"403"	""	""	""	""	""	""	""
"139"	"86"	"6"	""	"126"	""	"101"	""	"8"	""	"12"	""	"253"	""	""	""	""	""	""	""
"140"	"87"	"30"	""	"264"	""	"193"	""	"12"	""	"20"	""	"519"	""	""	""	""	""	""	""
"141"	"88"	"17"	""	"119"	""	"237"	""	"31"	""	"39"	""	"443"	""	""	""	""	""	""	""
"142"	"89"	"9"	""	"72"	""	"132"	""	"37"	""	"26"	""	"276"	""	""	""	""	""	""	""
"143"	"89A"	"12"	""	"99"	""	"95"	""	"25"	""	"11"	""	"242"	""	""	""	""	""	""	""
"144"	"90"	"11"	""	"21"	""	"311"	""	"23"	""	"22"	""	"388"	""	""	""	""	""	""	""
"145"	"91"	"13"	""	"77"	""	"272"	""	"28"	""	"28"	""	"418"	""	""	""	""	""	""	""
"146"	"92"	"35"	""	"57"	""	"194"	""	"13"	""	"15"	""	"314"	""	""	""	""	""	""	""
"147"	"93"	"15"	""	"80"	""	"153"	""	"9"	""	"4"	""	"261"	""	""	""	""	""	""	""
"148"	"94"	"21"	""	"185"	""	"139"	""	"30"	""	"34"	""	"409"	""	""	""	""	""	""	""
"149"	"95"	"25"	""	"168"	""	"171"	""	"41"	""	"26"	""	"431"	""	""	""	""	""	""	""
"150"	"96"	"19"	""	"148"	""	"252"	""	"22"	""	"26"	""	"467"	""	""	""	""	""	""	""
"151"	"Total"	"258"	""	"1731"	""	"2677"	""	"320"	""	"293"	""	"5279"	""	""	""	""	""	""	""
"152"	"No. and Name of Assembly Constituency-43- Parsa Round No.-09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"155"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"156"	"97"	"19"	""	"198"	""	"212"	""	"25"	""	"26"	""	"480"	""	""	""	""	""	""	""
"157"	"98"	"51"	""	"174"	""	"189"	""	"32"	""	"27"	""	"473"	""	""	""	""	""	""	""
"158"	"99"	"6"	""	"57"	""	"188"	""	"10"	""	"10"	""	"271"	""	""	""	""	""	""	""
"159"	"99A"	"9"	""	"56"	""	"118"	""	"6"	""	"7"	""	"196"	""	""	""	""	""	""	""
"160"	"100"	"10"	""	"61"	""	"164"	""	"33"	""	"20"	""	"288"	""	""	""	""	""	""	""
"161"	"100A"	"6"	""	"73"	""	"106"	""	"9"	""	"11"	""	"205"	""	""	""	""	""	""	""
"162"	"101"	"26"	""	"91"	""	"143"	""	"24"	""	"18"	""	"302"	""	""	""	""	""	""	""
"163"	"101A"	"18"	""	"125"	""	"166"	""	"15"	""	"14"	""	"338"	""	""	""	""	""	""	""
"164"	"102"	"15"	""	"79"	""	"262"	""	"29"	""	"16"	""	"401"	""	""	""	""	""	""	""
"165"	"103"	"15"	""	"157"	""	"214"	""	"96"	""	"22"	""	"504"	""	""	""	""	""	""	""
"166"	"104"	"5"	""	"147"	""	"317"	""	"22"	""	"9"	""	"500"	""	""	""	""	""	""	""
"167"	"105"	"40"	""	"100"	""	"329"	""	"18"	""	"20"	""	"507"	""	""	""	""	""	""	""
"168"	"106"	"13"	""	"53"	""	"214"	""	"14"	""	"20"	""	"314"	""	""	""	""	""	""	""
"169"	"106A"	"20"	""	"79"	""	"179"	""	"10"	""	"14"	""	"302"	""	""	""	""	""	""	""
"170"	"Total"	"253"	""	"1450"	""	"2801"	""	"343"	""	"234"	""	"5081"	""	""	""	""	""	""	""
"171"	"No. and Name of Assembly Constituency-43- Parsa Round No.-10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"174"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"175"	"107"	"51"	""	"156"	""	"219"	""	"15"	""	"23"	""	"464"	""	""	""	""	""	""	""
"176"	"108"	"20"	""	"167"	""	"196"	""	"11"	""	"24"	""	"418"	""	""	""	""	""	""	""
"177"	"109"	"11"	""	"397"	""	"142"	""	"32"	""	"19"	""	"601"	""	""	""	""	""	""	""
"178"	"110"	"28"	""	"124"	""	"206"	""	"33"	""	"34"	""	"425"	""	""	""	""	""	""	""
"179"	"111"	"5"	""	"63"	""	"324"	""	"12"	""	"11"	""	"415"	""	""	""	""	""	""	""
"180"	"112"	"14"	""	"246"	""	"203"	""	"13"	""	"12"	""	"488"	""	""	""	""	""	""	""
"181"	"113"	"7"	""	"210"	""	"92"	""	"13"	""	"6"	""	"328"	""	""	""	""	""	""	""
"182"	"114"	"10"	""	"111"	""	"223"	""	"18"	""	"12"	""	"374"	""	""	""	""	""	""	""
"183"	"114A"	"17"	""	"206"	""	"104"	""	"11"	""	"6"	""	"344"	""	""	""	""	""	""	""
"184"	"115"	"18"	""	"188"	""	"129"	""	"11"	""	"14"	""	"360"	""	""	""	""	""	""	""
"185"	"116"	"19"	""	"63"	""	"225"	""	"24"	""	"35"	""	"366"	""	""	""	""	""	""	""
"186"	"116A"	"38"	""	"139"	""	"140"	""	"10"	""	"26"	""	"353"	""	""	""	""	""	""	""
"187"	"117"	"23"	""	"280"	""	"173"	""	"15"	""	"19"	""	"510"	""	""	""	""	""	""	""
"188"	"118"	"15"	""	"96"	""	"198"	""	"15"	""	"9"	""	"333"	""	""	""	""	""	""	""
"189"	"Total"	"276"	""	"2446"	""	"2574"	""	"233"	""	"250"	""	"5779"	""	""	""	""	""	""	""
"190"	"No. and Name of Assembly Constituency-43- Parsa Round No.-11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"193"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"194"	"119"	"26"	""	"197"	""	"205"	""	"45"	""	"37"	""	"510"	""	""	""	""	""	""	""
"195"	"120"	"69"	""	"210"	""	"187"	""	"23"	""	"31"	""	"520"	""	""	""	""	""	""	""
"196"	"121"	"6"	""	"49"	""	"48"	""	"280"	""	"49"	""	"432"	""	""	""	""	""	""	""
"197"	"122"	"25"	""	"182"	""	"98"	""	"21"	""	"16"	""	"342"	""	""	""	""	""	""	""
"198"	"123"	"17"	""	"99"	""	"88"	""	"27"	""	"127"	""	"358"	""	""	""	""	""	""	""
"199"	"124"	"7"	""	"108"	""	"125"	""	"18"	""	"30"	""	"288"	""	""	""	""	""	""	""
"200"	"125"	"13"	""	"167"	""	"92"	""	"45"	""	"11"	""	"328"	""	""	""	""	""	""	""
"201"	"126"	"10"	""	"223"	""	"90"	""	"171"	""	"14"	""	"508"	""	""	""	""	""	""	""
"202"	"127"	"16"	""	"156"	""	"113"	""	"13"	""	"19"	""	"317"	""	""	""	""	""	""	""
"203"	"128"	"7"	""	"139"	""	"85"	""	"15"	""	"6"	""	"252"	""	""	""	""	""	""	""
"204"	"129"	"13"	""	"140"	""	"152"	""	"39"	""	"18"	""	"362"	""	""	""	""	""	""	""
"205"	"130"	"82"	""	"212"	""	"187"	""	"76"	""	"35"	""	"592"	""	""	""	""	""	""	""
"206"	"131"	"25"	""	"224"	""	"221"	""	"111"	""	"18"	""	"599"	""	""	""	""	""	""	""
"207"	"132"	"13"	""	"122"	""	"325"	""	"106"	""	"22"	""	"588"	""	""	""	""	""	""	""
"208"	"Total"	"329"	""	"2228"	""	"2016"	""	"990"	""	"433"	""	"5996"	""	""	""	""	""	""	""
"209"	"No. and Name of Assembly Constituency-43- Parsa Round No.-12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"212"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"213"	"133"	"16"	""	"178"	""	"110"	""	"11"	""	"9"	""	"324"	""	""	""	""	""	""	""
"214"	"133A"	"13"	""	"146"	""	"100"	""	"22"	""	"32"	""	"313"	""	""	""	""	""	""	""
"215"	"134"	"20"	""	"139"	""	"113"	""	"16"	""	"19"	""	"307"	""	""	""	""	""	""	""
"216"	"135"	"13"	""	"307"	""	"111"	""	"33"	""	"2"	""	"466"	""	""	""	""	""	""	""
"217"	"136"	"3"	""	"434"	""	"12"	""	"12"	""	"5"	""	"466"	""	""	""	""	""	""	""
"218"	"137"	"2"	""	"531"	""	"6"	""	"2"	""	"1"	""	"542"	""	""	""	""	""	""	""
"219"	"138"	"20"	""	"332"	""	"33"	""	"2"	""	"7"	""	"394"	""	""	""	""	""	""	""
"220"	"139"	"24"	""	"426"	""	"67"	""	"10"	""	"16"	""	"543"	""	""	""	""	""	""	""
"221"	"140"	"7"	""	"201"	""	"19"	""	"4"	""	"5"	""	"236"	""	""	""	""	""	""	""
"222"	"141"	"7"	""	"146"	""	"159"	""	"4"	""	"8"	""	"324"	""	""	""	""	""	""	""
