"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X014.DHAKA.F"	"orm.20"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"33"	"27"	""	"760"	"3"	"134"	"68"	"87"	"4"	"1"	"27"	"1"	"2"	"11"	"5"	"10"	"350"
"34"	"28"	""	"1293"	"4"	"36"	"44"	"84"	"12"	"151"	"126"	"8"	"8"	"12"	"38"	"11"	"530"
"35"	"29"	""	"949"	"4"	"188"	"75"	"131"	"10"	"5"	"3"	"4"	"1"	"10"	"10"	"11"	"448"
"36"	"29"	"A"	"566"	"4"	"40"	"54"	"98"	"6"	"3"	"22"	"0"	"6"	"11"	"3"	"5"	"248"
"37"	"30"	""	"949"	"4"	"54"	"307"	"56"	"8"	"2"	"8"	"10"	"14"	"18"	"46"	"29"	"552"
"38"	"30"	"A"	"562"	"4"	"48"	"96"	"26"	"3"	"4"	"8"	"2"	"4"	"11"	"13"	"11"	"226"
"39"	"31"	""	"1315"	"4"	"288"	"253"	"21"	"9"	"4"	"12"	"4"	"8"	"7"	"22"	"29"	"657"
"40"	"32"	""	"1283"	"4"	"243"	"277"	"35"	"11"	"2"	"2"	"8"	"7"	"24"	"31"	"16"	"656"
"41"	"33"	""	"960"	"4"	"80"	"264"	"50"	"2"	"3"	"1"	"1"	"2"	"9"	"19"	"9"	"440"
"42"	"34"	""	"998"	"4"	"169"	"202"	"73"	"2"	"1"	"5"	"6"	"8"	"8"	"21"	"16"	"511"
"43"	"35"	""	"685"	"4"	"15"	"51"	"93"	"6"	"1"	"56"	"3"	"4"	"4"	"2"	"8"	"243"
"44"	"36"	""	"1151"	"5"	"38"	"216"	"71"	"7"	"6"	"28"	"7"	"3"	"11"	"19"	"11"	"417"
"45"	"37"	""	"1171"	"5"	"67"	"117"	"101"	"7"	"2"	"81"	"12"	"11"	"17"	"19"	"43"	"477"
"46"	"38"	""	"885"	"5"	"61"	"274"	"17"	"6"	"2"	"10"	"4"	"8"	"10"	"28"	"19"	"439"
"47"	"39"	""	"958"	"5"	"13"	"238"	"53"	"6"	"9"	"92"	"4"	"6"	"11"	"46"	"31"	"509"
"48"	"39"	"A"	"542"	"5"	"8"	"64"	"17"	"0"	"0"	"26"	"1"	"2"	"1"	"5"	"5"	"129"
"49"	"40"	""	"1123"	"5"	"16"	"195"	"98"	"13"	"6"	"79"	"8"	"5"	"3"	"14"	"9"	"446"
"50"	"41"	""	"1126"	"5"	"83"	"331"	"21"	"0"	"4"	"12"	"3"	"5"	"7"	"23"	"26"	"515"
"51"	"42"	""	"1131"	"5"	"33"	"64"	"291"	"15"	"8"	"26"	"10"	"10"	"12"	"8"	"16"	"493"
"52"	"43"	""	"1207"	"5"	"65"	"324"	"101"	"8"	"3"	"7"	"4"	"4"	"7"	"23"	"8"	"554"
"53"	"44"	""	"671"	"5"	"19"	"216"	"37"	"10"	"5"	"10"	"3"	"5"	"16"	"18"	"15"	"354"
"54"	""	""	""	""	""	""	"014-DHAKA F"	"orm 20"	""	""	""	""	""	""	""	""
"55"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"56"	"Booth No."	"Ext"	"Voters"	"Round"	"AWANISH KUMAR SINGH"	"BHAI PAWAN JAISHWAL"	"MANOJ KUMAR SINGH"	"SUDHIR KUMAR SINGH"	"KAYEEMUDDIN"	"NEK MOHAMAD"	"PRABHU RAI"	"BACHCHA MANDAL"	"RAJ KISHORE SINGH"	"RAJ KUMAR BAITHA"	"SITA RAM SINGH"	"Total"
"57"	"1"	"2"	"4"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"58"	"45"	""	"1189"	"6"	"8"	"502"	"39"	"5"	"4"	"3"	"6"	"2"	"12"	"15"	"25"	"621"
"59"	"46"	""	"1149"	"6"	"17"	"513"	"22"	"2"	"0"	"4"	"1"	"1"	"2"	"9"	"4"	"575"
"60"	"47"	""	"1005"	"6"	"37"	"69"	"38"	"0"	"1"	"63"	"2"	"3"	"1"	"2"	"7"	"223"
"61"	"48"	""	"935"	"6"	"16"	"119"	"28"	"2"	"1"	"59"	"0"	"2"	"1"	"7"	"4"	"239"
"62"	"49"	""	"742"	"6"	"13"	"130"	"80"	"1"	"0"	"21"	"0"	"2"	"3"	"4"	"2"	"256"
"63"	"50"	""	"1015"	"6"	"60"	"76"	"146"	"9"	"2"	"34"	"2"	"4"	"8"	"8"	"5"	"354"
"64"	"51"	""	"742"	"6"	"27"	"151"	"90"	"3"	"4"	"23"	"5"	"3"	"13"	"20"	"17"	"356"
"65"	"52"	""	"1144"	"6"	"16"	"161"	"156"	"16"	"3"	"30"	"3"	"8"	"14"	"17"	"13"	"437"
"66"	"53"	""	"1190"	"6"	"47"	"150"	"154"	"15"	"2"	"31"	"3"	"3"	"7"	"13"	"21"	"446"
"67"	"54"	""	"1063"	"6"	"32"	"159"	"40"	"5"	"2"	"38"	"4"	"9"	"4"	"8"	"14"	"315"
"68"	"55"	""	"1019"	"7"	"12"	"49"	"126"	"7"	"3"	"42"	"2"	"2"	"3"	"6"	"20"	"272"
"69"	"55"	"A"	"479"	"7"	"6"	"10"	"39"	"2"	"2"	"61"	"3"	"2"	"1"	"2"	"8"	"136"
"70"	"56"	""	"1339"	"7"	"268"	"163"	"21"	"3"	"1"	"9"	"6"	"9"	"6"	"16"	"12"	"514"
"71"	"57"	""	"1387"	"7"	"208"	"214"	"34"	"3"	"1"	"4"	"2"	"1"	"10"	"18"	"14"	"509"
"72"	"58"	""	"1286"	"7"	"139"	"174"	"87"	"9"	"6"	"38"	"3"	"10"	"14"	"9"	"28"	"517"
"73"	"59"	""	"845"	"7"	"68"	"82"	"36"	"5"	"20"	"41"	"1"	"0"	"5"	"10"	"11"	"279"
"74"	"60"	""	"937"	"7"	"242"	"114"	"13"	"6"	"0"	"17"	"6"	"4"	"11"	"6"	"19"	"438"
"75"	"60"	"A"	"517"	"7"	"82"	"30"	"31"	"1"	"1"	"25"	"2"	"1"	"0"	"4"	"11"	"188"
"76"	"61"	""	"586"	"7"	"21"	"46"	"35"	"5"	"6"	"128"	"7"	"2"	"8"	"5"	"5"	"268"
"77"	"62"	""	"953"	"7"	"148"	"122"	"75"	"4"	"4"	"78"	"2"	"5"	"0"	"10"	"8"	"456"
"78"	"62"	"A"	"618"	"8"	"133"	"88"	"38"	"3"	"2"	"21"	"2"	"2"	"1"	"2"	"4"	"296"
"79"	"63"	""	"1060"	"8"	"168"	"192"	"184"	"4"	"0"	"4"	"2"	"2"	"5"	"3"	"4"	"568"
"80"	"64"	""	"919"	"8"	"124"	"256"	"29"	"2"	"1"	"2"	"9"	"6"	"10"	"11"	"13"	"463"
"81"	"65"	""	"1066"	"8"	"93"	"45"	"73"	"3"	"4"	"143"	"6"	"5"	"3"	"5"	"12"	"392"
"82"	"66"	""	"1181"	"8"	"87"	"27"	"143"	"9"	"5"	"58"	"0"	"1"	"2"	"2"	"5"	"339"
"83"	"67"	""	"960"	"8"	"183"	"123"	"88"	"11"	"12"	"63"	"10"	"5"	"12"	"9"	"30"	"546"
"84"	"67"	"A"	"530"	"8"	"155"	"43"	"44"	"4"	"0"	"3"	"1"	"2"	"6"	"5"	"7"	"270"
"85"	"68"	""	"1213"	"8"	"35"	"235"	"84"	"17"	"5"	"24"	"7"	"14"	"16"	"29"	"23"	"489"
"86"	"69"	""	"940"	"8"	"98"	"270"	"32"	"8"	"1"	"3"	"2"	"6"	"7"	"18"	"18"	"463"
"87"	"70"	""	"971"	"8"	"191"	"198"	"38"	"5"	"2"	"10"	"7"	"4"	"8"	"13"	"29"	"505"
"88"	"71"	""	"1154"	"9"	"113"	"339"	"13"	"8"	"7"	"15"	"9"	"16"	"20"	"19"	"32"	"591"
"89"	"72"	""	"980"	"9"	"207"	"133"	"47"	"7"	"4"	"13"	"6"	"6"	"7"	"16"	"22"	"468"
"90"	"73"	""	"964"	"9"	"256"	"65"	"41"	"9"	"7"	"68"	"8"	"4"	"7"	"18"	"30"	"513"
"91"	"73"	"A"	"529"	"9"	"66"	"22"	"29"	"3"	"1"	"24"	"2"	"2"	"2"	"7"	"5"	"163"
"92"	"74"	""	"906"	"9"	"165"	"37"	"80"	"3"	"5"	"74"	"1"	"3"	"4"	"5"	"10"	"387"
"93"	"75"	""	"1018"	"9"	"58"	"60"	"118"	"7"	"3"	"139"	"8"	"3"	"12"	"7"	"11"	"426"
"94"	"76"	""	"987"	"9"	"68"	"79"	"64"	"6"	"5"	"166"	"4"	"12"	"5"	"13"	"13"	"435"
"95"	"76"	"A"	"525"	"9"	"44"	"52"	"80"	"0"	"1"	"28"	"0"	"0"	"1"	"0"	"2"	"208"
"96"	"77"	""	"986"	"9"	"355"	"193"	"7"	"3"	"1"	"15"	"4"	"2"	"7"	"7"	"15"	"609"
"97"	"77"	"A"	"583"	"9"	"222"	"87"	"9"	"0"	"0"	"23"	"4"	"3"	"2"	"5"	"6"	"361"
"98"	"78"	""	"1189"	"10"	"8"	"17"	"11"	"0"	"2"	"572"	"1"	"0"	"0"	"0"	"0"	"611"
"99"	"79"	""	"986"	"10"	"33"	"28"	"125"	"7"	"2"	"240"	"8"	"1"	"0"	"2"	"6"	"452"
"100"	"80"	""	"784"	"10"	"234"	"84"	"43"	"2"	"1"	"22"	"3"	"2"	"1"	"4"	"2"	"398"
"101"	"81"	""	"920"	"10"	"93"	"137"	"158"	"7"	"3"	"56"	"2"	"2"	"6"	"4"	"13"	"481"
"102"	"82"	""	"1124"	"10"	"262"	"93"	"66"	"4"	"6"	"90"	"3"	"1"	"4"	"8"	"18"	"555"
"103"	"83"	""	"971"	"10"	"23"	"80"	"116"	"8"	"9"	"160"	"6"	"1"	"3"	"5"	"9"	"420"
"104"	"83"	"A"	"439"	"10"	"20"	"31"	"57"	"1"	"1"	"57"	"5"	"0"	"2"	"5"	"0"	"179"
"105"	"84"	""	"1382"	"10"	"288"	"84"	"34"	"6"	"5"	"187"	"5"	"5"	"3"	"5"	"16"	"638"
"106"	"85"	""	"1390"	"10"	"60"	"98"	"181"	"5"	"5"	"222"	"12"	"4"	"13"	"11"	"10"	"621"
"107"	"86"	""	"1056"	"10"	"27"	"54"	"144"	"0"	"16"	"197"	"2"	"3"	"6"	"1"	"9"	"459"
"108"	""	""	""	""	""	""	"014-DHAKA F"	"orm 20"	""	""	""	""	""	""	""	""
"109"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"110"	"Booth No."	"Ext"	"Voters"	"Round"	"AWANISH KUMAR SINGH"	"BHAI PAWAN JAISHWAL"	"MANOJ KUMAR SINGH"	"SUDHIR KUMAR SINGH"	"KAYEEMUDDIN"	"NEK MOHAMAD"	"PRABHU RAI"	"BACHCHA MANDAL"	"RAJ KISHORE SINGH"	"RAJ KUMAR BAITHA"	"SITA RAM SINGH"	"Total"
"111"	"1"	"2"	"4"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"112"	"87"	""	"1099"	"11"	"101"	"76"	"80"	"7"	"10"	"165"	"7"	"2"	"11"	"10"	"14"	"483"
"113"	"88"	""	"1093"	"11"	"452"	"71"	"70"	"5"	"4"	"3"	"5"	"4"	"5"	"4"	"13"	"636"
"114"	"89"	""	"980"	"11"	"167"	"160"	"18"	"3"	"3"	"25"	"4"	"7"	"6"	"23"	"25"	"441"
"115"	"90"	""	"882"	"11"	"193"	"183"	"14"	"7"	"2"	"4"	"7"	"6"	"8"	"19"	"22"	"465"
"116"	"91"	""	"670"	"11"	"16"	"58"	"6"	"0"	"2"	"118"	"2"	"2"	"6"	"1"	"2"	"213"
"117"	"92"	""	"1381"	"11"	"458"	"115"	"24"	"4"	"2"	"0"	"7"	"5"	"6"	"7"	"9"	"637"
"118"	"93"	""	"1258"	"11"	"350"	"177"	"65"	"7"	"2"	"3"	"2"	"8"	"7"	"13"	"19"	"653"
"119"	"94"	""	"941"	"11"	"131"	"146"	"84"	"6"	"3"	"4"	"10"	"8"	"11"	"9"	"12"	"424"
"120"	"95"	""	"1235"	"11"	"162"	"137"	"68"	"5"	"3"	"42"	"2"	"7"	"3"	"7"	"9"	"445"
"121"	"96"	""	"947"	"11"	"85"	"113"	"101"	"7"	"3"	"26"	"2"	"4"	"11"	"13"	"11"	"376"
"122"	"97"	""	"893"	"12"	"57"	"54"	"76"	"5"	"2"	"103"	"2"	"4"	"4"	"1"	"7"	"315"
"123"	"98"	""	"968"	"12"	"127"	"82"	"196"	"4"	"3"	"4"	"6"	"8"	"6"	"12"	"17"	"465"
"124"	"98"	"A"	"508"	"12"	"8"	"12"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"30"
"125"	"99"	""	"782"	"12"	"49"	"64"	"161"	"9"	"3"	"4"	"2"	"6"	"5"	"5"	"10"	"318"
"126"	"100"	""	"1207"	"12"	"98"	"199"	"127"	"8"	"5"	"5"	"2"	"7"	"13"	"16"	"30"	"510"
"127"	"101"	""	"1314"	"12"	"198"	"324"	"34"	"6"	"3"	"2"	"2"	"7"	"15"	"24"	"37"	"652"
"128"	"102"	""	"872"	"12"	"108"	"207"	"24"	"4"	"2"	"11"	"5"	"2"	"7"	"22"	"6"	"398"
"129"	"102"	"A"	"642"	"12"	"186"	"73"	"9"	"1"	"2"	"3"	"1"	"3"	"9"	"15"	"12"	"314"
"130"	"103"	""	"923"	"12"	"176"	"160"	"46"	"15"	"2"	"1"	"5"	"2"	"2"	"11"	"8"	"428"
"131"	"104"	""	"843"	"12"	"44"	"164"	"41"	"10"	"16"	"135"	"5"	"3"	"12"	"10"	"21"	"461"
"132"	"105"	""	"1015"	"13"	"197"	"298"	"8"	"5"	"4"	"2"	"4"	"5"	"12"	"18"	"25"	"578"
"133"	"106"	""	"957"	"13"	"108"	"265"	"30"	"9"	"2"	"10"	"8"	"12"	"19"	"42"	"33"	"538"
"134"	"107"	""	"983"	"13"	"112"	"208"	"16"	"6"	"1"	"1"	"2"	"3"	"8"	"21"	"21"	"399"
"135"	"107"	"A"	"448"	"13"	"65"	"38"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"110"
"136"	"108"	""	"1073"	"13"	"161"	"146"	"14"	"2"	"1"	"1"	"1"	"5"	"10"	"18"	"16"	"375"
"137"	"109"	""	"951"	"13"	"286"	"194"	"10"	"3"	"1"	"2"	"0"	"1"	"8"	"7"	"12"	"524"
"138"	"110"	""	"1342"	"13"	"41"	"152"	"10"	"7"	"9"	"184"	"6"	"6"	"10"	"14"	"18"	"457"
"139"	"111"	""	"968"	"13"	"257"	"84"	"2"	"2"	"2"	"58"	"2"	"0"	"3"	"4"	"9"	"423"
"140"	"112"	""	"875"	"13"	"128"	"42"	"11"	"5"	"4"	"98"	"3"	"3"	"6"	"4"	"13"	"317"
"141"	"112"	"A"	"750"	"13"	"30"	"111"	"20"	"4"	"0"	"79"	"3"	"2"	"5"	"8"	"16"	"278"
"142"	"113"	""	"921"	"14"	"302"	"137"	"21"	"6"	"0"	"8"	"1"	"5"	"4"	"7"	"18"	"509"
"143"	"113"	"A"	"606"	"14"	"31"	"80"	"57"	"4"	"4"	"17"	"5"	"2"	"2"	"6"	"3"	"211"
"144"	"114"	""	"977"	"14"	"273"	"125"	"40"	"2"	"1"	"16"	"4"	"1"	"4"	"8"	"21"	"495"
"145"	"114"	"A"	"448"	"14"	"121"	"36"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"5"	"170"
"146"	"115"	""	"971"	"14"	"15"	"22"	"136"	"4"	"1"	"104"	"1"	"0"	"5"	"1"	"6"	"295"
"147"	"115"	"A"	"449"	"14"	"13"	"5"	"22"	"0"	"0"	"62"	"0"	"1"	"1"	"0"	"1"	"105"
"148"	"116"	""	"919"	"14"	"47"	"70"	"36"	"6"	"5"	"95"	"5"	"2"	"5"	"3"	"10"	"284"
"149"	"116"	"A"	"664"	"14"	"27"	"17"	"10"	"5"	"1"	"49"	"3"	"2"	"1"	"2"	"2"	"119"
"150"	"117"	""	"939"	"14"	"13"	"60"	"104"	"11"	"4"	"31"	"3"	"5"	"2"	"6"	"3"	"242"
"151"	"117"	"A"	"519"	"14"	"11"	"47"	"43"	"3"	"2"	"10"	"2"	"4"	"6"	"6"	"9"	"143"
"152"	"118"	""	"982"	"15"	"18"	"16"	"121"	"14"	"3"	"29"	"3"	"1"	"5"	"6"	"15"	"231"
"153"	"119"	""	"978"	"15"	"20"	"31"	"123"	"6"	"1"	"21"	"5"	"2"	"2"	"5"	"8"	"224"
"154"	"120"	""	"987"	"15"	"51"	"25"	"205"	"5"	"0"	"36"	"4"	"0"	"3"	"2"	"7"	"338"
"155"	"120"	"A"	"470"	"15"	"8"	"3"	"91"	"1"	"0"	"66"	"1"	"0"	"2"	"1"	"2"	"175"
"156"	"121"	""	"1242"	"15"	"86"	"18"	"208"	"12"	"3"	"78"	"3"	"0"	"6"	"2"	"11"	"427"
"157"	"122"	""	"956"	"15"	"263"	"124"	"12"	"3"	"3"	"3"	"5"	"2"	"8"	"10"	"27"	"460"
"158"	"122"	"A"	"448"	"15"	"42"	"17"	"9"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"71"
"159"	"123"	""	"955"	"15"	"304"	"61"	"9"	"3"	"0"	"3"	"5"	"4"	"3"	"4"	"4"	"400"
"160"	"123"	"A"	"545"	"15"	"94"	"21"	"51"	"4"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"176"
"161"	"124"	""	"857"	"15"	"108"	"50"	"37"	"5"	"7"	"155"	"6"	"4"	"3"	"3"	"10"	"388"
"162"	""	""	""	""	""	""	"014-DHAKA F"	"orm 20"	""	""	""	""	""	""	""	""
"163"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"164"	"Booth No."	"Ext"	"Voters"	"Round"	"AWANISH KUMAR SINGH"	"BHAI PAWAN JAISHWAL"	"MANOJ KUMAR SINGH"	"SUDHIR KUMAR SINGH"	"KAYEEMUDDIN"	"NEK MOHAMAD"	"PRABHU RAI"	"BACHCHA MANDAL"	"RAJ KISHORE SINGH"	"RAJ KUMAR BAITHA"	"SITA RAM SINGH"	"Total"
"165"	"1"	"2"	"4"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"166"	"125"	""	"962"	"16"	"135"	"84"	"62"	"3"	"2"	"143"	"2"	"0"	"4"	"2"	"8"	"445"
"167"	"126"	""	"1066"	"16"	"266"	"155"	"28"	"9"	"4"	"32"	"7"	"8"	"19"	"30"	"30"	"588"
"168"	"127"	""	"892"	"16"	"250"	"68"	"105"	"12"	"2"	"8"	"2"	"2"	"7"	"5"	"9"	"470"
"169"	"128"	""	"878"	"16"	"111"	"54"	"193"	"4"	"3"	"3"	"6"	"2"	"3"	"13"	"17"	"409"
"170"	"129"	""	"1199"	"16"	"73"	"14"	"439"	"17"	"10"	"8"	"5"	"7"	"7"	"3"	"17"	"600"
"171"	"130"	""	"791"	"16"	"31"	"34"	"283"	"14"	"1"	"3"	"4"	"12"	"4"	"1"	"8"	"395"
"172"	"131"	""	"989"	"16"	"93"	"185"	"213"	"11"	"4"	"3"	"7"	"5"	"18"	"22"	"21"	"582"
"173"	"132"	""	"973"	"16"	"114"	"137"	"178"	"14"	"4"	"2"	"3"	"3"	"4"	"10"	"16"	"485"
"174"	"133"	""	"689"	"16"	"143"	"69"	"138"	"7"	"6"	"3"	"6"	"5"	"6"	"11"	"14"	"408"
"175"	"134"	""	"981"	"16"	"130"	"201"	"97"	"8"	"4"	"5"	"7"	"15"	"33"	"41"	"41"	"582"
"176"	"134"	"A"	"467"	"17"	"51"	"106"	"60"	"3"	"2"	"2"	"1"	"3"	"15"	"10"	"14"	"267"
"177"	"135"	""	"946"	"17"	"184"	"133"	"73"	"7"	"3"	"8"	"6"	"9"	"18"	"15"	"34"	"490"
"178"	"135"	"A"	"544"	"17"	"47"	"196"	"19"	"3"	"1"	"3"	"4"	"5"	"14"	"14"	"15"	"321"
"179"	"136"	""	"866"	"17"	"277"	"119"	"19"	"5"	"4"	"2"	"4"	"1"	"5"	"18"	"22"	"476"
"180"	"137"	""	"1007"	"17"	"152"	"316"	"45"	"10"	"2"	"1"	"9"	"4"	"20"	"40"	"37"	"636"
"181"	"138"	""	"1017"	"17"	"184"	"97"	"112"	"10"	"1"	"4"	"5"	"15"	"17"	"17"	"28"	"490"
"182"	"139"	""	"547"	"17"	"49"	"78"	"144"	"17"	"3"	"0"	"5"	"4"	"14"	"5"	"18"	"337"
"183"	"140"	""	"995"	"17"	"159"	"148"	"153"	"14"	"5"	"2"	"4"	"13"	"9"	"9"	"12"	"528"
"184"	"140"	"A"	"512"	"17"	"38"	"101"	"66"	"9"	"5"	"2"	"2"	"6"	"11"	"5"	"11"	"256"
"185"	"141"	""	"910"	"17"	"161"	"107"	"51"	"5"	"3"	"4"	"2"	"0"	"5"	"14"	"16"	"368"
"186"	"142"	""	"928"	"18"	"201"	"108"	"78"	"6"	"2"	"3"	"2"	"6"	"6"	"14"	"13"	"439"
"187"	"143"	""	"935"	"18"	"284"	"71"	"12"	"2"	"0"	"4"	"1"	"2"	"5"	"4"	"10"	"395"
"188"	"143"	"A"	"491"	"18"	"109"	"75"	"14"	"0"	"1"	"5"	"1"	"2"	"5"	"4"	"11"	"227"
"189"	"144"	""	"1298"	"18"	"113"	"202"	"257"	"6"	"3"	"8"	"5"	"0"	"8"	"17"	"32"	"651"
"190"	"145"	""	"480"	"18"	"100"	"122"	"186"	"7"	"4"	"3"	"2"	"10"	"19"	"27"	"33"	"513"
"191"	"145"	"A"	"1046"	"18"	"114"	"60"	"56"	"5"	"1"	"3"	"4"	"2"	"7"	"6"	"10"	"268"
"192"	"146"	""	"1319"	"18"	"222"	"154"	"204"	"15"	"6"	"3"	"9"	"2"	"15"	"13"	"6"	"649"
"193"	"147"	""	"1172"	"18"	"214"	"114"	"125"	"4"	"4"	"3"	"5"	"5"	"7"	"12"	"37"	"530"
"194"	"148"	""	"1283"	"18"	"237"	"131"	"144"	"20"	"3"	"2"	"3"	"6"	"5"	"6"	"13"	"570"
"195"	"149"	""	"1009"	"18"	"128"	"126"	"125"	"23"	"6"	"46"	"6"	"6"	"9"	"10"	"13"	"498"
"196"	"149"	"A"	"496"	"19"	"63"	"52"	"29"	"1"	"0"	"2"	"1"	"1"	"2"	"6"	"12"	"169"
"197"	"150"	""	"1037"	"19"	"50"	"95"	"79"	"20"	"7"	"128"	"9"	"6"	"7"	"8"	"17"	"426"
"198"	"150"	"A"	"560"	"19"	"20"	"24"	"25"	"3"	"2"	"76"	"3"	"3"	"7"	"4"	"5"	"172"
"199"	"151"	""	"1085"	"19"	"200"	"213"	"19"	"1"	"2"	"5"	"2"	"6"	"5"	"14"	"36"	"503"
"200"	"152"	""	"1042"	"19"	"236"	"202"	"7"	"3"	"2"	"8"	"4"	"3"	"3"	"12"	"17"	"497"
