"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"36"	"20 A"	"82"	"31"	"89"	"65"	"1"	"1"	"2"	"3"	"4"	"11"	"289"	"0"	"289"	"0"
"37"	"21"	"148"	"184"	"215"	"63"	"5"	"7"	"2"	"3"	"4"	"8"	"639"	"0"	"639"	"0"
"38"	"22"	"72"	"418"	"70"	"16"	"3"	"5"	"3"	"5"	"2"	"10"	"604"	"0"	"604"	"0"
"39"	"23"	"147"	"53"	"114"	"85"	"6"	"5"	"4"	"4"	"5"	"3"	"426"	"0"	"426"	"0"
"40"	"24"	"213"	"73"	"155"	"83"	"1"	"2"	"3"	"7"	"2"	"10"	"549"	"0"	"549"	"0"
"41"	"25"	"101"	"145"	"68"	"241"	"9"	"6"	"17"	"2"	"5"	"8"	"602"	"0"	"602"	"0"
"42"	"26"	"192"	"30"	"237"	"55"	"1"	"1"	"7"	"7"	"0"	"5"	"535"	"0"	"535"	"0"
"43"	"TOTAL"	"4262"	"3519"	"3682"	"2015"	"124"	"64"	"87"	"209"	"77"	"193"	"14232"	"0"	"14232"	"0"
"44"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"47"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"48"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"49"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"50"	"BF"	"4262"	"3519"	"3682"	"2015"	"124"	"64"	"87"	"209"	"77"	"193"	"14232"	"0"	"14232"	"0"
"51"	"27"	"128"	"92"	"66"	"58"	"0"	"3"	"0"	"1"	"1"	"2"	"351"	"0"	"351"	"0"
"52"	"28"	"118"	"95"	"195"	"171"	"8"	"2"	"11"	"5"	"2"	"9"	"616"	"0"	"616"	"0"
"53"	"29"	"8"	"336"	"75"	"6"	"0"	"1"	"1"	"1"	"1"	"1"	"430"	"0"	"430"	"0"
"54"	"29 A"	"12"	"286"	"145"	"61"	"5"	"1"	"1"	"2"	"5"	"9"	"527"	"0"	"527"	"0"
"55"	"30"	"147"	"217"	"108"	"103"	"16"	"5"	"3"	"1"	"1"	"3"	"604"	"0"	"604"	"0"
"56"	"31"	"262"	"87"	"112"	"125"	"9"	"4"	"6"	"1"	"3"	"4"	"613"	"0"	"613"	"0"
"57"	"32"	"160"	"145"	"271"	"161"	"7"	"21"	"3"	"3"	"3"	"10"	"784"	"0"	"784"	"0"
"58"	"33"	"119"	"394"	"57"	"178"	"3"	"3"	"2"	"2"	"5"	"2"	"765"	"0"	"765"	"0"
"59"	"34"	"30"	"220"	"29"	"78"	"3"	"4"	"3"	"2"	"2"	"3"	"374"	"0"	"374"	"0"
"60"	"34 A"	"19"	"591"	"48"	"68"	"2"	"6"	"3"	"4"	"1"	"5"	"747"	"0"	"747"	"0"
"61"	"35"	"131"	"171"	"20"	"431"	"4"	"2"	"5"	"1"	"1"	"1"	"767"	"0"	"767"	"0"
"62"	"36"	"134"	"181"	"31"	"50"	"4"	"2"	"1"	"0"	"3"	"1"	"407"	"0"	"407"	"0"
"63"	"37"	"138"	"105"	"53"	"60"	"3"	"1"	"1"	"6"	"1"	"1"	"369"	"0"	"369"	"0"
"64"	"37 A"	"163"	"87"	"14"	"39"	"4"	"1"	"2"	"2"	"1"	"4"	"317"	"0"	"317"	"0"
"65"	"TOTAL"	"5831"	"6526"	"4906"	"3604"	"192"	"120"	"129"	"240"	"107"	"248"	"21903"	"0"	"21903"	"0"
"66"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"69"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"70"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"71"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"72"	"BF"	"5831"	"6526"	"4906"	"3604"	"192"	"120"	"129"	"240"	"107"	"248"	"21903"	"0"	"21903"	"0"
"73"	"38"	"142"	"88"	"27"	"45"	"4"	"0"	"0"	"0"	"1"	"3"	"310"	"0"	"310"	"0"
"74"	"39"	"144"	"119"	"19"	"23"	"1"	"2"	"1"	"0"	"0"	"1"	"310"	"0"	"310"	"0"
"75"	"40"	"111"	"98"	"25"	"14"	"0"	"0"	"0"	"0"	"0"	"4"	"252"	"0"	"252"	"0"
"76"	"41"	"132"	"98"	"80"	"30"	"3"	"7"	"1"	"4"	"2"	"2"	"359"	"0"	"359"	"0"
"77"	"41 A"	"53"	"95"	"18"	"7"	"0"	"2"	"0"	"3"	"1"	"2"	"181"	"0"	"181"	"0"
"78"	"42"	"103"	"53"	"97"	"32"	"6"	"1"	"1"	"2"	"0"	"2"	"297"	"0"	"297"	"0"
"79"	"42 A"	"58"	"71"	"122"	"11"	"5"	"2"	"3"	"2"	"1"	"2"	"277"	"0"	"277"	"0"
"80"	"43"	"224"	"152"	"75"	"29"	"1"	"2"	"0"	"1"	"1"	"6"	"491"	"0"	"491"	"0"
"81"	"44"	"113"	"62"	"69"	"17"	"4"	"1"	"0"	"7"	"0"	"2"	"275"	"0"	"275"	"0"
"82"	"45"	"224"	"246"	"71"	"13"	"5"	"2"	"1"	"5"	"4"	"6"	"577"	"0"	"577"	"0"
"83"	"46"	"123"	"99"	"443"	"14"	"0"	"12"	"3"	"6"	"1"	"7"	"708"	"0"	"708"	"0"
"84"	"47"	"91"	"180"	"152"	"16"	"4"	"138"	"0"	"2"	"1"	"6"	"590"	"0"	"590"	"0"
"85"	"48"	"355"	"63"	"61"	"16"	"1"	"33"	"0"	"2"	"0"	"3"	"534"	"0"	"534"	"0"
"86"	"49"	"256"	"288"	"58"	"25"	"2"	"2"	"2"	"2"	"1"	"5"	"641"	"0"	"641"	"0"
"87"	"TOTAL"	"7960"	"8238"	"6223"	"3896"	"228"	"324"	"141"	"276"	"120"	"299"	"27705"	"0"	"27705"	"0"
"88"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"91"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"92"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"93"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"94"	"BF"	"7960"	"8238"	"6223"	"3896"	"228"	"324"	"141"	"276"	"120"	"299"	"27705"	"0"	"27705"	"0"
"95"	"50"	"183"	"104"	"47"	"22"	"3"	"0"	"0"	"0"	"3"	"3"	"365"	"0"	"365"	"0"
"96"	"51"	"254"	"171"	"32"	"6"	"0"	"5"	"1"	"0"	"0"	"1"	"470"	"0"	"470"	"0"
"97"	"52"	"204"	"112"	"35"	"10"	"0"	"1"	"1"	"7"	"1"	"3"	"374"	"0"	"374"	"0"
"98"	"52 A"	"188"	"105"	"15"	"8"	"2"	"2"	"2"	"5"	"3"	"8"	"338"	"0"	"338"	"0"
"99"	"53"	"134"	"183"	"96"	"55"	"2"	"2"	"2"	"6"	"1"	"6"	"487"	"0"	"487"	"0"
"100"	"53 A"	"91"	"117"	"104"	"24"	"5"	"6"	"1"	"0"	"2"	"5"	"355"	"0"	"355"	"0"
"101"	"54"	"204"	"243"	"149"	"29"	"8"	"3"	"1"	"2"	"4"	"6"	"649"	"0"	"649"	"0"
"102"	"55"	"128"	"94"	"194"	"23"	"1"	"4"	"1"	"2"	"1"	"7"	"455"	"0"	"455"	"0"
"103"	"55 A"	"105"	"76"	"59"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"245"	"0"	"245"	"0"
"104"	"56"	"125"	"43"	"393"	"61"	"25"	"31"	"2"	"5"	"1"	"5"	"691"	"0"	"691"	"0"
"105"	"57"	"122"	"186"	"131"	"8"	"2"	"0"	"0"	"3"	"4"	"9"	"465"	"0"	"465"	"0"
"106"	"58"	"95"	"87"	"164"	"17"	"8"	"0"	"1"	"1"	"1"	"2"	"376"	"0"	"376"	"0"
"107"	"59"	"363"	"96"	"127"	"141"	"8"	"3"	"6"	"11"	"7"	"36"	"798"	"0"	"798"	"0"
"108"	"60"	"10"	"79"	"63"	"39"	"0"	"2"	"1"	"1"	"0"	"1"	"196"	"0"	"196"	"0"
"109"	"TOTAL"	"10166"	"9934"	"7832"	"4341"	"293"	"383"	"160"	"320"	"149"	"391"	"33969"	"0"	"33969"	"0"
"110"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"113"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"114"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"115"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"116"	"BF"	"10166"	"9934"	"7832"	"4341"	"293"	"383"	"160"	"320"	"149"	"391"	"33969"	"0"	"33969"	"0"
"117"	"60 A"	"88"	"76"	"164"	"13"	"1"	"1"	"0"	"0"	"2"	"1"	"346"	"0"	"346"	"0"
"118"	"61"	"96"	"337"	"24"	"7"	"0"	"2"	"7"	"1"	"0"	"4"	"478"	"0"	"478"	"0"
"119"	"62"	"159"	"69"	"76"	"62"	"10"	"1"	"5"	"0"	"2"	"0"	"384"	"0"	"384"	"0"
"120"	"63"	"31"	"62"	"335"	"10"	"5"	"1"	"0"	"2"	"3"	"2"	"451"	"0"	"451"	"0"
"121"	"64"	"144"	"56"	"134"	"53"	"62"	"5"	"0"	"2"	"1"	"4"	"461"	"0"	"461"	"0"
"122"	"65"	"274"	"100"	"50"	"10"	"0"	"3"	"2"	"1"	"0"	"7"	"447"	"0"	"447"	"0"
"123"	"66"	"64"	"167"	"43"	"128"	"58"	"6"	"14"	"8"	"2"	"16"	"506"	"0"	"506"	"0"
"124"	"67"	"55"	"105"	"64"	"144"	"16"	"53"	"4"	"2"	"2"	"6"	"451"	"0"	"451"	"0"
"125"	"68"	"43"	"61"	"378"	"15"	"6"	"3"	"1"	"5"	"1"	"13"	"526"	"0"	"526"	"0"
"126"	"69"	"34"	"68"	"69"	"150"	"93"	"9"	"1"	"1"	"1"	"5"	"431"	"0"	"431"	"0"
"127"	"69 A"	"82"	"18"	"130"	"65"	"26"	"0"	"3"	"2"	"0"	"5"	"331"	"0"	"331"	"0"
"128"	"70"	"142"	"68"	"36"	"31"	"3"	"15"	"1"	"0"	"1"	"3"	"300"	"0"	"300"	"0"
"129"	"71"	"23"	"107"	"108"	"123"	"1"	"1"	"2"	"1"	"0"	"4"	"370"	"0"	"370"	"0"
"130"	"72"	"20"	"105"	"267"	"72"	"3"	"0"	"3"	"2"	"0"	"1"	"473"	"0"	"473"	"0"
"131"	"TOTAL"	"11421"	"11333"	"9710"	"5224"	"577"	"483"	"203"	"347"	"164"	"462"	"39924"	"0"	"39924"	"0"
"132"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"135"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"136"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"137"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"138"	"BF"	"11421"	"11333"	"9710"	"5224"	"577"	"483"	"203"	"347"	"164"	"462"	"39924"	"0"	"39924"	"0"
"139"	"73"	"143"	"61"	"22"	"72"	"1"	"2"	"2"	"0"	"1"	"9"	"313"	"0"	"313"	"0"
"140"	"73 A"	"67"	"155"	"108"	"91"	"2"	"1"	"3"	"1"	"4"	"2"	"434"	"0"	"434"	"0"
"141"	"74"	"87"	"157"	"283"	"64"	"11"	"10"	"1"	"6"	"2"	"3"	"624"	"0"	"624"	"0"
"142"	"75"	"56"	"252"	"324"	"12"	"0"	"2"	"1"	"0"	"1"	"0"	"648"	"0"	"648"	"0"
"143"	"76"	"212"	"91"	"113"	"29"	"7"	"2"	"1"	"0"	"2"	"0"	"457"	"0"	"457"	"0"
"144"	"77"	"420"	"15"	"20"	"33"	"38"	"3"	"1"	"2"	"5"	"7"	"544"	"0"	"544"	"0"
"145"	"78"	"71"	"163"	"156"	"52"	"4"	"0"	"5"	"3"	"1"	"4"	"459"	"0"	"459"	"0"
"146"	"79"	"92"	"176"	"86"	"10"	"2"	"0"	"1"	"3"	"2"	"4"	"376"	"0"	"376"	"0"
"147"	"80"	"213"	"8"	"91"	"16"	"0"	"0"	"0"	"2"	"0"	"0"	"330"	"0"	"330"	"0"
"148"	"81"	"152"	"30"	"159"	"29"	"2"	"3"	"6"	"2"	"0"	"3"	"386"	"0"	"386"	"0"
"149"	"82"	"43"	"87"	"275"	"130"	"5"	"3"	"6"	"3"	"3"	"10"	"565"	"0"	"565"	"0"
"150"	"83"	"35"	"124"	"170"	"39"	"4"	"38"	"5"	"3"	"4"	"5"	"427"	"0"	"427"	"0"
"151"	"84"	"22"	"188"	"88"	"142"	"0"	"1"	"1"	"3"	"1"	"4"	"450"	"0"	"450"	"0"
"152"	"85"	"60"	"148"	"136"	"154"	"4"	"1"	"2"	"1"	"0"	"2"	"508"	"0"	"508"	"0"
"153"	"TOTAL"	"13094"	"12988"	"11741"	"6097"	"657"	"549"	"238"	"376"	"190"	"515"	"46445"	"0"	"46445"	"0"
"154"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"157"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"158"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"159"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"160"	"BF"	"13094"	"12988"	"11741"	"6097"	"657"	"549"	"238"	"376"	"190"	"515"	"46445"	"0"	"46445"	"0"
"161"	"86"	"121"	"40"	"121"	"85"	"3"	"0"	"3"	"1"	"2"	"4"	"380"	"0"	"380"	"0"
"162"	"86 A"	"53"	"62"	"49"	"204"	"6"	"1"	"2"	"1"	"0"	"5"	"383"	"0"	"383"	"0"
"163"	"87"	"22"	"222"	"107"	"14"	"54"	"2"	"2"	"5"	"5"	"11"	"444"	"0"	"444"	"0"
"164"	"88"	"187"	"96"	"25"	"52"	"57"	"6"	"1"	"6"	"2"	"2"	"434"	"0"	"434"	"0"
"165"	"89"	"179"	"72"	"99"	"68"	"19"	"1"	"1"	"5"	"3"	"5"	"452"	"0"	"452"	"0"
"166"	"90"	"127"	"36"	"74"	"40"	"1"	"2"	"1"	"1"	"2"	"4"	"288"	"0"	"288"	"0"
"167"	"91"	"106"	"205"	"68"	"121"	"29"	"4"	"7"	"99"	"7"	"9"	"655"	"0"	"655"	"0"
"168"	"92"	"156"	"233"	"151"	"208"	"12"	"6"	"1"	"4"	"4"	"11"	"786"	"0"	"786"	"0"
"169"	"93"	"29"	"382"	"116"	"33"	"1"	"4"	"1"	"2"	"2"	"5"	"575"	"0"	"575"	"0"
"170"	"93 A"	"31"	"122"	"76"	"5"	"3"	"0"	"1"	"2"	"2"	"2"	"244"	"0"	"244"	"0"
"171"	"94"	"180"	"103"	"118"	"21"	"2"	"0"	"0"	"16"	"6"	"6"	"452"	"0"	"452"	"0"
"172"	"94 A"	"199"	"17"	"33"	"7"	"0"	"0"	"0"	"2"	"0"	"2"	"260"	"0"	"260"	"0"
"173"	"95"	"241"	"40"	"154"	"31"	"21"	"11"	"2"	"9"	"3"	"9"	"521"	"0"	"521"	"0"
"174"	"96"	"146"	"7"	"64"	"32"	"20"	"1"	"5"	"10"	"4"	"3"	"292"	"0"	"292"	"0"
"175"	"TOTAL"	"14871"	"14625"	"12996"	"7018"	"885"	"587"	"265"	"539"	"232"	"593"	"52611"	"0"	"52611"	"0"
"176"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"179"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"180"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"181"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"182"	"BF"	"14871"	"14625"	"12996"	"7018"	"885"	"587"	"265"	"539"	"232"	"593"	"52611"	"0"	"52611"	"0"
"183"	"97"	"110"	"103"	"150"	"62"	"96"	"12"	"5"	"2"	"8"	"14"	"562"	"0"	"562"	"0"
"184"	"98"	"264"	"23"	"103"	"9"	"84"	"7"	"4"	"9"	"4"	"7"	"514"	"0"	"514"	"0"
"185"	"99"	"63"	"107"	"216"	"168"	"12"	"7"	"3"	"1"	"0"	"6"	"583"	"0"	"583"	"0"
"186"	"100"	"193"	"95"	"79"	"223"	"89"	"5"	"0"	"2"	"0"	"3"	"689"	"0"	"689"	"0"
"187"	"101"	"256"	"16"	"199"	"34"	"1"	"0"	"0"	"1"	"0"	"2"	"509"	"0"	"509"	"0"
"188"	"102"	"185"	"5"	"17"	"27"	"39"	"0"	"2"	"13"	"2"	"3"	"293"	"0"	"293"	"0"
"189"	"103"	"297"	"149"	"74"	"95"	"115"	"5"	"5"	"7"	"6"	"23"	"776"	"0"	"776"	"0"
