"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"31"	"26"	"36"	"183"	"22"	"212"	"14"	"467"	""	"467"	""
"32"	"27"	"75"	"136"	"28"	"172"	"26"	"437"	""	"437"	""
"33"	"28"	"73"	"99"	"32"	"358"	"53"	"615"	""	"615"	""
"34"	"29"	"98"	"148"	"11"	"95"	"6"	"358"	""	"358"	""
"35"	"30"	"68"	"109"	"14"	"251"	"13"	"455"	""	"455"	""
"36"	"31"	"27"	"167"	"15"	"147"	"19"	"375"	""	"375"	""
"37"	"31&d"	"19"	"31"	"13"	"259"	"11"	"333"	""	"333"	""
"38"	"32"	"52"	"89"	"10"	"236"	"48"	"435"	""	"435"	""
"39"	"33"	"61"	"147"	"18"	"246"	"28"	"500"	""	"500"	""
"40"	"34"	"30"	"166"	"13"	"52"	"14"	"275"	""	"275"	""
"41"	"35"	"134"	"108"	"9"	"137"	"12"	"400"	""	"400"	""
"42"	"36"	"108"	"66"	"16"	"127"	"7"	"324"	""	"324"	""
"43"	"37"	"122"	"168"	"17"	"151"	"23"	"481"	""	"481"	""
"44"	"38"	"90"	"97"	"23"	"111"	"36"	"357"	""	"357"	""
"45"	"39"	"140"	"61"	"19"	"235"	"28"	"483"	""	"483"	""
"46"	"40"	"46"	"85"	"11"	"114"	"21"	"277"	""	"277"	""
"47"	"41"	"41"	"153"	"12"	"203"	"20"	"429"	""	"429"	""
"48"	"42"	"23"	"257"	"20"	"126"	"25"	"451"	""	"451"	""
"49"	"43"	"18"	"145"	"7"	"99"	"7"	"276"	""	"276"	""
"50"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"51"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"52"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"53"	"44"	"32"	"164"	"7"	"203"	"13"	"419"	""	"419"	""
"54"	"45"	"30"	"188"	"15"	"195"	"10"	"438"	""	"438"	""
"55"	"46"	"63"	"87"	"16"	"267"	"25"	"458"	""	"458"	""
"56"	"47"	"51"	"73"	"10"	"279"	"24"	"437"	""	"437"	""
"57"	"48"	"85"	"51"	"14"	"285"	"18"	"453"	""	"453"	""
"58"	"49"	"22"	"113"	"11"	"96"	"24"	"266"	""	"266"	""
"59"	"50"	"32"	"216"	"16"	"216"	"21"	"501"	""	"501"	""
"60"	"51"	"27"	"112"	"15"	"39"	"9"	"202"	""	"202"	""
"61"	"52"	"48"	"219"	"16"	"109"	"16"	"408"	""	"408"	""
"62"	"52&d"	"38"	"88"	"22"	"178"	"30"	"356"	""	"356"	""
"63"	"53"	"31"	"243"	"13"	"213"	"24"	"524"	""	"524"	""
"64"	"54"	"15"	"169"	"14"	"143"	"14"	"355"	""	"355"	""
"65"	"55"	"6"	"136"	"15"	"162"	"5"	"324"	""	"324"	""
"66"	"56"	"17"	"198"	"21"	"271"	"22"	"529"	""	"529"	""
"67"	"57"	"11"	"290"	"8"	"393"	"13"	"715"	""	"715"	""
"68"	"58"	"68"	"292"	"23"	"249"	"23"	"655"	""	"655"	""
"69"	"59"	"19"	"222"	"11"	"283"	"9"	"544"	""	"544"	""
"70"	"60"	"14"	"274"	"13"	"224"	"24"	"549"	""	"549"	""
"71"	"61"	"76"	"111"	"17"	"182"	"7"	"393"	""	"393"	""
"72"	"61&d"	"70"	"138"	"20"	"84"	"35"	"347"	""	"347"	""
"73"	"62"	"65"	"243"	"21"	"225"	"28"	"582"	""	"582"	""
"74"	"63"	"23"	"165"	"17"	"190"	"9"	"404"	""	"404"	""
"75"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"76"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"77"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"78"	"64"	"148"	"171"	"14"	"113"	"6"	"452"	""	"452"	""
"79"	"65"	"243"	"10"	"7"	"66"	"7"	"333"	""	"333"	""
"80"	"66"	"144"	"141"	"16"	"123"	"16"	"440"	""	"440"	""
"81"	"67"	"104"	"239"	"20"	"251"	"25"	"639"	""	"639"	""
"82"	"68"	"28"	"159"	"17"	"351"	"8"	"563"	""	"563"	""
"83"	"69"	"52"	"162"	"26"	"141"	"20"	"401"	""	"401"	""
"84"	"70"	"116"	"99"	"13"	"152"	"22"	"402"	""	"402"	""
"85"	"71"	"98"	"120"	"14"	"202"	"15"	"449"	""	"449"	""
"86"	"72"	"105"	"69"	"9"	"236"	"11"	"430"	""	"430"	""
"87"	"73"	"302"	"55"	"17"	"99"	"21"	"494"	""	"494"	""
"88"	"74"	"150"	"93"	"20"	"204"	"15"	"482"	""	"482"	""
"89"	"75"	"17"	"111"	"11"	"148"	"7"	"294"	""	"294"	""
"90"	"76"	"85"	"147"	"14"	"218"	"21"	"485"	""	"485"	""
"91"	"77"	"150"	"30"	"29"	"245"	"39"	"493"	""	"493"	""
"92"	"78"	"222"	"315"	"21"	"72"	"9"	"639"	""	"639"	""
"93"	"79"	"64"	"192"	"16"	"163"	"15"	"450"	""	"450"	""
"94"	"80"	"28"	"259"	"15"	"119"	"12"	"433"	""	"433"	""
"95"	"81"	"92"	"86"	"16"	"62"	"25"	"281"	""	"281"	""
"96"	"82"	"112"	"132"	"12"	"66"	"14"	"336"	""	"336"	""
"97"	"83"	"87"	"122"	"21"	"147"	"10"	"387"	""	"387"	""
"98"	"84"	"121"	"98"	"25"	"152"	"22"	"418"	""	"418"	""
"99"	"85"	"38"	"105"	"11"	"128"	"13"	"295"	""	"295"	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"103"	"85&d"	"117"	"43"	"22"	"124"	"13"	"319"	""	"319"	""
"104"	"86"	"243"	"92"	"10"	"315"	"6"	"666"	""	"666"	""
"105"	"87"	"29"	"187"	"21"	"69"	"9"	"315"	""	"315"	""
"106"	"87&d"	"50"	"108"	"15"	"185"	"11"	"369"	""	"369"	""
"107"	"88"	"184"	"28"	"6"	"102"	"7"	"327"	""	"327"	""
"108"	"89"	"159"	"32"	"13"	"236"	"13"	"453"	""	"453"	""
"109"	"90"	"232"	"83"	"11"	"106"	"16"	"448"	""	"448"	""
"110"	"91"	"186"	"81"	"10"	"80"	"5"	"362"	""	"362"	""
"111"	"92"	"135"	"118"	"9"	"106"	"8"	"376"	""	"376"	""
"112"	"92&d"	"130"	"35"	"10"	"82"	"13"	"270"	""	"270"	""
"113"	"93"	"88"	"18"	"14"	"169"	"8"	"297"	""	"297"	""
"114"	"94"	"41"	"173"	"9"	"96"	"12"	"331"	""	"331"	""
"115"	"95"	"146"	"41"	"18"	"367"	"26"	"598"	""	"598"	""
"116"	"96"	"35"	"81"	"14"	"162"	"11"	"303"	""	"303"	""
"117"	"97"	"22"	"184"	"10"	"132"	"10"	"358"	""	"358"	""
"118"	"98"	"130"	"224"	"20"	"116"	"13"	"503"	""	"503"	""
"119"	"99"	"131"	"48"	"15"	"114"	"18"	"326"	""	"326"	""
"120"	"99&d"	"215"	"29"	"9"	"43"	"7"	"303"	""	"303"	""
"121"	"100"	"58"	"93"	"30"	"287"	"17"	"485"	""	"485"	""
"122"	"101"	"83"	"92"	"28"	"170"	"36"	"409"	""	"409"	""
"123"	"102"	"67"	"126"	"9"	"49"	"7"	"258"	""	"258"	""
"124"	"103"	"193"	"23"	"7"	"66"	"6"	"295"	""	"295"	""
"125"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"126"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"127"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"128"	"103&d"	"55"	"141"	"14"	"50"	"7"	"267"	""	"267"	""
"129"	"104"	"43"	"101"	"13"	"218"	"43"	"418"	""	"418"	""
"130"	"105"	"115"	"112"	"19"	"93"	"16"	"355"	""	"355"	""
"131"	"106"	"75"	"114"	"16"	"159"	"15"	"379"	""	"379"	""
"132"	"107"	"76"	"54"	"4"	"154"	"5"	"293"	""	"293"	""
"133"	"108"	"51"	"241"	"7"	"91"	"9"	"399"	""	"399"	""
"134"	"108&d"	"45"	"141"	"11"	"115"	"7"	"319"	""	"319"	""
"135"	"109"	"19"	"161"	"16"	"115"	"13"	"324"	""	"324"	""
"136"	"109&d"	"75"	"153"	"6"	"117"	"4"	"355"	""	"355"	""
"137"	"110"	"212"	"209"	"20"	"109"	"24"	"574"	""	"574"	""
"138"	"111"	"127"	"65"	"6"	"100"	"7"	"305"	""	"305"	""
"139"	"112"	"14"	"135"	"14"	"116"	"11"	"290"	""	"290"	""
"140"	"112&d"	"11"	"130"	"5"	"161"	"7"	"314"	""	"314"	""
"141"	"113"	"209"	"64"	"21"	"110"	"16"	"420"	""	"420"	""
"142"	"114"	"110"	"102"	"15"	"179"	"19"	"425"	""	"425"	""
"143"	"115"	"213"	"119"	"17"	"196"	"18"	"563"	""	"563"	""
"144"	"116"	"162"	"97"	"20"	"173"	"29"	"481"	""	"481"	""
"145"	"117"	"60"	"207"	"14"	"65"	"11"	"357"	""	"357"	""
"146"	"118"	"145"	"91"	"8"	"30"	"1"	"275"	""	"275"	""
"147"	"119"	"170"	"59"	"3"	"106"	"5"	"343"	""	"343"	""
"148"	"120"	"39"	"88"	"17"	"110"	"12"	"266"	""	"266"	""
"149"	"121"	"53"	"269"	"20"	"64"	"10"	"416"	""	"416"	""
"150"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"151"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"152"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"153"	"122"	"65"	"212"	"9"	"60"	"9"	"355"	""	"355"	""
"154"	"123"	"43"	"445"	"7"	"70"	"16"	"581"	""	"581"	""
"155"	"124"	"232"	"139"	"12"	"129"	"9"	"521"	""	"521"	""
"156"	"125"	"559"	"35"	"13"	"51"	"13"	"671"	""	"671"	""
"157"	"126"	"244"	"40"	"12"	"152"	"18"	"466"	""	"466"	""
"158"	"127"	"97"	"75"	"15"	"168"	"15"	"370"	""	"370"	""
"159"	"128"	"100"	"49"	"3"	"169"	"95"	"3"	""	"3"	""
"160"	"129"	"97"	"110"	"16"	"172"	"17"	"412"	""	"412"	""
"161"	"130"	"246"	"106"	"6"	"78"	"9"	"445"	""	"445"	""
"162"	"131"	"272"	"27"	"15"	"112"	"30"	"456"	""	"456"	""
"163"	"132"	"96"	"25"	"22"	"240"	"31"	"414"	""	"414"	""
"164"	"132&d"	"22"	"82"	"12"	"137"	"19"	"272"	""	"272"	""
"165"	"133"	"171"	"47"	"35"	"164"	"16"	"433"	""	"433"	""
"166"	"134"	"315"	"71"	"15"	"48"	"25"	"474"	""	"474"	""
"167"	"135"	"261"	"17"	"5"	"33"	"14"	"330"	""	"330"	""
"168"	"136"	"103"	"14"	"5"	"154"	"20"	"296"	""	"296"	""
"169"	"137"	"172"	"13"	"15"	"95"	"3"	"298"	""	"298"	""
"170"	"138"	"280"	"24"	"16"	"94"	"10"	"424"	""	"424"	""
"171"	"139"	"225"	"41"	"28"	"242"	"32"	"568"	""	"568"	""
"172"	"140"	"215"	"101"	"18"	"154"	"20"	"508"	""	"508"	""
"173"	"141"	"240"	"196"	"18"	"77"	"12"	"543"	""	"543"	""
"174"	"142"	"167"	"50"	"17"	"146"	"31"	"411"	""	"411"	""
"175"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"176"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"177"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"178"	"143"	"52"	"121"	"15"	"183"	"28"	"399"	""	"399"	""
"179"	"144"	"72"	"117"	"17"	"81"	"27"	"314"	""	"314"	""
"180"	"145"	"56"	"42"	"5"	"57"	"12"	"172"	""	"172"	""
"181"	"146"	"61"	"129"	"9"	"150"	"13"	"362"	""	"362"	""
"182"	"147"	"98"	"36"	"8"	"108"	"6"	"256"	""	"256"	""
"183"	"148"	"402"	"22"	"9"	"70"	"12"	"515"	""	"515"	""
"184"	"149"	"260"	"20"	"14"	"26"	"8"	"328"	""	"328"	""
"185"	"150"	"188"	"82"	"14"	"137"	"15"	"436"	""	"436"	""
"186"	"151"	"246"	"17"	"13"	"70"	"13"	"359"	""	"359"	""
"187"	"152"	"311"	"35"	"15"	"123"	"7"	"491"	""	"491"	""
"188"	"153"	"439"	"28"	"3"	"59"	"6"	"535"	""	"535"	""
"189"	"154"	"274"	"77"	"17"	"76"	"29"	"473"	""	"473"	""
"190"	"155"	"74"	"162"	"19"	"50"	"31"	"336"	""	"336"	""
"191"	"156"	"76"	"207"	"9"	"88"	"6"	"386"	""	"386"	""
"192"	"157"	"137"	"63"	"10"	"97"	"14"	"321"	""	"321"	""
"193"	"158"	"162"	"19"	"12"	"61"	"21"	"275"	""	"275"	""
"194"	"159"	"181"	"90"	"14"	"62"	"5"	"352"	""	"352"	""
"195"	"160"	"52"	"233"	"33"	"235"	"22"	"575"	""	"575"	""
"196"	"161"	"104"	"154"	"18"	"122"	"11"	"409"	""	"409"	""
"197"	"162"	"137"	"137"	"24"	"279"	"24"	"601"	""	"601"	""
"198"	"163"	"210"	"107"	"20"	"38"	"14"	"389"	""	"389"	""
"199"	"164"	"281"	"46"	"8"	"15"	"25"	"375"	""	"375"	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"203"	"165"	"126"	"234"	"27"	"148"	"29"	"564"	""	"564"	""
"204"	"166"	"90"	"53"	"25"	"139"	"39"	"346"	""	"346"	""
"205"	"167"	"163"	"73"	"7"	"74"	"6"	"323"	""	"323"	""
"206"	"167&d"	"257"	"34"	"15"	"58"	"34"	"398"	""	"398"	""
"207"	"168"	"77"	"34"	"8"	"208"	"9"	"336"	""	"336"	""
"208"	"169"	"125"	"27"	"5"	"185"	"11"	"353"	""	"353"	""
"209"	"170"	"102"	"94"	"22"	"161"	"19"	"398"	""	"398"	""
"210"	"171"	"44"	"159"	"22"	"217"	"35"	"477"	""	"477"	""
"211"	"172"	"121"	"57"	"11"	"52"	"4"	"245"	""	"245"	""
"212"	"172&d"	"90"	"46"	"13"	"81"	"22"	"252"	""	"252"	""
"213"	"173"	"102"	"190"	"21"	"43"	"16"	"372"	""	"372"	""
"214"	"174"	"19"	"153"	"4"	"47"	"2"	"225"	""	"225"	""
"215"	"175"	"30"	"224"	"19"	"27"	"18"	"318"	""	"318"	""
"216"	"176"	"59"	"103"	"12"	"113"	"10"	"297"	""	"297"	""
"217"	"177"	"105"	"49"	"6"	"81"	"16"	"257"	""	"257"	""
"218"	"178"	"244"	"23"	"4"	"30"	"13"	"314"	""	"314"	""
"219"	"179"	"311"	"47"	"1"	"18"	"7"	"384"	""	"384"	""
"220"	"180"	"274"	"19"	"4"	"50"	"31"	"378"	""	"378"	""
"221"	"181"	"327"	"21"	"11"	"50"	"45"	"454"	""	"454"	""
"222"	"182"	"257"	"52"	"14"	"53"	"5"	"381"	""	"381"	""
"223"	"183"	"428"	"45"	"11"	"40"	"18"	"542"	""	"542"	""
"224"	"184"	"401"	"49"	"15"	"73"	"43"	"581"	""	"581"	""
"225"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"226"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"228"	"185"	"344"	"32"	"9"	"68"	"11"	"464"	""	"464"	""
"229"	"186"	"339"	"27"	"10"	"49"	"33"	"458"	""	"458"	""
"230"	"187"	"306"	"61"	"10"	"86"	"22"	"485"	""	"485"	""
"231"	"188"	"135"	"105"	"22"	"196"	"22"	"480"	""	"480"	""
"232"	"189"	"285"	"14"	"5"	"34"	"11"	"349"	""	"349"	""
"233"	"190"	"153"	"33"	"11"	"29"	"24"	"250"	""	"250"	""
"234"	"190&d"	"154"	"88"	"7"	"80"	"5"	"334"	""	"334"	""
"235"	"Total No. of votes recorded at Polling stations"	"24521"	"23321"	"3003"	"29500"	"3652"	"83997"	""	"83997"	"0"
"236"	"Vote valid through Postal Ballot Paper"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"237"	"Grant Total"	"24522"	"23321"	"3003"	"29500"	"3652"	"83998"	""	"83998"	"0"
