"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"11"	"4"	""	"23"	""	""	""	"102"	""	""	""	"104"	""	""	""	""	"73"	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	""	"16"	""	""	""	""	"349"	""	""	""	""	"-"	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"14"	""	""	""	"125"	""	""	""	"108"	""	""	""	""	"95"	""	""	""	""	"28"	""	""	""	""	"5"	""	""	""	""	"23"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"34"	""	""	""	""	"462"	""	""	""	""	"-"	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"6"	""	""	""	"69"	""	""	""	"73"	""	""	""	""	"80"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"253"	""	""	""	""	"-"	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""
"14"	"6"	""	"6"	""	""	""	"42"	""	""	""	"122"	""	""	""	""	"89"	""	""	""	""	"56"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	""	"15"	""	""	""	""	"377"	""	""	""	""	"-"	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""
"15"	"7"	""	"26"	""	""	""	"73"	""	""	""	"234"	""	""	""	""	"39"	""	""	""	""	"11"	""	""	""	""	"36"	""	""	""	""	"12"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"15"	""	""	""	""	"8"	""	""	""	""	"11"	""	""	""	""	""	"28"	""	""	""	""	"501"	""	""	""	""	"-"	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""
"16"	"8"	""	"10"	""	""	""	"95"	""	""	""	"165"	""	""	""	""	"34"	""	""	""	""	"5"	""	""	""	""	"87"	""	""	""	""	"13"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"23"	""	""	""	""	"461"	""	""	""	""	"-"	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""
"17"	"9"	""	"31"	""	""	""	"101"	""	""	""	"101"	""	""	""	""	"192"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"487"	""	""	""	""	"-"	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""
"18"	"10"	""	"8"	""	""	""	"76"	""	""	""	"52"	""	""	""	""	"173"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	"325"	""	""	""	""	"-"	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""
"19"	"11"	""	"13"	""	""	""	"220"	""	""	""	"36"	""	""	""	""	"131"	""	""	""	""	"28"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	"456"	""	""	""	""	"-"	""	""	""	""	"456"	""	""	""	""	""	""	""	""	""	""	""
"20"	"12"	""	"15"	""	""	""	"54"	""	""	""	"50"	""	""	""	""	"213"	""	""	""	""	"21"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"41"	""	""	""	""	"413"	""	""	""	""	"-"	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""
"21"	"13 A"	""	"17"	""	""	""	"81"	""	""	""	"151"	""	""	""	""	"70"	""	""	""	""	"29"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	"14"	""	""	""	""	"401"	""	""	""	""	"-"	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total :-"	""	"257"	""	""	""	"1669"	""	""	""	"1473"	""	""	""	""	"1294"	""	""	""	""	"253"	""	""	""	""	"155"	""	""	""	""	"108"	""	""	""	"39"	""	""	""	""	"45"	""	""	""	""	""	"99"	""	""	""	""	"62"	""	""	""	""	"80"	""	""	""	""	""	"230"	""	""	""	""	"5764"	""	""	""	""	"-"	""	""	""	""	"5764"	""	""	""	""	""	""	""	""	""	""	""
"23"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"223 GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"No. & Name of the Assembly Constituency- 223-GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Round No.2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""
"31"	""	""	"URMILA DEVI"	""	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	"1"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""
"33"	"14"	""	"22"	""	""	""	"41"	""	""	""	""	"141"	""	""	""	""	"268"	""	""	""	""	"47"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"12"	""	""	""	""	"557"	""	""	""	""	"-"	""	""	""	""	"557"	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"15"	""	"4"	""	""	""	"35"	""	""	""	""	"31"	""	""	""	""	"230"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"318"	""	""	""	""	"-"	""	""	""	""	"318"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"15(A)"	""	"2"	""	""	""	"47"	""	""	""	""	"66"	""	""	""	""	"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"268"	""	""	""	""	"-"	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"16"	""	"6"	""	""	""	"44"	""	""	""	""	"64"	""	""	""	""	"246"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	"402"	""	""	""	""	"-"	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"17"	""	"14"	""	""	""	"165"	""	""	""	""	"128"	""	""	""	""	"144"	""	""	""	""	"14"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	"41"	""	""	""	""	"543"	""	""	""	""	"-"	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"18"	""	"13"	""	""	""	"138"	""	""	""	""	"118"	""	""	""	""	"74"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"388"	""	""	""	""	"-"	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"18(A)"	""	"13"	""	""	""	"103"	""	""	""	""	"70"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	"12"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	"260"	""	""	""	""	"-"	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"19"	""	"34"	""	""	""	"100"	""	""	""	""	"245"	""	""	""	""	"39"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"11"	""	""	""	"8"	""	""	""	""	""	"15"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	"487"	""	""	""	""	"-"	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"20"	""	"11"	""	""	""	"51"	""	""	""	""	"57"	""	""	""	""	"131"	""	""	""	""	"37"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"338"	""	""	""	""	"-"	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"21"	""	"12"	""	""	""	"125"	""	""	""	""	"188"	""	""	""	""	"175"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	"11"	""	""	""	""	"571"	""	""	""	""	"-"	""	""	""	""	"571"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"22"	""	"12"	""	""	""	"56"	""	""	""	""	"114"	""	""	""	""	"115"	""	""	""	""	"12"	""	""	""	""	"5"	""	""	""	"11"	""	""	""	"6"	""	""	""	"6"	""	""	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	"15"	""	""	""	""	"378"	""	""	""	""	"-"	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"23"	""	"7"	""	""	""	"34"	""	""	""	""	"67"	""	""	""	""	"180"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"15"	""	""	""	"2"	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	"45"	""	""	""	""	"385"	""	""	""	""	"-"	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"24"	""	"30"	""	""	""	"166"	""	""	""	""	"153"	""	""	""	""	"56"	""	""	""	""	"45"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"15"	""	""	""	""	"496"	""	""	""	""	"-"	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"25"	""	"7"	""	""	""	"31"	""	""	""	""	"86"	""	""	""	""	"171"	""	""	""	""	"11"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"5"	""	""	""	"7"	""	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	""	"19"	""	""	""	""	""	"19"	""	""	""	""	"382"	""	""	""	""	"-"	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Total :-"	""	"187"	""	""	""	"1136"	""	""	""	""	"1528"	""	""	""	""	"1971"	""	""	""	""	"201"	""	""	""	""	"58"	""	""	""	"68"	""	""	""	"62"	""	""	""	"64"	""	""	""	""	""	"120"	""	""	""	""	"65"	""	""	""	""	"98"	""	""	""	""	""	"215"	""	""	""	""	"5773"	""	""	""	""	"-"	""	""	""	""	"5773"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"50"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"52"	"26"	""	"28"	""	""	"95"	""	""	""	"134"	""	""	""	""	"121"	""	""	""	""	""	"101"	""	""	""	""	"27"	""	""	""	"7"	""	""	""	"6"	""	""	""	"18"	""	""	""	""	""	"26"	""	""	""	""	"16"	""	""	""	""	"11"	""	""	""	""	""	"33"	""	""	""	""	"623"	""	""	""	""	"-"	""	""	""	""	"623"	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"27"	""	"11"	""	""	"273"	""	""	""	"27"	""	""	""	""	"13"	""	""	""	""	""	"23"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	""	"11"	""	""	""	""	"388"	""	""	""	""	"-"	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"28"	""	"3"	""	""	"18"	""	""	""	"355"	""	""	""	""	"79"	""	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"487"	""	""	""	""	"-"	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"29"	""	"8"	""	""	"20"	""	""	""	"62"	""	""	""	""	"230"	""	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	"12"	""	""	""	""	"370"	""	""	""	""	"-"	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"29 (A)"	""	"16"	""	""	"105"	""	""	""	"57"	""	""	""	""	"58"	""	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	""	"4"	""	""	""	""	"286"	""	""	""	""	"-"	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"30"	""	"13"	""	""	"114"	""	""	""	"250"	""	""	""	""	"112"	""	""	""	""	""	"25"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	"5"	""	""	""	"12"	""	""	""	""	""	"12"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	"575"	""	""	""	""	"-"	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"31"	""	"6"	""	""	"94"	""	""	""	"70"	""	""	""	""	"72"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	"295"	""	""	""	""	"-"	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""
