"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of the Assembly Constituency : - 90 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"40"	"30"	"25"	"323"	"20"	"122"	"46"	"5"	"2"	"8"	"526"	"-"	"526"	""
"41"	"31"	"26"	"303"	"12"	"23"	"6"	"3"	"1"	"5"	"353"	"-"	"353"	""
"42"	"32"	"27"	"227"	"10"	"92"	"39"	"3"	"4"	"10"	"385"	"-"	"385"	""
"43"	"33"	"28"	"322"	"20"	"36"	"59"	"5"	"5"	"13"	"460"	"-"	"460"	""
"44"	"34"	"29"	"137"	"18"	"222"	"68"	"14"	"6"	"15"	"480"	"-"	"480"	""
"45"	"35"	"30"	"424"	"23"	"103"	"11"	"10"	"27"	"33"	"631"	"-"	"631"	""
"46"	"36"	"31"	"265"	"16"	"252"	"19"	"7"	"17"	"16"	"592"	"-"	"592"	""
"47"	"37"	"32"	"211"	"8"	"54"	"1"	"2"	"2"	"7"	"285"	"-"	"285"	""
"48"	"38"	"33"	"284"	"12"	"91"	"21"	"5"	"2"	"13"	"428"	"-"	"428"	""
"49"	"39"	"34"	"158"	"7"	"42"	"65"	"7"	"5"	"10"	"294"	"-"	"294"	""
"50"	"40"	"35"	"17"	"8"	"95"	"64"	"5"	"1"	"8"	"198"	"-"	"198"	""
"51"	"41"	"36"	"82"	"13"	"297"	"21"	"11"	"16"	"25"	"465"	"-"	"465"	""
"52"	"42"	"37"	"20"	"13"	"267"	"39"	"9"	"20"	"26"	"394"	"-"	"394"	""
"53"	"43"	"38"	"58"	"6"	"75"	"93"	"13"	"9"	"22"	"276"	"-"	"276"	""
"54"	"44"	"39"	"91"	"17"	"347"	"42"	"10"	"6"	"21"	"534"	"-"	"534"	""
"55"	"45"	"40"	"202"	"8"	"77"	"22"	"6"	"7"	"13"	"335"	"-"	"335"	""
"56"	"46"	"40A"	"116"	"9"	"104"	"15"	"4"	"4"	"20"	"272"	"-"	"272"	""
"57"	"47"	"41"	"275"	"12"	"57"	"21"	"1"	"3"	"6"	"375"	"-"	"375"	""
"58"	"48"	"41A"	"128"	"12"	"81"	"25"	"4"	"5"	"16"	"271"	"-"	"271"	""
"59"	"49"	"42"	"27"	"6"	"260"	"16"	"4"	"4"	"15"	"332"	"-"	"332"	""
"60"	"50"	"43"	"194"	"8"	"181"	"13"	"4"	"16"	"9"	"425"	"-"	"425"	""
"61"	"51"	"44"	"81"	"7"	"156"	"9"	"4"	"3"	"4"	"264"	"-"	"264"	""
"62"	"52"	"44A"	"30"	"8"	"75"	"30"	"9"	"2"	"7"	"161"	"-"	"161"	""
"63"	"53"	"45"	"175"	"15"	"130"	"56"	"5"	"9"	"9"	"399"	"-"	"399"	""
"64"	"54"	"46"	"11"	"6"	"256"	"115"	"9"	"6"	"32"	"435"	"-"	"435"	""
"65"	"55"	"47"	"138"	"15"	"136"	"104"	"13"	"14"	"18"	"438"	"-"	"438"	""
"66"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"67"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"69"	"56"	"48"	"76"	"14"	"225"	"75"	"10"	"10"	"28"	"438"	"-"	"438"	""
"70"	"57"	"49"	"120"	"10"	"196"	"43"	"23"	"17"	"40"	"449"	"-"	"449"	""
"71"	"58"	"50"	"344"	"24"	"134"	"30"	"11"	"6"	"23"	"572"	"-"	"572"	""
"72"	"59"	"51"	"258"	"10"	"129"	"28"	"5"	"2"	"20"	"452"	"-"	"452"	""
"73"	"60"	"52"	"188"	"19"	"172"	"28"	"12"	"15"	"23"	"457"	"-"	"457"	""
"74"	"61"	"52A"	"38"	"3"	"117"	"75"	"8"	"7"	"22"	"270"	"-"	"270"	""
"75"	"62"	"53"	"89"	"8"	"221"	"85"	"13"	"5"	"20"	"441"	"-"	"441"	""
"76"	"63"	"54"	"302"	"16"	"39"	"107"	"7"	"9"	"27"	"507"	"-"	"507"	""
"77"	"64"	"55"	"341"	"8"	"52"	"43"	"6"	"10"	"17"	"477"	"-"	"477"	""
"78"	"65"	"56"	"166"	"11"	"165"	"17"	"4"	"5"	"15"	"383"	"-"	"383"	""
"79"	"66"	"57"	"2"	"5"	"146"	"9"	"1"	"39"	"5"	"207"	"-"	"207"	""
"80"	"67"	"57A"	"32"	"5"	"211"	"22"	"1"	"14"	"2"	"287"	"-"	"287"	""
"81"	"68"	"58"	"10"	"5"	"290"	"7"	"9"	"75"	"20"	"416"	"-"	"416"	""
"82"	"69"	"59"	"445"	"36"	"65"	"46"	"13"	"15"	"14"	"634"	"-"	"634"	""
"83"	"70"	"60"	"78"	"6"	"220"	"18"	"4"	"16"	"8"	"350"	"-"	"350"	""
"84"	"71"	"61"	"230"	"5"	"119"	"11"	"2"	"47"	"13"	"427"	"-"	"427"	""
"85"	"72"	"62"	"216"	"12"	"64"	"16"	"0"	"4"	"9"	"321"	"-"	"321"	""
"86"	"73"	"63"	"212"	"6"	"76"	"28"	"2"	"2"	"17"	"343"	"-"	"343"	""
"87"	"74"	"64"	"141"	"13"	"297"	"57"	"15"	"4"	"10"	"537"	"-"	"537"	""
"88"	"75"	"65"	"339"	"21"	"151"	"21"	"12"	"4"	"15"	"563"	"-"	"563"	""
"89"	"76"	"66"	"266"	"12"	"60"	"57"	"7"	"2"	"20"	"424"	"-"	"424"	""
"90"	"77"	"67"	"265"	"15"	"57"	"8"	"3"	"2"	"15"	"365"	"-"	"365"	""
"91"	"78"	"68"	"231"	"11"	"138"	"12"	"13"	"3"	"32"	"440"	"-"	"440"	""
"92"	"79"	"69"	"133"	"11"	"102"	"6"	"6"	"8"	"13"	"279"	"-"	"279"	""
"93"	"80"	"70"	"175"	"10"	"152"	"33"	"12"	"2"	"20"	"404"	"-"	"404"	""
"94"	"81"	"71"	"164"	"12"	"88"	"27"	"13"	"45"	"24"	"373"	"-"	"373"	""
"95"	"82"	"72"	"254"	"18"	"156"	"24"	"10"	"10"	"42"	"514"	"-"	"514"	""
"96"	"83"	"73"	"263"	"12"	"87"	"11"	"5"	"2"	"19"	"399"	"-"	"399"	""
"97"	"84"	"74"	"17"	"8"	"482"	"16"	"7"	"6"	"6"	"542"	"-"	"542"	""
"98"	"85"	"75"	"262"	"8"	"15"	"24"	"3"	"7"	"19"	"338"	"-"	"338"	""
"99"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"100"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"102"	"86"	"75A"	"182"	"9"	"10"	"36"	"1"	"2"	"1"	"241"	"-"	"241"	""
"103"	"87"	"76"	"365"	"18"	"43"	"19"	"3"	"6"	"17"	"471"	"-"	"471"	""
"104"	"88"	"77"	"284"	"13"	"136"	"19"	"6"	"7"	"19"	"484"	"-"	"484"	""
"105"	"89"	"78"	"245"	"15"	"139"	"20"	"10"	"7"	"11"	"447"	"-"	"447"	""
"106"	"90"	"79"	"162"	"21"	"149"	"57"	"6"	"3"	"18"	"416"	"-"	"416"	""
"107"	"91"	"79A"	"152"	"13"	"89"	"2"	"3"	"2"	"3"	"264"	"-"	"264"	""
"108"	"92"	"80"	"223"	"9"	"107"	"40"	"7"	"9"	"17"	"412"	"-"	"412"	""
"109"	"93"	"80A"	"36"	"2"	"126"	"14"	"5"	"3"	"7"	"193"	"-"	"193"	""
"110"	"94"	"81"	"174"	"16"	"201"	"80"	"13"	"7"	"37"	"528"	"-"	"528"	""
"111"	"95"	"82"	"63"	"8"	"204"	"33"	"5"	"3"	"7"	"323"	"-"	"323"	""
"112"	"96"	"83"	"43"	"16"	"188"	"38"	"3"	"4"	"16"	"308"	"-"	"308"	""
"113"	"97"	"83A"	"24"	"2"	"137"	"33"	"7"	"5"	"11"	"219"	"-"	"219"	""
"114"	"98"	"84"	"137"	"10"	"23"	"66"	"7"	"3"	"10"	"256"	"-"	"256"	""
"115"	"99"	"85"	"287"	"14"	"44"	"15"	"0"	"4"	"12"	"376"	"-"	"376"	""
"116"	"100"	"86"	"89"	"16"	"228"	"43"	"10"	"12"	"18"	"416"	"-"	"416"	""
"117"	"101"	"87"	"256"	"11"	"86"	"16"	"5"	"7"	"23"	"404"	"-"	"404"	""
"118"	"102"	"88"	"426"	"12"	"22"	"37"	"4"	"3"	"14"	"518"	"-"	"518"	""
"119"	"103"	"89"	"318"	"18"	"145"	"9"	"10"	"22"	"27"	"549"	"-"	"549"	""
"120"	"104"	"90"	"227"	"8"	"64"	"83"	"8"	"4"	"22"	"416"	"-"	"416"	""
"121"	"105"	"90A"	"106"	"5"	"33"	"16"	"1"	"2"	"5"	"168"	"-"	"168"	""
"122"	"106"	"91"	"219"	"22"	"274"	"65"	"13"	"9"	"10"	"612"	"-"	"612"	""
"123"	"107"	"92"	"139"	"14"	"177"	"67"	"12"	"9"	"18"	"436"	"-"	"436"	""
"124"	"108"	"93"	"339"	"16"	"185"	"48"	"19"	"17"	"46"	"670"	"-"	"670"	""
"125"	"109"	"94"	"251"	"16"	"78"	"51"	"11"	"5"	"20"	"432"	"-"	"432"	""
"126"	"110"	"94A"	"193"	"7"	"152"	"13"	"11"	"8"	"19"	"403"	"-"	"403"	""
"127"	"111"	"95"	"372"	"33"	"149"	"35"	"18"	"7"	"25"	"639"	"-"	"639"	""
"128"	"112"	"96"	"217"	"18"	"290"	"27"	"9"	"4"	"11"	"576"	"-"	"576"	""
"129"	"113"	"97"	"246"	"12"	"84"	"10"	"6"	"8"	"9"	"375"	"-"	"375"	""
"130"	"114"	"98"	"364"	"10"	"41"	"18"	"3"	"3"	"12"	"451"	"-"	"451"	""
"131"	"115"	"99"	"408"	"11"	"28"	"6"	"4"	"6"	"12"	"475"	"-"	"475"	""
"132"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"133"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"135"	"116"	"100"	"115"	"6"	"98"	"25"	"5"	"23"	"21"	"293"	"-"	"293"	""
"136"	"117"	"100A"	"21"	"3"	"135"	"13"	"8"	"8"	"6"	"194"	"-"	"194"	""
"137"	"118"	"101"	"95"	"12"	"247"	"38"	"8"	"10"	"22"	"432"	"-"	"432"	""
"138"	"119"	"101A"	"74"	"5"	"122"	"9"	"5"	"6"	"10"	"231"	"-"	"231"	""
"139"	"120"	"102"	"106"	"14"	"230"	"81"	"10"	"5"	"12"	"458"	"-"	"458"	""
"140"	"121"	"103"	"232"	"5"	"50"	"7"	"6"	"2"	"4"	"306"	"-"	"306"	""
"141"	"122"	"104"	"165"	"22"	"293"	"16"	"7"	"9"	"33"	"545"	"-"	"545"	""
"142"	"123"	"105"	"177"	"6"	"178"	"12"	"8"	"4"	"18"	"403"	"-"	"403"	""
"143"	"124"	"106"	"300"	"9"	"97"	"12"	"0"	"3"	"10"	"431"	"-"	"431"	""
"144"	"125"	"107"	"400"	"15"	"170"	"27"	"6"	"5"	"27"	"650"	"-"	"650"	""
"145"	"126"	"108"	"70"	"5"	"107"	"87"	"2"	"6"	"7"	"284"	"-"	"284"	""
"146"	"127"	"109"	"130"	"7"	"246"	"44"	"15"	"7"	"21"	"470"	"-"	"470"	""
"147"	"128"	"110"	"64"	"4"	"226"	"21"	"11"	"3"	"5"	"334"	"-"	"334"	""
"148"	"129"	"110A"	"38"	"5"	"166"	"20"	"3"	"0"	"7"	"239"	"-"	"239"	""
"149"	"130"	"111"	"160"	"10"	"224"	"23"	"8"	"3"	"5"	"433"	"-"	"433"	""
"150"	"131"	"111A"	"57"	"2"	"107"	"4"	"0"	"0"	"1"	"171"	"-"	"171"	""
"151"	"132"	"112"	"165"	"14"	"226"	"10"	"9"	"1"	"13"	"438"	"-"	"438"	""
"152"	"133"	"113"	"240"	"6"	"92"	"10"	"7"	"3"	"9"	"367"	"-"	"367"	""
"153"	"134"	"113A"	"118"	"7"	"126"	"47"	"6"	"3"	"3"	"310"	"-"	"310"	""
"154"	"135"	"114"	"69"	"10"	"251"	"18"	"7"	"8"	"16"	"379"	"-"	"379"	""
"155"	"136"	"114A"	"147"	"16"	"130"	"12"	"9"	"7"	"26"	"347"	"-"	"347"	""
"156"	"137"	"115"	"106"	"6"	"165"	"70"	"9"	"3"	"25"	"384"	"-"	"384"	""
"157"	"138"	"115A"	"54"	"7"	"148"	"14"	"7"	"3"	"8"	"241"	"-"	"241"	""
"158"	"139"	"116"	"251"	"9"	"92"	"72"	"10"	"3"	"15"	"452"	"-"	"452"	""
"159"	"140"	"116A"	"103"	"3"	"74"	"10"	"6"	"2"	"6"	"204"	"-"	"204"	""
"160"	"141"	"117"	"118"	"8"	"274"	"20"	"9"	"11"	"7"	"447"	"-"	"447"	""
"161"	"142"	"118"	"186"	"14"	"316"	"17"	"4"	"8"	"15"	"560"	"-"	"560"	""
"162"	"143"	"119"	"116"	"11"	"276"	"26"	"10"	"8"	"16"	"463"	"-"	"463"	""
"163"	"144"	"120"	"74"	"12"	"299"	"15"	"9"	"7"	"21"	"437"	"-"	"437"	""
"164"	"145"	"121"	"129"	"9"	"131"	"18"	"8"	"9"	"12"	"316"	"-"	"316"	""
"165"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"166"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"168"	"146"	"122"	"14"	"10"	"265"	"27"	"7"	"7"	"8"	"338"	"-"	"338"	""
"169"	"147"	"123"	"133"	"16"	"279"	"14"	"8"	"10"	"4"	"464"	"-"	"464"	""
"170"	"148"	"124"	"35"	"5"	"217"	"14"	"3"	"2"	"2"	"278"	"-"	"278"	""
"171"	"149"	"124A"	"7"	"4"	"174"	"6"	"9"	"5"	"4"	"209"	"-"	"209"	""
"172"	"150"	"125"	"231"	"14"	"130"	"20"	"13"	"6"	"10"	"424"	"-"	"424"	""
"173"	"151"	"126"	"207"	"18"	"43"	"13"	"4"	"6"	"16"	"307"	"-"	"307"	""
"174"	"152"	"126A"	"101"	"9"	"210"	"6"	"5"	"4"	"5"	"340"	"-"	"340"	""
"175"	"153"	"127"	"132"	"10"	"74"	"121"	"5"	"5"	"14"	"361"	"-"	"361"	""
"176"	"154"	"128"	"28"	"13"	"254"	"26"	"4"	"2"	"4"	"331"	"-"	"331"	""
"177"	"155"	"128A"	"253"	"7"	"73"	"19"	"2"	"3"	"3"	"360"	"-"	"360"	""
"178"	"156"	"129"	"31"	"5"	"220"	"14"	"8"	"2"	"7"	"287"	"-"	"287"	""
"179"	"157"	"129A"	"302"	"11"	"37"	"33"	"10"	"4"	"10"	"407"	"-"	"407"	""
"180"	"158"	"130"	"172"	"15"	"275"	"38"	"12"	"6"	"6"	"524"	"-"	"524"	""
"181"	"159"	"130A"	"61"	"1"	"30"	"14"	"0"	"2"	"0"	"108"	"-"	"108"	""
"182"	"160"	"131"	"64"	"15"	"190"	"44"	"6"	"23"	"12"	"354"	"-"	"354"	""
"183"	"161"	"132"	"90"	"10"	"247"	"31"	"4"	"15"	"17"	"414"	"-"	"414"	""
"184"	"162"	"133"	"67"	"12"	"283"	"20"	"10"	"9"	"20"	"421"	"-"	"421"	""
"185"	"163"	"134"	"42"	"8"	"238"	"54"	"14"	"11"	"16"	"383"	"-"	"383"	""
"186"	"164"	"135"	"12"	"3"	"204"	"25"	"4"	"3"	"9"	"260"	"-"	"260"	""
"187"	"165"	"135A"	"17"	"4"	"192"	"22"	"7"	"5"	"7"	"254"	"-"	"254"	""
"188"	"166"	"136"	"33"	"5"	"120"	"51"	"7"	"6"	"11"	"233"	"-"	"233"	""
"189"	"167"	"136A"	"56"	"9"	"88"	"89"	"8"	"8"	"32"	"290"	"-"	"290"	""
"190"	"168"	"137"	"239"	"7"	"81"	"56"	"4"	"2"	"13"	"402"	"-"	"402"	""
"191"	"169"	"138"	"177"	"23"	"199"	"103"	"4"	"5"	"19"	"530"	"-"	"530"	""
"192"	"170"	"139"	"150"	"12"	"24"	"72"	"17"	"8"	"24"	"307"	"-"	"307"	""
"193"	"171"	"140"	"277"	"12"	"21"	"10"	"2"	"7"	"22"	"351"	"-"	"351"	""
"194"	"172"	"141"	"220"	"6"	"20"	"9"	"2"	"5"	"26"	"288"	"-"	"288"	""
"195"	"173"	"142"	"102"	"4"	"163"	"6"	"2"	"2"	"7"	"286"	"-"	"286"	""
"196"	"174"	"143"	"244"	"15"	"127"	"10"	"9"	"5"	"33"	"443"	"-"	"443"	""
"197"	"175"	"144"	"361"	"17"	"74"	"76"	"13"	"11"	"18"	"570"	"-"	"570"	""
"198"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"199"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"201"	"176"	"144A"	"121"	"11"	"40"	"46"	"1"	"4"	"18"	"241"	"-"	"241"	""
"202"	"177"	"145"	"177"	"19"	"121"	"11"	"15"	"5"	"17"	"365"	"-"	"365"	""
"203"	"178"	"146"	"109"	"16"	"174"	"56"	"7"	"10"	"32"	"404"	"-"	"404"	""
"204"	"179"	"147"	"8"	"5"	"343"	"35"	"14"	"1"	"12"	"418"	"-"	"418"	""
"205"	"180"	"147A"	"2"	"1"	"110"	"1"	"1"	"0"	"0"	"115"	"-"	"115"	""
"206"	"181"	"148"	"9"	"4"	"192"	"38"	"7"	"2"	"4"	"256"	"-"	"256"	""
"207"	"182"	"149"	"134"	"10"	"116"	"70"	"11"	"6"	"17"	"364"	"-"	"364"	""
"208"	"183"	"150"	"273"	"16"	"136"	"12"	"8"	"6"	"19"	"470"	"-"	"470"	""
"209"	"184"	"151"	"224"	"19"	"114"	"17"	"0"	"4"	"9"	"387"	"-"	"387"	""
"210"	"185"	"151A"	"217"	"11"	"105"	"8"	"3"	"1"	"1"	"346"	"-"	"346"	""
"211"	"186"	"152"	"454"	"15"	"151"	"15"	"8"	"4"	"24"	"671"	"-"	"671"	""
"212"	"187"	"153"	"177"	"8"	"129"	"81"	"11"	"6"	"31"	"443"	"-"	"443"	""
"213"	"188"	"154"	"24"	"1"	"341"	"72"	"9"	"10"	"11"	"468"	"-"	"468"	""
"214"	"189"	"155"	"119"	"9"	"262"	"129"	"12"	"10"	"22"	"563"	"-"	"563"	""
"215"	"190"	"156"	"204"	"14"	"172"	"114"	"9"	"4"	"14"	"531"	"-"	"531"	""
"216"	"191"	"157"	"272"	"23"	"126"	"81"	"9"	"14"	"17"	"542"	"-"	"542"	""
"217"	"192"	"158"	"104"	"23"	"226"	"61"	"4"	"5"	"6"	"429"	"-"	"429"	""
"218"	"193"	"159"	"87"	"11"	"211"	"73"	"8"	"6"	"19"	"415"	"-"	"415"	""
"219"	"194"	"159A"	"101"	"2"	"92"	"20"	"5"	"1"	"1"	"222"	"-"	"222"	""
"220"	"195"	"160"	"151"	"4"	"12"	"119"	"4"	"2"	"7"	"299"	"-"	"299"	""
"221"	"196"	"160A"	"80"	"6"	"10"	"139"	"5"	"3"	"12"	"255"	"-"	"255"	""
"222"	"197"	"161"	"278"	"14"	"119"	"120"	"17"	"11"	"29"	"588"	"-"	"588"	""
"223"	"198"	"162"	"226"	"16"	"77"	"155"	"14"	"21"	"34"	"543"	"-"	"543"	""
"224"	"199"	"163"	"148"	"8"	"201"	"48"	"6"	"8"	"19"	"438"	"-"	"438"	""
"225"	"200"	"163A"	"72"	"4"	"97"	"19"	"0"	"0"	"2"	"194"	"-"	"194"	""
"226"	"201"	"164"	"249"	"9"	"123"	"120"	"16"	"1"	"10"	"528"	"-"	"528"	""
"227"	"202"	"165"	"190"	"18"	"75"	"248"	"7"	"5"	"12"	"555"	"-"	"555"	""
"228"	"203"	"165A"	"152"	"18"	"79"	"109"	"5"	"5"	"9"	"377"	"-"	"377"	""
"229"	"204"	"166"	"161"	"22"	"178"	"147"	"14"	"7"	"30"	"559"	"-"	"559"	""
"230"	"205"	"167"	"87"	"11"	"166"	"117"	"11"	"8"	"24"	"424"	"-"	"424"	""
"231"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"232"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
