"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 103 BALIA A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  :  103- BALIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"21"	"9"	"378"	"16"	"9"	"5"	"75"	"5"	"11"	"2"	"14"	"13"	"528"	"0"	"528"	"0"
"22"	"10"	"538"	"11"	"8"	"2"	"25"	"3"	"8"	"0"	"4"	"9"	"608"	"0"	"608"	"0"
"23"	"11"	"317"	"14"	"32"	"6"	"125"	"8"	"6"	"1"	"11"	"13"	"533"	"0"	"533"	"0"
"24"	"12"	"203"	"3"	"14"	"6"	"108"	"10"	"6"	"5"	"19"	"20"	"394"	"0"	"394"	"0"
"25"	"12A"	"244"	"2"	"7"	"2"	"33"	"4"	"2"	"2"	"10"	"9"	"315"	"0"	"315"	"0"
"26"	"13"	"237"	"6"	"7"	"3"	"12"	"5"	"7"	"1"	"14"	"11"	"303"	"0"	"303"	"0"
"27"	"13A"	"248"	"7"	"5"	"2"	"16"	"3"	"3"	"2"	"15"	"5"	"306"	"0"	"306"	"0"
"28"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"29"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"31"	"14"	"193"	"4"	"9"	"5"	"87"	"2"	"0"	"1"	"3"	"4"	"308"	"0"	"308"	"0"
"32"	"15"	"486"	"10"	"5"	"3"	"81"	"7"	"11"	"5"	"14"	"25"	"647"	"0"	"647"	"0"
"33"	"16"	"133"	"10"	"8"	"11"	"254"	"11"	"6"	"3"	"15"	"9"	"460"	"0"	"460"	"0"
"34"	"17"	"206"	"10"	"8"	"13"	"158"	"15"	"11"	"11"	"29"	"51"	"512"	"0"	"512"	"0"
"35"	"18"	"228"	"7"	"26"	"16"	"304"	"16"	"7"	"5"	"12"	"30"	"651"	"0"	"651"	"0"
"36"	"19"	"332"	"17"	"116"	"11"	"56"	"1"	"8"	"13"	"15"	"43"	"612"	"0"	"612"	"0"
"37"	"20"	"204"	"1"	"5"	"9"	"111"	"9"	"2"	"0"	"7"	"10"	"358"	"0"	"358"	"0"
"38"	"20A"	"181"	"7"	"7"	"2"	"227"	"10"	"3"	"6"	"4"	"7"	"454"	"0"	"454"	"0"
"39"	"21"	"184"	"6"	"132"	"7"	"129"	"7"	"3"	"3"	"6"	"7"	"484"	"0"	"484"	"0"
"40"	"22"	"213"	"15"	"121"	"6"	"294"	"7"	"2"	"3"	"7"	"15"	"683"	"0"	"683"	"0"
"41"	"23"	"429"	"12"	"59"	"5"	"163"	"18"	"10"	"9"	"23"	"43"	"771"	"0"	"771"	"0"
"42"	"24"	"253"	"6"	"6"	"2"	"40"	"13"	"4"	"2"	"9"	"5"	"340"	"0"	"340"	"0"
"43"	"24A"	"321"	"8"	"8"	"2"	"51"	"7"	"8"	"2"	"17"	"13"	"437"	"0"	"437"	"0"
"44"	"25"	"486"	"11"	"14"	"3"	"81"	"46"	"7"	"3"	"10"	"6"	"667"	"0"	"667"	"0"
"45"	"26"	"148"	"15"	"42"	"7"	"83"	"164"	"3"	"8"	"8"	"8"	"486"	"0"	"486"	"0"
"46"	"27"	"99"	"2"	"7"	"7"	"215"	"19"	"4"	"51"	"8"	"15"	"427"	"0"	"427"	"0"
"47"	"27A"	"70"	"1"	"7"	"5"	"93"	"5"	"6"	"14"	"15"	"18"	"234"	"0"	"234"	"0"
"48"	"28"	"160"	"9"	"42"	"13"	"218"	"20"	"9"	"18"	"14"	"18"	"521"	"0"	"521"	"0"
"49"	"29"	"72"	"11"	"15"	"7"	"357"	"44"	"7"	"7"	"11"	"24"	"555"	"0"	"555"	"0"
"50"	"30"	"71"	"6"	"11"	"8"	"482"	"20"	"9"	"5"	"7"	"21"	"640"	"0"	"640"	"0"
"51"	"31"	"353"	"4"	"3"	"6"	"89"	"10"	"5"	"5"	"15"	"28"	"518"	"0"	"518"	"0"
"52"	"32"	"5"	"3"	"13"	"4"	"168"	"10"	"1"	"5"	"4"	"6"	"219"	"0"	"219"	"0"
"53"	"33"	"126"	"7"	"26"	"20"	"361"	"24"	"12"	"12"	"19"	"10"	"617"	"0"	"617"	"0"
"54"	"34"	"355"	"3"	"7"	"8"	"30"	"0"	"4"	"0"	"5"	"9"	"421"	"0"	"421"	"0"
"55"	"34A"	"295"	"12"	"28"	"3"	"25"	"5"	"2"	"5"	"5"	"10"	"390"	"0"	"390"	"0"
"56"	"35"	"371"	"18"	"123"	"10"	"61"	"5"	"10"	"8"	"18"	"25"	"649"	"0"	"649"	"0"
"57"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"58"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"60"	"36"	"394"	"14"	"34"	"15"	"146"	"14"	"4"	"4"	"28"	"22"	"675"	"0"	"675"	"0"
"61"	"37"	"294"	"7"	"24"	"151"	"82"	"9"	"8"	"4"	"14"	"23"	"616"	"0"	"616"	"0"
"62"	"38"	"305"	"13"	"23"	"57"	"91"	"3"	"3"	"2"	"5"	"8"	"510"	"0"	"510"	"0"
"63"	"39"	"318"	"5"	"4"	"5"	"113"	"8"	"0"	"4"	"6"	"9"	"472"	"0"	"472"	"0"
"64"	"39A"	"342"	"1"	"0"	"1"	"22"	"1"	"0"	"0"	"4"	"2"	"373"	"0"	"373"	"0"
"65"	"40"	"347"	"3"	"3"	"1"	"8"	"0"	"1"	"0"	"11"	"13"	"387"	"0"	"387"	"0"
"66"	"41"	"391"	"7"	"24"	"6"	"70"	"11"	"14"	"10"	"34"	"34"	"601"	"0"	"601"	"0"
"67"	"42"	"156"	"18"	"146"	"11"	"63"	"12"	"8"	"10"	"20"	"35"	"479"	"0"	"479"	"0"
"68"	"43"	"126"	"17"	"192"	"12"	"119"	"6"	"10"	"15"	"16"	"20"	"533"	"0"	"533"	"0"
"69"	"44"	"167"	"11"	"95"	"5"	"61"	"10"	"6"	"9"	"13"	"31"	"408"	"0"	"408"	"0"
"70"	"45"	"270"	"11"	"100"	"5"	"52"	"5"	"3"	"1"	"4"	"6"	"457"	"0"	"457"	"0"
"71"	"45A"	"261"	"10"	"45"	"2"	"25"	"14"	"4"	"3"	"6"	"10"	"380"	"0"	"380"	"0"
"72"	"46"	"305"	"5"	"16"	"5"	"40"	"15"	"6"	"1"	"6"	"14"	"413"	"0"	"413"	"0"
"73"	"46A"	"319"	"7"	"8"	"1"	"40"	"4"	"4"	"1"	"5"	"8"	"397"	"0"	"397"	"0"
"74"	"47"	"297"	"10"	"128"	"11"	"187"	"13"	"4"	"8"	"10"	"11"	"679"	"0"	"679"	"0"
"75"	"48"	"279"	"11"	"73"	"2"	"33"	"3"	"0"	"4"	"5"	"0"	"410"	"0"	"410"	"0"
"76"	"48A"	"333"	"3"	"13"	"1"	"43"	"1"	"2"	"1"	"9"	"8"	"414"	"0"	"414"	"0"
"77"	"49"	"218"	"4"	"8"	"3"	"63"	"19"	"4"	"1"	"8"	"8"	"336"	"0"	"336"	"0"
"78"	"49A"	"223"	"5"	"14"	"2"	"31"	"16"	"3"	"3"	"10"	"8"	"315"	"0"	"315"	"0"
"79"	"50"	"202"	"1"	"11"	"0"	"97"	"11"	"8"	"3"	"15"	"23"	"371"	"0"	"371"	"0"
"80"	"51"	"381"	"11"	"34"	"7"	"47"	"8"	"5"	"4"	"27"	"28"	"552"	"0"	"552"	"0"
"81"	"52"	"363"	"5"	"183"	"3"	"43"	"2"	"1"	"2"	"2"	"7"	"611"	"0"	"611"	"0"
"82"	"53"	"185"	"5"	"49"	"0"	"140"	"3"	"2"	"1"	"4"	"6"	"395"	"0"	"395"	"0"
"83"	"54"	"150"	"8"	"20"	"6"	"175"	"12"	"5"	"2"	"12"	"12"	"402"	"0"	"402"	"0"
"84"	"54A"	"158"	"7"	"25"	"4"	"88"	"6"	"2"	"3"	"8"	"11"	"312"	"0"	"312"	"0"
"85"	"55"	"208"	"2"	"4"	"7"	"85"	"5"	"4"	"1"	"5"	"12"	"333"	"0"	"333"	"0"
"86"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"87"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"89"	"55A"	"97"	"6"	"25"	"15"	"89"	"6"	"7"	"2"	"4"	"10"	"261"	"0"	"261"	"0"
"90"	"56"	"284"	"14"	"30"	"20"	"94"	"5"	"9"	"11"	"12"	"23"	"502"	"0"	"502"	"0"
"91"	"57"	"297"	"10"	"54"	"5"	"105"	"8"	"5"	"4"	"11"	"5"	"504"	"0"	"504"	"0"
"92"	"58"	"333"	"6"	"39"	"7"	"98"	"6"	"1"	"2"	"19"	"16"	"527"	"0"	"527"	"0"
"93"	"59"	"555"	"8"	"43"	"4"	"39"	"4"	"5"	"5"	"17"	"33"	"713"	"0"	"713"	"0"
"94"	"60"	"304"	"9"	"27"	"3"	"32"	"0"	"1"	"2"	"7"	"5"	"390"	"0"	"390"	"0"
"95"	"61"	"48"	"5"	"10"	"3"	"328"	"7"	"2"	"5"	"8"	"10"	"426"	"0"	"426"	"0"
"96"	"62"	"35"	"5"	"17"	"6"	"410"	"29"	"10"	"6"	"1"	"12"	"531"	"0"	"531"	"0"
"97"	"63"	"204"	"23"	"112"	"13"	"97"	"5"	"4"	"18"	"7"	"17"	"500"	"0"	"500"	"0"
"98"	"64"	"189"	"9"	"94"	"5"	"51"	"2"	"6"	"7"	"11"	"16"	"390"	"0"	"390"	"0"
"99"	"65"	"129"	"4"	"3"	"0"	"68"	"3"	"2"	"1"	"2"	"5"	"217"	"0"	"217"	"0"
"100"	"66"	"310"	"6"	"17"	"3"	"23"	"4"	"6"	"5"	"16"	"22"	"412"	"0"	"412"	"0"
"101"	"67"	"270"	"10"	"4"	"6"	"21"	"3"	"0"	"2"	"13"	"4"	"333"	"0"	"333"	"0"
"102"	"67A"	"138"	"7"	"17"	"3"	"104"	"13"	"6"	"2"	"2"	"9"	"301"	"0"	"301"	"0"
"103"	"68"	"367"	"6"	"3"	"1"	"13"	"4"	"7"	"0"	"6"	"6"	"413"	"0"	"413"	"0"
"104"	"69"	"238"	"4"	"5"	"2"	"36"	"5"	"2"	"4"	"9"	"12"	"317"	"0"	"317"	"0"
"105"	"69A"	"266"	"1"	"2"	"3"	"36"	"4"	"2"	"1"	"6"	"7"	"328"	"0"	"328"	"0"
"106"	"70"	"23"	"5"	"2"	"7"	"233"	"16"	"4"	"1"	"7"	"9"	"307"	"0"	"307"	"0"
"107"	"71"	"116"	"9"	"7"	"4"	"182"	"5"	"4"	"2"	"6"	"5"	"340"	"0"	"340"	"0"
"108"	"72"	"392"	"2"	"6"	"0"	"4"	"1"	"0"	"0"	"3"	"3"	"411"	"0"	"411"	"0"
"109"	"73"	"400"	"0"	"19"	"2"	"24"	"0"	"1"	"1"	"4"	"7"	"458"	"0"	"458"	"0"
"110"	"74"	"16"	"0"	"6"	"9"	"473"	"14"	"1"	"4"	"2"	"14"	"539"	"0"	"539"	"0"
"111"	"75"	"358"	"8"	"16"	"4"	"23"	"0"	"2"	"5"	"14"	"10"	"440"	"0"	"440"	"0"
"112"	"76"	"159"	"9"	"2"	"1"	"18"	"5"	"5"	"3"	"12"	"16"	"230"	"0"	"230"	"0"
"113"	"77"	"324"	"9"	"39"	"1"	"63"	"9"	"2"	"6"	"19"	"22"	"494"	"0"	"494"	"0"
"114"	"78"	"145"	"6"	"54"	"3"	"83"	"3"	"1"	"6"	"8"	"7"	"316"	"0"	"316"	"0"
"115"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"116"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"117"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"118"	"78A"	"41"	"8"	"71"	"13"	"124"	"9"	"4"	"7"	"6"	"17"	"300"	"0"	"300"	"0"
"119"	"79"	"106"	"0"	"12"	"1"	"105"	"2"	"0"	"2"	"4"	"2"	"234"	"0"	"234"	"0"
"120"	"79A"	"184"	"6"	"2"	"2"	"62"	"6"	"6"	"3"	"5"	"9"	"285"	"0"	"285"	"0"
"121"	"80"	"236"	"5"	"10"	"3"	"54"	"3"	"5"	"4"	"9"	"10"	"339"	"0"	"339"	"0"
"122"	"80A"	"128"	"4"	"5"	"3"	"90"	"9"	"5"	"1"	"5"	"2"	"252"	"0"	"252"	"0"
"123"	"81"	"150"	"16"	"28"	"4"	"116"	"14"	"5"	"2"	"9"	"16"	"360"	"0"	"360"	"0"
"124"	"82"	"116"	"10"	"51"	"7"	"118"	"9"	"10"	"7"	"17"	"20"	"365"	"0"	"365"	"0"
"125"	"83"	"26"	"1"	"6"	"5"	"425"	"27"	"6"	"3"	"3"	"7"	"509"	"0"	"509"	"0"
"126"	"84"	"237"	"1"	"2"	"8"	"88"	"7"	"6"	"2"	"7"	"8"	"366"	"0"	"366"	"0"
"127"	"85"	"176"	"16"	"146"	"7"	"103"	"13"	"4"	"6"	"12"	"23"	"506"	"0"	"506"	"0"
"128"	"86"	"134"	"3"	"6"	"7"	"151"	"8"	"4"	"0"	"4"	"10"	"327"	"0"	"327"	"0"
"129"	"86A"	"47"	"4"	"6"	"7"	"232"	"11"	"5"	"4"	"4"	"5"	"325"	"0"	"325"	"0"
"130"	"87"	"291"	"16"	"68"	"3"	"41"	"4"	"2"	"6"	"12"	"28"	"471"	"0"	"471"	"0"
"131"	"88"	"166"	"4"	"5"	"9"	"102"	"9"	"6"	"1"	"5"	"5"	"312"	"0"	"312"	"0"
"132"	"88A"	"278"	"5"	"4"	"2"	"69"	"6"	"4"	"2"	"6"	"15"	"391"	"0"	"391"	"0"
"133"	"89"	"368"	"11"	"11"	"2"	"66"	"10"	"6"	"3"	"14"	"13"	"504"	"0"	"504"	"0"
"134"	"90"	"141"	"6"	"9"	"8"	"202"	"8"	"6"	"9"	"20"	"11"	"420"	"0"	"420"	"0"
"135"	"91"	"144"	"9"	"34"	"7"	"125"	"8"	"20"	"10"	"29"	"20"	"406"	"0"	"406"	"0"
"136"	"92"	"148"	"5"	"3"	"6"	"169"	"17"	"4"	"4"	"13"	"13"	"382"	"0"	"382"	"0"
"137"	"92A"	"45"	"3"	"5"	"1"	"147"	"20"	"2"	"0"	"10"	"22"	"255"	"0"	"255"	"0"
"138"	"93"	"475"	"9"	"16"	"4"	"56"	"3"	"3"	"5"	"4"	"26"	"601"	"0"	"601"	"0"
"139"	"94"	"496"	"6"	"9"	"5"	"141"	"8"	"5"	"5"	"10"	"18"	"703"	"0"	"703"	"0"
"140"	"95"	"459"	"6"	"3"	"3"	"95"	"10"	"10"	"9"	"13"	"47"	"655"	"0"	"655"	"0"
"141"	"96"	"170"	"4"	"5"	"2"	"180"	"16"	"8"	"2"	"7"	"5"	"399"	"0"	"399"	"0"
"142"	"96A"	"173"	"3"	"5"	"7"	"124"	"9"	"3"	"6"	"6"	"12"	"348"	"0"	"348"	"0"
"143"	"97"	"75"	"5"	"5"	"6"	"418"	"9"	"15"	"5"	"17"	"28"	"583"	"0"	"583"	"0"
"144"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"145"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"147"	"98"	"122"	"5"	"24"	"2"	"79"	"1"	"3"	"3"	"2"	"10"	"251"	"0"	"251"	"0"
"148"	"99"	"259"	"10"	"17"	"2"	"52"	"6"	"3"	"1"	"6"	"10"	"366"	"0"	"366"	"0"
"149"	"99A"	"363"	"2"	"0"	"1"	"11"	"2"	"3"	"1"	"10"	"10"	"403"	"0"	"403"	"0"
"150"	"100"	"257"	"14"	"42"	"5"	"77"	"6"	"11"	"7"	"12"	"28"	"459"	"0"	"459"	"0"
"151"	"101"	"436"	"13"	"39"	"8"	"108"	"8"	"6"	"4"	"11"	"11"	"644"	"0"	"644"	"0"
"152"	"102"	"432"	"9"	"10"	"6"	"192"	"18"	"13"	"7"	"12"	"32"	"731"	"0"	"731"	"0"
"153"	"103"	"7"	"0"	"4"	"6"	"316"	"18"	"4"	"4"	"3"	"3"	"365"	"0"	"365"	"0"
"154"	"104"	"95"	"3"	"10"	"4"	"276"	"12"	"4"	"6"	"6"	"13"	"429"	"0"	"429"	"0"
"155"	"105"	"81"	"3"	"7"	"4"	"471"	"21"	"6"	"6"	"4"	"16"	"619"	"0"	"619"	"0"
"156"	"106"	"66"	"4"	"3"	"6"	"246"	"15"	"2"	"4"	"9"	"8"	"363"	"0"	"363"	"0"
"157"	"107"	"135"	"3"	"4"	"8"	"219"	"13"	"6"	"3"	"13"	"25"	"429"	"0"	"429"	"0"
"158"	"107A"	"195"	"2"	"10"	"3"	"58"	"1"	"4"	"2"	"9"	"8"	"292"	"0"	"292"	"0"
"159"	"108"	"428"	"8"	"28"	"3"	"127"	"6"	"1"	"5"	"13"	"13"	"632"	"0"	"632"	"0"
"160"	"109"	"140"	"4"	"4"	"3"	"148"	"6"	"8"	"4"	"7"	"8"	"332"	"0"	"332"	"0"
"161"	"109A"	"84"	"6"	"5"	"4"	"242"	"9"	"3"	"2"	"2"	"2"	"359"	"0"	"359"	"0"
"162"	"110"	"141"	"3"	"2"	"3"	"232"	"13"	"7"	"3"	"4"	"8"	"416"	"0"	"416"	"0"
"163"	"110A"	"123"	"1"	"5"	"5"	"229"	"10"	"1"	"5"	"10"	"4"	"393"	"0"	"393"	"0"
"164"	"111"	"306"	"1"	"3"	"3"	"247"	"9"	"5"	"3"	"2"	"8"	"587"	"0"	"587"	"0"
"165"	"112"	"57"	"5"	"8"	"6"	"249"	"20"	"4"	"6"	"8"	"6"	"369"	"0"	"369"	"0"
"166"	"113"	"84"	"6"	"8"	"10"	"330"	"17"	"6"	"6"	"5"	"18"	"490"	"0"	"490"	"0"
"167"	"114"	"33"	"4"	"1"	"7"	"283"	"11"	"5"	"2"	"5"	"19"	"370"	"0"	"370"	"0"
"168"	"115"	"288"	"6"	"12"	"8"	"202"	"10"	"6"	"2"	"7"	"14"	"555"	"0"	"555"	"0"
"169"	"116"	"103"	"6"	"9"	"5"	"135"	"11"	"14"	"5"	"10"	"19"	"317"	"0"	"317"	"0"
"170"	"116A"	"37"	"5"	"19"	"11"	"197"	"17"	"5"	"5"	"4"	"9"	"309"	"0"	"309"	"0"
"171"	"117"	"425"	"9"	"59"	"5"	"97"	"12"	"6"	"8"	"18"	"44"	"683"	"0"	"683"	"0"
"172"	"118"	"347"	"2"	"2"	"1"	"54"	"1"	"1"	"2"	"13"	"10"	"433"	"0"	"433"	"0"
"173"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"174"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"176"	"119"	"172"	"3"	"39"	"3"	"236"	"16"	"12"	"8"	"21"	"24"	"534"	"0"	"534"	"0"
"177"	"120"	"145"	"13"	"53"	"7"	"125"	"12"	"11"	"16"	"19"	"32"	"433"	"0"	"433"	"0"
"178"	"121"	"333"	"8"	"9"	"4"	"133"	"9"	"6"	"5"	"26"	"19"	"552"	"0"	"552"	"0"
"179"	"122"	"363"	"7"	"17"	"7"	"148"	"11"	"13"	"1"	"15"	"30"	"612"	"0"	"612"	"0"
"180"	"123"	"306"	"10"	"3"	"3"	"35"	"5"	"6"	"2"	"13"	"19"	"402"	"0"	"402"	"0"
"181"	"124"	"314"	"8"	"10"	"5"	"121"	"6"	"4"	"7"	"12"	"32"	"519"	"0"	"519"	"0"
"182"	"125"	"399"	"4"	"10"	"3"	"88"	"4"	"5"	"6"	"14"	"11"	"544"	"0"	"544"	"0"
"183"	"126"	"102"	"10"	"78"	"6"	"338"	"19"	"6"	"9"	"9"	"13"	"590"	"0"	"590"	"0"
"184"	"127"	"21"	"0"	"2"	"3"	"418"	"4"	"2"	"1"	"3"	"4"	"458"	"0"	"458"	"0"
"185"	"128"	"351"	"1"	"4"	"1"	"57"	"2"	"3"	"3"	"15"	"16"	"453"	"0"	"453"	"0"
"186"	"128A"	"183"	"7"	"33"	"7"	"109"	"3"	"2"	"1"	"6"	"10"	"361"	"0"	"361"	"0"
"187"	"129"	"491"	"10"	"10"	"2"	"123"	"6"	"4"	"2"	"10"	"12"	"670"	"0"	"670"	"0"
"188"	"130"	"416"	"5"	"19"	"3"	"145"	"7"	"6"	"2"	"4"	"11"	"618"	"0"	"618"	"0"
"189"	"131"	"500"	"4"	"1"	"0"	"17"	"0"	"3"	"3"	"14"	"9"	"551"	"0"	"551"	"0"
"190"	"132"	"263"	"10"	"90"	"2"	"99"	"3"	"2"	"2"	"13"	"17"	"501"	"0"	"501"	"0"
"191"	"132A"	"409"	"6"	"11"	"0"	"21"	"2"	"0"	"0"	"6"	"20"	"475"	"0"	"475"	"0"
"192"	"133"	"274"	"5"	"7"	"1"	"95"	"1"	"0"	"0"	"3"	"2"	"388"	"0"	"388"	"0"
"193"	"134"	"158"	"11"	"49"	"2"	"124"	"6"	"3"	"7"	"6"	"7"	"373"	"0"	"373"	"0"
"194"	"134A"	"125"	"11"	"172"	"12"	"41"	"5"	"3"	"12"	"7"	"25"	"413"	"0"	"413"	"0"
"195"	"135"	"133"	"9"	"105"	"7"	"106"	"12"	"4"	"3"	"5"	"7"	"391"	"0"	"391"	"0"
"196"	"136"	"196"	"7"	"26"	"7"	"108"	"7"	"8"	"1"	"15"	"21"	"396"	"0"	"396"	"0"
"197"	"137"	"355"	"5"	"6"	"1"	"83"	"5"	"5"	"3"	"12"	"8"	"483"	"0"	"483"	"0"
"198"	"138"	"374"	"6"	"16"	"1"	"75"	"6"	"1"	"4"	"6"	"9"	"498"	"0"	"498"	"0"
