"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"18"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	""	""	""	"a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	"12"	""	""	""	""	"13"	""	""	""	"14"	""	""	""
"35"	"1"	""	"76"	""	""	""	""	"0"	""	"159"	""	""	""	"26"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	"8"	"11"	""	""	""	"298"	""	""	""	""	"0"	""	"298"	""	""	""	""	""	""	""
"36"	"2"	""	"3"	""	""	""	""	"1"	""	"246"	""	""	""	"13"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"2"	"1"	""	""	""	"278"	""	""	""	""	"0"	""	"278"	""	""	""	""	""	""	""
"37"	"3"	""	"57"	""	""	""	""	"10"	""	"158"	""	""	""	"91"	""	""	""	""	"21"	""	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	"7"	"9"	""	""	""	"368"	""	""	""	""	"0"	""	"368"	""	""	""	""	""	""	""
"38"	"3A"	""	"94"	""	""	""	""	"9"	""	"77"	""	""	""	"169"	""	""	""	""	"41"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"5"	"23"	""	""	""	"431"	""	""	""	""	"0"	""	"431"	""	""	""	""	""	""	""
"39"	"4"	""	"122"	""	""	""	""	"12"	""	"259"	""	""	""	"40"	""	""	""	""	"16"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	"12"	"14"	""	""	""	"508"	""	""	""	""	"0"	""	"508"	""	""	""	""	""	""	""
"40"	"5"	""	"48"	""	""	""	""	"8"	""	"207"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"1"	"0"	""	""	""	"280"	""	""	""	""	"0"	""	"280"	""	""	""	""	""	""	""
"41"	"6"	""	"46"	""	""	""	""	"9"	""	"555"	""	""	""	"14"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"22"	""	""	""	""	"9"	"8"	""	""	""	"678"	""	""	""	""	"0"	""	"678"	""	""	""	""	""	""	""
"42"	"7"	""	"40"	""	""	""	""	"23"	""	"431"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"0"	"5"	""	""	""	"519"	""	""	""	""	"0"	""	"519"	""	""	""	""	""	""	""
"43"	"8"	""	"99"	""	""	""	""	"24"	""	"407"	""	""	""	"16"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"4"	"9"	""	""	""	"575"	""	""	""	""	"0"	""	"575"	""	""	""	""	""	""	""
"44"	"9"	""	"264"	""	""	""	""	"24"	""	"268"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"3"	"10"	""	""	""	"594"	""	""	""	""	"0"	""	"594"	""	""	""	""	""	""	""
"45"	"10"	""	"176"	""	""	""	""	"13"	""	"249"	""	""	""	"14"	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	""	"15"	""	""	""	""	"6"	"24"	""	""	""	"513"	""	""	""	""	"0"	""	"513"	""	""	""	""	""	""	""
"46"	"11"	""	"99"	""	""	""	""	"7"	""	"308"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"0"	"10"	""	""	""	"442"	""	""	""	""	"0"	""	"442"	""	""	""	""	""	""	""
"47"	"12"	""	"126"	""	""	""	""	"28"	""	"358"	""	""	""	"42"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	"8"	"11"	""	""	""	"601"	""	""	""	""	"0"	""	"601"	""	""	""	""	""	""	""
"48"	"13"	""	"160"	""	""	""	""	"27"	""	"211"	""	""	""	"17"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"14"	""	""	""	""	"5"	"33"	""	""	""	"482"	""	""	""	""	"0"	""	"482"	""	""	""	""	""	""	""
"49"	"Total"	""	"1410"	""	""	""	""	"195"	""	"3893"	""	""	""	"477"	""	""	""	""	"126"	""	""	""	""	"107"	""	""	""	""	"121"	""	""	""	""	"70"	"168"	""	""	""	"6567"	""	""	""	""	"0"	""	"6567"	""	""	""	""	""	""	""
"50"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"14"	""	"68"	""	""	"6"	""	""	""	"345"	""	"11"	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	"12"	""	""	"467"	""	""	""	"0"	""	""	""	"467"	""	""	""	""	""	""
"79"	"15"	""	"159"	""	""	"6"	""	""	""	"106"	""	"34"	""	""	""	""	"14"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"25"	""	""	"348"	""	""	""	"0"	""	""	""	"348"	""	""	""	""	""	""
"80"	"16"	""	"35"	""	""	"9"	""	""	""	"347"	""	"10"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	"15"	""	""	""	""	""	"6"	""	""	"18"	""	""	"457"	""	""	""	"0"	""	""	""	"457"	""	""	""	""	""	""
"81"	"17"	""	"64"	""	""	"4"	""	""	""	"251"	""	"10"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	"6"	""	""	"355"	""	""	""	"0"	""	""	""	"355"	""	""	""	""	""	""
"82"	"18"	""	"119"	""	""	"21"	""	""	""	"291"	""	"25"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	"5"	""	""	"17"	""	""	"505"	""	""	""	"0"	""	""	""	"505"	""	""	""	""	""	""
"83"	"19"	""	"113"	""	""	"16"	""	""	""	"164"	""	"11"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"13"	""	""	""	""	""	"4"	""	""	"2"	""	""	"334"	""	""	""	"0"	""	""	""	"334"	""	""	""	""	""	""
"84"	"19A"	""	"105"	""	""	"29"	""	""	""	"233"	""	"43"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	"12"	""	""	"449"	""	""	""	"0"	""	""	""	"449"	""	""	""	""	""	""
"85"	"20"	""	"129"	""	""	"11"	""	""	""	"243"	""	"66"	""	""	""	""	"27"	""	""	""	""	"10"	""	""	""	""	"14"	""	""	""	""	""	"8"	""	""	"105"	""	""	"613"	""	""	""	"0"	""	""	""	"613"	""	""	""	""	""	""
"86"	"21"	""	"187"	""	""	"32"	""	""	""	"253"	""	"31"	""	""	""	""	"5"	""	""	""	""	"16"	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	"48"	""	""	"588"	""	""	""	"0"	""	""	""	"588"	""	""	""	""	""	""
"87"	"22"	""	"39"	""	""	"13"	""	""	""	"306"	""	"17"	""	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	"42"	""	""	"447"	""	""	""	"0"	""	""	""	"447"	""	""	""	""	""	""
"88"	"23"	""	"54"	""	""	"5"	""	""	""	"216"	""	"3"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	"14"	""	""	"309"	""	""	""	"0"	""	""	""	"309"	""	""	""	""	""	""
"89"	"24"	""	"56"	""	""	"3"	""	""	""	"235"	""	"4"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"0"	""	""	"300"	""	""	""	"0"	""	""	""	"300"	""	""	""	""	""	""
"90"	"24A"	""	"35"	""	""	"1"	""	""	""	"270"	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	"13"	""	""	"325"	""	""	""	"0"	""	""	""	"325"	""	""	""	""	""	""
"91"	"25"	""	"133"	""	""	"12"	""	""	""	"169"	""	"15"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	"91"	""	""	"430"	""	""	""	"0"	""	""	""	"430"	""	""	""	""	""	""
"92"	"Total"	""	"1296"	""	""	"168"	""	""	""	"3429"	""	"282"	""	""	""	""	"89"	""	""	""	""	"101"	""	""	""	""	"102"	""	""	""	""	""	"55"	""	""	"405"	""	""	"5927"	""	""	""	"0"	""	""	""	"5927"	""	""	""	""	""	""
"93"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
