"FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.195.PALIGANJ.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"14"	"10"	""	""	""	"301"	""	""	""	"45"	""	""	"4"	""	""	""	"57"	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"20"	""	""	"11"	""	""	"8"	""	""	""	"7"	""	""	""	"4"	""	""	"16"	""	""	"485"	""	""	""	""	""	""	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"11"	""	""	""	"5"	""	""	""	"322"	""	""	"3"	""	""	""	"27"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	"11"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"375"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"12"	""	""	""	"127"	""	""	""	"66"	""	""	"3"	""	""	""	"59"	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	""	"8"	""	""	"8"	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	"11"	""	""	"301"	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"12A"	""	""	""	"98"	""	""	""	"33"	""	""	"2"	""	""	""	"73"	""	""	"6"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"29"	""	""	"5"	""	""	"4"	""	""	""	"2"	""	""	""	"4"	""	""	"5"	""	""	"263"	""	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Total"	""	""	""	"1992"	""	""	""	"1497"	""	""	"65"	""	""	""	"1137"	""	""	"156"	""	""	""	"18"	""	""	""	"26"	""	""	""	"39"	""	""	""	"101"	""	""	"119"	""	""	"64"	""	""	""	"43"	""	""	""	"50"	""	""	"94"	""	""	"5401"	""	""	""	""	""	""	"5401"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Grand Total"	""	""	""	"1992"	""	""	""	"1497"	""	""	"65"	""	""	""	"1137"	""	""	"156"	""	""	""	"18"	""	""	""	"26"	""	""	""	"39"	""	""	""	"101"	""	""	"119"	""	""	"64"	""	""	""	"43"	""	""	""	"50"	""	""	"94"	""	""	"5401"	""	""	""	"0"	""	""	"5401"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"21"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-2
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial no. of polling station"	""	"DR.USHA VIDYARTHI"	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	"SHAMSHIR ALAM"	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	""	"DIN NATH YADAV"	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"13"	""	"97"	""	""	"80"	""	""	""	"2"	""	""	""	"168"	""	""	"5"	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	"12"	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	"383"	""	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"13A"	""	"84"	""	""	"6"	""	""	""	"0"	""	""	""	"46"	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"141"	""	""	""	""	""	""	"141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"14"	""	"22"	""	""	"55"	""	""	""	"10"	""	""	""	"262"	""	""	"8"	""	""	"1"	""	""	""	"6"	""	""	""	"8"	""	""	""	"5"	""	""	""	"15"	""	""	""	"6"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	"410"	""	""	""	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"15"	""	"155"	""	""	"44"	""	""	""	"2"	""	""	""	"82"	""	""	"9"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"34"	""	""	""	"9"	""	""	""	"14"	""	""	"3"	""	""	""	"1"	""	""	""	"8"	""	""	"364"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"16"	""	"75"	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"84"	""	""	""	""	""	""	"84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"16A"	""	"138"	""	""	"182"	""	""	""	"5"	""	""	""	"73"	""	""	"7"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	"417"	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"17"	""	"59"	""	""	"186"	""	""	""	"4"	""	""	""	"181"	""	""	"5"	""	""	"0"	""	""	""	"2"	""	""	""	"7"	""	""	""	"3"	""	""	""	"17"	""	""	""	"9"	""	""	"5"	""	""	""	"9"	""	""	""	"8"	""	""	"495"	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"17A"	""	"45"	""	""	"6"	""	""	""	"0"	""	""	""	"82"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	"146"	""	""	""	""	""	""	"146"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"18"	""	"10"	""	""	"87"	""	""	""	"3"	""	""	""	"6"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	"115"	""	""	""	""	""	""	"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"19"	""	"81"	""	""	"262"	""	""	""	"0"	""	""	""	"6"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	"358"	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"20"	""	"121"	""	""	"132"	""	""	""	"5"	""	""	""	"114"	""	""	"26"	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	"10"	""	""	""	"4"	""	""	"4"	""	""	""	"3"	""	""	""	"8"	""	""	"437"	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"21"	""	"262"	""	""	"14"	""	""	""	"3"	""	""	""	"170"	""	""	"13"	""	""	"4"	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	"11"	""	""	""	"2"	""	""	"2"	""	""	""	"5"	""	""	""	"1"	""	""	"500"	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"22"	""	"83"	""	""	"85"	""	""	""	"7"	""	""	""	"157"	""	""	"7"	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"6"	""	""	""	"13"	""	""	""	"8"	""	""	"6"	""	""	""	"3"	""	""	""	"9"	""	""	"395"	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"23"	""	"280"	""	""	"53"	""	""	""	"4"	""	""	""	"139"	""	""	"18"	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	""	"9"	""	""	""	"18"	""	""	""	"12"	""	""	"6"	""	""	""	"4"	""	""	""	"11"	""	""	"561"	""	""	""	""	""	""	"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Total"	""	"1512"	""	""	"1197"	""	""	""	"45"	""	""	""	"1487"	""	""	"102"	""	""	"19"	""	""	""	"23"	""	""	""	"33"	""	""	""	"73"	""	""	""	"113"	""	""	""	"65"	""	""	"37"	""	""	""	"35"	""	""	""	"65"	""	""	"4806"	""	""	""	""	""	""	"4806"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Till last
round"	""	"1992"	""	""	"1497"	""	""	""	"65"	""	""	""	"1137"	""	""	"156"	""	""	"18"	""	""	""	"26"	""	""	""	"39"	""	""	""	"101"	""	""	""	"119"	""	""	""	"64"	""	""	"43"	""	""	""	"50"	""	""	""	"94"	""	""	"5401"	""	""	"0"	""	""	""	"5401"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Grand
Total"	""	"3504"	""	""	"2694"	""	""	""	"110"	""	""	""	"2624"	""	""	"258"	""	""	"37"	""	""	""	"49"	""	""	""	"72"	""	""	""	"174"	""	""	""	"232"	""	""	""	"129"	""	""	"80"	""	""	""	"85"	""	""	""	"159"	""	""	"10207"	""	""	"0"	""	""	""	"10207"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-3
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial no. of polling station"	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	"NAND KUMAR NANDA"	""	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	"RAM RAKSHA PRASAD"	""	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""
"52"	"24"	"107"	""	""	""	"62"	""	""	""	"5"	""	""	"177"	""	""	""	"16"	""	""	""	"2"	""	""	"2"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	"32"	""	""	""	"15"	""	""	""	"11"	""	""	"10"	""	""	""	"22"	""	""	"472"	""	""	""	""	""	""	""	"472"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"25"	"196"	""	""	""	"13"	""	""	""	"2"	""	""	"114"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	""	"6"	""	""	"341"	""	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"26"	"64"	""	""	""	"189"	""	""	""	"4"	""	""	"399"	""	""	""	"13"	""	""	""	"3"	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"13"	""	""	""	"2"	""	""	""	"7"	""	""	"3"	""	""	""	"4"	""	""	"706"	""	""	""	""	""	""	""	"706"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"27"	"169"	""	""	""	"114"	""	""	""	"4"	""	""	"118"	""	""	""	"3"	""	""	""	"11"	""	""	"5"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"19"	""	""	""	"13"	""	""	""	"4"	""	""	"8"	""	""	""	"14"	""	""	"485"	""	""	""	""	""	""	""	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"28"	"40"	""	""	""	"372"	""	""	""	"1"	""	""	"10"	""	""	""	"0"	""	""	""	"3"	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	"1"	""	""	"432"	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"29"	"153"	""	""	""	"78"	""	""	""	"1"	""	""	"39"	""	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"7"	""	""	""	"5"	""	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	"298"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"30"	"29"	""	""	""	"208"	""	""	""	"7"	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"4"	""	""	""	"2"	""	""	"260"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"31"	"108"	""	""	""	"35"	""	""	""	"11"	""	""	"170"	""	""	""	"21"	""	""	""	"2"	""	""	"4"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	"22"	""	""	""	"4"	""	""	""	"5"	""	""	"6"	""	""	""	"10"	""	""	"410"	""	""	""	""	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
