"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"117"	""	"79"	"169"	"8"	"109"	"41"	"6"	"5"	"3"	"5"	"20"	"366"	""	"366"	"0"
"118"	""	"80"	"286"	"11"	"139"	"4"	"4"	"0"	"1"	"2"	"2"	"449"	""	"449"	"0"
"119"	""	"81"	"239"	"24"	"14"	"33"	"5"	"2"	"4"	"6"	"21"	"348"	""	"348"	"0"
"120"	""	"81a"	"193"	"6"	"21"	"23"	"2"	"4"	"6"	"4"	"25"	"284"	""	"284"	"0"
"121"	""	"82"	"104"	"8"	"155"	"82"	"14"	"8"	"14"	"6"	"9"	"400"	""	"400"	"0"
"122"	""	"83"	"218"	"12"	"35"	"51"	"13"	"6"	"10"	"10"	"15"	"370"	""	"370"	"0"
"123"	""	"84"	"116"	"15"	"58"	"57"	"6"	"6"	"13"	"2"	"19"	"292"	""	"292"	"0"
"124"	""	"84a"	"130"	"12"	"7"	"60"	"9"	"6"	"23"	"9"	"23"	"279"	""	"279"	"0"
"125"	""	"Total"	"2747"	"178"	"976"	"960"	"117"	"76"	"109"	"105"	"259"	"5527"	""	"5527"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"129"	"Round - 8"	"85"	"208"	"13"	"19"	"86"	"11"	"10"	"12"	"8"	"19"	"386"	""	"386"	"0"
"130"	""	"86"	"218"	"22"	"15"	"145"	"25"	"11"	"14"	"21"	"28"	"499"	""	"499"	"0"
"131"	""	"87"	"308"	"15"	"27"	"83"	"5"	"1"	"12"	"5"	"5"	"461"	""	"461"	"0"
"132"	""	"88"	"156"	"14"	"88"	"39"	"12"	"4"	"5"	"4"	"2"	"324"	""	"324"	"0"
"133"	""	"89"	"69"	"2"	"92"	"15"	"3"	"0"	"1"	"0"	"3"	"185"	""	"185"	"0"
"134"	""	"90"	"169"	"4"	"2"	"24"	"0"	"3"	"2"	"3"	"3"	"210"	""	"210"	"0"
"135"	""	"91"	"131"	"10"	"124"	"125"	"7"	"5"	"4"	"8"	"22"	"436"	""	"436"	"0"
"136"	""	"92"	"161"	"17"	"34"	"76"	"4"	"6"	"3"	"4"	"8"	"313"	""	"313"	"0"
"137"	""	"92a"	"89"	"6"	"78"	"76"	"6"	"9"	"8"	"1"	"2"	"275"	""	"275"	"0"
"138"	""	"93"	"276"	"20"	"21"	"52"	"10"	"2"	"4"	"2"	"14"	"401"	""	"401"	"0"
"139"	""	"94"	"342"	"8"	"38"	"27"	"3"	"3"	"3"	"4"	"7"	"435"	""	"435"	"0"
"140"	""	"95"	"21"	"6"	"138"	"42"	"3"	"6"	"5"	"1"	"6"	"228"	""	"228"	"0"
"141"	""	"96"	"102"	"9"	"152"	"36"	"2"	"9"	"5"	"6"	"9"	"330"	""	"330"	"0"
"142"	""	"97"	"14"	"3"	"207"	"69"	"11"	"3"	"10"	"6"	"17"	"340"	""	"340"	"0"
"143"	""	"Total"	"2264"	"149"	"1035"	"895"	"102"	"72"	"88"	"73"	"145"	"4823"	""	"4823"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"147"	"Round - 9"	"98"	"163"	"23"	"82"	"90"	"11"	"11"	"14"	"11"	"14"	"419"	""	"419"	"0"
"148"	""	"99"	"213"	"33"	"58"	"118"	"12"	"7"	"25"	"4"	"11"	"481"	""	"481"	"0"
"149"	""	"100"	"23"	"2"	"30"	"159"	"11"	"4"	"2"	"9"	"9"	"249"	""	"249"	"0"
"150"	""	"101"	"290"	"18"	"20"	"89"	"13"	"3"	"10"	"14"	"20"	"477"	""	"477"	"0"
"151"	""	"102"	"38"	"2"	"23"	"209"	"34"	"8"	"18"	"10"	"37"	"379"	""	"379"	"0"
"152"	""	"103"	"98"	"1"	"2"	"97"	"0"	"0"	"47"	"2"	"7"	"254"	""	"254"	"0"
"153"	""	"104"	"134"	"5"	"21"	"231"	"6"	"5"	"33"	"13"	"42"	"490"	""	"490"	"0"
"154"	""	"105"	"206"	"16"	"108"	"153"	"15"	"9"	"24"	"10"	"10"	"551"	""	"551"	"0"
"155"	""	"106"	"129"	"4"	"10"	"143"	"6"	"5"	"36"	"4"	"21"	"358"	""	"358"	"0"
"156"	""	"107"	"18"	"5"	"3"	"224"	"5"	"4"	"47"	"3"	"23"	"332"	""	"332"	"0"
"157"	""	"108"	"178"	"13"	"86"	"157"	"15"	"2"	"6"	"6"	"9"	"472"	""	"472"	"0"
"158"	""	"109"	"30"	"1"	"51"	"82"	"6"	"2"	"2"	"2"	"12"	"188"	""	"188"	"0"
"159"	""	"110"	"449"	"18"	"31"	"27"	"4"	"7"	"86"	"2"	"12"	"636"	""	"636"	"0"
"160"	""	"111"	"319"	"14"	"5"	"14"	"3"	"1"	"4"	"4"	"16"	"380"	""	"380"	"0"
"161"	""	"Total"	"2288"	"155"	"530"	"1793"	"141"	"68"	"354"	"94"	"243"	"5666"	""	"5666"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"165"	"Round - 10"	"112"	"275
41"	"16"	"10"	"64"	"1"	"7"	"10"	"9"	"11"	"403"	""	"403"	"0"
"166"	""	"113"	""	"3"	"174"	"48"	"1"	"3"	"2"	"5"	"4"	"281"	""	"281"	"0"
"167"	""	"114"	"68"	"8"	"248"	"69"	"6"	"5"	"7"	"5"	"21"	"437"	""	"437"	"0"
"168"	""	"115"	"104"	"17"	"78"	"206"	"15"	"7"	"33"	"10"	"24"	"494"	""	"494"	"0"
"169"	""	"116"	"80"	"7"	"125"	"117"	"7"	"7"	"70"	"20"	"17"	"450"	""	"450"	"0"
"170"	""	"117"	"101"	"5"	"216"	"125"	"7"	"9"	"14"	"9"	"19"	"505"	""	"505"	"0"
"171"	""	"118"	"91"	"6"	"83"	"125"	"7"	"4"	"10"	"13"	"33"	"372"	""	"372"	"0"
"172"	""	"119"	"98"	"4"	"147"	"196"	"14"	"14"	"48"	"13"	"21"	"555"	""	"555"	"0"
"173"	""	"120"	"103"	"12"	"118"	"325"	"14"	"11"	"70"	"18"	"25"	"696"	""	"696"	"0"
"174"	""	"121"	"223"	"19"	"63"	"106"	"9"	"5"	"38"	"7"	"6"	"476"	""	"476"	"0"
"175"	""	"122"	"119"	"16"	"8"	"136"	"6"	"1"	"46"	"3"	"15"	"350"	""	"350"	"0"
"176"	""	"122A"	"83"	"12"	"8"	"171"	"13"	"5"	"20"	"4"	"15"	"331"	""	"331"	"0"
"177"	""	"123"	"196"	"12"	"71"	"133"	"19"	"10"	"8"	"15"	"18"	"482"	""	"482"	"0"
"178"	""	"124"	"250"	"12"	"59"	"45"	"1"	"0"	"0"	"2"	"2"	"371"	""	"371"	"0"
"179"	""	"Total"	"1832"	"149"	"1408"	"1866"	"120"	"88"	"376"	"133"	"231"	"6203"	""	"6203"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"183"	"Round - 11"	"124A"	"147"	"5"	"59"	"26"	"3"	"1"	"3"	"8"	"5"	"257"	""	"257"	"0"
"184"	""	"125"	"43"	"13"	"137"	"157"	"17"	"4"	"2"	"9"	"3"	"385"	""	"385"	"0"
"185"	""	"126"	"47"	"14"	"26"	"217"	"5"	"4"	"0"	"8"	"6"	"327"	""	"327"	"0"
"186"	""	"127"	"122"	"12"	"32"	"229"	"23"	"17"	"13"	"9"	"25"	"482"	""	"482"	"0"
"187"	""	"128"	"144"	"10"	"52"	"114"	"8"	"2"	"7"	"6"	"19"	"362"	""	"362"	"0"
"188"	""	"129"	"175"	"16"	"37"	"169"	"20"	"6"	"6"	"7"	"20"	"456"	""	"456"	"0"
"189"	""	"130"	"95"	"7"	"87"	"66"	"12"	"9"	"10"	"21"	"47"	"354"	""	"354"	"0"
"190"	""	"131"	"5"	"0"	"64"	"112"	"4"	"1"	"6"	"36"	"12"	"240"	""	"240"	"0"
"191"	""	"131A"	"12"	"7"	"111"	"91"	"3"	"9"	"0"	"16"	"6"	"255"	""	"255"	"0"
"192"	""	"132"	"215"	"16"	"21"	"70"	"9"	"6"	"29"	"9"	"9"	"384"	""	"384"	"0"
"193"	""	"132A"	"122"	"18"	"8"	"28"	"5"	"3"	"1"	"16"	"24"	"225"	""	"225"	"0"
"194"	""	"133"	"233"	"13"	"95"	"216"	"18"	"2"	"9"	"17"	"19"	"622"	""	"622"	"0"
"195"	""	"134"	"306"	"20"	"51"	"117"	"9"	"12"	"13"	"14"	"35"	"577"	""	"577"	"0"
"196"	""	"135"	"95"	"7"	"43"	"174"	"7"	"2"	"4"	"4"	"13"	"349"	""	"349"	"0"
"197"	""	"Total"	"1761"	"158"	"823"	"1786"	"143"	"78"	"103"	"180"	"243"	"5275"	""	"5275"	"0"
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"201"	"Round - 12"	"136"	"83"	"9"	"15"	"138"	"7"	"12"	"5"	"7"	"14"	"290"	""	"290"	"0"
"202"	""	"137"	"95"	"23"	"42"	"117"	"15"	"10"	"6"	"5"	"15"	"328"	""	"328"	"0"
"203"	""	"138"	"194"	"15"	"124"	"171"	"5"	"3"	"5"	"4"	"25"	"546"	""	"546"	"0"
"204"	""	"139"	"39"	"3"	"27"	"144"	"11"	"15"	"5"	"5"	"14"	"263"	""	"263"	"0"
