"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"64"	"49"	"184"	"17"	"19"	"136"	"10"	"5"	"10"	"381"	"-"	"381"	"-"
"65"	"50"	"81"	"6"	"21"	"250"	"17"	"6"	"7"	"388"	"-"	"388"	"-"
"66"	"51"	"23"	"2"	"10"	"161"	"38"	"3"	"9"	"246"	"-"	"246"	"-"
"67"	"52"	"37"	"4"	"12"	"142"	"19"	"11"	"24"	"249"	"-"	"249"	"-"
"68"	"53"	"175"	"23"	"12"	"15"	"9"	"5"	"16"	"255"	"-"	"255"	"-"
"69"	"54"	"56"	"19"	"25"	"377"	"28"	"7"	"12"	"524"	"-"	"524"	"-"
"70"	"55"	"135"	"13"	"26"	"214"	"18"	"12"	"10"	"428"	"-"	"428"	"-"
"71"	"56"	"215"	"13"	"19"	"76"	"12"	"10"	"24"	"369"	"-"	"369"	"-"
"72"	"56A"	"66"	"6"	"35"	"29"	"1"	"1"	"13"	"151"	"-"	"151"	"-"
"73"	"57"	"234"	"12"	"8"	"126"	"8"	"4"	"4"	"396"	"-"	"396"	"-"
"74"	"58"	"182"	"21"	"14"	"202"	"9"	"5"	"18"	"451"	"-"	"451"	"-"
"75"	"59"	"52"	"10"	"28"	"167"	"7"	"7"	"14"	"285"	"-"	"285"	"-"
"76"	"59A"	"99"	"2"	"79"	"67"	"13"	"7"	"29"	"296"	"-"	"296"	"-"
"77"	"60"	"110"	"18"	"14"	"194"	"10"	"3"	"19"	"368"	"-"	"368"	"-"
"78"	"61"	"246"	"18"	"24"	"76"	"10"	"1"	"13"	"388"	"-"	"388"	"-"
"79"	"62"	"139"	"29"	"14"	"172"	"19"	"9"	"26"	"408"	"-"	"408"	"-"
"80"	"63"	"181"	"12"	"24"	"120"	"13"	"9"	"28"	"387"	"-"	"387"	"-"
"81"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"82"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"83"	"66"	"177"	"8"	"28"	"134"	"17"	"8"	"19"	"391"	"-"	"391"	"-"
"84"	"67"	"188"	"26"	"13"	"145"	"25"	"5"	"21"	"423"	"-"	"423"	"-"
"85"	"68"	"201"	"9"	"38"	"274"	"28"	"18"	"22"	"590"	"-"	"590"	"-"
"86"	"69"	"119"	"15"	"8"	"111"	"5"	"1"	"6"	"265"	"-"	"265"	"-"
"87"	"70"	"132"	"12"	"16"	"105"	"24"	"8"	"24"	"321"	"-"	"321"	"-"
"88"	"70A"	"102"	"9"	"29"	"187"	"27"	"7"	"11"	"372"	"-"	"372"	"-"
"89"	"71"	"186"	"10"	"95"	"71"	"11"	"13"	"20"	"406"	"-"	"406"	"-"
"90"	"72"	"235"	"10"	"4"	"73"	"14"	"6"	"5"	"347"	"-"	"347"	"-"
"91"	"73"	"264"	"8"	"26"	"38"	"8"	"5"	"11"	"360"	"-"	"360"	"-"
"92"	"74"	"221"	"8"	"41"	"30"	"3"	"1"	"9"	"313"	"-"	"313"	"-"
"93"	"75"	"71"	"11"	"24"	"206"	"16"	"4"	"6"	"338"	"-"	"338"	"-"
"94"	"76"	"218"	"15"	"91"	"31"	"11"	"6"	"38"	"410"	"-"	"410"	"-"
"95"	"76A"	"212"	"13"	"18"	"32"	"4"	"7"	"12"	"298"	"-"	"298"	"-"
"96"	"77"	"330"	"17"	"37"	"94"	"14"	"9"	"9"	"510"	"-"	"510"	"-"
"97"	"78"	"72"	"9"	"79"	"133"	"19"	"3"	"24"	"339"	"-"	"339"	"-"
"98"	"79"	"143"	"16"	"19"	"290"	"14"	"10"	"17"	"509"	"-"	"509"	"-"
"99"	"80"	"263"	"14"	"11"	"65"	"11"	"2"	"7"	"373"	"-"	"373"	"-"
"100"	"81"	"224"	"32"	"21"	"176"	"34"	"13"	"22"	"522"	"-"	"522"	"-"
"101"	"82"	"319"	"39"	"26"	"247"	"24"	"6"	"34"	"695"	"-"	"695"	"-"
"102"	"83"	"321"	"9"	"4"	"137"	"10"	"7"	"13"	"501"	"-"	"501"	"-"
"103"	"83A"	"109"	"5"	"0"	"12"	"1"	"1"	"0"	"128"	"-"	"128"	"-"
"104"	"84"	"137"	"6"	"14"	"58"	"8"	"4"	"15"	"242"	"-"	"242"	"-"
"105"	"85"	"288"	"6"	"8"	"22"	"10"	"5"	"14"	"353"	"-"	"353"	"-"
"106"	"86"	"126"	"11"	"10"	"106"	"10"	"5"	"12"	"280"	"-"	"280"	"-"
"107"	"87"	"115"	"11"	"69"	"68"	"9"	"4"	"25"	"301"	"-"	"301"	"-"
"108"	"88"	"40"	"10"	"129"	"120"	"16"	"5"	"18"	"338"	"-"	"338"	"-"
"109"	"89"	"192"	"4"	"3"	"23"	"0"	"0"	"3"	"225"	"-"	"225"	"-"
"110"	"90"	"143"	"4"	"4"	"34"	"5"	"3"	"2"	"195"	"-"	"195"	"-"
"111"	"91"	"302"	"19"	"46"	"102"	"21"	"10"	"30"	"530"	"-"	"530"	"-"
"112"	"92"	"71"	"8"	"48"	"108"	"14"	"10"	"19"	"278"	"-"	"278"	"-"
"113"	"93"	"109"	"19"	"135"	"56"	"11"	"6"	"17"	"353"	"-"	"353"	"-"
"114"	"93A"	"269"	"26"	"22"	"27"	"8"	"4"	"9"	"365"	"-"	"365"	"-"
"115"	"94"	"280"	"18"	"93"	"97"	"10"	"10"	"43"	"551"	"-"	"551"	"-"
"116"	"95"	"230"	"29"	"25"	"181"	"19"	"17"	"35"	"536"	"-"	"536"	"-"
"117"	"96"	"192"	"6"	"5"	"152"	"13"	"7"	"13"	"388"	"-"	"388"	"-"
"118"	"97"	"232"	"10"	"12"	"128"	"7"	"7"	"8"	"404"	"-"	"404"	"-"
"119"	"98"	"141"	"8"	"13"	"143"	"16"	"7"	"17"	"345"	"-"	"345"	"-"
"120"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"122"	"101"	"29"	"10"	"3"	"291"	"19"	"8"	"7"	"367"	"-"	"367"	"-"
"123"	"101A"	"133"	"10"	"8"	"132"	"14"	"5"	"11"	"313"	"-"	"313"	"-"
"124"	"102"	"18"	"7"	"18"	"303"	"24"	"5"	"12"	"387"	"-"	"387"	"-"
"125"	"103"	"199"	"15"	"14"	"13"	"3"	"2"	"9"	"255"	"-"	"255"	"-"
"126"	"104"	"75"	"18"	"161"	"51"	"18"	"8"	"25"	"356"	"-"	"356"	"-"
"127"	"105"	"174"	"18"	"20"	"181"	"11"	"6"	"18"	"428"	"-"	"428"	"-"
"128"	"106"	"174"	"9"	"4"	"56"	"1"	"3"	"13"	"260"	"-"	"260"	"-"
"129"	"107"	"338"	"13"	"11"	"114"	"15"	"5"	"7"	"503"	"-"	"503"	"-"
"130"	"108"	"438"	"1"	"19"	"37"	"0"	"1"	"14"	"510"	"-"	"510"	"-"
"131"	"109"	"230"	"10"	"3"	"58"	"9"	"6"	"6"	"322"	"-"	"322"	"-"
"132"	"110"	"99"	"14"	"12"	"179"	"22"	"10"	"21"	"357"	"-"	"357"	"-"
"133"	"111"	"280"	"7"	"47"	"18"	"5"	"1"	"27"	"385"	"-"	"385"	"-"
"134"	"112"	"245"	"9"	"11"	"24"	"1"	"3"	"3"	"296"	"-"	"296"	"-"
"135"	"113"	"217"	"14"	"8"	"106"	"6"	"4"	"8"	"363"	"-"	"363"	"-"
"136"	"114"	"57"	"6"	"27"	"30"	"3"	"1"	"8"	"132"	"-"	"132"	"-"
"137"	"115"	"274"	"7"	"7"	"101"	"16"	"5"	"7"	"417"	"-"	"417"	"-"
"138"	"116"	"277"	"15"	"25"	"65"	"4"	"3"	"25"	"414"	"-"	"414"	"-"
"139"	"117"	"158"	"97"	"97"	"57"	"12"	"3"	"29"	"453"	"-"	"453"	"-"
"140"	"118"	"72"	"11"	"9"	"231"	"7"	"5"	"8"	"343"	"-"	"343"	"-"
"141"	"119"	"247"	"17"	"6"	"75"	"6"	"3"	"10"	"364"	"-"	"364"	"-"
"142"	"120"	"126"	"8"	"64"	"5"	"4"	"3"	"9"	"219"	"-"	"219"	"-"
"143"	"121"	"161"	"17"	"7"	"175"	"7"	"4"	"8"	"379"	"-"	"379"	"-"
"144"	"122"	"276"	"38"	"14"	"95"	"13"	"6"	"20"	"462"	"-"	"462"	"-"
"145"	"123"	"416"	"12"	"12"	"46"	"6"	"2"	"6"	"500"	"-"	"500"	"-"
"146"	"124"	"524"	"25"	"47"	"143"	"12"	"8"	"15"	"774"	"-"	"774"	"-"
"147"	"125"	"338"	"28"	"90"	"151"	"15"	"7"	"13"	"642"	"-"	"642"	"-"
"148"	"126"	"160"	"12"	"48"	"184"	"33"	"17"	"30"	"484"	"-"	"484"	"-"
"149"	"127"	"156"	"7"	"9"	"161"	"19"	"10"	"17"	"379"	"-"	"379"	"-"
"150"	"128"	"21"	"5"	"19"	"85"	"6"	"3"	"8"	"147"	"-"	"147"	"-"
"151"	"129"	"371"	"24"	"9"	"33"	"2"	"9"	"16"	"464"	"-"	"464"	"-"
"152"	"130"	"298"	"16"	"109"	"45"	"18"	"13"	"48"	"547"	"-"	"547"	"-"
"153"	"131"	"250"	"16"	"13"	"224"	"7"	"9"	"16"	"535"	"-"	"535"	"-"
"154"	"132"	"93"	"5"	"6"	"317"	"43"	"7"	"17"	"488"	"-"	"488"	"-"
"155"	"133"	"83"	"8"	"17"	"223"	"28"	"15"	"31"	"405"	"-"	"405"	"-"
"156"	"134"	"110"	"12"	"14"	"92"	"15"	"2"	"16"	"261"	"-"	"261"	"-"
"157"	"135"	"131"	"16"	"10"	"229"	"22"	"16"	"28"	"452"	"-"	"452"	"-"
"158"	"136"	"147"	"13"	"8"	"86"	"15"	"10"	"18"	"297"	"-"	"297"	"-"
"159"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"160"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"161"	"139"	"431"	"17"	"1"	"18"	"6"	"0"	"8"	"481"	"-"	"481"	"-"
"162"	"140"	"335"	"34"	"12"	"50"	"16"	"11"	"21"	"479"	"-"	"479"	"-"
"163"	"141"	"305"	"17"	"9"	"32"	"8"	"2"	"10"	"383"	"-"	"383"	"-"
"164"	"142"	"407"	"9"	"4"	"4"	"3"	"0"	"1"	"428"	"-"	"428"	"-"
"165"	"143"	"267"	"19"	"62"	"155"	"15"	"5"	"19"	"542"	"-"	"542"	"-"
"166"	"144"	"224"	"17"	"48"	"147"	"19"	"7"	"18"	"480"	"-"	"480"	"-"
"167"	"145"	"289"	"18"	"109"	"216"	"16"	"9"	"13"	"670"	"-"	"670"	"-"
"168"	"146"	"431"	"10"	"14"	"13"	"6"	"5"	"14"	"493"	"-"	"493"	"-"
"169"	"147"	"143"	"11"	"103"	"16"	"7"	"1"	"28"	"309"	"-"	"309"	"-"
"170"	"148"	"191"	"18"	"217"	"63"	"7"	"11"	"42"	"549"	"-"	"549"	"-"
"171"	"149"	"285"	"15"	"57"	"21"	"4"	"3"	"21"	"406"	"-"	"406"	"-"
"172"	"150"	"296"	"25"	"37"	"121"	"12"	"4"	"16"	"511"	"-"	"511"	"-"
"173"	"151"	"334"	"22"	"34"	"104"	"18"	"2"	"26"	"540"	"-"	"540"	"-"
"174"	"152"	"38"	"5"	"72"	"109"	"4"	"5"	"19"	"252"	"-"	"252"	"-"
"175"	"153"	"188"	"15"	"20"	"220"	"34"	"20"	"41"	"538"	"-"	"538"	"-"
"176"	"154"	"149"	"7"	"9"	"18"	"10"	"2"	"14"	"209"	"-"	"209"	"-"
"177"	"155"	"121"	"9"	"12"	"215"	"31"	"5"	"21"	"414"	"-"	"414"	"-"
"178"	"156"	"169"	"11"	"7"	"102"	"13"	"7"	"11"	"320"	"-"	"320"	"-"
"179"	"157"	"36"	"5"	"11"	"277"	"21"	"8"	"21"	"379"	"-"	"379"	"-"
"180"	"158"	"114"	"5"	"9"	"231"	"15"	"7"	"15"	"396"	"-"	"396"	"-"
"181"	"159"	"182"	"23"	"18"	"279"	"32"	"10"	"29"	"573"	"-"	"573"	"-"
"182"	"160"	"302"	"10"	"5"	"45"	"6"	"6"	"11"	"385"	"-"	"385"	"-"
"183"	"161"	"291"	"8"	"6"	"38"	"2"	"4"	"8"	"357"	"-"	"357"	"-"
"184"	"162"	"456"	"25"	"46"	"45"	"11"	"6"	"27"	"616"	"-"	"616"	"-"
"185"	"163"	"258"	"18"	"6"	"20"	"8"	"2"	"2"	"314"	"-"	"314"	"-"
"186"	"164"	"217"	"18"	"40"	"50"	"8"	"8"	"48"	"389"	"-"	"389"	"-"
"187"	"165"	"276"	"6"	"5"	"30"	"8"	"5"	"8"	"331"	"-"	"331"	"-"
"188"	"165A"	"228"	"5"	"8"	"38"	"5"	"1"	"10"	"295"	"-"	"295"	"-"
"189"	"166"	"271"	"12"	"65"	"131"	"12"	"9"	"16"	"516"	"-"	"516"	"-"
"190"	"167"	"86"	"12"	"31"	"129"	"19"	"2"	"28"	"307"	"-"	"307"	"-"
"191"	"168"	"324"	"15"	"8"	"39"	"7"	"5"	"17"	"415"	"-"	"415"	"-"
"192"	"169"	"273"	"5"	"3"	"95"	"5"	"2"	"4"	"387"	"-"	"387"	"-"
"193"	"170"	"215"	"6"	"8"	"243"	"22"	"10"	"12"	"516"	"-"	"516"	"-"
"194"	"171"	"132"	"9"	"23"	"143"	"16"	"11"	"20"	"354"	"-"	"354"	"-"
"195"	"172"	"198"	"4"	"6"	"73"	"1"	"1"	"5"	"288"	"-"	"288"	"-"
"196"	"172A"	"26"	"5"	"2"	"166"	"10"	"0"	"0"	"209"	"-"	"209"	"-"
"197"	"173"	"147"	"10"	"83"	"113"	"15"	"5"	"28"	"401"	"-"	"401"	"-"
"198"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"200"	"176"	"165"	"10"	"20"	"381"	"27"	"10"	"9"	"622"	"-"	"622"	"-"
"201"	"177"	"217"	"8"	"12"	"95"	"12"	"3"	"13"	"360"	"-"	"360"	"-"
"202"	"178"	"96"	"6"	"9"	"114"	"2"	"4"	"5"	"236"	"-"	"236"	"-"
"203"	"178A"	"146"	"12"	"31"	"90"	"3"	"6"	"10"	"298"	"-"	"298"	"-"
"204"	"179"	"99"	"7"	"90"	"69"	"11"	"8"	"14"	"298"	"-"	"298"	"-"
"205"	"180"	"58"	"0"	"9"	"80"	"3"	"2"	"5"	"157"	"-"	"157"	"-"
"206"	"181"	"235"	"10"	"26"	"163"	"11"	"6"	"14"	"465"	"-"	"465"	"-"
"207"	"182"	"406"	"21"	"35"	"129"	"7"	"6"	"15"	"619"	"-"	"619"	"-"
"208"	"183"	"148"	"18"	"124"	"48"	"8"	"6"	"23"	"375"	"-"	"375"	"-"
"209"	"183A"	"113"	"7"	"4"	"113"	"4"	"5"	"13"	"259"	"-"	"259"	"-"
"210"	"184"	"162"	"13"	"15"	"133"	"3"	"9"	"12"	"347"	"-"	"347"	"-"
"211"	"185"	"305"	"10"	"8"	"54"	"6"	"2"	"17"	"402"	"-"	"402"	"-"
"212"	"185A"	"116"	"6"	"3"	"85"	"10"	"5"	"8"	"233"	"-"	"233"	"-"
"213"	"186"	"300"	"8"	"14"	"173"	"9"	"9"	"17"	"530"	"-"	"530"	"-"
"214"	"187"	"175"	"8"	"27"	"255"	"10"	"7"	"13"	"495"	"-"	"495"	"-"
"215"	"188"	"246"	"11"	"67"	"173"	"17"	"8"	"13"	"535"	"-"	"535"	"-"
"216"	"189"	"28"	"5"	"23"	"85"	"0"	"2"	"7"	"150"	"-"	"150"	"-"
"217"	"190"	"152"	"9"	"9"	"134"	"7"	"5"	"13"	"329"	"-"	"329"	"-"
"218"	"191"	"178"	"9"	"9"	"148"	"19"	"4"	"23"	"390"	"-"	"390"	"-"
"219"	"192"	"74"	"5"	"24"	"212"	"5"	"1"	"11"	"332"	"-"	"332"	"-"
"220"	"193"	"20"	"3"	"9"	"186"	"7"	"5"	"15"	"245"	"-"	"245"	"-"
"221"	"194"	"256"	"16"	"23"	"60"	"9"	"9"	"15"	"388"	"-"	"388"	"-"
"222"	"195"	"118"	"10"	"55"	"60"	"12"	"6"	"15"	"276"	"-"	"276"	"-"
"223"	"196"	"204"	"25"	"23"	"136"	"16"	"15"	"28"	"447"	"-"	"447"	"-"
"224"	"197"	"142"	"6"	"30"	"343"	"8"	"3"	"9"	"541"	"-"	"541"	"-"
"225"	"Total"	"44146"	"2762"	"6479"	"24676"	"2656"	"1242"	"3306"	"85267"	"0"	"85267"	"0"
"226"	"Total No. of Valid Votes recorded on Postal Ballot Papers for Candidates and of rejected Postal Ballot Papers"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"
"227"	"Grand Total"	"44146"	"2762"	"6479"	"24676"	"2656"	"1242"	"3306"	"85267"	"0"	"85267"	"0"
"228"	"Place :- Sitamarhi"	""	""	""	""	""	""	""	""	""	""	""
