"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"14"	"11"	"1"	"20"	"57"	"248"	"3"	"0"	"0"	"1"	"330"	""	"330"	""
"15"	"12"	"33"	"179"	"26"	"232"	"10"	"9"	"8"	"37"	"534"	""	"534"	""
"16"	"TOTAL-I"	"188"	"807"	"447"	"3938"	"110"	"90"	"108"	"309"	"5997"	""	"5997"	""
"17"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"19"	"13"	"18"	"92"	"12"	"504"	"8"	"7"	"16"	"51"	"708"	""	"708"	""
"20"	"14"	"21"	"192"	"13"	"108"	"3"	"2"	"13"	"13"	"365"	""	"365"	""
"21"	"15"	"27"	"297"	"30"	"92"	"8"	"8"	"7"	"14"	"483"	""	"483"	""
"22"	"16"	"6"	"45"	"6"	"170"	"4"	"1"	"16"	"9"	"257"	""	"257"	""
"23"	"17"	"18"	"41"	"6"	"237"	"3"	"8"	"4"	"28"	"345"	""	"345"	""
"24"	"17d"	"10"	"30"	"4"	"224"	"4"	"4"	"9"	"20"	"305"	""	"305"	""
"25"	"18"	"20"	"192"	"10"	"151"	"10"	"2"	"8"	"14"	"407"	""	"407"	""
"26"	"18d"	"11"	"11"	"2"	"366"	"3"	"4"	"1"	"16"	"414"	""	"414"	""
"27"	"19"	"7"	"84"	"10"	"135"	"4"	"3"	"1"	"4"	"248"	""	"248"	""
"28"	"20"	"0"	"7"	"1"	"145"	"0"	"2"	"0"	"0"	"155"	""	"155"	""
"29"	"21"	"7"	"181"	"14"	"307"	"5"	"1"	"3"	"9"	"527"	""	"527"	""
"30"	"22"	"20"	"104"	"21"	"153"	"15"	"13"	"19"	"28"	"373"	""	"373"	""
"31"	"22d"	"17"	"19"	"11"	"314"	"10"	"9"	"13"	"38"	"431"	""	"431"	""
"32"	"23"	"17"	"112"	"23"	"458"	"7"	"13"	"11"	"39"	"680"	""	"680"	""
"33"	"TOTAL-II"	"199"	"1407"	"163"	"3364"	"84"	"77"	"121"	"283"	"5698"	""	"5698"	""
"34"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"36"	"24"	"6"	"44"	"5"	"495"	"4"	"5"	"7"	"32"	"598"	""	"598"	""
"37"	"25"	"11"	"66"	"26"	"402"	"5"	"5"	"10"	"16"	"541"	""	"541"	""
"38"	"26"	"11"	"155"	"16"	"376"	"14"	"17"	"16"	"41"	"646"	""	"646"	""
"39"	"27"	"50"	"164"	"28"	"188"	"4"	"6"	"8"	"23"	"471"	""	"471"	""
"40"	"27d"	"12"	"77"	"14"	"187"	"6"	"11"	"5"	"20"	"332"	""	"332"	""
"41"	"28"	"3"	"160"	"19"	"244"	"3"	"2"	"7"	"14"	"452"	""	"452"	""
"42"	"28d"	"5"	"134"	"13"	"133"	"3"	"2"	"0"	"7"	"297"	""	"297"	""
"43"	"29"	"15"	"133"	"30"	"384"	"9"	"7"	"10"	"16"	"604"	""	"604"	""
"44"	"30"	"16"	"35"	"15"	"313"	"14"	"40"	"13"	"24"	"470"	""	"470"	""
"45"	"31"	"11"	"113"	"7"	"101"	"4"	"13"	"1"	"9"	"259"	""	"259"	""
"46"	"32"	"7"	"16"	"5"	"347"	"11"	"15"	"7"	"27"	"435"	""	"435"	""
"47"	"33"	"7"	"55"	"11"	"257"	"13"	"36"	"6"	"20"	"405"	""	"405"	""
"48"	"34"	"10"	"199"	"7"	"364"	"2"	"22"	"5"	"21"	"630"	""	"630"	""
"49"	"35"	"13"	"123"	"11"	"184"	"2"	"10"	"6"	"10"	"359"	""	"359"	""
"50"	"Tota-lII"	"177"	"1474"	"207"	"3975"	"94"	"191"	"101"	"280"	"6499"	""	"6499"	""
"51"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"53"	"36"	"9"	"165"	"10"	"205"	"1"	"8"	"2"	"9"	"409"	""	"409"	""
"54"	"37"	"28"	"291"	"37"	"74"	"6"	"8"	"3"	"14"	"461"	""	"461"	""
"55"	"38"	"24"	"283"	"18"	"207"	"13"	"14"	"14"	"19"	"592"	""	"592"	""
"56"	"39"	"20"	"183"	"14"	"231"	"12"	"30"	"8"	"25"	"523"	""	"523"	""
"57"	"40"	"26"	"248"	"26"	"70"	"3"	"5"	"6"	"6"	"390"	""	"390"	""
"58"	"41"	"44"	"297"	"29"	"26"	"9"	"6"	"8"	"14"	"433"	""	"433"	""
"59"	"42"	"22"	"274"	"33"	"85"	"9"	"8"	"9"	"14"	"454"	""	"454"	""
"60"	"43"	"6"	"107"	"11"	"135"	"4"	"2"	"3"	"2"	"270"	""	"270"	""
"61"	"44"	"3"	"23"	"19"	"268"	"9"	"6"	"2"	"11"	"341"	""	"341"	""
"62"	"45"	"13"	"197"	"15"	"335"	"9"	"7"	"25"	"12"	"613"	""	"613"	""
"63"	"46"	"11"	"107"	"27"	"189"	"10"	"6"	"13"	"31"	"394"	""	"394"	""
"64"	"46d"	"8"	"148"	"24"	"37"	"6"	"1"	"8"	"10"	"242"	""	"242"	""
"65"	"47"	"10"	"107"	"10"	"206"	"4"	"3"	"3"	"9"	"352"	""	"352"	""
"66"	"48"	"3"	"8"	"6"	"249"	"5"	"1"	"2"	"7"	"281"	""	"281"	""
"67"	"TOTAL-IV"	"227"	"2438"	"279"	"2317"	"100"	"105"	"106"	"183"	"5755"	""	"5755"	""
"68"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"70"	"49"	"13"	"88"	"16"	"288"	"10"	"15"	"13"	"38"	"481"	""	"481"	""
"71"	"50"	"27"	"172"	"19"	"240"	"7"	"14"	"11"	"18"	"508"	""	"508"	""
"72"	"51"	"13"	"100"	"47"	"321"	"7"	"7"	"7"	"17"	"519"	""	"519"	""
"73"	"52"	"52"	"262"	"11"	"99"	"8"	"5"	"11"	"17"	"465"	""	"465"	""
"74"	"53"	"27"	"178"	"19"	"14"	"2"	"4"	"2"	"11"	"257"	""	"257"	""
"75"	"54"	"3"	"146"	"10"	"366"	"2"	"17"	"6"	"6"	"556"	""	"556"	""
"76"	"55"	"12"	"32"	"27"	"357"	"14"	"5"	"7"	"6"	"460"	""	"460"	""
"77"	"56"	"40"	"67"	"26"	"232"	"18"	"17"	"23"	"22"	"445"	""	"445"	""
"78"	"57"	"8"	"67"	"24"	"277"	"9"	"1"	"3"	"8"	"397"	""	"397"	""
"79"	"58"	"20"	"129"	"24"	"391"	"13"	"18"	"14"	"32"	"641"	""	"641"	""
"80"	"59"	"27"	"385"	"35"	"57"	"8"	"6"	"12"	"27"	"557"	""	"557"	""
"81"	"60"	"22"	"250"	"42"	"90"	"2"	"11"	"6"	"1"	"424"	""	"424"	""
"82"	"61"	"7"	"24"	"3"	"496"	"1"	"6"	"4"	"10"	"551"	""	"551"	""
"83"	"62"	"19"	"215"	"20"	"259"	"13"	"12"	"7"	"12"	"557"	""	"557"	""
"84"	"TOTAL-V"	"290"	"2115"	"323"	"3487"	"114"	"138"	"126"	"225"	"6818"	""	"6818"	""
"85"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"87"	"63"	"2"	"71"	"18"	"319"	"12"	"2"	"7"	"11"	"442"	""	"442"	""
"88"	"64"	"8"	"65"	"21"	"440"	"11"	"9"	"12"	"28"	"594"	""	"594"	""
"89"	"65"	"22"	"292"	"19"	"36"	"2"	"5"	"2"	"3"	"381"	""	"381"	""
"90"	"66"	"14"	"76"	"11"	"202"	"8"	"5"	"5"	"15"	"336"	""	"336"	""
"91"	"66d"	"11"	"58"	"8"	"152"	"7"	"6"	"6"	"5"	"253"	""	"253"	""
"92"	"67"	"12"	"162"	"67"	"82"	"5"	"1"	"4"	"6"	"339"	""	"339"	""
"93"	"68"	"21"	"263"	"16"	"129"	"3"	"4"	"5"	"7"	"448"	""	"448"	""
"94"	"69"	"13"	"134"	"36"	"213"	"7"	"11"	"20"	"40"	"474"	""	"474"	""
"95"	"70"	"9"	"57"	"50"	"263"	"14"	"6"	"14"	"19"	"432"	""	"432"	""
"96"	"70d"	"26"	"201"	"20"	"61"	"6"	"6"	"3"	"12"	"335"	""	"335"	""
"97"	"71"	"19"	"135"	"23"	"198"	"6"	"7"	"4"	"18"	"410"	""	"410"	""
"98"	"72"	"5"	"189"	"16"	"10"	"2"	"2"	"2"	"5"	"231"	""	"231"	""
"99"	"73"	"4"	"118"	"26"	"52"	"6"	"8"	"3"	"4"	"221"	""	"221"	""
"100"	"74"	"18"	"263"	"12"	"179"	"7"	"2"	"8"	"14"	"503"	""	"503"	""
"101"	"TOTAL-VI"	"184"	"2084"	"343"	"2336"	"96"	"74"	"95"	"187"	"5399"	""	"5399"	""
"102"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"104"	"75"	"17"	"182"	"15"	"242"	"7"	"2"	"1"	"10"	"476"	""	"476"	""
"105"	"76"	"12"	"202"	"19"	"154"	"10"	"6"	"4"	"7"	"414"	""	"414"	""
"106"	"77"	"32"	"84"	"16"	"482"	"17"	"5"	"11"	"16"	"663"	""	"663"	""
"107"	"78"	"16"	"161"	"15"	"160"	"8"	"4"	"3"	"11"	"378"	""	"378"	""
"108"	"79"	"11"	"127"	"9"	"177"	"3"	"5"	"3"	"10"	"345"	""	"345"	""
"109"	"80"	"4"	"54"	"8"	"344"	"7"	"4"	"4"	"13"	"438"	""	"438"	""
"110"	"81"	"9"	"95"	"17"	"414"	"5"	"7"	"10"	"13"	"570"	""	"570"	""
"111"	"82"	"9"	"14"	"11"	"392"	"7"	"8"	"16"	"36"	"493"	""	"493"	""
"112"	"83"	"26"	"286"	"36"	"174"	"9"	"7"	"6"	"23"	"567"	""	"567"	""
"113"	"84"	"25"	"285"	"11"	"52"	"4"	"4"	"4"	"8"	"393"	""	"393"	""
"114"	"84d"	"19"	"140"	"12"	"138"	"7"	"7"	"2"	"6"	"331"	""	"331"	""
"115"	"85"	"36"	"192"	"31"	"76"	"7"	"13"	"6"	"10"	"371"	""	"371"	""
"116"	"86"	"17"	"148"	"21"	"269"	"9"	"7"	"13"	"17"	"501"	""	"501"	""
"117"	"87"	"20"	"119"	"25"	"173"	"8"	"8"	"7"	"30"	"390"	""	"390"	""
"118"	"TOTAL-VII"	"253"	"2089"	"246"	"3247"	"108"	"87"	"90"	"210"	"6330"	""	"6330"	""
"119"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"121"	"88"	"30"	"119"	"15"	"190"	"7"	"4"	"8"	"17"	"390"	""	"390"	""
"122"	"89"	"31"	"150"	"23"	"215"	"9"	"6"	"12"	"23"	"469"	""	"469"	""
"123"	"90"	"15"	"271"	"50"	"49"	"3"	"3"	"3"	"1"	"395"	""	"395"	""
"124"	"91"	"7"	"67"	"9"	"137"	"5"	"6"	"13"	"20"	"264"	""	"264"	""
"125"	"92"	"10"	"31"	"8"	"203"	"5"	"3"	"2"	"5"	"267"	""	"267"	""
"126"	"93"	"14"	"152"	"21"	"330"	"9"	"6"	"13"	"22"	"567"	""	"567"	""
"127"	"94"	"23"	"170"	"17"	"402"	"10"	"7"	"10"	"22"	"661"	""	"661"	""
"128"	"95"	"30"	"252"	"38"	"149"	"5"	"6"	"7"	"14"	"501"	""	"501"	""
"129"	"95d"	"20"	"276"	"26"	"71"	"4"	"7"	"10"	"14"	"428"	""	"428"	""
"130"	"96"	"21"	"102"	"22"	"259"	"8"	"8"	"10"	"31"	"461"	""	"461"	""
"131"	"96d"	"11"	"73"	"13"	"254"	"7"	"17"	"7"	"31"	"413"	""	"413"	""
"132"	"97"	"40"	"237"	"34"	"266"	"25"	"28"	"12"	"22"	"664"	""	"664"	""
"133"	"98"	"16"	"125"	"10"	"92"	"6"	"1"	"2"	"9"	"261"	""	"261"	""
"134"	"99"	"20"	"185"	"18"	"248"	"8"	"8"	"5"	"20"	"512"	""	"512"	""
"135"	"TOTAL-VIII"	"288"	"2210"	"304"	"2865"	"111"	"110"	"114"	"251"	"6253"	""	"6253"	""
"136"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"138"	"100"	"4"	"60"	"7"	"168"	"0"	"4"	"4"	"13"	"260"	""	"260"	""
"139"	"101"	"27"	"180"	"11"	"336"	"10"	"35"	"12"	"20"	"631"	""	"631"	""
"140"	"102"	"30"	"146"	"12"	"291"	"11"	"9"	"0"	"22"	"521"	""	"521"	""
"141"	"103"	"31"	"186"	"21"	"194"	"9"	"3"	"7"	"11"	"462"	""	"462"	""
"142"	"104"	"10"	"125"	"15"	"161"	"1"	"7"	"3"	"17"	"339"	""	"339"	""
"143"	"104d"	"6"	"233"	"26"	"66"	"8"	"1"	"6"	"10"	"356"	""	"356"	""
"144"	"105"	"29"	"216"	"17"	"164"	"8"	"24"	"26"	"24"	"508"	""	"508"	""
"145"	"106"	"16"	"109"	"16"	"174"	"4"	"4"	"9"	"29"	"361"	""	"361"	""
"146"	"107"	"10"	"152"	"22"	"110"	"11"	"15"	"2"	"6"	"328"	""	"328"	""
"147"	"108"	"10"	"139"	"13"	"71"	"3"	"2"	"2"	"2"	"242"	""	"242"	""
"148"	"109"	"8"	"60"	"23"	"494"	"14"	"11"	"19"	"30"	"659"	""	"659"	""
"149"	"110"	"5"	"66"	"3"	"221"	"5"	"4"	"4"	"13"	"321"	""	"321"	""
"150"	"110d"	"7"	"69"	"3"	"192"	"5"	"2"	"5"	"9"	"292"	""	"292"	""
"151"	"111"	"4"	"35"	"4"	"121"	"0"	"1"	"2"	"6"	"173"	""	"173"	""
"152"	"TOTAL-IX"	"197"	"1776"	"193"	"2763"	"89"	"122"	"101"	"212"	"5453"	""	"5453"	""
"153"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"155"	"112"	"18"	"86"	"8"	"128"	"8"	"4"	"0"	"11"	"263"	""	"263"	""
"156"	"113"	"20"	"154"	"31"	"252"	"3"	"5"	"7"	"14"	"486"	""	"486"	""
"157"	"114"	"9"	"221"	"15"	"92"	"3"	"6"	"7"	"11"	"364"	""	"364"	""
"158"	"115"	"16"	"226"	"38"	"55"	"5"	"5"	"4"	"29"	"378"	""	"378"	""
"159"	"116"	"66"	"293"	"77"	"56"	"11"	"9"	"6"	"7"	"525"	""	"525"	""
"160"	"117"	"59"	"369"	"75"	"41"	"20"	"2"	"12"	"30"	"608"	""	"608"	""
"161"	"118"	"13"	"266"	"86"	"129"	"12"	"22"	"5"	"9"	"542"	""	"542"	""
"162"	"119"	"26"	"244"	"21"	"103"	"12"	"15"	"18"	"28"	"467"	""	"467"	""
"163"	"120"	"16"	"365"	"22"	"79"	"9"	"28"	"12"	"16"	"547"	""	"547"	""
"164"	"121"	"12"	"105"	"11"	"170"	"4"	"11"	"10"	"23"	"346"	""	"346"	""
"165"	"121d"	"10"	"145"	"14"	"170"	"4"	"8"	"3"	"13"	"367"	""	"367"	""
"166"	"122"	"15"	"154"	"13"	"94"	"5"	"4"	"2"	"16"	"303"	""	"303"	""
"167"	"123"	"24"	"269"	"27"	"85"	"9"	"32"	"3"	"5"	"454"	""	"454"	""
"168"	"124"	"31"	"159"	"26"	"242"	"15"	"34"	"20"	"25"	"552"	""	"552"	""
"169"	"TOTAL-X"	"335"	"3056"	"464"	"1696"	"120"	"185"	"109"	"237"	"6202"	""	"6202"	""
"170"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"172"	"125"	"7"	"86"	"4"	"172"	"5"	"7"	"8"	"25"	"314"	""	"314"	""
"173"	"125d"	"13"	"211"	"22"	"99"	"2"	"1"	"4"	"4"	"356"	""	"356"	""
"174"	"126"	"10"	"96"	"9"	"152"	"8"	"8"	"6"	"5"	"294"	""	"294"	""
"175"	"126d"	"13"	"183"	"8"	"109"	"3"	"2"	"5"	"7"	"330"	""	"330"	""
"176"	"127"	"24"	"170"	"13"	"197"	"5"	"9"	"1"	"15"	"434"	""	"434"	""
"177"	"128"	"12"	"237"	"32"	"178"	"5"	"5"	"11"	"10"	"490"	""	"490"	""
"178"	"129"	"24"	"321"	"16"	"68"	"5"	"6"	"2"	"8"	"450"	""	"450"	""
"179"	"130"	"19"	"128"	"15"	"413"	"10"	"12"	"4"	"18"	"619"	""	"619"	""
"180"	"131"	"3"	"56"	"10"	"265"	"9"	"15"	"5"	"16"	"379"	""	"379"	""
"181"	"132"	"26"	"295"	"35"	"187"	"10"	"7"	"8"	"16"	"584"	""	"584"	""
"182"	"133"	"14"	"117"	"15"	"209"	"11"	"2"	"1"	"10"	"379"	""	"379"	""
"183"	"134"	"18"	"213"	"13"	"191"	"13"	"5"	"12"	"23"	"488"	""	"488"	""
"184"	"135"	"1"	"16"	"1"	"120"	"4"	"4"	"8"	"12"	"166"	""	"166"	""
"185"	"136"	"14"	"147"	"14"	"273"	"15"	"11"	"23"	"41"	"538"	""	"538"	""
"186"	"TOTAL-XI"	"198"	"2276"	"207"	"2633"	"105"	"94"	"98"	"210"	"5821"	""	"5821"	""
"187"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"189"	"137"	"20"	"203"	"8"	"231"	"13"	"17"	"10"	"11"	"513"	""	"513"	""
"190"	"138"	"14"	"101"	"12"	"263"	"8"	"7"	"13"	"21"	"439"	""	"439"	""
"191"	"139"	"22"	"212"	"9"	"140"	"5"	"1"	"4"	"8"	"401"	""	"401"	""
"192"	"140"	"29"	"342"	"28"	"109"	"6"	"5"	"5"	"11"	"535"	""	"535"	""
"193"	"141"	"17"	"347"	"19"	"144"	"0"	"11"	"7"	"22"	"567"	""	"567"	""
"194"	"142"	"41"	"265"	"60"	"166"	"14"	"9"	"16"	"10"	"581"	""	"581"	""
"195"	"143"	"18"	"77"	"11"	"503"	"6"	"6"	"4"	"26"	"651"	""	"651"	""
"196"	"144"	"5"	"67"	"21"	"202"	"4"	"6"	"7"	"23"	"335"	""	"335"	""
"197"	"144d"	"8"	"123"	"16"	"120"	"0"	"5"	"0"	"2"	"274"	""	"274"	""
"198"	"145"	"12"	"124"	"12"	"187"	"7"	"3"	"7"	"14"	"366"	""	"366"	""
"199"	"145d"	"3"	"131"	"34"	"91"	"5"	"8"	"11"	"25"	"308"	""	"308"	""
"200"	"146"	"9"	"97"	"16"	"149"	"8"	"3"	"10"	"15"	"307"	""	"307"	""
"201"	"147"	"6"	"108"	"15"	"74"	"5"	"4"	"6"	"14"	"232"	""	"232"	""
"202"	"148"	"14"	"99"	"35"	"333"	"14"	"9"	"15"	"26"	"545"	""	"545"	""
"203"	"TOTAL-XII"	"218"	"2296"	"296"	"2712"	"95"	"94"	"115"	"228"	"6054"	""	"6054"	""
"204"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"206"	"149"	"13"	"116"	"105"	"125"	"16"	"12"	"7"	"18"	"412"	""	"412"	""
"207"	"150"	"6"	"81"	"11"	"197"	"2"	"4"	"4"	"19"	"324"	""	"324"	""
"208"	"151"	"48"	"238"	"13"	"98"	"4"	"4"	"1"	"5"	"411"	""	"411"	""
"209"	"152"	"26"	"157"	"11"	"169"	"12"	"7"	"5"	"25"	"412"	""	"412"	""
"210"	"153"	"8"	"68"	"16"	"404"	"16"	"11"	"19"	"63"	"605"	""	"605"	""
"211"	"154"	"6"	"230"	"15"	"34"	"1"	"0"	"0"	"1"	"287"	""	"287"	""
"212"	"154d"	"3"	"296"	"22"	"18"	"0"	"2"	"1"	"0"	"342"	""	"342"	""
"213"	"155"	"4"	"146"	"58"	"13"	"2"	"2"	"0"	"1"	"226"	""	"226"	""
"214"	"156"	"2"	"36"	"19"	"75"	"2"	"2"	"2"	"2"	"140"	""	"140"	""
"215"	"157"	"17"	"99"	"15"	"240"	"5"	"8"	"8"	"20"	"412"	""	"412"	""
