"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"99"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"100"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"101"	"83"	"229"	"34"	"87"	"13"	""	"363"	"&"	"-363"	"&"	""
"102"	"84"	"29"	"26"	"553"	"2"	""	"610"	"&"	"-610"	"&"	""
"103"	"85"	"27"	"21"	"160"	"1"	""	"209"	"&"	"-209"	"&"	""
"104"	"86"	"135"	"18"	"94"	"14"	""	"261"	"&"	"-261"	"&"	""
"105"	"87"	"87"	"91"	"134"	"11"	""	"323"	"&"	"-323"	"&"	""
"106"	"88"	"16"	"48"	"227"	"11"	""	"302"	"&"	"-302"	"&"	""
"107"	"89"	"44"	"97"	"105"	"17"	""	"263"	"&"	"-263"	"&"	""
"108"	"90"	"114"	"53"	"116"	"11"	""	"294"	"&"	"-294"	"&"	""
"109"	"91"	"101"	"37"	"152"	"18"	""	"308"	"&"	"-308"	"&"	""
"110"	"92"	"58"	"21"	"103"	"22"	""	"204"	"&"	"-204"	"&"	""
"111"	"93"	"80"	"121"	"133"	"17"	""	"351"	"&"	"-351"	"&"	""
"112"	"94"	"137"	"91"	"204"	"18"	""	"450"	"&"	"-450"	"&"	""
"113"	"95"	"24"	"37"	"369"	"10"	""	"440"	"&"	"-440"	"&"	""
"114"	"96"	"0"	"0"	"0"	"0"	""	"0"	"&"	"0"	"&"	""
"115"	"97"	"123"	"34"	"174"	"9"	""	"340"	"&"	"-340"	"&"	""
"116"	"98"	"82"	"86"	"51"	"23"	""	"242"	"&"	"-242"	"&"	""
"117"	"99"	"101"	"168"	"247"	"26"	""	"542"	"&"	"-542"	"&"	""
"118"	"100"	"216"	"111"	"178"	"21"	""	"526"	"&"	"-526"	"&"	""
"119"	"101"	"40"	"104"	"200"	"10"	""	"354"	"&"	"-354"	"&"	""
"120"	"102"	"15"	"64"	"192"	"18"	""	"289"	"&"	"-289"	"&"	""
"121"	"103"	"43"	"106"	"139"	"6"	""	"294"	"&"	"-294"	"&"	""
"122"	"104"	"148"	"37"	"113"	"16"	""	"314"	"&"	"-314"	"&"	""
"123"	"105"	"44"	"150"	"381"	"19"	""	"594"	"&"	"-594"	"&"	""
"124"	"106"	"194"	"153"	"38"	"29"	""	"414"	"&"	"-414"	"&"	""
"125"	"107"	"193"	"132"	"212"	"27"	""	"564"	"&"	"-564"	"&"	""
"126"	"108"	"165"	"35"	"188"	"9"	""	"397"	"&"	"-397"	"&"	""
"127"	"109"	"43"	"20"	"304"	"3"	""	"370"	"&"	"-370"	"&"	""
"128"	"110"	"121"	"132"	"206"	"15"	""	"474"	"&"	"-474"	"&"	""
"129"	"111"	"44"	"77"	"114"	"23"	""	"258"	"&"	"-258"	"&"	""
"130"	"111A"	"63"	"10"	"225"	"3"	""	"301"	""	"-301"	""	""
"131"	"112"	"47"	"13"	"138"	"2"	""	"200"	"&"	"-200"	"&"	""
"132"	"112A"	"118"	"27"	"213"	"10"	""	"368"	""	"-368"	""	""
"133"	"113"	"139"	"44"	"230"	"22"	""	"435"	"&"	"-435"	"&"	""
"134"	"114"	"102"	"47"	"218"	"14"	""	"381"	"&"	"-381"	"&"	""
"135"	"115"	"126"	"57"	"241"	"10"	""	"434"	"&"	"-434"	"&"	""
"136"	"116"	"13"	"33"	"284"	"6"	""	"336"	"&"	"-336"	"&"	""
"137"	"117"	"98"	"81"	"127"	"7"	""	"313"	"&"	"-313"	"&"	""
"138"	"118"	"30"	"31"	"95"	"8"	""	"164"	"&"	"-164"	"&"	""
"139"	"118A"	"30"	"13"	"183"	"12"	""	"238"	""	"-238"	""	""
"140"	"119"	"39"	"105"	"330"	"32"	""	"506"	"&"	"-506"	"&"	""
"141"	"120"	"38"	"285"	"86"	"3"	""	"412"	"&"	"-412"	"&"	""
"142"	"121"	"192"	"13"	"21"	"15"	""	"241"	"&"	"-241"	"&"	""
"143"	"122"	"31"	"19"	"457"	"36"	""	"543"	"&"	"-543"	"&"	""
"144"	"123"	"35"	"11"	"303"	"11"	""	"360"	"&"	"-360"	"&"	""
"145"	"124"	"131"	"66"	"209"	"25"	""	"431"	"&"	"-431"	"&"	""
"146"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"147"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"148"	"125"	"49"	"47"	"164"	"9"	""	"269"	"&"	"-269"	"&"	""
"149"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"150"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"151"	"125A"	"36"	"108"	"123"	"10"	""	"277"	""	"-277"	""	""
"152"	"126"	"136"	"101"	"60"	"14"	""	"311"	"&"	"-311"	"&"	""
"153"	"127"	"80"	"23"	"87"	"8"	""	"198"	"&"	"-198"	"&"	""
"154"	"128"	"352"	"9"	"7"	"2"	""	"370"	"&"	"-370"	"&"	""
"155"	"128A"	"335"	"7"	"11"	"0"	""	"353"	""	"-353"	""	""
"156"	"129"	"52"	"85"	"189"	"7"	""	"333"	"&"	"-333"	"&"	""
"157"	"130"	"68"	"59"	"98"	"15"	""	"240"	"&"	"-240"	"&"	""
"158"	"131"	"70"	"40"	"99"	"7"	""	"216"	"&"	"-216"	"&"	""
"159"	"132"	"194"	"33"	"121"	"12"	""	"360"	"&"	"-360"	"&"	""
"160"	"133"	"19"	"56"	"120"	"18"	""	"213"	"&"	"-213"	"&"	""
"161"	"134"	"90"	"72"	"66"	"15"	""	"243"	"&"	"-243"	"&"	""
"162"	"135"	"82"	"21"	"239"	"17"	""	"359"	"&"	"-359"	"&"	""
"163"	"136"	"93"	"62"	"177"	"6"	""	"338"	"&"	"-338"	"&"	""
"164"	"137"	"138"	"99"	"221"	"17"	""	"475"	"&"	"-475"	"&"	""
"165"	"138"	"167"	"57"	"41"	"7"	""	"272"	"&"	"-272"	"&"	""
"166"	"139"	"60"	"235"	"41"	"22"	""	"358"	"&"	"-358"	"&"	""
"167"	"140"	"124"	"121"	"166"	"8"	""	"419"	"&"	"-419"	"&"	""
"168"	"141"	"66"	"143"	"205"	"15"	""	"429"	"&"	"-429"	"&"	""
"169"	"142"	"170"	"45"	"128"	"14"	""	"357"	"&"	"-357"	"&"	""
"170"	"143"	"116"	"13"	"26"	"8"	""	"163"	"&"	"-163"	"&"	""
"171"	"144"	"60"	"90"	"219"	"32"	""	"401"	"&"	"-401"	"&"	""
"172"	"145"	"29"	"70"	"250"	"19"	""	"368"	"&"	"-368"	"&"	""
"173"	"146"	"139"	"117"	"207"	"26"	""	"489"	"&"	"-489"	"&"	""
"174"	"147"	"63"	"150"	"167"	"10"	""	"390"	"&"	"-390"	"&"	""
"175"	"148"	"63"	"143"	"132"	"10"	""	"348"	"&"	"-348"	"&"	""
"176"	"149"	"211"	"114"	"81"	"31"	""	"437"	"&"	"-437"	"&"	""
"177"	"150"	"217"	"55"	"165"	"29"	""	"466"	"&"	"-466"	"&"	""
"178"	"151"	"93"	"74"	"197"	"10"	""	"374"	"&"	"-374"	"&"	""
"179"	"152"	"24"	"15"	"187"	"21"	""	"247"	"&"	"-247"	"&"	""
"180"	"153"	"35"	"88"	"98"	"40"	""	"261"	"&"	"-261"	"&"	""
"181"	"154"	"86"	"30"	"295"	"14"	""	"425"	"&"	"-425"	"&"	""
"182"	"155"	"81"	"36"	"80"	"23"	""	"220"	"&"	"-220"	"&"	""
"183"	"156"	"61"	"72"	"266"	"25"	""	"424"	"&"	"-424"	"&"	""
"184"	"157"	"109"	"63"	"57"	"13"	""	"242"	"&"	"-242"	"&"	""
"185"	"158"	"35"	"141"	"227"	"7"	""	"410"	"&"	"-410"	"&"	""
"186"	"159"	"26"	"137"	"181"	"17"	""	"361"	"&"	"-361"	"&"	""
"187"	"160"	"96"	"54"	"133"	"10"	""	"293"	"&"	"-293"	"&"	""
"188"	"161"	"76"	"138"	"120"	"27"	""	"361"	"&"	"-361"	"&"	""
"189"	"162"	"60"	"31"	"167"	"14"	""	"272"	"&"	"-272"	"&"	""
"190"	"162A"	"24"	"79"	"169"	"10"	""	"282"	""	"-282"	""	""
"191"	"163"	"11"	"5"	"37"	"1"	""	"54"	"&"	"-54"	"&"	""
"192"	"163A"	"34"	"23"	"116"	"8"	""	"181"	""	"-181"	""	""
"193"	"164"	"13"	"41"	"314"	"17"	""	"385"	"&"	"-385"	"&"	""
"194"	"164A"	"20"	"34"	"257"	"10"	""	"321"	""	"-321"	""	""
"195"	"165"	"72"	"33"	"224"	"6"	""	"335"	"&"	"-335"	"&"	""
"196"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"197"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"198"	"166"	"74"	"40"	"56"	"6"	""	"176"	"&"	"-176"	"&"	""
"199"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"200"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"201"	"167"	"23"	"25"	"256"	"13"	""	"317"	"&"	"-317"	"&"	""
"202"	"167A"	"41"	"32"	"215"	"25"	""	"313"	""	"-313"	""	""
"203"	"168"	"21"	"112"	"62"	"19"	""	"214"	"&"	"-214"	"&"	""
"204"	"168A"	"55"	"8"	"116"	"8"	""	"187"	""	"-187"	""	""
"205"	"169"	"66"	"34"	"91"	"14"	""	"205"	"&"	"-205"	"&"	""
"206"	""	""	""	""	""	""	"0"	"&"	"0"	"&"	""
"207"	"170"	"45"	"90"	"119"	"12"	""	"266"	"&"	"-266"	"&"	""
"208"	"171"	"69"	"119"	"39"	"6"	""	"233"	"&"	"-233"	"&"	""
"209"	"172"	"68"	"36"	"35"	"5"	""	"144"	"&"	"-144"	"&"	""
"210"	"172A"	"107"	"9"	"39"	"5"	""	"160"	"&"	"-160"	"&"	""
"211"	"173"	"107"	"98"	"146"	"15"	""	"366"	"&"	"-366"	"&"	""
"212"	"174"	"30"	"129"	"25"	"0"	""	"184"	"&"	"-184"	"&"	""
"213"	"175"	"126"	"40"	"14"	"9"	""	"189"	"&"	"-189"	"&"	""
"214"	"176"	"72"	"35"	"9"	"5"	""	"121"	"&"	"-121"	"&"	""
"215"	"177"	"78"	"67"	"32"	"6"	""	"183"	"&"	"-183"	"&"	""
"216"	"178"	"1"	"0"	"1"	"0"	""	"2"	"&"	"-2"	"&"	""
"217"	"179"	"58"	"19"	"53"	"4"	""	"134"	"&"	"-134"	"&"	""
"218"	"180"	"65"	"77"	"48"	"16"	""	"206"	"&"	"-206"	"&"	""
"219"	"180A"	"29"	"59"	"84"	"7"	""	"179"	"&"	"-179"	"&"	""
"220"	"181"	"77"	"42"	"15"	"3"	""	"137"	"&"	"-137"	"&"	""
"221"	"182"	"16"	"10"	"34"	"2"	""	"62"	"&"	"-62"	"&"	""
"222"	"183"	"5"	"4"	"341"	"2"	""	"352"	"&"	"-352"	"&"	""
"223"	"183A"	"4"	"4"	"338"	"9"	""	"355"	"&"	"-355"	"&"	""
"224"	"184"	"2"	"13"	"294"	"2"	""	"311"	"&"	"-311"	"&"	""
"225"	"185"	"68"	"17"	"214"	"9"	""	"308"	"&"	"-308"	"&"	""
"226"	"186"	"166"	"133"	"30"	"13"	""	"342"	"&"	"-342"	"&"	""
"227"	"187"	"7"	"21"	"470"	"4"	""	"502"	"&"	"-502"	"&"	""
"228"	"188"	"75"	"68"	"455"	"18"	""	"616"	"&"	"-616"	"&"	""
"229"	"189"	"29"	"12"	"16"	"2"	""	"59"	"&"	"-59"	"&"	""
"230"	"189A"	"24"	"6"	"43"	"0"	""	"73"	"&"	"-73"	"&"	""
"231"	"190"	"45"	"28"	"166"	"11"	""	"250"	"&"	"-250"	"&"	""
"232"	"191"	"63"	"80"	"152"	"8"	""	"303"	"&"	"-303"	"&"	""
"233"	"192"	"6"	"61"	"264"	"9"	""	"340"	"&"	"-340"	"&"	""
"234"	"193"	"61"	"60"	"145"	"1"	""	"267"	"&"	"-267"	"&"	""
"235"	"194"	"210"	"62"	"63"	"23"	""	"358"	"&"	"-358"	"&"	""
"236"	"195"	"69"	"46"	"54"	"7"	""	"176"	"&"	"-176"	"&"	""
"237"	"196"	"45"	"7"	"46"	"3"	""	"101"	"&"	"-101"	"&"	""
"238"	"197"	"112"	"11"	"17"	"5"	""	"145"	"&"	"-145"	"&"	""
"239"	"198"	"95"	"7"	"27"	"4"	""	"133"	"&"	"-133"	"&"	""
"240"	"199"	"177"	"134"	"33"	"7"	""	"351"	"&"	"-351"	"&"	""
"241"	"200"	"97"	"16"	"21"	"6"	""	"140"	"&"	"-140"	"&"	""
"242"	"201"	"95"	"24"	"84"	"16"	""	"219"	"&"	"-219"	"&"	""
"243"	"202"	"116"	"56"	"22"	"5"	""	"199"	"&"	"-199"	"&"	""
"244"	"203"	"92"	"7"	"91"	"19"	""	"209"	"&"	"-209"	"&"	""
"245"	"204"	"85"	"113"	"125"	"5"	""	"328"	"&"	"-328"	"&"	""
"246"	"205"	"113"	"148"	"154"	"15"	""	"430"	"&"	"-430"	"&"	""
"247"	"206"	"47"	"38"	"71"	"12"	""	"168"	"&"	"-168"	"&"	""
"248"	"207"	"81"	"29"	"68"	"6"	""	"184"	"&"	"-184"	"&"	""
"249"	"208"	"41"	"41"	"77"	"3"	""	"162"	"&"	"-162"	"&"	""
"250"	"209"	"69"	"105"	"70"	"8"	""	"252"	"&"	"-252"	"&"	""
"251"	"210"	"288"	"9"	"50"	"6"	""	"353"	"&"	"-353"	"&"	""
"252"	"211"	"77"	"82"	"217"	"18"	""	"394"	"&"	"-394"	"&"	""
"253"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"254"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"255"	"212"	"239"	"15"	"38"	"13"	""	"305"	"&"	"-305"	"&"	""
"256"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"257"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"258"	"213"	"170"	"26"	"79"	"7"	""	"282"	"&"	"-282"	"&"	""
"259"	"213A"	"165"	"0"	"17"	"12"	""	"194"	"&"	"-194"	"&"	""
"260"	"214"	"194"	"20"	"86"	"30"	""	"330"	"&"	"-330"	"&"	""
"261"	"215"	"161"	"19"	"32"	"9"	""	"221"	"&"	"-221"	"&"	""
"262"	"216"	"110"	"25"	"77"	"8"	""	"220"	"&"	"-220"	"&"	""
"263"	"217"	"5"	"3"	"66"	"1"	""	"75"	"&"	"-75"	"&"	""
"264"	"218"	"307"	"30"	"50"	"11"	""	"398"	"&"	"-398"	"&"	""
"265"	"219"	"116"	"35"	"100"	"16"	""	"267"	"&"	"-267"	"&"	""
"266"	"220"	"43"	"12"	"118"	"12"	""	"185"	"&"	"-185"	"&"	""
"267"	"221"	"199"	"32"	"24"	"23"	""	"278"	"&"	"-278"	"&"	""
"268"	"221A"	"107"	"17"	"47"	"12"	""	"183"	"&"	"-183"	"&"	""
"269"	"222"	"78"	"12"	"93"	"6"	""	"189"	"&"	"-189"	"&"	""
"270"	"223"	"143"	"32"	"106"	"28"	""	"309"	"&"	"-309"	"&"	""
"271"	"224"	"140"	"23"	"138"	"14"	""	"315"	"&"	"-315"	"&"	""
"272"	"225"	"38"	"28"	"279"	"23"	""	"368"	"&"	"-368"	"&"	""
"273"	"226"	"0"	"0"	"0"	"0"	""	"0"	"&"	"0"	"&"	""
"274"	"227"	"60"	"69"	"144"	"44"	""	"317"	"&"	"-317"	"&"	""
"275"	"228"	"196"	"112"	"99"	"35"	""	"442"	"&"	"-442"	"&"	""
"276"	"229"	"46"	"51"	"157"	"18"	""	"272"	"&"	"-272"	"&"	""
"277"	"230"	"85"	"82"	"168"	"15"	""	"350"	"&"	"-350"	"&"	""
"278"	"231"	"48"	"68"	"227"	"12"	""	"355"	"&"	"-355"	"&"	""
"279"	"232"	"28"	"122"	"105"	"22"	""	"277"	"&"	"-277"	"&"	""
"280"	"233"	"91"	"56"	"230"	"13"	""	"390"	"&"	"-390"	"&"	""
"281"	"234"	"5"	"1"	"526"	"0"	""	"532"	"&"	"-532"	"&"	""
"282"	"235"	"72"	"20"	"154"	"20"	""	"266"	"&"	"-266"	"&"	""
"283"	"236"	"67"	"3"	"35"	"3"	""	"108"	"&"	"-108"	"&"	""
"284"	"Total"	"22695"	"14228"	"38060"	"3256"	""	"78239"	"0"	"78239"	"&"	""
"285"	"Total no. of voes recorded at polling Sations"	""	""	""	""	"78239"	""	""	""	""	""
"286"	"No. of votes recorded on postal ballot papers"	""	""	""	""	"0"	""	""	""	""	""
"287"	"Grand Total"	""	""	""	""	"78239"	""	""	""	""	""
"288"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
