"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 162-KHARAGPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""
"5"	"162- KHARAGPUR (VOTERS)"	""	""	""	""	""	""	""	""	""	""
"6"	"GENERAL VOTERS"	""	""	""	""	""	""	""	""	""	""
"7"	"SERVICE VOTERS"	""	""	""	""	""	""	""	""	""	""
"8"	"Name of Assembly Segment:- 162-Kharagpur"	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""
"10"	"MEN                    WOMEN                    TOTAL                           MEN              WOMEN              TOTAL"	""	""	""	""	""	""	""	""	""	""
"11"	"120152                      101677                   221829                               93                        49                    142"	""	""	""	""	""	""	""	""	""	""
"12"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"27"	"11"	"237"	"13"	"3"	"136"	"18"	"29"	"436"	"0"	"436"	"0"
"28"	"12"	"412"	"7"	"29"	"94"	"21"	"18"	"581"	"0"	"581"	"0"
"29"	"TOTAL"	"2509"	"401"	"158"	"1541"	"179"	"186"	"4974"	"0"	"4974"	"0"
"30"	"ROUND - 1"	""	""	""	""	""	""	""	""	""	""
"31"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"32"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"33"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"34"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"35"	"B/F"	"2509"	"401"	"158"	"1541"	"179"	"186"	"4974"	"0"	"4974"	"0"
"36"	"13"	"204"	"8"	"19"	"108"	"9"	"19"	"367"	"0"	"367"	"0"
"37"	"14"	"115"	"7"	"2"	"76"	"14"	"6"	"220"	"0"	"220"	"0"
"38"	"15"	"210"	"22"	"9"	"146"	"15"	"14"	"416"	"0"	"416"	"0"
"39"	"16"	"43"	"17"	"12"	"149"	"17"	"17"	"255"	"0"	"255"	"0"
"40"	"16A"	"162"	"14"	"8"	"90"	"19"	"21"	"314"	"0"	"314"	"0"
"41"	"17"	"326"	"12"	"7"	"30"	"11"	"23"	"409"	"0"	"409"	"0"
"42"	"17A"	"214"	"5"	"4"	"6"	"2"	"3"	"234"	"0"	"234"	"0"
"43"	"18"	"36"	"84"	"7"	"129"	"3"	"17"	"276"	"0"	"276"	"0"
"44"	"19"	"48"	"13"	"3"	"29"	"1"	"4"	"98"	"0"	"98"	"0"
"45"	"20"	"42"	"6"	"0"	"19"	"4"	"2"	"73"	"0"	"73"	"0"
"46"	"21"	"43"	"27"	"101"	"92"	"7"	"8"	"278"	"0"	"278"	"0"
"47"	"22"	"204"	"15"	"10"	"110"	"19"	"11"	"369"	"0"	"369"	"0"
"48"	"22A"	"130"	"7"	"0"	"8"	"2"	"1"	"148"	"0"	"148"	"0"
"49"	"23"	"63"	"4"	"1"	"23"	"7"	"6"	"104"	"0"	"104"	"0"
"50"	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"51"	"TOTAL"	"4349"	"642"	"341"	"2556"	"309"	"338"	"8535"	"0"	"8535"	"0"
"52"	"ROUND - 2"	""	""	""	""	""	""	""	""	""	""
"53"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"54"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"55"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"56"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"57"	"B/F"	"4349"	"642"	"341"	"2556"	"309"	"338"	"8535"	"0"	"8535"	"0"
"58"	"24"	"79"	"21"	"4"	"80"	"16"	"20"	"220"	"0"	"220"	"0"
"59"	"25"	"227"	"13"	"7"	"28"	"3"	"17"	"295"	"0"	"295"	"0"
"60"	"26"	"169"	"9"	"3"	"84"	"7"	"7"	"279"	"0"	"279"	"0"
"61"	"27"	"287"	"9"	"8"	"100"	"11"	"16"	"431"	"0"	"431"	"0"
"62"	"28"	"207"	"22"	"10"	"142"	"19"	"41"	"441"	"0"	"441"	"0"
"63"	"29"	"135"	"5"	"3"	"125"	"8"	"7"	"283"	"0"	"283"	"0"
"64"	"30"	"61"	"42"	"10"	"204"	"13"	"25"	"355"	"0"	"355"	"0"
"65"	"31"	"304"	"6"	"5"	"92"	"14"	"16"	"437"	"0"	"437"	"0"
"66"	"32"	"127"	"112"	"21"	"56"	"8"	"15"	"339"	"0"	"339"	"0"
"67"	"33"	"66"	"85"	"17"	"87"	"15"	"10"	"280"	"0"	"280"	"0"
"68"	"34"	"41"	"23"	"5"	"132"	"7"	"6"	"214"	"0"	"214"	"0"
"69"	"35"	"33"	"109"	"8"	"28"	"7"	"10"	"195"	"0"	"195"	"0"
"70"	"35A"	"43"	"56"	"8"	"67"	"6"	"2"	"182"	"0"	"182"	"0"
"71"	"36"	"123"	"28"	"12"	"79"	"14"	"5"	"261"	"0"	"261"	"0"
"72"	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"73"	"TOTAL"	"6251"	"1182"	"462"	"3860"	"457"	"535"	"12747"	"0"	"12747"	"0"
"74"	"ROUND - 3"	""	""	""	""	""	""	""	""	""	""
"75"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"76"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"77"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"78"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"79"	"B/F"	"6251"	"1182"	"462"	"3860"	"457"	"535"	"12747"	"0"	"12747"	"0"
"80"	"37"	"49"	"23"	"6"	"43"	"7"	"5"	"133"	"0"	"133"	"0"
"81"	"37A"	"130"	"46"	"13"	"133"	"15"	"6"	"343"	"0"	"343"	"0"
"82"	"38"	"83"	"30"	"6"	"168"	"16"	"15"	"318"	"0"	"318"	"0"
"83"	"39"	"182"	"41"	"40"	"148"	"25"	"21"	"457"	"0"	"457"	"0"
"84"	"40"	"61"	"11"	"4"	"117"	"8"	"9"	"210"	"0"	"210"	"0"
"85"	"41"	"55"	"10"	"8"	"197"	"16"	"5"	"291"	"0"	"291"	"0"
"86"	"42"	"155"	"30"	"18"	"123"	"7"	"78"	"411"	"0"	"411"	"0"
"87"	"43"	"41"	"188"	"14"	"156"	"24"	"13"	"436"	"0"	"436"	"0"
"88"	"44"	"208"	"37"	"7"	"62"	"7"	"6"	"327"	"0"	"327"	"0"
"89"	"45"	"44"	"91"	"6"	"66"	"4"	"14"	"225"	"0"	"225"	"0"
"90"	"46"	"142"	"131"	"17"	"128"	"23"	"29"	"470"	"0"	"470"	"0"
"91"	"47"	"231"	"41"	"8"	"91"	"11"	"9"	"391"	"0"	"391"	"0"
"92"	"48"	"104"	"29"	"4"	"143"	"10"	"10"	"300"	"0"	"300"	"0"
"93"	"49"	"164"	"9"	"5"	"173"	"15"	"13"	"379"	"0"	"379"	"0"
"94"	""	""	""	""	""	""	""	""	"0"	"0"	"0"
"95"	"TOTAL"	"7900"	"1899"	"618"	"5608"	"645"	"768"	"17438"	"0"	"17438"	"0"
"96"	"ROUND - 4"	""	""	""	""	""	""	""	""	""	""
"97"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"98"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"99"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"100"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"101"	"B/F"	"7900"	"1899"	"618"	"5608"	"645"	"768"	"17438"	"0"	"17438"	"0"
"102"	"50"	"158"	"28"	"23"	"158"	"14"	"12"	"393"	"0"	"393"	"0"
"103"	"51"	"193"	"28"	"9"	"116"	"11"	"13"	"370"	"0"	"370"	"0"
"104"	"52"	"55"	"9"	"7"	"305"	"9"	"12"	"397"	"0"	"397"	"0"
"105"	"52A"	"71"	"6"	"0"	"14"	"2"	"5"	"98"	"0"	"98"	"0"
"106"	"53"	"195"	"20"	"9"	"98"	"20"	"9"	"351"	"0"	"351"	"0"
"107"	"54"	"254"	"74"	"16"	"27"	"9"	"19"	"399"	"0"	"399"	"0"
"108"	"55"	"211"	"93"	"70"	"46"	"7"	"16"	"443"	"0"	"443"	"0"
"109"	"56"	"238"	"4"	"2"	"28"	"9"	"3"	"284"	"0"	"284"	"0"
"110"	"57"	"122"	"13"	"5"	"134"	"13"	"14"	"301"	"0"	"301"	"0"
"111"	"58"	"109"	"246"	"24"	"110"	"17"	"28"	"534"	"0"	"534"	"0"
"112"	"59"	"337"	"29"	"2"	"97"	"15"	"13"	"493"	"0"	"493"	"0"
"113"	"60"	"195"	"76"	"4"	"115"	"12"	"69"	"471"	"0"	"471"	"0"
"114"	"61"	"259"	"85"	"2"	"42"	"10"	"8"	"406"	"0"	"406"	"0"
"115"	"62"	"181"	"126"	"12"	"30"	"11"	"16"	"376"	"0"	"376"	"0"
"116"	""	""	""	""	""	""	""	""	"0"	"0"	"0"
"117"	"TOTAL"	"10478"	"2736"	"803"	"6928"	"804"	"1005"	"22754"	"0"	"22754"	"0"
"118"	"ROUND - 5"	""	""	""	""	""	""	""	""	""	""
"119"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"120"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"121"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"122"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"123"	"B/F"	"10478"	"2736"	"803"	"6928"	"804"	"1005"	"22754"	"0"	"22754"	"0"
"124"	"63"	"219"	"24"	"5"	"23"	"10"	"16"	"297"	"0"	"297"	"0"
"125"	"64"	"370"	"41"	"14"	"88"	"19"	"17"	"549"	"0"	"549"	"0"
"126"	"65"	"53"	"31"	"7"	"197"	"18"	"19"	"325"	"0"	"325"	"0"
"127"	"65A"	"83"	"33"	"8"	"60"	"9"	"28"	"221"	"0"	"221"	"0"
"128"	"66"	"268"	"4"	"7"	"35"	"15"	"15"	"344"	"0"	"344"	"0"
"129"	"67"	"91"	"33"	"21"	"99"	"5"	"4"	"253"	"0"	"253"	"0"
"130"	"67A"	"260"	"19"	"6"	"13"	"5"	"11"	"314"	"0"	"314"	"0"
"131"	"68"	"63"	"10"	"10"	"263"	"4"	"8"	"358"	"0"	"358"	"0"
"132"	"68A"	"155"	"10"	"5"	"128"	"8"	"4"	"310"	"0"	"310"	"0"
"133"	"69"	"54"	"40"	"1"	"41"	"6"	"3"	"145"	"0"	"145"	"0"
"134"	"70"	"128"	"120"	"9"	"58"	"1"	"8"	"324"	"0"	"324"	"0"
"135"	"71"	"127"	"119"	"6"	"188"	"7"	"2"	"449"	"0"	"449"	"0"
"136"	"72"	"172"	"4"	"1"	"106"	"6"	"3"	"292"	"0"	"292"	"0"
"137"	"72A"	"129"	"12"	"6"	"70"	"3"	"10"	"230"	"0"	"230"	"0"
"138"	""	""	""	""	""	""	""	""	""	"0"	"0"
"139"	"TOTAL"	"12650"	"3236"	"909"	"8297"	"920"	"1153"	"27165"	"0"	"27165"	"0"
"140"	"ROUND - 6"	""	""	""	""	""	""	""	""	""	""
"141"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"142"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"143"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"144"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"145"	"B/F"	"12650"	"3236"	"909"	"8297"	"920"	"1153"	"27165"	"0"	"27165"	"0"
"146"	"73"	"123"	"9"	"8"	"134"	"11"	"8"	"293"	"0"	"293"	"0"
"147"	"74"	"352"	"10"	"3"	"70"	"11"	"8"	"454"	"0"	"454"	"0"
"148"	"75"	"308"	"15"	"6"	"102"	"14"	"5"	"450"	"0"	"450"	"0"
"149"	"76"	"198"	"45"	"6"	"43"	"10"	"5"	"307"	"0"	"307"	"0"
"150"	"77"	"308"	"39"	"15"	"103"	"28"	"17"	"510"	"0"	"510"	"0"
"151"	"78"	"391"	"9"	"5"	"30"	"2"	"3"	"440"	"0"	"440"	"0"
"152"	"79"	"270"	"20"	"8"	"97"	"21"	"13"	"429"	"0"	"429"	"0"
"153"	"79A"	"175"	"12"	"4"	"53"	"4"	"13"	"261"	"0"	"261"	"0"
"154"	"80"	"263"	"37"	"8"	"89"	"16"	"9"	"422"	"0"	"422"	"0"
"155"	"80A"	"85"	"30"	"9"	"79"	"9"	"5"	"217"	"0"	"217"	"0"
"156"	"81"	"369"	"9"	"4"	"152"	"13"	"12"	"559"	"0"	"559"	"0"
"157"	"82"	"300"	"15"	"4"	"80"	"11"	"8"	"418"	"0"	"418"	"0"
"158"	"83"	"140"	"46"	"11"	"152"	"16"	"35"	"400"	"0"	"400"	"0"
"159"	"84"	"116"	"22"	"2"	"199"	"8"	"10"	"357"	"0"	"357"	"0"
"160"	""	""	""	""	""	""	""	""	""	""	"0"
"161"	"TOTAL"	"16048"	"3554"	"1002"	"9680"	"1094"	"1304"	"32682"	"0"	"32682"	"0"
"162"	"ROUND - 7"	""	""	""	""	""	""	""	""	""	""
"163"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"164"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"165"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"166"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"167"	"B/F"	"16048"	"3554"	"1002"	"9680"	"1094"	"1304"	"32682"	"0"	"32682"	"0"
"168"	"84A"	"56"	"0"	"0"	"15"	"1"	"1"	"73"	"0"	"73"	"0"
"169"	"85"	"222"	"13"	"3"	"86"	"8"	"6"	"338"	"0"	"338"	"0"
"170"	"86"	"49"	"6"	"7"	"217"	"9"	"10"	"298"	"0"	"298"	"0"
"171"	"86A"	"53"	"8"	"12"	"282"	"19"	"24"	"398"	"0"	"398"	"0"
"172"	"87"	"391"	"18"	"16"	"138"	"16"	"26"	"605"	"0"	"605"	"0"
"173"	"88"	"150"	"5"	"4"	"113"	"7"	"7"	"286"	"0"	"286"	"0"
"174"	"88A"	"223"	"10"	"2"	"91"	"6"	"7"	"339"	"0"	"339"	"0"
"175"	"89"	"180"	"4"	"5"	"126"	"10"	"8"	"333"	"0"	"333"	"0"
"176"	"90"	"208"	"5"	"4"	"52"	"4"	"5"	"278"	"0"	"278"	"0"
"177"	"91"	"245"	"7"	"2"	"64"	"7"	"2"	"327"	"0"	"327"	"0"
"178"	"92"	"151"	"11"	"4"	"43"	"12"	"2"	"223"	"0"	"223"	"0"
"179"	"93"	"158"	"19"	"14"	"145"	"6"	"4"	"346"	"0"	"346"	"0"
"180"	"94"	"213"	"18"	"11"	"136"	"14"	"12"	"404"	"0"	"404"	"0"
"181"	"95"	"85"	"0"	"0"	"18"	"3"	"2"	"108"	"0"	"108"	"0"
"182"	""	""	""	""	""	""	""	""	""	""	"0"
"183"	"TOTAL"	"18432"	"3678"	"1086"	"11206"	"1216"	"1420"	"37038"	"0"	"37038"	"0"
"184"	"ROUND - 8"	""	""	""	""	""	""	""	""	""	""
"185"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"186"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"187"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"188"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"189"	"B/F"	"18432"	"3678"	"1086"	"11206"	"1216"	"1420"	"37038"	"0"	"37038"	"0"
"190"	"96"	"69"	"16"	"8"	"311"	"8"	"3"	"415"	"0"	"415"	"0"
"191"	"96A"	"41"	"9"	"9"	"167"	"14"	"4"	"244"	"0"	"244"	"0"
"192"	"97"	"247"	"22"	"7"	"143"	"8"	"7"	"434"	"0"	"434"	"0"
"193"	"98"	"171"	"45"	"3"	"46"	"4"	"8"	"277"	"0"	"277"	"0"
"194"	"99"	"300"	"85"	"13"	"44"	"4"	"17"	"463"	"0"	"463"	"0"
"195"	"100"	"156"	"7"	"4"	"131"	"19"	"14"	"331"	"0"	"331"	"0"
"196"	"101"	"86"	"19"	"3"	"16"	"6"	"7"	"137"	"0"	"137"	"0"
"197"	"102"	"332"	"14"	"14"	"158"	"21"	"18"	"557"	"0"	"557"	"0"
"198"	"103"	"138"	"17"	"11"	"176"	"16"	"16"	"374"	"0"	"374"	"0"
"199"	"103A"	"16"	"5"	"8"	"145"	"9"	"4"	"187"	"0"	"187"	"0"
"200"	"104"	"79"	"33"	"18"	"154"	"23"	"20"	"327"	"0"	"327"	"0"
"201"	"104A"	"129"	"12"	"10"	"129"	"13"	"6"	"299"	"0"	"299"	"0"
"202"	"105"	"86"	"19"	"10"	"207"	"5"	"10"	"337"	"0"	"337"	"0"
"203"	"105A"	"100"	"10"	"7"	"142"	"10"	"19"	"288"	"0"	"288"	"0"
"204"	""	""	""	""	""	""	""	""	""	""	"0"
"205"	"TOTAL"	"20382"	"3991"	"1211"	"13175"	"1376"	"1573"	"41708"	"0"	"41708"	"0"
"206"	"ROUND - 9"	""	""	""	""	""	""	""	""	""	""
"207"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"208"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"209"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"210"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"211"	"B/F"	"20382"	"3991"	"1211"	"13175"	"1376"	"1573"	"41708"	"0"	"41708"	"0"
"212"	"106"	"169"	"14"	"11"	"167"	"22"	"18"	"401"	"0"	"401"	"0"
"213"	"107"	"384"	"34"	"13"	"49"	"25"	"24"	"529"	"0"	"529"	"0"
"214"	"108"	"425"	"15"	"12"	"117"	"13"	"10"	"592"	"0"	"592"	"0"
"215"	"109"	"323"	"29"	"6"	"35"	"12"	"11"	"416"	"0"	"416"	"0"
"216"	"110"	"474"	"13"	"4"	"95"	"14"	"7"	"607"	"0"	"607"	"0"
"217"	"111"	"369"	"17"	"5"	"102"	"13"	"10"	"516"	"0"	"516"	"0"
"218"	"112"	"130"	"28"	"8"	"237"	"16"	"13"	"432"	"0"	"432"	"0"
"219"	"113"	"319"	"8"	"4"	"54"	"7"	"11"	"403"	"0"	"403"	"0"
"220"	"114"	"178"	"30"	"8"	"90"	"14"	"12"	"332"	"0"	"332"	"0"
"221"	"115"	"339"	"85"	"11"	"65"	"18"	"16"	"534"	"0"	"534"	"0"
"222"	"116"	"279"	"4"	"5"	"39"	"10"	"8"	"345"	"0"	"345"	"0"
"223"	"117"	"260"	"23"	"7"	"141"	"12"	"8"	"451"	"0"	"451"	"0"
"224"	"118"	"146"	"2"	"4"	"230"	"15"	"6"	"403"	"0"	"403"	"0"
"225"	"119"	"156"	"13"	"3"	"82"	"8"	"13"	"275"	"0"	"275"	"0"
"226"	""	""	""	""	""	""	""	""	"0"	"0"	"0"
"227"	"TOTAL"	"24333"	"4306"	"1312"	"14678"	"1575"	"1740"	"47944"	"0"	"47944"	"0"
"228"	"ROUND - 10"	""	""	""	""	""	""	""	""	""	""
"229"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"230"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"231"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"232"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"233"	"B/F"	"24333"	"4306"	"1312"	"14678"	"1575"	"1740"	"47944"	"0"	"47944"	"0"
"234"	"119A"	"158"	"16"	"6"	"89"	"9"	"2"	"280"	"0"	"280"	"0"
"235"	"120"	"266"	"15"	"25"	"115"	"25"	"14"	"460"	"0"	"460"	"0"
"236"	"121"	"456"	"15"	"5"	"33"	"11"	"17"	"537"	"0"	"537"	"0"
"237"	"122"	"221"	"10"	"4"	"138"	"13"	"4"	"390"	"0"	"390"	"0"
"238"	"122A"	"247"	"14"	"6"	"60"	"10"	"17"	"354"	"0"	"354"	"0"
"239"	"123"	"312"	"5"	"4"	"73"	"14"	"12"	"420"	"0"	"420"	"0"
"240"	"124"	"268"	"15"	"3"	"27"	"14"	"10"	"337"	"0"	"337"	"0"
"241"	"125"	"122"	"20"	"16"	"71"	"8"	"10"	"247"	"0"	"247"	"0"
"242"	"126"	"141"	"72"	"18"	"77"	"14"	"39"	"361"	"0"	"361"	"0"
"243"	"126A"	"80"	"37"	"13"	"219"	"11"	"21"	"381"	"0"	"381"	"0"
"244"	"127"	"97"	"40"	"31"	"227"	"9"	"11"	"415"	"0"	"415"	"0"
"245"	"128"	"29"	"265"	"12"	"63"	"6"	"9"	"384"	"0"	"384"	"0"
"246"	"129"	"74"	"19"	"5"	"256"	"14"	"20"	"388"	"0"	"388"	"0"
"247"	"130"	"69"	"84"	"11"	"97"	"14"	"14"	"289"	"0"	"289"	"0"
"248"	""	""	""	""	""	""	""	""	""	""	"0"
"249"	"TOTAL"	"26873"	"4933"	"1471"	"16223"	"1747"	"1940"	"53187"	"0"	"53187"	"0"
"250"	"ROUND - 11"	""	""	""	""	""	""	""	""	""	""
"251"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"252"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
