"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"81"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"4                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"86"	"54"	"16"	"141"	"276"	"9"	"25"	"5"	"3"	"12"	"22"	"11"	"23"	"543"	""	"543"	""
"87"	"55"	"17"	"214"	"352"	"17"	"33"	"10"	"4"	"7"	"10"	"8"	"7"	"679"	""	"679"	""
"88"	"56"	"22"	"255"	"206"	"21"	"11"	"6"	"2"	"7"	"12"	"5"	"6"	"553"	""	"553"	""
"89"	"57"	"19"	"361"	"127"	"15"	"16"	"8"	"15"	"6"	"22"	"14"	"21"	"624"	""	"624"	""
"90"	"58"	"18"	"174"	"214"	"14"	"11"	"8"	"6"	"5"	"13"	"8"	"7"	"478"	""	"478"	""
"91"	"59"	"6"	"129"	"199"	"5"	"1"	"2"	"1"	"3"	"4"	"1"	"7"	"358"	""	"358"	""
"92"	"59A"	"5"	"140"	"111"	"4"	"5"	"5"	"2"	"8"	"12"	"9"	"11"	"312"	""	"312"	""
"93"	"60"	"46"	"149"	"344"	"17"	"28"	"15"	"14"	"20"	"18"	"17"	"27"	"695"	""	"695"	""
"94"	"61"	"11"	"105"	"152"	"7"	"23"	"7"	"4"	"9"	"12"	"7"	"14"	"351"	""	"351"	""
"95"	"62"	"11"	"249"	"108"	"12"	"61"	"8"	"10"	"8"	"20"	"14"	"33"	"534"	""	"534"	""
"96"	"63"	"19"	"238"	"414"	"15"	"39"	"5"	"3"	"12"	"7"	"1"	"4"	"757"	""	"757"	""
"97"	"64"	"19"	"97"	"300"	"16"	"19"	"8"	"4"	"9"	"6"	"7"	"6"	"491"	""	"491"	""
"98"	"65"	"5"	"74"	"261"	"12"	"162"	"12"	"8"	"4"	"15"	"10"	"11"	"574"	""	"574"	""
"99"	"66"	"12"	"197"	"243"	"12"	"49"	"10"	"6"	"3"	"9"	"5"	"6"	"552"	""	"552"	""
"100"	"Total"	"226"	"2523"	"3307"	"176"	"483"	"109"	"82"	"113"	"182"	"117"	"183"	"7501"	"0"	"7501"	"0"
"101"	"Cumm.Tot."	"934"	"14109"	"16214"	"695"	"984"	"337"	"345"	"368"	"609"	"465"	"768"	"35828"	"0"	"35828"	"0"
"102"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"5                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"107"	"67"	"6"	"149"	"331"	"6"	"6"	"2"	"2"	"1"	"13"	"9"	"22"	"547"	""	"547"	""
"108"	"68"	"7"	"114"	"239"	"6"	"13"	"2"	"2"	"0"	"5"	"1"	"5"	"394"	""	"394"	""
"109"	"69"	"6"	"153"	"161"	"13"	"3"	"4"	"3"	"0"	"6"	"1"	"3"	"353"	""	"353"	""
"110"	"70"	"20"	"120"	"249"	"67"	"9"	"7"	"3"	"6"	"15"	"7"	"18"	"521"	""	"521"	""
"111"	"71"	"16"	"293"	"297"	"9"	"3"	"3"	"1"	"5"	"6"	"5"	"8"	"646"	""	"646"	""
"112"	"72"	"6"	"294"	"147"	"6"	"11"	"4"	"4"	"5"	"10"	"5"	"3"	"495"	""	"495"	""
"113"	"73"	"16"	"166"	"199"	"13"	"16"	"6"	"9"	"12"	"3"	"4"	"10"	"454"	""	"454"	""
"114"	"74"	"22"	"312"	"213"	"26"	"30"	"14"	"16"	"12"	"17"	"16"	"17"	"695"	""	"695"	""
"115"	"75"	"20"	"163"	"161"	"11"	"5"	"5"	"13"	"11"	"10"	"9"	"21"	"429"	""	"429"	""
"116"	"75A"	"16"	"190"	"146"	"13"	"5"	"4"	"7"	"5"	"8"	"7"	"13"	"414"	""	"414"	""
"117"	"76"	"6"	"337"	"156"	"8"	"6"	"4"	"0"	"4"	"5"	"3"	"3"	"532"	""	"532"	""
"118"	"77"	"17"	"221"	"102"	"8"	"12"	"4"	"13"	"18"	"22"	"25"	"48"	"490"	""	"490"	""
"119"	"78"	"24"	"192"	"292"	"14"	"11"	"9"	"3"	"7"	"2"	"2"	"4"	"560"	""	"560"	""
"120"	"78A"	"3"	"93"	"179"	"3"	"4"	"4"	"4"	"5"	"10"	"11"	"15"	"331"	""	"331"	""
"121"	"Total"	"185"	"2797"	"2872"	"203"	"134"	"72"	"80"	"91"	"132"	"105"	"190"	"6861"	"0"	"6861"	"0"
"122"	"Cumm.Tot."	"1119"	"16906"	"19086"	"898"	"1118"	"409"	"425"	"459"	"741"	"570"	"958"	"42689"	"0"	"42689"	"0"
"123"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"6                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"127"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"128"	"79"	"21"	"283"	"160"	"21"	"5"	"9"	"4"	"13"	"17"	"6"	"24"	"563"	""	"563"	""
"129"	"80"	"17"	"234"	"150"	"7"	"5"	"3"	"7"	"5"	"4"	"3"	"4"	"439"	""	"439"	""
"130"	"81"	"5"	"87"	"178"	"5"	"2"	"5"	"1"	"9"	"14"	"6"	"12"	"324"	""	"324"	""
"131"	"82"	"38"	"340"	"115"	"18"	"11"	"11"	"5"	"6"	"6"	"4"	"7"	"561"	""	"561"	""
"132"	"83"	"10"	"225"	"283"	"5"	"5"	"3"	"2"	"11"	"9"	"4"	"4"	"561"	""	"561"	""
"133"	"84"	"35"	"314"	"182"	"5"	"6"	"8"	"6"	"11"	"7"	"9"	"12"	"595"	""	"595"	""
"134"	"85"	"3"	"161"	"231"	"4"	"4"	"9"	"14"	"3"	"12"	"6"	"9"	"456"	""	"456"	""
"135"	"86"	"8"	"273"	"169"	"7"	"2"	"2"	"1"	"0"	"4"	"5"	"6"	"477"	""	"477"	""
"136"	"87"	"12"	"101"	"187"	"7"	"8"	"3"	"3"	"2"	"2"	"2"	"5"	"332"	""	"332"	""
"137"	"88"	"4"	"149"	"266"	"7"	"5"	"5"	"5"	"6"	"7"	"3"	"6"	"463"	""	"463"	""
"138"	"89"	"12"	"95"	"260"	"6"	"6"	"2"	"2"	"2"	"2"	"3"	"7"	"397"	""	"397"	""
"139"	"90"	"17"	"112"	"354"	"11"	"8"	"8"	"8"	"3"	"6"	"3"	"6"	"536"	""	"536"	""
"140"	"91"	"12"	"178"	"147"	"4"	"4"	"5"	"2"	"2"	"1"	"3"	"0"	"358"	""	"358"	""
"141"	"92"	"11"	"72"	"213"	"8"	"2"	"3"	"2"	"3"	"5"	"1"	"11"	"331"	""	"331"	""
"142"	"Total"	"205"	"2624"	"2895"	"115"	"73"	"76"	"62"	"76"	"96"	"58"	"113"	"6393"	"0"	"6393"	"0"
"143"	"Cumm.Tot."	"1324"	"19530"	"21981"	"1013"	"1191"	"485"	"487"	"535"	"837"	"628"	"1071"	"49082"	"0"	"49082"	"0"
"144"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"7                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"148"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"149"	"93"	"15"	"155"	"125"	"16"	"13"	"4"	"3"	"3"	"6"	"3"	"6"	"349"	""	"349"	""
"150"	"94"	"48"	"222"	"136"	"15"	"11"	"3"	"14"	"13"	"8"	"15"	"25"	"510"	""	"510"	""
"151"	"95"	"51"	"161"	"233"	"8"	"6"	"3"	"4"	"5"	"7"	"7"	"9"	"494"	""	"494"	""
"152"	"96"	"19"	"139"	"122"	"9"	"3"	"3"	"4"	"2"	"2"	"0"	"7"	"310"	""	"310"	""
"153"	"97"	"5"	"131"	"186"	"3"	"5"	"5"	"5"	"2"	"7"	"7"	"10"	"366"	""	"366"	""
"154"	"97A"	"13"	"82"	"225"	"9"	"5"	"2"	"0"	"3"	"8"	"2"	"6"	"355"	""	"355"	""
"155"	"98"	"13"	"240"	"239"	"13"	"10"	"4"	"3"	"3"	"4"	"1"	"6"	"536"	""	"536"	""
"156"	"99"	"7"	"187"	"367"	"3"	"27"	"6"	"5"	"5"	"8"	"2"	"7"	"624"	""	"624"	""
"157"	"100"	"3"	"273"	"167"	"4"	"4"	"3"	"1"	"3"	"6"	"3"	"10"	"477"	""	"477"	""
"158"	"101"	"19"	"131"	"218"	"3"	"9"	"3"	"3"	"7"	"10"	"1"	"4"	"408"	""	"408"	""
"159"	"101A"	"3"	"167"	"114"	"6"	"4"	"1"	"1"	"1"	"5"	"1"	"1"	"304"	""	"304"	""
"160"	"102"	"2"	"52"	"169"	"6"	"25"	"4"	"4"	"3"	"6"	"3"	"8"	"282"	""	"282"	""
"161"	"103"	"7"	"125"	"290"	"10"	"26"	"3"	"6"	"6"	"10"	"6"	"11"	"500"	""	"500"	""
"162"	"104"	"12"	"296"	"144"	"6"	"3"	"11"	"7"	"6"	"12"	"16"	"33"	"546"	""	"546"	""
"163"	"Total"	"217"	"2361"	"2735"	"111"	"151"	"55"	"60"	"62"	"99"	"67"	"143"	"6061"	"0"	"6061"	"0"
"164"	"Cumm.Tot."	"1541"	"21891"	"24716"	"1124"	"1342"	"540"	"547"	"597"	"936"	"695"	"1214"	"55143"	"0"	"55143"	"0"
"165"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"8                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"169"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"170"	"105"	"13"	"155"	"242"	"8"	"8"	"7"	"2"	"3"	"6"	"5"	"5"	"454"	""	"454"	""
"171"	"106"	"17"	"255"	"77"	"7"	"7"	"6"	"10"	"8"	"9"	"5"	"9"	"410"	""	"410"	""
"172"	"107"	"14"	"221"	"235"	"12"	"9"	"0"	"3"	"2"	"5"	"5"	"9"	"515"	""	"515"	""
"173"	"108"	"15"	"140"	"120"	"11"	"5"	"3"	"1"	"5"	"4"	"2"	"2"	"308"	""	"308"	""
"174"	"109"	"2"	"115"	"97"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"1"	"223"	""	"223"	""
"175"	"110"	"18"	"207"	"422"	"7"	"9"	"5"	"1"	"2"	"5"	"0"	"3"	"679"	""	"679"	""
"176"	"111"	"0"	"161"	"228"	"7"	"2"	"4"	"1"	"0"	"5"	"4"	"8"	"420"	""	"420"	""
"177"	"112"	"7"	"109"	"361"	"8"	"1"	"2"	"0"	"1"	"0"	"4"	"5"	"498"	""	"498"	""
"178"	"113"	"15"	"229"	"121"	"6"	"8"	"2"	"2"	"2"	"5"	"9"	"5"	"404"	""	"404"	""
"179"	"114"	"9"	"223"	"208"	"7"	"2"	"3"	"2"	"5"	"7"	"9"	"15"	"490"	""	"490"	""
"180"	"115"	"14"	"159"	"351"	"10"	"9"	"15"	"5"	"6"	"3"	"3"	"6"	"581"	""	"581"	""
"181"	"116"	"0"	"220"	"218"	"8"	"1"	"3"	"6"	"1"	"6"	"5"	"6"	"474"	""	"474"	""
"182"	"117"	"13"	"184"	"302"	"6"	"5"	"4"	"7"	"6"	"6"	"5"	"9"	"547"	""	"547"	""
"183"	"118"	"46"	"397"	"228"	"10"	"14"	"7"	"7"	"9"	"7"	"4"	"8"	"737"	""	"737"	""
"184"	"Total"	"183"	"2775"	"3210"	"109"	"81"	"61"	"47"	"50"	"71"	"62"	"91"	"6740"	"0"	"6740"	"0"
"185"	"Cumm.Tot."	"1724"	"24666"	"27926"	"1233"	"1423"	"601"	"594"	"647"	"1007"	"757"	"1305"	"61883"	"0"	"61883"	"0"
"186"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"9                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"190"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"191"	"119"	"9"	"106"	"345"	"13"	"3"	"1"	"5"	"3"	"3"	"1"	"1"	"490"	""	"490"	""
"192"	"120"	"9"	"169"	"71"	"2"	"4"	"1"	"1"	"3"	"0"	"0"	"1"	"261"	""	"261"	""
"193"	"121"	"21"	"101"	"505"	"24"	"13"	"3"	"9"	"6"	"11"	"6"	"10"	"709"	""	"709"	""
"194"	"122"	"45"	"152"	"343"	"30"	"29"	"14"	"5"	"9"	"5"	"10"	"5"	"647"	""	"647"	""
