"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"29"	"25"	"6"	"178"	"7"	"9"	"36"	"3"	"53"	"10"	"302"	""	"302"	""
"30"	"26"	"30"	"209"	"97"	"12"	"62"	"10"	"137"	"4"	"561"	""	"561"	""
"31"	"27"	"146"	"73"	"28"	"17"	"34"	"14"	"206"	"39"	"557"	""	"557"	""
"32"	"28"	"79"	"41"	"37"	"12"	"11"	"9"	"49"	"15"	"253"	""	"253"	""
"33"	"TOTAL-II"	"823"	"2400"	"681"	"118"	"488"	"115"	"927"	"190"	"5742"	""	"5742"	""
"34"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"36"	"29"	"164"	"39"	"59"	"10"	"17"	"16"	"166"	"24"	"495"	""	"495"	""
"37"	"30"	"158"	"15"	"79"	"8"	"5"	"5"	"221"	"8"	"499"	""	"499"	""
"38"	"31"	"16"	"26"	"204"	"10"	"11"	"6"	"38"	"7"	"318"	""	"318"	""
"39"	"32"	"58"	"317"	"65"	"10"	"52"	"13"	"86"	"14"	"615"	""	"615"	""
"40"	"33"	"17"	"103"	"162"	"13"	"18"	"10"	"35"	"12"	"370"	""	"370"	""
"41"	"33d"	"130"	"18"	"20"	"4"	"10"	"23"	"147"	"30"	"382"	""	"382"	""
"42"	"34"	"13"	"178"	"162"	"19"	"47"	"18"	"72"	"22"	"531"	""	"531"	""
"43"	"35"	"17"	"267"	"89"	"7"	"36"	"8"	"119"	"15"	"558"	""	"558"	""
"44"	"36"	"41"	"320"	"90"	"13"	"59"	"12"	"102"	"26"	"663"	""	"663"	""
"45"	"37"	"4"	"168"	"47"	"6"	"20"	"6"	"46"	"7"	"304"	""	"304"	""
"46"	"37d"	"21"	"229"	"62"	"5"	"14"	"2"	"8"	"2"	"343"	""	"343"	""
"47"	"38"	"30"	"117"	"259"	"13"	"13"	"6"	"14"	"1"	"453"	""	"453"	""
"48"	"39"	"6"	"132"	"7"	"1"	"21"	"6"	"46"	"5"	"224"	""	"224"	""
"49"	"40"	"37"	"75"	"134"	"6"	"15"	"6"	"52"	"5"	"330"	""	"330"	""
"50"	"Total-III"	"712"	"2004"	"1439"	"125"	"338"	"137"	"1152"	"178"	"6085"	""	"6085"	""
"51"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"53"	"41"	"12"	"188"	"29"	"0"	"13"	"5"	"42"	"6"	"295"	""	"295"	""
"54"	"42"	"19"	"147"	"36"	"5"	"32"	"23"	"147"	"20"	"429"	""	"429"	""
"55"	"43"	"5"	"475"	"3"	"0"	"16"	"2"	"6"	"0"	"507"	""	"507"	""
"56"	"44"	"5"	"173"	"4"	"8"	"10"	"6"	"90"	"4"	"300"	""	"300"	""
"57"	"45"	"6"	"381"	"9"	"3"	"31"	"8"	"29"	"4"	"471"	""	"471"	""
"58"	"46"	"22"	"306"	"90"	"3"	"25"	"2"	"71"	"6"	"525"	""	"525"	""
"59"	"47"	"15"	"332"	"19"	"3"	"28"	"8"	"26"	"15"	"446"	""	"446"	""
"60"	"48"	"17"	"324"	"18"	"3"	"26"	"5"	"29"	"12"	"434"	""	"434"	""
"61"	"49"	"17"	"312"	"21"	"3"	"53"	"12"	"32"	"7"	"457"	""	"457"	""
"62"	"50"	"24"	"423"	"43"	"5"	"45"	"10"	"95"	"16"	"661"	""	"661"	""
"63"	"51"	"48"	"290"	"69"	"10"	"34"	"12"	"170"	"12"	"645"	""	"645"	""
"64"	"52"	"3"	"275"	"3"	"0"	"12"	"2"	"21"	"5"	"321"	""	"321"	""
"65"	"53"	"9"	"365"	"50"	"3"	"30"	"9"	"104"	"14"	"584"	""	"584"	""
"66"	"54"	"14"	"344"	"6"	"4"	"22"	"3"	"22"	"10"	"425"	""	"425"	""
"67"	"TOTAL-IV"	"216"	"4335"	"400"	"50"	"377"	"107"	"884"	"131"	"6500"	""	"6500"	""
"68"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"70"	"55"	"20"	"145"	"88"	"8"	"27"	"14"	"147"	"11"	"460"	""	"460"	""
"71"	"56"	"24"	"214"	"83"	"5"	"35"	"9"	"90"	"15"	"475"	""	"475"	""
"72"	"57"	"201"	"15"	"7"	"6"	"13"	"6"	"143"	"13"	"404"	""	"404"	""
"73"	"58"	"271"	"41"	"27"	"5"	"7"	"9"	"194"	"34"	"588"	""	"588"	""
"74"	"59"	"9"	"410"	"13"	"5"	"31"	"1"	"7"	"5"	"481"	""	"481"	""
"75"	"60"	"25"	"504"	"7"	"6"	"83"	"12"	"28"	"1"	"666"	""	"666"	""
"76"	"61"	"88"	"207"	"61"	"7"	"45"	"12"	"121"	"7"	"548"	""	"548"	""
"77"	"62"	"80"	"256"	"19"	"10"	"61"	"7"	"66"	"30"	"529"	""	"529"	""
"78"	"63"	"10"	"121"	"20"	"5"	"21"	"5"	"167"	"17"	"366"	""	"366"	""
"79"	"64"	"10"	"3"	"12"	"1"	"4"	"3"	"420"	"6"	"459"	""	"459"	""
"80"	"65"	"53"	"39"	"26"	"5"	"15"	"12"	"124"	"51"	"325"	""	"325"	""
"81"	"66"	"28"	"36"	"15"	"3"	"14"	"6"	"176"	"25"	"303"	""	"303"	""
"82"	"67"	"62"	"51"	"29"	"7"	"39"	"5"	"179"	"17"	"389"	""	"389"	""
"83"	"68"	"10"	"78"	"60"	"6"	"18"	"9"	"74"	"6"	"261"	""	"261"	""
"84"	"TOTAL-V"	"891"	"2120"	"467"	"79"	"413"	"110"	"1936"	"238"	"6254"	""	"6254"	""
"85"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"87"	"69"	"87"	"149"	"18"	"11"	"18"	"3"	"39"	"4"	"329"	""	"329"	""
"88"	"69d"	"46"	"137"	"136"	"8"	"20"	"3"	"25"	"5"	"380"	""	"380"	""
"89"	"70"	"77"	"341"	"27"	"5"	"23"	"9"	"39"	"12"	"533"	""	"533"	""
"90"	"71"	"161"	"126"	"149"	"19"	"27"	"9"	"55"	"11"	"557"	""	"557"	""
"91"	"72"	"31"	"187"	"349"	"25"	"28"	"20"	"45"	"15"	"700"	""	"700"	""
"92"	"73"	"17"	"296"	"118"	"7"	"31"	"6"	"55"	"10"	"540"	""	"540"	""
"93"	"74"	"188"	"15"	"75"	"8"	"12"	"12"	"20"	"7"	"337"	""	"337"	""
"94"	"75"	"31"	"427"	"91"	"4"	"23"	"3"	"21"	"2"	"602"	""	"602"	""
"95"	"76"	"4"	"138"	"114"	"9"	"20"	"8"	"55"	"10"	"358"	""	"358"	""
"96"	"77"	"69"	"337"	"55"	"5"	"20"	"11"	"144"	"11"	"652"	""	"652"	""
"97"	"78"	"28"	"126"	"169"	"17"	"27"	"10"	"44"	"2"	"423"	""	"423"	""
"98"	"79"	"21"	"374"	"10"	"3"	"22"	"3"	"7"	"4"	"444"	""	"444"	""
"99"	"80"	"11"	"190"	"86"	"8"	"42"	"7"	"42"	"3"	"389"	""	"389"	""
"100"	"81"	"57"	"257"	"65"	"8"	"32"	"8"	"26"	"11"	"464"	""	"464"	""
"101"	"TOTAL-VI"	"828"	"3100"	"1462"	"137"	"345"	"112"	"617"	"107"	"6708"	""	"6708"	""
"102"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"104"	"82"	"13"	"400"	"11"	"7"	"29"	"6"	"12"	"6"	"484"	""	"484"	""
"105"	"83"	"38"	"324"	"28"	"5"	"26"	"8"	"11"	"7"	"447"	""	"447"	""
"106"	"84"	"23"	"220"	"108"	"4"	"20"	"9"	"6"	"2"	"392"	""	"392"	""
"107"	"85"	"46"	"101"	"171"	"19"	"21"	"12"	"24"	"6"	"400"	""	"400"	""
"108"	"86"	"17"	"245"	"28"	"3"	"5"	"2"	"25"	"1"	"326"	""	"326"	""
"109"	"86d"	"38"	"106"	"58"	"9"	"14"	"5"	"56"	"15"	"301"	""	"301"	""
"110"	"87"	"134"	"86"	"218"	"16"	"20"	"18"	"138"	"32"	"662"	""	"662"	""
"111"	"88"	"22"	"357"	"169"	"11"	"41"	"4"	"8"	"3"	"615"	""	"615"	""
"112"	"89"	"67"	"176"	"306"	"21"	"25"	"19"	"32"	"29"	"675"	""	"675"	""
"113"	"90"	"195"	"21"	"50"	"5"	"5"	"13"	"301"	"35"	"625"	""	"625"	""
"114"	"91"	"97"	"220"	"4"	"5"	"25"	"5"	"59"	"13"	"428"	""	"428"	""
"115"	"92"	"177"	"86"	"29"	"9"	"12"	"6"	"52"	"21"	"392"	""	"392"	""
"116"	"93"	"105"	"217"	"55"	"9"	"25"	"7"	"90"	"18"	"526"	""	"526"	""
"117"	"94"	"135"	"192"	"27"	"6"	"25"	"14"	"178"	"40"	"617"	""	"617"	""
"118"	"TOTAL-VII"	"1107"	"2751"	"1262"	"129"	"293"	"128"	"992"	"228"	"6890"	""	"6890"	""
"119"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"121"	"95"	"65"	"210"	"34"	"2"	"17"	"4"	"120"	"8"	"460"	""	"460"	""
"122"	"96"	"25"	"298"	"4"	"2"	"24"	"7"	"58"	"11"	"429"	""	"429"	""
"123"	"97"	"17"	"167"	"53"	"12"	"20"	"7"	"21"	"6"	"303"	""	"303"	""
"124"	"97d"	"14"	"220"	"7"	"2"	"13"	"3"	"16"	"5"	"280"	""	"280"	""
"125"	"98"	"171"	"185"	"70"	"11"	"39"	"15"	"113"	"25"	"629"	""	"629"	""
"126"	"99"	"29"	"264"	"14"	"4"	"36"	"7"	"17"	"1"	"372"	""	"372"	""
"127"	"100"	"3"	"248"	"2"	"0"	"6"	"0"	"12"	"1"	"272"	""	"272"	""
"128"	"101"	"101"	"351"	"44"	"6"	"50"	"10"	"20"	"9"	"591"	""	"591"	""
"129"	"102"	"249"	"39"	"89"	"11"	"13"	"12"	"61"	"22"	"496"	""	"496"	""
"130"	"103"	"280"	"115"	"8"	"4"	"8"	"10"	"77"	"8"	"510"	""	"510"	""
"131"	"104"	"134"	"57"	"36"	"6"	"19"	"65"	"54"	"18"	"389"	""	"389"	""
"132"	"105"	"283"	"10"	"105"	"6"	"6"	"19"	"94"	"7"	"530"	""	"530"	""
"133"	"106"	"231"	"20"	"45"	"5"	"6"	"3"	"142"	"39"	"491"	""	"491"	""
"134"	"107"	"271"	"25"	"73"	"7"	"11"	"16"	"80"	"13"	"496"	""	"496"	""
"135"	"TOTAL-VIII"	"1873"	"2209"	"584"	"78"	"268"	"178"	"885"	"173"	"6248"	""	"6248"	""
"136"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"138"	"108"	"331"	"99"	"92"	"6"	"8"	"9"	"32"	"9"	"586"	""	"586"	""
"139"	"109"	"101"	"281"	"99"	"5"	"22"	"1"	"40"	"9"	"558"	""	"558"	""
"140"	"110"	"140"	"186"	"46"	"16"	"39"	"4"	"39"	"7"	"477"	""	"477"	""
"141"	"111"	"132"	"34"	"5"	"1"	"5"	"0"	"28"	"0"	"205"	""	"205"	""
"142"	"112"	"249"	"52"	"31"	"12"	"18"	"7"	"85"	"20"	"474"	""	"474"	""
"143"	"113"	"250"	"116"	"44"	"9"	"24"	"11"	"78"	"36"	"568"	""	"568"	""
"144"	"114"	"94"	"39"	"4"	"1"	"5"	"1"	"19"	"3"	"166"	""	"166"	""
"145"	"115"	"175"	"91"	"34"	"6"	"19"	"14"	"201"	"28"	"568"	""	"568"	""
"146"	"116"	"68"	"125"	"122"	"10"	"31"	"17"	"67"	"12"	"452"	""	"452"	""
"147"	"117"	"38"	"18"	"72"	"2"	"7"	"3"	"110"	"4"	"254"	""	"254"	""
"148"	"118"	"235"	"27"	"44"	"6"	"9"	"4"	"72"	"26"	"423"	""	"423"	""
"149"	"119"	"172"	"104"	"18"	"8"	"26"	"2"	"20"	"6"	"356"	""	"356"	""
"150"	"120"	"338"	"29"	"6"	"27"	"8"	"6"	"15"	"6"	"435"	""	"435"	""
"151"	"121"	"451"	"50"	"109"	"5"	"15"	"11"	"28"	"17"	"686"	""	"686"	""
"152"	"TOTAL-IX"	"2774"	"1251"	"726"	"114"	"236"	"90"	"834"	"183"	"6208"	""	"6208"	""
"153"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"155"	"122"	"335"	"33"	"73"	"10"	"15"	"10"	"36"	"29"	"541"	""	"541"	""
"156"	"123"	"173"	"126"	"24"	"3"	"18"	"1"	"15"	"1"	"361"	""	"361"	""
"157"	"124"	"212"	"141"	"32"	"3"	"36"	"6"	"6"	"17"	"453"	""	"453"	""
"158"	"125"	"249"	"152"	"47"	"4"	"24"	"5"	"26"	"5"	"512"	""	"512"	""
"159"	"126"	"312"	"34"	"35"	"7"	"9"	"7"	"25"	"6"	"435"	""	"435"	""
"160"	"127"	"385"	"59"	"35"	"3"	"18"	"8"	"29"	"13"	"550"	""	"550"	""
"161"	"128"	"511"	"27"	"14"	"5"	"5"	"5"	"37"	"14"	"618"	""	"618"	""
"162"	"129"	"198"	"92"	"20"	"0"	"19"	"3"	"12"	"11"	"355"	""	"355"	""
"163"	"129d"	"241"	"85"	"25"	"1"	"9"	"8"	"47"	"9"	"425"	""	"425"	""
"164"	"130"	"352"	"83"	"59"	"7"	"35"	"6"	"71"	"14"	"627"	""	"627"	""
"165"	"131"	"331"	"88"	"11"	"1"	"9"	"5"	"58"	"2"	"505"	""	"505"	""
"166"	"132"	"208"	"87"	"24"	"6"	"24"	"7"	"15"	"22"	"393"	""	"393"	""
"167"	"132d"	"215"	"82"	"16"	"4"	"18"	"6"	"15"	"20"	"376"	""	"376"	""
"168"	"133"	"114"	"141"	"12"	"7"	"18"	"5"	"102"	"6"	"405"	""	"405"	""
"169"	"TOTAL-X"	"3836"	"1230"	"427"	"61"	"257"	"82"	"494"	"169"	"6556"	""	"6556"	""
"170"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"172"	"134"	"70"	"18"	"37"	"5"	"7"	"9"	"372"	"16"	"534"	""	"534"	""
"173"	"135"	"141"	"85"	"14"	"4"	"19"	"3"	"17"	"2"	"285"	""	"285"	""
"174"	"135d"	"211"	"115"	"27"	"2"	"19"	"2"	"18"	"3"	"397"	""	"397"	""
"175"	"136"	"154"	"343"	"36"	"11"	"27"	"4"	"34"	"6"	"615"	""	"615"	""
"176"	"137"	"292"	"21"	"26"	"5"	"5"	"4"	"65"	"3"	"421"	""	"421"	""
"177"	"138"	"63"	"6"	"8"	"2"	"1"	"7"	"209"	"19"	"315"	""	"315"	""
"178"	"139"	"178"	"114"	"22"	"6"	"14"	"16"	"74"	"25"	"449"	""	"449"	""
"179"	"140"	"30"	"350"	"12"	"4"	"17"	"4"	"18"	"7"	"442"	""	"442"	""
"180"	"141"	"18"	"336"	"75"	"11"	"15"	"3"	"24"	"12"	"494"	""	"494"	""
"181"	"142"	"64"	"163"	"63"	"4"	"13"	"5"	"7"	"6"	"325"	""	"325"	""
"182"	"143"	"25"	"283"	"25"	"6"	"28"	"7"	"11"	"6"	"391"	""	"391"	""
"183"	"144"	"199"	"110"	"27"	"5"	"14"	"1"	"47"	"8"	"411"	""	"411"	""
"184"	"145"	"235"	"86"	"81"	"14"	"26"	"15"	"101"	"12"	"570"	""	"570"	""
"185"	"146"	"96"	"18"	"18"	"4"	"3"	"7"	"256"	"8"	"410"	""	"410"	""
"186"	"TOTAL-XI"	"1776"	"2048"	"471"	"83"	"208"	"87"	"1253"	"133"	"6059"	""	"6059"	""
"187"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"189"	"147"	"226"	"105"	"75"	"9"	"26"	"7"	"77"	"22"	"547"	""	"547"	""
"190"	"148"	"367"	"43"	"25"	"4"	"10"	"2"	"9"	"5"	"465"	""	"465"	""
"191"	"149"	"113"	"60"	"50"	"9"	"5"	"8"	"86"	"10"	"341"	""	"341"	""
"192"	"149d"	"126"	"54"	"135"	"4"	"12"	"5"	"28"	"8"	"372"	""	"372"	""
"193"	"150"	"95"	"58"	"72"	"8"	"22"	"7"	"27"	"4"	"293"	""	"293"	""
"194"	"151"	"101"	"177"	"14"	"5"	"22"	"3"	"12"	"6"	"340"	""	"340"	""
"195"	"152"	"269"	"24"	"13"	"3"	"3"	"3"	"31"	"12"	"358"	""	"358"	""
"196"	"152d"	"196"	"73"	"10"	"0"	"19"	"8"	"57"	"9"	"372"	""	"372"	""
"197"	"153"	"139"	"52"	"74"	"7"	"21"	"3"	"15"	"9"	"320"	""	"320"	""
"198"	"154"	"206"	"81"	"48"	"8"	"15"	"6"	"73"	"12"	"449"	""	"449"	""
"199"	"155"	"125"	"74"	"87"	"9"	"21"	"9"	"33"	"23"	"381"	""	"381"	""
"200"	"156"	"107"	"235"	"99"	"15"	"40"	"3"	"28"	"9"	"536"	""	"536"	""
"201"	"157"	"85"	"274"	"33"	"2"	"44"	"3"	"26"	"2"	"469"	""	"469"	""
"202"	"158"	"301"	"23"	"30"	"5"	"5"	"2"	"62"	"2"	"430"	""	"430"	""
"203"	"TOTAL-XII"	"2456"	"1333"	"765"	"88"	"265"	"69"	"564"	"133"	"5673"	""	"5673"	""
"204"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"206"	"159"	"386"	"59"	"34"	"12"	"12"	"7"	"34"	"8"	"552"	""	"552"	""
"207"	"160"	"263"	"21"	"119"	"8"	"9"	"12"	"14"	"18"	"464"	""	"464"	""
"208"	"161"	"121"	"101"	"127"	"9"	"45"	"8"	"16"	"4"	"431"	""	"431"	""
"209"	"161d"	"159"	"27"	"83"	"10"	"14"	"6"	"10"	"14"	"323"	""	"323"	""
"210"	"162"	"318"	"89"	"23"	"5"	"21"	"2"	"14"	"18"	"490"	""	"490"	""
"211"	"163"	"340"	"48"	"52"	"5"	"8"	"6"	"10"	"5"	"474"	""	"474"	""
"212"	"164"	"126"	"139"	"180"	"12"	"27"	"11"	"61"	"25"	"581"	""	"581"	""
"213"	"165"	"30"	"229"	"32"	"13"	"45"	"12"	"17"	"18"	"396"	""	"396"	""
"214"	"166"	"61"	"96"	"141"	"11"	"26"	"16"	"10"	"11"	"372"	""	"372"	""
"215"	"166d"	"58"	"68"	"142"	"30"	"30"	"9"	"5"	"27"	"369"	""	"369"	""
"216"	"167"	"15"	"128"	"188"	"26"	"36"	"13"	"27"	"28"	"461"	""	"461"	""
"217"	"168"	"164"	"59"	"137"	"11"	"23"	"10"	"55"	"29"	"488"	""	"488"	""
"218"	"169"	"59"	"485"	"17"	"7"	"59"	"9"	"12"	"9"	"657"	""	"657"	""
