"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"108"	"izi=&20"	""	""	""	""	""	""	""	""	""
"109"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"110"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"111"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	""	""	"5th Round"	""	""
"113"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"114"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"115"	"51"	"14"	"130"	"265"	"63"	"14"	"13"	"27"	"37"	"563"
"116"	"52"	"23"	"47"	"236"	"20"	"6"	"6"	"0"	"20"	"358"
"117"	"53"	"23"	"70"	"304"	"47"	"9"	"7"	"22"	"26"	"508"
"118"	"54"	"8"	"73"	"155"	"22"	"10"	"9"	"5"	"12"	"294"
"119"	"55"	"22"	"87"	"208"	"38"	"22"	"22"	"15"	"40"	"454"
"120"	"56"	"11"	"70"	"207"	"25"	"12"	"18"	"9"	"15"	"367"
"121"	"57"	"34"	"165"	"430"	"41"	"16"	"17"	"19"	"10"	"732"
"122"	"58"	"7"	"144"	"179"	"22"	"8"	"7"	"14"	"7"	"388"
"123"	"59"	"7"	"22"	"304"	"12"	"3"	"1"	"1"	"5"	"355"
"124"	"60"	"44"	"34"	"402"	"37"	"11"	"12"	"4"	"14"	"558"
"125"	"61"	"13"	"234"	"246"	"53"	"9"	"6"	"15"	"35"	"611"
"126"	"62"	"4"	"119"	"210"	"43"	"2"	"7"	"4"	"18"	"407"
"127"	"63"	"34"	"162"	"151"	"162"	"15"	"16"	"51"	"19"	"610"
"128"	"64"	"37"	"132"	"412"	"40"	"15"	"13"	"23"	"63"	"735"
"129"	";ksx"	"281"	"1489"	"3709"	"625"	"152"	"154"	"209"	"321"	"6940"
"130"	""	""	""	""	""	""	""	""	""	""
"131"	"LFkku &"	""	""	""	""	""	""	""	""	""
"132"	""	""	""	""	""	""	""	""	""	""
"133"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"134"	""	""	""	""	""	""	""	""	""	""
"135"	"izi=&20"	""	""	""	""	""	""	""	""	""
"136"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"137"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"138"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"139"	""	""	""	""	""	""	""	"6th Round"	""	""
"140"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"141"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"142"	"65"	"9"	"69"	"188"	"70"	"6"	"4"	"103"	"15"	"464"
"143"	"66"	"45"	"126"	"319"	"59"	"21"	"12"	"24"	"20"	"626"
"144"	"67"	"20"	"81"	"354"	"53"	"11"	"3"	"4"	"10"	"536"
"145"	"67A"	"5"	"8"	"129"	"43"	"3"	"3"	"3"	"0"	"194"
"146"	"68"	"12"	"21"	"217"	"55"	"9"	"11"	"8"	"13"	"346"
"147"	"69"	"23"	"156"	"224"	"34"	"23"	"13"	"101"	"62"	"636"
"148"	"70"	"40"	"64"	"239"	"133"	"24"	"23"	"129"	"41"	"693"
"149"	"70A"	"2"	"17"	"69"	"12"	"3"	"2"	"62"	"11"	"178"
"150"	"71"	"10"	"123"	"228"	"15"	"2"	"5"	"8"	"17"	"408"
"151"	"72"	"8"	"157"	"249"	"62"	"3"	"7"	"6"	"13"	"505"
"152"	"73"	"10"	"19"	"282"	"78"	"14"	"14"	"5"	"17"	"439"
"153"	"74"	"14"	"56"	"326"	"60"	"10"	"16"	"10"	"29"	"521"
"154"	"75"	"8"	"211"	"268"	"27"	"17"	"29"	"22"	"27"	"609"
"155"	"76"	"18"	"77"	"199"	"48"	"10"	"9"	"9"	"10"	"380"
"156"	";ksx"	"224"	"1185"	"3291"	"749"	"156"	"151"	"494"	"285"	"6535"
"157"	""	""	""	""	""	""	""	""	""	""
"158"	"LFkku &"	""	""	""	""	""	""	""	""	""
"159"	""	""	""	""	""	""	""	""	""	""
"160"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"161"	""	""	""	""	""	""	""	""	""	""
"162"	"izi=&20"	""	""	""	""	""	""	""	""	""
"163"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"164"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"165"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"166"	""	""	""	""	""	""	""	"7th Round"	""	""
"167"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"168"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"169"	"77"	"17"	"31"	"62"	"255"	"23"	"11"	"6"	"15"	"420"
"170"	"78"	"5"	"18"	"120"	"445"	"9"	"4"	"3"	"16"	"620"
"171"	"79"	"34"	"92"	"263"	"42"	"7"	"7"	"17"	"23"	"485"
"172"	"80"	"24"	"49"	"209"	"96"	"19"	"7"	"13"	"19"	"436"
"173"	"81"	"10"	"93"	"258"	"41"	"13"	"9"	"12"	"8"	"444"
"174"	"82"	"31"	"278"	"177"	"21"	"13"	"4"	"13"	"16"	"553"
"175"	"83"	"13"	"151"	"78"	"25"	"14"	"1"	"8"	"14"	"304"
"176"	"84"	"11"	"315"	"265"	"16"	"7"	"6"	"2"	"6"	"628"
"177"	"85"	"22"	"148"	"253"	"27"	"12"	"22"	"8"	"25"	"517"
"178"	"86"	"16"	"90"	"294"	"41"	"6"	"5"	"3"	"15"	"470"
"179"	"87"	"15"	"118"	"146"	"15"	"12"	"6"	"7"	"11"	"330"
"180"	"88"	"14"	"115"	"170"	"33"	"8"	"2"	"7"	"3"	"352"
"181"	"89"	"8"	"28"	"333"	"22"	"4"	"9"	"3"	"16"	"423"
"182"	"90"	"19"	"26"	"323"	"24"	"6"	"6"	"12"	"5"	"421"
"183"	";ksx"	"239"	"1552"	"2951"	"1103"	"153"	"99"	"114"	"192"	"6403"
"184"	""	""	""	""	""	""	""	""	""	""
"185"	"LFkku &"	""	""	""	""	""	""	""	""	""
"186"	""	""	""	""	""	""	""	""	""	""
"187"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"188"	""	""	""	""	""	""	""	""	""	""
"189"	"izi=&20"	""	""	""	""	""	""	""	""	""
"190"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"191"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"192"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"193"	""	""	""	""	""	""	""	"8th Round"	""	""
"194"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"195"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"196"	"91"	"6"	"40"	"324"	"17"	"5"	"5"	"3"	"6"	"406"
"197"	"92"	"22"	"97"	"201"	"18"	"5"	"1"	"4"	"7"	"355"
"198"	"93"	"36"	"96"	"323"	"35"	"10"	"13"	"13"	"17"	"543"
"199"	"94"	"57"	"189"	"400"	"57"	"15"	"17"	"19"	"25"	"779"
"200"	"95"	"29"	"153"	"199"	"16"	"5"	"10"	"14"	"11"	"437"
"201"	"95A"	"17"	"92"	"168"	"13"	"3"	"10"	"3"	"6"	"312"
"202"	"96"	"16"	"26"	"272"	"13"	"2"	"5"	"6"	"12"	"352"
"203"	"96A"	"23"	"30"	"196"	"8"	"4"	"1"	"2"	"0"	"264"
"204"	"97"	"37"	"51"	"561"	"36"	"14"	"12"	"3"	"10"	"724"
"205"	"98"	"12"	"201"	"214"	"14"	"6"	"3"	"11"	"7"	"468"
"206"	"99"	"5"	"160"	"119"	"8"	"3"	"6"	"3"	"8"	"312"
"207"	"100"	"22"	"71"	"271"	"35"	"3"	"9"	"4"	"8"	"423"
"208"	"101"	"34"	"217"	"231"	"23"	"12"	"5"	"13"	"11"	"546"
"209"	"102"	"18"	"92"	"259"	"16"	"10"	"6"	"7"	"8"	"416"
"210"	";ksx"	"334"	"1515"	"3738"	"309"	"97"	"103"	"105"	"136"	"6337"
"211"	""	""	""	""	""	""	""	""	""	""
"212"	"LFkku &"	""	""	""	""	""	""	""	""	""
"213"	""	""	""	""	""	""	""	""	""	""
"214"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"215"	""	""	""	""	""	""	""	""	""	""
"216"	"izi=&20"	""	""	""	""	""	""	""	""	""
"217"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"218"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"219"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"220"	""	""	""	""	""	""	""	"9th Round"	""	""
"221"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"223"	"103"	"10"	"170"	"172"	"20"	"14"	"12"	"9"	"11"	"418"
"224"	"104"	"9"	"95"	"195"	"28"	"17"	"16"	"8"	"16"	"384"
"225"	"105"	"40"	"146"	"112"	"26"	"15"	"8"	"18"	"15"	"380"
"226"	"106"	"17"	"59"	"182"	"26"	"7"	"6"	"14"	"11"	"322"
"227"	"107"	"14"	"47"	"266"	"21"	"10"	"8"	"9"	"9"	"384"
"228"	"108"	"14"	"108"	"302"	"30"	"11"	"6"	"28"	"9"	"508"
"229"	"109"	"13"	"48"	"202"	"20"	"9"	"9"	"12"	"9"	"322"
"230"	"110"	"15"	"117"	"313"	"16"	"3"	"5"	"4"	"2"	"475"
"231"	"111"	"24"	"75"	"172"	"25"	"6"	"7"	"10"	"13"	"332"
"232"	"112"	"27"	"166"	"241"	"19"	"9"	"9"	"13"	"7"	"491"
"233"	"113"	"40"	"254"	"264"	"14"	"14"	"6"	"8"	"11"	"611"
"234"	"114"	"19"	"141"	"268"	"29"	"5"	"1"	"6"	"5"	"474"
"235"	"115"	"15"	"164"	"143"	"18"	"5"	"7"	"8"	"11"	"371"
"236"	"116"	"17"	"200"	"183"	"15"	"13"	"10"	"11"	"19"	"468"
"237"	";ksx"	"274"	"1790"	"3015"	"307"	"138"	"110"	"158"	"148"	"5940"
"238"	""	""	""	""	""	""	""	""	""	""
"239"	"LFkku &"	""	""	""	""	""	""	""	""	""
"240"	""	""	""	""	""	""	""	""	""	""
"241"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"242"	""	""	""	""	""	""	""	""	""	""
"243"	"izi=&20"	""	""	""	""	""	""	""	""	""
"244"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"245"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"246"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"247"	""	""	""	""	""	""	""	"10th Round"	""	""
"248"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"250"	"117"	"26"	"214"	"85"	"18"	"13"	"5"	"13"	"11"	"385"
"251"	"118"	"19"	"59"	"327"	"13"	"6"	"5"	"0"	"6"	"435"
"252"	"118A"	"8"	"76"	"236"	"17"	"7"	"11"	"15"	"5"	"375"
"253"	"119"	"17"	"74"	"236"	"6"	"4"	"5"	"7"	"9"	"358"
"254"	"120"	"34"	"205"	"360"	"24"	"14"	"16"	"17"	"23"	"693"
"255"	"121"	"14"	"169"	"211"	"20"	"10"	"4"	"13"	"13"	"454"
"256"	"122"	"14"	"241"	"81"	"11"	"15"	"8"	"5"	"18"	"393"
"257"	"122A"	"11"	"109"	"175"	"25"	"9"	"9"	"4"	"4"	"346"
"258"	"123"	"19"	"210"	"110"	"11"	"10"	"2"	"9"	"4"	"375"
"259"	"124"	"13"	"173"	"196"	"15"	"9"	"11"	"13"	"31"	"461"
"260"	"125"	"22"	"197"	"188"	"12"	"7"	"3"	"10"	"5"	"444"
"261"	"126"	"12"	"49"	"478"	"20"	"2"	"1"	"3"	"2"	"567"
"262"	"127"	"19"	"77"	"316"	"23"	"8"	"7"	"5"	"13"	"468"
"263"	"128"	"35"	"303"	"232"	"35"	"17"	"9"	"13"	"13"	"657"
"264"	";ksx"	"263"	"2156"	"3231"	"250"	"131"	"96"	"127"	"157"	"6411"
"265"	""	""	""	""	""	""	""	""	""	""
"266"	"LFkku &"	""	""	""	""	""	""	""	""	""
"267"	""	""	""	""	""	""	""	""	""	""
"268"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"269"	""	""	""	""	""	""	""	""	""	""
"270"	""	""	""	""	""	""	""	""	""	""
"271"	"izi=&20"	""	""	""	""	""	""	""	""	""
"272"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"273"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"274"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"275"	""	""	""	""	""	""	""	"11th Round"	""	""
"276"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"277"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"278"	"129"	"10"	"158"	"190"	"37"	"9"	"9"	"9"	"15"	"437"
"279"	"130"	"11"	"295"	"143"	"11"	"5"	"0"	"2"	"6"	"473"
"280"	"131"	"12"	"202"	"206"	"17"	"13"	"9"	"12"	"18"	"489"
"281"	"132"	"30"	"244"	"141"	"20"	"19"	"8"	"8"	"12"	"482"
"282"	"133"	"35"	"402"	"131"	"108"	"35"	"8"	"18"	"20"	"757"
"283"	"134"	"15"	"258"	"202"	"34"	"7"	"2"	"8"	"14"	"540"
"284"	"135"	"32"	"174"	"267"	"68"	"28"	"5"	"11"	"21"	"606"
"285"	"136"	"17"	"111"	"103"	"17"	"14"	"7"	"3"	"8"	"280"
"286"	"137"	"16"	"242"	"131"	"12"	"5"	"2"	"4"	"3"	"415"
"287"	"138"	"29"	"152"	"194"	"60"	"37"	"14"	"24"	"37"	"547"
"288"	"139"	"29"	"180"	"315"	"40"	"10"	"2"	"8"	"2"	"586"
"289"	"140"	"12"	"105"	"288"	"61"	"14"	"7"	"6"	"10"	"503"
"290"	"141"	"24"	"380"	"33"	"13"	"14"	"6"	"7"	"6"	"483"
"291"	"142"	"12"	"129"	"63"	"40"	"21"	"4"	"12"	"15"	"296"
"292"	";ksx"	"284"	"3032"	"2407"	"538"	"231"	"83"	"132"	"187"	"6894"
"293"	""	""	""	""	""	""	""	""	""	""
"294"	"LFkku &"	""	""	""	""	""	""	""	""	""
"295"	""	""	""	""	""	""	""	""	""	""
"296"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"297"	""	""	""	""	""	""	""	""	""	""
"298"	"izi=&20"	""	""	""	""	""	""	""	""	""
"299"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"300"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"301"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	"12th Round"	""	""
