"Serial.No.of.Polling.Station."	"Chandra.Vali.Thakur"	"Ramdev.Verma"	"Ram.Balak.Singh"	"Ram.Sagar.Mahto"	"Bijesh.Baitha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"53"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"54"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"55"	"B.F."	"2640"	"7562"	"7754"	"577"	"535"	"19068"	"0"	"19068"	"0"
"56"	"-34"	"129"	"196"	"148"	"17"	"13"	"503"	""	"503"	""
"57"	"-35"	"208"	"254"	"101"	"10"	"23"	"596"	""	"596"	""
"58"	"-36"	"34"	"227"	"156"	"10"	"9"	"436"	""	"436"	""
"59"	"36A"	"58"	"188"	"106"	"8"	"12"	"372"	""	"372"	""
"60"	"-37"	"15"	"193"	"89"	"17"	"28"	"342"	""	"342"	""
"61"	"37A"	"37"	"196"	"144"	"10"	"14"	"401"	""	"401"	""
"62"	"-38"	"88"	"181"	"81"	"18"	"14"	"382"	""	"382"	""
"63"	"38A"	"82"	"79"	"119"	"9"	"10"	"299"	""	"299"	""
"64"	"-39"	"108"	"201"	"176"	"16"	"20"	"521"	""	"521"	""
"65"	"-40"	"139"	"151"	"278"	"15"	"13"	"596"	""	"596"	""
"66"	"-41"	"47"	"231"	"371"	"20"	"12"	"681"	""	"681"	""
"67"	"-42"	"69"	"467"	"83"	"16"	"16"	"651"	""	"651"	""
"68"	"-43"	"44"	"399"	"106"	"14"	"35"	"598"	""	"598"	""
"69"	"-44"	"205"	"328"	"79"	"13"	"17"	"642"	""	"642"	""
"70"	"Page Total"	"3903"	"10853"	"9791"	"770"	"771"	"26088"	"0"	"26088"	"0"
"71"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"72"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"73"	"B.F."	"3903"	"10853"	"9791"	"770"	"771"	"26088"	"0"	"26088"	"0"
"74"	"-45"	"70"	"235"	"81"	"8"	"8"	"402"	""	"402"	""
"75"	"45A"	"48"	"213"	"112"	"16"	"9"	"398"	""	"398"	""
"76"	"-46"	"262"	"37"	"34"	"1"	"6"	"340"	""	"340"	""
"77"	"-47"	"280"	"98"	"48"	"9"	"14"	"449"	""	"449"	""
"78"	"-48"	"113"	"119"	"137"	"13"	"13"	"395"	""	"395"	""
"79"	"-49"	"69"	"380"	"171"	"26"	"20"	"666"	""	"666"	""
"80"	"-50"	"225"	"73"	"254"	"16"	"22"	"590"	""	"590"	""
"81"	"-51"	"174"	"192"	"330"	"12"	"14"	"722"	""	"722"	""
"82"	"-52"	"108"	"161"	"222"	"12"	"15"	"518"	""	"518"	""
"83"	"-53"	"58"	"298"	"118"	"9"	"5"	"488"	""	"488"	""
"84"	"-54"	"26"	"322"	"76"	"9"	"6"	"439"	""	"439"	""
"85"	"-55"	"25"	"371"	"215"	"17"	"15"	"643"	""	"643"	""
"86"	"-56"	"30"	"181"	"393"	"15"	"14"	"633"	""	"633"	""
"87"	"-57"	"15"	"297"	"125"	"11"	"27"	"475"	""	"475"	""
"88"	"Page Total"	"5406"	"13830"	"12107"	"944"	"959"	"33246"	"0"	"33246"	"0"
"89"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"90"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"91"	"B.F."	"5406"	"13830"	"12107"	"944"	"959"	"33246"	"0"	"33246"	"0"
"92"	"-58"	"88"	"104"	"249"	"15"	"14"	"470"	""	"470"	""
"93"	"-59"	"87"	"115"	"238"	"9"	"6"	"455"	""	"455"	""
"94"	"-60"	"58"	"155"	"81"	"5"	"11"	"310"	""	"310"	""
"95"	"-61"	"34"	"87"	"245"	"11"	"11"	"388"	""	"388"	""
"96"	"-62"	"48"	"406"	"88"	"12"	"5"	"559"	""	"559"	""
"97"	"-63"	"100"	"79"	"245"	"14"	"9"	"447"	""	"447"	""
"98"	"-64"	"63"	"302"	"95"	"15"	"18"	"493"	""	"493"	""
"99"	"-65"	"189"	"178"	"85"	"8"	"18"	"478"	""	"478"	""
"100"	"-66"	"306"	"222"	"55"	"8"	"22"	"613"	""	"613"	""
"101"	"-67"	"156"	"203"	"242"	"12"	"12"	"625"	""	"625"	""
"102"	"-68"	"10"	"145"	"240"	"15"	"14"	"424"	""	"424"	""
"103"	"-69"	"20"	"201"	"168"	"13"	"17"	"419"	""	"419"	""
"104"	"-70"	"25"	"372"	"150"	"9"	"9"	"565"	""	"565"	""
"105"	"-71"	"27"	"210"	"114"	"6"	"4"	"361"	""	"361"	""
"106"	"Page Total"	"6617"	"16609"	"14402"	"1096"	"1129"	"39853"	"0"	"39853"	"0"
"107"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"108"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"109"	"B.F."	"6617"	"16609"	"14402"	"1096"	"1129"	"39853"	"0"	"39853"	"0"
"110"	"-72"	"47"	"128"	"65"	"10"	"11"	"261"	""	"261"	""
"111"	"-73"	"22"	"173"	"179"	"19"	"7"	"400"	""	"400"	""
"112"	"-74"	"29"	"50"	"291"	"17"	"14"	"401"	""	"401"	""
"113"	"-75"	"71"	"183"	"253"	"12"	"19"	"538"	""	"538"	""
"114"	"-76"	"247"	"125"	"120"	"16"	"25"	"533"	""	"533"	""
"115"	"-77"	"215"	"58"	"67"	"1"	"4"	"345"	""	"345"	""
"116"	"-78"	"72"	"197"	"222"	"16"	"12"	"519"	""	"519"	""
"117"	"78A"	"18"	"101"	"202"	"10"	"7"	"338"	""	"338"	""
"118"	"-79"	"115"	"109"	"185"	"21"	"26"	"456"	""	"456"	""
"119"	"-80"	"148"	"140"	"268"	"22"	"27"	"605"	""	"605"	""
"120"	"-81"	"141"	"95"	"286"	"4"	"6"	"532"	""	"532"	""
"121"	"-82"	"28"	"122"	"150"	"6"	"5"	"311"	""	"311"	""
"122"	"-83"	"180"	"140"	"286"	"19"	"11"	"636"	""	"636"	""
"123"	"-84"	"95"	"136"	"147"	"12"	"5"	"395"	""	"395"	""
"124"	"Page Total"	"8045"	"18366"	"17123"	"1281"	"1308"	"46123"	"0"	"46123"	"0"
"125"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"126"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"127"	"B.F."	"8045"	"18366"	"17123"	"1281"	"1308"	"46123"	"0"	"46123"	"0"
"128"	"-85"	"411"	"40"	"76"	"9"	"19"	"555"	""	"555"	""
"129"	"-86"	"273"	"72"	"86"	"6"	"4"	"441"	""	"441"	""
"130"	"-87"	"249"	"95"	"36"	"4"	"8"	"392"	""	"392"	""
"131"	"-88"	"254"	"200"	"88"	"15"	"16"	"573"	""	"573"	""
"132"	"-89"	"168"	"118"	"150"	"14"	"20"	"470"	""	"470"	""
"133"	"89A"	"130"	"33"	"177"	"6"	"9"	"355"	""	"355"	""
"134"	"-90"	"151"	"278"	"302"	"32"	"16"	"779"	""	"779"	""
"135"	"-91"	"85"	"113"	"426"	"28"	"34"	"686"	""	"686"	""
"136"	"-92"	"90"	"285"	"313"	"19"	"32"	"739"	""	"739"	""
"137"	"-93"	"42"	"404"	"94"	"17"	"6"	"563"	""	"563"	""
"138"	"-94"	"13"	"284"	"92"	"6"	"6"	"401"	""	"401"	""
"139"	"-95"	"284"	"168"	"194"	"13"	"26"	"685"	""	"685"	""
"140"	"-96"	"47"	"121"	"292"	"16"	"13"	"489"	""	"489"	""
"141"	"-97"	"152"	"158"	"294"	"13"	"16"	"633"	""	"633"	""
"142"	"Page Total"	"10394"	"20735"	"19743"	"1479"	"1533"	"53884"	"0"	"53884"	"0"
"143"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"144"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"145"	"B.F."	"10394"	"20735"	"19743"	"1479"	"1533"	"53884"	"0"	"53884"	"0"
"146"	"-98"	"61"	"452"	"192"	"14"	"12"	"731"	""	"731"	""
"147"	"-99"	"74"	"116"	"296"	"12"	"15"	"513"	""	"513"	""
"148"	"-100"	"111"	"308"	"284"	"15"	"15"	"733"	""	"733"	""
"149"	"-101"	"30"	"379"	"217"	"15"	"11"	"652"	""	"652"	""
"150"	"-102"	"17"	"120"	"506"	"22"	"17"	"682"	""	"682"	""
"151"	"-103"	"45"	"216"	"276"	"14"	"5"	"556"	""	"556"	""
"152"	"-104"	"53"	"43"	"373"	"15"	"9"	"493"	""	"493"	""
"153"	"-105"	"16"	"258"	"93"	"15"	"19"	"401"	""	"401"	""
"154"	"-106"	"41"	"195"	"106"	"10"	"9"	"361"	""	"361"	""
"155"	"-107"	"325"	"27"	"22"	"2"	"2"	"378"	""	"378"	""
"156"	"107A"	"177"	"55"	"78"	"12"	"13"	"335"	""	"335"	""
"157"	"-108"	"27"	"213"	"143"	"8"	"14"	"405"	""	"405"	""
"158"	"-109"	"110"	"212"	"124"	"17"	"21"	"484"	""	"484"	""
"159"	"-110"	"20"	"285"	"290"	"24"	"15"	"634"	""	"634"	""
"160"	"Page Total"	"11501"	"23614"	"22743"	"1674"	"1710"	"61242"	"0"	"61242"	"0"
"161"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"163"	"B.F."	"11501"	"23614"	"22743"	"1674"	"1710"	"61242"	"0"	"61242"	"0"
"164"	"-111"	"21"	"310"	"182"	"8"	"9"	"530"	""	"530"	""
"165"	"-112"	"23"	"62"	"303"	"17"	"10"	"415"	""	"415"	""
"166"	"112A"	"13"	"192"	"125"	"16"	"14"	"360"	""	"360"	""
"167"	"-113"	"21"	"311"	"103"	"8"	"11"	"454"	""	"454"	""
"168"	"-114"	"40"	"247"	"239"	"10"	"11"	"547"	""	"547"	""
"169"	"-115"	"35"	"270"	"288"	"24"	"9"	"626"	""	"626"	""
"170"	"-116"	"121"	"170"	"146"	"7"	"14"	"458"	""	"458"	""
"171"	"-117"	"31"	"450"	"110"	"15"	"12"	"618"	""	"618"	""
"172"	"-118"	"16"	"342"	"89"	"11"	"16"	"474"	""	"474"	""
"173"	"-119"	"120"	"302"	"47"	"11"	"10"	"490"	""	"490"	""
"174"	"-120"	"108"	"146"	"167"	"10"	"6"	"437"	""	"437"	""
"175"	"120A"	"43"	"139"	"81"	"13"	"13"	"289"	""	"289"	""
"176"	"-121"	"140"	"258"	"79"	"5"	"6"	"488"	""	"488"	""
"177"	"-122"	"30"	"281"	"70"	"8"	"14"	"403"	""	"403"	""
"178"	"Page Total"	"12263"	"27094"	"24772"	"1837"	"1865"	"67831"	"0"	"67831"	"0"
"179"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"181"	"B.F."	"12263"	"27094"	"24772"	"1837"	"1865"	"67831"	"0"	"67831"	"0"
"182"	"122A"	"66"	"76"	"166"	"10"	"6"	"324"	""	"324"	""
"183"	"-123"	"60"	"239"	"66"	"6"	"12"	"383"	""	"383"	""
"184"	"-124"	"137"	"111"	"137"	"9"	"14"	"408"	""	"408"	""
"185"	"-125"	"96"	"283"	"173"	"10"	"19"	"581"	""	"581"	""
"186"	"-126"	"25"	"470"	"74"	"8"	"8"	"585"	""	"585"	""
"187"	"-127"	"34"	"341"	"104"	"21"	"17"	"517"	""	"517"	""
"188"	"-128"	"12"	"445"	"104"	"14"	"10"	"585"	""	"585"	""
"189"	"-129"	"99"	"488"	"103"	"9"	"12"	"711"	""	"711"	""
"190"	"-130"	"119"	"86"	"77"	"22"	"31"	"335"	""	"335"	""
"191"	"130A"	"64"	"196"	"27"	"5"	"9"	"301"	""	"301"	""
"192"	"-131"	"25"	"364"	"154"	"7"	"1"	"551"	""	"551"	""
"193"	"131A"	"6"	"247"	"35"	"9"	"4"	"301"	""	"301"	""
"194"	"-132"	"70"	"362"	"214"	"26"	"15"	"687"	""	"687"	""
"195"	"-133"	"118"	"474"	"91"	"16"	"17"	"716"	""	"716"	""
"196"	"Page Total"	"13194"	"31276"	"26297"	"2009"	"2040"	"74816"	"0"	"74816"	"0"
"197"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"198"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"199"	"B.F."	"13194"	"31276"	"26297"	"2009"	"2040"	"74816"	"0"	"74816"	"0"
"200"	"-134"	"48"	"236"	"76"	"8"	"10"	"378"	""	"378"	""
"201"	"-135"	"355"	"86"	"77"	"10"	"9"	"537"	""	"537"	""
"202"	"-136"	"109"	"158"	"87"	"13"	"12"	"379"	""	"379"	""
"203"	"-137"	"66"	"131"	"95"	"12"	"12"	"316"	""	"316"	""
"204"	"-138"	"41"	"266"	"455"	"26"	"10"	"798"	""	"798"	""
"205"	"-139"	"26"	"164"	"248"	"16"	"6"	"460"	""	"460"	""
"206"	"-140"	"16"	"187"	"278"	"9"	"4"	"494"	""	"494"	""
"207"	"140A"	"13"	"169"	"111"	"9"	"7"	"309"	""	"309"	""
"208"	"-141"	"20"	"429"	"220"	"12"	"21"	"702"	""	"702"	""
"209"	"-142"	"68"	"213"	"312"	"28"	"24"	"645"	""	"645"	""
"210"	"-143"	"120"	"112"	"153"	"13"	"12"	"410"	""	"410"	""
"211"	"-144"	"51"	"266"	"255"	"12"	"6"	"590"	""	"590"	""
"212"	"-145"	"267"	"171"	"138"	"17"	"8"	"601"	""	"601"	""
"213"	"-146"	"325"	"141"	"155"	"10"	"11"	"642"	""	"642"	""
"214"	"Page Total"	"14719"	"34005"	"28957"	"2204"	"2192"	"82077"	"0"	"82077"	"0"
"215"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"216"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"217"	"B.F."	"14719"	"34005"	"28957"	"2204"	"2192"	"82077"	"0"	"82077"	"0"
"218"	"-147"	"123"	"97"	"101"	"0"	"5"	"326"	""	"326"	""
"219"	"-148"	"27"	"203"	"108"	"12"	"5"	"355"	""	"355"	""
"220"	"-149"	"120"	"155"	"236"	"14"	"11"	"536"	""	"536"	""
"221"	"-150"	"231"	"258"	"113"	"7"	"18"	"627"	""	"627"	""
"222"	"-151"	"36"	"206"	"45"	"7"	"8"	"302"	""	"302"	""
"223"	"-152"	"25"	"157"	"309"	"18"	"12"	"521"	""	"521"	""
"224"	"-153"	"27"	"155"	"191"	"17"	"11"	"401"	""	"401"	""
"225"	"153A"	"40"	"183"	"68"	"8"	"17"	"316"	""	"316"	""
"226"	"-154"	"70"	"141"	"285"	"17"	"10"	"523"	""	"523"	""
"227"	"-155"	"222"	"70"	"91"	"4"	"10"	"397"	""	"397"	""
"228"	"155A"	"20"	"105"	"199"	"14"	"15"	"353"	""	"353"	""
"229"	"-156"	"79"	"231"	"95"	"9"	"5"	"419"	""	"419"	""
"230"	"156A"	"25"	"202"	"93"	"9"	"13"	"342"	""	"342"	""
"231"	"-157"	"17"	"347"	"192"	"8"	"4"	"568"	""	"568"	""
"232"	"Page Total"	"15781"	"36515"	"31083"	"2348"	"2336"	"88063"	"0"	"88063"	"0"
"233"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"234"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"235"	"B.F."	"15781"	"36515"	"31083"	"2348"	"2336"	"88063"	"0"	"88063"	"0"
"236"	"-158"	"31"	"174"	"193"	"13"	"14"	"425"	""	"425"	""
"237"	"-159"	"11"	"366"	"258"	"13"	"7"	"655"	""	"655"	""
"238"	"-160"	"10"	"246"	"244"	"12"	"12"	"524"	""	"524"	""
"239"	"-161"	"7"	"88"	"299"	"12"	"9"	"415"	""	"415"	""
"240"	"161A"	"8"	"198"	"125"	"15"	"7"	"353"	""	"353"	""
"241"	"-162"	"10"	"213"	"136"	"6"	"5"	"370"	""	"370"	""
"242"	"-163"	"12"	"202"	"168"	"13"	"7"	"402"	""	"402"	""
"243"	"-164"	"22"	"151"	"188"	"12"	"27"	"400"	""	"400"	""
"244"	"-165"	"17"	"300"	"248"	"24"	"11"	"600"	""	"600"	""
"245"	"-166"	"110"	"139"	"177"	"16"	"9"	"451"	""	"451"	""
"246"	"166A"	"29"	"158"	"148"	"12"	"10"	"357"	""	"357"	""
"247"	"-167"	"93"	"160"	"29"	"9"	"11"	"302"	""	"302"	""
"248"	"-168"	"106"	"166"	"103"	"8"	"10"	"393"	""	"393"	""
"249"	"168A"	"24"	"209"	"141"	"15"	"15"	"404"	""	"404"	""
"250"	"Page Total"	"16271"	"39285"	"33540"	"2528"	"2490"	"94114"	"0"	"94114"	"0"
"251"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"252"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"253"	"B.F."	"16271"	"39285"	"33540"	"2528"	"2490"	"94114"	"0"	"94114"	"0"
"254"	"-169"	"83"	"140"	"67"	"10"	"14"	"314"	""	"314"	""
"255"	"-170"	"220"	"61"	"305"	"22"	"28"	"636"	""	"636"	""
"256"	"-171"	"65"	"244"	"234"	"13"	"18"	"574"	""	"574"	""
"257"	"-172"	"26"	"208"	"169"	"16"	"15"	"434"	""	"434"	""
"258"	"172A"	"20"	"130"	"154"	"7"	"19"	"330"	""	"330"	""
"259"	"-173"	"30"	"179"	"159"	"13"	"6"	"387"	""	"387"	""
"260"	"173A"	"26"	"145"	"168"	"10"	"10"	"359"	""	"359"	""
"261"	"-174"	"41"	"164"	"103"	"9"	"9"	"326"	""	"326"	""
"262"	"-175"	"28"	"266"	"29"	"6"	"8"	"337"	""	"337"	""
"263"	"-176"	"54"	"254"	"225"	"22"	"11"	"566"	""	"566"	""
"264"	"-177"	"160"	"147"	"281"	"20"	"17"	"625"	""	"625"	""
"265"	"-178"	"265"	"160"	"228"	"16"	"24"	"693"	""	"693"	""
"266"	"-179"	"14"	"89"	"180"	"17"	"10"	"310"	""	"310"	""
"267"	"-180"	"292"	"81"	"47"	"3"	"8"	"431"	""	"431"	""
"268"	"Page Total"	"17595"	"41553"	"35889"	"2712"	"2687"	"100436"	"0"	"100436"	"0"
"269"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"270"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"271"	"B.F."	"17595"	"41553"	"35889"	"2712"	"2687"	"100436"	"0"	"100436"	"0"
"272"	"-181"	"117"	"97"	"44"	"7"	"9"	"274"	""	"274"	""
"273"	"181A"	"142"	"133"	"33"	"4"	"5"	"317"	""	"317"	""
"274"	"-182"	"96"	"106"	"172"	"18"	"10"	"402"	""	"402"	""
"275"	"-183"	"119"	"80"	"178"	"3"	"8"	"388"	""	"388"	""
"276"	"-184"	"354"	"52"	"45"	"2"	"5"	"458"	""	"458"	""
"277"	"-185"	"135"	"142"	"10"	"2"	"1"	"290"	""	"290"	""
"278"	"-186"	"175"	"38"	"185"	"7"	"17"	"422"	""	"422"	""
"279"	"-187"	"125"	"163"	"119"	"12"	"10"	"429"	""	"429"	""
"280"	"-188"	"62"	"228"	"393"	"13"	"7"	"703"	""	"703"	""
"281"	"-189"	"295"	"247"	"136"	"18"	"23"	"719"	""	"719"	""
"282"	"-190"	"27"	"153"	"71"	"9"	"10"	"270"	""	"270"	""
"283"	"-191"	"78"	"428"	"95"	"15"	"16"	"632"	""	"632"	""
"284"	"-192"	"43"	"272"	"92"	"6"	"11"	"424"	""	"424"	""
"285"	"-193"	"187"	"65"	"12"	"8"	"17"	"289"	""	"289"	""
"286"	"Page Total"	"19550"	"43757"	"37474"	"2836"	"2836"	"106453"	"0"	"106453"	"0"
"287"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"288"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"289"	"B.F."	"19550"	"43757"	"37474"	"2836"	"2836"	"106453"	"0"	"106453"	"0"
"290"	"-194"	"16"	"500"	"169"	"10"	"10"	"705"	""	"705"	""
"291"	"-195"	"248"	"77"	"76"	"8"	"22"	"431"	""	"431"	""
"292"	"-196"	"269"	"111"	"157"	"11"	"24"	"572"	""	"572"	""
"293"	"-197"	"26"	"385"	"193"	"10"	"9"	"623"	""	"623"	""
"294"	"-198"	"39"	"223"	"195"	"12"	"20"	"489"	""	"489"	""
