"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment      217152"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                            204-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"51"	"36"	"M.S.BHADWAR (S)"	"1"	"8"	"46"	"4"	"256"	"2"	"1"	"318"	"0"	"318"	"0"
"52"	"37"	"M.S.BHADWAR (N)"	"4"	"12"	"58"	"3"	"313"	"4"	"1"	"395"	"0"	"395"	"0"
"53"	"38"	"PANCHAYET BUILDING BHADWAR"	"3"	"3"	"105"	"4"	"189"	"2"	"0"	"306"	"0"	"306"	"0"
"54"	"39"	"SAMUDAIYAK BHAWAN BHADWAR"	"85"	"252"	"18"	"38"	"130"	"2"	"4"	"529"	"0"	"529"	"0"
"55"	"40"	"P.S. GHANSHYAMPUR"	"22"	"8"	"38"	"10"	"217"	"3"	"10"	"308"	"0"	"308"	"0"
"56"	"41"	"P.S. KHOCHARAOW"	"78"	"8"	"332"	"9"	"60"	"7"	"7"	"501"	"0"	"501"	"0"
"57"	"42"	"P.S. EKRASI (E)"	"43"	"131"	"15"	"8"	"200"	"14"	"26"	"437"	"0"	"437"	"0"
"58"	"43"	"P.S. EKRASI (W)"	"20"	"7"	"55"	"4"	"250"	"4"	"3"	"343"	"0"	"343"	"0"
"59"	"44"	"P.S. GIRL EKRASI"	"7"	"6"	"216"	"6"	"210"	"3"	"5"	"453"	"0"	"453"	"0"
"60"	"45"	"P.S. MADSADHI"	"17"	"98"	"172"	"10"	"154"	"5"	"14"	"470"	"0"	"470"	"0"
"61"	"46"	"P.S. MANKI"	"6"	"35"	"208"	"4"	"265"	"9"	"6"	"533"	"0"	"533"	"0"
"62"	"47"	"M.S. BHADA"	"4"	"45"	"386"	"3"	"4"	"2"	"1"	"445"	"0"	"445"	"0"
"63"	"48"	"M.S. BARADHI (E)"	"64"	"122"	"73"	"9"	"319"	"7"	"8"	"602"	"0"	"602"	"0"
"64"	"49"	"M.S. BARADHI (M)"	"3"	"10"	"411"	"9"	"39"	"0"	"0"	"472"	"0"	"472"	"0"
"65"	"50"	"M.S. BARADHI (W)"	"1"	"1"	"385"	"6"	"3"	"3"	"3"	"402"	"0"	"402"	"0"
"66"	"51"	"P.S. BHADA"	"8"	"191"	"69"	"16"	"252"	"9"	"7"	"552"	"0"	"552"	"0"
"67"	"52"	"MIDDLE SCHOOL , JAGDISHPUR , WARD NO.1"	"14"	"16"	"136"	"7"	"617"	"5"	"4"	"799"	"0"	"799"	"0"
"68"	"53"	"SAMUDAYAK BHWAN SHIVJI POKHRA (EAST PART)"	"27"	"8"	"158"	"22"	"232"	"4"	"7"	"458"	"0"	"458"	"0"
"69"	"54"	"SAMUDAYAK BAWAN SHIVJI POKHARA (WEST PARY)"	"7"	"5"	"68"	"2"	"237"	"4"	"2"	"325"	"0"	"325"	"0"
"70"	"55"	"PARKHAND KARYALYA ,JAGDISHPUR (EAST PART)"	"106"	"15"	"109"	"11"	"141"	"5"	"9"	"396"	"0"	"396"	"0"
"71"	"56"	"PRAKHAND KARYALYA ,JAGDISHPUR (WEST PART)"	"23"	"27"	"206"	"14"	"102"	"2"	"4"	"378"	"0"	"378"	"0"
"72"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"73"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"74"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"75"	"57"	"NAGAR PALIKA KARYALYA , JAGDISHPUR (NORTH PART)"	"1"	"1"	"70"	"3"	"275"	"0"	"5"	"355"	"0"	"355"	"0"
"76"	"58"	"NAGAR PALIKA KARYALYA JAGDISHPUR (SOUTH PART)"	"14"	"10"	"153"	"9"	"179"	"1"	"2"	"368"	"0"	"368"	"0"
"77"	"59"	"PRIMARY SCHOOL ,AKHORIY TOLA JAGDISHPUR (NORTH PART)"	"2"	"3"	"93"	"6"	"280"	"3"	"4"	"391"	"0"	"391"	"0"
"78"	"60"	"PRIMARY SCHOOL ,AKHORY TOLA JAGDISHPUR (SOUTH PART)"	"4"	"5"	"71"	"0"	"322"	"5"	"10"	"417"	"0"	"417"	"0"
"79"	"61"	"KUNWAR SINGH KE KOTHI SNGARAHALYA"	"5"	"105"	"78"	"2"	"367"	"4"	"7"	"568"	"0"	"568"	"0"
"80"	"62"	"PRIMARY SCHOOL ,MATHIYA , JAGDISHPUR"	"4"	"18"	"226"	"5"	"348"	"3"	"8"	"612"	"0"	"612"	"0"
"81"	"63"	"KUNWAR SINGH KE KOTHI ,JAGDISHPUR"	"10"	"16"	"250"	"1"	"264"	"5"	"2"	"548"	"0"	"548"	"0"
"82"	"64"	"SAWARATH SAHU HIGH SCHOOL , JAGDISHPUR (NORTH PART)"	"2"	"19"	"245"	"4"	"177"	"4"	"2"	"453"	"0"	"453"	"0"
"83"	"65"	"SAAWARATH SAHU HIGH SCHOOL JAGDISHPUR (SOUTH PART)"	"7"	"28"	"243"	"9"	"226"	"10"	"8"	"531"	"0"	"531"	"0"
"84"	"66"	"AWAR NIBANDHK KARYALYA , JAGDISHPUR (NORTH PART)"	"3"	"17"	"153"	"14"	"279"	"9"	"7"	"482"	"0"	"482"	"0"
"85"	"67"	"AWAR NIBANDHAK KARYALYA , JAGDISHPUR (SOUTH PART)"	"8"	"6"	"122"	"2"	"256"	"3"	"4"	"401"	"0"	"401"	"0"
"86"	"68"	"MIDDLE SCHOOL NO.2,JAGDISHPUR"	"7"	"15"	"227"	"3"	"319"	"6"	"12"	"589"	"0"	"589"	"0"
"87"	"69"	"URDU PRIMARY SCHOOL , PATHAN TOLI"	"14"	"79"	"278"	"35"	"219"	"3"	"16"	"644"	"0"	"644"	"0"
"88"	"70"	"PRIMARY SCHOOL UTTARDAHA ( SOUTH PART)"	"14"	"167"	"113"	"14"	"246"	"3"	"4"	"561"	"0"	"561"	"0"
"89"	"71"	"PRIMARY SCHOOL UTTARDAHA ( NORTH PART)"	"12"	"77"	"65"	"5"	"167"	"4"	"8"	"338"	"0"	"338"	"0"
"90"	"72"	"MIDDLE SCHOOL ARAILA"	"8"	"28"	"119"	"34"	"266"	"4"	"0"	"459"	"0"	"459"	"0"
"91"	"73"	"HIGH SCHOOL ARAILA"	"23"	"48"	"241"	"9"	"191"	"5"	"3"	"520"	"0"	"520"	"0"
"92"	"74"	"PRIMARY SCHOOL , MANU DEHARI"	"6"	"65"	"197"	"12"	"170"	"3"	"23"	"476"	"0"	"476"	"0"
"93"	"75"	"PRIMARY SCHOOL GANGADHR DEHARI"	"4"	"0"	"158"	"1"	"12"	"2"	"0"	"177"	"0"	"177"	"0"
"94"	"76"	"PRIMARY SCHOOL KATYEBOGH (EAST PART)"	"5"	"5"	"66"	"3"	"76"	"0"	"1"	"156"	"0"	"156"	"0"
"95"	"77"	"PRIMARY SCHOOL KATYIBOGH ( WEST PART)"	"12"	"59"	"128"	"7"	"169"	"3"	"1"	"379"	"0"	"379"	"0"
"96"	"78"	"PRIMARY SCHOOL HATEMPUR"	"12"	"2"	"270"	"11"	"182"	"16"	"4"	"497"	"0"	"497"	"0"
"97"	"79"	"SAHAYOG SAMITE GODDAM HETAMPUR (EAST PART)"	"29"	"22"	"160"	"54"	"240"	"5"	"10"	"520"	"0"	"520"	"0"
"98"	"80"	"SAHYOG SAMITY GODAM HETAMPUR (WEST PART)"	"7"	"8"	"67"	"7"	"191"	"1"	"2"	"283"	"0"	"283"	"0"
"99"	"81"	"SAMUDAYAK BAHWAN HETAMPUR MUSHAR TOLI"	"8"	"11"	"112"	"9"	"111"	"2"	"4"	"257"	"0"	"257"	"0"
"100"	"82"	"PRIMARY SCHOOL RANGRUA"	"0"	"1"	"435"	"2"	"13"	"0"	"1"	"452"	"0"	"452"	"0"
"101"	"82A"	"PRIMARY SCHOOL RANGRUA (LEFT PART)"	"9"	"3"	"244"	"11"	"93"	"4"	"8"	"372"	"0"	"372"	"0"
"102"	"83"	"PRIMARY SCHOOL ANDHARI BAG"	"5"	"3"	"272"	"5"	"184"	"1"	"0"	"470"	"0"	"470"	"0"
"103"	"84"	"PRIMARY SCHOOL CHAKAIE"	"30"	"117"	"207"	"3"	"83"	"5"	"0"	"445"	"0"	"445"	"0"
"104"	"85"	"PRIMARY SCHOOL DIGHA TOLA"	"91"	"3"	"322"	"2"	"37"	"72"	"3"	"530"	"0"	"530"	"0"
"105"	"85A"	"PRIMARY SCHOOL DIGHA TOLA(RIGHT PART)"	"6"	"0"	"245"	"6"	"8"	"39"	"3"	"307"	"0"	"307"	"0"
"106"	"86"	"PRIMARY SCHOOL SURAJI TOLA"	"13"	"2"	"571"	"6"	"2"	"24"	"3"	"621"	"0"	"621"	"0"
"107"	"87"	"PANCHYAT BHAWAN JANGAL DAWA BAULIPUR"	"26"	"9"	"157"	"13"	"361"	"18"	"10"	"594"	"0"	"594"	"0"
"108"	"88"	"PRIMARY SCHOOL ,BOOLIPUR"	"30"	"29"	"31"	"25"	"368"	"2"	"7"	"492"	"0"	"492"	"0"
"109"	"89"	"MIDDLE SCHOOL ESHWEAR SINGH KA TOLA"	"30"	"24"	"190"	"33"	"225"	"4"	"10"	"516"	"0"	"516"	"0"
"110"	"90"	"MIDDLE SCHOOL DAWAN (WEST PART)"	"18"	"27"	"169"	"12"	"318"	"4"	"8"	"556"	"0"	"556"	"0"
"111"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"112"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"113"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"114"	"91"	"MIDDLE SCHOOL DAWAN (EAST PART)"	"29"	"16"	"88"	"20"	"436"	"10"	"11"	"610"	"0"	"610"	"0"
"115"	"92"	"PRIMARY SCHOOL DAWAN"	"70"	"64"	"78"	"69"	"333"	"7"	"9"	"630"	"0"	"630"	"0"
"116"	"93"	"CO-OPRATIVE GODAM DAWAN"	"34"	"14"	"193"	"20"	"213"	"12"	"5"	"491"	"0"	"491"	"0"
"117"	"94"	"PRIMARY SCHOOL ROOPBANDH"	"10"	"95"	"241"	"21"	"61"	"7"	"15"	"450"	"0"	"450"	"0"
"118"	"95"	"PRIMARY SCHOOL , MUNSHITOLA"	"2"	"0"	"187"	"7"	"64"	"2"	"0"	"262"	"0"	"262"	"0"
"119"	"95A"	"PRIMARY SCHOOL , MUNSHITOLA (LEFT PART)"	"19"	"6"	"165"	"6"	"339"	"6"	"12"	"553"	"0"	"553"	"0"
"120"	"96"	"PRIMARY SCHOOL , BHATTOLY"	"4"	"1"	"338"	"10"	"4"	"3"	"1"	"361"	"0"	"361"	"0"
"121"	"97"	"MIDDLE SCCHOOL HARDEYA ( EAST PART)"	"58"	"104"	"253"	"27"	"116"	"8"	"6"	"572"	"0"	"572"	"0"
"122"	"98"	"MIDDLE SCHOOL ,HARDIYAN ( MIDDLE PART)"	"26"	"23"	"116"	"12"	"292"	"7"	"2"	"478"	"0"	"478"	"0"
"123"	"99"	"MIDDLE SCHOOL , HARDIYAN (WEST PART)"	"6"	"12"	"163"	"8"	"148"	"5"	"3"	"345"	"0"	"345"	"0"
"124"	"100"	"HIGH SCHOOL , HARDHYA"	"1"	"9"	"89"	"1"	"304"	"3"	"2"	"409"	"0"	"409"	"0"
"125"	"101"	"PRIMARY SCHOOL , NARYANPUR"	"0"	"4"	"475"	"4"	"42"	"7"	"1"	"533"	"0"	"533"	"0"
"126"	"101A"	"PRIMARY SCHOOL , NARYANPUR (W)"	"3"	"0"	"326"	"8"	"3"	"2"	"3"	"345"	"0"	"345"	"0"
"127"	"102"	"SENIOR BASIC SCHOOL BIMWHA (NORTH BAWEN)"	"5"	"18"	"192"	"21"	"171"	"11"	"17"	"435"	"0"	"435"	"0"
"128"	"102A"	"SENIOR BASIC SCHOOL BIMWHA(EAST PART)"	"9"	"38"	"159"	"14"	"101"	"7"	"9"	"337"	"0"	"337"	"0"
"129"	"103"	"SENIOR BASIC SCHOOL BIMWHA ( EAST BAWAN)"	"2"	"101"	"59"	"132"	"132"	"8"	"6"	"440"	"0"	"440"	"0"
"130"	"103A"	"SENIOR BASIC SCHOOL BIMWHA (E)BUILDING (N)"	"6"	"15"	"123"	"40"	"85"	"0"	"4"	"273"	"0"	"273"	"0"
"131"	"104"	"PRIMARY SCHOOL , HARNAHI"	"9"	"11"	"341"	"16"	"314"	"1"	"2"	"694"	"0"	"694"	"0"
"132"	"105"	"PRIMARY SCHOOL ESADHI"	"9"	"16"	"350"	"12"	"105"	"2"	"9"	"503"	"0"	"503"	"0"
"133"	"106"	"PRIMARY SCHOOL HARIGAON"	"28"	"27"	"129"	"7"	"270"	"8"	"3"	"472"	"0"	"472"	"0"
"134"	"106A"	"PRIMARY SCHOOL HARIGAON (RIGHT PART)"	"14"	"27"	"76"	"8"	"195"	"6"	"2"	"328"	"0"	"328"	"0"
"135"	"107"	"PRIMARYT SCHOOL , SANYA"	"2"	"9"	"572"	"8"	"62"	"5"	"2"	"660"	"0"	"660"	"0"
"136"	"108"	"MIDDLE SCHOOL DHULHINGANJ"	"6"	"21"	"84"	"2"	"423"	"5"	"9"	"550"	"0"	"550"	"0"
"137"	"108A"	"MIDDLE SCHOOL DHULHINGANJ(N)"	"3"	"9"	"60"	"0"	"220"	"6"	"5"	"303"	"0"	"303"	"0"
"138"	"109"	"PRIMARY SCHOOL , BANKAT"	"2"	"0"	"355"	"4"	"57"	"3"	"2"	"423"	"0"	"423"	"0"
"139"	"110"	"PRIMARY SCHOOL SUNDARA"	"13"	"9"	"164"	"15"	"239"	"3"	"1"	"444"	"0"	"444"	"0"
"140"	"111"	"PRIMARY SCHOOL MEADAPUR"	"3"	"4"	"399"	"4"	"7"	"2"	"2"	"421"	"0"	"421"	"0"
"141"	"112"	"PRIMARY SCHOOL TULSHI"	"47"	"15"	"224"	"19"	"230"	"9"	"4"	"548"	"0"	"548"	"0"
"142"	"113"	"PRIMARY SCHOOL MATURAPUR"	"7"	"3"	"198"	"4"	"71"	"0"	"2"	"285"	"0"	"285"	"0"
"143"	"114"	"PRIMARY SCHOOL MATHURAPUR ( NEW BHAWAN)"	"3"	"32"	"126"	"13"	"182"	"6"	"9"	"371"	"0"	"371"	"0"
"144"	"115"	"MIDDLE SCHOOL KAURA"	"12"	"12"	"226"	"4"	"137"	"4"	"5"	"400"	"0"	"400"	"0"
"145"	"116"	"HIGH SCHOOL KAURA (EAST PART)"	"10"	"5"	"160"	"1"	"104"	"1"	"4"	"285"	"0"	"285"	"0"
"146"	"117"	"HIGH SCHOOL , KOORA (WEST PART )"	"17"	"15"	"165"	"12"	"191"	"6"	"14"	"420"	"0"	"420"	"0"
"147"	"118"	"PRIMARY SCHOOL GAYANPUR"	"0"	"1"	"455"	"1"	"108"	"2"	"0"	"567"	"0"	"567"	"0"
"148"	"119"	"PRIMARY SCHOOL , MATIYA ( SOUTH TOLA)"	"2"	"28"	"369"	"2"	"38"	"3"	"3"	"445"	"0"	"445"	"0"
"149"	"120"	"PRIMARY SCHOOL SHULTAN PUR"	"18"	"52"	"197"	"5"	"114"	"5"	"2"	"393"	"0"	"393"	"0"
"150"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"151"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"152"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"153"	"121"	"PRIMARY SCHOOL , ASUDHAN"	"3"	"40"	"294"	"5"	"177"	"3"	"1"	"523"	"0"	"523"	"0"
"154"	"122"	"HIGH SCHOOL BARNOW (SOUTH PART)"	"35"	"12"	"213"	"32"	"292"	"3"	"6"	"593"	"0"	"593"	"0"
"155"	"123"	"HIGH SCHOOL , BARNOW (SOUTH PART)"	"14"	"5"	"306"	"4"	"65"	"12"	"1"	"407"	"0"	"407"	"0"
"156"	"123A"	"HIGH SCHOOL , BARNOW (MIDDLE PART)"	"12"	"14"	"252"	"11"	"8"	"9"	"11"	"317"	"0"	"317"	"0"
"157"	"124"	"MIDDLE SCHOOL ,BARNOW"	"15"	"15"	"362"	"13"	"164"	"27"	"12"	"608"	"0"	"608"	"0"
"158"	"125"	"PRIMARY SCHOOL , DULARPUR"	"0"	"6"	"25"	"0"	"369"	"3"	"1"	"404"	"0"	"404"	"0"
"159"	"126"	"PRIMARY SCHOOL , KAHEN"	"54"	"13"	"424"	"7"	"127"	"7"	"3"	"635"	"0"	"635"	"0"
"160"	"127"	"HIGH SCHOOL , MASUDHI"	"15"	"26"	"166"	"26"	"213"	"3"	"2"	"451"	"0"	"451"	"0"
"161"	"128"	"SAMUDAYK BAWAN , KAHTU"	"13"	"17"	"134"	"8"	"218"	"2"	"1"	"393"	"0"	"393"	"0"
"162"	"129"	"PRIMARY SCHOOL , KAHTU"	"5"	"4"	"106"	"8"	"173"	"6"	"4"	"306"	"0"	"306"	"0"
"163"	"130"	"MIDDLE SCHOOL LAKCHMI PUR"	"10"	"69"	"94"	"6"	"352"	"4"	"10"	"545"	"0"	"545"	"0"
"164"	"131"	"PRIMARY SCHOOL , SHRIPUR"	"12"	"80"	"41"	"19"	"322"	"7"	"5"	"486"	"0"	"486"	"0"
"165"	"131A"	"PRIMARY SCHOOL , SHRIPUR (RIGHT PART)"	"2"	"31"	"42"	"4"	"270"	"5"	"2"	"356"	"0"	"356"	"0"
"166"	"132"	"PRIMARY SCHOOL , KUSUMHA"	"1"	"1"	"591"	"1"	"8"	"5"	"2"	"609"	"0"	"609"	"0"
"167"	"133"	"PRIMARY SCHOOL ,BABHANIAON(EAST PART)"	"82"	"12"	"302"	"9"	"26"	"7"	"5"	"443"	"0"	"443"	"0"
"168"	"133A"	"PRIMARY SCHOOL ,BABHANIAON(MIDDLE PART)"	"91"	"16"	"77"	"3"	"76"	"1"	"6"	"270"	"0"	"270"	"0"
"169"	"134"	"PRIMARY SCHOOL ,BAVNIAON(WEST PART)"	"167"	"199"	"19"	"8"	"54"	"7"	"16"	"470"	"0"	"470"	"0"
"170"	"135"	"PRIMARY SCHOOL,PILAPUR"	"13"	"3"	"339"	"22"	"195"	"14"	"2"	"588"	"0"	"588"	"0"
"171"	"136"	"PRIMARY SCHOOL , DAVTOLA"	"1"	"0"	"588"	"5"	"32"	"1"	"2"	"629"	"0"	"629"	"0"
