"X013.ADAPUR"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"33"	"28"	""	""	""	"841"	"3"	"1"	""	"2"	""	"156"	"6"	"101"	"4"	"2"	"2"	"2"	"2"	"278"
"34"	"29"	""	""	""	"971"	"4"	"4"	""	"0"	""	"173"	"70"	"113"	"6"	"7"	"5"	"6"	"4"	"388"
"35"	"30"	""	""	""	"1159"	"4"	"10"	""	"3"	""	"182"	"257"	"28"	"8"	"8"	"21"	"10"	"26"	"553"
"36"	"31"	""	""	""	"818"	"4"	"14"	""	"5"	""	"125"	"245"	"31"	"12"	"1"	"11"	"8"	"10"	"462"
"37"	"31"	""	""	"A"	"613"	"4"	"3"	""	"2"	""	"59"	"12"	"15"	"3"	"3"	"5"	"1"	"0"	"103"
"38"	"32"	""	""	""	"1160"	"4"	"16"	""	"5"	""	"174"	"225"	"105"	"12"	"2"	"10"	"32"	"23"	"604"
"39"	"33"	""	""	""	"1203"	"4"	"9"	""	"9"	""	"118"	"359"	"21"	"9"	"6"	"6"	"8"	"11"	"556"
"40"	"34"	""	""	""	"1035"	"4"	"18"	""	"5"	""	"120"	"343"	"24"	"7"	"3"	"10"	"7"	"17"	"554"
"41"	"35"	""	""	""	"564"	"4"	"9"	""	"0"	""	"124"	"141"	"8"	"2"	"0"	"4"	"10"	"4"	"302"
"42"	"36"	""	""	""	"1019"	"4"	"7"	""	"9"	""	"284"	"171"	"36"	"7"	"6"	"4"	"11"	"16"	"551"
"43"	"37"	""	""	""	"1304"	"4"	"12"	""	"6"	""	"395"	"103"	"68"	"7"	"10"	"19"	"15"	"22"	"657"
"44"	"38"	""	""	""	"586"	"5"	"15"	""	"4"	""	"228"	"30"	"29"	"4"	"1"	"5"	"29"	"21"	"366"
"45"	"39"	""	""	""	"1215"	"5"	"5"	""	"2"	""	"196"	"244"	"75"	"6"	"1"	"13"	"6"	"14"	"562"
"46"	"40"	""	""	""	"999"	"5"	"4"	""	"3"	""	"227"	"99"	"146"	"9"	"7"	"14"	"4"	"18"	"531"
"47"	"41"	""	""	""	"584"	"5"	"0"	""	"2"	""	"300"	"134"	"12"	"2"	"5"	"7"	"4"	"8"	"474"
"48"	"41"	""	""	"A"	"876"	"5"	"4"	""	"1"	""	"115"	"89"	"31"	"2"	"1"	"4"	"7"	"6"	"260"
"49"	"42"	""	""	""	"1197"	"5"	"11"	""	"7"	""	"186"	"219"	"146"	"4"	"7"	"8"	"10"	"23"	"621"
"50"	"43"	""	""	""	"808"	"5"	"4"	""	"4"	""	"185"	"228"	"58"	"5"	"6"	"6"	"8"	"17"	"521"
"51"	"44"	"No"	""	""	""	""	""	"Booth"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""
"52"	""	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"1049"	"Voters"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"54"	"5"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"5"	"1"	"PRABHU DEO YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"4"	"2"	"RAM KUWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"272"	"3"	"SHYAM BIHARI PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"274"	"4"	"SABIR ALI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"5"	"5"	"HARI SHANKAR PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"4"	"6"	"KALAMUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"6"	"7"	"NASIM AFROJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"1"	"8"	"MANOJ PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"0"	"9"	"SHATRUDHAN SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"5"	"10"	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"576"	"12"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Booth"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	""	"PRABHU DEO YADAV"	""	"RAM KUWAR RAM"	""	"SHYAM BIHARI PRASAD"	"SABIR ALI"	"HARI SHANKAR PD. YADAV"	"KALAMUDDIN"	"NASIM AFROJ"	"MANOJ PASWAN"	"SHATRUDHAN SINGH"	"SHIV SHANKAR PRASAD"	"Total"
"69"	"No"	""	""	"Ext"	"Voters"	"Round"	"1"	""	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"12"
"70"	"45"	""	""	""	"521"	"5"	"2"	""	"3"	""	"413"	"79"	"35"	"3"	"3"	"10"	"3"	"15"	"566"
"71"	"45"	""	""	"A"	"1092"	"5"	"2"	""	"2"	""	"211"	"80"	"4"	"1"	"1"	"6"	"0"	"5"	"312"
"72"	"46"	""	""	""	"1148"	"6"	"6"	""	"3"	""	"483"	"135"	"10"	"4"	"5"	"13"	"3"	"4"	"666"
"73"	"47"	""	""	""	"1042"	"6"	"10"	""	"25"	""	"285"	"253"	"29"	"4"	"4"	"8"	"16"	"18"	"652"
"74"	"48"	""	""	""	"1108"	"6"	"11"	""	"6"	""	"73"	"540"	"44"	"3"	"8"	"7"	"4"	"8"	"704"
"75"	"49"	""	""	""	"982"	"6"	"5"	""	"7"	""	"118"	"353"	"19"	"4"	"4"	"1"	"6"	"12"	"529"
"76"	"50"	""	""	""	"568"	"6"	"2"	""	"1"	""	"146"	"387"	"10"	"0"	"3"	"0"	"39"	"2"	"590"
"77"	"50"	""	""	"A"	"959"	"6"	"0"	""	"0"	""	"127"	"143"	"8"	"1"	"1"	"2"	"1"	"3"	"286"
"78"	"51"	""	""	""	"770"	"6"	"11"	""	"6"	""	"257"	"127"	"5"	"8"	"4"	"5"	"16"	"4"	"443"
"79"	"52"	""	""	""	"775"	"6"	"13"	""	"3"	""	"226"	"172"	"19"	"4"	"4"	"5"	"3"	"9"	"458"
"80"	"53"	""	""	""	"1237"	"6"	"4"	""	"5"	""	"341"	"259"	"25"	"7"	"6"	"16"	"7"	"25"	"695"
"81"	"54"	""	""	""	"952"	"6"	"7"	""	"6"	""	"228"	"267"	"6"	"4"	"2"	"6"	"2"	"4"	"532"
"82"	"55"	""	""	""	"772"	"7"	"11"	""	"4"	""	"315"	"89"	"11"	"5"	"1"	"2"	"5"	"5"	"448"
"83"	"56"	""	""	""	"917"	"7"	"9"	""	"1"	""	"105"	"347"	"4"	"0"	"2"	"6"	"3"	"1"	"478"
"84"	"57"	""	""	""	"986"	"7"	"6"	""	"6"	""	"170"	"284"	"12"	"2"	"0"	"4"	"5"	"6"	"495"
"85"	"58"	""	""	""	"798"	"7"	"4"	""	"5"	""	"266"	"137"	"3"	"4"	"1"	"11"	"11"	"5"	"447"
"86"	"59"	""	""	""	"786"	"7"	"14"	""	"6"	""	"282"	"103"	"15"	"4"	"4"	"13"	"3"	"23"	"467"
"87"	"60"	""	""	""	"1057"	"7"	"17"	""	"5"	""	"31"	"420"	"21"	"9"	"22"	"5"	"16"	"8"	"554"
"88"	"61"	""	""	""	"1073"	"7"	"5"	""	"5"	""	"386"	"98"	"48"	"6"	"3"	"17"	"10"	"17"	"595"
"89"	"62"	""	""	""	"970"	"7"	"13"	""	"5"	""	"343"	"96"	"60"	"6"	"10"	"7"	"9"	"10"	"559"
"90"	"62"	""	""	"A"	"563"	"7"	"4"	""	"3"	""	"194"	"65"	"6"	"4"	"0"	"3"	"3"	"3"	"285"
"91"	"63"	""	""	""	"1254"	"7"	"100"	""	"9"	""	"162"	"151"	"215"	"11"	"2"	"4"	"2"	"4"	"660"
"92"	"64"	""	""	""	"1059"	"8"	"106"	""	"3"	""	"147"	"32"	"215"	"6"	"2"	"4"	"3"	"4"	"522"
"93"	"65"	""	""	""	"1241"	"8"	"45"	""	"6"	""	"301"	"282"	"19"	"12"	"2"	"10"	"4"	"12"	"693"
"94"	"66"	""	""	""	"1362"	"8"	"2"	""	"0"	""	"454"	"36"	"4"	"0"	"0"	"4"	"2"	"4"	"506"
"95"	"67"	""	""	""	"1158"	"8"	"45"	""	"1"	""	"311"	"163"	"84"	"3"	"3"	"5"	"24"	"4"	"643"
"96"	"68"	""	""	""	"1221"	"8"	"23"	""	"7"	""	"354"	"74"	"82"	"10"	"8"	"24"	"9"	"10"	"601"
"97"	"69"	""	""	""	"1084"	"8"	"216"	""	"11"	""	"232"	"83"	"24"	"6"	"5"	"8"	"7"	"19"	"611"
"98"	"70"	""	""	""	"1366"	"8"	"68"	""	"5"	""	"338"	"35"	"105"	"5"	"8"	"23"	"17"	"28"	"632"
"99"	"71"	""	""	""	"1346"	"8"	"33"	""	"6"	""	"290"	"133"	"112"	"4"	"4"	"15"	"7"	"13"	"617"
"100"	"72"	""	""	""	"1359"	"8"	"66"	""	"3"	""	"242"	"84"	"184"	"8"	"7"	"12"	"10"	"35"	"651"
"101"	"73"	""	""	""	"1204"	"8"	"59"	""	"7"	""	"167"	"70"	"206"	"12"	"7"	"10"	"9"	"21"	"568"
"102"	"74"	""	""	""	"1202"	"9"	"7"	""	"3"	""	"314"	"23"	"233"	"4"	"2"	"5"	"5"	"14"	"610"
"103"	"75"	""	""	""	"618"	"9"	"7"	""	"3"	""	"85"	"21"	"128"	"9"	"4"	"7"	"3"	"8"	"275"
"104"	"76"	""	""	""	"599"	"9"	"3"	""	"1"	""	"47"	"44"	"182"	"12"	"6"	"8"	"8"	"13"	"324"
"105"	"77"	""	""	""	"1092"	"9"	"1"	""	"1"	""	"73"	"41"	"105"	"5"	"4"	"2"	"4"	"7"	"243"
"106"	"78"	""	""	""	"1039"	"9"	"1"	""	"0"	""	"16"	"30"	"138"	"10"	"5"	"3"	"2"	"4"	"209"
"107"	"79"	""	""	""	"1208"	"9"	"19"	""	"7"	""	"251"	"94"	"279"	"17"	"8"	"6"	"8"	"24"	"713"
"108"	"80"	""	""	""	"1136"	"9"	"6"	""	"3"	""	"232"	"30"	"306"	"24"	"7"	"22"	"15"	"22"	"667"
"109"	"81"	""	""	""	"691"	"9"	"5"	""	"2"	""	"61"	"31"	"308"	"10"	"7"	"4"	"4"	"13"	"445"
"110"	"82"	""	""	""	"984"	"9"	"11"	""	"2"	""	"365"	"147"	"87"	"9"	"4"	"11"	"3"	"5"	"644"
"111"	"83"	""	""	""	"1333"	"9"	"18"	""	"7"	""	"287"	"353"	"101"	"8"	"3"	"6"	"3"	"6"	"792"
"112"	"84"	""	""	""	"548"	"10"	"30"	""	"10"	""	"226"	"81"	"130"	"11"	"5"	"17"	"11"	"15"	"536"
"113"	"84"	""	""	"A"	"966"	"10"	"10"	""	"2"	""	"149"	"83"	"8"	"3"	"6"	"22"	"6"	"19"	"308"
"114"	"85"	""	""	""	"1069"	"10"	"8"	""	"5"	""	"281"	"69"	"233"	"12"	"6"	"14"	"11"	"11"	"650"
"115"	"86"	""	""	""	"935"	"10"	"6"	""	"2"	""	"137"	"196"	"90"	"13"	"16"	"8"	"2"	"7"	"477"
"116"	"87"	""	""	""	"834"	"10"	"3"	""	"4"	""	"218"	"56"	"116"	"9"	"3"	"5"	"2"	"11"	"427"
"117"	"88"	"No"	""	""	""	""	""	"Booth"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""
"118"	""	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"1112"	"Voters"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"120"	"10"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"7"	"1"	"PRABHU DEO YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"7"	"2"	"RAM KUWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"282"	"3"	"SHYAM BIHARI PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"137"	"4"	"SABIR ALI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"102"	"5"	"HARI SHANKAR PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"10"	"6"	"KALAMUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"5"	"7"	"NASIM AFROJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"14"	"8"	"MANOJ PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"6"	"9"	"SHATRUDHAN SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"22"	"10"	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"592"	"12"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Booth"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	""	"PRABHU DEO YADAV"	""	"RAM KUWAR RAM"	""	"SHYAM BIHARI PRASAD"	"SABIR ALI"	"HARI SHANKAR PD. YADAV"	"KALAMUDDIN"	"NASIM AFROJ"	"MANOJ PASWAN"	"SHATRUDHAN SINGH"	"SHIV SHANKAR PRASAD"	"Total"
"135"	"No"	""	""	"Ext"	"Voters"	"Round"	"1"	""	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"12"
"136"	"89"	""	""	""	"520"	"10"	"24"	""	"10"	""	"287"	"185"	"24"	"8"	"1"	"6"	"3"	"3"	"551"
"137"	"89"	""	""	"A"	"993"	"10"	"5"	""	"4"	""	"188"	"42"	"44"	"1"	"0"	"9"	"1"	"9"	"303"
"138"	"90"	""	""	""	"1318"	"10"	"11"	""	"6"	""	"389"	"191"	"37"	"5"	"4"	"19"	"11"	"17"	"690"
"139"	"91"	""	""	""	"1177"	"10"	"9"	""	"10"	""	"346"	"84"	"17"	"3"	"4"	"10"	"7"	"14"	"504"
"140"	"92"	""	""	""	"1322"	"11"	"10"	""	"6"	""	"361"	"179"	"36"	"11"	"6"	"17"	"6"	"7"	"639"
"141"	"93"	""	""	""	"902"	"11"	"13"	""	"4"	""	"375"	"105"	"14"	"4"	"1"	"18"	"6"	"28"	"568"
"142"	"93"	""	""	"A"	"640"	"11"	"8"	""	"3"	""	"154"	"58"	"27"	"3"	"3"	"7"	"3"	"12"	"278"
"143"	"94"	""	""	""	"1028"	"11"	"21"	""	"5"	""	"307"	"177"	"33"	"11"	"13"	"15"	"19"	"39"	"640"
"144"	"94"	""	""	"A"	"446"	"11"	"4"	""	"0"	""	"118"	"28"	"8"	"3"	"1"	"7"	"3"	"12"	"184"
"145"	"95"	""	""	""	"1001"	"11"	"19"	""	"5"	""	"121"	"125"	"126"	"13"	"8"	"11"	"5"	"10"	"443"
"146"	"95"	""	""	"A"	"479"	"11"	"8"	""	"2"	""	"111"	"33"	"64"	"3"	"2"	"5"	"2"	"4"	"234"
"147"	"96"	""	""	""	"888"	"11"	"9"	""	"4"	""	"108"	"73"	"287"	"20"	"3"	"10"	"7"	"20"	"541"
"148"	"97"	""	""	""	"1021"	"11"	"16"	""	"3"	""	"187"	"201"	"26"	"5"	"5"	"10"	"7"	"6"	"466"
"149"	"98"	""	""	""	"965"	"11"	"5"	""	"8"	""	"389"	"118"	"31"	"8"	"4"	"12"	"8"	"19"	"602"
"150"	"98"	""	""	"A"	"486"	"12"	"29"	""	"5"	""	"182"	"18"	"9"	"0"	"1"	"3"	"0"	"3"	"250"
"151"	"99"	""	""	""	"511"	"12"	"32"	""	"7"	""	"505"	"85"	"4"	"7"	"4"	"12"	"4"	"9"	"669"
"152"	"99"	""	""	"A"	"1003"	"12"	"35"	""	"4"	""	"150"	"33"	"19"	"5"	"7"	"7"	"6"	"6"	"272"
"153"	"100"	""	""	""	"1364"	"12"	"63"	""	"8"	""	"670"	"93"	"19"	"9"	"3"	"23"	"8"	"10"	"906"
"154"	"101"	""	""	""	"1172"	"12"	"15"	""	"7"	""	"379"	"203"	"27"	"2"	"7"	"10"	"9"	"11"	"670"
"155"	"102"	""	""	""	"1201"	"12"	"8"	""	"5"	""	"470"	"27"	"134"	"11"	"3"	"11"	"4"	"12"	"685"
"156"	"103"	""	""	""	"767"	"12"	"10"	""	"2"	""	"105"	"19"	"251"	"17"	"13"	"9"	"11"	"20"	"457"
"157"	"104"	""	""	""	"708"	"12"	"23"	""	"2"	""	"102"	"33"	"194"	"5"	"5"	"7"	"3"	"15"	"389"
"158"	"105"	""	""	""	"1082"	"12"	"25"	""	"8"	""	"106"	"320"	"58"	"10"	"6"	"4"	"4"	"5"	"546"
"159"	"106"	""	""	""	"969"	"12"	"22"	""	"4"	""	"182"	"122"	"161"	"19"	"5"	"15"	"17"	"36"	"583"
"160"	"106"	""	""	"A"	"609"	"13"	"15"	""	"1"	""	"117"	"45"	"53"	"9"	"4"	"5"	"8"	"9"	"266"
"161"	"107"	""	""	""	"1250"	"13"	"21"	""	"3"	""	"80"	"401"	"41"	"7"	"1"	"3"	"13"	"5"	"575"
"162"	"108"	""	""	""	"870"	"13"	"150"	""	"4"	""	"42"	"18"	"272"	"2"	"3"	"1"	"1"	"2"	"495"
"163"	"109"	""	""	""	"1002"	"13"	"8"	""	"4"	""	"212"	"121"	"106"	"6"	"9"	"20"	"10"	"28"	"524"
"164"	"109"	""	""	"A"	"472"	"13"	"8"	""	"1"	""	"17"	"145"	"24"	"7"	"6"	"6"	"4"	"10"	"228"
"165"	"110"	""	""	""	"891"	"13"	"9"	""	"5"	""	"228"	"116"	"69"	"7"	"10"	"20"	"9"	"22"	"495"
"166"	"111"	""	""	""	"1077"	"13"	"1"	""	"1"	""	"41"	"430"	"23"	"3"	"1"	"5"	"2"	"3"	"510"
"167"	"111"	""	""	"A"	"392"	"13"	"1"	""	"0"	""	"8"	"181"	"6"	"1"	"0"	"0"	"0"	"1"	"198"
"168"	"112"	""	""	""	"646"	"13"	"13"	""	"0"	""	"72"	"9"	"306"	"6"	"2"	"2"	"1"	"2"	"413"
"169"	"113"	""	""	""	"515"	"13"	"1"	""	"1"	""	"192"	"32"	"98"	"0"	"1"	"0"	"0"	"5"	"330"
"170"	"114"	""	""	""	"1240"	"14"	"10"	""	"5"	""	"349"	"56"	"109"	"4"	"8"	"7"	"5"	"12"	"565"
"171"	"115"	""	""	""	"987"	"14"	"1"	""	"1"	""	"76"	"298"	"12"	"1"	"6"	"7"	"3"	"14"	"419"
"172"	"115"	""	""	"A"	"440"	"14"	"3"	""	"2"	""	"59"	"116"	"3"	"2"	"3"	"3"	"2"	"9"	"202"
"173"	"116"	""	""	""	"937"	"14"	"2"	""	"1"	""	"185"	"232"	"38"	"4"	"5"	"1"	"5"	"10"	"483"
"174"	"117"	""	""	""	"1232"	"14"	"1"	""	"1"	""	"222"	"378"	"29"	"2"	"1"	"3"	"2"	"2"	"641"
"175"	"118"	""	""	""	"516"	"14"	"3"	""	"0"	""	"13"	"20"	"231"	"7"	"4"	"1"	"2"	"7"	"288"
"176"	"119"	""	""	""	"1033"	"14"	"115"	""	"5"	""	"254"	"44"	"94"	"8"	"12"	"33"	"17"	"24"	"606"
"177"	"120"	""	""	""	"1000"	"14"	"9"	""	"7"	""	"172"	"227"	"26"	"18"	"9"	"22"	"11"	"13"	"514"
"178"	"121"	""	""	""	"1364"	"14"	"11"	""	"18"	""	"392"	"262"	"34"	"3"	"3"	"7"	"7"	"1"	"738"
"179"	"122"	""	""	""	"1035"	"14"	"11"	""	"5"	""	"226"	"272"	"40"	"5"	"7"	"10"	"8"	"6"	"590"
"180"	"123"	""	""	""	"1188"	"15"	"9"	""	"5"	""	"361"	"223"	"36"	"6"	"3"	"16"	"8"	"8"	"675"
"181"	"124"	""	""	""	"1229"	"15"	"4"	""	"2"	""	"446"	"147"	"23"	"5"	"0"	"7"	"11"	"12"	"657"
"182"	"125"	""	""	""	"570"	"15"	"22"	""	"2"	""	"135"	"108"	"408"	"20"	"5"	"4"	"5"	"9"	"718"
"183"	"125"	"No"	""	""	""	""	""	"Booth"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""
"184"	"A"	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"972"	"Voters"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"186"	"15"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"4"	"1"	"PRABHU DEO YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"0"	"2"	"RAM KUWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"146"	"3"	"SHYAM BIHARI PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"21"	"4"	"SABIR ALI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"75"	"5"	"HARI SHANKAR PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"5"	"6"	"KALAMUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"2"	"7"	"NASIM AFROJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"7"	"8"	"MANOJ PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"2"	"9"	"SHATRUDHAN SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"11"	"10"	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"273"	"12"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Booth"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
