"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 165-KHAGARIA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 211740"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 165-KHAGARIA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"42"	"21"	"147"	"42"	"433"	"18"	"11"	"20"	"37"	"35"	"743"	""	"743"	""
"43"	"22"	"28"	"321"	"197"	"2"	"6"	"11"	"31"	"25"	"621"	""	"621"	""
"44"	"23"	"55"	"438"	"26"	"1"	"3"	"6"	"38"	"44"	"611"	""	"611"	""
"45"	"24"	"61"	"202"	"3"	"0"	"1"	"7"	"10"	"4"	"288"	""	"288"	""
"46"	"Round-2
Total"	"2060"	"3494"	"1069"	"69"	"90"	"130"	"275"	"412"	"7599"	"0"	"7599"	"0"
"47"	"Cumm. Total"	"2849"	"5650"	"1843"	"155"	"141"	"265"	"717"	"1477"	"13097"	"0"	"13097"	"0"
"48"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"49"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"50"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"51"	"B/F"	"2849"	"5650"	"1843"	"155"	"141"	"265"	"717"	"1477"	"13097"	"0"	"13097"	"0"
"52"	"24A"	"40"	"233"	"2"	""	"1"	"1"	"7"	"2"	"286"	""	"286"	""
"53"	"25"	"87"	"176"	"81"	"6"	"72"	"4"	"28"	"142"	"596"	""	"596"	""
"54"	"26"	"37"	"207"	"138"	"7"	"8"	"19"	"63"	"114"	"593"	""	"593"	""
"55"	"27"	"64"	"153"	"152"	"13"	"7"	"15"	"54"	"18"	"476"	""	"476"	""
"56"	"28"	"195"	"153"	"37"	"4"	"13"	"8"	"27"	"192"	"629"	""	"629"	""
"57"	"29"	"67"	"347"	"37"	"7"	"2"	"13"	"36"	"96"	"605"	""	"605"	""
"58"	"30"	"40"	"239"	"28"	"3"	"5"	"9"	"14"	"79"	"417"	""	"417"	""
"59"	"31"	"100"	"82"	"22"	"2"	"10"	""	"13"	"64"	"293"	""	"293"	""
"60"	"32"	"39"	"151"	"150"	"16"	"35"	"10"	"45"	"65"	"511"	""	"511"	""
"61"	"33"	"102"	"179"	"116"	"11"	"12"	"12"	"28"	"41"	"501"	""	"501"	""
"62"	"33A"	"34"	"143"	"34"	"2"	"3"	"11"	"3"	"26"	"256"	""	"256"	""
"63"	"34"	"106"	"315"	"27"	"5"	"6"	"6"	"182"	"24"	"671"	""	"671"	""
"64"	"35"	"141"	"139"	"28"	"5"	"3"	"7"	"57"	"30"	"410"	""	"410"	""
"65"	"35A"	"87"	"80"	"69"	"2"	"4"	"8"	"32"	"11"	"293"	""	"293"	""
"66"	"Round-3
Total"	"1139"	"2597"	"921"	"83"	"181"	"123"	"589"	"904"	"6537"	"0"	"6537"	"0"
"67"	"Cumm. Total"	"3988"	"8247"	"2764"	"238"	"322"	"388"	"1306"	"2381"	"19634"	"0"	"19634"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"69"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"71"	"B/F"	"3988"	"8247"	"2764"	"238"	"322"	"388"	"1306"	"2381"	"19634"	"0"	"19634"	"0"
"72"	"36"	"140"	"271"	"21"	"6"	"10"	"12"	"149"	"31"	"640"	""	"640"	""
"73"	"37"	"100"	"193"	"186"	"17"	"12"	"10"	"113"	"21"	"652"	""	"652"	""
"74"	"38"	"165"	"126"	"45"	"2"	"5"	"10"	"33"	"23"	"409"	""	"409"	""
"75"	"38A"	"93"	"96"	"175"	"8"	"4"	"3"	"60"	"9"	"448"	""	"448"	""
"76"	"39"	"206"	"67"	"8"	"2"	"12"	"7"	"19"	"123"	"444"	""	"444"	""
"77"	"40"	"155"	"184"	"33"	"6"	"7"	"11"	"29"	"179"	"604"	""	"604"	""
"78"	"41"	"60"	"268"	"55"	"3"	"24"	"7"	"71"	"48"	"536"	""	"536"	""
"79"	"42"	"235"	"209"	"52"	"9"	"15"	"10"	"8"	"33"	"571"	""	"571"	""
"80"	"43"	"196"	"236"	"16"	"6"	"4"	"5"	"13"	"21"	"497"	""	"497"	""
"81"	"43A"	"141"	"83"	"7"	"1"	""	"1"	"2"	"13"	"248"	""	"248"	""
"82"	"44"	"220"	"87"	"7"	"9"	"4"	"5"	"8"	"187"	"527"	""	"527"	""
"83"	"45"	"303"	"22"	"4"	"2"	"3"	"1"	"7"	"136"	"478"	""	"478"	""
"84"	"46"	"332"	"214"	"8"	"0"	"1"	"3"	"9"	"10"	"577"	""	"577"	""
"85"	"47"	"168"	"136"	"14"	"1"	"5"	"3"	"6"	"4"	"337"	""	"337"	""
"86"	"Round-4
Total"	"2514"	"2192"	"631"	"72"	"106"	"88"	"527"	"838"	"6968"	"0"	"6968"	"0"
"87"	"Cumm. Total"	"6502"	"10439"	"3395"	"310"	"428"	"476"	"1833"	"3219"	"26602"	"0"	"26602"	"0"
"88"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"89"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"91"	"B/F"	"6502"	"10439"	"3395"	"310"	"428"	"476"	"1833"	"3219"	"26602"	"0"	"26602"	"0"
"92"	"48"	"390"	"52"	"25"	"4"	"3"	"5"	"3"	"29"	"511"	""	"511"	""
"93"	"49"	"157"	"44"	"51"	"6"	"1"	"6"	"6"	"13"	"284"	""	"284"	""
"94"	"49A"	"125"	"34"	"36"	"2"	"1"	"3"	""	"2"	"203"	""	"203"	""
"95"	"50"	"143"	"64"	"13"	"2"	"1"	"1"	"2"	"6"	"232"	""	"232"	""
"96"	"50A"	"188"	"50"	"22"	"0"	"3"	"2"	"6"	"13"	"284"	""	"284"	""
"97"	"51"	"260"	"77"	"10"	"1"	"2"	"5"	"3"	"12"	"370"	""	"370"	""
"98"	"52"	"97"	"140"	"75"	"4"	"6"	"10"	"129"	"95"	"556"	""	"556"	""
"99"	"53"	"71"	"96"	"23"	"3"	"5"	"3"	"73"	"98"	"372"	""	"372"	""
"100"	"53A"	"153"	"71"	"9"	"2"	"14"	"4"	"7"	"90"	"350"	""	"350"	""
"101"	"54"	"47"	"49"	"30"	"6"	"2"	"4"	"23"	"94"	"255"	""	"255"	""
"102"	"55"	"250"	"40"	"16"	"1"	"3"	"4"	"1"	"25"	"340"	""	"340"	""
"103"	"56"	"260"	"38"	"28"	"5"	"0"	"4"	"1"	"7"	"343"	""	"343"	""
"104"	"57"	"53"	"178"	"74"	"2"	"0"	"6"	"33"	"21"	"367"	""	"367"	""
"105"	"57A"	"20"	"8"	"340"	"16"	"5"	"7"	"37"	"14"	"447"	""	"447"	""
"106"	"Round-5
Total"	"2214"	"941"	"752"	"54"	"46"	"64"	"324"	"519"	"4914"	"0"	"4914"	"0"
"107"	"Cumm. Total"	"8716"	"11380"	"4147"	"364"	"474"	"540"	"2157"	"3738"	"31516"	"0"	"31516"	"0"
"108"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"109"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"111"	"B/F"	"8716"	"11380"	"4147"	"364"	"474"	"540"	"2157"	"3738"	"31516"	"0"	"31516"	"0"
"112"	"58"	"219"	"99"	"20"	"6"	"43"	"8"	"11"	"18"	"424"	""	"424"	""
"113"	"59"	"180"	"207"	"58"	"10"	"13"	"16"	"9"	"23"	"516"	""	"516"	""
"114"	"60"	"120"	"77"	"17"	"7"	"12"	"13"	"22"	"82"	"350"	""	"350"	""
"115"	"61"	"39"	"46"	"18"	"8"	"55"	"7"	"8"	"9"	"190"	""	"190"	""
"116"	"62"	"165"	"143"	"18"	"7"	"18"	"15"	"17"	"23"	"406"	""	"406"	""
"117"	"63"	"170"	"210"	"8"	"1"	"1"	"2"	"10"	"6"	"408"	""	"408"	""
"118"	"64"	"100"	"127"	"5"	"2"	"32"	"12"	"24"	"106"	"408"	""	"408"	""
"119"	"65"	"161"	"75"	"5"	"0"	"10"	"5"	"13"	"225"	"494"	""	"494"	""
"120"	"66"	"120"	"66"	"26"	"8"	"33"	"10"	"7"	"42"	"312"	""	"312"	""
"121"	"67"	"79"	"183"	"19"	"6"	"33"	"16"	"18"	"11"	"365"	""	"365"	""
"122"	"68"	"103"	"241"	"28"	""	"4"	"12"	"17"	"16"	"421"	""	"421"	""
"123"	"68A"	"59"	"86"	"170"	"16"	"5"	"9"	"14"	"29"	"388"	""	"388"	""
"124"	"69"	"50"	"27"	"370"	"27"	"7"	"19"	"33"	"34"	"567"	""	"567"	""
"125"	"70"	"87"	"243"	"161"	"12"	"6"	"12"	"36"	"16"	"573"	""	"573"	""
"126"	"Round-6
Total"	"1652"	"1830"	"923"	"110"	"272"	"156"	"239"	"640"	"5822"	"0"	"5822"	"0"
"127"	"Cumm. Total"	"10368"	"13210"	"5070"	"474"	"746"	"696"	"2396"	"4378"	"37338"	"0"	"37338"	"0"
"128"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"129"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"131"	"B/F"	"10368"	"13210"	"5070"	"474"	"746"	"696"	"2396"	"4378"	"37338"	"0"	"37338"	"0"
"132"	"71"	"64"	"437"	"25"	"7"	"3"	"11"	"14"	"13"	"574"	""	"574"	""
"133"	"72"	"104"	"218"	"149"	"16"	"8"	"9"	"93"	"54"	"651"	""	"651"	""
"134"	"73"	"68"	"207"	"48"	"2"	"13"	"4"	"14"	"30"	"386"	""	"386"	""
"135"	"73A"	"28"	"101"	"66"	"3"	"3"	"9"	"83"	"49"	"342"	""	"342"	""
"136"	"74"	"20"	"460"	"15"	"0"	"1"	"6"	"5"	"21"	"528"	""	"528"	""
"137"	"75"	"94"	"190"	"11"	"1"	"2"	"5"	"1"	"82"	"386"	""	"386"	""
"138"	"75A"	"45"	"133"	"4"	"2"	"2"	"5"	"10"	"43"	"244"	""	"244"	""
"139"	"76"	"97"	"380"	"27"	"6"	"3"	"8"	"23"	"47"	"591"	""	"591"	""
"140"	"77"	"4"	"167"	"3"	"1"	"0"	"1"	"2"	"15"	"193"	""	"193"	""
"141"	"78"	"99"	"275"	"17"	"2"	"6"	"11"	"76"	"17"	"503"	""	"503"	""
"142"	"79"	"56"	"387"	"16"	"1"	"2"	"6"	"8"	"2"	"478"	""	"478"	""
"143"	"80"	"48"	"199"	"12"	"3"	"4"	"8"	"75"	"12"	"361"	""	"361"	""
"144"	"80A"	"35"	"181"	"11"	"2"	"4"	"2"	"72"	"3"	"310"	""	"310"	""
"145"	"81"	"330"	"105"	"7"	"2"	"8"	"3"	"8"	"23"	"486"	""	"486"	""
"146"	"Round-7
Total"	"1092"	"3440"	"411"	"48"	"59"	"88"	"484"	"411"	"6033"	"0"	"6033"	"0"
"147"	"Cumm. Total"	"11460"	"16650"	"5481"	"522"	"805"	"784"	"2880"	"4789"	"43371"	"0"	"43371"	"0"
"148"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"149"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"151"	"B/F"	"11460"	"16650"	"5481"	"522"	"805"	"784"	"2880"	"4789"	"43371"	"0"	"43371"	"0"
"152"	"82"	"317"	"71"	"5"	"4"	"5"	"6"	"9"	"35"	"452"	""	"452"	""
"153"	"83"	"32"	"281"	"11"	"3"	"4"	"6"	"73"	"3"	"413"	""	"413"	""
"154"	"84"	"426"	"136"	"67"	"8"	"4"	"12"	"19"	"24"	"696"	""	"696"	""
"155"	"85"	"123"	"303"	"92"	"8"	"5"	"8"	"23"	"19"	"581"	""	"581"	""
"156"	"86"	"215"	"27"	"3"	"0"	"12"	"1"	"0"	"3"	"261"	""	"261"	""
"157"	"87"	"476"	"117"	"7"	"3"	"12"	"8"	"12"	"79"	"714"	""	"714"	""
"158"	"88"	"161"	"77"	"225"	"15"	"7"	"13"	"34"	"93"	"625"	""	"625"	""
"159"	"89"	"148"	"139"	"2"	"2"	"3"	"8"	"5"	"38"	"345"	""	"345"	""
"160"	"90"	"131"	"234"	"28"	"5"	"22"	"7"	"9"	"13"	"449"	""	"449"	""
"161"	"91"	"215"	"25"	"6"	"5"	"8"	"8"	"9"	"102"	"378"	""	"378"	""
"162"	"92"	"237"	"105"	"35"	"4"	"7"	"8"	"8"	"4"	"408"	""	"408"	""
"163"	"93"	"413"	"107"	"12"	"6"	"7"	"10"	"5"	"18"	"578"	""	"578"	""
"164"	"94"	"153"	"148"	"10"	"5"	"1"	"10"	"5"	"15"	"347"	""	"347"	""
"165"	"95"	"57"	"234"	"28"	"5"	"1"	"8"	"78"	"12"	"423"	""	"423"	""
"166"	"Round-8
Total"	"3104"	"2004"	"531"	"73"	"98"	"113"	"289"	"458"	"6670"	"0"	"6670"	"0"
"167"	"Cumm. Total"	"14564"	"18654"	"6012"	"595"	"903"	"897"	"3169"	"5247"	"50041"	"0"	"50041"	"0"
"168"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"171"	"B/F"	"14564"	"18654"	"6012"	"595"	"903"	"897"	"3169"	"5247"	"50041"	"0"	"50041"	"0"
"172"	"96"	"93"	"216"	"31"	"8"	"6"	"7"	"60"	"14"	"435"	""	"435"	""
"173"	"97"	"48"	"116"	"20"	"2"	"2"	"0"	"12"	"4"	"204"	""	"204"	""
"174"	"97A"	"29"	"157"	"8"	"5"	"3"	"0"	"23"	"11"	"236"	""	"236"	""
"175"	"98"	"67"	"132"	"156"	"3"	"3"	"3"	"41"	"27"	"432"	""	"432"	""
"176"	"99"	"86"	"190"	"26"	"0"	"2"	"8"	"40"	"42"	"394"	""	"394"	""
"177"	"100"	"256"	"143"	"13"	"5"	"7"	"7"	"21"	"15"	"467"	""	"467"	""
"178"	"101"	"133"	"211"	"68"	"4"	"51"	"8"	"22"	"20"	"517"	""	"517"	""
"179"	"102"	"14"	"61"	"112"	"2"	"11"	"3"	"8"	"6"	"217"	""	"217"	""
"180"	"103"	"137"	"166"	"22"	"3"	"5"	"10"	"101"	"16"	"460"	""	"460"	""
"181"	"104"	"128"	"74"	"11"	"1"	"6"	"1"	"57"	"8"	"286"	""	"286"	""
"182"	"105"	"65"	"130"	"30"	"4"	"2"	"10"	"305"	"11"	"557"	""	"557"	""
"183"	"106"	"35"	"151"	"19"	"0"	"8"	"3"	"275"	"6"	"497"	""	"497"	""
"184"	"107"	"66"	"126"	"21"	"1"	"10"	"4"	"153"	"5"	"386"	""	"386"	""
"185"	"108"	"165"	"125"	"36"	"1"	"10"	"4"	"113"	"9"	"463"	""	"463"	""
"186"	"Round-9
Total"	"1322"	"1998"	"573"	"39"	"126"	"68"	"1231"	"194"	"5551"	"0"	"5551"	"0"
"187"	"Cumm. Total"	"15886"	"20652"	"6585"	"634"	"1029"	"965"	"4400"	"5441"	"55592"	"0"	"55592"	"0"
"188"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"189"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"190"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"191"	"B/F"	"15886"	"20652"	"6585"	"634"	"1029"	"965"	"4400"	"5441"	"55592"	"0"	"55592"	"0"
"192"	"109"	"24"	"43"	"7"	"0"	"8"	"1"	"104"	"6"	"193"	""	"193"	""
"193"	"110"	"47"	"154"	"13"	"2"	"2"	"1"	"250"	"16"	"485"	""	"485"	""
"194"	"111"	"142"	"98"	"22"	"8"	"3"	"5"	"59"	"26"	"363"	""	"363"	""
"195"	"111A"	"56"	"153"	"13"	"0"	"2"	"2"	"127"	"9"	"362"	""	"362"	""
"196"	"112"	"37"	"174"	"10"	"1"	"0"	"2"	"206"	"6"	"436"	""	"436"	""
"197"	"113"	"66"	"154"	"30"	"4"	"1"	"5"	"194"	"19"	"473"	""	"473"	""
"198"	"114"	"198"	"107"	"22"	"0"	"0"	"2"	"109"	"14"	"452"	""	"452"	""
"199"	"115"	"63"	"84"	"33"	"2"	"3"	"4"	"157"	"10"	"356"	""	"356"	""
"200"	"116"	"152"	"312"	"16"	"3"	"2"	"4"	"17"	"8"	"514"	""	"514"	""
"201"	"117"	"256"	"122"	"51"	"6"	"4"	"13"	"27"	"23"	"502"	""	"502"	""
"202"	"118"	"105"	"220"	"21"	"2"	"2"	"11"	"25"	"5"	"391"	""	"391"	""
"203"	"119"	"45"	"203"	"7"	"1"	"2"	"3"	"55"	"4"	"320"	""	"320"	""
"204"	"119A"	"58"	"90"	"9"	"2"	"2"	"4"	"12"	"5"	"182"	""	"182"	""
"205"	"120"	"57"	"160"	"14"	"0"	"6"	"4"	"57"	"3"	"301"	""	"301"	""
"206"	"Round-10
Total"	"1306"	"2074"	"268"	"31"	"37"	"61"	"1399"	"154"	"5330"	"0"	"5330"	"0"
"207"	"Cumm. Total"	"17192"	"22726"	"6853"	"665"	"1066"	"1026"	"5799"	"5595"	"60922"	"0"	"60922"	"0"
"208"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"209"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"211"	"B/F"	"17192"	"22726"	"6853"	"665"	"1066"	"1026"	"5799"	"5595"	"60922"	"0"	"60922"	"0"
