"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"19"	"10"	"93"	"70"	"4"	"18"	"109"	"2"	"1"	"27"	"4"	"2"	"5"	"335"	"0"	"335"	""	""
"20"	"11"	"155"	"51"	"12"	"5"	"68"	"3"	"1"	"18"	"3"	"1"	"6"	"323"	"0"	"323"	""	""
"21"	"12"	"454"	"40"	"36"	"2"	"135"	"7"	"2"	"6"	"3"	"3"	"7"	"695"	"0"	"695"	""	""
"22"	"13"	"97"	"175"	"11"	"4"	"127"	"1"	"0"	"3"	"1"	"3"	"1"	"423"	"0"	"423"	""	""
"23"	"14"	"308"	"24"	"7"	"10"	"59"	"3"	"1"	"2"	"12"	"0"	"6"	"432"	"0"	"432"	""	""
"24"	"15"	"517"	"55"	"6"	"7"	"137"	"1"	"1"	"2"	"3"	"2"	"3"	"734"	"0"	"734"	""	""
"25"	"16"	"199"	"173"	"52"	"2"	"145"	"3"	"0"	"2"	"1"	"0"	"2"	"579"	"0"	"579"	""	""
"26"	"17"	"118"	"95"	"19"	"2"	"179"	"3"	"3"	"30"	"5"	"3"	"2"	"459"	"0"	"459"	""	""
"27"	"18"	"25"	"13"	"13"	"3"	"15"	"1"	"0"	"376"	"3"	"1"	"1"	"451"	"0"	"451"	""	""
"28"	"19"	"122"	"9"	"4"	"1"	"1"	"0"	"3"	"19"	"1"	"1"	"0"	"161"	"0"	"161"	""	""
"29"	"20"	"260"	"58"	"1"	"1"	"20"	"2"	"1"	"43"	"0"	"1"	"4"	"391"	"0"	"391"	""	""
"30"	"21"	"252"	"122"	"3"	"3"	"185"	"3"	"1"	"1"	"0"	"2"	"0"	"572"	"0"	"572"	""	""
"31"	"22"	"184"	"52"	"88"	"11"	"21"	"2"	"5"	"62"	"7"	"13"	"10"	"455"	"0"	"455"	""	""
"32"	"23"	"99"	"82"	"8"	"1"	"37"	"2"	"1"	"41"	"3"	"0"	"7"	"281"	"0"	"281"	""	""
"33"	"24"	"185"	"7"	"7"	"2"	"87"	"7"	"5"	"21"	"5"	"0"	"13"	"339"	"0"	"339"	""	""
"34"	"25"	"37"	"60"	"5"	"0"	"196"	"7"	"2"	"15"	"0"	"2"	"9"	"333"	"0"	"333"	""	""
"35"	"26"	"189"	"149"	"8"	"3"	"16"	"1"	"2"	"26"	"1"	"8"	"3"	"406"	"0"	"406"	""	""
"36"	"27"	"227"	"40"	"5"	"0"	"186"	"2"	"1"	"2"	"1"	"1"	"10"	"475"	"0"	"475"	""	""
"37"	"28"	"87"	"4"	"2"	"2"	"66"	"3"	"1"	"2"	"0"	"1"	"6"	"174"	"0"	"174"	""	""
"38"	"29"	"133"	"74"	"7"	"5"	"170"	"4"	"0"	"1"	"3"	"1"	"3"	"401"	"0"	"401"	""	""
"39"	"30"	"177"	"38"	"25"	"4"	"72"	"1"	"4"	"6"	"9"	"0"	"18"	"354"	"0"	"354"	""	""
"40"	"30 A"	"156"	"6"	"5"	"0"	"111"	"2"	"0"	"1"	"2"	"1"	"10"	"294"	"0"	"294"	""	""
"41"	"31"	"501"	"40"	"57"	"8"	"87"	"4"	"1"	"11"	"6"	"7"	"14"	"736"	"0"	"736"	""	""
"42"	"32"	"298"	"64"	"14"	"1"	"57"	"3"	"2"	"11"	"0"	"2"	"6"	"458"	"0"	"458"	""	""
"43"	"33"	"168"	"19"	"61"	"3"	"58"	"4"	"7"	"9"	"1"	"2"	"10"	"342"	"0"	"342"	""	""
"44"	"34"	"134"	"36"	"44"	"4"	"277"	"7"	"1"	"90"	"8"	"10"	"11"	"622"	"0"	"622"	""	""
"45"	"35"	"226"	"75"	"27"	"0"	"83"	"2"	"0"	"4"	"0"	"1"	"12"	"430"	"0"	"430"	""	""
"46"	"36"	"169"	"81"	"2"	"2"	"180"	"2"	"0"	"2"	"5"	"0"	"2"	"445"	"0"	"445"	""	""
"47"	"37"	"61"	"36"	"31"	"2"	"311"	"6"	"1"	"5"	"11"	"13"	"10"	"487"	"0"	"487"	""	""
"48"	"38"	"53"	"13"	"31"	"1"	"343"	"5"	"4"	"5"	"2"	"1"	"0"	"458"	"0"	"458"	""	""
"49"	"39"	"42"	"217"	"81"	"7"	"23"	"1"	"0"	"4"	"1"	"1"	"6"	"383"	"0"	"383"	""	""
"50"	"39 A"	"58"	"125"	"5"	"1"	"4"	"1"	"0"	"1"	"1"	"2"	"2"	"200"	"0"	"200"	""	""
"51"	"40"	"28"	"6"	"8"	"6"	"106"	"3"	"0"	"2"	"2"	"2"	"4"	"167"	"0"	"167"	""	""
"52"	"41"	"94"	"59"	"208"	"8"	"92"	"11"	"5"	"3"	"9"	"10"	"13"	"512"	"0"	"512"	""	""
"53"	"42"	"394"	"218"	"7"	"3"	"9"	"1"	"2"	"27"	"0"	"5"	"20"	"686"	"0"	"686"	""	""
"54"	"43"	"206"	"123"	"5"	"1"	"39"	"3"	"1"	"1"	"0"	"0"	"4"	"383"	"0"	"383"	""	""
"55"	"44"	"265"	"32"	"73"	"2"	"73"	"1"	"1"	"2"	"44"	"5"	"1"	"499"	"0"	"499"	""	""
"56"	"44 A"	"65"	"0"	"0"	"0"	"22"	"1"	"0"	"0"	"4"	"2"	"9"	"103"	"0"	"103"	""	""
"57"	"45"	"260"	"86"	"15"	"8"	"26"	"2"	"3"	"10"	"28"	"1"	"4"	"443"	"0"	"443"	""	""
"58"	"46"	"451"	"74"	"18"	"1"	"18"	"2"	"0"	"0"	"5"	"1"	"3"	"573"	"0"	"573"	""	""
"59"	"47"	"314"	"58"	"15"	"4"	"152"	"2"	"5"	"1"	"9"	"2"	"4"	"566"	"0"	"566"	""	""
"60"	"48"	"168"	"86"	"156"	"5"	"0"	"1"	"1"	"0"	"3"	"1"	"2"	"423"	"0"	"423"	""	""
"61"	"49"	"96"	"70"	"15"	"1"	"80"	"2"	"1"	"2"	"0"	"1"	"2"	"270"	"0"	"270"	""	""
"62"	"50"	"223"	"38"	"5"	"0"	"32"	"0"	"0"	"9"	"0"	"0"	"0"	"307"	"0"	"307"	""	""
"63"	"51"	"151"	"194"	"28"	"3"	"19"	"2"	"4"	"53"	"5"	"6"	"18"	"483"	"0"	"483"	""	""
"64"	"52"	"219"	"90"	"25"	"4"	"148"	"5"	"2"	"76"	"14"	"2"	"77"	"662"	"0"	"662"	""	""
"65"	"53"	"238"	"6"	"30"	"0"	"222"	"3"	"0"	"8"	"2"	"3"	"22"	"534"	"0"	"534"	""	""
"66"	"54"	"218"	"33"	"23"	"3"	"85"	"2"	"2"	"13"	"2"	"2"	"3"	"386"	"0"	"386"	""	""
"67"	"54 A"	"77"	"11"	"7"	"1"	"60"	"1"	"1"	"5"	"0"	"3"	"8"	"174"	"0"	"174"	""	""
"68"	"55"	"170"	"171"	"61"	"8"	"125"	"3"	"5"	"32"	"6"	"8"	"46"	"635"	"0"	"635"	""	""
"69"	"56"	"322"	"85"	"31"	"6"	"64"	"3"	"1"	"4"	"20"	"6"	"8"	"550"	"0"	"550"	""	""
"70"	"57"	"323"	"115"	"49"	"14"	"104"	"7"	"5"	"19"	"2"	"4"	"14"	"656"	"0"	"656"	""	""
"71"	"58"	"160"	"83"	"54"	"6"	"172"	"5"	"3"	"7"	"7"	"11"	"21"	"529"	"0"	"529"	""	""
"72"	"59"	"243"	"82"	"47"	"12"	"154"	"1"	"1"	"2"	"4"	"8"	"9"	"563"	"0"	"563"	""	""
"73"	"60"	"23"	"7"	"0"	"1"	"570"	"0"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	""	""
"74"	"61"	"59"	"113"	"9"	"3"	"196"	"1"	"1"	"16"	"9"	"0"	"0"	"407"	"0"	"407"	""	""
"75"	"62"	"203"	"206"	"36"	"1"	"48"	"2"	"1"	"0"	"13"	"2"	"1"	"513"	"0"	"513"	""	""
"76"	"63"	"144"	"62"	"84"	"2"	"107"	"3"	"0"	"33"	"2"	"4"	"0"	"441"	"0"	"441"	""	""
"77"	"64"	"74"	"222"	"109"	"5"	"58"	"1"	"1"	"43"	"90"	"8"	"13"	"624"	"0"	"624"	""	""
"78"	"65"	"213"	"83"	"121"	"2"	"20"	"1"	"0"	"22"	"2"	"4"	"4"	"472"	"0"	"472"	""	""
"79"	"66"	"247"	"133"	"83"	"15"	"119"	"4"	"1"	"23"	"1"	"4"	"5"	"635"	"0"	"635"	""	""
"80"	"67"	"83"	"287"	"115"	"10"	"10"	"1"	"0"	"3"	"1"	"2"	"1"	"513"	"0"	"513"	""	""
"81"	"68"	"179"	"16"	"121"	"2"	"9"	"1"	"0"	"8"	"6"	"7"	"9"	"358"	"0"	"358"	""	""
"82"	"69"	"125"	"353"	"5"	"7"	"66"	"4"	"1"	"89"	"4"	"4"	"5"	"663"	"0"	"663"	""	""
"83"	"70"	"191"	"17"	"170"	"4"	"70"	"1"	"0"	"4"	"6"	"1"	"1"	"465"	"0"	"465"	""	""
"84"	"71"	"206"	"11"	"114"	"5"	"84"	"4"	"0"	"4"	"27"	"3"	"2"	"460"	"0"	"460"	""	""
"85"	"72"	"184"	"75"	"19"	"2"	"69"	"3"	"2"	"48"	"7"	"2"	"1"	"412"	"0"	"412"	""	""
"86"	"72 A"	"80"	"19"	"95"	"2"	"13"	"0"	"1"	"10"	"4"	"5"	"3"	"232"	"0"	"232"	""	""
"87"	"73"	"45"	"62"	"114"	"12"	"6"	"2"	"3"	"115"	"2"	"12"	"6"	"379"	"0"	"379"	""	""
"88"	"74"	"516"	"11"	"5"	"5"	"1"	"0"	"1"	"8"	"6"	"2"	"14"	"569"	"0"	"569"	""	""
"89"	"75"	"176"	"83"	"129"	"13"	"103"	"6"	"4"	"2"	"6"	"9"	"33"	"564"	"0"	"564"	""	""
"90"	"76"	"123"	"72"	"30"	"4"	"153"	"5"	"3"	"5"	"12"	"5"	"8"	"420"	"0"	"420"	""	""
"91"	"77"	"196"	"41"	"38"	"3"	"203"	"4"	"1"	"3"	"2"	"2"	"12"	"505"	"0"	"505"	""	""
"92"	"78"	"137"	"158"	"23"	"5"	"71"	"2"	"4"	"3"	"3"	"4"	"8"	"418"	"0"	"418"	""	""
"93"	"79"	"126"	"18"	"26"	"10"	"367"	"1"	"1"	"11"	"2"	"1"	"2"	"565"	"0"	"565"	""	""
"94"	"80"	"42"	"21"	"23"	"0"	"439"	"0"	"0"	"5"	"0"	"1"	"0"	"531"	"0"	"531"	""	""
"95"	"81"	"395"	"77"	"35"	"2"	"28"	"4"	"0"	"28"	"2"	"8"	"3"	"582"	"0"	"582"	""	""
"96"	"82"	"171"	"163"	"9"	"6"	"22"	"1"	"1"	"44"	"0"	"2"	"6"	"425"	"0"	"425"	""	""
"97"	"83"	"197"	"183"	"86"	"23"	"10"	"3"	"3"	"19"	"6"	"8"	"10"	"548"	"0"	"548"	""	""
"98"	"83 A"	"12"	"218"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"236"	"0"	"236"	""	""
"99"	"84"	"181"	"116"	"162"	"14"	"63"	"5"	"1"	"3"	"7"	"5"	"12"	"569"	"0"	"569"	""	""
"100"	"85"	"142"	"33"	"80"	"7"	"200"	"5"	"2"	"13"	"6"	"7"	"17"	"512"	"0"	"512"	""	""
"101"	"86"	"111"	"10"	"2"	"8"	"415"	"2"	"1"	"18"	"1"	"0"	"2"	"570"	"0"	"570"	""	""
"102"	"87"	"37"	"216"	"61"	"37"	"95"	"0"	"1"	"11"	"1"	"6"	"0"	"465"	"0"	"465"	""	""
"103"	"88"	"72"	"6"	"68"	"6"	"246"	"1"	"1"	"3"	"3"	"1"	"6"	"413"	"0"	"413"	""	""
"104"	"89"	"71"	"70"	"62"	"7"	"259"	"6"	"6"	"14"	"10"	"9"	"13"	"527"	"0"	"527"	""	""
"105"	"90"	"187"	"1"	"0"	"5"	"221"	"1"	"0"	"0"	"0"	"1"	"1"	"417"	"0"	"417"	""	""
"106"	"91"	"154"	"71"	"63"	"7"	"167"	"3"	"1"	"4"	"4"	"5"	"9"	"488"	"0"	"488"	""	""
"107"	"92"	"304"	"11"	"20"	"15"	"74"	"1"	"2"	"2"	"2"	"0"	"3"	"434"	"0"	"434"	""	""
"108"	"93"	"240"	"54"	"69"	"25"	"27"	"2"	"0"	"6"	"13"	"3"	"8"	"447"	"0"	"447"	""	""
"109"	"94"	"228"	"22"	"56"	"4"	"116"	"2"	"1"	"2"	"6"	"4"	"3"	"444"	"0"	"444"	""	""
"110"	"95"	"253"	"53"	"59"	"2"	"126"	"6"	"1"	"50"	"5"	"1"	"2"	"558"	"0"	"558"	""	""
"111"	"96"	"174"	"57"	"133"	"58"	"6"	"0"	"0"	"7"	"3"	"11"	"13"	"462"	"0"	"462"	""	""
"112"	"97"	"99"	"9"	"123"	"3"	"155"	"4"	"1"	"6"	"3"	"5"	"6"	"414"	"0"	"414"	""	""
"113"	"98"	"173"	"250"	"122"	"7"	"63"	"2"	"15"	"23"	"6"	"13"	"17"	"691"	"0"	"691"	""	""
"114"	"99"	"168"	"73"	"54"	"5"	"307"	"1"	"4"	"29"	"2"	"2"	"10"	"655"	"0"	"655"	""	""
"115"	"100"	"141"	"129"	"178"	"30"	"61"	"0"	"1"	"26"	"3"	"4"	"2"	"575"	"0"	"575"	""	""
"116"	"101"	"183"	"24"	"14"	"9"	"253"	"2"	"1"	"0"	"2"	"0"	"3"	"491"	"0"	"491"	""	""
"117"	"102"	"272"	"202"	"76"	"27"	"28"	"3"	"4"	"36"	"3"	"3"	"5"	"659"	"0"	"659"	""	""
"118"	"103"	"141"	"15"	"39"	"9"	"127"	"2"	"2"	"7"	"2"	"0"	"8"	"352"	"0"	"352"	""	""
"119"	"104"	"183"	"47"	"26"	"6"	"48"	"3"	"45"	"42"	"39"	"9"	"11"	"459"	"0"	"459"	""	""
"120"	"104 A"	"44"	"10"	"6"	"2"	"94"	"3"	"33"	"14"	"3"	"0"	"6"	"215"	"0"	"215"	""	""
"121"	"105"	"101"	"1"	"15"	"8"	"141"	"9"	"4"	"3"	"3"	"2"	"75"	"362"	"0"	"362"	""	""
"122"	"106"	"188"	"37"	"32"	"2"	"134"	"2"	"4"	"9"	"7"	"2"	"9"	"426"	"0"	"426"	""	""
"123"	"107"	"223"	"36"	"19"	"1"	"72"	"4"	"0"	"12"	"5"	"6"	"20"	"398"	"0"	"398"	""	""
"124"	"107 A"	"88"	"69"	"17"	"0"	"63"	"1"	"0"	"5"	"0"	"1"	"9"	"253"	"0"	"253"	""	""
"125"	"108"	"43"	"228"	"12"	"3"	"15"	"0"	"2"	"4"	"0"	"1"	"2"	"310"	"0"	"310"	""	""
"126"	"109"	"39"	"129"	"153"	"7"	"19"	"3"	"1"	"19"	"2"	"10"	"7"	"389"	"0"	"389"	""	""
"127"	"110"	"122"	"154"	"30"	"29"	"154"	"2"	"0"	"2"	"1"	"4"	"2"	"500"	"0"	"500"	""	""
"128"	"111"	"52"	"81"	"40"	"4"	"188"	"7"	"3"	"7"	"6"	"18"	"27"	"433"	"0"	"433"	""	""
"129"	"111 A"	"68"	"7"	"37"	"0"	"55"	"0"	"0"	"1"	"2"	"1"	"2"	"173"	"0"	"173"	""	""
"130"	"112"	"41"	"50"	"31"	"2"	"121"	"9"	"3"	"3"	"7"	"5"	"9"	"281"	"0"	"281"	""	""
"131"	"113"	"63"	"380"	"20"	"0"	"29"	"1"	"2"	"9"	"16"	"1"	"2"	"523"	"0"	"523"	""	""
"132"	"113 A"	"38"	"174"	"5"	"3"	"2"	"1"	"3"	"0"	"0"	"2"	"1"	"229"	"0"	"229"	""	""
"133"	"114"	"162"	"35"	"122"	"5"	"44"	"11"	"6"	"11"	"8"	"20"	"37"	"461"	"0"	"461"	""	""
"134"	"115"	"305"	"166"	"109"	"7"	"17"	"2"	"1"	"11"	"5"	"9"	"12"	"644"	"0"	"644"	""	""
"135"	"116"	"46"	"18"	"1"	"16"	"318"	"14"	"5"	"20"	"3"	"0"	"7"	"448"	"0"	"448"	""	""
"136"	"116 A"	"125"	"48"	"10"	"4"	"34"	"0"	"1"	"12"	"2"	"2"	"1"	"239"	"0"	"239"	""	""
"137"	"117"	"236"	"66"	"16"	"84"	"18"	"4"	"2"	"2"	"7"	"4"	"17"	"456"	"0"	"456"	""	""
"138"	"117 A"	"160"	"13"	"3"	"45"	"3"	"0"	"0"	"0"	"1"	"1"	"3"	"229"	"0"	"229"	""	""
"139"	"118"	"148"	"101"	"7"	"133"	"26"	"0"	"2"	"27"	"11"	"4"	"15"	"474"	"0"	"474"	""	""
"140"	"119"	"160"	"215"	"16"	"8"	"84"	"0"	"0"	"7"	"0"	"0"	"0"	"490"	"0"	"490"	""	""
"141"	"120"	"24"	"244"	"3"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"275"	"0"	"275"	""	""
"142"	"121"	"140"	"70"	"65"	"16"	"75"	"4"	"1"	"8"	"7"	"3"	"7"	"396"	"0"	"396"	""	""
"143"	"122"	"164"	"84"	"8"	"34"	"227"	"13"	"7"	"2"	"12"	"6"	"14"	"571"	"0"	"571"	""	""
"144"	"123"	"125"	"78"	"129"	"3"	"265"	"2"	"0"	"24"	"2"	"1"	"1"	"630"	"0"	"630"	""	""
"145"	"124"	"130"	"253"	"6"	"1"	"10"	"0"	"1"	"9"	"0"	"1"	"9"	"420"	"0"	"420"	""	""
"146"	"125"	"6"	"169"	"71"	"7"	"13"	"0"	"1"	"70"	"13"	"1"	"1"	"352"	"0"	"352"	""	""
"147"	"126"	"153"	"101"	"9"	"87"	"74"	"3"	"2"	"6"	"6"	"2"	"13"	"456"	"0"	"456"	""	""
"148"	"127"	"137"	"51"	"22"	"12"	"84"	"3"	"1"	"4"	"2"	"5"	"5"	"326"	"0"	"326"	""	""
"149"	"127 A"	"38"	"49"	"12"	"1"	"154"	"6"	"0"	"1"	"1"	"1"	"0"	"263"	"0"	"263"	""	""
"150"	"128"	"38"	"101"	"18"	"1"	"82"	"1"	"0"	"5"	"0"	"3"	"2"	"251"	"0"	"251"	""	""
"151"	"129"	"92"	"34"	"135"	"29"	"34"	"3"	"1"	"2"	"4"	"8"	"4"	"346"	"0"	"346"	""	""
"152"	"129 A"	"19"	"7"	"32"	"3"	"121"	"2"	"3"	"0"	"2"	"1"	"1"	"191"	"0"	"191"	""	""
"153"	"130"	"116"	"114"	"53"	"25"	"171"	"5"	"5"	"13"	"2"	"4"	"4"	"512"	"0"	"512"	""	""
"154"	"131"	"41"	"166"	"12"	"0"	"39"	"3"	"1"	"20"	"4"	"4"	"7"	"297"	"0"	"297"	""	""
"155"	"132"	"141"	"4"	"5"	"2"	"290"	"8"	"3"	"1"	"4"	"1"	"6"	"465"	"0"	"465"	""	""
"156"	"133"	"99"	"65"	"172"	"3"	"92"	"1"	"0"	"4"	"1"	"4"	"0"	"441"	"0"	"441"	""	""
"157"	"133 A"	"132"	"24"	"41"	"12"	"98"	"1"	"0"	"1"	"2"	"4"	"3"	"318"	"0"	"318"	""	""
"158"	"134"	"152"	"27"	"80"	"4"	"61"	"3"	"1"	"12"	"23"	"5"	"7"	"375"	"0"	"375"	""	""
"159"	"134 A"	"88"	"21"	"42"	"0"	"78"	"2"	"2"	"2"	"8"	"0"	"2"	"245"	"0"	"245"	""	""
"160"	"135"	"89"	"46"	"69"	"7"	"189"	"5"	"6"	"6"	"6"	"5"	"3"	"431"	"0"	"431"	""	""
"161"	"135 A"	"34"	"126"	"5"	"0"	"31"	"1"	"0"	"3"	"0"	"0"	"1"	"201"	"0"	"201"	""	""
"162"	"136"	"245"	"17"	"62"	"2"	"74"	"1"	"2"	"1"	"1"	"8"	"3"	"416"	"0"	"416"	""	""
"163"	"136 A"	"169"	"47"	"30"	"12"	"7"	"0"	"0"	"3"	"0"	"1"	"16"	"285"	"0"	"285"	""	""
"164"	"137"	"241"	"6"	"12"	"3"	"65"	"1"	"1"	"3"	"1"	"1"	"1"	"335"	"0"	"335"	""	""
"165"	"138"	"171"	"10"	"17"	"1"	"254"	"8"	"2"	"23"	"0"	"1"	"2"	"489"	"0"	"489"	""	""
"166"	"139"	"385"	"40"	"107"	"8"	"20"	"2"	"2"	"7"	"5"	"5"	"4"	"585"	"0"	"585"	""	""
"167"	"140"	"86"	"82"	"79"	"11"	"74"	"4"	"2"	"59"	"8"	"10"	"20"	"435"	"0"	"435"	""	""
"168"	"141"	"103"	"11"	"100"	"16"	"177"	"5"	"2"	"3"	"7"	"13"	"16"	"453"	"0"	"453"	""	""
"169"	"142"	"139"	"158"	"33"	"9"	"260"	"7"	"1"	"0"	"4"	"4"	"7"	"622"	"0"	"622"	""	""
"170"	"143"	"237"	"132"	"16"	"9"	"19"	"4"	"1"	"16"	"2"	"3"	"10"	"449"	"0"	"449"	""	""
"171"	"144"	"278"	"14"	"63"	"1"	"92"	"3"	"0"	"12"	"1"	"0"	"8"	"472"	"0"	"472"	""	""
"172"	"145"	"150"	"85"	"90"	"3"	"72"	"7"	"0"	"2"	"0"	"8"	"2"	"419"	"0"	"419"	""	""
"173"	"145 A"	"319"	"20"	"45"	"3"	"57"	"2"	"1"	"15"	"0"	"3"	"6"	"471"	"0"	"471"	""	""
"174"	"146"	"85"	"37"	"123"	"3"	"80"	"7"	"3"	"2"	"7"	"1"	"5"	"353"	"0"	"353"	""	""
"175"	"146 A"	"90"	"35"	"7"	"1"	"83"	"2"	"1"	"1"	"1"	"1"	"2"	"224"	"0"	"224"	""	""
"176"	"147"	"438"	"23"	"49"	"10"	"64"	"5"	"2"	"17"	"4"	"7"	"26"	"645"	"0"	"645"	""	""
"177"	"148"	"26"	"147"	"40"	"1"	"39"	"1"	"2"	"112"	"2"	"1"	"0"	"371"	"0"	"371"	""	""
"178"	"149"	"80"	"127"	"266"	"7"	"29"	"1"	"2"	"16"	"2"	"6"	"5"	"541"	"0"	"541"	""	""
"179"	"150"	"64"	"569"	"10"	"4"	"2"	"0"	"1"	"65"	"0"	"1"	"5"	"721"	"0"	"721"	""	""
"180"	"151"	"210"	"88"	"11"	"0"	"0"	"0"	"6"	"0"	"5"	"0"	"0"	"320"	"0"	"320"	""	""
"181"	"152"	"109"	"66"	"175"	"14"	"98"	"1"	"1"	"13"	"2"	"6"	"7"	"492"	"0"	"492"	""	""
"182"	"153"	"141"	"84"	"113"	"6"	"61"	"9"	"2"	"3"	"8"	"8"	"7"	"442"	"0"	"442"	""	""
"183"	"154"	"141"	"162"	"103"	"2"	"82"	"0"	"8"	"1"	"5"	"1"	"7"	"512"	"0"	"512"	""	""
"184"	"155"	"39"	"34"	"8"	"0"	"415"	"2"	"6"	"1"	"0"	"0"	"0"	"505"	"0"	"505"	""	""
"185"	"156"	"175"	"99"	"35"	"3"	"32"	"1"	"4"	"3"	"10"	"0"	"5"	"367"	"0"	"367"	""	""
"186"	"156 A"	"180"	"62"	"50"	"14"	"28"	"1"	"5"	"2"	"6"	"5"	"11"	"364"	"0"	"364"	""	""
"187"	"157"	"210"	"123"	"69"	"43"	"105"	"4"	"0"	"45"	"5"	"7"	"11"	"622"	"0"	"622"	""	""
"188"	"158"	"68"	"25"	"57"	"22"	"217"	"5"	"2"	"3"	"4"	"0"	"6"	"409"	"0"	"409"	""	""
"189"	"159"	"103"	"12"	"37"	"2"	"10"	"2"	"0"	"12"	"401"	"0"	"5"	"584"	"0"	"584"	""	""
"190"	"160"	"107"	"43"	"147"	"2"	"3"	"3"	"11"	"5"	"190"	"7"	"7"	"525"	"0"	"525"	""	""
"191"	"161"	"319"	"6"	"78"	"4"	"7"	"3"	"3"	"7"	"73"	"2"	"13"	"515"	"0"	"515"	""	""
"192"	"162"	"361"	"7"	"86"	"2"	"5"	"1"	"2"	"0"	"1"	"0"	"0"	"465"	"0"	"465"	""	""
"193"	"163"	"89"	"412"	"14"	"9"	"7"	"0"	"0"	"13"	"4"	"1"	"4"	"553"	"0"	"553"	""	""
"194"	"164"	"189"	"249"	"67"	"8"	"99"	"5"	"8"	"47"	"38"	"7"	"16"	"733"	"0"	"733"	""	""
"195"	"165"	"173"	"18"	"47"	"15"	"13"	"1"	"0"	"12"	"25"	"4"	"4"	"312"	"0"	"312"	""	""
"196"	"166"	"146"	"16"	"74"	"4"	"3"	"1"	"0"	"1"	"29"	"0"	"0"	"274"	"0"	"274"	""	""
"197"	"167"	"82"	"80"	"34"	"2"	"113"	"4"	"3"	"23"	"16"	"3"	"8"	"368"	"0"	"368"	""	""
"198"	"168"	"186"	"19"	"96"	"25"	"56"	"9"	"3"	"9"	"30"	"5"	"9"	"447"	"0"	"447"	""	""
"199"	"169"	"337"	"25"	"83"	"39"	"100"	"9"	"5"	"12"	"59"	"12"	"26"	"707"	"0"	"707"	""	""
"200"	"170"	"67"	"157"	"262"	"6"	"101"	"7"	"1"	"38"	"5"	"5"	"7"	"656"	"0"	"656"	""	""
