"Election.to.the..Bihar.Legislative..Assembly..From.95.SAMASTIPUR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"42"	"Page Total"	"2499"	"360"	"2205"	"5178"	"171"	"176"	"287"	"10876"	"0"	"10876"	"0"
"43"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"44"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"45"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"46"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"47"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"48"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"49"	"B.F."	"2499"	"360"	"2205"	"5178"	"171"	"176"	"287"	"10876"	"0"	"10876"	"0"
"50"	"26"	"49"	"6"	"157"	"53"	"2"	"8"	"6"	"281"	""	"281"	""
"51"	"26A"	"89"	"8"	"185"	"26"	"9"	"5"	"12"	"334"	""	"334"	""
"52"	"27"	"41"	"4"	"358"	"20"	"4"	"3"	"9"	"439"	""	"439"	""
"53"	"28"	"98"	"5"	"110"	"22"	"5"	"8"	"14"	"262"	""	"262"	""
"54"	"28A"	"14"	"5"	"155"	"29"	"2"	"3"	"5"	"213"	""	"213"	""
"55"	"29"	"41"	"2"	"189"	"23"	"4"	"0"	"2"	"261"	""	"261"	""
"56"	"29A"	"54"	"6"	"110"	"22"	"1"	"7"	"12"	"212"	""	"212"	""
"57"	"30"	"33"	"3"	"232"	"28"	"2"	"5"	"4"	"307"	""	"307"	""
"58"	"30A"	"89"	"4"	"193"	"37"	"2"	"5"	"11"	"341"	""	"341"	""
"59"	"31"	"188"	"10"	"39"	"221"	"12"	"7"	"24"	"501"	""	"501"	""
"60"	"31A"	"163"	"12"	"90"	"41"	"6"	"7"	"11"	"330"	""	"330"	""
"61"	"32"	"24"	"4"	"247"	"132"	"5"	"6"	"3"	"421"	""	"421"	""
"62"	"33"	"44"	"11"	"298"	"138"	"7"	"3"	"5"	"506"	""	"506"	""
"63"	"34"	"83"	"3"	"123"	"37"	"1"	"1"	"2"	"250"	""	"250"	""
"64"	"Page Total"	"3509"	"443"	"4691"	"6007"	"233"	"244"	"407"	"15534"	"0"	"15534"	"0"
"65"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"66"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"67"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"69"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"70"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"71"	"B.F."	"3509"	"443"	"4691"	"6007"	"233"	"244"	"407"	"15534"	"0"	"15534"	"0"
"72"	"34A"	"123"	"13"	"173"	"46"	"3"	"11"	"24"	"393"	""	"393"	""
"73"	"35"	"122"	"62"	"99"	"176"	"9"	"11"	"15"	"494"	""	"494"	""
"74"	"36"	"189"	"50"	"149"	"214"	"15"	"13"	"36"	"666"	""	"666"	""
"75"	"37"	"148"	"12"	"86"	"292"	"11"	"11"	"21"	"581"	""	"581"	""
"76"	"38"	"169"	"2"	"17"	"154"	"3"	"4"	"6"	"355"	""	"355"	""
"77"	"38A"	"207"	"8"	"33"	"155"	"4"	"3"	"11"	"421"	""	"421"	""
"78"	"39"	"164"	"14"	"30"	"220"	"5"	"4"	"18"	"455"	""	"455"	""
"79"	"39A"	"74"	"4"	"14"	"182"	"5"	"10"	"12"	"301"	""	"301"	""
"80"	"40"	"346"	"10"	"12"	"144"	"8"	"10"	"11"	"541"	""	"541"	""
"81"	"41"	"144"	"5"	"34"	"31"	"1"	"8"	"5"	"228"	""	"228"	""
"82"	"42"	"496"	"19"	"11"	"75"	"6"	"17"	"23"	"647"	""	"647"	""
"83"	"43"	"126"	"43"	"13"	"191"	"11"	"10"	"18"	"412"	""	"412"	""
"84"	"44"	"130"	"10"	"91"	"223"	"7"	"14"	"19"	"494"	""	"494"	""
"85"	"45"	"95"	"5"	"251"	"132"	"17"	"7"	"22"	"529"	""	"529"	""
"86"	"Page Total"	"6042"	"700"	"5704"	"8242"	"338"	"377"	"648"	"22051"	"0"	"22051"	"0"
"87"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"88"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"89"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"91"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"92"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"93"	"B.F."	"6042"	"700"	"5704"	"8242"	"338"	"377"	"648"	"22051"	"0"	"22051"	"0"
"94"	"46"	"149"	"19"	"199"	"74"	"6"	"16"	"23"	"486"	""	"486"	""
"95"	"47"	"107"	"10"	"184"	"29"	"6"	"3"	"9"	"348"	""	"348"	""
"96"	"48"	"93"	"0"	"234"	"267"	"10"	"0"	"16"	"620"	""	"620"	""
"97"	"49"	"208"	"7"	"142"	"147"	"3"	"7"	"20"	"534"	""	"534"	""
"98"	"50"	"94"	"17"	"97"	"246"	"6"	"9"	"10"	"479"	""	"479"	""
"99"	"51"	"58"	"10"	"37"	"276"	"9"	"3"	"2"	"395"	""	"395"	""
"100"	"51A"	"22"	"4"	"7"	"267"	"2"	"2"	"1"	"305"	""	"305"	""
"101"	"52"	"13"	"3"	"193"	"75"	"3"	"1"	"3"	"291"	""	"291"	""
"102"	"52A"	"22"	"7"	"111"	"252"	"3"	"2"	"6"	"403"	""	"403"	""
"103"	"53"	"17"	"9"	"136"	"356"	"8"	"11"	"12"	"549"	""	"549"	""
"104"	"54"	"17"	"5"	"272"	"11"	"2"	"3"	"1"	"311"	""	"311"	""
"105"	"54A"	"51"	"9"	"270"	"34"	"8"	"2"	"10"	"384"	""	"384"	""
"106"	"55"	"64"	"4"	"77"	"137"	"0"	"1"	"4"	"287"	""	"287"	""
"107"	"55A"	"82"	"10"	"105"	"158"	"7"	"9"	"15"	"386"	""	"386"	""
"108"	"Page Total"	"7039"	"814"	"7768"	"10571"	"411"	"446"	"780"	"27829"	"0"	"27829"	"0"
"109"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"110"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"111"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"112"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"113"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"114"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"115"	"B.F."	"7039"	"814"	"7768"	"10571"	"411"	"446"	"780"	"27829"	"0"	"27829"	"0"
"116"	"56"	"25"	"3"	"244"	"147"	"4"	"1"	"6"	"430"	""	"430"	""
"117"	"57"	"77"	"3"	"265"	"55"	"1"	"7"	"4"	"412"	""	"412"	""
"118"	"58"	"11"	"6"	"17"	"254"	"6"	"3"	"11"	"308"	""	"308"	""
"119"	"58A"	"18"	"5"	"210"	"134"	"7"	"5"	"11"	"390"	""	"390"	""
"120"	"59"	"138"	"20"	"260"	"254"	"7"	"6"	"14"	"699"	""	"699"	""
"121"	"60"	"235"	"16"	"136"	"217"	"10"	"13"	"8"	"635"	""	"635"	""
"122"	"61"	"94"	"14"	"115"	"207"	"7"	"16"	"23"	"476"	""	"476"	""
"123"	"62"	"152"	"15"	"159"	"171"	"12"	"9"	"19"	"537"	""	"537"	""
"124"	"63"	"125"	"22"	"301"	"81"	"4"	"6"	"3"	"542"	""	"542"	""
"125"	"64"	"13"	"1"	"280"	"46"	"3"	"3"	"7"	"353"	""	"353"	""
"126"	"65"	"11"	"2"	"155"	"87"	"3"	"0"	"2"	"260"	""	"260"	""
"127"	"66"	"57"	"5"	"34"	"340"	"3"	"2"	"3"	"444"	""	"444"	""
"128"	"67"	"70"	"3"	"40"	"96"	"2"	"5"	"8"	"224"	""	"224"	""
"129"	"68"	"21"	"0"	"8"	"136"	"1"	"4"	"0"	"170"	""	"170"	""
"130"	"Page Total"	"8086"	"929"	"9992"	"12796"	"481"	"526"	"899"	"33709"	"0"	"33709"	"0"
"131"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"132"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"133"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"134"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"135"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"136"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"137"	"B.F."	"8086"	"929"	"9992"	"12796"	"481"	"526"	"899"	"33709"	"0"	"33709"	"0"
"138"	"68A"	"12"	"3"	"25"	"241"	"3"	"1"	"3"	"288"	""	"288"	""
"139"	"69"	"45"	"1"	"42"	"167"	"4"	"3"	"5"	"267"	""	"267"	""
"140"	"69A"	"29"	"1"	"31"	"161"	"4"	"0"	"4"	"230"	""	"230"	""
"141"	"70"	"11"	"3"	"56"	"139"	"1"	"0"	"0"	"210"	""	"210"	""
"142"	"71"	"16"	"5"	"158"	"280"	"6"	"7"	"6"	"478"	""	"478"	""
"143"	"72"	"23"	"3"	"28"	"187"	"1"	"2"	"1"	"245"	""	"245"	""
"144"	"73"	"80"	"6"	"127"	"255"	"3"	"4"	"5"	"480"	""	"480"	""
"145"	"74"	"26"	"20"	"51"	"196"	"7"	"7"	"9"	"316"	""	"316"	""
"146"	"74A"	"41"	"1"	"17"	"76"	"1"	"4"	"2"	"142"	""	"142"	""
"147"	"75"	"87"	"15"	"69"	"228"	"6"	"13"	"17"	"435"	""	"435"	""
"148"	"76"	"47"	"9"	"111"	"288"	"7"	"2"	"3"	"467"	""	"467"	""
"149"	"77"	"19"	"2"	"32"	"255"	"3"	"1"	"1"	"313"	""	"313"	""
"150"	"78"	"7"	"0"	"13"	"198"	"2"	"0"	"0"	"220"	""	"220"	""
"151"	"79"	"69"	"0"	"28"	"156"	"2"	"1"	"3"	"259"	""	"259"	""
"152"	"Page Total"	"8598"	"998"	"10780"	"15623"	"531"	"571"	"958"	"38059"	"0"	"38059"	"0"
"153"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"154"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"155"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"156"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"157"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"158"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"159"	"B.F."	"8598"	"998"	"10780"	"15623"	"531"	"571"	"958"	"38059"	"0"	"38059"	"0"
"160"	"80"	"35"	"4"	"46"	"79"	"4"	"4"	"0"	"172"	""	"172"	""
"161"	"80A"	"11"	"1"	"30"	"178"	"7"	"3"	"0"	"230"	""	"230"	""
"162"	"81"	"23"	"1"	"22"	"189"	"10"	"0"	"1"	"246"	""	"246"	""
"163"	"81A"	"12"	"4"	"24"	"163"	"7"	"0"	"1"	"211"	""	"211"	""
"164"	"82"	"53"	"1"	"75"	"77"	"5"	"3"	"0"	"214"	""	"214"	""
"165"	"83"	"78"	"12"	"52"	"308"	"15"	"5"	"9"	"479"	""	"479"	""
"166"	"84"	"31"	"2"	"56"	"244"	"0"	"1"	"1"	"335"	""	"335"	""
"167"	"85"	"33"	"8"	"66"	"295"	"2"	"0"	"0"	"404"	""	"404"	""
"168"	"86"	"13"	"8"	"55"	"171"	"1"	"1"	"2"	"251"	""	"251"	""
"169"	"87"	"42"	"1"	"192"	"114"	"4"	"4"	"6"	"363"	""	"363"	""
"170"	"87A"	"32"	"7"	"76"	"136"	"0"	"3"	"4"	"258"	""	"258"	""
"171"	"88"	"1"	"1"	"135"	"237"	"1"	"0"	"3"	"378"	""	"378"	""
"172"	"89"	"8"	"3"	"70"	"163"	"1"	"1"	"0"	"246"	""	"246"	""
"173"	"90"	"15"	"1"	"43"	"283"	"4"	"1"	"3"	"350"	""	"350"	""
"174"	"Page Total"	"8985"	"1052"	"11722"	"18260"	"592"	"597"	"988"	"42196"	"0"	"42196"	"0"
"175"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"176"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"177"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"178"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"179"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"181"	"B.F."	"8985"	"1052"	"11722"	"18260"	"592"	"597"	"988"	"42196"	"0"	"42196"	"0"
"182"	"91"	"32"	"2"	"115"	"174"	"4"	"0"	"1"	"328"	""	"328"	""
"183"	"92"	"22"	"7"	"28"	"167"	"1"	"1"	"1"	"227"	""	"227"	""
"184"	"92A"	"19"	"20"	"39"	"172"	"1"	"2"	"3"	"256"	""	"256"	""
"185"	"93"	"21"	"6"	"148"	"119"	"5"	"4"	"11"	"314"	""	"314"	""
"186"	"93A"	"15"	"6"	"133"	"130"	"4"	"3"	"5"	"296"	""	"296"	""
"187"	"94"	"22"	"2"	"63"	"202"	"3"	"1"	"1"	"294"	""	"294"	""
"188"	"95"	"119"	"5"	"48"	"141"	"3"	"4"	"10"	"330"	""	"330"	""
"189"	"95A"	"15"	"1"	"37"	"81"	"2"	"1"	"0"	"137"	""	"137"	""
"190"	"96"	"57"	"6"	"54"	"189"	"5"	"2"	"3"	"316"	""	"316"	""
"191"	"96A"	"42"	"4"	"160"	"175"	"5"	"4"	"4"	"394"	""	"394"	""
"192"	"97"	"83"	"8"	"51"	"195"	"3"	"8"	"3"	"351"	""	"351"	""
"193"	"98"	"51"	"3"	"79"	"216"	"9"	"5"	"10"	"373"	""	"373"	""
"194"	"99"	"11"	"1"	"25"	"214"	"3"	"0"	"1"	"255"	""	"255"	""
"195"	"99A"	"9"	"5"	"29"	"155"	"2"	"0"	"0"	"200"	""	"200"	""
"196"	"Page Total"	"9503"	"1128"	"12731"	"20590"	"642"	"632"	"1041"	"46267"	"0"	"46267"	"0"
"197"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"198"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"203"	"B.F."	"9503"	"1128"	"12731"	"20590"	"642"	"632"	"1041"	"46267"	"0"	"46267"	"0"
"204"	"100"	"37"	"5"	"39"	"153"	"0"	"1"	"6"	"241"	""	"241"	""
"205"	"101"	"75"	"18"	"96"	"38"	"3"	"1"	"3"	"234"	""	"234"	""
"206"	"101A"	"39"	"6"	"160"	"59"	"11"	"4"	"4"	"283"	""	"283"	""
"207"	"102"	"130"	"10"	"18"	"208"	"3"	"4"	"6"	"379"	""	"379"	""
"208"	"103"	"20"	"1"	"68"	"260"	"7"	"5"	"11"	"372"	""	"372"	""
"209"	"104"	"106"	"19"	"183"	"99"	"17"	"13"	"26"	"463"	""	"463"	""
"210"	"105"	"204"	"15"	"45"	"307"	"7"	"3"	"17"	"598"	""	"598"	""
"211"	"106"	"77"	"8"	"40"	"281"	"6"	"5"	"15"	"432"	""	"432"	""
"212"	"107"	"43"	"10"	"25"	"185"	"4"	"6"	"11"	"284"	""	"284"	""
"213"	"108"	"91"	"12"	"133"	"175"	"9"	"12"	"20"	"452"	""	"452"	""
"214"	"109"	"227"	"4"	"42"	"295"	"5"	"7"	"7"	"587"	""	"587"	""
"215"	"110"	"7"	"6"	"120"	"83"	"1"	"6"	"5"	"228"	""	"228"	""
"216"	"111"	"75"	"12"	"194"	"196"	"13"	"12"	"4"	"506"	""	"506"	""
"217"	"112"	"8"	"2"	"30"	"295"	"1"	"0"	"0"	"336"	""	"336"	""
"218"	"Page Total"	"10642"	"1256"	"13924"	"23224"	"729"	"711"	"1176"	"51662"	"0"	"51662"	"0"
"219"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"220"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"221"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"222"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"223"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"224"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"225"	"B.F."	"10642"	"1256"	"13924"	"23224"	"729"	"711"	"1176"	"51662"	"0"	"51662"	"0"
"226"	"113"	"27"	"24"	"44"	"368"	"6"	"6"	"7"	"482"	""	"482"	""
"227"	"114"	"276"	"9"	"19"	"129"	"2"	"12"	"5"	"452"	""	"452"	""
"228"	"114A"	"130"	"10"	"84"	"122"	"6"	"5"	"12"	"369"	""	"369"	""
"229"	"115"	"38"	"4"	"24"	"250"	"3"	"6"	"21"	"346"	""	"346"	""
"230"	"116"	"17"	"26"	"7"	"357"	"5"	"3"	"6"	"421"	""	"421"	""
"231"	"117"	"68"	"11"	"223"	"76"	"4"	"1"	"5"	"388"	""	"388"	""
"232"	"118"	"50"	"16"	"270"	"69"	"8"	"6"	"11"	"430"	""	"430"	""
"233"	"119"	"201"	"21"	"45"	"225"	"8"	"9"	"16"	"525"	""	"525"	""
"234"	"120"	"226"	"6"	"38"	"88"	"3"	"4"	"6"	"371"	""	"371"	""
"235"	"120A"	"24"	"5"	"166"	"117"	"6"	"3"	"7"	"328"	""	"328"	""
"236"	"121"	"97"	"7"	"82"	"146"	"9"	"17"	"20"	"378"	""	"378"	""
"237"	"121A"	"168"	"6"	"122"	"20"	"3"	"1"	"3"	"323"	""	"323"	""
"238"	"122"	"302"	"19"	"75"	"166"	"3"	"11"	"16"	"592"	""	"592"	""
"239"	"123"	"113"	"15"	"157"	"324"	"14"	"7"	"16"	"646"	""	"646"	""
"240"	"Page Total"	"12379"	"1435"	"15280"	"25681"	"809"	"802"	"1327"	"57713"	"0"	"57713"	"0"
"241"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"242"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"243"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"244"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"245"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"246"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"247"	"B.F."	"12379"	"1435"	"15280"	"25681"	"809"	"802"	"1327"	"57713"	"0"	"57713"	"0"
"248"	"124"	"55"	"12"	"130"	"291"	"2"	"7"	"5"	"502"	""	"502"	""
"249"	"125"	"50"	"17"	"71"	"387"	"15"	"6"	"26"	"572"	""	"572"	""
"250"	"126"	"154"	"17"	"100"	"250"	"9"	"7"	"14"	"551"	""	"551"	""
"251"	"127"	"242"	"23"	"33"	"23"	"5"	"4"	"10"	"340"	""	"340"	""
"252"	"128"	"120"	"11"	"140"	"88"	"1"	"3"	"9"	"372"	""	"372"	""
"253"	"129"	"27"	"11"	"168"	"229"	"6"	"4"	"11"	"456"	""	"456"	""
"254"	"130"	"122"	"9"	"75"	"123"	"4"	"6"	"6"	"345"	""	"345"	""
"255"	"131"	"53"	"7"	"276"	"72"	"4"	"3"	"1"	"416"	""	"416"	""
"256"	"131A"	"9"	"1"	"259"	"45"	"5"	"3"	"1"	"323"	""	"323"	""
"257"	"132"	"15"	"28"	"436"	"129"	"6"	"4"	"6"	"624"	""	"624"	""
"258"	"133"	"13"	"9"	"39"	"314"	"9"	"2"	"7"	"393"	""	"393"	""
"259"	"134"	"28"	"21"	"221"	"143"	"5"	"7"	"6"	"431"	""	"431"	""
"260"	"135"	"28"	"8"	"45"	"226"	"5"	"6"	"4"	"322"	""	"322"	""
"261"	"136"	"101"	"10"	"79"	"276"	"4"	"7"	"12"	"489"	""	"489"	""
"262"	"Page Total"	"13396"	"1619"	"17352"	"28277"	"889"	"871"	"1445"	"63849"	"0"	"63849"	"0"
