"Total.No..of.Electors.in.Assembly.Constituency...249962"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"27"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"29"	"13A"	"12"	"154"	"200"	"2"	"2"	"2"	"5"	"377"	"0"	"377"	"0"	""
"30"	"14"	"2"	"27"	"378"	"6"	"2"	"1"	"1"	"417"	"0"	"417"	"0"	""
"31"	"15"	"7"	"16"	"270"	"5"	"11"	"1"	"1"	"311"	"0"	"311"	"0"	""
"32"	"15A"	"4"	"15"	"280"	"5"	"3"	"1"	"0"	"308"	"0"	"308"	"0"	""
"33"	"16"	"8"	"41"	"366"	"2"	"0"	"5"	"4"	"426"	"0"	"426"	"0"	""
"34"	"16A"	"7"	"7"	"358"	"9"	"1"	"4"	"2"	"388"	"0"	"388"	"0"	""
"35"	"17"	"9"	"381"	"60"	"8"	"8"	"2"	"3"	"471"	"0"	"471"	"0"	""
"36"	"18"	"3"	"39"	"208"	"9"	"127"	"10"	"7"	"403"	"0"	"403"	"0"	""
"37"	"19"	"4"	"43"	"108"	"15"	"176"	"3"	"1"	"350"	"0"	"350"	"0"	""
"38"	"20"	"15"	"388"	"109"	"5"	"1"	"2"	"3"	"523"	"0"	"523"	"0"	""
"39"	"21"	"6"	"498"	"69"	"1"	"2"	"1"	"7"	"584"	"0"	"584"	"0"	""
"40"	"22"	"19"	"499"	"116"	"4"	"4"	"1"	"4"	"647"	"0"	"647"	"0"	""
"41"	"23"	"5"	"35"	"488"	"8"	"2"	"2"	"4"	"544"	"0"	"544"	"0"	""
"42"	"24"	"7"	"239"	"230"	"6"	"2"	"0"	"1"	"485"	"0"	"485"	"0"	""
"43"	"Total"	"108"	"2382"	"3240"	"85"	"341"	"35"	"43"	"6234"	"0"	"6234"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"51"	"25"	"2"	"213"	"347"	"11"	"4"	"3"	"3"	"583"	"0"	"583"	"0"	""
"52"	"26"	"2"	"171"	"362"	"20"	"18"	"9"	"9"	"591"	"0"	"591"	"0"	""
"53"	"27"	"5"	"32"	"474"	"34"	"4"	"12"	"8"	"569"	"0"	"569"	"0"	""
"54"	"28"	"4"	"112"	"461"	"11"	"1"	"1"	"4"	"594"	"0"	"594"	"0"	""
"55"	"29"	"16"	"307"	"158"	"21"	"9"	"3"	"2"	"516"	"0"	"516"	"0"	""
"56"	"30"	"16"	"362"	"120"	"14"	"11"	"4"	"13"	"540"	"0"	"540"	"0"	""
"57"	"31"	"7"	"254"	"302"	"8"	"1"	"3"	"3"	"578"	"0"	"578"	"0"	""
"58"	"32"	"8"	"456"	"128"	"13"	"1"	"2"	"4"	"612"	"0"	"612"	"0"	""
"59"	"33"	"12"	"53"	"713"	"33"	"4"	"1"	"6"	"822"	"0"	"822"	"0"	""
"60"	"34"	"11"	"355"	"358"	"3"	"3"	"3"	"4"	"737"	"0"	"737"	"0"	""
"61"	"35"	"19"	"408"	"187"	"4"	"4"	"2"	"2"	"626"	"0"	"626"	"0"	""
"62"	"36"	"4"	"177"	"462"	"10"	"4"	"4"	"5"	"666"	"0"	"666"	"0"	""
"63"	"37"	"3"	"114"	"361"	"3"	"1"	"2"	"3"	"487"	"0"	"487"	"0"	""
"64"	"38"	"9"	"87"	"523"	"11"	"2"	"5"	"5"	"642"	"0"	"642"	"0"	""
"65"	"Total"	"118"	"3101"	"4956"	"196"	"67"	"54"	"71"	"8563"	"0"	"8563"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"73"	"39"	"10"	"226"	"121"	"3"	"1"	"1"	"1"	"363"	"0"	"363"	"0"	""
"74"	"40"	"7"	"212"	"379"	"12"	"4"	"2"	"3"	"619"	"0"	"619"	"0"	""
"75"	"41"	"39"	"27"	"234"	"3"	"2"	"6"	"0"	"311"	"0"	"311"	"0"	""
"76"	"42"	"8"	"158"	"132"	"5"	"1"	"1"	"4"	"309"	"0"	"309"	"0"	""
"77"	"42A"	"3"	"32"	"157"	"2"	"0"	"1"	"1"	"196"	"0"	"196"	"0"	""
"78"	"43"	"3"	"388"	"88"	"63"	"1"	"2"	"7"	"552"	"0"	"552"	"0"	""
"79"	"44"	"4"	"72"	"330"	"5"	"0"	"0"	"0"	"411"	"0"	"411"	"0"	""
"80"	"45"	"6"	"41"	"302"	"5"	"0"	"4"	"1"	"359"	"0"	"359"	"0"	""
"81"	"46"	"14"	"196"	"352"	"4"	"4"	"0"	"1"	"571"	"0"	"571"	"0"	""
"82"	"47"	"7"	"76"	"375"	"8"	"1"	"1"	"2"	"470"	"0"	"470"	"0"	""
"83"	"48"	"2"	"260"	"159"	"2"	"4"	"1"	"1"	"429"	"0"	"429"	"0"	""
"84"	"49"	"10"	"136"	"221"	"9"	"0"	"1"	"1"	"378"	"0"	"378"	"0"	""
"85"	"50"	"3"	"51"	"239"	"2"	"2"	"1"	"2"	"300"	"0"	"300"	"0"	""
"86"	"51"	"23"	"77"	"213"	"8"	"2"	"5"	"5"	"333"	"0"	"333"	"0"	""
"87"	"Total"	"139"	"1952"	"3302"	"131"	"22"	"26"	"29"	"5601"	"0"	"5601"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"95"	"52"	"6"	"84"	"307"	"15"	"5"	"7"	"3"	"427"	"0"	"427"	"0"	""
"96"	"53"	"8"	"63"	"359"	"3"	"2"	"1"	"2"	"438"	"0"	"438"	"0"	""
"97"	"54"	"19"	"440"	"59"	"5"	"4"	"2"	"0"	"529"	"0"	"529"	"0"	""
"98"	"55"	"22"	"347"	"207"	"7"	"4"	"5"	"1"	"593"	"0"	"593"	"0"	""
"99"	"56"	"26"	"132"	"187"	"8"	"8"	"4"	"1"	"366"	"0"	"366"	"0"	""
"100"	"56A"	"20"	"76"	"305"	"22"	"7"	"7"	"9"	"446"	"0"	"446"	"0"	""
"101"	"57"	"20"	"108"	"492"	"11"	"3"	"1"	"2"	"637"	"0"	"637"	"0"	""
"102"	"58"	"19"	"114"	"237"	"9"	"5"	"6"	"6"	"396"	"0"	"396"	"0"	""
"103"	"59"	"150"	"153"	"175"	"10"	"4"	"7"	"2"	"501"	"0"	"501"	"0"	""
"104"	"60"	"11"	"77"	"197"	"183"	"7"	"5"	"17"	"497"	"0"	"497"	"0"	""
"105"	"61"	"5"	"194"	"229"	"7"	"1"	"2"	"6"	"444"	"0"	"444"	"0"	""
"106"	"62"	"6"	"21"	"200"	"29"	"4"	"4"	"1"	"265"	"0"	"265"	"0"	""
"107"	"62A"	"5"	"92"	"104"	"22"	"2"	"3"	"1"	"229"	"0"	"229"	"0"	""
"108"	"63"	"0"	"44"	"373"	"15"	"1"	"2"	"2"	"437"	"0"	"437"	"0"	""
"109"	"Total"	"317"	"1945"	"3431"	"346"	"57"	"56"	"53"	"6205"	"0"	"6205"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"117"	"64"	"20"	"252"	"98"	"39"	"8"	"3"	"1"	"421"	"0"	"421"	"0"	""
"118"	"65"	"15"	"177"	"150"	"81"	"64"	"2"	"1"	"490"	"0"	"490"	"0"	""
"119"	"66"	"4"	"132"	"309"	"3"	"66"	"0"	"2"	"516"	"0"	"516"	"0"	""
"120"	"67"	"10"	"52"	"474"	"13"	"18"	"5"	"5"	"577"	"0"	"577"	"0"	""
"121"	"68"	"7"	"61"	"445"	"23"	"42"	"7"	"14"	"599"	"0"	"599"	"0"	""
"122"	"69"	"51"	"252"	"296"	"38"	"9"	"6"	"11"	"663"	"0"	"663"	"0"	""
"123"	"70"	"84"	"96"	"296"	"24"	"9"	"1"	"2"	"512"	"0"	"512"	"0"	""
"124"	"71"	"18"	"515"	"127"	"9"	"3"	"2"	"3"	"677"	"0"	"677"	"0"	""
"125"	"72"	"1"	"286"	"17"	"4"	"0"	"1"	"0"	"309"	"0"	"309"	"0"	""
"126"	"72A"	"6"	"250"	"5"	"2"	"2"	"0"	"1"	"266"	"0"	"266"	"0"	""
"127"	"73"	"19"	"61"	"394"	"65"	"9"	"8"	"10"	"566"	"0"	"566"	"0"	""
"128"	"74"	"10"	"113"	"92"	"19"	"7"	"0"	"0"	"241"	"0"	"241"	"0"	""
"129"	"74A"	"11"	"56"	"99"	"12"	"4"	"2"	"3"	"187"	"0"	"187"	"0"	""
"130"	"75"	"7"	"62"	"347"	"11"	"2"	"3"	"0"	"432"	"0"	"432"	"0"	""
"131"	"Total"	"263"	"2365"	"3149"	"343"	"243"	"40"	"53"	"6456"	"0"	"6456"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"139"	"76"	"11"	"35"	"383"	"5"	"7"	"1"	"0"	"442"	"0"	"442"	"0"	""
"140"	"77"	"55"	"378"	"146"	"178"	"5"	"7"	"8"	"777"	"0"	"777"	"0"	""
"141"	"78"	"16"	"377"	"33"	"2"	"1"	"1"	"1"	"431"	"0"	"431"	"0"	""
"142"	"78A"	"17"	"312"	"14"	"2"	"1"	"0"	"0"	"346"	"0"	"346"	"0"	""
"143"	"79"	"4"	"85"	"457"	"10"	"12"	"11"	"8"	"587"	"0"	"587"	"0"	""
"144"	"80"	"81"	"133"	"369"	"41"	"11"	"15"	"12"	"662"	"0"	"662"	"0"	""
"145"	"81"	"29"	"70"	"260"	"147"	"6"	"12"	"15"	"539"	"0"	"539"	"0"	""
"146"	"82"	"35"	"186"	"212"	"23"	"10"	"14"	"7"	"487"	"0"	"487"	"0"	""
"147"	"83"	"46"	"127"	"404"	"71"	"21"	"10"	"12"	"691"	"0"	"691"	"0"	""
"148"	"84"	"31"	"51"	"268"	"72"	"3"	"6"	"6"	"437"	"0"	"437"	"0"	""
"149"	"85"	"21"	"140"	"317"	"107"	"9"	"7"	"8"	"609"	"0"	"609"	"0"	""
"150"	"86"	"19"	"139"	"410"	"17"	"11"	"7"	"5"	"608"	"0"	"608"	"0"	""
"151"	"87"	"66"	"101"	"232"	"17"	"6"	"8"	"7"	"437"	"0"	"437"	"0"	""
"152"	"88"	"18"	"215"	"175"	"43"	"7"	"6"	"24"	"488"	"0"	"488"	"0"	""
"153"	"Total"	"449"	"2349"	"3680"	"735"	"110"	"105"	"113"	"7541"	"0"	"7541"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"159"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"161"	"89"	"17"	"213"	"282"	"10"	"25"	"12"	"16"	"575"	"0"	"575"	"0"	""
"162"	"90"	"13"	"128"	"15"	"25"	"0"	"1"	"2"	"184"	"0"	"184"	"0"	""
"163"	"91"	"28"	"61"	"209"	"61"	"9"	"6"	"11"	"385"	"0"	"385"	"0"	""
"164"	"92"	"73"	"224"	"226"	"71"	"8"	"11"	"9"	"622"	"0"	"622"	"0"	""
"165"	"93"	"86"	"26"	"186"	"7"	"2"	"11"	"4"	"322"	"0"	"322"	"0"	""
"166"	"94"	"16"	"88"	"216"	"114"	"8"	"12"	"15"	"469"	"0"	"469"	"0"	""
"167"	"95"	"57"	"170"	"163"	"10"	"1"	"7"	"1"	"409"	"0"	"409"	"0"	""
"168"	"96"	"9"	"256"	"51"	"8"	"4"	"7"	"5"	"340"	"0"	"340"	"0"	""
"169"	"97"	"31"	"145"	"252"	"42"	"6"	"5"	"15"	"496"	"0"	"496"	"0"	""
"170"	"98"	"15"	"114"	"310"	"10"	"15"	"13"	"14"	"491"	"0"	"491"	"0"	""
"171"	"99"	"4"	"223"	"155"	"13"	"3"	"6"	"24"	"428"	"0"	"428"	"0"	""
"172"	"100"	"5"	"164"	"238"	"29"	"14"	"15"	"13"	"478"	"0"	"478"	"0"	""
"173"	"101"	"60"	"123"	"317"	"46"	"5"	"3"	"1"	"555"	"0"	"555"	"0"	""
"174"	"102"	"118"	"206"	"280"	"46"	"19"	"18"	"20"	"707"	"0"	"707"	"0"	""
"175"	"Total"	"532"	"2141"	"2900"	"492"	"119"	"127"	"150"	"6461"	"0"	"6461"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"181"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"183"	"103"	"39"	"193"	"134"	"21"	"3"	"4"	"4"	"398"	"0"	"398"	"0"	""
"184"	"103A"	"29"	"304"	"70"	"9"	"3"	"3"	"3"	"421"	"0"	"421"	"0"	""
"185"	"104"	"127"	"228"	"186"	"11"	"9"	"13"	"14"	"588"	"0"	"588"	"0"	""
"186"	"105"	"71"	"150"	"153"	"46"	"5"	"4"	"12"	"441"	"0"	"441"	"0"	""
"187"	"106"	"25"	"211"	"169"	"13"	"5"	"4"	"7"	"434"	"0"	"434"	"0"	""
"188"	"107"	"68"	"257"	"154"	"13"	"4"	"10"	"9"	"515"	"0"	"515"	"0"	""
"189"	"108"	"13"	"184"	"158"	"5"	"6"	"3"	"8"	"377"	"0"	"377"	"0"	""
"190"	"109"	"74"	"238"	"195"	"39"	"17"	"13"	"10"	"586"	"0"	"586"	"0"	""
"191"	"110"	"49"	"75"	"77"	"2"	"6"	"7"	"7"	"223"	"0"	"223"	"0"	""
"192"	"111"	"27"	"62"	"249"	"75"	"13"	"5"	"11"	"442"	"0"	"442"	"0"	""
"193"	"112"	"24"	"218"	"271"	"33"	"6"	"8"	"13"	"573"	"0"	"573"	"0"	""
"194"	"113"	"16"	"62"	"215"	"19"	"7"	"7"	"5"	"331"	"0"	"331"	"0"	""
"195"	"114"	"16"	"81"	"419"	"39"	"13"	"7"	"9"	"584"	"0"	"584"	"0"	""
"196"	"115"	"24"	"191"	"290"	"27"	"15"	"13"	"7"	"567"	"0"	"567"	"0"	""
"197"	"Total"	"602"	"2454"	"2740"	"352"	"112"	"101"	"119"	"6480"	"0"	"6480"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"203"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"205"	"116"	"90"	"160"	"181"	"142"	"11"	"9"	"7"	"600"	"0"	"600"	"0"	""
"206"	"117"	"11"	"174"	"110"	"7"	"8"	"6"	"15"	"331"	"0"	"331"	"0"	""
"207"	"118"	"55"	"33"	"367"	"38"	"9"	"12"	"5"	"519"	"0"	"519"	"0"	""
"208"	"119"	"3"	"44"	"232"	"13"	"14"	"1"	"7"	"314"	"0"	"314"	"0"	""
"209"	"120"	"28"	"137"	"181"	"21"	"12"	"9"	"12"	"400"	"0"	"400"	"0"	""
"210"	"121"	"27"	"63"	"419"	"102"	"13"	"10"	"5"	"639"	"0"	"639"	"0"	""
"211"	"122"	"13"	"61"	"356"	"110"	"10"	"12"	"22"	"584"	"0"	"584"	"0"	""
"212"	"123"	"22"	"168"	"269"	"28"	"10"	"9"	"6"	"512"	"0"	"512"	"0"	""
"213"	"124"	"15"	"295"	"195"	"10"	"12"	"7"	"3"	"537"	"0"	"537"	"0"	""
"214"	"125"	"23"	"73"	"351"	"53"	"13"	"8"	"12"	"533"	"0"	"533"	"0"	""
"215"	"126"	"35"	"347"	"195"	"12"	"8"	"11"	"19"	"627"	"0"	"627"	"0"	""
"216"	"127"	"10"	"75"	"334"	"13"	"6"	"6"	"0"	"444"	"0"	"444"	"0"	""
"217"	"127A"	"5"	"29"	"247"	"18"	"22"	"7"	"7"	"335"	"0"	"335"	"0"	""
"218"	"128"	"66"	"124"	"194"	"7"	"8"	"13"	"8"	"420"	"0"	"420"	"0"	""
"219"	"Total"	"403"	"1783"	"3631"	"574"	"156"	"120"	"128"	"6795"	"0"	"6795"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"225"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"227"	"128A"	"5"	"58"	"229"	"21"	"5"	"6"	"6"	"330"	"0"	"330"	"0"	""
"228"	"129"	"19"	"149"	"494"	"22"	"7"	"11"	"6"	"708"	"0"	"708"	"0"	""
"229"	"130"	"32"	"95"	"328"	"12"	"5"	"8"	"8"	"488"	"0"	"488"	"0"	""
"230"	"131"	"10"	"83"	"152"	"9"	"2"	"1"	"3"	"260"	"0"	"260"	"0"	""
"231"	"132"	"18"	"208"	"232"	"27"	"11"	"4"	"6"	"506"	"0"	"506"	"0"	""
"232"	"133"	"67"	"166"	"115"	"14"	"8"	"6"	"7"	"383"	"0"	"383"	"0"	""
"233"	"134"	"168"	"32"	"126"	"26"	"8"	"5"	"3"	"368"	"0"	"368"	"0"	""
"234"	"135"	"29"	"123"	"301"	"6"	"12"	"14"	"9"	"494"	"0"	"494"	"0"	""
"235"	"136"	"13"	"240"	"292"	"12"	"13"	"6"	"5"	"581"	"0"	"581"	"0"	""
