"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"11"	"35"	""	"135"	""	"14"	""	"180"	""	"168"	""	""	""	"3"	""	""	"3"	""	""	"5"	""	""	""	"2"	""	""	"10"	""	"4"	""	""	"18"	""	""	"27"	""	""	"604"	""	""	""	""	"604"	""	""	""	""	""	""	""
"14"	"12"	"34"	""	"328"	""	"9"	""	"14"	""	"157"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	"2"	""	""	"2"	""	"5"	""	""	"9"	""	""	"9"	""	""	"576"	""	""	""	""	"576"	""	""	""	""	""	""	""
"15"	"13"	"38"	""	"122"	""	"2"	""	"3"	""	"161"	""	""	""	"2"	""	""	"1"	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"6"	""	""	"341"	""	""	""	""	"341"	""	""	""	""	""	""	""
"16"	"14"	"12"	""	"95"	""	"3"	""	"5"	""	"273"	""	""	""	"16"	""	""	"5"	""	""	"6"	""	""	""	"10"	""	""	"9"	""	"4"	""	""	"18"	""	""	"22"	""	""	"478"	""	""	""	""	"478"	""	""	""	""	""	""	""
"17"	"Total"	"610"	""	"2541"	""	"59"	""	"282"	""	"1746"	""	""	""	"44"	""	""	"25"	""	""	"51"	""	""	""	"30"	""	""	"37"	""	"28"	""	""	"97"	""	""	"155"	""	""	"5705"	""	""	""	""	"5705"	""	"0"	""	""	""	""	""
"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Grand Total"	"610"	""	"2541"	""	"59"	""	"282"	""	"1746"	""	""	""	"44"	""	""	"25"	""	""	"51"	""	""	""	"30"	""	""	"37"	""	"28"	""	""	"97"	""	""	"155"	""	""	"5705"	""	""	"0"	""	"5705"	""	"0"	""	""	""	""	""
"20"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"24"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	""	"Shyam Rajak"	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"15"	""	"25"	""	"140"	""	"3"	""	"119"	""	""	"72"	""	""	"2"	""	""	"3"	""	""	""	"3"	""	""	"4"	""	"2"	""	""	"6"	""	""	"13"	""	""	"15"	""	""	"407"	""	""	""	"407"	""	""	""	""	""	""	""
"26"	"16"	""	"7"	""	"284"	""	""	""	"1"	""	""	"52"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"345"	""	""	""	"345"	""	""	""	""	""	""	""
"27"	"17"	""	"15"	""	"197"	""	"2"	""	""	""	""	"124"	""	""	"6"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"2"	""	""	"1"	""	""	"5"	""	""	"5"	""	""	"362"	""	""	""	"362"	""	""	""	""	""	""	""
"28"	"18"	""	"18"	""	"220"	""	"32"	""	"124"	""	""	"73"	""	""	"8"	""	""	"3"	""	""	""	"5"	""	""	""	""	"6"	""	""	"2"	""	""	"7"	""	""	"8"	""	""	"506"	""	""	""	"506"	""	""	""	""	""	""	""
"29"	"19"	""	"16"	""	"28"	""	"5"	""	"3"	""	""	"272"	""	""	"6"	""	""	"6"	""	""	""	"3"	""	""	"9"	""	"4"	""	""	"1"	""	""	"11"	""	""	"14"	""	""	"378"	""	""	""	"378"	""	""	""	""	""	""	""
"30"	"20"	""	"7"	""	"78"	""	"7"	""	"55"	""	""	"164"	""	""	"10"	""	""	"1"	""	""	""	"4"	""	""	"3"	""	"5"	""	""	"4"	""	""	"13"	""	""	"15"	""	""	"366"	""	""	""	"366"	""	""	""	""	""	""	""
"31"	"21"	""	"55"	""	"152"	""	"95"	""	"20"	""	""	"132"	""	""	"4"	""	""	"4"	""	""	""	"2"	""	""	"2"	""	"1"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"482"	""	""	""	"482"	""	""	""	""	""	""	""
"32"	"22"	""	"38"	""	"378"	""	"6"	""	"8"	""	""	"131"	""	""	"9"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"1"	""	""	"4"	""	""	"7"	""	""	"7"	""	""	"594"	""	""	""	"594"	""	""	""	""	""	""	""
"33"	"23"	""	"8"	""	"110"	""	""	""	"8"	""	""	"115"	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"3"	""	""	"3"	""	""	"2"	""	""	"251"	""	""	""	"251"	""	""	""	""	""	""	""
"34"	"24"	""	"55"	""	"171"	""	"3"	""	"37"	""	""	"193"	""	""	"10"	""	""	"7"	""	""	""	"9"	""	""	"2"	""	""	""	""	"5"	""	""	"15"	""	""	"18"	""	""	"525"	""	""	""	"525"	""	""	""	""	""	""	""
"35"	"25"	""	"42"	""	"194"	""	"8"	""	"6"	""	""	"227"	""	""	"12"	""	""	"6"	""	""	""	"3"	""	""	"6"	""	"3"	""	""	"5"	""	""	"12"	""	""	"10"	""	""	"534"	""	""	""	"534"	""	""	""	""	""	""	""
"36"	"26"	""	"28"	""	"154"	""	"10"	""	"98"	""	""	"115"	""	""	"3"	""	""	"3"	""	""	""	"5"	""	""	"1"	""	"1"	""	""	"3"	""	""	"10"	""	""	"8"	""	""	"439"	""	""	""	"439"	""	""	""	""	""	""	""
"37"	"26A"	""	"2"	""	"125"	""	"8"	""	"17"	""	""	"73"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	""	""	"3"	""	""	"232"	""	""	""	"232"	""	""	""	""	""	""	""
"38"	"27"	""	"24"	""	"208"	""	"49"	""	"26"	""	""	"155"	""	""	"11"	""	""	"4"	""	""	""	"6"	""	""	"1"	""	"3"	""	""	"3"	""	""	"12"	""	""	"21"	""	""	"523"	""	""	""	"523"	""	""	""	""	""	""	""
"39"	"Total"	""	"340"	""	"2439"	""	"228"	""	"522"	""	""	"1898"	""	""	"83"	""	""	"39"	""	""	""	"45"	""	""	"33"	""	"28"	""	""	"41"	""	""	"116"	""	""	"132"	""	""	"5944"	""	""	""	"5944"	""	""	"0"	""	""	""	""
"40"	"Till Last Round"	""	"610"	""	"2541"	""	"59"	""	"282"	""	""	"1746"	""	""	"44"	""	""	"25"	""	""	""	"51"	""	""	"30"	""	"37"	""	""	"28"	""	""	"97"	""	""	"155"	""	""	"5705"	""	"0"	""	"5705"	""	""	"0"	""	""	""	""
"41"	"Grand Total"	""	"950"	""	"4980"	""	"287"	""	"804"	""	""	"3644"	""	""	"127"	""	""	"64"	""	""	""	"96"	""	""	"63"	""	"65"	""	""	"69"	""	""	"213"	""	""	"287"	""	""	"11649"	""	"0"	""	"11649"	""	""	"0"	""	""	""	""
"42"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"44"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	""	"Lilawati Dayal"	"Vidyanad Vikal"	""	""	"Shyam Rajak"	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"28"	"24"	""	"112"	""	""	"12"	"144"	""	""	"170"	""	""	"4"	""	""	"4"	""	""	""	"4"	""	""	""	"2"	""	"6"	""	"1"	""	""	"10"	""	""	"5"	""	""	"498"	""	""	""	""	"498"	""	""	""	""	""	""	""
"46"	"29"	""	""	"37"	""	""	"25"	"12"	""	""	"83"	""	""	"6"	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"2"	""	"1"	""	""	"3"	""	""	"11"	""	""	"183"	""	""	""	""	"183"	""	""	""	""	""	""	""
"47"	"30"	"29"	""	"129"	""	""	"11"	"212"	""	""	"37"	""	""	"3"	""	""	"6"	""	""	""	"6"	""	""	""	"1"	""	"5"	""	"6"	""	""	"12"	""	""	"25"	""	""	"482"	""	""	""	""	"482"	""	""	""	""	""	""	""
"48"	"31"	"44"	""	"93"	""	""	"29"	"34"	""	""	"177"	""	""	"9"	""	""	"8"	""	""	""	"5"	""	""	""	"7"	""	"3"	""	"8"	""	""	"8"	""	""	"12"	""	""	"437"	""	""	""	""	"437"	""	""	""	""	""	""	""
"49"	"32"	"4"	""	"226"	""	""	"1"	"2"	""	""	"110"	""	""	"23"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	"3"	""	"1"	""	""	"8"	""	""	"7"	""	""	"390"	""	""	""	""	"390"	""	""	""	""	""	""	""
"50"	"33"	"53"	""	"44"	""	""	"8"	"29"	""	""	"271"	""	""	"8"	""	""	"2"	""	""	""	"3"	""	""	""	"5"	""	"3"	""	"5"	""	""	"6"	""	""	"11"	""	""	"448"	""	""	""	""	"448"	""	""	""	""	""	""	""
"51"	"34"	"40"	""	"196"	""	""	"5"	"107"	""	""	"67"	""	""	"5"	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	"2"	""	"4"	""	""	"12"	""	""	"9"	""	""	"456"	""	""	""	""	"456"	""	""	""	""	""	""	""
"52"	"35"	"11"	""	"210"	""	""	"14"	"6"	""	""	"92"	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	"1"	""	""	"6"	""	""	""	""	""	"345"	""	""	""	""	"345"	""	""	""	""	""	""	""
"53"	"36"	"19"	""	"32"	""	""	"2"	"48"	""	""	"121"	""	""	"5"	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"4"	""	""	"13"	""	""	"251"	""	""	""	""	"251"	""	""	""	""	""	""	""
"54"	"37"	"15"	""	"104"	""	""	"2"	"8"	""	""	"181"	""	""	"6"	""	""	"3"	""	""	""	"7"	""	""	""	"2"	""	"1"	""	""	""	""	"3"	""	""	"3"	""	""	"335"	""	""	""	""	"335"	""	""	""	""	""	""	""
"55"	"38"	"43"	""	"133"	""	""	"7"	"24"	""	""	"185"	""	""	"4"	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	"3"	""	"6"	""	""	"6"	""	""	"9"	""	""	"426"	""	""	""	""	"426"	""	""	""	""	""	""	""
"56"	"39"	"22"	""	"66"	""	""	"30"	"49"	""	""	"288"	""	""	"9"	""	""	"1"	""	""	""	"5"	""	""	""	"3"	""	"2"	""	"2"	""	""	"4"	""	""	"6"	""	""	"487"	""	""	""	""	"487"	""	""	""	""	""	""	""
"57"	"40"	"32"	""	"279"	""	""	"7"	"30"	""	""	"95"	""	""	"1"	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	"3"	""	""	""	""	"10"	""	""	"1"	""	""	"465"	""	""	""	""	"465"	""	""	""	""	""	""	""
"58"	"41"	"131"	""	"62"	""	""	"33"	"34"	""	""	"142"	""	""	"7"	""	""	"4"	""	""	""	"3"	""	""	""	"4"	""	"2"	""	"3"	""	""	"5"	""	""	"19"	""	""	"449"	""	""	""	""	"449"	""	""	""	""	""	""	""
"59"	"Total"	"467"	""	"1723"	""	""	"186"	"739"	""	""	"2019"	""	""	"93"	""	""	"43"	""	""	""	"50"	""	""	""	"29"	""	"36"	""	"39"	""	""	"97"	""	""	"131"	""	""	"5652"	""	""	""	""	"5652"	""	"0"	""	""	""	""	""
"60"	"Till Last Round"	"950"	""	"4980"	""	""	"287"	"804"	""	""	"3644"	""	""	"127"	""	""	"64"	""	""	""	"96"	""	""	""	"63"	""	"65"	""	"69"	""	""	"213"	""	""	"287"	""	""	"11649"	""	""	"0"	""	"11649"	""	"0"	""	""	""	""	""
"61"	"Grand Total"	"1417"	""	"6703"	""	""	"473"	"1543"	""	""	"5663"	""	""	"220"	""	""	"107"	""	""	""	"146"	""	""	""	"92"	""	"101"	""	"108"	""	""	"310"	""	""	"418"	""	""	"17301"	""	""	"0"	""	"17301"	""	"0"	""	""	""	""	""
"62"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"64"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	""	"Shyam Rajak"	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"42"	""	"41"	""	"251"	""	"4"	""	"14"	""	""	"87"	""	""	"3"	""	""	"4"	""	""	""	"1"	""	""	"3"	""	"1"	""	""	"2"	""	""	"4"	""	""	"6"	""	""	"421"	""	""	""	"421"	""	""	""	""	""	""	""
"66"	"43"	""	"15"	""	"91"	""	"2"	""	"8"	""	""	"113"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	""	"1"	""	""	"4"	""	""	"8"	""	""	"249"	""	""	""	"249"	""	""	""	""	""	""	""
"67"	"44"	""	"78"	""	"136"	""	"2"	""	"4"	""	""	"123"	""	""	"5"	""	""	""	""	""	""	"2"	""	""	"2"	""	"2"	""	""	"2"	""	""	"14"	""	""	"6"	""	""	"376"	""	""	""	"376"	""	""	""	""	""	""	""
"68"	"45"	""	"20"	""	"255"	""	"3"	""	"6"	""	""	"79"	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	"5"	""	""	"385"	""	""	""	"385"	""	""	""	""	""	""	""
"69"	"46"	""	"44"	""	"146"	""	"3"	""	"4"	""	""	"170"	""	""	"6"	""	""	""	""	""	""	"3"	""	""	"1"	""	"3"	""	""	"1"	""	""	"4"	""	""	"7"	""	""	"392"	""	""	""	"392"	""	""	""	""	""	""	""
"70"	"47"	""	"14"	""	"217"	""	"1"	""	"11"	""	""	"135"	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	"392"	""	""	""	"392"	""	""	""	""	""	""	""
"71"	"48"	""	"8"	""	"95"	""	"2"	""	"4"	""	""	"65"	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	"187"	""	""	""	"187"	""	""	""	""	""	""	""
"72"	"49"	""	"30"	""	"89"	""	"1"	""	"40"	""	""	"169"	""	""	"5"	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"5"	""	""	"351"	""	""	""	"351"	""	""	""	""	""	""	""
"73"	"50"	""	"19"	""	"145"	""	""	""	"3"	""	""	"72"	""	""	"3"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	"5"	""	""	"250"	""	""	""	"250"	""	""	""	""	""	""	""
"74"	"51"	""	"2"	""	"209"	""	"1"	""	"3"	""	""	"8"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"224"	""	""	""	"224"	""	""	""	""	""	""	""
"75"	"52"	""	"88"	""	"51"	""	"4"	""	"103"	""	""	"113"	""	""	"10"	""	""	"4"	""	""	""	"5"	""	""	"3"	""	"3"	""	""	"2"	""	""	"5"	""	""	"17"	""	""	"408"	""	""	""	"408"	""	""	""	""	""	""	""
"76"	"53"	""	"6"	""	"172"	""	"2"	""	"4"	""	""	"89"	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"284"	""	""	""	"284"	""	""	""	""	""	""	""
"77"	"54"	""	"101"	""	"34"	""	"6"	""	"74"	""	""	"52"	""	""	"1"	""	""	"1"	""	""	""	"6"	""	""	"2"	""	"6"	""	""	"6"	""	""	"11"	""	""	"18"	""	""	"318"	""	""	""	"318"	""	""	""	""	""	""	""
"78"	"55"	""	"10"	""	"144"	""	"4"	""	"71"	""	""	"7"	""	""	""	""	""	"4"	""	""	""	"1"	""	""	"3"	""	"2"	""	""	"4"	""	""	"7"	""	""	"9"	""	""	"266"	""	""	""	"266"	""	""	""	""	""	""	""
"79"	"Total"	""	"476"	""	"2035"	""	"35"	""	"349"	""	""	"1282"	""	""	"46"	""	""	"24"	""	""	""	"27"	""	""	"18"	""	"22"	""	""	"23"	""	""	"67"	""	""	"99"	""	""	"4503"	""	""	""	"4503"	""	""	"0"	""	""	""	""
"80"	"Till Last Round"	""	"1417"	""	"6703"	""	"473"	""	"1543"	""	""	"5663"	""	""	"220"	""	""	"107"	""	""	""	"146"	""	""	"92"	""	"101"	""	""	"108"	""	""	"310"	""	""	"418"	""	""	"17301"	""	"0"	""	"17301"	""	""	"0"	""	""	""	""
"81"	"Grand Total"	""	"1893"	""	"8738"	""	"508"	""	"1892"	""	""	"6945"	""	""	"266"	""	""	"131"	""	""	""	"173"	""	""	"110"	""	"123"	""	""	"131"	""	""	"377"	""	""	"517"	""	""	"21804"	""	"0"	""	"21804"	""	""	"0"	""	""	""	""
"82"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 193-PHULWARI  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"ROUND-5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"90"	"Serial no. of polling station"	""	"Ambika Prasad"	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	"Yugesh Das"	""	""	"Ram
Chandra Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
