"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE185 - BAKHTIARPUR  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ROUND-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185 BAKHTIARUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"9"	"Serial no. of polling station"	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	""	""	"Lal Krishna Yadav"	""	"Vinode Yadav"	"Kumar Indradeo
Prasad"	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"31"	"Serial no. of polling station"	""	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	"Lal Krishna Yadav"	""	""	"Vinode Yadav"	""	"Kumar Indradeo
Prasad"	""	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"15"	""	"192"	""	"8"	""	"35"	""	""	"42"	""	"1"	""	""	"0"	""	""	"3"	""	""	"10"	""	""	"291"	""	""	""	""	"291"	""	""	""	""	""	""	""
"33"	"16"	""	"245"	""	"14"	""	"17"	""	""	"65"	""	"6"	""	""	"2"	""	""	"11"	""	""	"22"	""	""	"382"	""	""	""	""	"382"	""	""	""	""	""	""	""
"34"	"17"	""	"306"	""	"14"	""	"36"	""	""	"97"	""	"5"	""	""	"2"	""	""	"6"	""	""	"7"	""	""	"473"	""	""	""	""	"473"	""	""	""	""	""	""	""
"35"	"18"	""	"339"	""	"1"	""	"5"	""	""	"66"	""	"6"	""	""	"0"	""	""	"1"	""	""	"4"	""	""	"422"	""	""	""	""	"422"	""	""	""	""	""	""	""
"36"	"18A"	""	"160"	""	"4"	""	"5"	""	""	"136"	""	"9"	""	""	"3"	""	""	"4"	""	""	"8"	""	""	"329"	""	""	""	""	"329"	""	""	""	""	""	""	""
"37"	"19"	""	"368"	""	"7"	""	"4"	""	""	"76"	""	"9"	""	""	"6"	""	""	"6"	""	""	"22"	""	""	"498"	""	""	""	""	"498"	""	""	""	""	""	""	""
"38"	"20"	""	"389"	""	"25"	""	"31"	""	""	"89"	""	"12"	""	""	"7"	""	""	"10"	""	""	"21"	""	""	"584"	""	""	""	""	"584"	""	""	""	""	""	""	""
"39"	"21"	""	"87"	""	"81"	""	"20"	""	""	"169"	""	"5"	""	""	"3"	""	""	"5"	""	""	"5"	""	""	"375"	""	""	""	""	"375"	""	""	""	""	""	""	""
"40"	"22"	""	"137"	""	"5"	""	"2"	""	""	"21"	""	"3"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"173"	""	""	""	""	"173"	""	""	""	""	""	""	""
"41"	"23"	""	"88"	""	"1"	""	"38"	""	""	"276"	""	"11"	""	""	"9"	""	""	"10"	""	""	"13"	""	""	"446"	""	""	""	""	"446"	""	""	""	""	""	""	""
"42"	"24"	""	"158"	""	"7"	""	"13"	""	""	"55"	""	"2"	""	""	"1"	""	""	"4"	""	""	"14"	""	""	"254"	""	""	""	""	"254"	""	""	""	""	""	""	""
"43"	"24A"	""	"90"	""	"3"	""	"18"	""	""	"53"	""	"6"	""	""	"2"	""	""	"6"	""	""	"18"	""	""	"196"	""	""	""	""	"196"	""	""	""	""	""	""	""
"44"	"25"	""	"9"	""	"1"	""	"54"	""	""	"258"	""	"6"	""	""	"0"	""	""	"2"	""	""	"4"	""	""	"334"	""	""	""	""	"334"	""	""	""	""	""	""	""
"45"	"26"	""	"101"	""	"1"	""	"76"	""	""	"148"	""	"5"	""	""	"7"	""	""	"9"	""	""	"10"	""	""	"357"	""	""	""	""	"357"	""	""	""	""	""	""	""
"46"	"Total"	""	"2669"	""	"172"	""	"354"	""	""	"1551"	""	"86"	""	""	"44"	""	""	"79"	""	""	"159"	""	""	"5114"	""	""	""	""	"5114"	""	"0"	""	""	""	""	""
"47"	"Till Last Round"	""	"1194"	""	"155"	""	"579"	""	""	"2240"	""	"85"	""	""	"48"	""	""	"69"	""	""	"145"	""	""	"4515"	""	""	"0"	""	"4515"	""	"0"	""	""	""	""	""
"48"	"Grand Total"	""	"3863"	""	"327"	""	"933"	""	""	"3791"	""	"171"	""	""	"92"	""	""	"148"	""	""	"304"	""	""	"9629"	""	""	"0"	""	"9629"	""	"0"	""	""	""	""	""
"49"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185 BAKHTIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"53"	"Serial no. of polling station"	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	"Lal Krishna Yadav"	""	""	"Vinode Yadav"	""	""	"Kumar Indradeo
Prasad"	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"27"	"33"	""	"14"	""	"3"	""	""	"270"	""	""	"8"	""	"1"	""	""	"2"	""	""	"9"	""	""	"340"	""	""	""	""	"340"	""	""	""	""	""	""	""	""
"55"	"27A"	"16"	""	"5"	""	"45"	""	""	"296"	""	""	"7"	""	"5"	""	""	"10"	""	""	"13"	""	""	"397"	""	""	""	""	"397"	""	""	""	""	""	""	""	""
"56"	"28"	"50"	""	"3"	""	"41"	""	""	"384"	""	""	"8"	""	"7"	""	""	"4"	""	""	"9"	""	""	"506"	""	""	""	""	"506"	""	""	""	""	""	""	""	""
"57"	"29"	"36"	""	"17"	""	"165"	""	""	"251"	""	""	"4"	""	"8"	""	""	"9"	""	""	"10"	""	""	"500"	""	""	""	""	"500"	""	""	""	""	""	""	""	""
"58"	"30"	"252"	""	"20"	""	"29"	""	""	"125"	""	""	"10"	""	"8"	""	""	"20"	""	""	"39"	""	""	"503"	""	""	""	""	"503"	""	""	""	""	""	""	""	""
"59"	"31"	"13"	""	"6"	""	"6"	""	""	"407"	""	""	"16"	""	"3"	""	""	"8"	""	""	"1"	""	""	"460"	""	""	""	""	"460"	""	""	""	""	""	""	""	""
"60"	"32"	"48"	""	"2"	""	"84"	""	""	"205"	""	""	"6"	""	"4"	""	""	"8"	""	""	"6"	""	""	"363"	""	""	""	""	"363"	""	""	""	""	""	""	""	""
"61"	"33"	"98"	""	"20"	""	"179"	""	""	"129"	""	""	"6"	""	"7"	""	""	"7"	""	""	"16"	""	""	"462"	""	""	""	""	"462"	""	""	""	""	""	""	""	""
"62"	"34"	"19"	""	"2"	""	"12"	""	""	"250"	""	""	"15"	""	"5"	""	""	"10"	""	""	"9"	""	""	"322"	""	""	""	""	"322"	""	""	""	""	""	""	""	""
"63"	"35"	"84"	""	"2"	""	"75"	""	""	"113"	""	""	"4"	""	"0"	""	""	"6"	""	""	"7"	""	""	"291"	""	""	""	""	"291"	""	""	""	""	""	""	""	""
"64"	"36"	"74"	""	"15"	""	"89"	""	""	"226"	""	""	"13"	""	"7"	""	""	"10"	""	""	"15"	""	""	"449"	""	""	""	""	"449"	""	""	""	""	""	""	""	""
"65"	"37"	"105"	""	"6"	""	"7"	""	""	"137"	""	""	"6"	""	"0"	""	""	"2"	""	""	"5"	""	""	"268"	""	""	""	""	"268"	""	""	""	""	""	""	""	""
"66"	"38"	"78"	""	"93"	""	"19"	""	""	"286"	""	""	"4"	""	"5"	""	""	"6"	""	""	"9"	""	""	"500"	""	""	""	""	"500"	""	""	""	""	""	""	""	""
"67"	"39"	"141"	""	"6"	""	"80"	""	""	"169"	""	""	"7"	""	"5"	""	""	"10"	""	""	"7"	""	""	"425"	""	""	""	""	"425"	""	""	""	""	""	""	""	""
"68"	"Total"	"1047"	""	"211"	""	"834"	""	""	"3248"	""	""	"114"	""	"65"	""	""	"112"	""	""	"155"	""	""	"5786"	""	""	""	""	"5786"	""	"0"	""	""	""	""	""	""
"69"	"Till Last Round"	"3863"	""	"327"	""	"933"	""	""	"3791"	""	""	"171"	""	"92"	""	""	"148"	""	""	"304"	""	""	"9629"	""	""	"0"	""	"9629"	""	"0"	""	""	""	""	""	""
"70"	"Grand Total"	"4910"	""	"538"	""	"1767"	""	""	"7039"	""	""	"285"	""	"157"	""	""	"260"	""	""	"459"	""	""	"15415"	""	""	"0"	""	"15415"	""	"0"	""	""	""	""	""	""
"71"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185 BAKHTIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"73"	"Serial no. of polling station"	""	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	"Lal Krishna Yadav"	""	""	"Vinode Yadav"	""	"Kumar Indradeo
Prasad"	""	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"40"	""	"127"	""	"6"	""	"7"	""	""	"193"	""	"3"	""	""	"2"	""	""	"13"	""	""	"19"	""	""	"370"	""	""	""	""	"370"	""	""	""	""	""	""	""
"75"	"41"	""	"28"	""	"17"	""	"9"	""	""	"312"	""	"12"	""	""	"7"	""	""	"5"	""	""	"5"	""	""	"395"	""	""	""	""	"395"	""	""	""	""	""	""	""
"76"	"42"	""	"3"	""	"85"	""	"33"	""	""	"138"	""	"2"	""	""	"0"	""	""	"4"	""	""	"3"	""	""	"268"	""	""	""	""	"268"	""	""	""	""	""	""	""
"77"	"43"	""	"25"	""	"2"	""	"46"	""	""	"105"	""	"9"	""	""	"4"	""	""	"7"	""	""	"14"	""	""	"212"	""	""	""	""	"212"	""	""	""	""	""	""	""
"78"	"44"	""	"7"	""	"2"	""	"0"	""	""	"140"	""	"4"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"155"	""	""	""	""	"155"	""	""	""	""	""	""	""
"79"	"45"	""	"114"	""	"6"	""	"132"	""	""	"248"	""	"23"	""	""	"15"	""	""	"13"	""	""	"32"	""	""	"583"	""	""	""	""	"583"	""	""	""	""	""	""	""
"80"	"46"	""	"108"	""	"31"	""	"24"	""	""	"268"	""	"16"	""	""	"9"	""	""	"7"	""	""	"15"	""	""	"478"	""	""	""	""	"478"	""	""	""	""	""	""	""
"81"	"47"	""	"23"	""	"53"	""	"97"	""	""	"443"	""	"12"	""	""	"12"	""	""	"5"	""	""	"10"	""	""	"655"	""	""	""	""	"655"	""	""	""	""	""	""	""
"82"	"48"	""	"54"	""	"1"	""	"10"	""	""	"232"	""	"5"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"308"	""	""	""	""	"308"	""	""	""	""	""	""	""
"83"	"49"	""	"58"	""	"98"	""	"89"	""	""	"62"	""	"6"	""	""	"7"	""	""	"6"	""	""	"7"	""	""	"333"	""	""	""	""	"333"	""	""	""	""	""	""	""
"84"	"50"	""	"40"	""	"3"	""	"43"	""	""	"304"	""	"12"	""	""	"8"	""	""	"7"	""	""	"15"	""	""	"432"	""	""	""	""	"432"	""	""	""	""	""	""	""
"85"	"51"	""	"416"	""	"17"	""	"17"	""	""	"61"	""	"9"	""	""	"4"	""	""	"9"	""	""	"14"	""	""	"547"	""	""	""	""	"547"	""	""	""	""	""	""	""
"86"	"52"	""	"135"	""	"56"	""	"33"	""	""	"100"	""	"15"	""	""	"11"	""	""	"10"	""	""	"21"	""	""	"381"	""	""	""	""	"381"	""	""	""	""	""	""	""
"87"	"53"	""	"140"	""	"7"	""	"15"	""	""	"131"	""	"6"	""	""	"9"	""	""	"4"	""	""	"10"	""	""	"322"	""	""	""	""	"322"	""	""	""	""	""	""	""
"88"	"Total"	""	"1278"	""	"384"	""	"555"	""	""	"2737"	""	"134"	""	""	"90"	""	""	"94"	""	""	"167"	""	""	"5439"	""	""	""	""	"5439"	""	"0"	""	""	""	""	""
"89"	"Till Last Round"	""	"4910"	""	"538"	""	"1767"	""	""	"7039"	""	"285"	""	""	"157"	""	""	"260"	""	""	"459"	""	""	"15415"	""	""	"0"	""	"15415"	""	"0"	""	""	""	""	""
"90"	"Grand Total"	""	"6188"	""	"922"	""	"2322"	""	""	"9776"	""	"419"	""	""	"247"	""	""	"354"	""	""	"626"	""	""	"20854"	""	""	"0"	""	"20854"	""	"0"	""	""	""	""	""
"91"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-  185 BAKHTIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"93"	"Serial no. of polling station"	""	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	"Lal Krishna Yadav"	""	""	"Vinode Yadav"	""	"Kumar Indradeo
Prasad"	""	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"54"	""	"428"	""	"25"	""	"30"	""	""	"86"	""	"23"	""	""	"3"	""	""	"5"	""	""	"7"	""	""	"607"	""	""	""	""	"607"	""	""	""	""	""	""	""
"95"	"55"	""	"220"	""	"46"	""	"41"	""	""	"248"	""	"15"	""	""	"10"	""	""	"15"	""	""	"12"	""	""	"607"	""	""	""	""	"607"	""	""	""	""	""	""	""
"96"	"56"	""	"254"	""	"19"	""	"101"	""	""	"100"	""	"8"	""	""	"13"	""	""	"8"	""	""	"21"	""	""	"524"	""	""	""	""	"524"	""	""	""	""	""	""	""
"97"	"57"	""	"24"	""	"3"	""	"3"	""	""	"418"	""	"7"	""	""	"2"	""	""	"6"	""	""	"5"	""	""	"468"	""	""	""	""	"468"	""	""	""	""	""	""	""
"98"	"58"	""	"119"	""	"3"	""	"42"	""	""	"65"	""	"8"	""	""	"4"	""	""	"6"	""	""	"10"	""	""	"257"	""	""	""	""	"257"	""	""	""	""	""	""	""
"99"	"59"	""	"62"	""	"2"	""	"56"	""	""	"254"	""	"7"	""	""	"4"	""	""	"0"	""	""	"8"	""	""	"393"	""	""	""	""	"393"	""	""	""	""	""	""	""
"100"	"60"	""	"22"	""	"1"	""	"1"	""	""	"281"	""	"2"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"308"	""	""	""	""	"308"	""	""	""	""	""	""	""
"101"	"61"	""	"84"	""	"2"	""	"58"	""	""	"212"	""	"4"	""	""	"3"	""	""	"8"	""	""	"9"	""	""	"380"	""	""	""	""	"380"	""	""	""	""	""	""	""
"102"	"62"	""	"22"	""	"0"	""	"11"	""	""	"201"	""	"3"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	"244"	""	""	""	""	"244"	""	""	""	""	""	""	""
"103"	"63"	""	"119"	""	"47"	""	"35"	""	""	"151"	""	"7"	""	""	"5"	""	""	"8"	""	""	"7"	""	""	"379"	""	""	""	""	"379"	""	""	""	""	""	""	""
"104"	"63A"	""	"131"	""	"4"	""	"113"	""	""	"44"	""	"3"	""	""	"4"	""	""	"4"	""	""	"7"	""	""	"310"	""	""	""	""	"310"	""	""	""	""	""	""	""
"105"	"64"	""	"190"	""	"45"	""	"21"	""	""	"203"	""	"5"	""	""	"3"	""	""	"6"	""	""	"21"	""	""	"494"	""	""	""	""	"494"	""	""	""	""	""	""	""
"106"	"65"	""	"130"	""	"31"	""	"102"	""	""	"130"	""	"8"	""	""	"4"	""	""	"10"	""	""	"8"	""	""	"423"	""	""	""	""	"423"	""	""	""	""	""	""	""
"107"	"66"	""	"336"	""	"6"	""	"7"	""	""	"165"	""	"8"	""	""	"2"	""	""	"8"	""	""	"4"	""	""	"536"	""	""	""	""	"536"	""	""	""	""	""	""	""
"108"	"Total"	""	"2141"	""	"234"	""	"621"	""	""	"2558"	""	"108"	""	""	"60"	""	""	"85"	""	""	"123"	""	""	"5930"	""	""	""	""	"5930"	""	"0"	""	""	""	""	""
"109"	"Till Last Round"	""	"6188"	""	"922"	""	"2322"	""	""	"9776"	""	"419"	""	""	"247"	""	""	"354"	""	""	"626"	""	""	"20854"	""	""	"0"	""	"20854"	""	"0"	""	""	""	""	""
"110"	"Grand Total"	""	"8329"	""	"1156"	""	"2943"	""	""	"12334"	""	"527"	""	""	"307"	""	""	"439"	""	""	"749"	""	""	"26784"	""	""	"0"	""	"26784"	""	"0"	""	""	""	""	""
"111"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-  185 BAKHTIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"113"	"Serial no. of polling station"	""	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	"Lal Krishna Yadav"	""	""	"Vinode Yadav"	""	"Kumar Indradeo
Prasad"	""	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"67"	""	"215"	""	"15"	""	"108"	""	""	"80"	""	"8"	""	""	"16"	""	""	"11"	""	""	"15"	""	""	"468"	""	""	""	""	"468"	""	""	""	""	""	""	""
"115"	"68"	""	"154"	""	"45"	""	"60"	""	""	"269"	""	"14"	""	""	"8"	""	""	"12"	""	""	"21"	""	""	"583"	""	""	""	""	"583"	""	""	""	""	""	""	""
"116"	"69"	""	"41"	""	"8"	""	"36"	""	""	"189"	""	"14"	""	""	"6"	""	""	"11"	""	""	"23"	""	""	"328"	""	""	""	""	"328"	""	""	""	""	""	""	""
"117"	"70"	""	"210"	""	"4"	""	"58"	""	""	"172"	""	"2"	""	""	"6"	""	""	"2"	""	""	"14"	""	""	"468"	""	""	""	""	"468"	""	""	""	""	""	""	""
"118"	"71"	""	"314"	""	"5"	""	"36"	""	""	"131"	""	"3"	""	""	"1"	""	""	"1"	""	""	"11"	""	""	"502"	""	""	""	""	"502"	""	""	""	""	""	""	""
