"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"28"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"29"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"30"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"31"	"iwoZ Ik`\"V dk
;ksx"	"2899"	"102"	"119"	"992"	"2460"	"84"	"76"	"95"	"48"	"140"	"7015"	""	""	""
"32"	"13"	"297"	"5"	"4"	"40"	"89"	"4"	"1"	"7"	"5"	"21"	"473"	""	""	""
"33"	"13d"	"36"	"0"	"2"	"42"	"146"	"6"	"0"	"1"	"1"	"2"	"236"	""	""	""
"34"	"14"	"6"	"0"	"1"	"56"	"385"	"11"	"1"	"0"	"2"	"5"	"467"	""	""	""
"35"	"15"	"2"	"1"	"0"	"77"	"384"	"6"	"4"	"3"	"1"	"2"	"480"	""	""	""
"36"	"16"	"314"	"15"	"19"	"164"	"31"	"7"	"8"	"13"	"12"	"46"	"629"	""	""	""
"37"	"17"	"318"	"11"	"21"	"114"	"12"	"4"	"4"	"2"	"1"	"8"	"495"	""	""	""
"38"	"18"	"363"	"7"	"10"	"28"	"5"	"0"	"1"	"8"	"3"	"6"	"431"	""	""	""
"39"	"19"	"175"	"14"	"6"	"95"	"11"	"5"	"2"	"12"	"2"	"7"	"329"	""	""	""
"40"	"20"	"218"	"4"	"1"	"56"	"7"	"2"	"3"	"10"	"3"	"5"	"309"	""	""	""
"41"	"21"	"111"	"20"	"5"	"231"	"132"	"4"	"5"	"11"	"2"	"8"	"529"	""	""	""
"42"	"22"	"105"	"4"	"3"	"47"	"235"	"6"	"1"	"3"	"0"	"3"	"407"	""	""	""
"43"	"23"	"387"	"20"	"5"	"25"	"144"	"3"	"3"	"5"	"3"	"5"	"600"	""	""	""
"44"	"24"	"31"	"6"	"0"	"35"	"160"	"5"	"0"	"7"	"2"	"9"	"255"	""	""	""
"45"	"25"	"209"	"9"	"4"	"20"	"82"	"6"	"1"	"5"	"3"	"5"	"344"	""	""	""
"46"	";ksx %&"	"5471"	"218"	"200"	"2022"	"4283"	"153"	"110"	"182"	"88"	"272"	"12999"	""	""	""
"47"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A                                             3rd Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"50"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"51"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"52"	"iwoZ Ik`\"V dk
;ksx"	"5471"	"218"	"200"	"2022"	"4283"	"153"	"110"	"182"	"88"	"272"	"12999"	""	""	""
"53"	"25d"	"57"	"8"	"1"	"21"	"156"	"3"	"3"	"1"	"1"	"7"	"258"	""	""	""
"54"	"26"	"268"	"19"	"15"	"60"	"20"	"0"	"3"	"6"	"8"	"15"	"414"	""	""	""
"55"	"27"	"109"	"7"	"3"	"37"	"158"	"4"	"6"	"10"	"4"	"17"	"355"	""	""	""
"56"	"27d"	"228"	"8"	"6"	"39"	"126"	"2"	"4"	"11"	"5"	"20"	"449"	""	""	""
"57"	"28"	"123"	"10"	"10"	"143"	"96"	"4"	"10"	"9"	"6"	"30"	"441"	""	""	""
"58"	"29"	"40"	"28"	"12"	"157"	"12"	"5"	"11"	"5"	"9"	"6"	"285"	""	""	""
"59"	"30"	"124"	"72"	"25"	"72"	"25"	"5"	"6"	"7"	"9"	"45"	"390"	""	""	""
"60"	"31"	"82"	"47"	"6"	"61"	"236"	"9"	"6"	"12"	"2"	"7"	"468"	""	""	""
"61"	"32"	"90"	"7"	"10"	"30"	"10"	"2"	"0"	"8"	"4"	"28"	"189"	""	""	""
"62"	"33"	"213"	"12"	"1"	"26"	"286"	"6"	"0"	"7"	"0"	"12"	"563"	""	""	""
"63"	"34"	"306"	"13"	"6"	"9"	"50"	"5"	"6"	"14"	"11"	"21"	"441"	""	""	""
"64"	"35"	"258"	"44"	"11"	"52"	"31"	"2"	"6"	"10"	"11"	"15"	"440"	""	""	""
"65"	"36"	"327"	"31"	"8"	"48"	"46"	"5"	"7"	"17"	"16"	"44"	"549"	""	""	""
"66"	"37"	"116"	"8"	"4"	"64"	"259"	"9"	"1"	"2"	"1"	"7"	"471"	""	""	""
"67"	";ksx%&"	"7812"	"532"	"318"	"2841"	"5794"	"214"	"179"	"301"	"175"	"546"	"18712"	""	""	""
"68"	""	""	""	""	""	""	""	""	""	""	""	""	"4th Round"	""	""
"69"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"72"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"73"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"74"	"iwoZ Ik`\"V dk
;ksx"	"7812"	"532"	"318"	"2841"	"5794"	"214"	"179"	"301"	"175"	"546"	"18712"	""	""	""
"75"	"38"	"222"	"12"	"3"	"27"	"5"	"2"	"2"	"6"	"1"	"4"	"284"	""	""	""
"76"	"39"	"200"	"76"	"7"	"13"	"126"	"5"	"3"	"9"	"11"	"35"	"485"	""	""	""
"77"	"40"	"194"	"12"	"4"	"29"	"307"	"7"	"2"	"12"	"5"	"19"	"591"	""	""	""
"78"	"41"	"228"	"16"	"11"	"56"	"170"	"12"	"11"	"21"	"13"	"29"	"567"	""	""	""
"79"	"42"	"108"	"7"	"3"	"62"	"116"	"2"	"5"	"8"	"5"	"8"	"324"	""	""	""
"80"	"43"	"89"	"4"	"3"	"18"	"265"	"10"	"1"	"10"	"2"	"13"	"415"	""	""	""
"81"	"44"	"54"	"128"	"20"	"141"	"33"	"6"	"7"	"8"	"8"	"14"	"419"	""	""	""
"82"	"44d"	"118"	"137"	"14"	"98"	"15"	"3"	"1"	"2"	"2"	"0"	"390"	""	""	""
"83"	"45"	"118"	"49"	"2"	"61"	"4"	"0"	"0"	"0"	"3"	"5"	"242"	""	""	""
"84"	"46"	"69"	"47"	"5"	"88"	"7"	"2"	"6"	"7"	"9"	"10"	"250"	""	""	""
"85"	"47"	"48"	"22"	"12"	"208"	"32"	"11"	"17"	"8"	"5"	"15"	"378"	""	""	""
"86"	"47d"	"15"	"45"	"28"	"116"	"11"	"7"	"10"	"5"	"1"	"2"	"240"	""	""	""
"87"	"48"	"28"	"142"	"20"	"61"	"106"	"4"	"0"	"7"	"4"	"5"	"377"	""	""	""
"88"	"49"	"212"	"11"	"8"	"81"	"6"	"2"	"2"	"4"	"5"	"12"	"343"	""	""	""
"89"	";ksx%&"	"9515"	"1240"	"458"	"3900"	"6997"	"287"	"246"	"408"	"249"	"717"	"24017"	""	""	""
"90"	""	""	""	""	""	""	""	""	""	""	""	""	"5th Round"	""	""
"91"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"94"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"95"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"96"	"iwoZ Ik`\"V dk
;ksx"	"9515"	"1240"	"458"	"3900"	"6997"	"287"	"246"	"408"	"249"	"717"	"24017"	""	""	""
"97"	"50"	"66"	"21"	"6"	"126"	"4"	"3"	"3"	"3"	"1"	"9"	"242"	""	""	""
"98"	"51"	"72"	"54"	"31"	"134"	"21"	"3"	"10"	"9"	"4"	"15"	"353"	""	""	""
"99"	"51d"	"87"	"13"	"19"	"94"	"17"	"2"	"7"	"7"	"2"	"9"	"257"	""	""	""
"100"	"52"	"158"	"33"	"34"	"222"	"19"	"3"	"9"	"5"	"6"	"22"	"511"	""	""	""
"101"	"53"	"88"	"137"	"13"	"59"	"18"	"8"	"0"	"6"	"9"	"7"	"345"	""	""	""
"102"	"54"	"80"	"42"	"13"	"83"	"17"	"4"	"2"	"11"	"6"	"9"	"267"	""	""	""
"103"	"55"	"93"	"50"	"9"	"115"	"155"	"14"	"5"	"6"	"7"	"12"	"466"	""	""	""
"104"	"55d"	"20"	"16"	"1"	"72"	"165"	"8"	"7"	"5"	"6"	"7"	"307"	""	""	""
"105"	"56"	"104"	"9"	"7"	"25"	"121"	"3"	"1"	"7"	"0"	"5"	"282"	""	""	""
"106"	"57"	"116"	"8"	"6"	"14"	"174"	"5"	"4"	"3"	"3"	"7"	"340"	""	""	""
"107"	"58"	"174"	"13"	"7"	"12"	"240"	"14"	"4"	"12"	"4"	"15"	"495"	""	""	""
"108"	"59"	"24"	"2"	"3"	"35"	"324"	"9"	"1"	"2"	"1"	"3"	"404"	""	""	""
"109"	"60"	"192"	"140"	"27"	"23"	"13"	"2"	"7"	"4"	"5"	"8"	"421"	""	""	""
"110"	"60d"	"88"	"23"	"7"	"69"	"5"	"6"	"7"	"6"	"7"	"14"	"232"	""	""	""
"111"	";ksx%&"	"10877"	"1801"	"641"	"4983"	"8290"	"371"	"313"	"494"	"310"	"859"	"28939"	""	""	""
"112"	""	""	""	""	""	""	""	""	""	""	""	""	"6th Round"	""	""
"113"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"116"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"117"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"118"	"iwoZ Ik`\"V dk
;ksx"	"10877"	"1801"	"641"	"4983"	"8290"	"371"	"313"	"494"	"310"	"859"	"28939"	""	""	""
"119"	"61"	"359"	"6"	"8"	"44"	"4"	"2"	"0"	"1"	"6"	"8"	"438"	""	""	""
"120"	"62"	"350"	"2"	"2"	"58"	"2"	"1"	"2"	"0"	"0"	"3"	"420"	""	""	""
"121"	"63"	"144"	"55"	"14"	"27"	"0"	"2"	"1"	"5"	"3"	"0"	"251"	""	""	""
"122"	"64"	"62"	"78"	"8"	"34"	"16"	"0"	"3"	"5"	"4"	"10"	"220"	""	""	""
"123"	"65"	"335"	"7"	"5"	"15"	"0"	"0"	"0"	"1"	"1"	"5"	"369"	""	""	""
"124"	"66"	"179"	"6"	"3"	"90"	"7"	"0"	"1"	"2"	"3"	"7"	"298"	""	""	""
"125"	"67"	"329"	"27"	"9"	"37"	"7"	"1"	"0"	"0"	"2"	"10"	"422"	""	""	""
"126"	"68"	"357"	"20"	"20"	"123"	"12"	"9"	"16"	"21"	"9"	"25"	"612"	""	""	""
"127"	"69"	"148"	"2"	"7"	"77"	"39"	"1"	"6"	"6"	"2"	"17"	"305"	""	""	""
"128"	"70"	"399"	"36"	"5"	"18"	"7"	"1"	"2"	"1"	"3"	"13"	"485"	""	""	""
"129"	"71"	"355"	"9"	"3"	"5"	"1"	"1"	"1"	"0"	"1"	"7"	"383"	""	""	""
"130"	"72"	"262"	"1"	"5"	"14"	"21"	"1"	"2"	"3"	"0"	"6"	"315"	""	""	""
"131"	"73"	"310"	"9"	"8"	"17"	"1"	"1"	"3"	"3"	"1"	"5"	"358"	""	""	""
"132"	"74"	"432"	"5"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"3"	"448"	""	""	""
"133"	";ksx%&"	"14898"	"2064"	"739"	"5547"	"8408"	"391"	"350"	"542"	"346"	"978"	"34263"	""	""	""
"134"	""	""	""	""	""	""	""	""	""	""	""	""	"7th Round"	""	""
"135"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"138"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"139"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"140"	"iwoZ Ik`\"V dk
;ksx"	"14898"	"2064"	"739"	"5547"	"8408"	"391"	"350"	"542"	"346"	"978"	"34263"	""	""	""
"141"	"75"	"192"	"7"	"5"	"164"	"8"	"1"	"5"	"3"	"3"	"13"	"401"	""	""	""
"142"	"76"	"336"	"9"	"6"	"92"	"5"	"0"	"6"	"9"	"6"	"23"	"492"	""	""	""
"143"	"77"	"161"	"28"	"9"	"160"	"94"	"12"	"9"	"6"	"12"	"16"	"507"	""	""	""
"144"	"78"	"121"	"6"	"2"	"47"	"5"	"1"	"1"	"1"	"0"	"3"	"187"	""	""	""
"145"	"79"	"326"	"24"	"29"	"115"	"20"	"7"	"7"	"7"	"9"	"19"	"563"	""	""	""
"146"	"80"	"152"	"15"	"6"	"98"	"51"	"6"	"6"	"23"	"8"	"36"	"401"	""	""	""
"147"	"81"	"128"	"9"	"12"	"31"	"49"	"3"	"2"	"13"	"6"	"18"	"271"	""	""	""
"148"	"82"	"206"	"6"	"2"	"21"	"18"	"1"	"3"	"7"	"1"	"7"	"272"	""	""	""
"149"	"83"	"230"	"11"	"9"	"20"	"47"	"5"	"1"	"7"	"7"	"16"	"353"	""	""	""
"150"	"84"	"294"	"10"	"2"	"31"	"3"	"2"	"2"	"7"	"4"	"11"	"366"	""	""	""
"151"	"85"	"313"	"10"	"10"	"29"	"191"	"12"	"7"	"17"	"18"	"52"	"659"	""	""	""
"152"	"86"	"232"	"4"	"2"	"23"	"176"	"3"	"1"	"6"	"1"	"8"	"456"	""	""	""
"153"	"87"	"260"	"2"	"6"	"48"	"132"	"1"	"2"	"9"	"10"	"10"	"480"	""	""	""
"154"	"88"	"281"	"10"	"11"	"75"	"71"	"5"	"6"	"3"	"7"	"16"	"485"	""	""	""
"155"	";ksx%&"	"18130"	"2215"	"850"	"6501"	"9278"	"450"	"408"	"660"	"438"	"1226"	"40156"	""	""	""
"156"	""	""	""	""	""	""	""	""	""	""	""	""	"8th Round"	""	""
"157"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"160"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"161"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"162"	"iwoZ Ik`\"V dk
;ksx"	"18130"	"2215"	"850"	"6501"	"9278"	"450"	"408"	"660"	"438"	"1226"	"40156"	""	""	""
"163"	"89"	"311"	"20"	"34"	"96"	"20"	"7"	"2"	"10"	"4"	"14"	"518"	""	""	""
"164"	"90"	"134"	"7"	"10"	"147"	"15"	"2"	"8"	"8"	"2"	"6"	"339"	""	""	""
"165"	"91"	"156"	"6"	"10"	"68"	"47"	"5"	"9"	"4"	"8"	"14"	"327"	""	""	""
"166"	"92"	"308"	"13"	"7"	"49"	"99"	"8"	"0"	"9"	"4"	"19"	"516"	""	""	""
"167"	"93"	"137"	"10"	"31"	"55"	"116"	"2"	"1"	"2"	"4"	"8"	"366"	""	""	""
"168"	"94"	"41"	"7"	"17"	"55"	"97"	"3"	"1"	"1"	"5"	"6"	"233"	""	""	""
"169"	"95"	"360"	"15"	"9"	"26"	"82"	"2"	"3"	"1"	"3"	"7"	"508"	""	""	""
"170"	"96"	"132"	"7"	"2"	"17"	"2"	"0"	"0"	"5"	"7"	"14"	"186"	""	""	""
"171"	"97"	"92"	"130"	"12"	"49"	"10"	"2"	"5"	"1"	"6"	"5"	"312"	""	""	""
"172"	"98"	"73"	"95"	"32"	"60"	"5"	"6"	"4"	"7"	"2"	"8"	"292"	""	""	""
"173"	"99"	"407"	"14"	"14"	"29"	"99"	"5"	"3"	"7"	"4"	"26"	"608"	""	""	""
"174"	"99d"	"76"	"2"	"1"	"7"	"2"	"0"	"1"	"1"	"1"	"0"	"91"	""	""	""
"175"	"100"	"345"	"64"	"32"	"59"	"78"	"3"	"7"	"21"	"10"	"37"	"656"	""	""	""
"176"	"101"	"196"	"26"	"17"	"36"	"64"	"7"	"7"	"10"	"13"	"24"	"400"	""	""	""
"177"	";ksx%&"	"20898"	"2631"	"1078"	"7254"	"10014"	"502"	"459"	"747"	"511"	"1414"	"45508"	""	""	""
"178"	""	""	""	""	""	""	""	""	""	""	""	""	"9th Round"	""	""
"179"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"182"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"183"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"184"	"iwoZ Ik`\"V dk
;ksx"	"20898"	"2631"	"1078"	"7254"	"10014"	"502"	"459"	"747"	"511"	"1414"	"45508"	""	""	""
"185"	"102"	"222"	"9"	"16"	"156"	"31"	"10"	"4"	"8"	"2"	"6"	"464"	""	""	""
"186"	"103"	"214"	"7"	"6"	"44"	"2"	"0"	"4"	"2"	"2"	"10"	"291"	""	""	""
"187"	"104"	"262"	"16"	"13"	"120"	"55"	"10"	"8"	"22"	"7"	"38"	"551"	""	""	""
"188"	"105"	"127"	"10"	"36"	"87"	"126"	"16"	"14"	"22"	"10"	"32"	"480"	""	""	""
"189"	"106"	"57"	"23"	"55"	"40"	"73"	"7"	"6"	"4"	"4"	"15"	"284"	""	""	""
"190"	"107"	"111"	"94"	"21"	"45"	"138"	"5"	"2"	"7"	"3"	"5"	"431"	""	""	""
"191"	"108"	"320"	"29"	"9"	"64"	"36"	"3"	"4"	"7"	"12"	"15"	"499"	""	""	""
"192"	"109"	"213"	"8"	"17"	"122"	"49"	"4"	"10"	"24"	"6"	"24"	"477"	""	""	""
"193"	"110"	"144"	"9"	"11"	"169"	"68"	"13"	"8"	"9"	"7"	"38"	"476"	""	""	""
"194"	"110d"	"174"	"5"	"4"	"49"	"39"	"1"	"3"	"8"	"7"	"27"	"317"	""	""	""
"195"	"111"	"284"	"5"	"11"	"58"	"153"	"6"	"6"	"15"	"6"	"15"	"559"	""	""	""
"196"	"112"	"162"	"3"	"12"	"155"	"73"	"2"	"6"	"12"	"5"	"27"	"457"	""	""	""
"197"	"113"	"16"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"21"	""	""	""
"198"	"114"	"207"	"9"	"5"	"106"	"16"	"3"	"7"	"13"	"4"	"48"	"418"	""	""	""
"199"	";ksx%&"	"23411"	"2860"	"1297"	"8469"	"10873"	"582"	"541"	"900"	"586"	"1714"	"51233"	""	""	""
"200"	""	""	""	""	""	""	""	""	""	""	""	""	"10th Round"	""	""
"201"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
