"fuokZpu.lapkyu.fu.e.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"pdz&izFke        fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"18"	"9"	"43"	""	"16"	"126"	"250"	"8"	"6"	"14"	"463"	"-"	"463"	""
"19"	"10"	"44"	""	"36"	"89"	"201"	"8"	"5"	"17"	"400"	"-"	"400"	""
"20"	"11"	"16"	""	"7"	"220"	"143"	"9"	"3"	"5"	"403"	"-"	"403"	""
"21"	"12"	"22"	""	"26"	"112"	"352"	"8"	"7"	"9"	"536"	"-"	"536"	""
"22"	"13"	"70"	""	"21"	"152"	"115"	"50"	"27"	"21"	"456"	"-"	"456"	""
"23"	"13 ,"	"34"	""	"10"	"78"	"174"	"35"	"4"	"19"	"354"	"-"	"354"	""
"24"	";kssxssx"	"759"	""	"297"	"2000"	"2606"	"209"	"122"	"177"	"6170"	"-"	"6170"	""
"25"	"pdz&f}rh;       fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"4&xkssissikyxat laalaalnh; fuokZZpZZpu {kss=ss= essaassaa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"29"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"30"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"31"	"14"	"236"	""	"25"	"313"	"22"	"21"	"14"	"25"	"656"	"-"	"656"	""
"32"	"15"	"27"	""	"6"	"188"	"11"	"17"	"1"	"1"	"251"	"-"	"251"	""
"33"	"16"	"25"	""	"14"	"320"	"70"	"14"	"11"	"20"	"474"	"-"	"474"	""
"34"	"17"	"42"	""	"3"	"63"	"81"	"16"	"6"	"8"	"219"	"-"	"219"	""
"35"	"18"	"4"	""	"1"	"32"	"108"	"6"	"6"	"3"	"160"	"-"	"160"	""
"36"	"19"	"32"	""	"17"	"233"	"213"	"16"	"17"	"9"	"537"	"-"	"537"	""
"37"	"20"	"100"	""	"66"	"241"	"42"	"4"	"7"	"15"	"475"	"-"	"475"	""
"38"	"21"	"36"	""	"30"	"132"	"168"	"12"	"13"	"9"	"400"	"-"	"400"	""
"39"	"22"	"31"	""	"10"	"276"	"142"	"11"	"12"	"6"	"488"	"-"	"488"	""
"40"	"23"	"109"	""	"38"	"340"	"85"	"15"	"12"	"9"	"608"	"-"	"608"	""
"41"	"24"	"84"	""	"13"	"397"	"173"	"29"	"9"	"8"	"713"	"-"	"713"	""
"42"	"25"	"22"	""	"11"	"353"	"156"	"18"	"11"	"13"	"584"	"-"	"584"	""
"43"	"26"	"26"	""	"10"	"166"	"221"	"23"	"10"	"12"	"468"	"-"	"468"	""
"44"	"27"	"31"	""	"5"	"130"	"155"	"12"	"4"	"9"	"346"	"-"	"346"	""
"45"	";kssxssx"	"805"	""	"249"	"3184"	"1647"	"214"	"133"	"147"	"6379"	"-"	"6379"	""
"46"	"pdz&r`rh;      fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"50"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"51"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"52"	"27 ,"	"182"	""	"23"	"76"	"86"	"11"	"6"	"11"	"395"	"-"	"395"	""
"53"	"28"	"98"	""	"17"	"139"	"165"	"12"	"14"	"24"	"469"	"-"	"469"	""
"54"	"29"	"38"	""	"13"	"85"	"247"	"14"	"9"	"18"	"424"	"-"	"424"	""
"55"	"30"	"105"	""	"7"	"27"	"181"	"8"	"5"	"9"	"342"	"-"	"342"	""
"56"	"31"	"68"	""	"9"	"42"	"313"	"12"	"6"	"4"	"454"	"-"	"454"	""
"57"	"32"	"20"	""	"9"	"95"	"247"	"11"	"6"	"5"	"393"	"-"	"393"	""
"58"	"33"	"16"	""	"28"	"142"	"187"	"5"	"9"	"3"	"390"	"-"	"390"	""
"59"	"34"	"6"	""	"103"	"98"	"330"	"17"	"6"	"6"	"566"	"-"	"566"	""
"60"	"35"	"204"	""	"15"	"171"	"160"	"15"	"16"	"8"	"589"	"-"	"589"	""
"61"	"36"	"22"	""	"5"	"107"	"192"	"7"	"5"	"4"	"342"	"-"	"342"	""
"62"	"37"	"38"	""	"16"	"46"	"242"	"28"	"9"	"5"	"384"	"-"	"384"	""
"63"	"38"	"128"	""	"38"	"87"	"204"	"8"	"9"	"14"	"488"	"-"	"488"	""
"64"	"39"	"11"	""	"58"	"182"	"67"	"10"	"8"	"10"	"346"	"-"	"346"	""
"65"	"40"	"22"	""	"15"	"232"	"41"	"10"	"4"	"5"	"329"	"-"	"329"	""
"66"	";kssxssx"	"958"	""	"356"	"1529"	"2662"	"168"	"112"	"126"	"5911"	"-"	"5911"	""
"67"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"¼fu;e 56 ch0¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"pdz&pkSFkk        fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k essaassaa fn, x, erkssaassaa dh la[;k ,oaaaa vH;fFkZZ;ZZ;kssaassaa dssss uke"	""	""	""	""	""	""	""	""	""
"75"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  ssussu"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"76"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"77"	"40 ,"	"72"	""	"19"	"162"	"63"	"2"	"4"	"8"	"330"	"-"	"330"	""
"78"	"41"	"2"	""	"19"	"52"	"193"	"20"	"7"	"9"	"302"	"-"	"302"	""
"79"	"42"	"33"	""	"50"	"152"	"138"	"20"	"9"	"19"	"421"	"-"	"421"	""
"80"	"43"	"16"	""	"8"	"173"	"99"	"10"	"5"	"5"	"316"	"-"	"316"	""
"81"	"43"	"51"	""	"9"	"192"	"186"	"8"	"12"	"6"	"464"	"-"	"464"	""
"82"	"44"	"11"	""	"19"	"131"	"310"	"13"	"11"	"14"	"509"	"-"	"509"	""
"83"	"45"	"35"	""	"32"	"275"	"198"	"10"	"11"	"9"	"570"	"-"	"570"	""
"84"	"46"	"17"	""	"11"	"150"	"227"	"15"	"8"	"8"	"436"	"-"	"436"	""
"85"	"47"	"14"	""	"17"	"183"	"224"	"9"	"8"	"10"	"465"	"-"	"465"	""
"86"	"48"	"7"	""	"52"	"104"	"126"	"50"	"8"	"16"	"363"	"-"	"363"	""
"87"	"49"	"37"	""	"13"	"150"	"323"	"19"	"10"	"18"	"570-"	"-"	"570-"	""
"88"	"50"	"21"	""	"60"	"265"	"188"	"9"	"11"	"15"	"569"	"-"	"569"	""
"89"	"51"	"46"	""	"30"	"151"	"318"	"38"	"18"	"20"	"621"	"-"	"621"	""
"90"	"52"	"36"	""	"15"	"133"	"164"	"5"	"3"	"3"	"359"	"-"	"359"	""
"91"	";kssxssx"	"398"	""	"354"	"2273"	"2757"	"228"	"125"	"160"	"6295"	"-"	"6295"	""
"92"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"¼fu;e 56 ch0¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"pdz&ikWpok      fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"100"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  ssussu"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"101"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"102"	"53"	"57"	""	"4"	"100"	"155"	"10"	"12"	"4"	"342"	"-"	"342"	""
"103"	"54"	"50"	""	"6"	"71"	"155"	"11"	"10"	"26"	"329"	"-"	"329"	""
"104"	"54"	"50"	""	"15"	"168"	"61"	"5"	"6"	"8"	"313"	"-"	"313"	""
"105"	"55"	"13"	""	"14"	"173"	"145"	"31"	"8"	"4"	"388"	"-"	"388"	""
"106"	"56"	"8"	""	"12"	"110"	"219"	"14"	"3"	"5"	"371"	"-"	"371"	""
"107"	"57"	"12"	""	"15"	"185"	"266"	"16"	"9"	"8"	"511"	"-"	"511"	""
"108"	"58"	"11"	""	"2"	"89"	"166"	"11"	"4"	"10"	"293"	"-"	"293"	""
"109"	"58"	"9"	""	"9"	"63"	"540"	"13"	"6"	"5"	"645"	"-"	"645"	""
"110"	"59"	"13"	""	"2"	"99"	"328"	"12"	"14"	"10"	"478"	"-"	"478"	""
"111"	"60"	"79"	""	"35"	"138"	"228"	"8"	"11"	"10"	"509"	"-"	"509"	""
"112"	"61"	"14"	""	"16"	"212"	"208"	"24"	"17"	"14"	"505"	"-"	"505"	""
"113"	"62"	"51"	""	"26"	"182"	"371"	"30"	"19"	"13"	"692"	"-"	"692"	""
"114"	"63"	"46"	""	"18"	"355"	"126"	"5"	"9"	"12"	"571"	"-"	"571"	""
"115"	"64"	"26"	""	"51"	"85"	"164"	"7"	"9"	"21"	"363"	"-"	"363"	""
"116"	";kssxssx"	"439"	""	"225"	"2030"	"3132"	"197"	"137"	"150"	"6310"	"-"	"6310"	""
"117"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"¼fu;e 56 ch0¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"pdz&NBk   fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"125"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"126"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"127"	"64"	"56"	""	"21"	"87"	"133"	"6"	"7"	"16"	"326"	"-"	"326"	""
"128"	"65"	"25"	""	"14"	"179"	"378"	"17"	"16"	"17"	"646"	"-"	"646"	""
"129"	"66"	"2"	""	"1"	"80"	"128"	"7"	"4"	"5"	"227"	"-"	"227"	""
"130"	"67"	"33"	""	"28"	"231"	"357"	"23"	"15"	"19"	"706"	"-"	"706"	""
"131"	"68"	"83"	""	"22"	"309"	"103"	"9"	"10"	"5"	"541"	"-"	"541"	""
"132"	"69"	"34"	""	"7"	"163"	"385"	"13"	"9"	"13"	"624"	"-"	"624"	""
"133"	"70"	"66"	""	"10"	"156"	"123"	"18"	"5"	"10"	"388"	"-"	"388"	""
"134"	"70"	"20"	""	"5"	"68"	"232"	"7"	"6"	"12"	"350"	"-"	"350"	""
"135"	"71"	"43"	""	"14"	"252"	"88"	"7"	"4"	"18"	"426"	"-"	"426"	""
"136"	"71"	"42"	""	"15"	"159"	"39"	"4"	"4"	"17"	"280"	"-"	"280"	""
"137"	"72"	"54"	""	"17"	"162"	"375"	"30"	"24"	"21"	"683"	"-"	"683"	""
"138"	"73"	"43"	""	"28"	"292"	"116"	"33"	"6"	"11"	"529"	"-"	"529"	""
"139"	"74"	"47"	""	"16"	"177"	"51"	"75"	"3"	"7"	"376"	"-"	"376"	""
"140"	"75"	"43"	""	"6"	"71"	"158"	"14"	"13"	"8"	"313"	"-"	"313"	""
"141"	";kssxssx"	"591"	""	"204"	"2386"	"2666"	"263"	"126"	"179"	"6415"	"-"	"6415"	""
"142"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"pdz&lkrokWa  fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {kss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"150"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"151"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"152"	"75"	"60"	""	"13"	"135"	"281"	"10"	"8"	"11"	"518"	"-"	"518"	""
"153"	"76"	"15"	""	"2"	"268"	"33"	"20"	"4"	"8"	"350"	"-"	"350"	""
"154"	"77"	"117"	""	"16"	"205"	"194"	"41"	"5"	"8"	"586"	"-"	"586"	""
"155"	"78"	"23"	""	"4"	"46"	"91"	"260"	"11"	"6"	"441"	"-"	"441"	""
"156"	"79"	"45"	""	"13"	"55"	"116"	"11"	"3"	"5"	"248"	"-"	"248"	""
"157"	"80"	"30"	""	"37"	"83"	"249"	"9"	"9"	"7"	"424"	"-"	"424"	""
"158"	"80"	"21"	""	"5"	"82"	"169"	"6"	"5"	"3"	"291"	"-"	"291"	""
"159"	"81"	"98"	""	"35"	"264"	"150"	"18"	"15"	"10"	"590"	"-"	"590"	""
"160"	"82"	"6"	""	"12"	"176"	"110"	"13"	"3"	"16"	"336"	"-"	"336"	""
"161"	"83"	"52"	""	"19"	"112"	"273"	"16"	"21"	"16"	"509"	"-"	"509"	""
"162"	"84"	"30"	""	"7"	"35"	"120"	"15"	"7"	"3"	"217"	"-"	"217"	""
"163"	"85"	"74"	""	"27"	"69"	"71"	"25"	"7"	"5"	"278"	"-"	"278"	""
"164"	"85"	"10"	""	"62"	"43"	"95"	"36"	"16"	"16"	"278"	"-"	"278"	""
"165"	"86"	"6"	""	"4"	"111"	"16"	"11"	"3"	"13"	"164"	"-"	"164"	""
"166"	";kssxssx"	"587"	""	"256"	"1684"	"1968"	"491"	"117"	"127"	"5230"	"-"	"5230"	""
"167"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"pdz&vkBokWa   fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k essaassaa fn, x, erkssaassaa dh la[;k ,oaaaa vH;fFkZZ;ZZ;kssaassaa dssss uke"	""	""	""	""	""	""	""	""	""
"175"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"176"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"177"	"87"	"14"	""	"13"	"80"	"24"	"9"	"2"	"2"	"144"	"-"	"144"	""
"178"	"88"	"127"	""	"24"	"266"	"221"	"22"	"14"	"24"	"698"	"-"	"698"	""
"179"	"89"	"28"	""	"37"	"198"	"65"	"17"	"12"	"17"	"374"	"-"	"374"	""
"180"	"89"	"16"	""	"8"	"258"	"48"	"11"	"8"	"10"	"359"	"-"	"359"	""
"181"	"90"	"37"	""	"34"	"171"	"122"	"7"	"5"	"10"	"386"	"-"	"386"	""
"182"	"91"	"33"	""	"6"	"167"	"150"	"16"	"5"	"21"	"398"	"-"	"398"	""
"183"	"92"	"221"	""	"21"	"127"	"202"	"15"	"12"	"16"	"614"	"-"	"614"	""
"184"	"93"	"100"	""	"4"	"124"	"192"	"16"	"10"	"13"	"459"	"-"	"459"	""
"185"	"93"	"10"	""	"6"	"51"	"104"	"8"	"1"	"1"	"181"	"-"	"181"	""
"186"	"94"	"120"	""	"12"	"214"	"74"	"39"	"19"	"41"	"519"	"-"	"519"	""
"187"	"94"	"6"	""	"2"	"78"	"18"	"7"	"7"	"8"	"126"	"-"	"126"	""
"188"	"95"	"101"	""	"7"	"176"	"201"	"17"	"12"	"12"	"526"	"-"	"526"	""
"189"	"96"	"43"	""	"41"	"235"	"129"	"29"	"11"	"12"	"500"	"-"	"500"	""
"190"	"97"	"20"	""	"15"	"226"	"226"	"19"	"9"	"18"	"533"	"-"	"533"	""
"191"	";kssxssx"	"876"	""	"230"	"2371"	"1776"	"232"	"127"	"205"	"5817"	"-"	"5817"	""
"192"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"pdz&uoe~      fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
