"izk.i....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"19"	"11"	"438"	"16"	"21"	"7"	"4"	"3"	"1"	"2"	"6"	"498"	"0"	"498"	"0"
"20"	"11 d"	"81"	"3"	"9"	"7"	"0"	"0"	"2"	"6"	"1"	"109"	"0"	"109"	"0"
"21"	"12"	"223"	"60"	"212"	"101"	"7"	"7"	"14"	"12"	"10"	"646"	"0"	"646"	"0"
"22"	";ksx"	"2584"	"390"	"2749"	"730"	"30"	"37"	"44"	"199"	"72"	"6835"	"0"	"6835"	"0"
"23"	"Round No.          2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"28"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"30"	"fiNys i`\"B dk
;ksx"	"2584"	"390"	"2749"	"730"	"30"	"37"	"44"	"199"	"72"	"6835"	"0"	"6835"	"0"
"31"	"12 d"	"50"	"6"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"97"	"0"	"97"	"0"
"32"	"13"	"338"	"20"	"167"	"20"	"5"	"1"	"0"	"0"	"1"	"552"	"0"	"552"	"0"
"33"	"14"	"366"	"89"	"139"	"12"	"8"	"5"	"8"	"48"	"7"	"682"	"0"	"682"	"0"
"34"	"15"	"73"	"8"	"303"	"5"	"2"	"8"	"10"	"102"	"13"	"524"	"0"	"524"	"0"
"35"	"16"	"66"	"14"	"294"	"28"	"5"	"2"	"6"	"69"	"6"	"490"	"0"	"490"	"0"
"36"	"17"	"199"	"65"	"155"	"36"	"6"	"5"	"8"	"87"	"12"	"573"	"0"	"573"	"0"
"37"	"17 d"	"247"	"8"	"18"	"1"	"1"	"1"	"0"	"4"	"4"	"284"	"0"	"284"	"0"
"38"	"18"	"269"	"35"	"281"	"88"	"20"	"8"	"11"	"4"	"8"	"724"	"0"	"724"	"0"
"39"	"19"	"109"	"10"	"403"	"25"	"13"	"5"	"4"	"3"	"3"	"575"	"0"	"575"	"0"
"40"	"19 d"	"36"	"11"	"147"	"34"	"9"	"3"	"2"	"7"	"2"	"251"	"0"	"251"	"0"
"41"	"20"	"191"	"27"	"199"	"53"	"32"	"2"	"2"	"5"	"9"	"520"	"0"	"520"	"0"
"42"	"21"	"147"	"64"	"229"	"79"	"4"	"4"	"2"	"5"	"36"	"570"	"0"	"570"	"0"
"43"	"22"	"153"	"55"	"240"	"71"	"8"	"5"	"5"	"3"	"58"	"598"	"0"	"598"	"0"
"44"	"23"	"463"	"10"	"116"	"41"	"2"	"1"	"2"	"4"	"14"	"653"	"0"	"653"	"0"
"45"	"pdz ;ksx"	"2707"	"422"	"2729"	"496"	"115"	"50"	"60"	"341"	"173"	"7093"	"0"	"7093"	"0"
"46"	"dqy ;ksx"	"5291"	"812"	"5478"	"1226"	"145"	"87"	"104"	"540"	"245"	"13928"	"0"	"13928"	"0"
"47"	"Round No.          3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"52"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"53"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"54"	"fiNys i`\"B dk
;ksx"	"5291"	"812"	"5478"	"1226"	"145"	"87"	"104"	"540"	"245"	"13928"	"0"	"13928"	"0"
"55"	"23 d"	"41"	"2"	"152"	"8"	"0"	"3"	"2"	"8"	"4"	"220"	"0"	"220"	"0"
"56"	"24"	"471"	"11"	"154"	"42"	"2"	"2"	"4"	"1"	"4"	"691"	"0"	"691"	"0"
"57"	"25"	"265"	"14"	"113"	"31"	"1"	"1"	"4"	"7"	"18"	"454"	"0"	"454"	"0"
"58"	"26"	"550"	"32"	"14"	"27"	"2"	"0"	"1"	"2"	"1"	"629"	"0"	"629"	"0"
"59"	"27"	"509"	"2"	"20"	"29"	"0"	"0"	"0"	"1"	"1"	"562"	"0"	"562"	"0"
"60"	"28"	"441"	"6"	"11"	"14"	"1"	"2"	"1"	"14"	"8"	"498"	"0"	"498"	"0"
"61"	"29"	"380"	"7"	"42"	"57"	"2"	"4"	"1"	"20"	"7"	"520"	"0"	"520"	"0"
"62"	"30"	"335"	"19"	"241"	"87"	"5"	"5"	"1"	"4"	"6"	"703"	"0"	"703"	"0"
"63"	"31"	"457"	"10"	"21"	"17"	"2"	"1"	"1"	"3"	"3"	"515"	"0"	"515"	"0"
"64"	"32"	"89"	"106"	"143"	"98"	"9"	"6"	"5"	"4"	"91"	"551"	"0"	"551"	"0"
"65"	"33"	"200"	"5"	"212"	"15"	"2"	"2"	"7"	"5"	"7"	"455"	"0"	"455"	"0"
"66"	"34"	"155"	"7"	"141"	"16"	"8"	"6"	"5"	"3"	"7"	"348"	"0"	"348"	"0"
"67"	"35"	"210"	"53"	"125"	"18"	"9"	"6"	"4"	"11"	"65"	"501"	"0"	"501"	"0"
"68"	"36"	"11"	"0"	"526"	"8"	"0"	"1"	"0"	"0"	"0"	"546"	"0"	"546"	"0"
"69"	"pdz ;ksx"	"4114"	"274"	"1915"	"467"	"43"	"39"	"36"	"83"	"222"	"7193"	"0"	"7193"	"0"
"70"	";ksx"	"9405"	"1086"	"7393"	"1693"	"188"	"126"	"140"	"623"	"467"	"21121"	"0"	"21121"	"0"
"71"	"Round No.          4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufon r erksa
dh"
"76"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"77"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"78"	"fiNys i`\"B dk
;ksx"	"9405"	"1086"	"7393"	"1693"	"188"	"126"	"140"	"623"	"467"	"21121"	"0"	"21121"	"0"
"79"	"37"	"19"	"67"	"286"	"24"	"1"	"0"	"1"	"12"	"4"	"414"	"0"	"414"	"0"
"80"	"38"	"171"	"8"	"193"	"10"	"2"	"2"	"2"	"3"	"13"	"404"	"0"	"404"	"0"
"81"	"39"	"630"	"4"	"6"	"29"	"0"	"1"	"0"	"8"	"1"	"679"	"0"	"679"	"0"
"82"	"40"	"209"	"3"	"277"	"44"	"1"	"3"	"4"	"2"	"2"	"545"	"0"	"545"	"0"
"83"	"41"	"39"	"2"	"562"	"12"	"4"	"5"	"2"	"22"	"4"	"652"	"0"	"652"	"0"
"84"	"42"	"240"	"38"	"244"	"96"	"2"	"5"	"2"	"1"	"5"	"633"	"0"	"633"	"0"
"85"	"43"	"372"	"2"	"7"	"26"	"0"	"0"	"0"	"0"	"0"	"407"	"0"	"407"	"0"
"86"	"44"	"465"	"1"	"17"	"1"	"0"	"0"	"1"	"1"	"0"	"486"	"0"	"486"	"0"
"87"	"45"	"543"	"12"	"19"	"26"	"2"	"1"	"1"	"1"	"11"	"616"	"0"	"616"	"0"
"88"	"46"	"387"	"3"	"38"	"3"	"2"	"2"	"2"	"1"	"4"	"442"	"0"	"442"	"0"
"89"	"47"	"281"	"7"	"373"	"30"	"5"	"5"	"4"	"8"	"12"	"725"	"0"	"725"	"0"
"90"	"48"	"36"	"4"	"353"	"3"	"4"	"2"	"3"	"7"	"5"	"417"	"0"	"417"	"0"
"91"	"49"	"151"	"4"	"274"	"28"	"2"	"2"	"1"	"2"	"3"	"467"	"0"	"467"	"0"
"92"	"50"	"363"	"63"	"23"	"3"	"4"	"3"	"2"	"6"	"22"	"489"	"0"	"489"	"0"
"93"	"pdz ;ksx"	"3906"	"218"	"2672"	"335"	"29"	"31"	"25"	"74"	"86"	"7376"	"0"	"7376"	"0"
"94"	";ksx"	"13311"	"1304"	"10065"	"2028"	"217"	"157"	"165"	"697"	"553"	"28497"	"0"	"28497"	"0"
"95"	"Round No.          5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"100"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"101"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"102"	"fiNys i`\"B dk
;ksx"	"13311"	"1304"	"10065"	"2028"	"217"	"157"	"165"	"697"	"553"	"28497"	"0"	"28497"	"0"
"103"	"51"	"470"	"9"	"8"	"16"	"3"	"3"	"1"	"1"	"0"	"511"	"0"	"511"	"0"
"104"	"52"	"110"	"82"	"208"	"222"	"13"	"16"	"10"	"14"	"27"	"702"	"0"	"702"	"0"
"105"	"53"	"185"	"6"	"416"	"14"	"2"	"0"	"1"	"6"	"4"	"634"	"0"	"634"	"0"
"106"	"54"	"71"	"6"	"484"	"17"	"3"	"6"	"5"	"7"	"8"	"607"	"0"	"607"	"0"
"107"	"55"	"31"	"1"	"283"	"15"	"2"	"2"	"0"	"2"	"2"	"338"	"0"	"338"	"0"
"108"	"55 d"	"18"	"0"	"336"	"13"	"6"	"2"	"3"	"3"	"8"	"389"	"0"	"389"	"0"
"109"	"56"	"176"	"4"	"299"	"18"	"2"	"4"	"5"	"12"	"8"	"528"	"0"	"528"	"0"
"110"	"57"	"35"	"10"	"364"	"29"	"3"	"7"	"8"	"20"	"2"	"478"	"0"	"478"	"0"
"111"	"57 d"	"30"	"7"	"155"	"22"	"2"	"6"	"3"	"9"	"5"	"239"	"0"	"239"	"0"
"112"	"58"	"272"	"7"	"182"	"1"	"16"	"1"	"5"	"4"	"3"	"491"	"0"	"491"	"0"
"113"	"59"	"115"	"6"	"236"	"119"	"5"	"2"	"5"	"6"	"9"	"503"	"0"	"503"	"0"
"114"	"60"	"150"	"40"	"252"	"65"	"1"	"6"	"10"	"34"	"17"	"575"	"0"	"575"	"0"
"115"	"61"	"77"	"17"	"186"	"15"	"4"	"0"	"3"	"43"	"1"	"346"	"0"	"346"	"0"
"116"	"61 d"	"242"	"2"	"138"	"8"	"2"	"0"	"1"	"3"	"9"	"405"	"0"	"405"	"0"
"117"	"pdz ;ksx"	"1982"	"197"	"3547"	"574"	"64"	"55"	"60"	"164"	"103"	"6746"	"0"	"6746"	"0"
"118"	";ksx"	"15293"	"1501"	"13612"	"2602"	"281"	"212"	"225"	"861"	"656"	"35243"	"0"	"35243"	"0"
"119"	"Round No.          6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"124"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"126"	"fiNys i`\"B dk
;ksx"	"15293"	"1501"	"13612"	"2602"	"281"	"212"	"225"	"861"	"656"	"35243"	"0"	"35243"	"0"
"127"	"62"	"86"	"2"	"79"	"13"	"0"	"0"	"6"	"13"	"98"	"297"	"0"	"297"	"0"
"128"	"63"	"37"	"0"	"248"	"105"	"2"	"1"	"1"	"0"	"1"	"395"	"0"	"395"	"0"
"129"	"64"	"14"	"2"	"251"	"5"	"1"	"0"	"2"	"1"	"0"	"276"	"0"	"276"	"0"
"130"	"65"	"149"	"128"	"143"	"100"	"4"	"10"	"5"	"5"	"27"	"571"	"0"	"571"	"0"
"131"	"66"	"13"	"1"	"529"	"1"	"2"	"1"	"0"	"38"	"1"	"586"	"0"	"586"	"0"
"132"	"67"	"42"	"13"	"362"	"58"	"3"	"2"	"5"	"58"	"10"	"553"	"0"	"553"	"0"
"133"	"68"	"30"	"9"	"197"	"79"	"3"	"1"	"1"	"20"	"1"	"341"	"0"	"341"	"0"
"134"	"69"	"95"	"38"	"424"	"27"	"0"	"5"	"7"	"8"	"3"	"607"	"0"	"607"	"0"
"135"	"70"	"219"	"5"	"181"	"90"	"3"	"5"	"3"	"1"	"1"	"508"	"0"	"508"	"0"
"136"	"71"	"61"	"48"	"183"	"85"	"2"	"1"	"6"	"29"	"5"	"420"	"0"	"420"	"0"
"137"	"72"	"126"	"19"	"135"	"128"	"9"	"4"	"3"	"5"	"9"	"438"	"0"	"438"	"0"
"138"	"72 d"	"87"	"8"	"228"	"16"	"5"	"2"	"2"	"5"	"7"	"360"	"0"	"360"	"0"
"139"	"73"	"165"	"12"	"134"	"57"	"3"	"1"	"5"	"8"	"4"	"389"	"0"	"389"	"0"
"140"	"74"	"135"	"74"	"99"	"29"	"4"	"1"	"1"	"1"	"28"	"372"	"0"	"372"	"0"
"141"	"pdz ;ksx"	"1259"	"359"	"3193"	"793"	"41"	"34"	"47"	"192"	"195"	"6113"	"0"	"6113"	"0"
"142"	";ksx"	"16552"	"1860"	"16805"	"3395"	"322"	"246"	"272"	"1053"	"851"	"41356"	"0"	"41356"	"0"
"143"	"Round No.          7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"148"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"149"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"150"	"fiNys i`\"B dk
;ksx"	"16552"	"1860"	"16805"	"3395"	"322"	"246"	"272"	"1053"	"851"	"41356"	"0"	"41356"	"0"
"151"	"75"	"265"	"13"	"146"	"93"	"6"	"4"	"2"	"0"	"9"	"538"	"0"	"538"	"0"
"152"	"76"	"63"	"74"	"177"	"125"	"7"	"15"	"5"	"48"	"66"	"580"	"0"	"580"	"0"
"153"	"77"	"150"	"8"	"144"	"71"	"8"	"5"	"1"	"23"	"7"	"417"	"0"	"417"	"0"
"154"	"78"	"289"	"6"	"22"	"9"	"3"	"2"	"0"	"8"	"28"	"367"	"0"	"367"	"0"
"155"	"79"	"88"	"50"	"243"	"11"	"4"	"4"	"6"	"17"	"102"	"525"	"0"	"525"	"0"
"156"	"80"	"79"	"9"	"360"	"29"	"15"	"4"	"5"	"62"	"8"	"571"	"0"	"571"	"0"
"157"	"81"	"68"	"19"	"393"	"46"	"4"	"3"	"2"	"19"	"30"	"584"	"0"	"584"	"0"
"158"	"82"	"169"	"46"	"189"	"16"	"8"	"6"	"13"	"22"	"149"	"618"	"0"	"618"	"0"
"159"	"83"	"112"	"21"	"208"	"37"	"2"	"0"	"3"	"3"	"14"	"400"	"0"	"400"	"0"
"160"	"84"	"262"	"5"	"240"	"18"	"0"	"2"	"3"	"4"	"3"	"537"	"0"	"537"	"0"
"161"	"85"	"75"	"9"	"126"	"20"	"13"	"4"	"5"	"36"	"8"	"296"	"0"	"296"	"0"
"162"	"86"	"99"	"2"	"196"	"87"	"2"	"1"	"0"	"0"	"3"	"390"	"0"	"390"	"0"
"163"	"87"	"145"	"4"	"233"	"16"	"4"	"1"	"5"	"3"	"12"	"423"	"0"	"423"	"0"
"164"	"88"	"326"	"9"	"173"	"17"	"4"	"4"	"6"	"19"	"4"	"562"	"0"	"562"	"0"
"165"	"pdz ;ksx"	"2190"	"275"	"2850"	"595"	"80"	"55"	"56"	"264"	"443"	"6808"	"0"	"6808"	"0"
"166"	";ksx"	"18742"	"2135"	"19655"	"3990"	"402"	"301"	"328"	"1317"	"1294"	"48164"	"0"	"48164"	"0"
"167"	"Round No.          8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"172"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"173"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"174"	"fiNys i`\"B dk
;ksx"	"18742"	"2135"	"19655"	"3990"	"402"	"301"	"328"	"1317"	"1294"	"48164"	"0"	"48164"	"0"
"175"	"89"	"23"	"5"	"296"	"42"	"1"	"1"	"3"	"19"	"3"	"393"	"0"	"393"	"0"
"176"	"90"	"46"	"5"	"148"	"21"	"0"	"2"	"2"	"27"	"2"	"253"	"0"	"253"	"0"
"177"	"91"	"211"	"53"	"177"	"37"	"11"	"6"	"4"	"7"	"11"	"517"	"0"	"517"	"0"
"178"	"91 d"	"17"	"9"	"95"	"8"	"1"	"3"	"4"	"1"	"27"	"165"	"0"	"165"	"0"
"179"	"92"	"48"	"26"	"371"	"23"	"2"	"7"	"14"	"30"	"13"	"534"	"0"	"534"	"0"
"180"	"93"	"177"	"13"	"106"	"61"	"2"	"1"	"3"	"16"	"5"	"384"	"0"	"384"	"0"
"181"	"93 d"	"20"	"12"	"60"	"14"	"1"	"2"	"3"	"13"	"2"	"127"	"0"	"127"	"0"
"182"	"94"	"43"	"14"	"267"	"43"	"10"	"9"	"2"	"15"	"62"	"465"	"0"	"465"	"0"
"183"	"95"	"320"	"8"	"18"	"21"	"4"	"2"	"1"	"4"	"7"	"385"	"0"	"385"	"0"
"184"	"96"	"19"	"4"	"293"	"31"	"5"	"5"	"8"	"13"	"18"	"396"	"0"	"396"	"0"
"185"	"97"	"292"	"21"	"79"	"57"	"4"	"11"	"4"	"6"	"12"	"486"	"0"	"486"	"0"
"186"	"98"	"59"	"22"	"254"	"60"	"3"	"6"	"4"	"6"	"3"	"417"	"0"	"417"	"0"
"187"	"98 d"	"55"	"6"	"79"	"16"	"1"	"0"	"0"	"1"	"2"	"160"	"0"	"160"	"0"
"188"	"99"	"13"	"43"	"323"	"110"	"11"	"16"	"5"	"13"	"12"	"546"	"0"	"546"	"0"
"189"	"pdz ;ksx"	"1343"	"241"	"2566"	"544"	"56"	"71"	"57"	"171"	"179"	"5228"	"0"	"5228"	"0"
"190"	";ksx"	"20085"	"2376"	"22221"	"4534"	"458"	"372"	"385"	"1488"	"1473"	"53392"	"0"	"53392"	"0"
"191"	"Round No.          9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"196"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"197"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"198"	"fiNys i`\"B dk
;ksx"	"20085"	"2376"	"22221"	"4534"	"458"	"372"	"385"	"1488"	"1473"	"53392"	"0"	"53392"	"0"
"199"	"100"	"62"	"4"	"264"	"106"	"1"	"4"	"3"	"2"	"0"	"446"	"0"	"446"	"0"
"200"	"101"	"7"	"1"	"342"	"74"	"1"	"1"	"3"	"1"	"0"	"430"	"0"	"430"	"0"
"201"	"102"	"65"	"43"	"204"	"33"	"3"	"7"	"7"	"6"	"8"	"376"	"0"	"376"	"0"
"202"	"102 d"	"94"	"5"	"146"	"2"	"0"	"0"	"5"	"2"	"1"	"255"	"0"	"255"	"0"
"203"	"103"	"12"	"14"	"104"	"38"	"3"	"3"	"0"	"11"	"4"	"189"	"0"	"189"	"0"
"204"	"103 d"	"91"	"67"	"168"	"12"	"0"	"1"	"0"	"2"	"0"	"341"	"0"	"341"	"0"
"205"	"104"	"23"	"1"	"138"	"35"	"6"	"4"	"2"	"1"	"3"	"213"	"0"	"213"	"0"
"206"	"104 d"	"10"	"52"	"363"	"95"	"0"	"5"	"0"	"4"	"4"	"533"	"0"	"533"	"0"
"207"	"105"	"161"	"11"	"104"	"87"	"6"	"3"	"1"	"8"	"13"	"394"	"0"	"394"	"0"
"208"	"105 d"	"170"	"2"	"94"	"20"	"0"	"1"	"1"	"2"	"2"	"292"	"0"	"292"	"0"
"209"	"106"	"80"	"18"	"163"	"69"	"8"	"4"	"2"	"4"	"11"	"359"	"0"	"359"	"0"
