"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"25"	"16"	"188"	"170"	"26"	"260"	"12"	"22"	"24"	"702"	"0"	"702"	"0"
"26"	"17"	"215"	"114"	"9"	"227"	"6"	"22"	"4"	"597"	"0"	"597"	"0"
"27"	"18"	"271"	"20"	"7"	"85"	"2"	"4"	"6"	"395"	"0"	"395"	"0"
"28"	"19"	"355"	"16"	"0"	"35"	"1"	"6"	"13"	"426"	"0"	"426"	"0"
"29"	"20"	"71"	"8"	"2"	"294"	"5"	"2"	"6"	"388"	"0"	"388"	"0"
"30"	"21"	"49"	"8"	"21"	"156"	"4"	"4"	"6"	"248"	"0"	"248"	"0"
"31"	"22"	"166"	"26"	"8"	"198"	"10"	"14"	"7"	"429"	"0"	"429"	"0"
"32"	"22  A"	"106"	"7"	"6"	"104"	"3"	"13"	"7"	"246"	"0"	"246"	"0"
"33"	"23"	"276"	"8"	"10"	"67"	"2"	"14"	"4"	"381"	"0"	"381"	"0"
"34"	"24"	"390"	"20"	"2"	"59"	"2"	"43"	"9"	"525"	"0"	"525"	"0"
"35"	"25"	"153"	"7"	"5"	"151"	"5"	"6"	"12"	"339"	"0"	"339"	"0"
"36"	"25 A"	"156"	"4"	"2"	"10"	"2"	"0"	"10"	"184"	"0"	"184"	"0"
"37"	"26"	"82"	"27"	"48"	"285"	"8"	"21"	"2"	"473"	"0"	"473"	"0"
"38"	"27"	"28"	"25"	"9"	"283"	"18"	"1"	"10"	"374"	"0"	"374"	"0"
"39"	"28"	"270"	"20"	"11"	"66"	"2"	"30"	"3"	"402"	"0"	"402"	"0"
"40"	"29"	"383"	"13"	"6"	"34"	"5"	"9"	"12"	"462"	"0"	"462"	"0"
"41"	"30"	"216"	"65"	"9"	"175"	"2"	"10"	"1"	"478"	"0"	"478"	"0"
"42"	"31"	"91"	"69"	"35"	"331"	"12"	"10"	"33"	"581"	"0"	"581"	"0"
"43"	"32"	"185"	"32"	"2"	"151"	"6"	"1"	"6"	"383"	"0"	"383"	"0"
"44"	"33"	"419"	"6"	"2"	"32"	"2"	"2"	"6"	"469"	"0"	"469"	"0"
"45"	"33 A"	"16"	"9"	"3"	"58"	"2"	"0"	"3"	"91"	"0"	"91"	"0"
"46"	"34"	"168"	"85"	"15"	"187"	"14"	"15"	"21"	"505"	"0"	"505"	"0"
"47"	"35"	"114"	"74"	"45"	"237"	"8"	"26"	"12"	"516"	"0"	"516"	"0"
"48"	"36"	"116"	"181"	"19"	"143"	"7"	"8"	"14"	"488"	"0"	"488"	"0"
"49"	"37"	"88"	"63"	"18"	"72"	"3"	"7"	"3"	"254"	"0"	"254"	"0"
"50"	"38"	"257"	"12"	"74"	"44"	"10"	"19"	"7"	"423"	"0"	"423"	"0"
"51"	"39"	"287"	"14"	"11"	"14"	"2"	"20"	"20"	"368"	"0"	"368"	"0"
"52"	"39 A"	"13"	"46"	"2"	"107"	"0"	"7"	"2"	"177"	"0"	"177"	"0"
"53"	"40"	"305"	"71"	"9"	"35"	"1"	"4"	"7"	"432"	"0"	"432"	"0"
"54"	"41"	"225"	"17"	"10"	"175"	"5"	"3"	"7"	"442"	"0"	"442"	"0"
"55"	"42"	"271"	"6"	"30"	"4"	"4"	"7"	"9"	"331"	"0"	"331"	"0"
"56"	"43"	"66"	"4"	"10"	"235"	"5"	"2"	"3"	"325"	"0"	"325"	"0"
"57"	"44"	"274"	"63"	"40"	"218"	"2"	"7"	"9"	"613"	"0"	"613"	"0"
"58"	"45"	"33"	"39"	"8"	"209"	"3"	"2"	"2"	"296"	"0"	"296"	"0"
"59"	"46"	"45"	"203"	"10"	"119"	"6"	"3"	"4"	"390"	"0"	"390"	"0"
"60"	"47"	"66"	"42"	"79"	"100"	"4"	"4"	"10"	"305"	"0"	"305"	"0"
"61"	"48"	"166"	"3"	"2"	"403"	"4"	"1"	"4"	"583"	"0"	"583"	"0"
"62"	"49"	"408"	"11"	"6"	"14"	"3"	"1"	"2"	"445"	"0"	"445"	"0"
"63"	"50"	"24"	"2"	"1"	"547"	"2"	"2"	"3"	"581"	"0"	"581"	"0"
"64"	"51"	"294"	"2"	"5"	"81"	"2"	"0"	"1"	"385"	"0"	"385"	"0"
"65"	"51 A"	"195"	"4"	"3"	"18"	"1"	"0"	"0"	"221"	"0"	"221"	"0"
"66"	"52"	"65"	"46"	"55"	"264"	"14"	"5"	"12"	"461"	"0"	"461"	"0"
"67"	"53"	"135"	"126"	"20"	"223"	"6"	"2"	"4"	"516"	"0"	"516"	"0"
"68"	"54"	"135"	"28"	"24"	"166"	"1"	"4"	"3"	"361"	"0"	"361"	"0"
"69"	"55"	"32"	"100"	"1"	"136"	"1"	"1"	"4"	"275"	"0"	"275"	"0"
"70"	"56"	"382"	"1"	"12"	"0"	"0"	"2"	"1"	"398"	"0"	"398"	"0"
"71"	"57"	"198"	"6"	"25"	"114"	"1"	"5"	"7"	"356"	"0"	"356"	"0"
"72"	"58"	"109"	"12"	"60"	"159"	"5"	"2"	"12"	"359"	"0"	"359"	"0"
"73"	"59"	"38"	"109"	"4"	"171"	"5"	"0"	"6"	"333"	"0"	"333"	"0"
"74"	"59 A"	"53"	"13"	"18"	"107"	"1"	"2"	"5"	"199"	"0"	"199"	"0"
"75"	"60"	"87"	"16"	"58"	"287"	"9"	"7"	"17"	"481"	"0"	"481"	"0"
"76"	"61"	"35"	"7"	"11"	"449"	"5"	"0"	"4"	"511"	"0"	"511"	"0"
"77"	"62"	"93"	"111"	"12"	"335"	"5"	"4"	"15"	"575"	"0"	"575"	"0"
"78"	"63"	"157"	"27"	"14"	"198"	"14"	"4"	"18"	"432"	"0"	"432"	"0"
"79"	"64"	"210"	"17"	"14"	"105"	"6"	"11"	"8"	"371"	"0"	"371"	"0"
"80"	"65"	"293"	"25"	"43"	"230"	"9"	"5"	"7"	"612"	"0"	"612"	"0"
"81"	"66"	"23"	"157"	"29"	"70"	"4"	"5"	"3"	"291"	"0"	"291"	"0"
"82"	"67"	"477"	"7"	"11"	"68"	"1"	"14"	"12"	"590"	"0"	"590"	"0"
"83"	"68"	"521"	"0"	"0"	"36"	"0"	"8"	"0"	"565"	"0"	"565"	"0"
"84"	"69"	"44"	"8"	"2"	"302"	"3"	"0"	"6"	"365"	"0"	"365"	"0"
"85"	"70"	"18"	"0"	"2"	"555"	"1"	"0"	"0"	"576"	"0"	"576"	"0"
"86"	"71"	"32"	"42"	"0"	"430"	"0"	"0"	"1"	"505"	"0"	"505"	"0"
"87"	"72"	"84"	"5"	"2"	"188"	"0"	"2"	"0"	"281"	"0"	"281"	"0"
"88"	"73"	"139"	"57"	"7"	"154"	"13"	"0"	"6"	"376"	"0"	"376"	"0"
"89"	"74"	"373"	"15"	"34"	"22"	"9"	"32"	"20"	"505"	"0"	"505"	"0"
"90"	"75"	"240"	"92"	"35"	"48"	"10"	"7"	"14"	"446"	"0"	"446"	"0"
"91"	"76"	"148"	"24"	"9"	"214"	"2"	"7"	"5"	"409"	"0"	"409"	"0"
"92"	"77"	"36"	"17"	"1"	"394"	"5"	"1"	"3"	"457"	"0"	"457"	""
"93"	"78"	"156"	"2"	"1"	"87"	"1"	"3"	"3"	"253"	"0"	"253"	"0"
"94"	"78 A"	"46"	"33"	"15"	"101"	"22"	"3"	"7"	"227"	"0"	"227"	"0"
"95"	"79"	"120"	"32"	"14"	"293"	"8"	"2"	"13"	"482"	"0"	"482"	"0"
"96"	"80"	"282"	"13"	"24"	"130"	"3"	"6"	"13"	"471"	"0"	"471"	"0"
"97"	"81"	"44"	"3"	"10"	"445"	"1"	"1"	"1"	"505"	"0"	"505"	"0"
"98"	"82"	"193"	"32"	"11"	"174"	"23"	"10"	"7"	"450"	"0"	"450"	"0"
"99"	"83"	"105"	"17"	"8"	"339"	"126"	"18"	"17"	"630"	"0"	"630"	"0"
"100"	"84"	"160"	"25"	"10"	"210"	"12"	"2"	"3"	"422"	"0"	"422"	"0"
"101"	"85"	"176"	"54"	"16"	"226"	"2"	"11"	"14"	"499"	"0"	"499"	"0"
"102"	"86"	"294"	"70"	"18"	"173"	"13"	"14"	"29"	"611"	"0"	"611"	"0"
"103"	"87"	"135"	"31"	"5"	"197"	"3"	"131"	"10"	"512"	"0"	"512"	"0"
"104"	"88"	"259"	"29"	"5"	"211"	"9"	"4"	"4"	"521"	"0"	"521"	"0"
"105"	"89"	"155"	"7"	"5"	"2"	"1"	"0"	"0"	"170"	"0"	"170"	"0"
"106"	"90"	"52"	"0"	"2"	"120"	"0"	"1"	"0"	"175"	"0"	"175"	"0"
"107"	"91"	"330"	"50"	"11"	"107"	"13"	"4"	"10"	"525"	"0"	"525"	"0"
"108"	"92"	"73"	"33"	"2"	"173"	"13"	"1"	"0"	"295"	"0"	"295"	"0"
"109"	"93"	"144"	"16"	"21"	"186"	"7"	"2"	"12"	"388"	"0"	"388"	"0"
"110"	"93 A"	"22"	"10"	"7"	"136"	"7"	"3"	"15"	"200"	"0"	"200"	"0"
"111"	"94"	"178"	"174"	"6"	"39"	"52"	"8"	"11"	"468"	"0"	"468"	"0"
"112"	"95"	"78"	"122"	"15"	"261"	"9"	"2"	"6"	"493"	"0"	"493"	"0"
"113"	"96"	"230"	"37"	"3"	"87"	"35"	"6"	"10"	"408"	"0"	"408"	"0"
"114"	"97"	"165"	"25"	"39"	"196"	"5"	"1"	"1"	"432"	"0"	"432"	"0"
"115"	"98"	"304"	"13"	"57"	"62"	"13"	"5"	"12"	"466"	"0"	"466"	"0"
"116"	"99"	"211"	"119"	"5"	"181"	"4"	"5"	"22"	"547"	"0"	"547"	"0"
"117"	"100"	"204"	"5"	"14"	"46"	"0"	"1"	"1"	"271"	"0"	"271"	"0"
"118"	"101"	"367"	"27"	"7"	"126"	"108"	"11"	"7"	"653"	"0"	"653"	"0"
"119"	"102"	"91"	"3"	"28"	"457"	"9"	"1"	"6"	"595"	"0"	"595"	"0"
"120"	"103"	"127"	"79"	"25"	"228"	"22"	"1"	"6"	"488"	"0"	"488"	"0"
"121"	"104"	"476"	"12"	"1"	"128"	"46"	"3"	"5"	"671"	"0"	"671"	"0"
"122"	"105"	"96"	"238"	"21"	"175"	"27"	"5"	"8"	"570"	"0"	"570"	"0"
"123"	"105 A"	"39"	"30"	"32"	"24"	"1"	"3"	"0"	"129"	"0"	"129"	"0"
"124"	"106"	"127"	"12"	"9"	"178"	"6"	"2"	"10"	"344"	"0"	"344"	"0"
"125"	"107"	"255"	"22"	"1"	"204"	"3"	"1"	"6"	"492"	"0"	"492"	"0"
"126"	"108"	"106"	"12"	"12"	"245"	"7"	"4"	"18"	"404"	"0"	"404"	"0"
"127"	"109"	"97"	"27"	"45"	"106"	"11"	"0"	"4"	"290"	"0"	"290"	"0"
"128"	"110"	"79"	"22"	"24"	"317"	"10"	"6"	"17"	"475"	"0"	"475"	"0"
"129"	"110 A"	"6"	"3"	"2"	"166"	"1"	"0"	"2"	"180"	"0"	"180"	"0"
"130"	"111"	"92"	"31"	"1"	"182"	"19"	"2"	"3"	"330"	"0"	"330"	"0"
"131"	"112"	"12"	"38"	"8"	"191"	"1"	"0"	"2"	"252"	"0"	"252"	"0"
"132"	"113"	"109"	"15"	"1"	"148"	"2"	"7"	"3"	"285"	"0"	"285"	"0"
"133"	"114"	"195"	"32"	"7"	"317"	"8"	"8"	"1"	"568"	"0"	"568"	"0"
"134"	"115"	"178"	"13"	"113"	"408"	"21"	"2"	"9"	"744"	"0"	"744"	"0"
"135"	"116"	"210"	"3"	"13"	"225"	"0"	"1"	"18"	"470"	"0"	"470"	"0"
"136"	"117"	"175"	"7"	"144"	"156"	"4"	"6"	"6"	"498"	"0"	"498"	"0"
"137"	"118"	"129"	"25"	"55"	"219"	"11"	"3"	"3"	"445"	"0"	"445"	"0"
"138"	"119"	"140"	"123"	"8"	"61"	"28"	"5"	"8"	"373"	"0"	"373"	"0"
"139"	"120"	"149"	"53"	"7"	"204"	"8"	"1"	"3"	"425"	"0"	"425"	"0"
"140"	"121"	"124"	"146"	"19"	"108"	"4"	"10"	"9"	"420"	"0"	"420"	"0"
"141"	"122"	"221"	"17"	"20"	"257"	"6"	"2"	"4"	"527"	"0"	"527"	"0"
"142"	"123"	"106"	"89"	"29"	"93"	"1"	"3"	"1"	"322"	"0"	"322"	"0"
"143"	"124"	"274"	"14"	"9"	"160"	"0"	"11"	"6"	"474"	"0"	"474"	"0"
"144"	"125"	"176"	"42"	"41"	"205"	"9"	"3"	"11"	"487"	"0"	"487"	"0"
"145"	"126"	"364"	"2"	"106"	"5"	"1"	"0"	"3"	"481"	"0"	"481"	"0"
"146"	"127"	"146"	"126"	"36"	"231"	"3"	"4"	"4"	"550"	"0"	"550"	"0"
"147"	"128"	"221"	"19"	"107"	"89"	"3"	"2"	"9"	"450"	"0"	"450"	"0"
"148"	"129"	"276"	"14"	"36"	"48"	"1"	"0"	"1"	"376"	"0"	"376"	"0"
"149"	"130"	"242"	"127"	"18"	"127"	"1"	"0"	"7"	"522"	"0"	"522"	"0"
"150"	"131"	"116"	"35"	"3"	"183"	"5"	"3"	"7"	"352"	"0"	"352"	"0"
"151"	"131 A"	"45"	"3"	"2"	"288"	"3"	"0"	"0"	"341"	"0"	"341"	"0"
"152"	"132"	"176"	"15"	"3"	"3"	"0"	"22"	"11"	"230"	"0"	"230"	"0"
"153"	"133"	"43"	"224"	"10"	"178"	"3"	"1"	"7"	"466"	"0"	"466"	"0"
"154"	"134"	"346"	"6"	"4"	"15"	"0"	"3"	"1"	"375"	"0"	"375"	"0"
"155"	"135"	"268"	"38"	"6"	"162"	"4"	"33"	"4"	"515"	"0"	"515"	"0"
"156"	"136"	"49"	"109"	"14"	"198"	"4"	"1"	"7"	"382"	"0"	"382"	"0"
"157"	"137"	"155"	"9"	"6"	"246"	"3"	"2"	"4"	"425"	"0"	"425"	"0"
"158"	"137 A"	"94"	"9"	"6"	"96"	"2"	"3"	"8"	"218"	"0"	"218"	"0"
"159"	"138"	"204"	"13"	"9"	"90"	"4"	"14"	"9"	"343"	"0"	"343"	"0"
"160"	"138 A"	"66"	"9"	"4"	"187"	"2"	"2"	"6"	"276"	"0"	"276"	"0"
"161"	"139"	"122"	"6"	"10"	"234"	"3"	"4"	"4"	"383"	"0"	"383"	"0"
"162"	"140"	"127"	"17"	"2"	"309"	"1"	"1"	"4"	"461"	"0"	"461"	"0"
"163"	"141"	"115"	"9"	"5"	"164"	"2"	"0"	"4"	"299"	"0"	"299"	"0"
"164"	"142"	"187"	"27"	"11"	"235"	"3"	"6"	"1"	"470"	"0"	"470"	"0"
"165"	"143"	"88"	"3"	"11"	"246"	"2"	"2"	"4"	"356"	"0"	"356"	"0"
"166"	"143 A"	"73"	"4"	"5"	"229"	"1"	"1"	"3"	"316"	"0"	"316"	"0"
"167"	"144"	"463"	"16"	"5"	"83"	"4"	"1"	"13"	"585"	"0"	"585"	"0"
"168"	"145"	"493"	"9"	"0"	"20"	"3"	"3"	"12"	"540"	"0"	"540"	"0"
"169"	"145 A"	"325"	"4"	"1"	"10"	"0"	"2"	"5"	"347"	"0"	"347"	"0"
"170"	"146"	"305"	"68"	"9"	"38"	"1"	"6"	"6"	"433"	"0"	"433"	"0"
"171"	"146 A"	"176"	"14"	"2"	"19"	"0"	"1"	"3"	"215"	"0"	"215"	"0"
"172"	"147"	"120"	"25"	"7"	"302"	"3"	"6"	"7"	"470"	"0"	"470"	"0"
"173"	"148"	"274"	"45"	"4"	"18"	"2"	"2"	"11"	"356"	"0"	"356"	"0"
"174"	"149"	"137"	"36"	"5"	"239"	"2"	"13"	"7"	"439"	"0"	"439"	"0"
"175"	"150"	"344"	"7"	"9"	"120"	"5"	"3"	"4"	"492"	"0"	"492"	"0"
"176"	"151"	"217"	"6"	"4"	"102"	"15"	"4"	"4"	"352"	"0"	"352"	"0"
"177"	"151 A"	"72"	"23"	"10"	"174"	"49"	"4"	"8"	"340"	"0"	"340"	"0"
"178"	"152"	"211"	"6"	"6"	"143"	"8"	"10"	"9"	"393"	"0"	"393"	"0"
"179"	"153"	"62"	"6"	"5"	"213"	"2"	"1"	"6"	"295"	"0"	"295"	"0"
"180"	"154"	"320"	"8"	"49"	"264"	"5"	"1"	"14"	"661"	"0"	"661"	"0"
"181"	"154 A"	"59"	"0"	"15"	"300"	"0"	"0"	"0"	"374"	"0"	"374"	"0"
"182"	"155"	"37"	"4"	"3"	"544"	"4"	"0"	"1"	"593"	"0"	"593"	"0"
"183"	"156"	"36"	"46"	"2"	"516"	"5"	"3"	"3"	"611"	"0"	"611"	"0"
"184"	"157"	"56"	"18"	"9"	"368"	"73"	"2"	"5"	"531"	"0"	"531"	"0"
"185"	"158"	"59"	"7"	"40"	"553"	"3"	"1"	"4"	"667"	"0"	"667"	"0"
"186"	"159"	"48"	"267"	"4"	"275"	"2"	"0"	"0"	"596"	"0"	"596"	"0"
"187"	"160"	"162"	"10"	"48"	"162"	"7"	"0"	"1"	"390"	"0"	"390"	"0"
"188"	"161"	"182"	"58"	"16"	"110"	"4"	"3"	"1"	"374"	"0"	"374"	"0"
"189"	"162"	"4"	"8"	"10"	"573"	"0"	"2"	"4"	"601"	"0"	"601"	"0"
"190"	"163"	"9"	"66"	"73"	"104"	"8"	"5"	"7"	"272"	"0"	"272"	"0"
"191"	"164"	"21"	"61"	"5"	"447"	"3"	"3"	"8"	"548"	"0"	"548"	"0"
"192"	"165"	"264"	"17"	"4"	"13"	"2"	"3"	"5"	"308"	"0"	"308"	"0"
"193"	"166"	"318"	"56"	"19"	"103"	"1"	"2"	"2"	"501"	"0"	"501"	"0"
"194"	"167"	"134"	"4"	"46"	"142"	"4"	"3"	"3"	"336"	"0"	"336"	"0"
"195"	"168"	"112"	"77"	"42"	"85"	"7"	"2"	"7"	"332"	"0"	"332"	"0"
"196"	"169"	"261"	"19"	"9"	"143"	"2"	"2"	"12"	"448"	"0"	"448"	"0"
"197"	"170"	"273"	"42"	"14"	"89"	"8"	"3"	"13"	"442"	"0"	"442"	"0"
"198"	"171"	"107"	"33"	"38"	"168"	"3"	"5"	"6"	"360"	"0"	"360"	"0"
"199"	"172"	"297"	"34"	"7"	"101"	"10"	"3"	"12"	"464"	"0"	"464"	"0"
"200"	"173"	"194"	"72"	"31"	"166"	"2"	"2"	"5"	"472"	"0"	"472"	"0"
"201"	"174"	"166"	"136"	"18"	"96"	"19"	"4"	"16"	"455"	"0"	"455"	"0"
"202"	"175"	"91"	"86"	"6"	"57"	"3"	"4"	"2"	"249"	"0"	"249"	"0"
"203"	"175 A"	"108"	"13"	"0"	"64"	"2"	"1"	"4"	"192"	"0"	"192"	"0"
"204"	"176"	"241"	"11"	"17"	"44"	"8"	"16"	"15"	"352"	"0"	"352"	"0"
"205"	"177"	"197"	"23"	"30"	"176"	"4"	"3"	"3"	"436"	"0"	"436"	"0"
"206"	"178"	"144"	"91"	"24"	"214"	"7"	"11"	"14"	"505"	"0"	"505"	"0"
"207"	"179"	"107"	"38"	"4"	"228"	"7"	"5"	"10"	"399"	"0"	"399"	"0"
"208"	"179 A"	"152"	"4"	"4"	"10"	"1"	"3"	"6"	"180"	"0"	"180"	"0"
"209"	"180"	"40"	"39"	"32"	"114"	"8"	"2"	"13"	"248"	"0"	"248"	"0"
"210"	"181"	"188"	"46"	"22"	"372"	"2"	"9"	"6"	"645"	"0"	"645"	"0"
"211"	"182"	"166"	"8"	"72"	"91"	"5"	"3"	"11"	"356"	"0"	"356"	"0"
"212"	"183"	"12"	"3"	"10"	"261"	"28"	"4"	"5"	"323"	"0"	"323"	"0"
"213"	"183 A"	"64"	"3"	"2"	"149"	"3"	"1"	"3"	"225"	"0"	"225"	"0"
"214"	"184"	"211"	"10"	"13"	"262"	"13"	"22"	"18"	"549"	"0"	"549"	"0"
"215"	"185"	"42"	"17"	"56"	"106"	"15"	"2"	"8"	"246"	"0"	"246"	"0"
"216"	"186"	"120"	"33"	"4"	"125"	"146"	"5"	"4"	"437"	"0"	"437"	"0"
"217"	"186 A"	"19"	"0"	"1"	"90"	"39"	"1"	"2"	"152"	"0"	"152"	"0"
"218"	"187"	"99"	"10"	"59"	"254"	"34"	"2"	"4"	"462"	"0"	"462"	"0"
"219"	"188"	"73"	"4"	"1"	"279"	"3"	"1"	"1"	"362"	"0"	"362"	"0"
"220"	"189"	"182"	"19"	"42"	"94"	"4"	"1"	"3"	"345"	"0"	"345"	"0"
"221"	"190"	"281"	"123"	"25"	"212"	"12"	"12"	"21"	"686"	"0"	"686"	"0"
"222"	"191"	"210"	"18"	"72"	"72"	"2"	"5"	"12"	"391"	"0"	"391"	"0"
"223"	"192"	"197"	"12"	"22"	"136"	"3"	"3"	"6"	"379"	"0"	"379"	"0"
"224"	"193"	"194"	"3"	"3"	"153"	"6"	"1"	"7"	"367"	"0"	"367"	"0"
"225"	"194"	"72"	"6"	"6"	"175"	"40"	"4"	"15"	"318"	"0"	"318"	"0"
"226"	"195"	"112"	"62"	"22"	"199"	"24"	"8"	"12"	"439"	"0"	"439"	"0"
"227"	"196"	"346"	"0"	"1"	"27"	"3"	"9"	"0"	"386"	"0"	"386"	"0"
"228"	"197"	"160"	"13"	"11"	"169"	"84"	"4"	"7"	"448"	"0"	"448"	"0"
"229"	"198"	"198"	"65"	"9"	"94"	"14"	"6"	"1"	"387"	"8"	"387"	"0"
"230"	"199"	"65"	"5"	"60"	"175"	"0"	"0"	"3"	"308"	"0"	"308"	"0"
"231"	"200"	"72"	"127"	"6"	"192"	"14"	"2"	"6"	"419"	"0"	"419"	"0"
"232"	"201"	"182"	"13"	"226"	"52"	"35"	"4"	"4"	"516"	"0"	"516"	"0"
"233"	"202"	"87"	"29"	"64"	"250"	"9"	"8"	"9"	"456"	"0"	"456"	"0"
"234"	"203"	"27"	"7"	"138"	"231"	"11"	"3"	"3"	"420"	"0"	"420"	"0"
"235"	"204"	"37"	"4"	"19"	"206"	"5"	"2"	"2"	"275"	"0"	"275"	"0"
"236"	"205"	"150"	"28"	"63"	"249"	"18"	"6"	"11"	"525"	"0"	"525"	"0"
"237"	"206"	"10"	"1"	"21"	"400"	"2"	"0"	"3"	"437"	"0"	"437"	"0"
"238"	"206 A"	"30"	"10"	"55"	"234"	"5"	"4"	"2"	"340"	"0"	"340"	"0"
"239"	"207"	"81"	"25"	"28"	"143"	"1"	"2"	"6"	"286"	"0"	"286"	"0"
"240"	"207 A"	"77"	"50"	"25"	"32"	"5"	"2"	"1"	"192"	"0"	"192"	"0"
"241"	"208"	"322"	"4"	"52"	"5"	"3"	"7"	"2"	"395"	"0"	"395"	"0"
"242"	"209"	"23"	"16"	"27"	"111"	"37"	"2"	"8"	"224"	"0"	"224"	"0"
"243"	"210"	"17"	"3"	"2"	"376"	"8"	"15"	"0"	"421"	"0"	"421"	"0"
"244"	"211"	"130"	"123"	"17"	"87"	"4"	"1"	"2"	"364"	"0"	"364"	"0"
"245"	"212"	"54"	"46"	"31"	"277"	"114"	"5"	"20"	"547"	"0"	"547"	"0"
"246"	"213"	"118"	"7"	"11"	"323"	"69"	"2"	"16"	"546"	"0"	"546"	"0"
"247"	"214"	"211"	"21"	"15"	"205"	"65"	"12"	"5"	"534"	"0"	"534"	"0"
"248"	"215"	"132"	"3"	"5"	"158"	"6"	"3"	"1"	"308"	"0"	"308"	"0"
"249"	"216"	"132"	"12"	"51"	"91"	"3"	"2"	"1"	"292"	"0"	"292"	"0"
"250"	"217"	"293"	"23"	"6"	"117"	"3"	"3"	"6"	"451"	"0"	"451"	"0"
"251"	"Total no of votes recorded at polling
stations."	"38020"	"8795"	"5244"	"41765"	"2457"	"2249"	"1710"	"100240"	"0"	"100240"	"0"
"252"	"No of votes recorded on Postal Ballot papers"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"0"
"253"	"Total Votes polle d"	"38024"	"8795"	"5244"	"41765"	"2457"	"2249"	"1710"	"100244"	"0"	"100244"	"0"
"254"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"255"	"208 Bikramganj A C"	""	""	""	""	""	""	""	""	""	""	""
