"17"	"10"	"10"	""	"52"	""	""	"14"	""	""	"5"	""	""	""	"45"	""	""	""	"17"	""	""	""	"12"	""	""	""	"2"	""	""	""	"6"	""	""	""	"153"	""	""	""	"0"	""	""	""	"153"	""	""	""	""	""	""	""	""	""
"18"	"11"	"11"	""	"6"	""	""	"2"	""	""	"29"	""	""	""	"162"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"204"	""	""	""	"0"	""	""	""	"204"	""	""	""	""	""	""	""	""	""
"19"	"12"	"12"	""	"449"	""	""	"0"	""	""	"1"	""	""	""	"10"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"461"	""	""	""	"0"	""	""	""	"461"	""	""	""	""	""	""	""	""	""
"20"	"13"	"13"	""	"101"	""	""	"24"	""	""	"9"	""	""	""	"150"	""	""	""	"42"	""	""	""	"45"	""	""	""	"5"	""	""	""	"8"	""	""	""	"384"	""	""	""	"0"	""	""	""	"384"	""	""	""	""	""	""	""	""	""
"21"	"14"	"14"	""	"59"	""	""	"2"	""	""	"67"	""	""	""	"42"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"172"	""	""	""	"0"	""	""	""	"172"	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	""	"1345"	""	""	"104"	""	""	"327"	""	""	""	"1026"	""	""	""	"115"	""	""	""	"211"	""	""	""	"30"	""	""	""	"72"	""	""	""	"3230"	""	""	""	"0"	""	""	""	"3230"	""	""	""	""	""	""	""	""	""
"23"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"24"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	"BARHO RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"26"	"1"	"15"	""	"183"	""	""	"18"	""	""	"6"	""	""	""	""	"37"	""	""	""	"10"	""	""	""	"28"	""	""	""	"6"	""	""	""	"7"	""	""	""	"295"	""	""	""	"0"	""	""	""	"295"	""	""	""	""	""	""	""	""
"27"	"2"	"16"	""	"6"	""	""	"1"	""	""	"67"	""	""	""	""	"422"	""	""	""	"18"	""	""	""	"5"	""	""	""	"4"	""	""	""	"11"	""	""	""	"534"	""	""	""	"0"	""	""	""	"534"	""	""	""	""	""	""	""	""
"28"	"3"	"17"	""	"117"	""	""	"8"	""	""	"4"	""	""	""	""	"47"	""	""	""	"8"	""	""	""	"12"	""	""	""	"4"	""	""	""	"5"	""	""	""	"205"	""	""	""	"0"	""	""	""	"205"	""	""	""	""	""	""	""	""
"29"	"4"	"18"	""	"8"	""	""	"2"	""	""	"48"	""	""	""	""	"240"	""	""	""	"11"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"313"	""	""	""	"0"	""	""	""	"313"	""	""	""	""	""	""	""	""
"30"	"5"	"19"	""	"125"	""	""	"6"	""	""	"134"	""	""	""	""	"106"	""	""	""	"17"	""	""	""	"11"	""	""	""	"15"	""	""	""	"12"	""	""	""	"426"	""	""	""	"0"	""	""	""	"426"	""	""	""	""	""	""	""	""
"31"	"6"	"20"	""	"76"	""	""	"6"	""	""	"56"	""	""	""	""	"65"	""	""	""	"14"	""	""	""	"8"	""	""	""	"2"	""	""	""	"16"	""	""	""	"243"	""	""	""	"0"	""	""	""	"243"	""	""	""	""	""	""	""	""
"32"	"7"	"21"	""	"59"	""	""	"5"	""	""	"43"	""	""	""	""	"97"	""	""	""	"9"	""	""	""	"4"	""	""	""	"7"	""	""	""	"3"	""	""	""	"227"	""	""	""	"0"	""	""	""	"227"	""	""	""	""	""	""	""	""
"33"	"8"	"22"	""	"50"	""	""	"7"	""	""	"15"	""	""	""	""	"131"	""	""	""	"15"	""	""	""	"3"	""	""	""	"4"	""	""	""	"7"	""	""	""	"232"	""	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""	""
"34"	"9"	"23"	""	"13"	""	""	"7"	""	""	"83"	""	""	""	""	"219"	""	""	""	"14"	""	""	""	"6"	""	""	""	"7"	""	""	""	"16"	""	""	""	"365"	""	""	""	"0"	""	""	""	"365"	""	""	""	""	""	""	""	""
"35"	"10"	"24"	""	"111"	""	""	"63"	""	""	"22"	""	""	""	""	"254"	""	""	""	"26"	""	""	""	"20"	""	""	""	"9"	""	""	""	"10"	""	""	""	"515"	""	""	""	"0"	""	""	""	"515"	""	""	""	""	""	""	""	""
"36"	"11"	"25"	""	"214"	""	""	"23"	""	""	"42"	""	""	""	""	"88"	""	""	""	"10"	""	""	""	"6"	""	""	""	"5"	""	""	""	"9"	""	""	""	"397"	""	""	""	"0"	""	""	""	"397"	""	""	""	""	""	""	""	""
"37"	"12"	"26"	""	"142"	""	""	"7"	""	""	"101"	""	""	""	""	"258"	""	""	""	"38"	""	""	""	"13"	""	""	""	"8"	""	""	""	"23"	""	""	""	"590"	""	""	""	"0"	""	""	""	"590"	""	""	""	""	""	""	""	""
"38"	"13"	"27"	""	"124"	""	""	"3"	""	""	"9"	""	""	""	""	"145"	""	""	""	"10"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"296"	""	""	""	"0"	""	""	""	"296"	""	""	""	""	""	""	""	""
"39"	"14"	"28"	""	"65"	""	""	"7"	""	""	"2"	""	""	""	""	"32"	""	""	""	"12"	""	""	""	"5"	""	""	""	"1"	""	""	""	"5"	""	""	""	"129"	""	""	""	"0"	""	""	""	"129"	""	""	""	""	""	""	""	""
"40"	"Total"	""	""	"1293"	""	""	"163"	""	""	"632"	""	""	""	""	"2141"	""	""	""	"212"	""	""	""	"122"	""	""	""	"74"	""	""	""	"130"	""	""	""	"4767"	""	""	""	"0"	""	""	""	"4767"	""	""	""	""	""	""	""	""
"41"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"42"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"44"	"1"	"29"	""	"91"	""	""	"1"	""	""	""	"10"	""	""	""	"27"	""	""	""	"3"	""	""	""	"5"	""	""	""	"2"	""	""	""	"6"	""	""	""	"145"	""	""	""	"0"	""	""	""	"145"	""	""	""	""	""	""	""	""
"45"	"2"	"30"	""	"118"	""	""	"2"	""	""	""	"70"	""	""	""	"12"	""	""	""	"5"	""	""	""	"5"	""	""	""	"2"	""	""	""	"3"	""	""	""	"217"	""	""	""	"0"	""	""	""	"217"	""	""	""	""	""	""	""	""
"46"	"3"	"31"	""	"41"	""	""	"9"	""	""	""	"174"	""	""	""	"53"	""	""	""	"9"	""	""	""	"8"	""	""	""	"17"	""	""	""	"9"	""	""	""	"320"	""	""	""	"0"	""	""	""	"320"	""	""	""	""	""	""	""	""
"47"	"4"	"32"	""	"74"	""	""	"6"	""	""	""	"180"	""	""	""	"64"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"329"	""	""	""	"0"	""	""	""	"329"	""	""	""	""	""	""	""	""
"48"	"5"	"33"	""	"15"	""	""	"1"	""	""	""	"158"	""	""	""	"26"	""	""	""	"5"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"210"	""	""	""	"0"	""	""	""	"210"	""	""	""	""	""	""	""	""
"49"	"6"	"34"	""	"144"	""	""	"16"	""	""	""	"56"	""	""	""	"35"	""	""	""	"13"	""	""	""	"8"	""	""	""	"3"	""	""	""	"1"	""	""	""	"276"	""	""	""	"0"	""	""	""	"276"	""	""	""	""	""	""	""	""
"50"	"7"	"35"	""	"84"	""	""	"3"	""	""	""	"49"	""	""	""	"25"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"165"	""	""	""	"0"	""	""	""	"165"	""	""	""	""	""	""	""	""
"51"	"8"	"36"	""	"136"	""	""	"36"	""	""	""	"14"	""	""	""	"71"	""	""	""	"10"	""	""	""	"4"	""	""	""	"4"	""	""	""	"12"	""	""	""	"287"	""	""	""	"0"	""	""	""	"287"	""	""	""	""	""	""	""	""
"52"	"9"	"37"	""	"32"	""	""	"43"	""	""	""	"199"	""	""	""	"59"	""	""	""	"16"	""	""	""	"11"	""	""	""	"9"	""	""	""	"20"	""	""	""	"389"	""	""	""	"0"	""	""	""	"389"	""	""	""	""	""	""	""	""
"53"	"10"	"38"	""	"172"	""	""	"59"	""	""	""	"69"	""	""	""	"19"	""	""	""	"7"	""	""	""	"5"	""	""	""	"10"	""	""	""	"10"	""	""	""	"351"	""	""	""	"0"	""	""	""	"351"	""	""	""	""	""	""	""	""
"54"	"11"	"39"	""	"18"	""	""	"2"	""	""	""	"24"	""	""	""	"25"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"73"	""	""	""	"0"	""	""	""	"73"	""	""	""	""	""	""	""	""
"55"	"12"	"40"	""	"56"	""	""	"4"	""	""	""	"15"	""	""	""	"176"	""	""	""	"20"	""	""	""	"4"	""	""	""	"2"	""	""	""	"3"	""	""	""	"280"	""	""	""	"0"	""	""	""	"280"	""	""	""	""	""	""	""	""
"56"	"13"	"41"	""	"92"	""	""	"6"	""	""	""	"62"	""	""	""	"46"	""	""	""	"10"	""	""	""	"6"	""	""	""	"1"	""	""	""	"10"	""	""	""	"233"	""	""	""	"0"	""	""	""	"233"	""	""	""	""	""	""	""	""
"57"	"14"	"42"	""	"19"	""	""	"4"	""	""	""	"210"	""	""	""	"54"	""	""	""	"8"	""	""	""	"3"	""	""	""	"10"	""	""	""	"11"	""	""	""	"319"	""	""	""	"0"	""	""	""	"319"	""	""	""	""	""	""	""	""
"58"	"Total"	""	""	"1092"	""	""	"192"	""	""	""	"1290"	""	""	""	"692"	""	""	""	"113"	""	""	""	"62"	""	""	""	"65"	""	""	""	"88"	""	""	""	"3594"	""	""	""	"0"	""	""	""	"3594"	""	""	""	""	""	""	""	""
"59"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"63"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"65"	"1"	"43"	""	"53"	""	""	"5"	""	""	""	"67"	""	""	""	"115"	""	""	""	"9"	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"261"	""	""	""	"0"	""	""	""	"261"	""	""	""	""	""	""	""	""
"66"	"2"	"44"	""	"53"	""	""	"4"	""	""	""	"246"	""	""	""	"104"	""	""	""	"11"	""	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	"425"	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""	""	""
"67"	"3"	"45"	""	"59"	""	""	"7"	""	""	""	"233"	""	""	""	"136"	""	""	""	"11"	""	""	""	"6"	""	""	""	"11"	""	""	""	"14"	""	""	""	"477"	""	""	""	"0"	""	""	""	"477"	""	""	""	""	""	""	""	""
"68"	"4"	"46"	""	"151"	""	""	"10"	""	""	""	"111"	""	""	""	"30"	""	""	""	"6"	""	""	""	"3"	""	""	""	"6"	""	""	""	"7"	""	""	""	"324"	""	""	""	"0"	""	""	""	"324"	""	""	""	""	""	""	""	""
"69"	"5"	"47"	""	"123"	""	""	"2"	""	""	""	"22"	""	""	""	"85"	""	""	""	"16"	""	""	""	"3"	""	""	""	"2"	""	""	""	"15"	""	""	""	"268"	""	""	""	"0"	""	""	""	"268"	""	""	""	""	""	""	""	""
"70"	"6"	"48"	""	"3"	""	""	"1"	""	""	""	"3"	""	""	""	"171"	""	""	""	"15"	""	""	""	"1"	""	""	""	"1"	""	""	""	"6"	""	""	""	"201"	""	""	""	"0"	""	""	""	"201"	""	""	""	""	""	""	""	""
"71"	"7"	"49"	""	"63"	""	""	"6"	""	""	""	"25"	""	""	""	"149"	""	""	""	"13"	""	""	""	"5"	""	""	""	"2"	""	""	""	"3"	""	""	""	"266"	""	""	""	"0"	""	""	""	"266"	""	""	""	""	""	""	""	""
"72"	"8"	"49A"	""	"75"	""	""	"1"	""	""	""	"73"	""	""	""	"47"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"200"	""	""	""	"0"	""	""	""	"200"	""	""	""	""	""	""	""	""
"73"	"9"	"50"	""	"15"	""	""	"1"	""	""	""	"14"	""	""	""	"508"	""	""	""	"8"	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	"553"	""	""	""	"0"	""	""	""	"553"	""	""	""	""	""	""	""	""
"74"	"10"	"51"	""	"30"	""	""	"8"	""	""	""	"135"	""	""	""	"18"	""	""	""	"7"	""	""	""	"11"	""	""	""	"10"	""	""	""	"8"	""	""	""	"227"	""	""	""	"0"	""	""	""	"227"	""	""	""	""	""	""	""	""
"75"	"11"	"52"	""	"159"	""	""	"14"	""	""	""	"13"	""	""	""	"88"	""	""	""	"15"	""	""	""	"2"	""	""	""	"5"	""	""	""	"13"	""	""	""	"309"	""	""	""	"0"	""	""	""	"309"	""	""	""	""	""	""	""	""
"76"	"12"	"53"	""	"10"	""	""	"2"	""	""	""	"137"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"154"	""	""	""	"0"	""	""	""	"154"	""	""	""	""	""	""	""	""
"77"	"13"	"54"	""	"83"	""	""	"3"	""	""	""	"9"	""	""	""	"111"	""	""	""	"13"	""	""	""	"23"	""	""	""	"1"	""	""	""	"4"	""	""	""	"247"	""	""	""	"0"	""	""	""	"247"	""	""	""	""	""	""	""	""
"78"	"14"	"55"	""	"72"	""	""	"8"	""	""	""	"14"	""	""	""	"41"	""	""	""	"7"	""	""	""	"49"	""	""	""	"5"	""	""	""	"4"	""	""	""	"200"	""	""	""	"0"	""	""	""	"200"	""	""	""	""	""	""	""	""
"79"	"Total"	""	""	"949"	""	""	"72"	""	""	""	"1102"	""	""	""	"1606"	""	""	""	"134"	""	""	""	"112"	""	""	""	"48"	""	""	""	"89"	""	""	""	"4112"	""	""	""	"0"	""	""	""	"4112"	""	""	""	""	""	""	""	""
"80"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"84"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHAR Y"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANAN JAY PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"86"	"1"	"56"	""	"154"	""	""	"5"	""	""	""	"3"	""	""	""	"11"	""	""	""	"24"	""	""	""	"5"	""	""	""	"0"	""	""	""	"8"	""	""	""	"210"	""	""	""	"0"	""	""	""	"210"	""	""	""	""	""	""	""	""
"87"	"2"	"57"	""	"381"	""	""	"16"	""	""	""	"33"	""	""	""	"67"	""	""	""	"7"	""	""	""	"18"	""	""	""	"0"	""	""	""	"4"	""	""	""	"526"	""	""	""	"0"	""	""	""	"526"	""	""	""	""	""	""	""	""
"88"	"3"	"58"	""	"104"	""	""	"8"	""	""	""	"5"	""	""	""	"67"	""	""	""	"15"	""	""	""	"31"	""	""	""	"6"	""	""	""	"4"	""	""	""	"240"	""	""	""	"0"	""	""	""	"240"	""	""	""	""	""	""	""	""
"89"	"4"	"59"	""	"30"	""	""	"3"	""	""	""	"36"	""	""	""	"142"	""	""	""	"10"	""	""	""	"9"	""	""	""	"3"	""	""	""	"7"	""	""	""	"240"	""	""	""	"0"	""	""	""	"240"	""	""	""	""	""	""	""	""
"90"	"5"	"60"	""	"310"	""	""	"7"	""	""	""	"1"	""	""	""	"86"	""	""	""	"16"	""	""	""	"19"	""	""	""	"3"	""	""	""	"4"	""	""	""	"446"	""	""	""	"0"	""	""	""	"446"	""	""	""	""	""	""	""	""
"91"	"6"	"61"	""	"37"	""	""	"1"	""	""	""	"86"	""	""	""	"118"	""	""	""	"12"	""	""	""	"7"	""	""	""	"3"	""	""	""	"6"	""	""	""	"270"	""	""	""	"0"	""	""	""	"270"	""	""	""	""	""	""	""	""
"92"	"7"	"62"	""	"216"	""	""	"8"	""	""	""	"9"	""	""	""	"26"	""	""	""	"9"	""	""	""	"1"	""	""	""	"2"	""	""	""	"4"	""	""	""	"275"	""	""	""	"0"	""	""	""	"275"	""	""	""	""	""	""	""	""
"93"	"8"	"63"	""	"136"	""	""	"8"	""	""	""	"3"	""	""	""	"84"	""	""	""	"20"	""	""	""	"5"	""	""	""	"1"	""	""	""	"5"	""	""	""	"262"	""	""	""	"0"	""	""	""	"262"	""	""	""	""	""	""	""	""
"94"	"9"	"64"	""	"27"	""	""	"1"	""	""	""	"26"	""	""	""	"427"	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"493"	""	""	""	"0"	""	""	""	"493"	""	""	""	""	""	""	""	""
"95"	"10"	"65"	""	"0"	""	""	"14"	""	""	""	"27"	""	""	""	"244"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"287"	""	""	""	"0"	""	""	""	"287"	""	""	""	""	""	""	""	""
"96"	"11"	"66"	""	"31"	""	""	"3"	""	""	""	"155"	""	""	""	"73"	""	""	""	"14"	""	""	""	"24"	""	""	""	"9"	""	""	""	"16"	""	""	""	"325"	""	""	""	"0"	""	""	""	"325"	""	""	""	""	""	""	""	""
"97"	"12"	"67"	""	"99"	""	""	"3"	""	""	""	"23"	""	""	""	"74"	""	""	""	"10"	""	""	""	"16"	""	""	""	"3"	""	""	""	"4"	""	""	""	"232"	""	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""	""
"98"	"13"	"68"	""	"23"	""	""	"3"	""	""	""	"50"	""	""	""	"152"	""	""	""	"19"	""	""	""	"10"	""	""	""	"6"	""	""	""	"7"	""	""	""	"270"	""	""	""	"0"	""	""	""	"270"	""	""	""	""	""	""	""	""
"99"	"14"	"68A"	""	"9"	""	""	"0"	""	""	""	"36"	""	""	""	"183"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"233"	""	""	""	"0"	""	""	""	"233"	""	""	""	""	""	""	""	""
