"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"152"	"133"	"8"	"42"	"93"	"6"	"64"	"9"	"6"	"7"	"235"	""	"235"	""
"153"	"133A"	"6"	"57"	"222"	"6"	"36"	"3"	"4"	"4"	"338"	""	"338"	""
"154"	"134"	"5"	"57"	"72"	"6"	"66"	"14"	"5"	"16"	"241"	""	"241"	""
"155"	"135"	"6"	"41"	"138"	"3"	"28"	"6"	"11"	"2"	"235"	""	"235"	""
"156"	"136"	"8"	"52"	"25"	"5"	"105"	"106"	"13"	"7"	"321"	""	"321"	""
"157"	"137"	"10"	"11"	"119"	"13"	"41"	"9"	"9"	"12"	"224"	""	"224"	""
"158"	"137A"	"9"	"11"	"169"	"5"	"99"	"14"	"10"	"10"	"327"	""	"327"	""
"159"	"138"	"14"	"4"	"36"	"8"	"277"	"37"	"11"	"42"	"429"	""	"429"	""
"160"	"139"	"3"	"1"	"84"	"5"	"15"	"98"	"1"	"3"	"210"	""	"210"	""
"161"	"140"	"5"	"9"	"121"	"7"	"25"	"30"	"10"	"10"	"217"	""	"217"	""
"162"	"141"	"20"	"24"	"163"	"16"	"102"	"69"	"29"	"17"	"440"	""	"440"	""
"163"	"142"	"10"	"24"	"73"	"9"	"33"	"60"	"8"	"10"	"227"	""	"227"	""
"164"	"143"	"12"	"84"	"96"	"10"	"106"	"78"	"23"	"23"	"432"	""	"432"	""
"165"	"144"	"50"	"61"	"99"	"14"	"74"	"161"	"17"	"22"	"498"	""	"498"	""
"166"	"145"	"6"	"14"	"227"	"9"	"134"	"94"	"16"	"21"	"521"	""	"521"	""
"167"	"146"	"8"	"47"	"126"	"6"	"126"	"387"	"31"	"22"	"753"	""	"753"	""
"168"	"147"	"32"	"75"	"37"	"20"	"286"	"257"	"13"	"19"	"739"	""	"739"	""
"169"	"148"	"18"	"56"	"75"	"6"	"79"	"109"	"9"	"32"	"384"	""	"384"	""
"170"	"149"	"13"	"121"	"8"	"6"	"38"	"85"	"7"	"16"	"294"	""	"294"	""
"171"	"150"	"2"	"8"	"65"	"4"	"205"	"10"	"8"	"4"	"306"	""	"306"	""
"172"	"151"	"4"	"12"	"357"	"15"	"204"	"23"	"21"	"12"	"648"	""	"648"	""
"173"	"152"	"23"	"60"	"154"	"66"	"150"	"22"	"22"	"13"	"510"	""	"510"	""
"174"	"153"	"12"	"91"	"294"	"60"	"111"	"10"	"10"	"14"	"602"	""	"602"	""
"175"	"154"	"20"	"31"	"119"	"69"	"224"	"56"	"33"	"13"	"565"	""	"565"	""
"176"	"155"	"8"	"26"	"202"	"12"	"70"	"25"	"10"	"10"	"363"	""	"363"	""
"177"	"156"	"8"	"26"	"198"	"15"	"66"	"31"	"11"	"12"	"367"	""	"367"	""
"178"	"157"	"13"	"18"	"215"	"7"	"61"	"23"	"13"	"6"	"356"	""	"356"	""
"179"	"158"	"13"	"50"	"252"	"67"	"112"	"65"	"13"	"15"	"587"	""	"587"	""
"180"	"159"	"0"	"11"	"196"	"133"	"43"	"9"	"9"	"5"	"406"	""	"406"	""
"181"	"160"	"20"	"23"	"296"	"79"	"73"	"12"	"22"	"18"	"543"	""	"543"	""
"182"	"161"	"13"	"31"	"283"	"12"	"14"	"11"	"8"	"2"	"374"	""	"374"	""
"183"	"162"	"11"	"158"	"103"	"6"	"69"	"8"	"10"	"9"	"374"	""	"374"	""
"184"	"163"	"22"	"70"	"134"	"11"	"145"	"20"	"11"	"9"	"422"	""	"422"	""
"185"	"164"	"23"	"232"	"171"	"20"	"111"	"20"	"20"	"41"	"638"	""	"638"	""
"186"	"165"	"14"	"138"	"45"	"16"	"163"	"36"	"28"	"38"	"478"	""	"478"	""
"187"	"166"	"5"	"123"	"143"	"14"	"44"	"14"	"12"	"14"	"369"	""	"369"	""
"188"	"166A"	"10"	"67"	"188"	"8"	"34"	"12"	"19"	"14"	"352"	""	"352"	""
"189"	"167"	"11"	"211"	"25"	"8"	"9"	"25"	"14"	"5"	"308"	""	"308"	""
"190"	"PS NO."	"KEDAR SAHANI"	"JAGDISH PRASAD GUPTA"	"DINESH PRASAD"	"VINDESHWAR SAH"	"HIND KESARI YADAV"	"RAM UDESH ROY"	"JAWAHAR RAM"	"SAHDEO MANJHI"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"191"	"168"	"6"	"61"	"34"	"4"	"161"	"10"	"4"	"4"	"284"	""	"284"	""
"192"	"169"	"13"	"65"	"110"	"10"	"110"	"14"	"9"	"7"	"338"	""	"338"	""
"193"	"169A"	"11"	"37"	"38"	"1"	"144"	"10"	"8"	"13"	"262"	""	"262"	""
"194"	"170"	"83"	"39"	"103"	"3"	"62"	"12"	"10"	"14"	"326"	""	"326"	""
"195"	"171"	"17"	"116"	"67"	"12"	"129"	"35"	"20"	"45"	"441"	""	"441"	""
"196"	"172"	"7"	"284"	"109"	"6"	"28"	"13"	"11"	"7"	"465"	""	"465"	""
"197"	"173"	"2"	"55"	"113"	"14"	"142"	"36"	"4"	"10"	"376"	""	"376"	""
"198"	"174"	"7"	"67"	"157"	"10"	"145"	"20"	"14"	"19"	"439"	""	"439"	""
"199"	"175"	"16"	"49"	"241"	"8"	"192"	"28"	"16"	"14"	"564"	""	"564"	""
"200"	"176"	"5"	"127"	"205"	"9"	"81"	"10"	"5"	"19"	"461"	""	"461"	""
"201"	"177"	"7"	"80"	"136"	"8"	"225"	"12"	"18"	"9"	"495"	""	"495"	""
"202"	"178"	"1"	"3"	"11"	"5"	"459"	"20"	"3"	"2"	"504"	""	"504"	""
"203"	"179"	"8"	"62"	"32"	"9"	"297"	"54"	"14"	"20"	"496"	""	"496"	""
"204"	"180"	"19"	"47"	"279"	"12"	"268"	"22"	"25"	"32"	"704"	""	"704"	""
"205"	"181"	"8"	"41"	"142"	"4"	"301"	"16"	"10"	"9"	"531"	""	"531"	""
"206"	"182"	"9"	"71"	"245"	"23"	"30"	"7"	"12"	"12"	"409"	""	"409"	""
"207"	"183"	"6"	"137"	"203"	"16"	"25"	"5"	"11"	"14"	"417"	""	"417"	""
"208"	"184"	"8"	"69"	"155"	"13"	"126"	"11"	"19"	"18"	"419"	""	"419"	""
"209"	"185"	"5"	"13"	"59"	"6"	"244"	"6"	"7"	"2"	"342"	""	"342"	""
"210"	"186"	"19"	"60"	"244"	"12"	"216"	"11"	"20"	"12"	"594"	""	"594"	""
"211"	"187"	"3"	"25"	"56"	"13"	"218"	"13"	"12"	"15"	"355"	""	"355"	""
"212"	"188"	"10"	"4"	"123"	"35"	"380"	"9"	"7"	"4"	"572"	""	"572"	""
"213"	"189"	"11"	"13"	"410"	"33"	"177"	"7"	"19"	"13"	"683"	""	"683"	""
"214"	"190"	"5"	"70"	"44"	"6"	"146"	"10"	"10"	"1"	"292"	""	"292"	""
"215"	"191"	"4"	"36"	"133"	"53"	"404"	"25"	"16"	"22"	"693"	""	"693"	""
"216"	"192"	"16"	"47"	"98"	"13"	"330"	"10"	"9"	"15"	"538"	""	"538"	""
"217"	"193"	"11"	"29"	"203"	"14"	"170"	"15"	"14"	"12"	"468"	""	"468"	""
"218"	"194"	"7"	"7"	"139"	"89"	"140"	"12"	"12"	"20"	"426"	""	"426"	""
"219"	"195"	"20"	"18"	"283"	"28"	"88"	"7"	"17"	"10"	"471"	""	"471"	""
"220"	"196"	"11"	"18"	"99"	"83"	"282"	"33"	"14"	"16"	"556"	""	"556"	""
"221"	"197"	"13"	"20"	"319"	"75"	"94"	"13"	"7"	"14"	"555"	""	"555"	""
"222"	"198"	"6"	"59"	"144"	"13"	"181"	"18"	"24"	"29"	"474"	""	"474"	""
"223"	"TOTAL"	"2826"	"12002"	"40068"	"3099"	"28566"	"4599"	"2556"	"2874"	"96590"	"0"	"96590"	""
"224"	"P.BALL"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	""	"2"	""
"225"	"G.TOT"	"A 2826"	"12002"	"40070"	"3099"	"28566"	"4599"	"2556"	"2874"	"96592"	"0"	"96592"	""
"226"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"96590"	""	""	""
"227"	"NO OF VOTES RECORDED ON POSTAL BALLOT PAPERS."	""	""	""	""	""	""	""	""	"2"	""	""	""
"228"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"96592"	""	""	""
"229"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"DATE : 22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"63-Minapur"	""	""	""	""	""	""	""	""	""	""	""	""
