"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"128"	"80"	"92"	"149"	"9"	"1"	"12"	"431"	"3"	"3"	"2"	"2"	"6"	"2"	"712"	""	"712"	""
"129"	"81"	"35"	"252"	"12"	"6"	"6"	"118"	"1"	"6"	"5"	"1"	"5"	"5"	"452"	""	"452"	""
"130"	"82"	"94"	"259"	"23"	"1"	"4"	"44"	"4"	"3"	"3"	"2"	"2"	"2"	"441"	""	"441"	""
"131"	"83"	"8"	"242"	"30"	"1"	"2"	"153"	"0"	"0"	"0"	"1"	"0"	"1"	"438"	""	"438"	""
"132"	"84"	"19"	"179"	"3"	"1"	"9"	"258"	"4"	"1"	"3"	"0"	"4"	"7"	"488"	""	"488"	""
"133"	"85"	"113"	"336"	"12"	"3"	"4"	"162"	"2"	"3"	"4"	"4"	"6"	"7"	"656"	""	"656"	""
"134"	"86"	"106"	"87"	"69"	"5"	"5"	"201"	"4"	"5"	"5"	"2"	"4"	"20"	"513"	""	"513"	""
"135"	"87"	"138"	"20"	"7"	"2"	"12"	"172"	"3"	"2"	"2"	"2"	"3"	"3"	"366"	""	"366"	""
"136"	"88"	"205"	"67"	"4"	"5"	"7"	"144"	"2"	"5"	"7"	"3"	"2"	"8"	"459"	""	"459"	""
"137"	"89"	"18"	"651"	"31"	"3"	"2"	"38"	"6"	"1"	"4"	"4"	"9"	"15"	"782"	""	"782"	""
"138"	"90"	"114"	"182"	"4"	"8"	"5"	"81"	"4"	"6"	"6"	"7"	"17"	"8"	"442"	""	"442"	""
"139"	"90A"	"256"	"90"	"8"	"4"	"2"	"53"	"4"	"3"	"5"	"0"	"2"	"5"	"432"	""	"432"	""
"140"	"91"	"47"	"235"	"19"	"14"	"15"	"131"	"3"	"8"	"4"	"3"	"11"	"8"	"498"	""	"498"	""
"141"	"92"	"76"	"187"	"7"	"1"	"2"	"74"	"5"	"2"	"1"	"1"	"2"	"3"	"361"	""	"361"	""
"142"	"Total"	"1321"	"2936"	"238"	"55"	"87"	"2060"	"45"	"48"	"51"	"32"	"73"	"94"	"7040"	"0"	"7040"	"0"
"143"	"Cumm.Tot."	"11453"	"17408"	"1397"	"1969"	"884"	"13971"	"405"	"372"	"436"	"269"	"420"	"730"	"49714"	"0"	"49714"	"0"
"144"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"7                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"148"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"149"	"93"	"92"	"47"	"15"	"3"	"5"	"190"	"5"	"3"	"3"	"1"	"2"	"1"	"367"	""	"367"	""
"150"	"94"	"82"	"50"	"96"	"4"	"6"	"65"	"3"	"8"	"2"	"2"	"1"	"5"	"324"	""	"324"	""
"151"	"95"	"37"	"128"	"85"	"3"	"1"	"92"	"3"	"3"	"3"	"0"	"2"	"1"	"358"	""	"358"	""
"152"	"96"	"71"	"41"	"83"	"5"	"0"	"82"	"2"	"2"	"2"	"0"	"0"	"2"	"290"	""	"290"	""
"153"	"97"	"53"	"64"	"172"	"8"	"4"	"130"	"10"	"3"	"4"	"8"	"3"	"24"	"483"	""	"483"	""
"154"	"98"	"162"	"38"	"8"	"23"	"10"	"160"	"4"	"4"	"4"	"0"	"2"	"4"	"419"	""	"419"	""
"155"	"99"	"273"	"41"	"47"	"31"	"14"	"296"	"5"	"12"	"7"	"6"	"3"	"8"	"743"	""	"743"	""
"156"	"100"	"4"	"152"	"18"	"6"	"0"	"17"	"2"	"0"	"0"	"0"	"0"	"1"	"200"	""	"200"	""
"157"	"101"	"298"	"56"	"32"	"95"	"8"	"151"	"6"	"3"	"4"	"8"	"9"	"17"	"687"	""	"687"	""
"158"	"102"	"125"	"34"	"49"	"9"	"14"	"168"	"5"	"3"	"4"	"5"	"4"	"9"	"429"	""	"429"	""
"159"	"103"	"35"	"222"	"19"	"4"	"9"	"181"	"2"	"2"	"1"	"0"	"1"	"1"	"477"	""	"477"	""
"160"	"104"	"80"	"212"	"44"	"17"	"15"	"129"	"4"	"11"	"11"	"3"	"5"	"2"	"533"	""	"533"	""
"161"	"105"	"13"	"218"	"45"	"3"	"2"	"71"	"2"	"2"	"4"	"1"	"1"	"2"	"364"	""	"364"	""
"162"	"105A"	"48"	"221"	"28"	"2"	"8"	"102"	"2"	"4"	"8"	"5"	"8"	"23"	"459"	""	"459"	""
"163"	"Total"	"1373"	"1524"	"741"	"213"	"96"	"1834"	"55"	"60"	"57"	"39"	"41"	"100"	"6133"	"0"	"6133"	"0"
"164"	"Cumm.Tot."	"12826"	"18932"	"2138"	"2182"	"980"	"15805"	"460"	"432"	"493"	"308"	"461"	"830"	"55847"	"0"	"55847"	"0"
"165"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"8                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"169"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"170"	"106"	"170"	"95"	"28"	"2"	"2"	"134"	"3"	"1"	"0"	"1"	"2"	"8"	"446"	""	"446"	""
"171"	"107"	"102"	"184"	"6"	"2"	"7"	"224"	"2"	"4"	"3"	"4"	"1"	"9"	"548"	""	"548"	""
"172"	"108"	"115"	"177"	"22"	"4"	"4"	"98"	"3"	"6"	"12"	"4"	"3"	"9"	"457"	""	"457"	""
"173"	"109"	"174"	"80"	"8"	"0"	"10"	"182"	"4"	"0"	"2"	"2"	"2"	"6"	"470"	""	"470"	""
"174"	"110"	"29"	"196"	"8"	"1"	"2"	"177"	"6"	"5"	"2"	"2"	"2"	"5"	"435"	""	"435"	""
"175"	"111"	"28"	"452"	"12"	"3"	"7"	"41"	"6"	"0"	"2"	"1"	"3"	"3"	"558"	""	"558"	""
"176"	"112"	"16"	"158"	"3"	"3"	"5"	"334"	"14"	"6"	"3"	"0"	"0"	"2"	"544"	""	"544"	""
"177"	"113"	"38"	"28"	"5"	"77"	"6"	"275"	"7"	"3"	"12"	"2"	"1"	"15"	"469"	""	"469"	""
"178"	"114"	"98"	"219"	"35"	"13"	"9"	"137"	"2"	"7"	"3"	"3"	"3"	"2"	"531"	""	"531"	""
"179"	"115"	"81"	"92"	"13"	"2"	"24"	"243"	"10"	"7"	"9"	"1"	"11"	"7"	"500"	""	"500"	""
"180"	"116"	"5"	"413"	"11"	"6"	"1"	"23"	"2"	"0"	"2"	"1"	"3"	"3"	"470"	""	"470"	""
"181"	"116A"	"100"	"58"	"5"	"1"	"4"	"247"	"9"	"3"	"1"	"1"	"5"	"5"	"439"	""	"439"	""
"182"	"117"	"50"	"174"	"9"	"7"	"9"	"193"	"4"	"6"	"12"	"4"	"6"	"14"	"488"	""	"488"	""
"183"	"118"	"58"	"88"	"15"	"45"	"5"	"160"	"4"	"1"	"0"	"2"	"4"	"5"	"387"	""	"387"	""
"184"	"Total"	"1064"	"2414"	"180"	"166"	"95"	"2468"	"76"	"49"	"63"	"28"	"46"	"93"	"6742"	"0"	"6742"	"0"
