"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"81"	"69"	"16"	"105"	"44"	"6"	"6"	"7"	"184"	"-"	"184"	"-"
"82"	"70"	"4"	"16"	"184"	"10"	"2"	"2"	"218"	"-"	"218"	"-"
"83"	"71"	"8"	"50"	"143"	"8"	"3"	"6"	"218"	"-"	"218"	"-"
"84"	"72"	"20"	"178"	"38"	"7"	"7"	"13"	"263"	"-"	"263"	"-"
"85"	"73"	"9"	"29"	"123"	"5"	"26"	"14"	"206"	"-"	"206"	"-"
"86"	"74"	"11"	"69"	"238"	"7"	"1"	"10"	"336"	"-"	"336"	"-"
"87"	"75"	"14"	"33"	"180"	"13"	"6"	"20"	"266"	"-"	"266"	"-"
"88"	"76"	"40"	"43"	"291"	"6"	"4"	"14"	"398"	"-"	"398"	"-"
"89"	"77"	"17"	"118"	"185"	"47"	"2"	"12"	"381"	"-"	"381"	"-"
"90"	"78"	"16"	"41"	"342"	"3"	"13"	"3"	"418"	"-"	"418"	"-"
"91"	"79"	"20"	"153"	"207"	"51"	"29"	"12"	"472"	"-"	"472"	"-"
"92"	"80"	"23"	"103"	"163"	"18"	"6"	"15"	"328"	"-"	"328"	"-"
"93"	"81"	"4"	"219"	"44"	"8"	"4"	"5"	"284"	"-"	"284"	"-"
"94"	"82"	"8"	"67"	"274"	"23"	"11"	"18"	"401"	"-"	"401"	"-"
"95"	"83"	"48"	"55"	"321"	"20"	"16"	"34"	"494"	"-"	"494"	"-"
"96"	"84"	"15"	"132"	"280"	"9"	"7"	"18"	"461"	"-"	"461"	"-"
"97"	"85"	"6"	"22"	"360"	"26"	"4"	"4"	"422"	"-"	"422"	"-"
"98"	"86"	"17"	"35"	"326"	"11"	"8"	"14"	"411"	"-"	"411"	"-"
"99"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"100"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"101"	"87"	"15"	"41"	"353"	"14"	"8"	"19"	"450"	"-"	"450"	"-"
"102"	"88"	"23"	"170"	"205"	"22"	"8"	"10"	"438"	"-"	"438"	"-"
"103"	"89"	"10"	"31"	"262"	"6"	"11"	"10"	"330"	"-"	"330"	"-"
"104"	"90"	"15"	"30"	"282"	"14"	"6"	"8"	"355"	"-"	"355"	"-"
"105"	"91"	"21"	"110"	"189"	"8"	"5"	"12"	"345"	"-"	"345"	"-"
"106"	"92"	"9"	"6"	"165"	"4"	"4"	"1"	"189"	"-"	"189"	"-"
"107"	"93"	"17"	"129"	"23"	"5"	"9"	"11"	"194"	"-"	"194"	"-"
"108"	"94"	"14"	"86"	"192"	"10"	"6"	"13"	"321"	"-"	"321"	"-"
"109"	"95"	"7"	"25"	"257"	"5"	"1"	"3"	"298"	"-"	"298"	"-"
"110"	"96"	"7"	"29"	"215"	"0"	"2"	"0"	"253"	"-"	"253"	"-"
"111"	"97"	"12"	"34"	"266"	"12"	"53"	"11"	"388"	"-"	"388"	"-"
"112"	"98"	"4"	"85"	"204"	"5"	"4"	"2"	"304"	"-"	"304"	"-"
"113"	"99"	"6"	"57"	"267"	"5"	"8"	"2"	"345"	"-"	"345"	"-"
"114"	"100"	"12"	"94"	"230"	"12"	"13"	"5"	"366"	"-"	"366"	"-"
"115"	"101"	"13"	"135"	"178"	"23"	"7"	"16"	"372"	"-"	"372"	"-"
"116"	"102"	"28"	"150"	"187"	"4"	"5"	"5"	"379"	"-"	"379"	"-"
"117"	"103"	"19"	"134"	"348"	"43"	"10"	"8"	"562"	"-"	"562"	"-"
"118"	"104"	"3"	"56"	"169"	"6"	"3"	"9"	"246"	"-"	"246"	"-"
"119"	"105"	"28"	"37"	"197"	"14"	"7"	"6"	"289"	"-"	"289"	"-"
"120"	"106"	"15"	"123"	"159"	"9"	"13"	"9"	"328"	"-"	"328"	"-"
"121"	"107"	"2"	"5"	"225"	"5"	"1"	"1"	"239"	"-"	"239"	"-"
"122"	"108"	"2"	"155"	"20"	"1"	"6"	"1"	"185"	"-"	"185"	"-"
"123"	"109"	"19"	"67"	"314"	"24"	"19"	"33"	"476"	"-"	"476"	"-"
"124"	"110"	"18"	"28"	"283"	"11"	"9"	"8"	"357"	"-"	"357"	"-"
"125"	"111"	"32"	"160"	"73"	"3"	"5"	"13"	"286"	"-"	"286"	"-"
"126"	"112"	"34"	"75"	"149"	"16"	"9"	"15"	"298"	"-"	"298"	"-"
"127"	"113"	"57"	"109"	"99"	"3"	"12"	"10"	"290"	"-"	"290"	"-"
"128"	"114"	"169"	"30"	"106"	"10"	"3"	"7"	"325"	"-"	"325"	"-"
"129"	"115"	"39"	"37"	"308"	"12"	"7"	"27"	"430"	"-"	"430"	"-"
"130"	"116"	"18"	"6"	"170"	"1"	"5"	"4"	"204"	"-"	"204"	"-"
"131"	"117"	"24"	"252"	"148"	"15"	"38"	"15"	"492"	"-"	"492"	"-"
"132"	"118"	"52"	"111"	"334"	"16"	"5"	"8"	"526"	"-"	"526"	"-"
"133"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"134"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"135"	"119"	"8"	"17"	"252"	"2"	"3"	"9"	"291"	"-"	"291"	"-"
"136"	"120"	"58"	"51"	"179"	"30"	"10"	"16"	"344"	"-"	"344"	"-"
"137"	"121"	"7"	"35"	"223"	"9"	"3"	"6"	"283"	"-"	"283"	"-"
"138"	"122"	"13"	"36"	"205"	"6"	"5"	"7"	"272"	"-"	"272"	"-"
"139"	"122¼d½"	"21"	"57"	"150"	"49"	"21"	"6"	"304"	"-"	"304"	"-"
"140"	"123"	"19"	"61"	"292"	"9"	"13"	"12"	"406"	"-"	"406"	"-"
"141"	"124"	"25"	"49"	"91"	"7"	"1"	"5"	"178"	"-"	"178"	"-"
"142"	"125"	"13"	"115"	"196"	"8"	"1"	"2"	"335"	"-"	"335"	"-"
"143"	"126"	"24"	"173"	"252"	"8"	"2"	"7"	"466"	"-"	"466"	"-"
"144"	"127"	"3"	"42"	"91"	"4"	"2"	"1"	"143"	"-"	"143"	"-"
"145"	"128"	"4"	"110"	"12"	"0"	"4"	"1"	"131"	"-"	"131"	"-"
"146"	"129"	"15"	"85"	"45"	"2"	"2"	"5"	"154"	"-"	"154"	"-"
"147"	"130"	"51"	"132"	"76"	"6"	"11"	"4"	"280"	"-"	"280"	"-"
"148"	"131"	"3"	"31"	"168"	"0"	"14"	"1"	"217"	"-"	"217"	"-"
"149"	"132"	"29"	"130"	"290"	"13"	"17"	"14"	"493"	"-"	"493"	"-"
"150"	"133"	"24"	"153"	"312"	"20"	"15"	"26"	"550"	"-"	"550"	"-"
"151"	"134"	"0"	"73"	"75"	"7"	"0"	"5"	"160"	"-"	"160"	"-"
"152"	"135"	"10"	"152"	"27"	"3"	"9"	"7"	"208"	"-"	"208"	"-"
"153"	"136"	"23"	"78"	"219"	"16"	"19"	"17"	"372"	"-"	"372"	"-"
"154"	"137"	"2"	"36"	"212"	"6"	"30"	"18"	"304"	"-"	"304"	"-"
"155"	"138"	"23"	"173"	"93"	"10"	"28"	"22"	"349"	"-"	"349"	"-"
"156"	"139"	"15"	"54"	"289"	"13"	"41"	"23"	"435"	"-"	"435"	"-"
"157"	"140"	"6"	"87"	"96"	"6"	"7"	"16"	"218"	"-"	"218"	"-"
"158"	"141"	"7"	"71"	"63"	"5"	"18"	"7"	"171"	"-"	"171"	"-"
"159"	"142"	"25"	"138"	"160"	"15"	"189"	"19"	"546"	"-"	"546"	"-"
"160"	"143"	"16"	"49"	"122"	"8"	"3"	"5"	"203"	"-"	"203"	"-"
"161"	"144"	"34"	"88"	"193"	"14"	"29"	"25"	"383"	"-"	"383"	"-"
"162"	"145"	"10"	"90"	"155"	"10"	"75"	"17"	"357"	"-"	"357"	"-"
"163"	"146"	"10"	"143"	"71"	"10"	"40"	"4"	"278"	"-"	"278"	"-"
"164"	"147"	"5"	"111"	"66"	"4"	"18"	"11"	"215"	"-"	"215"	"-"
"165"	"148"	"12"	"36"	"37"	"7"	"145"	"10"	"247"	"-"	"247"	"-"
"166"	"149"	"31"	"191"	"45"	"7"	"12"	"4"	"290"	"-"	"290"	"-"
"167"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"168"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"169"	"150"	"0"	"19"	"232"	"6"	"74"	"2"	"333"	"-"	"333"	"-"
"170"	"151"	"18"	"65"	"104"	"21"	"48"	"17"	"273"	"-"	"273"	"-"
"171"	"152"	"11"	"91"	"391"	"11"	"33"	"23"	"560"	"-"	"560"	"-"
"172"	"153"	"12"	"149"	"156"	"8"	"7"	"12"	"344"	"-"	"344"	"-"
"173"	"154"	"13"	"99"	"252"	"7"	"6"	"3"	"380"	"-"	"380"	"-"
"174"	"155"	"23"	"19"	"227"	"5"	"8"	"6"	"288"	"-"	"288"	"-"
"175"	"155¼d½"	"18"	"16"	"298"	"11"	"11"	"7"	"361"	"-"	"361"	"-"
"176"	"156"	"8"	"13"	"204"	"4"	"1"	"3"	"233"	"-"	"233"	"-"
"177"	"157"	"24"	"76"	"263"	"8"	"18"	"10"	"399"	"-"	"399"	"-"
"178"	"158"	"20"	"40"	"325"	"8"	"5"	"11"	"409"	"-"	"409"	"-"
"179"	"159"	"34"	"104"	"226"	"19"	"76"	"26"	"485"	"-"	"485"	"-"
"180"	"160"	"21"	"137"	"94"	"16"	"23"	"13"	"304"	"-"	"304"	"-"
"181"	"161"	"11"	"205"	"135"	"5"	"11"	"14"	"381"	"-"	"381"	"-"
"182"	"162"	"27"	"155"	"161"	"8"	"6"	"16"	"373"	"-"	"373"	"-"
"183"	"163"	"28"	"196"	"211"	"26"	"14"	"22"	"497"	"-"	"497"	"-"
"184"	"164"	"19"	"123"	"109"	"7"	"3"	"10"	"271"	"-"	"271"	"-"
"185"	"165"	"19"	"163"	"287"	"13"	"6"	"16"	"504"	"-"	"504"	"-"
"186"	"166"	"11"	"35"	"203"	"4"	"13"	"14"	"280"	"-"	"280"	"-"
"187"	"167"	"14"	"236"	"96"	"3"	"5"	"20"	"374"	"-"	"374"	"-"
"188"	"168"	"19"	"372"	"42"	"8"	"13"	"10"	"464"	"-"	"464"	"-"
"189"	"169"	"18"	"222"	"110"	"7"	"15"	"7"	"379"	"-"	"379"	"-"
"190"	"170"	"25"	"228"	"42"	"8"	"9"	"15"	"327"	"-"	"327"	"-"
"191"	"171"	"24"	"272"	"90"	"6"	"8"	"7"	"407"	"-"	"407"	"-"
"192"	"172"	"12"	"19"	"167"	"1"	"2"	"0"	"201"	"-"	"201"	"-"
"193"	"173"	"26"	"226"	"152"	"9"	"14"	"12"	"439"	"-"	"439"	"-"
"194"	"173¼d½"	"16"	"67"	"149"	"2"	"2"	"4"	"240"	"-"	"240"	"-"
"195"	"174"	"26"	"11"	"413"	"8"	"17"	"10"	"485"	"-"	"485"	"-"
"196"	"175"	"36"	"147"	"178"	"25"	"23"	"33"	"442"	"-"	"442"	"-"
"197"	"176"	"22"	"45"	"29"	"3"	"3"	"5"	"107"	"-"	"107"	"-"
"198"	"177"	"7"	"14"	"298"	"27"	"3"	"8"	"357"	"-"	"357"	"-"
"199"	"178"	"47"	"136"	"66"	"7"	"7"	"9"	"272"	"-"	"272"	"-"
"200"	"179"	"7"	"34"	"304"	"24"	"19"	"11"	"399"	"-"	"399"	"-"
"201"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"202"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"203"	"180"	"41"	"112"	"296"	"16"	"19"	"27"	"511"	"-"	"511"	"-"
"204"	"181"	"35"	"122"	"172"	"15"	"20"	"7"	"371"	"-"	"371"	"-"
"205"	"182"	"36"	"133"	"15"	"5"	"10"	"2"	"201"	"-"	"201"	"-"
"206"	"183"	"43"	"51"	"163"	"12"	"36"	"12"	"317"	"-"	"317"	"-"
"207"	"184"	"20"	"35"	"192"	"11"	"74"	"10"	"342"	"-"	"342"	"-"
"208"	"185"	"81"	"167"	"116"	"9"	"15"	"15"	"403"	"-"	"403"	"-"
"209"	"186"	"63"	"170"	"26"	"8"	"3"	"12"	"282"	"-"	"282"	"-"
"210"	"187"	"11"	"69"	"251"	"4"	"8"	"11"	"354"	"-"	"354"	"-"
"211"	"188"	"46"	"162"	"46"	"11"	"55"	"13"	"333"	"-"	"333"	"-"
"212"	"189"	"25"	"150"	"26"	"11"	"17"	"11"	"240"	"-"	"240"	"-"
"213"	"190"	"52"	"182"	"20"	"5"	"97"	"21"	"377"	"-"	"377"	"-"
"214"	"191"	"35"	"72"	"302"	"21"	"14"	"36"	"480"	"-"	"480"	"-"
"215"	"192"	"167"	"134"	"159"	"14"	"9"	"19"	"502"	"-"	"502"	"-"
"216"	"193"	"27"	"131"	"136"	"12"	"8"	"18"	"332"	"-"	"332"	"-"
"217"	"194"	"19"	"96"	"212"	"8"	"13"	"12"	"360"	"-"	"360"	"-"
"218"	"195"	"21"	"183"	"293"	"13"	"7"	"5"	"522"	"-"	"522"	"-"
"219"	"196"	"41"	"138"	"72"	"13"	"23"	"17"	"304"	"-"	"304"	"-"
"220"	"197"	"38"	"216"	"17"	"3"	"15"	"15"	"304"	"-"	"304"	"-"
"221"	"197¼d½"	"39"	"144"	"20"	"9"	"4"	"20"	"236"	"-"	"236"	"-"
"222"	"198"	"24"	"137"	"91"	"11"	"114"	"13"	"390"	"-"	"390"	"-"
"223"	"199"	"13"	"124"	"89"	"9"	"26"	"4"	"265"	"-"	"265"	"-"
"224"	"200"	"13"	"335"	"67"	"8"	"7"	"14"	"444"	"-"	"444"	"-"
"225"	"201"	"15"	"160"	"14"	"10"	"66"	"15"	"280"	"-"	"280"	"-"
"226"	"202"	"16"	"82"	"101"	"9"	"93"	"24"	"325"	"-"	"325"	"-"
"227"	"203"	"17"	"93"	"126"	"6"	"37"	"14"	"293"	"-"	"293"	"-"
"228"	"204"	"29"	"175"	"83"	"9"	"43"	"26"	"365"	"-"	"365"	"-"
"229"	"205"	"3"	"42"	"46"	"4"	"3"	"12"	"110"	"-"	"110"	"-"
"230"	"206"	"24"	"101"	"11"	"8"	"38"	"14"	"196"	"-"	"196"	"-"
"231"	"207"	"24"	"128"	"46"	"10"	"124"	"25"	"357"	"-"	"357"	"-"
"232"	"208"	"13"	"24"	"206"	"9"	"43"	"10"	"305"	"-"	"305"	"-"
"233"	"209"	"8"	"87"	"74"	"13"	"77"	"20"	"279"	"-"	"279"	"-"
"234"	"210"	"23"	"116"	"125"	"13"	"103"	"26"	"406"	"-"	"406"	"-"
"235"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"236"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"237"	"211"	"23"	"195"	"59"	"10"	"87"	"16"	"390"	"-"	"390"	"-"
"238"	"212"	"22"	"163"	"78"	"16"	"37"	"30"	"346"	"-"	"346"	"-"
"239"	"213"	"2"	"115"	"6"	"4"	"12"	"2"	"141"	"-"	"141"	"-"
"240"	"214"	"11"	"81"	"138"	"9"	"49"	"13"	"301"	"-"	"301"	"-"
"241"	"215"	"22"	"209"	"122"	"13"	"36"	"28"	"430"	"-"	"430"	"-"
"242"	"216"	"26"	"294"	"83"	"4"	"28"	"8"	"443"	"-"	"443"	"-"
"243"	"217"	"17"	"146"	"65"	"12"	"61"	"26"	"327"	"-"	"327"	"-"
"244"	"218"	"17"	"146"	"159"	"13"	"23"	"8"	"366"	"-"	"366"	"-"
"245"	"218¼d½"	"20"	"83"	"82"	"6"	"33"	"11"	"235"	"-"	"235"	"-"
"246"	"219"	"20"	"141"	"15"	"1"	"4"	"10"	"191"	"-"	"191"	"-"
"247"	"220"	"22"	"161"	"31"	"1"	"13"	"3"	"231"	"-"	"231"	"-"
"248"	"221"	"66"	"133"	"87"	"4"	"8"	"18"	"316"	"-"	"316"	"-"
"249"	"222"	"24"	"65"	"7"	"2"	"3"	"10"	"111"	"-"	"111"	"-"
"250"	"223"	"23"	"133"	"145"	"14"	"42"	"6"	"363"	"-"	"363"	"-"
"251"	"224"	"12"	"173"	"146"	"23"	"50"	"29"	"433"	"-"	"433"	"-"
"252"	"225"	"18"	"61"	"228"	"14"	"5"	"14"	"340"	"-"	"340"	"-"
"253"	"226"	"16"	"96"	"323"	"23"	"29"	"24"	"511"	"-"	"511"	"-"
"254"	"227"	"2"	"88"	"98"	"3"	"0"	"4"	"195"	"-"	"195"	"-"
"255"	"228"	"38"	"86"	"250"	"11"	"4"	"16"	"405"	"-"	"405"	"-"
"256"	"229"	"16"	"108"	"312"	"12"	"63"	"25"	"536"	"-"	"536"	"-"
"257"	"230"	"21"	"182"	"329"	"20"	"21"	"22"	"595"	"-"	"595"	"-"
"258"	"231"	"16"	"193"	"59"	"8"	"45"	"16"	"337"	"-"	"337"	"-"
"259"	"232"	"17"	"71"	"122"	"4"	"27"	"5"	"246"	"-"	"246"	"-"
"260"	"233"	"13"	"97"	"30"	"2"	"26"	"12"	"180"	"-"	"180"	"-"
"261"	"234"	"12"	"127"	"79"	"7"	"11"	"12"	"248"	"-"	"248"	"-"
"262"	"235"	"44"	"280"	"173"	"12"	"18"	"27"	"554"	"-"	"554"	"-"
"263"	"236"	"28"	"292"	"70"	"7"	"17"	"6"	"420"	"-"	"420"	"-"
"264"	"237"	"8"	"228"	"138"	"7"	"28"	"7"	"416"	"-"	"416"	"-"
"265"	"238"	"13"	"107"	"313"	"12"	"4"	"15"	"464"	"-"	"464"	"-"
"266"	"239"	"16"	"110"	"156"	"15"	"8"	"13"	"318"	"-"	"318"	"-"
"267"	"240"	"18"	"88"	"115"	"18"	"63"	"7"	"309"	"-"	"309"	"-"
"268"	"241"	"18"	"161"	"222"	"19"	"127"	"14"	"561"	"-"	"561"	"-"
"269"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
