"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"19"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"12"	""	""	"136"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"157"	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"29"	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"13"	""	""	"234"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	"123"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"14"	""	""	"68"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"74"	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"15"	""	""	"99"	""	""	""	""	"7"	""	""	""	"9"	""	""	""	"290"	""	""	""	"29"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"16"	""	""	"192"	""	""	""	""	"12"	""	""	""	"9"	""	""	""	"211"	""	""	""	"44"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	""	""	""	"3"	""	""	""	""	"20"	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"17"	""	""	"111"	""	""	""	""	"5"	""	""	""	"7"	""	""	""	"219"	""	""	""	"76"	""	""	""	""	"22"	""	""	""	""	"7"	""	""	""	""	""	""	"6"	""	""	""	""	"20"	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"18"	""	""	"51"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	"196"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"274"	""	""	""	""	""	""	""	""	"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"19"	""	""	"176"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"238"	""	""	""	"99"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"20"	""	""	"112"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	"125"	""	""	""	"18"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	""	""	"6"	""	""	""	""	"19"	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"21"	""	""	"26"	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"151"	""	""	""	"145"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"22"	""	""	"9"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"95"	""	""	""	"54"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"22A"	""	""	"34"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"197"	""	""	""	"53"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Total"	""	""	"1248"	""	""	""	""	"51"	""	""	""	"74"	""	""	""	"2076"	""	""	""	"551"	""	""	""	""	"91"	""	""	""	""	"45"	""	""	""	""	""	""	"38"	""	""	""	""	"152"	""	""	""	""	""	"4326"	""	""	""	"0"	""	""	""	""	"4326"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Till last round"	""	""	"833"	""	""	""	""	"47"	""	""	""	"80"	""	""	""	"1890"	""	""	""	"448"	""	""	""	""	"82"	""	""	""	""	"41"	""	""	""	""	""	""	"24"	""	""	""	""	"111"	""	""	""	""	""	"3556"	""	""	""	"0"	""	""	""	""	"3556"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Grand Total"	""	""	"2081"	""	""	""	""	"98"	""	""	""	"154"	""	""	""	"3966"	""	""	""	"999"	""	""	""	""	"173"	""	""	""	""	"86"	""	""	""	""	""	""	"62"	""	""	""	""	"263"	""	""	""	""	""	"7882"	""	""	""	"0"	""	""	""	""	"7882"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Date :-                                                                                                                                                                                                                                                         Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"23"	""	""	"18"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	"265"	""	""	""	"87"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"24"	""	""	"11"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"419"	""	""	""	"35"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"25"	""	""	"34"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	"290"	""	""	""	"38"	""	""	""	""	"16"	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	"13"	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"26"	""	""	"34"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"387"	""	""	""	"56"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"27"	""	""	"37"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"236"	""	""	""	"20"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"11"	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"28"	""	""	"120"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"242"	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"18"	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"29"	""	""	"151"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"185"	""	""	""	"17"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"25"	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"30"	""	""	"152"	""	""	""	""	"5"	""	""	""	"29"	""	""	""	"347"	""	""	""	"22"	""	""	""	""	"16"	""	""	""	""	"4"	""	""	""	""	""	""	"10"	""	""	""	""	"37"	""	""	""	""	""	"622"	""	""	""	""	""	""	""	""	"622"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"31"	""	""	"127"	""	""	""	""	"5"	""	""	""	"9"	""	""	""	"312"	""	""	""	"17"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"32"	""	""	"114"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"389"	""	""	""	"35"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"33"	""	""	"90"	""	""	""	""	"9"	""	""	""	"11"	""	""	""	"284"	""	""	""	"106"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"16"	""	""	""	""	""	"534"	""	""	""	""	""	""	""	""	"534"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"34"	""	""	"194"	""	""	""	""	"1"	""	""	""	"17"	""	""	""	"125"	""	""	""	"78"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	"19"	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total"	""	""	"1082"	""	""	""	""	"48"	""	""	""	"110"	""	""	""	"3481"	""	""	""	"524"	""	""	""	""	"115"	""	""	""	""	"41"	""	""	""	""	""	""	"50"	""	""	""	""	"180"	""	""	""	""	""	"5631"	""	""	""	"0"	""	""	""	""	"5631"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Till last round"	""	""	"2081"	""	""	""	""	"98"	""	""	""	"154"	""	""	""	"3966"	""	""	""	"999"	""	""	""	""	"173"	""	""	""	""	"86"	""	""	""	""	""	""	"62"	""	""	""	""	"263"	""	""	""	""	""	"7882"	""	""	""	"0"	""	""	""	""	"7882"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Grand Total"	""	""	"3163"	""	""	""	""	"146"	""	""	""	"264"	""	""	""	"7447"	""	""	""	"1523"	""	""	""	""	"288"	""	""	""	""	"127"	""	""	""	""	""	""	"112"	""	""	""	""	"443"	""	""	""	""	""	"13513"	""	""	""	"0"	""	""	""	""	"13513"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
