"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 231-Gaya Moffassil Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency                                                                                                                                                       Round No. ……            1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"5"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	""	"JITENDRA RAM"	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	""	""	"MAHESH SINGH YADAV"	""	"YOGENDRA DAS"	""	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	""	"SAHABUDDIN"	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"10"	"10"	""	""	"40"	""	""	"147"	""	"92"	""	""	"6"	""	""	"3"	""	""	"3"	""	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	"2"	""	""	"4"	""	""	"4"	""	""	"36"	""	""	""	"8"	""	""	"3"	""	""	""	"356"	""	""	""	"0"	""	""	""	"356"	""	""	""	""	""	""	""	""
"17"	"11"	"11"	""	""	"105"	""	""	"123"	""	"30"	""	""	"4"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"4"	""	"0"	""	""	"1"	""	""	"2"	""	""	"54"	""	""	""	"7"	""	""	"15"	""	""	""	"350"	""	""	""	"0"	""	""	""	"350"	""	""	""	""	""	""	""	""
"18"	"12"	"11A"	""	""	"37"	""	""	"205"	""	"44"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"3"	""	""	""	"8"	""	"1"	""	""	"0"	""	""	"0"	""	""	"26"	""	""	""	"4"	""	""	"4"	""	""	""	"339"	""	""	""	"0"	""	""	""	"339"	""	""	""	""	""	""	""	""
"19"	"13"	"12"	""	""	"10"	""	""	"82"	""	"3"	""	""	"30"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	"2"	""	""	"2"	""	""	"129"	""	""	""	"4"	""	""	"3"	""	""	""	"267"	""	""	""	"0"	""	""	""	"267"	""	""	""	""	""	""	""	""
"20"	"14"	"13"	""	""	"110"	""	""	"216"	""	"36"	""	""	"10"	""	""	"2"	""	""	"7"	""	""	""	"5"	""	""	"6"	""	""	"3"	""	""	""	"9"	""	"4"	""	""	"0"	""	""	"6"	""	""	"85"	""	""	""	"17"	""	""	"22"	""	""	""	"538"	""	""	""	"0"	""	""	""	"538"	""	""	""	""	""	""	""	""
"21"	"Total"	""	""	""	"684"	""	""	"1897"	""	"668"	""	""	"145"	""	""	"26"	""	""	"29"	""	""	""	"20"	""	""	"25"	""	""	"31"	""	""	""	"78"	""	"23"	""	""	"23"	""	""	"77"	""	""	"1201"	""	""	""	"118"	""	""	"131"	""	""	""	"5176"	""	""	""	"0"	""	""	""	"5176"	""	""	""	""	""	""	""	""
"22"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejecte d votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"26"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDI N"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""	""
"28"	"1"	""	"14"	""	"74"	""	""	"112"	""	"7"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"3"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"3"	""	""	"4"	""	""	""	"1"	""	""	"206"	""	""	""	"0"	""	""	""	"206"	""	""	""	""	""	""	""	""	""	""	""
"29"	"2"	""	"15"	""	"73"	""	""	"129"	""	"65"	""	"4"	""	""	"1"	""	""	"3"	""	""	"5"	""	""	""	"2"	""	""	"5"	""	"9"	""	""	""	"1"	""	"1"	""	""	"4"	""	""	"48"	""	""	"7"	""	""	""	"5"	""	""	"362"	""	""	""	"0"	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""
"30"	"3"	""	"16"	""	"99"	""	""	"64"	""	"24"	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"1"	""	""	""	"0"	""	"0"	""	""	"2"	""	""	"28"	""	""	"1"	""	""	""	"1"	""	""	"224"	""	""	""	"0"	""	""	""	"224"	""	""	""	""	""	""	""	""	""	""	""
"31"	"4"	""	"17"	""	"47"	""	""	"128"	""	"35"	""	"18"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	"8"	""	""	""	"5"	""	"4"	""	""	"6"	""	""	"160"	""	""	"10"	""	""	""	"12"	""	""	"443"	""	""	""	"0"	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""
"32"	"5"	""	"18"	""	"201"	""	""	"8"	""	"36"	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"0"	""	"0"	""	""	"3"	""	""	"12"	""	""	"0"	""	""	""	"7"	""	""	"269"	""	""	""	"0"	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""	""
"33"	"6"	""	"18A"	""	"64"	""	""	"3"	""	"2"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"2"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"7"	""	""	"0"	""	""	""	"1"	""	""	"80"	""	""	""	"0"	""	""	""	"80"	""	""	""	""	""	""	""	""	""	""	""
"34"	"7"	""	"19"	""	"97"	""	""	"143"	""	"13"	""	"25"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	""	"11"	""	""	"3"	""	"11"	""	""	""	"1"	""	"0"	""	""	"3"	""	""	"13"	""	""	"9"	""	""	""	"4"	""	""	"337"	""	""	""	"0"	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""
"35"	"8"	""	"20"	""	"60"	""	""	"130"	""	"15"	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"0"	""	"2"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"14"	""	""	"1"	""	""	""	"3"	""	""	"230"	""	""	""	"0"	""	""	""	"230"	""	""	""	""	""	""	""	""	""	""	""
"36"	"9"	""	"21"	""	"46"	""	""	"77"	""	"4"	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	"25"	""	""	"4"	""	""	""	"2"	""	""	"161"	""	""	""	"0"	""	""	""	"161"	""	""	""	""	""	""	""	""	""	""	""
"37"	"10"	""	"22"	""	"73"	""	""	"31"	""	"43"	""	"2"	""	""	"3"	""	""	"5"	""	""	"1"	""	""	""	"5"	""	""	"7"	""	"17"	""	""	""	"6"	""	"6"	""	""	"15"	""	""	"110"	""	""	"10"	""	""	""	"16"	""	""	"350"	""	""	""	"0"	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""
"38"	"11"	""	"23"	""	"18"	""	""	"9"	""	"31"	""	"3"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	"6"	""	""	""	"2"	""	"2"	""	""	"7"	""	""	"186"	""	""	"8"	""	""	""	"26"	""	""	"309"	""	""	""	"0"	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""
"39"	"12"	""	"23A"	""	"125"	""	""	"23"	""	"37"	""	"20"	""	""	"5"	""	""	"7"	""	""	"2"	""	""	""	"0"	""	""	"5"	""	"5"	""	""	""	"3"	""	"3"	""	""	"8"	""	""	"44"	""	""	"11"	""	""	""	"18"	""	""	"316"	""	""	""	"0"	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""
"40"	"13"	""	"24"	""	"39"	""	""	"156"	""	"84"	""	"4"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	"2"	""	"0"	""	""	""	"3"	""	"3"	""	""	"9"	""	""	"95"	""	""	"4"	""	""	""	"5"	""	""	"413"	""	""	""	"0"	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""
"41"	"14"	""	"25"	""	"37"	""	""	"87"	""	"79"	""	"6"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"5"	""	""	"0"	""	"23"	""	""	""	"6"	""	"6"	""	""	"13"	""	""	"86"	""	""	"12"	""	""	""	"7"	""	""	"372"	""	""	""	"0"	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""
"42"	"Total"	""	""	""	"1053"	""	""	"1100"	""	"475"	""	"85"	""	""	"21"	""	""	"24"	""	""	"20"	""	""	""	"33"	""	""	"29"	""	"87"	""	""	""	"27"	""	"25"	""	""	"73"	""	""	"831"	""	""	"81"	""	""	""	"108"	""	""	"4072"	""	""	""	"0"	""	""	""	"4072"	""	""	""	""	""	""	""	""	""	""	""
"43"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"44"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDIN"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""
"46"	"1"	""	"26"	""	"32"	""	""	"78"	""	"23"	""	"0"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	"29"	""	""	""	"2"	""	"2"	""	""	"3"	""	""	"35"	""	""	"5"	""	""	""	"9"	""	""	"230"	""	""	""	""	"0"	""	""	""	"230"	""	""	""	""	""	""	""	""	""	""
"47"	"2"	""	"27"	""	"115"	""	""	"142"	""	"64"	""	"8"	""	""	"4"	""	""	"4"	""	""	"2"	""	""	""	"5"	""	""	"8"	""	"11"	""	""	""	"6"	""	"6"	""	""	"5"	""	""	"107"	""	""	"19"	""	""	""	"18"	""	""	"524"	""	""	""	""	"0"	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""
"48"	"3"	""	"28"	""	"97"	""	""	"43"	""	"4"	""	"6"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	"0"	""	"1"	""	""	""	"0"	""	"1"	""	""	"0"	""	""	"10"	""	""	"1"	""	""	""	"1"	""	""	"169"	""	""	""	""	"0"	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""
"49"	"4"	""	"29"	""	"30"	""	""	"153"	""	"21"	""	"5"	""	""	"1"	""	""	"3"	""	""	"5"	""	""	""	"5"	""	""	"3"	""	"5"	""	""	""	"4"	""	"4"	""	""	"8"	""	""	"187"	""	""	"10"	""	""	""	"12"	""	""	"456"	""	""	""	""	"0"	""	""	""	"456"	""	""	""	""	""	""	""	""	""	""
"50"	"5"	""	"30"	""	"36"	""	""	"54"	""	"93"	""	"9"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"6"	""	""	""	"1"	""	"1"	""	""	"6"	""	""	"68"	""	""	"3"	""	""	""	"6"	""	""	"286"	""	""	""	""	"0"	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""
"51"	"6"	""	"31"	""	"22"	""	""	"63"	""	"102"	""	"2"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	"8"	""	""	""	"3"	""	"2"	""	""	"8"	""	""	"102"	""	""	"18"	""	""	""	"14"	""	""	"353"	""	""	""	""	"0"	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""
"52"	"7"	""	"32"	""	"130"	""	""	"128"	""	"35"	""	"3"	""	""	"0"	""	""	"2"	""	""	"4"	""	""	""	"2"	""	""	"2"	""	"8"	""	""	""	"3"	""	"1"	""	""	"10"	""	""	"98"	""	""	"24"	""	""	""	"12"	""	""	"462"	""	""	""	""	"0"	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""
"53"	"8"	""	"33"	""	"84"	""	""	"119"	""	"36"	""	"6"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	"1"	""	""	""	"1"	""	"0"	""	""	"3"	""	""	"101"	""	""	"11"	""	""	""	"12"	""	""	"377"	""	""	""	""	"0"	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""
"54"	"9"	""	"34"	""	"226"	""	""	"11"	""	"2"	""	"2"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"0"	""	"1"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	""	"6"	""	""	"254"	""	""	""	""	"0"	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""
"55"	"10"	""	"35"	""	"29"	""	""	"113"	""	"31"	""	"4"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"6"	""	""	""	"2"	""	"1"	""	""	"6"	""	""	"207"	""	""	"14"	""	""	""	"7"	""	""	"424"	""	""	""	""	"0"	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""
"56"	"11"	""	"36"	""	"101"	""	""	"19"	""	"32"	""	"1"	""	""	"3"	""	""	"2"	""	""	"2"	""	""	""	"1"	""	""	"3"	""	"1"	""	""	""	"1"	""	"0"	""	""	"5"	""	""	"170"	""	""	"5"	""	""	""	"8"	""	""	"354"	""	""	""	""	"0"	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""
"57"	"12"	""	"37"	""	"92"	""	""	"40"	""	"9"	""	"1"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	"2"	""	"18"	""	""	""	"1"	""	"0"	""	""	"6"	""	""	"171"	""	""	"6"	""	""	""	"5"	""	""	"355"	""	""	""	""	"0"	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""
"58"	"13"	""	"38"	""	"20"	""	""	"105"	""	"115"	""	"3"	""	""	"12"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	"8"	""	""	""	"0"	""	"0"	""	""	"2"	""	""	"146"	""	""	"4"	""	""	""	"4"	""	""	"422"	""	""	""	""	"0"	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""
"59"	"14"	""	"38A"	""	"47"	""	""	"110"	""	"32"	""	"4"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	"11"	""	""	""	"0"	""	"2"	""	""	"3"	""	""	"132"	""	""	"3"	""	""	""	"15"	""	""	"364"	""	""	""	""	"0"	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""
"60"	"Total"	""	""	""	"1061"	""	""	"1178"	""	"599"	""	"54"	""	""	"30"	""	""	"20"	""	""	"23"	""	""	""	"24"	""	""	"28"	""	"113"	""	""	""	"24"	""	"21"	""	""	"66"	""	""	"1536"	""	""	"124"	""	""	""	"129"	""	""	"5030"	""	""	""	""	"0"	""	""	""	"5030"	""	""	""	""	""	""	""	""	""	""
"61"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
