"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"15"	"12"	"156"	"6"	"216"	"12"	"5"	"7"	""	"3"	""	"3"	""	"7"	"5"	""	"420"	"0"	"420"	"0"
"16"	"13"	"113"	"7"	"290"	"12"	"2"	"1"	""	"2"	""	"2"	""	"2"	"3"	""	"434"	"0"	"434"	"0"
"17"	"Total :"	"2557"	"201"	"2571"	"462"	"91"	"50"	""	"45"	""	"73"	""	"108"	"122"	""	"6280"	"0"	"6280"	"0"
"18"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"19"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"20"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"21"	"14"	"202"	"6"	"299"	"35"	"2"	"4"	""	"2"	""	"3"	""	"1"	"9"	""	"563"	"0"	"563"	"0"
"22"	"15"	"139"	"45"	"140"	"45"	"7"	"7"	""	"9"	""	"15"	""	"148"	"13"	""	"568"	"0"	"568"	"0"
"23"	"16"	"250"	"35"	"224"	"52"	"16"	"6"	""	"12"	""	"24"	""	"17"	"27"	""	"663"	"0"	"663"	"0"
"24"	"17"	"77"	"2"	"147"	"170"	"6"	"2"	""	"8"	""	"11"	""	"23"	"16"	""	"462"	"0"	"462"	"0"
"25"	"17A"	"71"	"2"	"224"	"19"	"5"	"3"	""	"1"	""	"0"	""	"4"	"2"	""	"331"	"0"	"331"	"0"
"26"	"18"	"92"	"10"	"246"	"53"	"4"	"9"	""	"9"	""	"8"	""	"1"	"3"	""	"435"	"0"	"435"	"0"
"27"	"19"	"203"	"69"	"165"	"27"	"2"	"5"	""	"4"	""	"2"	""	"2"	"3"	""	"482"	"0"	"482"	"0"
"28"	"20"	"235"	"73"	"56"	"22"	"4"	"2"	""	"2"	""	"4"	""	"3"	"7"	""	"408"	"0"	"408"	"0"
"29"	"21"	"171"	"9"	"190"	"33"	"7"	"3"	""	"8"	""	"2"	""	"14"	"9"	""	"446"	"0"	"446"	"0"
"30"	"22"	"254"	"24"	"214"	"27"	"5"	"5"	""	"8"	""	"11"	""	"9"	"12"	""	"569"	"0"	"569"	"0"
"31"	"23"	"244"	"73"	"103"	"84"	"10"	"6"	""	"6"	""	"4"	""	"5"	"7"	""	"542"	"0"	"542"	"0"
"32"	"24"	"94"	"12"	"110"	"69"	"2"	"4"	""	"7"	""	"3"	""	"8"	"2"	""	"311"	"0"	"311"	"0"
"33"	"25"	"77"	"27"	"40"	"54"	"2"	"7"	""	"1"	""	"7"	""	"3"	"5"	""	"223"	"0"	"223"	"0"
"34"	"26"	"228"	"2"	"2"	"12"	"2"	"0"	""	"1"	""	"1"	""	"2"	"2"	""	"252"	"0"	"252"	"0"
"35"	"Total :"	"2337"	"389"	"2160"	"702"	"74"	"63"	""	"78"	""	"95"	""	"240"	"117"	""	"6255"	"0"	"6255"	"0"
"36"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"37"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"38"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"39"	"27"	"219"	"38"	"14"	"30"	"1"	"2"	""	"6"	""	"2"	""	"13"	"15"	""	"340"	"0"	"340"	"0"
"40"	"28"	"65"	"5"	"21"	"20"	"0"	"2"	""	"4"	""	"7"	""	"69"	"6"	""	"199"	"0"	"199"	"0"
"41"	"29"	"352"	"7"	"29"	"26"	"2"	"2"	""	"0"	""	"1"	""	"14"	"1"	""	"434"	"0"	"434"	"0"
"42"	"30"	"259"	"3"	"29"	"142"	"5"	"5"	""	"5"	""	"4"	""	"1"	"2"	""	"455"	"0"	"455"	"0"
"43"	"31"	"214"	"0"	"7"	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"221"	"0"	"221"	"0"
"44"	"32"	"230"	"40"	"28"	"67"	"10"	"5"	""	"10"	""	"7"	""	"88"	"12"	""	"497"	"0"	"497"	"0"
"45"	"33"	"325"	"2"	"58"	"12"	"1"	"4"	""	"7"	""	"1"	""	"2"	"8"	""	"420"	"0"	"420"	"0"
"46"	"34"	"211"	"31"	"216"	"26"	"1"	"3"	""	"5"	""	"12"	""	"4"	"17"	""	"526"	"0"	"526"	"0"
"47"	"35"	"154"	"9"	"163"	"49"	"10"	"3"	""	"5"	""	"2"	""	"6"	"2"	""	"403"	"0"	"403"	"0"
"48"	"35A"	"70"	"0"	"49"	"87"	"4"	"2"	""	"4"	""	"2"	""	"4"	"4"	""	"226"	"0"	"226"	"0"
"49"	"36"	"221"	"12"	"33"	"4"	"2"	"4"	""	"1"	""	"3"	""	"0"	"1"	""	"281"	"0"	"281"	"0"
"50"	"37"	"132"	"22"	"36"	"139"	"8"	"7"	""	"7"	""	"6"	""	"39"	"10"	""	"406"	"0"	"406"	"0"
"51"	"37A"	"35"	"10"	"285"	"27"	"7"	"1"	""	"0"	""	"5"	""	"6"	"9"	""	"385"	"0"	"385"	"0"
"52"	"38"	"86"	"18"	"319"	"25"	"8"	"7"	""	"7"	""	"23"	""	"8"	"28"	""	"529"	"0"	"529"	"0"
"53"	"Total :"	"2573"	"197"	"1287"	"654"	"59"	"47"	""	"61"	""	"75"	""	"254"	"115"	""	"5322"	"0"	"5322"	"0"
"54"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"55"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"56"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"57"	"39"	"210"	"5"	"72"	"96"	"3"	"3"	""	"5"	""	"2"	""	"7"	"2"	""	"405"	"0"	"405"	"0"
"58"	"40"	"79"	"4"	"125"	"98"	"8"	"5"	""	"6"	""	"5"	""	"5"	"4"	""	"339"	"0"	"339"	"0"
"59"	"41"	"147"	"19"	"120"	"17"	"3"	"6"	""	"3"	""	"3"	""	"48"	"9"	""	"375"	"0"	"375"	"0"
"60"	"41A"	"90"	"8"	"61"	"13"	"2"	"1"	""	"2"	""	"8"	""	"44"	"4"	""	"233"	"0"	"233"	"0"
"61"	"42"	"229"	"5"	"35"	"14"	"1"	"0"	""	"1"	""	"1"	""	"15"	"1"	""	"302"	"0"	"302"	"0"
"62"	"42A"	"169"	"2"	"14"	"10"	"0"	"1"	""	"1"	""	"0"	""	"1"	"2"	""	"200"	"0"	"200"	"0"
"63"	"43"	"173"	"28"	"40"	"24"	"3"	"4"	""	"1"	""	"1"	""	"12"	"4"	""	"290"	"0"	"290"	"0"
"64"	"43A"	"51"	"15"	"54"	"44"	"1"	"2"	""	"3"	""	"4"	""	"5"	"7"	""	"186"	"0"	"186"	"0"
"65"	"44"	"182"	"6"	"18"	"8"	"4"	"4"	""	"1"	""	"0"	""	"1"	"1"	""	"225"	"0"	"225"	"0"
"66"	"44A"	"232"	"5"	"46"	"4"	"1"	"1"	""	"0"	""	"1"	""	"1"	"0"	""	"291"	"0"	"291"	"0"
"67"	"45"	"204"	"2"	"75"	"7"	"2"	"2"	""	"1"	""	"3"	""	"1"	"3"	""	"300"	"0"	"300"	"0"
"68"	"45A"	"146"	"1"	"13"	"2"	"1"	"0"	""	"1"	""	"0"	""	"0"	"0"	""	"164"	"0"	"164"	"0"
"69"	"46"	"352"	"0"	"10"	"3"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"365"	"0"	"365"	"0"
"70"	"46A"	"400"	"0"	"3"	"1"	"0"	"0"	""	"0"	""	"0"	""	"0"	"1"	""	"405"	"0"	"405"	"0"
"71"	"Total :"	"2664"	"100"	"686"	"341"	"29"	"29"	""	"25"	""	"28"	""	"140"	"38"	""	"4080"	"0"	"4080"	"0"
"72"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"73"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"74"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"75"	"47"	"235"	"2"	"4"	"5"	"2"	"0"	""	"0"	""	"0"	""	"1"	"2"	""	"251"	"0"	"251"	"0"
"76"	"48"	"182"	"2"	"7"	"9"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"200"	"0"	"200"	"0"
"77"	"48A"	"102"	"13"	"52"	"6"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"173"	"0"	"173"	"0"
"78"	"49"	"186"	"11"	"146"	"114"	"2"	"1"	""	"0"	""	"3"	""	"0"	"2"	""	"465"	"0"	"465"	"0"
"79"	"50"	"129"	"0"	"11"	"3"	"0"	"0"	""	"0"	""	"0"	""	"0"	"1"	""	"144"	"0"	"144"	"0"
"80"	"50A"	"173"	"0"	"8"	"1"	"1"	"1"	""	"0"	""	"0"	""	"1"	"0"	""	"185"	"0"	"185"	"0"
"81"	"51"	"254"	"2"	"32"	"16"	"0"	"0"	""	"0"	""	"3"	""	"4"	"3"	""	"314"	"0"	"314"	"0"
"82"	"52"	"197"	"3"	"16"	"10"	"0"	"1"	""	"0"	""	"0"	""	"3"	"0"	""	"230"	"0"	"230"	"0"
"83"	"52A"	"141"	"1"	"4"	"17"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"163"	"0"	"163"	"0"
"84"	"53"	"187"	"0"	"24"	"12"	"0"	"0"	""	"0"	""	"2"	""	"0"	"0"	""	"225"	"0"	"225"	"0"
"85"	"53A"	"206"	"1"	"8"	"1"	"0"	"0"	""	"0"	""	"0"	""	"3"	"1"	""	"220"	"0"	"220"	"0"
"86"	"54"	"229"	"4"	"29"	"30"	"0"	"0"	""	"0"	""	"2"	""	"0"	"0"	""	"294"	"0"	"294"	"0"
"87"	"54A"	"258"	"5"	"17"	"8"	"0"	"0"	""	"0"	""	"0"	""	"1"	"1"	""	"290"	"0"	"290"	"0"
"88"	"55"	"134"	"8"	"66"	"63"	"1"	"1"	""	"2"	""	"2"	""	"4"	"3"	""	"284"	"0"	"284"	"0"
"89"	"Total :"	"2613"	"52"	"424"	"295"	"6"	"4"	""	"2"	""	"12"	""	"17"	"13"	""	"3438"	"0"	"3438"	"0"
"90"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"91"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"92"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"93"	"55A"	"169"	"4"	"36"	"76"	"7"	"3"	""	"4"	""	"1"	""	"4"	"17"	""	"321"	"0"	"321"	"0"
"94"	"56"	"71"	"3"	"87"	"76"	"1"	"2"	""	"4"	""	"0"	""	"8"	"1"	""	"253"	"0"	"253"	"0"
"95"	"57"	"19"	"2"	"169"	"296"	"5"	"1"	""	"9"	""	"4"	""	"3"	"7"	""	"515"	"0"	"515"	"0"
"96"	"58"	"9"	"1"	"196"	"83"	"3"	"1"	""	"0"	""	"1"	""	"0"	"2"	""	"296"	"0"	"296"	"0"
"97"	"58A"	"31"	"3"	"156"	"69"	"2"	"3"	""	"0"	""	"0"	""	"1"	"2"	""	"267"	"0"	"267"	"0"
"98"	"59"	"56"	"20"	"80"	"146"	"4"	"1"	""	"1"	""	"0"	""	"0"	"0"	""	"308"	"0"	"308"	"0"
"99"	"59A"	"4"	"2"	"198"	"112"	"3"	"1"	""	"1"	""	"0"	""	"3"	"0"	""	"324"	"0"	"324"	"0"
"100"	"60"	"157"	"4"	"149"	"87"	"7"	"1"	""	"3"	""	"2"	""	"4"	"4"	""	"418"	"0"	"418"	"0"
"101"	"61"	"268"	"1"	"55"	"54"	"0"	"5"	""	"3"	""	"3"	""	"3"	"4"	""	"396"	"0"	"396"	"0"
"102"	"62"	"162"	"1"	"117"	"102"	"3"	"1"	""	"2"	""	"2"	""	"9"	"9"	""	"408"	"0"	"408"	"0"
"103"	"63"	"286"	"5"	"32"	"26"	"0"	"0"	""	"2"	""	"0"	""	"3"	"4"	""	"358"	"0"	"358"	"0"
"104"	"64"	"108"	"4"	"102"	"94"	"3"	"1"	""	"2"	""	"1"	""	"1"	"4"	""	"320"	"0"	"320"	"0"
"105"	"64A"	"143"	"0"	"32"	"49"	"0"	"2"	""	"0"	""	"0"	""	"2"	"1"	""	"229"	"0"	"229"	"0"
"106"	"65"	"119"	"1"	"50"	"48"	"3"	"1"	""	"0"	""	"1"	""	"0"	"0"	""	"223"	"0"	"223"	"0"
"107"	"Total :"	"1602"	"51"	"1459"	"1318"	"41"	"23"	""	"31"	""	"15"	""	"41"	"55"	""	"4636"	"0"	"4636"	"0"
"108"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"109"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"110"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"111"	"65A"	"75"	"2"	"22"	"22"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"121"	"0"	"121"	"0"
"112"	"66"	"35"	"3"	"70"	"48"	"3"	"0"	""	"1"	""	"1"	""	"1"	"1"	""	"163"	"0"	"163"	"0"
"113"	"66A"	"131"	"2"	"67"	"118"	"4"	"2"	""	"1"	""	"9"	""	"2"	"10"	""	"346"	"0"	"346"	"0"
"114"	"67"	"63"	"3"	"222"	"62"	"1"	"0"	""	"2"	""	"1"	""	"1"	"6"	""	"361"	"0"	"361"	"0"
"115"	"68"	"23"	"0"	"142"	"151"	"2"	"2"	""	"2"	""	"0"	""	"1"	"1"	""	"324"	"0"	"324"	"0"
"116"	"69"	"41"	"1"	"87"	"40"	"2"	"0"	""	"1"	""	"1"	""	"0"	"0"	""	"173"	"0"	"173"	"0"
"117"	"69A"	"30"	"1"	"182"	"60"	"2"	"4"	""	"1"	""	"0"	""	"2"	"3"	""	"285"	"0"	"285"	"0"
"118"	"70"	"76"	"7"	"67"	"16"	"2"	"0"	""	"0"	""	"0"	""	"1"	"1"	""	"170"	"0"	"170"	"0"
"119"	"71"	"117"	"12"	"43"	"18"	"0"	"0"	""	"0"	""	"0"	""	"15"	"1"	""	"206"	"0"	"206"	"0"
"120"	"71A"	"68"	"12"	"28"	"7"	"0"	"0"	""	"0"	""	"0"	""	"1"	"1"	""	"117"	"0"	"117"	"0"
"121"	"72"	"184"	"60"	"36"	"31"	"6"	"2"	""	"2"	""	"2"	""	"10"	"4"	""	"337"	"0"	"337"	"0"
"122"	"73"	"28"	"72"	"147"	"50"	"2"	"4"	""	"4"	""	"2"	""	"3"	"3"	""	"315"	"0"	"315"	"0"
"123"	"74"	"125"	"3"	"127"	"105"	"5"	"3"	""	"4"	""	"1"	""	"2"	"7"	""	"382"	"0"	"382"	"0"
"124"	"74A"	"102"	"16"	"122"	"68"	"4"	"1"	""	"3"	""	"3"	""	"3"	"6"	""	"328"	"0"	"328"	"0"
"125"	"Total :"	"1098"	"194"	"1362"	"796"	"33"	"18"	""	"21"	""	"20"	""	"42"	"44"	""	"3628"	"0"	"3628"	"0"
"126"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"127"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"128"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"129"	"75"	"343"	"3"	"42"	"13"	"4"	"1"	""	"1"	""	"1"	""	"5"	"2"	""	"415"	"0"	"415"	"0"
"130"	"75A"	"192"	"1"	"77"	"27"	"3"	"1"	""	"0"	""	"3"	""	"2"	"2"	""	"308"	"0"	"308"	"0"
"131"	"76"	"197"	"3"	"76"	"54"	"0"	"0"	""	"5"	""	"0"	""	"1"	"3"	""	"339"	"0"	"339"	"0"
"132"	"77"	"157"	"4"	"171"	"10"	"2"	"2"	""	"0"	""	"4"	""	"0"	"2"	""	"352"	"0"	"352"	"0"
"133"	"77A"	"109"	"2"	"50"	"22"	"0"	"2"	""	"3"	""	"4"	""	"11"	"3"	""	"206"	"0"	"206"	"0"
"134"	"78"	"261"	"5"	"100"	"23"	"5"	"2"	""	"3"	""	"1"	""	"5"	"10"	""	"415"	"0"	"415"	"0"
"135"	"78A"	"123"	"3"	"81"	"8"	"1"	"1"	""	"0"	""	"1"	""	"0"	"0"	""	"218"	"0"	"218"	"0"
"136"	"79"	"195"	"12"	"102"	"37"	"2"	"2"	""	"7"	""	"4"	""	"9"	"10"	""	"380"	"0"	"380"	"0"
"137"	"79A"	"70"	"1"	"13"	"29"	"4"	"3"	""	"1"	""	"2"	""	"1"	"7"	""	"131"	"0"	"131"	"0"
"138"	"80"	"206"	"4"	"131"	"82"	"6"	"1"	""	"7"	""	"5"	""	"32"	"3"	""	"477"	"0"	"477"	"0"
"139"	"81"	"249"	"7"	"100"	"75"	"2"	"4"	""	"1"	""	"2"	""	"5"	"5"	""	"450"	"0"	"450"	"0"
"140"	"82"	"149"	"4"	"92"	"23"	"1"	"3"	""	"4"	""	"0"	""	"1"	"5"	""	"282"	"0"	"282"	"0"
"141"	"82A"	"114"	"9"	"28"	"10"	"1"	"1"	""	"1"	""	"3"	""	"0"	"0"	""	"167"	"0"	"167"	"0"
"142"	"83"	"120"	"4"	"236"	"22"	"5"	"3"	""	"4"	""	"8"	""	"2"	"8"	""	"412"	"0"	"412"	"0"
"143"	"Total :"	"2485"	"62"	"1299"	"435"	"36"	"26"	""	"37"	""	"38"	""	"74"	"60"	""	"4552"	"0"	"4552"	"0"
"144"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"145"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"146"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"147"	"84"	"89"	"9"	"223"	"13"	"2"	"1"	""	"3"	""	"1"	""	"1"	"6"	""	"348"	"0"	"348"	"0"
"148"	"84A"	"59"	"15"	"135"	"11"	"4"	"2"	""	"3"	""	"2"	""	"4"	"3"	""	"238"	"0"	"238"	"0"
"149"	"85"	"84"	"2"	"258"	"31"	"5"	"4"	""	"2"	""	"9"	""	"8"	"9"	""	"412"	"0"	"412"	"0"
"150"	"85A"	"119"	"1"	"26"	"7"	"0"	"1"	""	"0"	""	"1"	""	"3"	"0"	""	"158"	"0"	"158"	"0"
"151"	"86"	"150"	"35"	"115"	"15"	"5"	"2"	""	"0"	""	"4"	""	"1"	"1"	""	"328"	"0"	"328"	"0"
"152"	"86A"	"122"	"2"	"15"	"6"	"0"	"0"	""	"1"	""	"2"	""	"2"	"5"	""	"155"	"0"	"155"	"0"
"153"	"87"	"94"	"44"	"165"	"9"	"5"	"5"	""	"1"	""	"3"	""	"1"	"4"	""	"331"	"0"	"331"	"0"
"154"	"88"	"143"	"17"	"126"	"111"	"9"	"6"	""	"39"	""	"6"	""	"0"	"3"	""	"460"	"0"	"460"	"0"
"155"	"88A"	"212"	"14"	"147"	"21"	"3"	"5"	""	"69"	""	"3"	""	"1"	"8"	""	"483"	"0"	"483"	"0"
"156"	"89"	"15"	"2"	"413"	"8"	"0"	"1"	""	"4"	""	"1"	""	"3"	"1"	""	"448"	"0"	"448"	"0"
"157"	"90"	"103"	"5"	"252"	"10"	"4"	"1"	""	"4"	""	"4"	""	"2"	"8"	""	"393"	"0"	"393"	"0"
"158"	"91"	"393"	"39"	"28"	"33"	"3"	"4"	""	"1"	""	"0"	""	"27"	"4"	""	"532"	"0"	"532"	"0"
"159"	"92"	"280"	"10"	"298"	"19"	"7"	"5"	""	"3"	""	"10"	""	"8"	"12"	""	"652"	"0"	"652"	"0"
"160"	"93"	"435"	"11"	"4"	"1"	"1"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"452"	"0"	"452"	"0"
"161"	"Total :"	"2298"	"206"	"2205"	"295"	"48"	"37"	""	"130"	""	"46"	""	"61"	"64"	""	"5390"	"0"	"5390"	"0"
"162"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"163"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"164"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"165"	"94"	"169"	"27"	"61"	"35"	"7"	"2"	""	"2"	""	"3"	""	"5"	"5"	""	"316"	"0"	"316"	"0"
