"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	"Total no. of votes"	""	"Total No. of tendered votes"	""
"53"	"1"	"42"	""	"46"	""	"2"	""	"0"	""	"4"	""	"112"	""	"6"	""	"4"	""	"3"	""	"13"	""	"190"	""	"0"	""	"190"	""	""	""
"54"	"2"	"43"	""	"108"	""	"3"	""	"2"	""	"5"	""	"139"	""	"4"	""	"8"	""	"6"	""	"25"	""	"300"	""	"0"	""	"300"	""	""	""
"55"	"3"	"44"	""	"37"	""	"6"	""	"2"	""	"7"	""	"228"	""	"13"	""	"3"	""	"4"	""	"6"	""	"306"	""	"0"	""	"306"	""	""	""
"56"	"4"	"45"	""	"74"	""	"3"	""	"1"	""	"10"	""	"112"	""	"7"	""	"10"	""	"7"	""	"23"	""	"247"	""	"0"	""	"247"	""	""	""
"57"	"5"	"46"	""	"83"	""	"10"	""	"2"	""	"0"	""	"127"	""	"5"	""	"4"	""	"1"	""	"8"	""	"240"	""	"0"	""	"240"	""	""	""
"58"	"6"	"47"	""	"110"	""	"0"	""	"0"	""	"1"	""	"13"	""	"1"	""	"0"	""	"0"	""	"10"	""	"135"	""	"0"	""	"135"	""	""	""
"59"	"7"	"48"	""	"215"	""	"3"	""	"0"	""	"2"	""	"20"	""	"3"	""	"0"	""	"1"	""	"30"	""	"274"	""	"0"	""	"274"	""	""	""
"60"	"8"	"49"	""	"265"	""	"14"	""	"3"	""	"14"	""	"113"	""	"6"	""	"8"	""	"5"	""	"32"	""	"460"	""	"0"	""	"460"	""	""	""
"61"	"9"	"50"	""	"17"	""	"6"	""	"8"	""	"26"	""	"155"	""	"5"	""	"3"	""	"15"	""	"2"	""	"237"	""	"0"	""	"237"	""	""	""
"62"	"10"	"51"	""	"101"	""	"5"	""	"4"	""	"4"	""	"67"	""	"2"	""	"3"	""	"2"	""	"12"	""	"200"	""	"0"	""	"200"	""	""	""
"63"	"11"	"52"	""	"148"	""	"14"	""	"4"	""	"4"	""	"130"	""	"8"	""	"8"	""	"4"	""	"30"	""	"350"	""	"0"	""	"350"	""	""	""
"64"	"12"	"53"	""	"41"	""	"9"	""	"2"	""	"12"	""	"132"	""	"7"	""	"3"	""	"2"	""	"8"	""	"216"	""	"0"	""	"216"	""	""	""
"65"	"13"	"54"	""	"89"	""	"3"	""	"10"	""	"23"	""	"71"	""	"2"	""	"4"	""	"1"	""	"16"	""	"219"	""	"0"	""	"219"	""	""	""
"66"	"14"	"55"	""	"121"	""	"14"	""	"3"	""	"23"	""	"67"	""	"5"	""	"1"	""	"3"	""	"21"	""	"258"	""	"0"	""	"258"	""	""	""
"67"	"Total"	""	""	"1455"	""	"92"	""	"41"	""	"135"	""	"1486"	""	"74"	""	"59"	""	"54"	""	"236"	""	"3632"	""	"0"	""	"3632"	""	""	""
"68"	"1"	"56"	""	"195"	""	"57"	""	"4"	""	"18"	""	"102"	""	"7"	""	"1"	""	"6"	""	"19"	""	"409"	""	"0"	""	"409"	""	""	""
"69"	"2"	"56A"	""	"42"	""	"3"	""	"4"	""	"3"	""	"97"	""	"6"	""	"2"	""	"1"	""	"17"	""	"175"	""	"0"	""	"175"	""	""	""
"70"	"3"	"57"	""	"122"	""	"5"	""	"1"	""	"5"	""	"89"	""	"3"	""	"2"	""	"2"	""	"19"	""	"248"	""	"0"	""	"248"	""	""	""
"71"	"4"	"58"	""	"14"	""	"1"	""	"0"	""	"0"	""	"212"	""	"2"	""	"1"	""	"1"	""	"0"	""	"231"	""	"0"	""	"231"	""	""	""
"72"	"5"	"59"	""	"129"	""	"9"	""	"2"	""	"11"	""	"112"	""	"5"	""	"4"	""	"2"	""	"13"	""	"287"	""	"0"	""	"287"	""	""	""
"73"	"6"	"60"	""	"65"	""	"5"	""	"7"	""	"46"	""	"109"	""	"5"	""	"6"	""	"2"	""	"19"	""	"264"	""	"0"	""	"264"	""	""	""
"74"	"7"	"61"	""	"139"	""	"12"	""	"7"	""	"17"	""	"84"	""	"4"	""	"2"	""	"5"	""	"12"	""	"282"	""	"0"	""	"282"	""	""	""
"75"	"8"	"62"	""	"104"	""	"18"	""	"27"	""	"8"	""	"34"	""	"1"	""	"1"	""	"1"	""	"18"	""	"212"	""	"0"	""	"212"	""	""	""
"76"	"9"	"63"	""	"265"	""	"5"	""	"1"	""	"4"	""	"98"	""	"9"	""	"3"	""	"4"	""	"12"	""	"401"	""	"0"	""	"401"	""	""	""
"77"	"10"	"64"	""	"152"	""	"2"	""	"3"	""	"5"	""	"113"	""	"1"	""	"2"	""	"4"	""	"20"	""	"302"	""	"0"	""	"302"	""	""	""
"78"	"11"	"65"	""	"99"	""	"9"	""	"12"	""	"9"	""	"67"	""	"12"	""	"5"	""	"8"	""	"19"	""	"240"	""	"0"	""	"240"	""	""	""
"79"	"12"	"66"	""	"91"	""	"6"	""	"5"	""	"4"	""	"24"	""	"12"	""	"1"	""	"1"	""	"12"	""	"156"	""	"0"	""	"156"	""	""	""
"80"	"13"	"67"	""	"163"	""	"11"	""	"1"	""	"3"	""	"25"	""	"1"	""	"4"	""	"8"	""	"34"	""	"250"	""	"0"	""	"250"	""	""	""
"81"	"14"	"68"	""	"98"	""	"11"	""	"22"	""	"38"	""	"200"	""	"22"	""	"5"	""	"8"	""	"21"	""	"425"	""	"0"	""	"425"	""	""	""
"82"	"Total"	""	""	"1678"	""	"154"	""	"96"	""	"171"	""	"1366"	""	"90"	""	"39"	""	"53"	""	"235"	""	"3882"	""	"0"	""	"3882"	""	""	""
"83"	"1"	"69"	""	"146"	""	"9"	""	"2"	""	"7"	""	"200"	""	"3"	""	"7"	""	"6"	""	"19"	""	"399"	""	"0"	""	"399"	""	""	""
"84"	"2"	"70"	""	"144"	""	"18"	""	"7"	""	"37"	""	"190"	""	"9"	""	"11"	""	"11"	""	"34"	""	"461"	""	"0"	""	"461"	""	""	""
"85"	"3"	"71"	""	"196"	""	"8"	""	"7"	""	"13"	""	"197"	""	"7"	""	"3"	""	"10"	""	"38"	""	"479"	""	"0"	""	"479"	""	""	""
"86"	"4"	"72"	""	"23"	""	"5"	""	"2"	""	"17"	""	"144"	""	"7"	""	"3"	""	"7"	""	"13"	""	"221"	""	"0"	""	"221"	""	""	""
"87"	"5"	"73"	""	"67"	""	"11"	""	"1"	""	"3"	""	"94"	""	"6"	""	"1"	""	"2"	""	"7"	""	"192"	""	"0"	""	"192"	""	""	""
"88"	"6"	"74"	""	"201"	""	"7"	""	"5"	""	"23"	""	"49"	""	"5"	""	"4"	""	"11"	""	"23"	""	"328"	""	"0"	""	"328"	""	""	""
"89"	"7"	"75"	""	"168"	""	"9"	""	"13"	""	"8"	""	"167"	""	"13"	""	"8"	""	"5"	""	"18"	""	"409"	""	"0"	""	"409"	""	""	""
"90"	"8"	"76"	""	"129"	""	"7"	""	"0"	""	"1"	""	"26"	""	"0"	""	"0"	""	"0"	""	"5"	""	"168"	""	"0"	""	"168"	""	""	""
"91"	"9"	"77"	""	"66"	""	"3"	""	"0"	""	"4"	""	"83"	""	"2"	""	"2"	""	"2"	""	"7"	""	"169"	""	"0"	""	"169"	""	""	""
"92"	"10"	"78"	""	"106"	""	"9"	""	"2"	""	"5"	""	"128"	""	"10"	""	"2"	""	"4"	""	"18"	""	"284"	""	"0"	""	"284"	""	""	""
"93"	"11"	"79"	""	"237"	""	"15"	""	"0"	""	"11"	""	"24"	""	"3"	""	"1"	""	"3"	""	"6"	""	"300"	""	"0"	""	"300"	""	""	""
"94"	"12"	"80"	""	"136"	""	"4"	""	"5"	""	"5"	""	"96"	""	"4"	""	"3"	""	"4"	""	"14"	""	"271"	""	"0"	""	"271"	""	""	""
"95"	"13"	"81"	""	"99"	""	"6"	""	"0"	""	"0"	""	"30"	""	"2"	""	"1"	""	"0"	""	"3"	""	"141"	""	"0"	""	"141"	""	""	""
"96"	"14"	"82"	""	"64"	""	"4"	""	"2"	""	"5"	""	"246"	""	"16"	""	"4"	""	"6"	""	"17"	""	"364"	""	"0"	""	"364"	""	""	""
"97"	"Total"	""	""	"1782"	""	"115"	""	"46"	""	"139"	""	"1674"	""	"87"	""	"50"	""	"71"	""	"222"	""	"4186"	""	"0"	""	"4186"	""	""	""
"98"	"1"	"83"	""	"56"	""	"4"	""	"3"	""	"21"	""	"109"	""	"4"	""	"5"	""	"6"	""	"6"	""	"214"	""	"0"	""	"214"	""	""	""
"99"	"2"	"84"	""	"34"	""	"8"	""	"2"	""	"6"	""	"123"	""	"15"	""	"2"	""	"1"	""	"8"	""	"199"	""	"0"	""	"199"	""	""	""
"100"	"3"	"85"	""	"134"	""	"6"	""	"4"	""	"33"	""	"120"	""	"4"	""	"3"	""	"1"	""	"8"	""	"313"	""	"0"	""	"313"	""	""	""
"101"	"4"	"86"	""	"38"	""	"5"	""	"2"	""	"8"	""	"186"	""	"10"	""	"4"	""	"4"	""	"6"	""	"263"	""	"0"	""	"263"	""	""	""
"102"	"5"	"87"	""	"197"	""	"19"	""	"1"	""	"7"	""	"44"	""	"2"	""	"1"	""	"0"	""	"9"	""	"280"	""	"0"	""	"280"	""	""	""
"103"	"6"	"88"	""	"110"	""	"2"	""	"0"	""	"0"	""	"14"	""	"1"	""	"1"	""	"1"	""	"8"	""	"137"	""	"0"	""	"137"	""	""	""
"104"	"7"	"89"	""	"128"	""	"4"	""	"1"	""	"8"	""	"207"	""	"11"	""	"6"	""	"10"	""	"21"	""	"396"	""	"0"	""	"396"	""	""	""
"105"	"8"	"90"	""	"96"	""	"3"	""	"0"	""	"2"	""	"15"	""	"1"	""	"0"	""	"0"	""	"4"	""	"121"	""	"0"	""	"121"	""	""	""
"106"	"9"	"91"	""	"97"	""	"12"	""	"0"	""	"10"	""	"60"	""	"67"	""	"5"	""	"3"	""	"8"	""	"262"	""	"0"	""	"262"	""	""	""
"107"	"10"	"92"	""	"83"	""	"7"	""	"15"	""	"15"	""	"56"	""	"82"	""	"4"	""	"4"	""	"11"	""	"277"	""	"0"	""	"277"	""	""	""
"108"	"11"	"93"	""	"153"	""	"20"	""	"24"	""	"7"	""	"77"	""	"41"	""	"10"	""	"6"	""	"23"	""	"361"	""	"0"	""	"361"	""	""	""
"109"	"12"	"94"	""	"63"	""	"3"	""	"1"	""	"4"	""	"117"	""	"6"	""	"2"	""	"2"	""	"6"	""	"204"	""	"0"	""	"204"	""	""	""
"110"	"13"	"94A"	""	"82"	""	"2"	""	"0"	""	"8"	""	"213"	""	"10"	""	"2"	""	"2"	""	"9"	""	"328"	""	"0"	""	"328"	""	""	""
"111"	"14"	"95"	""	"73"	""	"3"	""	"3"	""	"2"	""	"144"	""	"18"	""	"7"	""	"9"	""	"18"	""	"277"	""	"0"	""	"277"	""	""	""
"112"	"Total"	""	""	"1344"	""	"98"	""	"56"	""	"131"	""	"1485"	""	"272"	""	"52"	""	"49"	""	"145"	""	"3632"	""	"0"	""	"3632"	""	""	""
"113"	"1"	"96"	""	"105"	""	"8"	""	"0"	""	"14"	""	"329"	""	"14"	""	"8"	""	"9"	""	"22"	""	"509"	""	"0"	""	"509"	""	""	""
"114"	"2"	"97"	""	"27"	""	"12"	""	"0"	""	"11"	""	"182"	""	"6"	""	"4"	""	"2"	""	"6"	""	"250"	""	"0"	""	"250"	""	""	""
"115"	"3"	"98"	""	"240"	""	"6"	""	"2"	""	"4"	""	"25"	""	"0"	""	"1"	""	"1"	""	"9"	""	"288"	""	"0"	""	"288"	""	""	""
"116"	"4"	"99"	""	"116"	""	"1"	""	"0"	""	"0"	""	"10"	""	"1"	""	"1"	""	"0"	""	"8"	""	"137"	""	"0"	""	"137"	""	""	""
"117"	"5"	"100"	""	"118"	""	"2"	""	"2"	""	"0"	""	"46"	""	"4"	""	"1"	""	"0"	""	"7"	""	"180"	""	"0"	""	"180"	""	""	""
"118"	"6"	"101"	""	"92"	""	"4"	""	"0"	""	"4"	""	"113"	""	"1"	""	"3"	""	"3"	""	"4"	""	"224"	""	"0"	""	"224"	""	""	""
"119"	"7"	"102"	""	"17"	""	"10"	""	"3"	""	"12"	""	"167"	""	"35"	""	"5"	""	"6"	""	"12"	""	"267"	""	"0"	""	"267"	""	""	""
"120"	"8"	"103"	""	"84"	""	"35"	""	"5"	""	"18"	""	"169"	""	"5"	""	"4"	""	"4"	""	"2"	""	"326"	""	"0"	""	"326"	""	""	""
"121"	"9"	"104"	""	"146"	""	"7"	""	"0"	""	"13"	""	"194"	""	"9"	""	"1"	""	"7"	""	"20"	""	"397"	""	"0"	""	"397"	""	""	""
"122"	"10"	"105"	""	"109"	""	"7"	""	"1"	""	"46"	""	"55"	""	"11"	""	"2"	""	"2"	""	"7"	""	"240"	""	"0"	""	"240"	""	""	""
"123"	"11"	"105A"	""	"42"	""	"2"	""	"1"	""	"3"	""	"161"	""	"4"	""	"0"	""	"2"	""	"6"	""	"221"	""	"0"	""	"221"	""	""	""
"124"	"12"	"106"	""	"115"	""	"10"	""	"3"	""	"5"	""	"137"	""	"4"	""	"4"	""	"3"	""	"9"	""	"290"	""	"0"	""	"290"	""	""	""
"125"	"13"	"107"	""	"135"	""	"18"	""	"0"	""	"5"	""	"41"	""	"0"	""	"0"	""	"1"	""	"17"	""	"217"	""	"0"	""	"217"	""	""	""
"126"	"14"	"108"	""	"13"	""	"24"	""	"0"	""	"17"	""	"98"	""	"10"	""	"3"	""	"2"	""	"14"	""	"181"	""	"0"	""	"181"	""	""	""
"127"	"Total"	""	""	"1359"	""	"146"	""	"17"	""	"152"	""	"1727"	""	"104"	""	"37"	""	"42"	""	"143"	""	"3727"	""	"0"	""	"3727"	""	""	""
"128"	"1"	"109"	""	"47"	""	"5"	""	"5"	""	"11"	""	"248"	""	"10"	""	"9"	""	"6"	""	"14"	""	"355"	""	"0"	""	"355"	""	""	""
"129"	"2"	"110"	""	"110"	""	"8"	""	"2"	""	"16"	""	"241"	""	"4"	""	"4"	""	"2"	""	"9"	""	"396"	""	"0"	""	"396"	""	""	""
"130"	"3"	"111"	""	"87"	""	"3"	""	"2"	""	"8"	""	"128"	""	"3"	""	"2"	""	"6"	""	"12"	""	"251"	""	"0"	""	"251"	""	""	""
"131"	"4"	"112"	""	"76"	""	"2"	""	"0"	""	"1"	""	"74"	""	"1"	""	"1"	""	"1"	""	"7"	""	"163"	""	"0"	""	"163"	""	""	""
"132"	"5"	"112A"	""	"52"	""	"8"	""	"3"	""	"8"	""	"123"	""	"4"	""	"3"	""	"4"	""	"10"	""	"215"	""	"0"	""	"215"	""	""	""
"133"	"6"	"113"	""	"60"	""	"3"	""	"5"	""	"22"	""	"239"	""	"4"	""	"3"	""	"6"	""	"11"	""	"353"	""	"0"	""	"353"	""	""	""
"134"	"7"	"113A"	""	"13"	""	"1"	""	"1"	""	"3"	""	"302"	""	"8"	""	"2"	""	"4"	""	"6"	""	"340"	""	"0"	""	"340"	""	""	""
"135"	"8"	"114"	""	"143"	""	"7"	""	"6"	""	"20"	""	"62"	""	"14"	""	"1"	""	"3"	""	"23"	""	"279"	""	"0"	""	"279"	""	""	""
"136"	"9"	"115"	""	"76"	""	"5"	""	"3"	""	"10"	""	"237"	""	"13"	""	"5"	""	"1"	""	"7"	""	"357"	""	"0"	""	"357"	""	""	""
"137"	"10"	"116"	""	"311"	""	"7"	""	"1"	""	"1"	""	"6"	""	"0"	""	"0"	""	"1"	""	"11"	""	"338"	""	"0"	""	"338"	""	""	""
"138"	"11"	"117"	""	"15"	""	"4"	""	"0"	""	"6"	""	"132"	""	"6"	""	"1"	""	"3"	""	"8"	""	"175"	""	"0"	""	"175"	""	""	""
"139"	"12"	"118"	""	"186"	""	"12"	""	"2"	""	"8"	""	"108"	""	"4"	""	"1"	""	"1"	""	"14"	""	"336"	""	"0"	""	"336"	""	""	""
"140"	"13"	"119"	""	"21"	""	"4"	""	"3"	""	"18"	""	"433"	""	"13"	""	"9"	""	"3"	""	"4"	""	"508"	""	"0"	""	"508"	""	""	""
"141"	"14"	"120"	""	"110"	""	"5"	""	"1"	""	"2"	""	"104"	""	"9"	""	"0"	""	"1"	""	"5"	""	"237"	""	"0"	""	"237"	""	""	""
"142"	"Total"	""	""	"1307"	""	"74"	""	"34"	""	"134"	""	"2437"	""	"93"	""	"41"	""	"42"	""	"141"	""	"4303"	""	"0"	""	"4303"	""	""	""
"143"	"1"	"121"	""	"44"	""	"6"	""	"2"	""	"5"	""	"510"	""	"2"	""	"0"	""	"1"	""	"5"	""	"575"	""	"0"	""	"575"	""	""	""
"144"	"2"	"122"	""	"220"	""	"8"	""	"8"	""	"30"	""	"198"	""	"7"	""	"9"	""	"7"	""	"25"	""	"512"	""	"0"	""	"512"	""	""	""
