"Total.No..of.Electors.in.Assembly.Constituency...189643"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"64"	"40"	"16"	"32"	"57"	"327"	"15"	"3"	"14"	"464"	"0"	"464"	"0"	""
"65"	"Total"	"376"	"552"	"2349"	"2773"	"165"	"69"	"126"	"6410"	"0"	"6410"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"73"	"41"	"105"	"27"	"152"	"195"	"19"	"6"	"11"	"515"	"0"	"515"	"0"	""
"74"	"42"	"10"	"25"	"46"	"395"	"21"	"6"	"6"	"509"	"0"	"509"	"0"	""
"75"	"43"	"11"	"53"	"59"	"299"	"11"	"4"	"4"	"441"	"0"	"441"	"0"	""
"76"	"44"	"42"	"65"	"62"	"345"	"7"	"4"	"4"	"529"	"0"	"529"	"0"	""
"77"	"45"	"53"	"42"	"150"	"155"	"17"	"13"	"20"	"450"	"0"	"450"	"0"	""
"78"	"45A"	"65"	"17"	"90"	"72"	"6"	"3"	"2"	"255"	"0"	"255"	"0"	""
"79"	"46"	"38"	"174"	"289"	"83"	"16"	"8"	"29"	"637"	"0"	"637"	"0"	""
"80"	"47"	"22"	"35"	"77"	"441"	"41"	"4"	"5"	"625"	"0"	"625"	"0"	""
"81"	"48"	"11"	"19"	"70"	"341"	"27"	"4"	"10"	"482"	"0"	"482"	"0"	""
"82"	"49"	"28"	"34"	"25"	"309"	"55"	"12"	"7"	"470"	"0"	"470"	"0"	""
"83"	"50"	"25"	"35"	"35"	"275"	"66"	"11"	"10"	"457"	"0"	"457"	"0"	""
"84"	"51"	"16"	"10"	"41"	"129"	"279"	"10"	"8"	"493"	"0"	"493"	"0"	""
"85"	"52"	"5"	"22"	"47"	"202"	"174"	"7"	"13"	"470"	"0"	"470"	"0"	""
"86"	"53"	"8"	"25"	"113"	"212"	"108"	"4"	"3"	"473"	"0"	"473"	"0"	""
"87"	"Total"	"439"	"583"	"1256"	"3453"	"847"	"96"	"132"	"6806"	"0"	"6806"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"95"	"54"	"5"	"13"	"95"	"294"	"39"	"9"	"5"	"460"	"0"	"460"	"0"	""
"96"	"54A"	"12"	"10"	"17"	"209"	"48"	"2"	"3"	"301"	"0"	"301"	"0"	""
"97"	"55"	"15"	"10"	"30"	"299"	"78"	"9"	"5"	"446"	"0"	"446"	"0"	""
"98"	"55A"	"4"	"2"	"36"	"176"	"48"	"0"	"0"	"266"	"0"	"266"	"0"	""
"99"	"#REF!"	"16"	"11"	"120"	"246"	"63"	"1"	"5"	"462"	"0"	"462"	"0"	""
"100"	"56"	"5"	"18"	"150"	"219"	"218"	"11"	"10"	"631"	"0"	"631"	"0"	""
"101"	"57"	"5"	"12"	"151"	"264"	"105"	"5"	"13"	"555"	"0"	"555"	"0"	""
"102"	"59"	"20"	"19"	"329"	"173"	"112"	"9"	"20"	"682"	"0"	"682"	"0"	""
"103"	"60"	"6"	"5"	"91"	"163"	"106"	"1"	"1"	"373"	"0"	"373"	"0"	""
"104"	"60A"	"13"	"14"	"108"	"142"	"16"	"6"	"8"	"307"	"0"	"307"	"0"	""
"105"	"61"	"4"	"18"	"132"	"178"	"15"	"5"	"8"	"360"	"0"	"360"	"0"	""
"106"	"61A"	"16"	"25"	"117"	"89"	"17"	"5"	"8"	"277"	"0"	"277"	"0"	""
"107"	"62"	"5"	"40"	"155"	"268"	"20"	"1"	"0"	"489"	"0"	"489"	"0"	""
"108"	"62A"	"8"	"15"	"87"	"148"	"35"	"2"	"10"	"305"	"0"	"305"	"0"	""
"109"	"Total"	"134"	"212"	"1618"	"2868"	"920"	"66"	"96"	"5914"	"0"	"5914"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"117"	"63"	"5"	"10"	"41"	"268"	"64"	"7"	"5"	"400"	"0"	"400"	"0"	""
"118"	"63A"	"2"	"32"	"22"	"235"	"22"	"6"	"3"	"322"	"0"	"322"	"0"	""
"119"	"64"	"35"	"48"	"367"	"146"	"49"	"17"	"20"	"682"	"0"	"682"	"0"	""
"120"	"65"	"24"	"19"	"44"	"400"	"169"	"10"	"16"	"682"	"0"	"682"	"0"	""
"121"	"66"	"57"	"18"	"172"	"199"	"45"	"4"	"3"	"498"	"0"	"498"	"0"	""
"122"	"67"	"15"	"20"	"140"	"108"	"35"	"4"	"4"	"326"	"0"	"326"	"0"	""
"123"	"68"	"120"	"17"	"254"	"126"	"27"	"11"	"12"	"567"	"0"	"567"	"0"	""
"124"	"69"	"28"	"21"	"199"	"184"	"28"	"8"	"5"	"473"	"0"	"473"	"0"	""
"125"	"70"	"12"	"12"	"28"	"185"	"37"	"6"	"10"	"290"	"0"	"290"	"0"	""
"126"	"71"	"172"	"20"	"88"	"89"	"37"	"5"	"10"	"421"	"0"	"421"	"0"	""
"127"	"72"	"66"	"54"	"195"	"175"	"21"	"8"	"10"	"529"	"0"	"529"	"0"	""
"128"	"73"	"116"	"39"	"96"	"232"	"49"	"8"	"6"	"546"	"0"	"546"	"0"	""
"129"	"74"	"48"	"39"	"73"	"239"	"20"	"5"	"9"	"433"	"0"	"433"	"0"	""
"130"	"74A"	"13"	"8"	"134"	"182"	"19"	"8"	"11"	"375"	"0"	"375"	"0"	""
"131"	"Total"	"713"	"357"	"1853"	"2768"	"622"	"107"	"124"	"6544"	"0"	"6544"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"139"	"75"	"6"	"29"	"162"	"199"	"13"	"3"	"11"	"423"	"0"	"423"	"0"	""
"140"	"75A"	"135"	"16"	"151"	"118"	"4"	"7"	"9"	"440"	"0"	"440"	"0"	""
"141"	"76"	"27"	"15"	"196"	"113"	"12"	"10"	"23"	"396"	"0"	"396"	"0"	""
"142"	"76A"	"22"	"26"	"115"	"165"	"11"	"3"	"8"	"350"	"0"	"350"	"0"	""
"143"	"77"	"33"	"22"	"412"	"156"	"6"	"7"	"7"	"643"	"0"	"643"	"0"	""
"144"	"78"	"27"	"55"	"143"	"327"	"22"	"6"	"35"	"615"	"0"	"615"	"0"	""
"145"	"79"	"70"	"17"	"68"	"157"	"16"	"7"	"8"	"343"	"0"	"343"	"0"	""
"146"	"80"	"61"	"19"	"120"	"144"	"18"	"4"	"2"	"368"	"0"	"368"	"0"	""
"147"	"81"	"17"	"22"	"131"	"287"	"14"	"8"	"2"	"481"	"0"	"481"	"0"	""
"148"	"82"	"64"	"25"	"176"	"157"	"14"	"10"	"13"	"459"	"0"	"459"	"0"	""
"149"	"83"	"127"	"32"	"50"	"212"	"10"	"7"	"9"	"447"	"0"	"447"	"0"	""
"150"	"84"	"187"	"26"	"147"	"187"	"14"	"22"	"24"	"607"	"0"	"607"	"0"	""
"151"	"85"	"18"	"17"	"41"	"288"	"9"	"6"	"6"	"385"	"0"	"385"	"0"	""
"152"	"85A"	"17"	"14"	"71"	"211"	"10"	"1"	"7"	"331"	"0"	"331"	"0"	""
"153"	"Total"	"811"	"335"	"1983"	"2721"	"173"	"101"	"164"	"6288"	"0"	"6288"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"159"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"161"	"86"	"26"	"9"	"220"	"289"	"34"	"12"	"12"	"602"	"0"	"602"	"0"	""
"162"	"87"	"285"	"17"	"96"	"93"	"5"	"3"	"13"	"512"	"0"	"512"	"0"	""
"163"	"88"	"44"	"7"	"75"	"177"	"62"	"4"	"13"	"382"	"0"	"382"	"0"	""
"164"	"89"	"34"	"20"	"47"	"152"	"113"	"7"	"8"	"381"	"0"	"381"	"0"	""
"165"	"90"	"13"	"9"	"102"	"221"	"34"	"4"	"8"	"391"	"0"	"391"	"0"	""
"166"	"90A"	"12"	"8"	"143"	"168"	"26"	"3"	"5"	"365"	"0"	"365"	"0"	""
"167"	"91"	"14"	"24"	"101"	"397"	"85"	"14"	"18"	"653"	"0"	"653"	"0"	""
"168"	"92"	"44"	"16"	"168"	"211"	"17"	"4"	"5"	"465"	"0"	"465"	"0"	""
"169"	"93"	"83"	"8"	"108"	"196"	"79"	"5"	"12"	"491"	"0"	"491"	"0"	""
"170"	"94"	"26"	"19"	"199"	"94"	"15"	"3"	"2"	"358"	"0"	"358"	"0"	""
"171"	"95"	"71"	"29"	"151"	"188"	"47"	"6"	"16"	"508"	"0"	"508"	"0"	""
"172"	"96"	"44"	"3"	"29"	"86"	"94"	"4"	"6"	"266"	"0"	"266"	"0"	""
"173"	"97"	"68"	"14"	"58"	"256"	"33"	"5"	"5"	"439"	"0"	"439"	"0"	""
"174"	"98"	"129"	"32"	"123"	"218"	"26"	"5"	"10"	"543"	"0"	"543"	"0"	""
"175"	"Total"	"893"	"215"	"1620"	"2746"	"670"	"79"	"133"	"6356"	"0"	"6356"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"181"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"183"	"99"	"37"	"14"	"65"	"179"	"15"	"7"	"15"	"332"	"0"	"332"	"0"	""
"184"	"99A"	"53"	"15"	"91"	"82"	"17"	"6"	"7"	"271"	"0"	"271"	"0"	""
"185"	"100"	"4"	"16"	"54"	"304"	"4"	"1"	"3"	"386"	"0"	"386"	"0"	""
"186"	"100A"	"24"	"25"	"164"	"159"	"6"	"5"	"3"	"386"	"0"	"386"	"0"	""
"187"	"101"	"3"	"14"	"48"	"288"	"76"	"6"	"5"	"440"	"0"	"440"	"0"	""
"188"	"102"	"75"	"22"	"66"	"246"	"69"	"4"	"3"	"485"	"0"	"485"	"0"	""
"189"	"103"	"22"	"20"	"108"	"137"	"111"	"8"	"8"	"414"	"0"	"414"	"0"	""
"190"	"104"	"21"	"13"	"80"	"312"	"17"	"5"	"24"	"472"	"0"	"472"	"0"	""
"191"	"105"	"131"	"32"	"83"	"228"	"36"	"6"	"5"	"521"	"0"	"521"	"0"	""
"192"	"106"	"33"	"34"	"143"	"308"	"16"	"6"	"10"	"550"	"0"	"550"	"0"	""
"193"	"107"	"10"	"32"	"185"	"194"	"42"	"17"	"10"	"490"	"0"	"490"	"0"	""
"194"	"108"	"11"	"22"	"109"	"322"	"25"	"6"	"7"	"502"	"0"	"502"	"0"	""
"195"	"109"	"15"	"54"	"246"	"107"	"10"	"3"	"2"	"437"	"0"	"437"	"0"	""
"196"	"110"	"13"	"22"	"75"	"156"	"7"	"6"	"8"	"287"	"0"	"287"	"0"	""
"197"	"Total"	"452"	"335"	"1517"	"3022"	"451"	"86"	"110"	"5973"	"0"	"5973"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"203"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"205"	"110A"	"42"	"62"	"43"	"181"	"7"	"6"	"5"	"346"	"0"	"346"	"0"	""
"206"	"111"	"15"	"23"	"108"	"167"	"66"	"6"	"16"	"401"	"0"	"401"	"0"	""
"207"	"112"	"43"	"27"	"104"	"220"	"113"	"9"	"10"	"526"	"0"	"526"	"0"	""
"208"	"113"	"134"	"25"	"81"	"256"	"43"	"10"	"19"	"568"	"0"	"568"	"0"	""
"209"	"114"	"24"	"28"	"131"	"145"	"21"	"0"	"4"	"353"	"0"	"353"	"0"	""
"210"	"115"	"4"	"12"	"26"	"189"	"8"	"3"	"3"	"245"	"0"	"245"	"0"	""
"211"	"116"	"77"	"72"	"121"	"346"	"49"	"9"	"17"	"691"	"0"	"691"	"0"	""
"212"	"117"	"37"	"85"	"105"	"256"	"66"	"7"	"12"	"568"	"0"	"568"	"0"	""
"213"	"118"	"87"	"21"	"140"	"302"	"26"	"7"	"12"	"595"	"0"	"595"	"0"	""
"214"	"119"	"53"	"34"	"130"	"301"	"45"	"10"	"7"	"580"	"0"	"580"	"0"	""
"215"	"120"	"9"	"18"	"159"	"258"	"7"	"1"	"7"	"459"	"0"	"459"	"0"	""
"216"	"121"	"269"	"11"	"21"	"112"	"13"	"7"	"9"	"442"	"0"	"442"	"0"	""
"217"	"121A"	"79"	"8"	"88"	"90"	"13"	"2"	"2"	"282"	"0"	"282"	"0"	""
"218"	"122"	"269"	"21"	"62"	"82"	"20"	"10"	"13"	"477"	"0"	"477"	"0"	""
"219"	"Total"	"1142"	"447"	"1319"	"2905"	"497"	"87"	"136"	"6533"	"0"	"6533"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"225"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"227"	"123"	"135"	"112"	"242"	"102"	"9"	"4"	"11"	"615"	"0"	"615"	"0"	""
"228"	"124"	"77"	"18"	"81"	"276"	"13"	"4"	"4"	"473"	"0"	"473"	"0"	""
"229"	"125"	"5"	"13"	"69"	"238"	"11"	"3"	"5"	"344"	"0"	"344"	"0"	""
"230"	"126"	"170"	"17"	"60"	"142"	"7"	"4"	"8"	"408"	"0"	"408"	"0"	""
"231"	"126A"	"53"	"10"	"3"	"186"	"5"	"1"	"0"	"258"	"0"	"258"	"0"	""
"232"	"127"	"13"	"15"	"26"	"314"	"125"	"7"	"5"	"505"	"0"	"505"	"0"	""
"233"	"128"	"26"	"18"	"114"	"260"	"29"	"12"	"14"	"473"	"0"	"473"	"0"	""
"234"	"129"	"74"	"8"	"44"	"220"	"22"	"2"	"3"	"373"	"0"	"373"	"0"	""
"235"	"130"	"51"	"13"	"43"	"150"	"180"	"6"	"4"	"447"	"0"	"447"	"0"	""
"236"	"130A"	"19"	"13"	"24"	"200"	"92"	"4"	"2"	"354"	"0"	"354"	"0"	""
