"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"109"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"111"	"Round - 7"	"76"	"30"	"63"	"175"	"21"	"289"	""	"289"	"0"
"112"	""	"77"	"51"	"167"	"351"	"40"	"609"	""	"609"	"0"
"113"	""	"78"	"93"	"119"	"232"	"16"	"460"	"5"	"465"	"0"
"114"	""	"79"	"35"	"155"	"107"	"15"	"312"	""	"312"	"0"
"115"	""	"80"	"10"	"151"	"58"	"19"	"238"	""	"238"	"0"
"116"	""	"80&d"	"68"	"173"	"60"	"14"	"315"	""	"315"	"0"
"117"	""	"81"	"51"	"233"	"218"	"20"	"522"	""	"522"	"0"
"118"	""	"82"	"83"	"193"	"162"	"13"	"451"	""	"451"	"0"
"119"	""	"83"	"38"	"73"	"197"	"15"	"323"	""	"323"	"0"
"120"	""	"84"	"28"	"78"	"147"	"14"	"267"	""	"267"	"0"
"121"	""	"85"	"67"	"141"	"220"	"40"	"468"	""	"468"	"0"
"122"	""	"86"	"28"	"102"	"180"	"15"	"325"	""	"325"	"0"
"123"	""	"87"	"56"	"189"	"54"	"21"	"320"	""	"320"	"0"
"124"	""	"88"	"100"	"121"	"70"	"23"	"314"	""	"314"	"0"
"125"	""	"Total"	"738"	"1958"	"2231"	"286"	"5213"	"5"	"5218"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"129"	"Round - 8"	"89"	"32"	"160"	"326"	"37"	"555"	""	"555"	"0"
"130"	""	"90"	"51"	"194"	"233"	"48"	"526"	""	"526"	"0"
"131"	""	"91"	"9"	"115"	"26"	"2"	"152"	""	"152"	"0"
"132"	""	"91&d"	"24"	"217"	"179"	"15"	"435"	""	"435"	"0"
"133"	""	"92"	"36"	"94"	"272"	"20"	"422"	""	"422"	"0"
"134"	""	"93"	"22"	"184"	"52"	"16"	"274"	""	"274"	"0"
"135"	""	"94"	"39"	"116"	"41"	"5"	"201"	""	"201"	"0"
"136"	""	"94&d"	"43"	"153"	"112"	"16"	"324"	""	"324"	"0"
"137"	""	"95"	"20"	"171"	"116"	"11"	"318"	""	"318"	"0"
"138"	""	"96"	"16"	"108"	"107"	"13"	"244"	""	"244"	"0"
"139"	""	"97"	"16"	"48"	"95"	"11"	"170"	""	"170"	"0"
"140"	""	"98"	"12"	"86"	"177"	"25"	"300"	""	"300"	"0"
"141"	""	"99"	"45"	"143"	"244"	"41"	"473"	""	"473"	"0"
"142"	""	"100"	"29"	"115"	"21"	"15"	"180"	""	"180"	"0"
"143"	""	"Total"	"394"	"1904"	"2001"	"275"	"4574"	""	"4574"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"147"	"Round - 9"	"101"	"34"	"233"	"73"	"13"	"353"	""	"353"	"0"
"148"	""	"102"	"18"	"73"	"119"	"13"	"223"	""	"223"	"0"
"149"	""	"102&d"	"43"	"134"	"173"	"25"	"375"	""	"375"	"0"
"150"	""	"103"	"75"	"194"	"227"	"22"	"518"	""	"518"	"0"
"151"	""	"104"	"53"	"197"	"260"	"56"	"566"	""	"566"	"0"
"152"	""	"105"	"21"	"70"	"254"	"16"	"361"	""	"361"	"0"
"153"	""	"105&d"	"31"	"88"	"224"	"17"	"360"	""	"360"	"0"
"154"	""	"106"	"60"	"164"	"187"	"51"	"462"	""	"462"	"0"
"155"	""	"107"	"20"	"214"	"88"	"4"	"326"	""	"326"	"0"
"156"	""	"108"	"55"	"303"	"189"	"42"	"589"	""	"589"	"0"
"157"	""	"109"	"11"	"40"	"184"	"20"	"255"	""	"255"	"0"
"158"	""	"109&d"	"25"	"27"	"278"	"26"	"356"	""	"356"	"0"
"159"	""	"110"	"88"	"79"	"163"	"8"	"338"	""	"338"	"0"
"160"	""	"110&d"	"30"	"94"	"177"	"18"	"319"	""	"319"	"0"
"161"	""	"Total"	"564"	"1910"	"2596"	"331"	"5401"	""	"5401"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"165"	"Round - 10"	"111"	"49"	"224"	"189"	"34"	"496"	""	"496"	"0"
"166"	""	"112"	"23"	"85"	"193"	"13"	"314"	""	"314"	"0"
"167"	""	"113"	"16"	"165"	"60"	"8"	"249"	""	"249"	"0"
"168"	""	"114"	"53"	"147"	"97"	"23"	"320"	""	"320"	"0"
"169"	""	"115"	"75"	"56"	"221"	"7"	"359"	""	"359"	"0"
"170"	""	"116"	"51"	"60"	"235"	"21"	"367"	""	"367"	"0"
"171"	""	"117"	"37"	"118"	"289"	"27"	"471"	""	"471"	"0"
"172"	""	"118"	"115"	"150"	"150"	"19"	"434"	""	"434"	"0"
"173"	""	"119"	"41"	"191"	"111"	"7"	"350"	""	"350"	"0"
"174"	""	"120"	"83"	"263"	"108"	"14"	"468"	""	"468"	"0"
"175"	""	"121"	"34"	"233"	"254"	"27"	"548"	""	"548"	"0"
"176"	""	"122"	"23"	"92"	"133"	"11"	"259"	""	"259"	"0"
"177"	""	"122&d"	"31"	"64"	"178"	"11"	"284"	""	"284"	"0"
"178"	""	"123"	"29"	"299"	"39"	"11"	"378"	""	"378"	"0"
"179"	""	"Total"	"660"	"2147"	"2257"	"233"	"5297"	""	"5297"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"183"	"Round - 11"	"124"	"13"	"79"	"172"	"4"	"268"	""	"268"	"0"
"184"	""	"125"	"25"	"70"	"195"	"5"	"295"	""	"295"	"0"
"185"	""	"126"	"107"	"72"	"261"	"10"	"450"	""	"450"	"0"
"186"	""	"127"	"26"	"324"	"99"	"11"	"460"	""	"460"	"0"
"187"	""	"128"	"41"	"129"	"398"	"45"	"613"	""	"613"	"0"
"188"	""	"129"	"35"	"161"	"208"	"11"	"415"	""	"415"	"0"
"189"	""	"130"	"76"	"71"	"236"	"22"	"405"	""	"405"	"0"
"190"	""	"131"	"20"	"87"	"79"	"8"	"194"	""	"194"	"0"
"191"	""	"132"	"25"	"86"	"38"	"7"	"156"	""	"156"	"0"
"192"	""	"133"	"18"	"126"	"99"	"11"	"254"	""	"254"	"0"
"193"	""	"133&d"	"27"	"97"	"182"	"9"	"315"	""	"315"	"0"
"194"	""	"134"	"82"	"42"	"259"	"10"	"393"	""	"393"	"0"
"195"	""	"134&d"	"19"	"109"	"129"	"3"	"260"	""	"260"	"0"
"196"	""	"135"	"60"	"95"	"217"	"17"	"389"	""	"389"	"0"
"197"	""	"Total"	"574"	"1548"	"2572"	"173"	"4867"	""	"4867"	"0"
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"201"	"Round - 12"	"136"	"102"	"52"	"223"	"10"	"387"	""	"387"	"0"
"202"	""	"137"	"68"	"79"	"567"	"56"	"770"	""	"770"	"0"
"203"	""	"138"	"51"	"190"	"102"	"18"	"361"	""	"361"	"0"
"204"	""	"139"	"42"	"173"	"234"	"17"	"466"	""	"466"	"0"
"205"	""	"140"	"142"	"89"	"81"	"22"	"334"	""	"334"	"0"
"206"	""	"141"	"120"	"201"	"155"	"24"	"500"	""	"500"	"0"
"207"	""	"142"	"19"	"194"	"192"	"31"	"436"	""	"436"	"0"
"208"	""	"143"	"20"	"130"	"152"	"20"	"322"	""	"322"	"0"
"209"	""	"144"	"86"	"101"	"352"	"26"	"565"	""	"565"	"0"
"210"	""	"145"	"32"	"77"	"318"	"15"	"442"	""	"442"	"0"
"211"	""	"146"	"64"	"86"	"18"	"6"	"174"	""	"174"	"0"
"212"	""	"147"	"84"	"221"	"163"	"25"	"493"	""	"493"	"0"
"213"	""	"148"	"67"	"63"	"314"	"27"	"471"	""	"471"	"0"
"214"	""	"149"	"63"	"188"	"196"	"29"	"476"	""	"476"	"0"
"215"	""	"Total"	"960"	"1844"	"3067"	"326"	"6197"	""	"6197"	"0"
"216"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"218"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"219"	"Round - 13"	"150"	"59"	"60"	"175"	"30"	"324"	""	"324"	"0"
"220"	""	"151"	"111"	"81"	"183"	"21"	"396"	""	"396"	"0"
"221"	""	"152"	"48"	"100"	"424"	"26"	"598"	""	"598"	"0"
"222"	""	"153"	"36"	"28"	"204"	"14"	"282"	""	"282"	"0"
"223"	""	"153&d"	"111"	"52"	"253"	"34"	"450"	""	"450"	"0"
"224"	""	"154"	"61"	"122"	"379"	"19"	"581"	""	"581"	"0"
"225"	""	"155"	"113"	"205"	"112"	"21"	"451"	""	"451"	"0"
"226"	""	"156"	"11"	"211"	"80"	"13"	"315"	""	"315"	"0"
"227"	""	"157"	"100"	"205"	"61"	"13"	"379"	""	"379"	"0"
"228"	""	"158"	"50"	"111"	"102"	"17"	"280"	""	"280"	"0"
"229"	""	"158&d"	"71"	"48"	"188"	"28"	"335"	""	"335"	"0"
"230"	""	"159"	"31"	"84"	"178"	"39"	"332"	""	"332"	"0"
"231"	""	"160"	"27"	"148"	"182"	"35"	"392"	""	"392"	"0"
"232"	""	"161"	"36"	"271"	"117"	"27"	"451"	""	"451"	"0"
"233"	""	"Total"	"865"	"1726"	"2638"	"337"	"5566"	""	"5566"	"0"
"234"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"236"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"237"	"Round - 14"	"162"	"164"	"98"	"68"	"13"	"343"	""	"343"	"0"
"238"	""	"163"	"76"	"135"	"117"	"25"	"353"	""	"353"	"0"
"239"	""	"164"	"77"	"168"	"101"	"18"	"364"	""	"364"	"0"
"240"	""	"165"	"140"	"127"	"184"	"65"	"516"	""	"516"	"0"
"241"	""	"166"	"116"	"177"	"63"	"14"	"370"	""	"370"	"0"
"242"	""	"167"	"180"	"197"	"121"	"37"	"535"	""	"535"	"0"
"243"	""	"168"	"164"	"140"	"117"	"29"	"450"	""	"450"	"0"
"244"	""	"169"	"53"	"201"	"98"	"21"	"373"	""	"373"	"0"
"245"	""	"170"	"176"	"144"	"140"	"35"	"495"	""	"495"	"0"
"246"	""	"171"	"156"	"24"	"92"	"28"	"300"	""	"300"	"0"
"247"	""	"171&d"	"149"	"126"	"38"	"9"	"322"	""	"322"	"0"
"248"	""	"172"	"38"	"233"	"127"	"12"	"410"	""	"410"	"0"
"249"	""	"173"	"130"	"163"	"160"	"49"	"502"	""	"502"	"0"
"250"	""	"174"	"158"	"74"	"126"	"30"	"388"	""	"388"	"0"
"251"	""	"Total"	"1777"	"2007"	"1552"	"385"	"5721"	""	"5721"	"0"
"252"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"255"	"Round - 15"	"175"	"153"	"117"	"201"	"21"	"492"	""	"492"	"0"
"256"	""	"176"	"38"	"200"	"79"	"17"	"334"	""	"334"	"0"
"257"	""	"177"	"27"	"125"	"20"	"5"	"177"	""	"177"	"0"
"258"	""	"178"	"75"	"154"	"38"	"15"	"282"	""	"282"	"0"
"259"	""	"179"	"38"	"119"	"236"	"19"	"412"	""	"412"	"0"
"260"	""	"180"	"24"	"80"	"227"	"26"	"357"	""	"357"	"0"
"261"	""	"181"	"40"	"176"	"209"	"13"	"438"	""	"438"	"0"
"262"	""	"182"	"48"	"152"	"331"	"29"	"560"	""	"560"	"0"
"263"	""	"183"	"73"	"273"	"130"	"8"	"484"	""	"484"	"0"
"264"	""	"184"	"13"	"213"	"50"	"20"	"296"	""	"296"	"0"
"265"	""	"184&d"	"8"	"182"	"37"	"8"	"235"	""	"235"	"0"
"266"	""	"185"	"231"	"35"	"17"	"8"	"291"	""	"291"	"0"
"267"	""	"185&d"	"129"	"45"	"74"	"16"	"264"	""	"264"	"0"
"268"	""	"186"	"334"	"61"	"203"	"59"	"657"	""	"657"	"0"
"269"	""	"Total"	"1231"	"1932"	"1852"	"264"	"5279"	""	"5279"	"0"
"270"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"273"	"Round - 16"	"187"	"128"	"57"	"36"	"12"	"233"	""	"233"	"0"
"274"	""	"187&d"	"139"	"67"	"36"	"5"	"247"	""	"247"	"0"
"275"	""	"188"	"172"	"160"	"78"	"18"	"428"	""	"428"	"0"
"276"	""	"189"	"108"	"391"	"86"	"16"	"601"	""	"601"	"0"
"277"	""	"190"	"74"	"156"	"119"	"24"	"373"	""	"373"	"0"
"278"	""	"191"	"25"	"207"	"101"	"15"	"348"	""	"348"	"0"
"279"	""	"192"	"100"	"129"	"260"	"28"	"517"	""	"517"	"0"
"280"	""	"193"	"65"	"135"	"319"	"31"	"550"	""	"550"	"0"
"281"	""	"194"	"109"	"130"	"134"	"18"	"391"	""	"391"	"0"
"282"	""	"195"	"124"	"234"	"129"	"18"	"505"	""	"505"	"0"
"283"	""	"196"	"63"	"232"	"34"	"15"	"344"	""	"344"	"0"
"284"	""	"197"	"91"	"174"	"152"	"27"	"444"	""	"444"	"0"
"285"	""	"198"	"47"	"166"	"37"	"19"	"269"	""	"269"	"0"
"286"	""	"199"	"20"	"121"	"32"	"10"	"183"	""	"183"	"0"
"287"	""	"Total"	"1265"	"2359"	"1553"	"256"	"5433"	""	"5433"	"0"
"288"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"289"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"290"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"291"	"Round -"	"200"	"28"	"94"	"60"	"12"	"194"	""	"194"	"0"
"292"	""	"200&d"	"99"	"88"	"78"	"9"	"274"	""	"274"	"0"
"293"	""	"201"	"72"	"116"	"91"	"19"	"298"	""	"298"	"0"
"294"	""	"Total"	"199"	"298"	"229"	"40"	"766"	""	"766"	"0"
"295"	"Total No. of votes recorded at Polling stations"	""	"16040"	"31447"	"38825"	"5074"	"91386"	"5"	"91391"	"0"
"296"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""
"297"	"TOTAL VOTES POLLED"	""	"16040"	"31447"	"38825"	"5074"	"91386"	"5"	"91391"	"0"
