"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X1....izk.i.20.."	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"11"	"5"	""	"19"	"7"	""	"229"	"46"	"153"	""	"10"	""	"5"	"9"	"15"	""	"493"	"0"	"493"	""	""
"12"	"6"	""	"15"	"7"	""	"64"	"49"	"240"	""	"7"	""	"1"	"15"	"7"	""	"405"	"0"	"405"	""	""
"13"	"7"	""	"10"	"1"	""	"46"	"198"	"61"	""	"22"	""	"7"	"19"	"13"	""	"377"	"0"	"377"	""	""
"14"	"8"	""	"16"	"6"	""	"228"	"19"	"60"	""	"4"	""	"5"	"4"	"7"	""	"349"	"0"	"349"	""	""
"15"	"8A"	""	"15"	"4"	""	"118"	"315"	"20"	""	"10"	""	"6"	"6"	"6"	""	"500"	"0"	"500"	""	""
"16"	"9"	""	"7"	"3"	""	"254"	"75"	"133"	""	"14"	""	"5"	"12"	"16"	""	"519"	"0"	"519"	""	""
"17"	"10"	""	"4"	"8"	""	"121"	"108"	"46"	""	"10"	""	"11"	"125"	"20"	""	"453"	"0"	"453"	""	""
"18"	"11"	""	"20"	"7"	""	"161"	"42"	"97"	""	"9"	""	"18"	"156"	"26"	""	"536"	"0"	"536"	""	""
"19"	"12"	""	"12"	"4"	""	"232"	"25"	"363"	""	"13"	""	"14"	"17"	"31"	""	"711"	"0"	"711"	""	""
"20"	"13"	""	"16"	"3"	""	"302"	"135"	"158"	""	"6"	""	"5"	"10"	"19"	""	"654"	"0"	"654"	""	""
"21"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"22"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"23"	"14"	""	"16"	"6"	""	"218"	"22"	"144"	""	"11"	""	"4"	"3"	"9"	""	"433"	"0"	"433"	""	""
"24"	"15"	""	"11"	"10"	""	"342"	"37"	"60"	""	"7"	""	"6"	"10"	"12"	""	"495"	"0"	"495"	""	""
"25"	"16"	""	"19"	"4"	""	"232"	"30"	"247"	""	"11"	""	"4"	"27"	"31"	""	"605"	"0"	"605"	""	""
"26"	"17"	""	"20"	"3"	""	"160"	"49"	"345"	""	"12"	""	"9"	"13"	"16"	""	"627"	"0"	"627"	""	""
"27"	"18"	""	"23"	"9"	""	"401"	"73"	"238"	""	"12"	""	"6"	"17"	"22"	""	"801"	"0"	"801"	""	""
"28"	"19"	""	"72"	"9"	""	"288"	"209"	"153"	""	"13"	""	"14"	"15"	"46"	""	"819"	"0"	"819"	""	""
"29"	"20"	""	"27"	"9"	""	"191"	"45"	"253"	""	"15"	""	"5"	"20"	"17"	""	"582"	"0"	"582"	""	""
"30"	"21"	""	"31"	"12"	""	"302"	"112"	"261"	""	"5"	""	"3"	"12"	"15"	""	"753"	"0"	"753"	""	""
"31"	"22"	""	"16"	"4"	""	"233"	"154"	"84"	""	"12"	""	"17"	"13"	"17"	""	"550"	"0"	"550"	""	""
"32"	"23"	""	"10"	"3"	""	"374"	"44"	"182"	""	"8"	""	"8"	"6"	"6"	""	"641"	"0"	"641"	""	""
"33"	"24"	""	"11"	"6"	""	"272"	"37"	"301"	""	"13"	""	"9"	"39"	"14"	""	"702"	"0"	"702"	""	""
"34"	"25"	""	"9"	"6"	""	"352"	"34"	"31"	""	"6"	""	"21"	"8"	"33"	""	"500"	"0"	"500"	""	""
"35"	"26"	""	"7"	"6"	""	"119"	"24"	"251"	""	"11"	""	"5"	"37"	"17"	""	"477"	"0"	"477"	""	""
"36"	"27"	""	"39"	"14"	""	"330"	"207"	"151"	""	"12"	""	"7"	"17"	"18"	""	"795"	"0"	"795"	""	""
"37"	"28"	""	"26"	"12"	""	"136"	"82"	"232"	""	"9"	""	"6"	"27"	"16"	""	"546"	"0"	"546"	""	""
"38"	"29"	""	"5"	"1"	""	"117"	"69"	"221"	""	"6"	""	"0"	"3"	"6"	""	"428"	"0"	"428"	""	""
"39"	"30"	""	"4"	"1"	""	"88"	"115"	"101"	""	"14"	""	"4"	"7"	"8"	""	"342"	"0"	"342"	""	""
"40"	"31"	""	"14"	"2"	""	"70"	"58"	"359"	""	"20"	""	"3"	"17"	"22"	""	"565"	"0"	"565"	""	""
"41"	"32"	""	"10"	"13"	""	"219"	"267"	"242"	""	"20"	""	"18"	"17"	"20"	""	"826"	"0"	"826"	""	""
"42"	"33"	""	"8"	"2"	""	"72"	"54"	"332"	""	"10"	""	"6"	"9"	"19"	""	"512"	"0"	"512"	""	""
"43"	"34"	""	"22"	"7"	""	"177"	"117"	"272"	""	"14"	""	"7"	"12"	"11"	""	"639"	"0"	"639"	""	""
"44"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"45"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"46"	"35"	""	"15"	"6"	""	"105"	"44"	"207"	""	"16"	""	"3"	"18"	"10"	""	"424"	"0"	"424"	""	""
"47"	"36"	""	"21"	"4"	""	"201"	"58"	"282"	""	"21"	""	"6"	"24"	"17"	""	"634"	"0"	"634"	""	""
"48"	"37"	""	"15"	"3"	""	"229"	"72"	"246"	""	"7"	""	"8"	"7"	"17"	""	"604"	"0"	"604"	""	""
"49"	"38"	""	"3"	"1"	""	"292"	"34"	"54"	""	"0"	""	"0"	"5"	"1"	""	"390"	"0"	"390"	""	""
"50"	"39"	""	"17"	"4"	""	"333"	"34"	"304"	""	"9"	""	"5"	"17"	"20"	""	"743"	"0"	"743"	""	""
"51"	"40"	""	"13"	"6"	""	"136"	"49"	"203"	""	"6"	""	"1"	"15"	"10"	""	"439"	"0"	"439"	""	""
"52"	"41"	""	"15"	"4"	""	"25"	"293"	"186"	""	"19"	""	"2"	"9"	"11"	""	"564"	"0"	"564"	""	""
"53"	"42"	""	"1"	"0"	""	"261"	"4"	"11"	""	"2"	""	"1"	"1"	"2"	""	"283"	"0"	"283"	""	""
"54"	"43"	""	"7"	"8"	""	"130"	"81"	"335"	""	"51"	""	"11"	"17"	"30"	""	"670"	"0"	"670"	""	""
"55"	"44"	""	"6"	"5"	""	"118"	"24"	"180"	""	"10"	""	"3"	"6"	"9"	""	"361"	"0"	"361"	""	""
"56"	"45"	""	"29"	"11"	""	"573"	"67"	"70"	""	"13"	""	"10"	"11"	"14"	""	"798"	"0"	"798"	""	""
"57"	"46"	""	"10"	"13"	""	"184"	"46"	"84"	""	"62"	""	"5"	"5"	"9"	""	"418"	"0"	"418"	""	""
"58"	"47"	""	"11"	"12"	""	"298"	"44"	"105"	""	"24"	""	"13"	"8"	"23"	""	"538"	"0"	"538"	""	""
"59"	"48"	""	"14"	"32"	""	"193"	"80"	"149"	""	"49"	""	"12"	"15"	"17"	""	"561"	"0"	"561"	""	""
"60"	"49"	""	"9"	"2"	""	"148"	"165"	"80"	""	"19"	""	"6"	"8"	"16"	""	"453"	"0"	"453"	""	""
"61"	"50"	""	"10"	"5"	""	"124"	"167"	"45"	""	"52"	""	"5"	"10"	"43"	""	"461"	"0"	"461"	""	""
"62"	"51"	""	"5"	"10"	""	"188"	"19"	"214"	""	"64"	""	"11"	"17"	"9"	""	"537"	"0"	"537"	""	""
"63"	"52"	""	"11"	"1"	""	"279"	"17"	"120"	""	"6"	""	"10"	"2"	"8"	""	"454"	"0"	"454"	""	""
"64"	"53"	""	"7"	"1"	""	"137"	"54"	"240"	""	"12"	""	"4"	"20"	"3"	""	"478"	"0"	"478"	""	""
"65"	"53A"	""	"6"	"5"	""	"159"	"19"	"145"	""	"15"	""	"5"	"4"	"3"	""	"361"	"0"	"361"	""	""
"66"	"54"	""	"24"	"22"	""	"56"	"286"	"275"	""	"69"	""	"11"	"20"	"19"	""	"782"	"0"	"782"	""	""
"67"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"68"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"69"	"55"	""	"16"	"6"	""	"145"	"73"	"169"	""	"14"	""	"9"	"12"	"19"	""	"463"	"0"	"463"	""	""
"70"	"56"	""	"14"	"6"	""	"117"	"357"	"42"	""	"37"	""	"7"	"13"	"15"	""	"608"	"0"	"608"	""	""
"71"	"57"	""	"12"	"3"	""	"127"	"81"	"195"	""	"52"	""	"9"	"13"	"29"	""	"521"	"0"	"521"	""	""
"72"	"58"	""	"5"	"7"	""	"153"	"20"	"89"	""	"7"	""	"3"	"10"	"9"	""	"303"	"0"	"303"	""	""
"73"	"59"	""	"16"	"7"	""	"338"	"196"	"72"	""	"17"	""	"8"	"12"	"24"	""	"690"	"0"	"690"	""	""
"74"	"60"	""	"7"	"5"	""	"190"	"27"	"56"	""	"16"	""	"10"	"3"	"9"	""	"323"	"0"	"323"	""	""
"75"	"61"	""	"18"	"15"	""	"151"	"291"	"23"	""	"10"	""	"6"	"5"	"9"	""	"528"	"0"	"528"	""	""
"76"	"62"	""	"11"	"7"	""	"162"	"78"	"30"	""	"161"	""	"8"	"7"	"12"	""	"476"	"0"	"476"	""	""
"77"	"63"	""	"10"	"6"	""	"46"	"63"	"44"	""	"148"	""	"4"	"12"	"9"	""	"342"	"0"	"342"	""	""
"78"	"64"	""	"8"	"10"	""	"12"	"581"	"16"	""	"32"	""	"4"	"0"	"7"	""	"670"	"0"	"670"	""	""
"79"	"65"	""	"12"	"11"	""	"269"	"100"	"160"	""	"19"	""	"6"	"12"	"12"	""	"601"	"0"	"601"	""	""
"80"	"66"	""	"6"	"15"	""	"326"	"46"	"96"	""	"4"	""	"3"	"2"	"9"	""	"507"	"0"	"507"	""	""
"81"	"66A"	""	"5"	"5"	""	"124"	"83"	"34"	""	"6"	""	"0"	"2"	"6"	""	"265"	"0"	"265"	""	""
"82"	"67"	""	"3"	"4"	""	"164"	"106"	"29"	""	"36"	""	"5"	"3"	"10"	""	"360"	"0"	"360"	""	""
"83"	"67A"	""	"9"	"41"	""	"204"	"81"	"16"	""	"22"	""	"2"	"4"	"3"	""	"382"	"0"	"382"	""	""
"84"	"68"	""	"11"	"13"	""	"217"	"184"	"21"	""	"38"	""	"2"	"1"	"5"	""	"492"	"0"	"492"	""	""
"85"	"69"	""	"12"	"9"	""	"269"	"117"	"65"	""	"21"	""	"5"	"6"	"5"	""	"509"	"0"	"509"	""	""
"86"	"70"	""	"6"	"3"	""	"42"	"275"	"28"	""	"8"	""	"1"	"3"	"4"	""	"370"	"0"	"370"	""	""
"87"	"71"	""	"8"	"13"	""	"215"	"44"	"116"	""	"26"	""	"2"	"9"	"21"	""	"454"	"0"	"454"	""	""
"88"	"72"	""	"2"	"2"	""	"2"	"454"	"6"	""	"1"	""	"1"	"1"	"2"	""	"471"	"0"	"471"	""	""
"89"	"72A"	""	"7"	"6"	""	"34"	"311"	"12"	""	"8"	""	"1"	"3"	"3"	""	"385"	"0"	"385"	""	""
"90"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"91"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"92"	"73"	""	"26"	"8"	""	"181"	"158"	"220"	""	"12"	""	"4"	"17"	"14"	""	"640"	"0"	"640"	""	""
"93"	"74"	""	"3"	"2"	""	"7"	"525"	"18"	""	"5"	""	"5"	"8"	"19"	""	"592"	"0"	"592"	""	""
"94"	"75"	""	"11"	"17"	""	"181"	"102"	"257"	""	"8"	""	"5"	"20"	"12"	""	"613"	"0"	"613"	""	""
"95"	"76"	""	"8"	"2"	""	"10"	"442"	"49"	""	"2"	""	"3"	"9"	"4"	""	"529"	"0"	"529"	""	""
"96"	"77"	""	"22"	"7"	""	"8"	"554"	"33"	""	"13"	""	"2"	"4"	"10"	""	"653"	"0"	"653"	""	""
"97"	"78"	""	"15"	"47"	""	"248"	"124"	"107"	""	"9"	""	"13"	"10"	"16"	""	"589"	"0"	"589"	""	""
"98"	"79"	""	"13"	"3"	""	"154"	"435"	"15"	""	"8"	""	"6"	"9"	"15"	""	"658"	"0"	"658"	""	""
"99"	"80"	""	"13"	"7"	""	"275"	"152"	"134"	""	"37"	""	"8"	"11"	"15"	""	"652"	"0"	"652"	""	""
"100"	"81"	""	"29"	"7"	""	"324"	"151"	"64"	""	"83"	""	"8"	"9"	"21"	""	"696"	"0"	"696"	""	""
"101"	"82"	""	"10"	"2"	""	"323"	"18"	"116"	""	"4"	""	"7"	"6"	"11"	""	"497"	"0"	"497"	""	""
"102"	"83"	""	"20"	"12"	""	"352"	"45"	"19"	""	"16"	""	"2"	"2"	"7"	""	"475"	"0"	"475"	""	""
"103"	"84"	""	"23"	"11"	""	"445"	"71"	"71"	""	"5"	""	"6"	"11"	"22"	""	"665"	"0"	"665"	""	""
"104"	"85"	""	"13"	"12"	""	"346"	"188"	"140"	""	"22"	""	"8"	"18"	"48"	""	"795"	"0"	"795"	""	""
"105"	"86"	""	"11"	"5"	""	"315"	"99"	"188"	""	"8"	""	"14"	"26"	"21"	""	"687"	"0"	"687"	""	""
"106"	"87"	""	"2"	"4"	""	"378"	"48"	"50"	""	"14"	""	"9"	"4"	"5"	""	"514"	"0"	"514"	""	""
"107"	"88"	""	"8"	"6"	""	"142"	"415"	"15"	""	"40"	""	"4"	"9"	"15"	""	"654"	"0"	"654"	""	""
"108"	"89"	""	"4"	"6"	""	"312"	"89"	"57"	""	"2"	""	"4"	"5"	"5"	""	"484"	"0"	"484"	""	""
"109"	"90"	""	"1"	"23"	""	"353"	"58"	"74"	""	"8"	""	"9"	"3"	"12"	""	"541"	"0"	"541"	""	""
"110"	"91"	""	"4"	"2"	""	"332"	"186"	"23"	""	"21"	""	"3"	"3"	"2"	""	"576"	"0"	"576"	""	""
"111"	"92"	""	"6"	"8"	""	"341"	"98"	"26"	""	"18"	""	"5"	"2"	"3"	""	"507"	"0"	"507"	""	""
"112"	"93"	""	"10"	"4"	""	"136"	"156"	"32"	""	"7"	""	"6"	"8"	"10"	""	"369"	"0"	"369"	""	""
"113"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"114"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"115"	"93A"	""	"5"	"2"	""	"119"	"178"	"15"	""	"10"	""	"3"	"2"	"6"	""	"340"	"0"	"340"	""	""
"116"	"94"	""	"7"	"7"	""	"168"	"48"	"94"	""	"5"	""	"0"	"0"	"3"	""	"332"	"0"	"332"	""	""
"117"	"95"	""	"16"	"7"	""	"95"	"213"	"189"	""	"20"	""	"7"	"12"	"44"	""	"603"	"0"	"603"	""	""
"118"	"96"	""	"7"	"4"	""	"193"	"135"	"81"	""	"10"	""	"7"	"10"	"13"	""	"460"	"0"	"460"	""	""
"119"	"97"	""	"15"	"7"	""	"156"	"93"	"237"	""	"12"	""	"4"	"10"	"6"	""	"540"	"0"	"540"	""	""
"120"	"98"	""	"10"	"7"	""	"137"	"108"	"155"	""	"11"	""	"1"	"2"	"4"	""	"435"	"0"	"435"	""	""
"121"	"99"	""	"12"	"13"	""	"101"	"317"	"48"	""	"29"	""	"5"	"11"	"13"	""	"549"	"0"	"549"	""	""
"122"	"100"	""	"13"	"13"	""	"188"	"121"	"135"	""	"116"	""	"9"	"13"	"15"	""	"623"	"0"	"623"	""	""
"123"	"101"	""	"4"	"5"	""	"162"	"112"	"64"	""	"33"	""	"6"	"4"	"5"	""	"395"	"0"	"395"	""	""
"124"	"102"	""	"11"	"10"	""	"186"	"189"	"55"	""	"11"	""	"4"	"4"	"5"	""	"475"	"0"	"475"	""	""
"125"	"103"	""	"14"	"6"	""	"383"	"41"	"86"	""	"20"	""	"8"	"12"	"12"	""	"582"	"0"	"582"	""	""
"126"	"104"	""	"3"	"7"	""	"74"	"169"	"20"	""	"98"	""	"1"	"1"	"9"	""	"382"	"0"	"382"	""	""
"127"	"105"	""	"11"	"4"	""	"19"	"489"	"44"	""	"2"	""	"7"	"5"	"6"	""	"587"	"0"	"587"	""	""
"128"	"106"	""	"12"	"12"	""	"229"	"250"	"24"	""	"78"	""	"10"	"11"	"23"	""	"649"	"0"	"649"	""	""
"129"	"107"	""	"7"	"1"	""	"39"	"186"	"4"	""	"4"	""	"0"	"1"	"3"	""	"245"	"0"	"245"	""	""
"130"	"108"	""	"9"	"3"	""	"139"	"61"	"86"	""	"98"	""	"3"	"3"	"1"	""	"403"	"0"	"403"	""	""
"131"	"109"	""	"4"	"3"	""	"22"	"4"	"9"	""	"95"	""	"3"	"0"	"2"	""	"142"	"0"	"142"	""	""
"132"	"110"	""	"12"	"3"	""	"196"	"124"	"89"	""	"2"	""	"5"	"9"	"13"	""	"453"	"0"	"453"	""	""
"133"	"111"	""	"8"	"4"	""	"191"	"133"	"181"	""	"7"	""	"9"	"17"	"10"	""	"560"	"0"	"560"	""	""
"134"	"112"	""	"17"	"6"	""	"161"	"235"	"84"	""	"12"	""	"3"	"4"	"8"	""	"530"	"0"	"530"	""	""
"135"	"113"	""	"6"	"3"	""	"183"	"196"	"167"	""	"20"	""	"8"	"12"	"27"	""	"622"	"0"	"622"	""	""
"136"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"137"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"138"	"114"	""	"13"	"1"	""	"117"	"428"	"29"	""	"19"	""	"5"	"1"	"4"	""	"617"	"0"	"617"	""	""
"139"	"115"	""	"1"	"1"	""	"8"	"317"	"26"	""	"3"	""	"2"	"0"	"2"	""	"360"	"0"	"360"	""	""
"140"	"116"	""	"3"	"0"	""	"27"	"350"	"29"	""	"10"	""	"1"	"5"	"5"	""	"430"	"0"	"430"	""	""
"141"	"117"	""	"10"	"7"	""	"170"	"212"	"101"	""	"10"	""	"9"	"8"	"12"	""	"539"	"0"	"539"	""	""
"142"	"118"	""	"25"	"8"	""	"433"	"40"	"53"	""	"6"	""	"5"	"4"	"8"	""	"582"	"0"	"582"	""	""
"143"	"119"	""	"11"	"4"	""	"53"	"356"	"15"	""	"3"	""	"2"	"4"	"4"	""	"452"	"0"	"452"	""	""
"144"	"120"	""	"9"	"3"	""	"186"	"226"	"10"	""	"11"	""	"7"	"9"	"23"	""	"484"	"0"	"484"	""	""
"145"	"121"	""	"11"	"3"	""	"5"	"300"	"12"	""	"6"	""	"4"	"4"	"3"	""	"348"	"0"	"348"	""	""
"146"	"122"	""	"7"	"5"	""	"290"	"46"	"151"	""	"10"	""	"7"	"15"	"14"	""	"545"	"0"	"545"	""	""
"147"	"123"	""	"15"	"6"	""	"132"	"228"	"14"	""	"13"	""	"7"	"13"	"23"	""	"451"	"0"	"451"	""	""
"148"	"123A"	""	"22"	"5"	""	"39"	"251"	"49"	""	"7"	""	"1"	"6"	"4"	""	"384"	"0"	"384"	""	""
"149"	"124"	""	"9"	"4"	""	"546"	"70"	"8"	""	"2"	""	"7"	"3"	"9"	""	"658"	"0"	"658"	""	""
"150"	"125"	""	"14"	"16"	""	"613"	"52"	"7"	""	"6"	""	"19"	"6"	"15"	""	"748"	"0"	"748"	""	""
"151"	"126"	""	"13"	"6"	""	"35"	"490"	"36"	""	"10"	""	"5"	"5"	"12"	""	"612"	"0"	"612"	""	""
"152"	"127"	""	"4"	"2"	""	"35"	"385"	"18"	""	"8"	""	"5"	"2"	"6"	""	"465"	"0"	"465"	""	""
"153"	"128"	""	"23"	"15"	""	"306"	"148"	"53"	""	"11"	""	"14"	"17"	"27"	""	"614"	"0"	"614"	""	""
"154"	"129"	""	"1"	"12"	""	"99"	"313"	"23"	""	"5"	""	"9"	"9"	"14"	""	"485"	"0"	"485"	""	""
"155"	"130"	""	"16"	"6"	""	"264"	"71"	"42"	""	"8"	""	"14"	"7"	"17"	""	"445"	"0"	"445"	""	""
"156"	"131"	""	"7"	"8"	""	"352"	"403"	"56"	""	"9"	""	"6"	"11"	"18"	""	"870"	"0"	"870"	""	""
"157"	"132"	""	"11"	"4"	""	"115"	"522"	"43"	""	"8"	""	"8"	"9"	"14"	""	"734"	"0"	"734"	""	""
"158"	"133"	""	"24"	"10"	""	"139"	"504"	"18"	""	"8"	""	"10"	"9"	"18"	""	"740"	"0"	"740"	""	""
"159"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"160"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"161"	"134"	""	"11"	"5"	""	"136"	"276"	"14"	""	"4"	""	"3"	"6"	"6"	""	"461"	"0"	"461"	""	""
"162"	"135"	""	"10"	"0"	""	"34"	"495"	"6"	""	"4"	""	"1"	"1"	"2"	""	"553"	"0"	"553"	""	""
"163"	"136"	""	"6"	"1"	""	"30"	"534"	"8"	""	"8"	""	"0"	"5"	"1"	""	"593"	"0"	"593"	""	""
"164"	"137"	""	"7"	"3"	""	"589"	"141"	"29"	""	"8"	""	"9"	"2"	"2"	""	"790"	"0"	"790"	""	""
"165"	"138"	""	"23"	"12"	""	"219"	"224"	"24"	""	"8"	""	"9"	"6"	"21"	""	"546"	"0"	"546"	""	""
"166"	"139"	""	"16"	"12"	""	"308"	"95"	"9"	""	"3"	""	"3"	"2"	"9"	""	"457"	"0"	"457"	""	""
"167"	"140"	""	"26"	"11"	""	"428"	"64"	"65"	""	"8"	""	"12"	"11"	"11"	""	"636"	"0"	"636"	""	""
"168"	"140A"	""	"0"	"0"	""	"8"	"261"	"4"	""	"4"	""	"1"	"1"	"4"	""	"283"	"0"	"283"	""	""
"169"	"141"	""	"5"	"4"	""	"101"	"326"	"14"	""	"2"	""	"3"	"1"	"5"	""	"461"	"0"	"461"	""	""
"170"	"142"	""	"11"	"17"	""	"344"	"168"	"10"	""	"3"	""	"7"	"5"	"9"	""	"574"	"0"	"574"	""	""
"171"	"143"	""	"12"	"18"	""	"452"	"45"	"28"	""	"8"	""	"6"	"5"	"13"	""	"587"	"0"	"587"	""	""
