"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"22"	"12"	"11"	"17"	"90"	"6"	"5"	"3"	"2"	"2"	"2"	"5"	"1"	"4"	"67"	"4"	"9"	"217"	"0"	"217"	"0"
"23"	"13"	"12"	"14"	"508"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"531"	"0"	"531"	"0"
"24"	"14"	"13"	"27"	"464"	"7"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"5"	"508"	"0"	"508"	"0"
"25"	"Total Votes Polled"	""	"206"	"3264"	"94"	"86"	"24"	"445"	"23"	"25"	"59"	"20"	"53"	"566"	"52"	"111"	"5028"	"0"	"5028"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"14"	"8"	"485"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"10"	"0"	"0"	"507"	"0"	"507"	"0"
"44"	"2"	"15"	"1"	"535"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"541"	"0"	"541"	"0"
"45"	"3"	"16"	"9"	"441"	"13"	"8"	"1"	"2"	"1"	"4"	"2"	"0"	"2"	"10"	"4"	"6"	"503"	"0"	"503"	"0"
"46"	"4"	"17"	"81"	"113"	"4"	"7"	"3"	"2"	"2"	"0"	"1"	"0"	"3"	"0"	"1"	"4"	"221"	"0"	"221"	"0"
"47"	"5"	"18"	"3"	"4"	"3"	"6"	"1"	"0"	"0"	"0"	"1"	"0"	"6"	"317"	"9"	"6"	"356"	"0"	"356"	"0"
"48"	"6"	"19"	"7"	"39"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"7"	"28"	"4"	"2"	"95"	"0"	"95"	"0"
"49"	"7"	"20"	"7"	"18"	"1"	"4"	"0"	"5"	"2"	"2"	"3"	"2"	"8"	"493"	"5"	"1"	"551"	"0"	"551"	"0"
"50"	"8"	"21"	"18"	"40"	"10"	"13"	"4"	"1"	"3"	"2"	"4"	"2"	"9"	"327"	"7"	"13"	"453"	"0"	"453"	"0"
"51"	"9"	"22"	"1"	"0"	"8"	"4"	"0"	"1"	"0"	"0"	"1"	"3"	"9"	"180"	"5"	"14"	"226"	"0"	"226"	"0"
"52"	"10"	"23"	"4"	"82"	"9"	"7"	"1"	"1"	"1"	"1"	"3"	"1"	"5"	"154"	"6"	"13"	"288"	"0"	"288"	"0"
"53"	"11"	"23A"	"7"	"27"	"1"	"2"	"1"	"0"	"2"	"1"	"5"	"0"	"5"	"53"	"1"	"0"	"105"	"0"	"105"	"0"
"54"	"12"	"24"	"5"	"71"	"5"	"11"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"68"	"1"	"3"	"168"	"0"	"168"	"0"
"55"	"13"	"24A"	"16"	"63"	"6"	"11"	"3"	"4"	"1"	"2"	"3"	"2"	"2"	"102"	"5"	"1"	"221"	"0"	"221"	"0"
"56"	"14"	"25"	"18"	"192"	"4"	"17"	"3"	"0"	"1"	"2"	"5"	"2"	"1"	"12"	"2"	"2"	"261"	"0"	"261"	"0"
"57"	"Total Votes Polled"	""	"185"	"2110"	"69"	"96"	"18"	"20"	"13"	"14"	"31"	"12"	"59"	"1754"	"50"	"65"	"4496"	"0"	"4496"	"0"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"26"	"8"	"9"	"6"	"15"	"3"	"6"	"1"	"4"	"4"	"5"	"11"	"378"	"17"	"38"	"505"	"0"	"505"	"0"
"76"	"2"	"27"	"0"	"417"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"425"	"0"	"425"	"0"
"77"	"3"	"27A"	"23"	"318"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"346"	"0"	"346"	"0"
"78"	"4"	"28"	"5"	"2"	"8"	"11"	"3"	"4"	"4"	"5"	"11"	"5"	"25"	"203"	"11"	"16"	"313"	"0"	"313"	"0"
"79"	"5"	"29"	"7"	"491"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"501"	"0"	"501"	"0"
"80"	"6"	"30"	"1"	"347"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"350"	"0"	"350"	"0"
"81"	"7"	"31"	"1"	"445"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"450"	"0"	"450"	"0"
"82"	"8"	"32"	"29"	"467"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"500"	"0"	"500"	"0"
"83"	"9"	"33"	"5"	"523"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"541"	"0"	"541"	"0"
"84"	"10"	"34"	"4"	"22"	"2"	"7"	"1"	"0"	"0"	"2"	"1"	"0"	"3"	"597"	"4"	"1"	"644"	"0"	"644"	"0"
"85"	"11"	"35"	"3"	"4"	"4"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"414"	"2"	"2"	"441"	"0"	"441"	"0"
"86"	"12"	"36"	"12"	"7"	"15"	"15"	"1"	"1"	"0"	"0"	"4"	"2"	"2"	"275"	"5"	"13"	"352"	"0"	"352"	"0"
"87"	"13"	"36A"	"7"	"5"	"0"	"7"	"2"	"3"	"0"	"2"	"3"	"2"	"3"	"240"	"3"	"5"	"282"	"0"	"282"	"0"
"88"	"14"	"37"	"15"	"24"	"4"	"10"	"4"	"2"	"1"	"1"	"8"	"2"	"11"	"215"	"10"	"25"	"332"	"0"	"332"	"0"
"89"	"Total Votes Polled"	""	"120"	"3081"	"45"	"78"	"17"	"17"	"7"	"16"	"35"	"17"	"59"	"2334"	"56"	"100"	"5982"	"0"	"5982"	"0"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"38"	"11"	"61"	"8"	"20"	"9"	"2"	"2"	"1"	"8"	"0"	"9"	"90"	"5"	"7"	"233"	"0"	"233"	"0"
"108"	"2"	"38A"	"9"	"51"	"8"	"1"	"0"	"2"	"0"	"0"	"5"	"2"	"2"	"45"	"2"	"15"	"142"	"0"	"142"	"0"
"109"	"3"	"39"	"0"	"4"	"1"	"12"	"5"	"4"	"1"	"2"	"4"	"3"	"7"	"227"	"8"	"19"	"297"	"0"	"297"	"0"
"110"	"4"	"40"	"0"	"3"	"5"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"360"	"0"	"4"	"380"	"0"	"380"	"0"
"111"	"5"	"40A"	"3"	"1"	"6"	"5"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"361"	"3"	"5"	"390"	"0"	"390"	"0"
"112"	"6"	"41"	"39"	"325"	"6"	"10"	"1"	"1"	"0"	"2"	"2"	"1"	"5"	"2"	"1"	"0"	"395"	"0"	"395"	"0"
"113"	"7"	"41A"	"21"	"74"	"2"	"4"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"14"	"2"	"5"	"128"	"0"	"128"	"0"
"114"	"8"	"42"	"36"	"135"	"13"	"5"	"8"	"1"	"1"	"1"	"4"	"3"	"3"	"87"	"0"	"4"	"301"	"0"	"301"	"0"
"115"	"9"	"42A"	"14"	"184"	"5"	"6"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"25"	"2"	"0"	"240"	"0"	"240"	"0"
"116"	"10"	"43"	"5"	"13"	"3"	"11"	"2"	"2"	"1"	"3"	"2"	"5"	"9"	"240"	"8"	"4"	"308"	"0"	"308"	"0"
"117"	"11"	"44"	"19"	"106"	"14"	"12"	"6"	"1"	"3"	"3"	"6"	"4"	"6"	"162"	"3"	"10"	"355"	"0"	"355"	"0"
"118"	"12"	"45"	"5"	"453"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"463"	"0"	"463"	"0"
"119"	"13"	"46"	"3"	"31"	"11"	"17"	"3"	"13"	"1"	"1"	"3"	"0"	"6"	"173"	"10"	"3"	"275"	"0"	"275"	"0"
"120"	"14"	"47"	"14"	"342"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"368"	"0"	"368"	"0"
"121"	"Total Votes Polled"	""	"179"	"1783"	"89"	"106"	"36"	"27"	"11"	"16"	"39"	"20"	"56"	"1792"	"45"	"76"	"4275"	"0"	"4275"	"0"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"48"	"6"	"87"	"5"	"14"	"1"	"5"	"0"	"4"	"4"	"1"	"4"	"141"	"4"	"8"	"284"	"0"	"284"	"0"
"140"	"2"	"49"	"12"	"192"	"10"	"11"	"8"	"3"	"2"	"2"	"4"	"0"	"1"	"23"	"2"	"2"	"272"	"0"	"272"	"0"
"141"	"3"	"50"	"3"	"2"	"3"	"9"	"1"	"1"	"0"	"1"	"4"	"1"	"8"	"362"	"2"	"4"	"401"	"0"	"401"	"0"
"142"	"4"	"50A"	"3"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"3"	"1"	"5"	"394"	"1"	"9"	"422"	"0"	"422"	"0"
"143"	"5"	"51"	"1"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"5"	"0"	"0"	"246"	"0"	"2"	"266"	"0"	"266"	"0"
"144"	"6"	"51A"	"1"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"394"	"1"	"2"	"408"	"0"	"408"	"0"
"145"	"7"	"52"	"10"	"57"	"3"	"6"	"3"	"0"	"0"	"2"	"4"	"1"	"5"	"158"	"3"	"11"	"263"	"0"	"263"	"0"
"146"	"8"	"52A"	"4"	"46"	"1"	"6"	"2"	"0"	"0"	"2"	"3"	"0"	"8"	"200"	"3"	"4"	"279"	"0"	"279"	"0"
"147"	"9"	"53"	"2"	"8"	"1"	"1"	"0"	"3"	"0"	"0"	"3"	"3"	"6"	"163"	"4"	"3"	"197"	"0"	"197"	"0"
"148"	"10"	"54"	"6"	"33"	"11"	"8"	"2"	"1"	"0"	"0"	"0"	"5"	"9"	"250"	"6"	"17"	"348"	"0"	"348"	"0"
"149"	"11"	"55"	"42"	"419"	"11"	"10"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"10"	"2"	"3"	"501"	"0"	"501"	"0"
"150"	"12"	"56"	"17"	"285"	"4"	"7"	"1"	"2"	"1"	"0"	"2"	"2"	"1"	"1"	"3"	"6"	"332"	"0"	"332"	"0"
"151"	"13"	"57"	"7"	"94"	"6"	"8"	"4"	"0"	"3"	"1"	"8"	"3"	"6"	"265"	"14"	"7"	"426"	"0"	"426"	"0"
"152"	"14"	"58"	"11"	"436"	"4"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"465"	"0"	"465"	"0"
"153"	"Total Votes Polled"	""	"125"	"1672"	"61"	"98"	"25"	"17"	"6"	"14"	"40"	"17"	"54"	"2610"	"46"	"79"	"4864"	"0"	"4864"	"0"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"59"	"3"	"414"	"1"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"425"	"0"	"425"	"0"
"172"	"2"	"60"	"3"	"516"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"521"	"0"	"521"	"0"
"173"	"3"	"60A"	"3"	"462"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"466"	"0"	"466"	"0"
"174"	"4"	"61"	"1"	"473"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"480"	"0"	"480"	"0"
"175"	"5"	"61A"	"5"	"502"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"508"	"0"	"508"	"0"
"176"	"6"	"62"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"623"	"2"	"1"	"631"	"0"	"631"	"0"
