"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"11"	"5"	""	"209"	""	""	"131"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"6"	""	""	""	"374"	""	""	""	""	""	""	"374"	""	""	""	""	""	""
"12"	"6"	""	"171"	""	""	"74"	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"17"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"3"	""	""	""	"281"	""	""	""	""	""	""	"281"	""	""	""	""	""	""
"13"	"7"	""	"42"	""	""	"196"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"60"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"6"	""	""	""	"317"	""	""	""	""	""	""	"317"	""	""	""	""	""	""
"14"	"8"	""	"97"	""	""	"167"	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	"8"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"2"	""	""	""	"292"	""	""	""	""	""	""	"292"	""	""	""	""	""	""
"15"	"9"	""	"25"	""	""	"227"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"2"	""	""	""	"284"	""	""	""	""	""	""	"284"	""	""	""	""	""	""
"16"	"9A"	""	"11"	""	""	"135"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	"11"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"2"	""	""	""	"172"	""	""	""	""	""	""	"172"	""	""	""	""	""	""
"17"	"10"	""	"18"	""	""	"251"	""	""	""	"4"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	"11"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"4"	""	""	""	"301"	""	""	""	""	""	""	"301"	""	""	""	""	""	""
"18"	"10A"	""	"55"	""	""	"241"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	"14"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"6"	""	""	""	"330"	""	""	""	""	""	""	"330"	""	""	""	""	""	""
"19"	"11"	""	"170"	""	""	"190"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"2"	""	""	""	"378"	""	""	""	""	""	""	"378"	""	""	""	""	""	""
"20"	"12"	""	"173"	""	""	"119"	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"2"	""	""	""	"317"	""	""	""	""	""	""	"317"	""	""	""	""	""	""
"21"	"Total"	""	"1477"	""	""	"2781"	""	""	""	"36"	""	""	""	""	"98"	""	""	""	""	""	"101"	""	""	""	"116"	""	""	""	"13"	""	""	""	""	"11"	""	""	""	""	"18"	""	""	""	""	""	"16"	""	""	""	"11"	""	""	""	""	"10"	""	""	"19"	""	""	""	""	"52"	""	""	""	"4759"	""	""	""	""	""	""	"4759"	""	"0"	""	""	""	""
"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Grand Total"	""	"1477"	""	""	"2781"	""	""	""	"36"	""	""	""	""	"98"	""	""	""	""	""	"101"	""	""	""	"116"	""	""	""	"13"	""	""	""	""	"11"	""	""	""	""	"18"	""	""	""	""	""	"16"	""	""	""	"11"	""	""	""	""	"10"	""	""	"19"	""	""	""	""	"52"	""	""	""	"4759"	""	""	"0"	""	""	""	"4759"	""	"0"	""	""	""	""
"24"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 189 - PATNA CENTRAL  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"(To be used both for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ROUND-2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""
"36"	"Serial no. of
polling station"	""	"Aquil Haider"	""	""	""	"Arun Kumar
Sinha"	""	""	"Tota
Chaudhary"	""	""	""	""	""	"Mohan Prasad"	""	""	""	""	"Ramchandra
Prasad Singh"	""	""	""	""	"Om Prakash
Awtar"	""	""	""	"Daya Shankar
Tiwary"	""	""	""	"Ram Babu
Baitha"	""	""	""	""	""	"Lal Bahadur
SinghPatel"	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar
Albela"	""	""	""	"Kapileshwar
Lal"	""	""	""	"Sanjay Kumar"	""	""	""	""	"Saroj Kant
Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"13"	""	"61"	""	""	""	"116"	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"5"	""	""	"190"	""	""	""	""	""	""	"190"	""	""	""	""	""	""
"38"	"13A"	""	"169"	""	""	""	"35"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"213"	""	""	""	""	""	""	"213"	""	""	""	""	""	""
"39"	"14"	""	"193"	""	""	""	"21"	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	"226"	""	""	""	""	""	""	"226"	""	""	""	""	""	""
"40"	"14A"	""	"85"	""	""	""	"140"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	"241"	""	""	""	""	""	""	"241"	""	""	""	""	""	""
"41"	"15"	""	"228"	""	""	""	"99"	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"10"	""	""	"351"	""	""	""	""	""	""	"351"	""	""	""	""	""	""
"42"	"15A"	""	"123"	""	""	""	"84"	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"3"	""	""	"220"	""	""	""	""	""	""	"220"	""	""	""	""	""	""
"43"	"16"	""	"302"	""	""	""	"79"	""	""	"0"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"399"	""	""	""	""	""	""	"399"	""	""	""	""	""	""
"44"	"17"	""	"196"	""	""	""	"10"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	"211"	""	""	""	""	""	""	"211"	""	""	""	""	""	""
"45"	"17A"	""	"247"	""	""	""	"24"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"278"	""	""	""	""	""	""	"278"	""	""	""	""	""	""
"46"	"18"	""	"38"	""	""	""	"253"	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	"308"	""	""	""	""	""	""	"308"	""	""	""	""	""	""
"47"	"18A"	""	"7"	""	""	""	"317"	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"338"	""	""	""	""	""	""	"338"	""	""	""	""	""	""
"48"	"19"	""	"48"	""	""	""	"288"	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"352"	""	""	""	""	""	""	"352"	""	""	""	""	""	""
"49"	"19A"	""	"38"	""	""	""	"225"	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"284"	""	""	""	""	""	""	"284"	""	""	""	""	""	""
"50"	"20"	""	"20"	""	""	""	"308"	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	"344"	""	""	""	""	""	""	"344"	""	""	""	""	""	""
"51"	"Total"	""	"1755"	""	""	""	"1999"	""	""	"17"	""	""	""	""	""	"60"	""	""	""	""	"5"	""	""	""	""	"33"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"8"	""	""	""	""	"31"	""	""	"3955"	""	""	""	""	""	""	"3955"	""	""	"0"	""	""	""
"52"	"Till Last Round"	""	"1477"	""	""	""	"2781"	""	""	"36"	""	""	""	""	""	"98"	""	""	""	""	"101"	""	""	""	""	"116"	""	""	""	"13"	""	""	""	"11"	""	""	""	""	""	"18"	""	""	""	""	"16"	""	""	""	""	"11"	""	""	""	"10"	""	""	""	"19"	""	""	""	""	"52"	""	""	"4759"	""	""	""	"0"	""	""	"4759"	""	""	"0"	""	""	""
"53"	"Grand Total"	""	"3232"	""	""	""	"4780"	""	""	"53"	""	""	""	""	""	"158"	""	""	""	""	"106"	""	""	""	""	"149"	""	""	""	"19"	""	""	""	"11"	""	""	""	""	""	"32"	""	""	""	""	"31"	""	""	""	""	"17"	""	""	""	"16"	""	""	""	"27"	""	""	""	""	"83"	""	""	"8714"	""	""	""	"0"	""	""	"8714"	""	""	"0"	""	""	""
"54"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"59"	"Serial no. of polling station"	""	"Aquil Haider"	""	""	"Arun Kumar Sinha"	""	""	"Tota Chaudhary"	""	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	"Om Prakash Awtar"	""	""	""	""	"Daya Shankar Tiwary"	""	""	"Ram Babu Baitha"	""	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	""	"Kapileshwa r Lal"	""	""	"Sanjay Kumar"	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"20A"	""	"28"	""	""	"254"	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"5"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"297"	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"21"	""	"50"	""	""	"313"	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"383"	""	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"22"	""	"52"	""	""	"410"	""	""	"2"	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	"17"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"4"	""	""	""	"504"	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"23"	""	"40"	""	""	"290"	""	""	"0"	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	"13"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"7"	""	""	""	"369"	""	""	""	""	""	""	"369"	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"23A"	""	"42"	""	""	"234"	""	""	"2"	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	"5"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"4"	""	""	""	"296"	""	""	""	""	""	""	"296"	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"24"	""	"28"	""	""	"211"	""	""	"2"	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	""	"257"	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""	""
