"X."	"X..1"	"X..2"	"X..3"	"Foram.20......017.PIPRA"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"77"	"66"	""	"1219"	"7"	"356"	"8"	"19"	"158"	"6"	"1"	"1"	"8"	"557"
"78"	"67"	""	"1164"	"8"	"257"	"6"	"11"	"189"	"21"	"5"	"7"	"12"	"508"
"79"	"68"	""	"540"	"8"	"44"	"1"	"13"	"155"	"4"	"4"	"1"	"2"	"224"
"80"	"68"	"A"	"956"	"8"	"86"	"6"	"8"	"346"	"23"	"3"	"0"	"8"	"480"
"81"	"69"	""	"1156"	"8"	"399"	"4"	"12"	"57"	"2"	"0"	"2"	"4"	"480"
"82"	"70"	""	"886"	"8"	"207"	"7"	"7"	"220"	"14"	"2"	"8"	"17"	"482"
"83"	"71"	""	"859"	"8"	"281"	"9"	"9"	"131"	"11"	"2"	"7"	"16"	"466"
"84"	"72"	""	"560"	"8"	"132"	"3"	"6"	"81"	"6"	"1"	"2"	"5"	"236"
"85"	"73"	""	"1265"	"8"	"364"	"12"	"50"	"218"	"22"	"2"	"5"	"16"	"689"
"86"	"74"	""	"700"	"8"	"109"	"4"	"11"	"187"	"16"	"5"	"7"	"21"	"360"
"87"	"75"	""	"1130"	"8"	"144"	"27"	"22"	"230"	"18"	"7"	"3"	"16"	"467"
"88"	"76"	""	"1380"	"9"	"295"	"5"	"15"	"412"	"17"	"1"	"1"	"10"	"756"
"89"	"77"	""	"800"	"9"	"259"	"5"	"4"	"87"	"6"	"4"	"1"	"4"	"370"
"90"	"77"	"A"	"657"	"9"	"151"	"8"	"11"	"98"	"7"	"2"	"0"	"7"	"284"
"91"	"78"	""	"973"	"9"	"282"	"5"	"15"	"171"	"10"	"3"	"1"	"6"	"493"
"92"	"79"	""	"1253"	"9"	"308"	"21"	"15"	"146"	"17"	"7"	"10"	"36"	"560"
"93"	"80"	""	"890"	"9"	"190"	"5"	"4"	"253"	"10"	"4"	"3"	"10"	"479"
"94"	"80"	"A"	"675"	"9"	"116"	"2"	"6"	"186"	"5"	"2"	"2"	"3"	"322"
"95"	"81"	""	"770"	"9"	"112"	"11"	"12"	"177"	"10"	"8"	"4"	"8"	"342"
"96"	"81"	"A"	"777"	"9"	"236"	"7"	"19"	"134"	"6"	"3"	"3"	"10"	"418"
"97"	"82"	""	"1118"	"9"	"418"	"12"	"18"	"57"	"2"	"1"	"1"	"10"	"519"
"98"	"83"	""	"1169"	"10"	"497"	"11"	"19"	"80"	"8"	"4"	"5"	"17"	"641"
"99"	"84"	""	"942"	"10"	"130"	"7"	"11"	"184"	"20"	"9"	"8"	"31"	"400"
"100"	"85"	""	"1126"	"10"	"273"	"10"	"9"	"43"	"11"	"7"	"8"	"44"	"405"
"101"	"86"	""	"1218"	"10"	"250"	"16"	"17"	"133"	"5"	"4"	"3"	"8"	"436"
"102"	"87"	""	"1315"	"10"	"411"	"14"	"13"	"139"	"15"	"4"	"8"	"20"	"624"
"103"	"88"	""	"733"	"10"	"167"	"9"	"6"	"136"	"10"	"0"	"1"	"27"	"356"
"104"	"89"	""	"768"	"10"	"175"	"7"	"17"	"163"	"13"	"2"	"1"	"10"	"388"
"105"	"90"	""	"571"	"10"	"91"	"4"	"64"	"60"	"5"	"6"	"1"	"6"	"237"
"106"	"91"	""	"1131"	"10"	"316"	"7"	"8"	"85"	"6"	"1"	"4"	"26"	"453"
"107"	"92"	""	"602"	"10"	"195"	"17"	"29"	"146"	"19"	"6"	"8"	"16"	"436"
"108"	"92"	"A"	"905"	"11"	"133"	"8"	"8"	"71"	"7"	"5"	"1"	"19"	"252"
"109"	"93"	""	"732"	"11"	"251"	"8"	"22"	"110"	"8"	"2"	"1"	"13"	"415"
"110"	"94"	""	"1007"	"11"	"285"	"4"	"33"	"54"	"5"	"1"	"1"	"17"	"400"
"111"	"95"	""	"1244"	"11"	"91"	"3"	"27"	"309"	"13"	"6"	"2"	"17"	"468"
"112"	"96"	""	"767"	"11"	"30"	"1"	"11"	"234"	"9"	"3"	"2"	"10"	"300"
"113"	"97"	""	"1365"	"11"	"49"	"11"	"33"	"400"	"10"	"7"	"3"	"10"	"523"
"114"	"98"	""	"1022"	"11"	"90"	"0"	"21"	"311"	"11"	"0"	"3"	"6"	"442"
"115"	"99"	""	"808"	"11"	"180"	"1"	"8"	"153"	"4"	"2"	"0"	"7"	"355"
"116"	""	""	""	""	"Foram 20      017-PIPRA"	""	""	""	""	""	""	""	""
"117"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"118"	"Booth No."	"Ext"	"Voters"	"Round"	"KRISHNANDAN PASWAN"	"MALA  DEVI"	"VISHWA  NATH PASWAN"	"SURENDRA KUMAR CHANDRA"	"VEENA  PASWAN"	"SAHDEO  PASWAN"	"GANESH PASWAN"	"SURESH PASWAN"	"Total"
"119"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"120"	"100"	""	"1042"	"11"	"302"	"3"	"8"	"88"	"5"	"2"	"4"	"9"	"421"
"121"	"101"	""	"840"	"11"	"61"	"1"	"7"	"291"	"18"	"3"	"1"	"6"	"388"
"122"	"101"	"A"	"587"	"12"	"94"	"3"	"4"	"108"	"10"	"0"	"1"	"7"	"227"
"123"	"102"	""	"940"	"12"	"439"	"13"	"2"	"89"	"2"	"3"	"3"	"25"	"576"
"124"	"103"	""	"1302"	"12"	"425"	"7"	"8"	"75"	"4"	"1"	"1"	"19"	"540"
"125"	"104"	""	"667"	"12"	"238"	"4"	"13"	"203"	"8"	"3"	"1"	"3"	"473"
"126"	"105"	""	"885"	"12"	"304"	"5"	"7"	"189"	"7"	"4"	"3"	"14"	"533"
"127"	"106"	""	"942"	"12"	"361"	"7"	"4"	"153"	"11"	"0"	"4"	"13"	"553"
"128"	"107"	""	"1231"	"12"	"412"	"12"	"1"	"70"	"5"	"3"	"2"	"14"	"519"
"129"	"108"	""	"1279"	"12"	"366"	"5"	"5"	"160"	"3"	"4"	"2"	"5"	"550"
"130"	"109"	""	"1383"	"12"	"433"	"6"	"5"	"72"	"0"	"0"	"1"	"1"	"518"
"131"	"110"	""	"1051"	"12"	"411"	"3"	"4"	"114"	"5"	"0"	"1"	"1"	"539"
"132"	"111"	""	"996"	"13"	"357"	"2"	"3"	"91"	"11"	"2"	"1"	"8"	"475"
"133"	"112"	""	"961"	"13"	"183"	"6"	"32"	"199"	"10"	"7"	"4"	"5"	"446"
"134"	"113"	""	"818"	"13"	"160"	"12"	"16"	"154"	"9"	"2"	"3"	"10"	"366"
"135"	"114"	""	"933"	"13"	"206"	"10"	"8"	"229"	"8"	"7"	"5"	"15"	"488"
"136"	"115"	""	"1089"	"13"	"237"	"10"	"49"	"122"	"8"	"10"	"8"	"18"	"462"
"137"	"116"	""	"804"	"13"	"164"	"6"	"31"	"160"	"12"	"1"	"1"	"9"	"384"
"138"	"117"	""	"1034"	"13"	"141"	"7"	"81"	"269"	"9"	"6"	"7"	"11"	"531"
"139"	"118"	""	"943"	"13"	"206"	"8"	"36"	"159"	"6"	"4"	"1"	"6"	"426"
"140"	"119"	""	"1022"	"13"	"306"	"9"	"78"	"101"	"5"	"7"	"3"	"7"	"516"
"141"	"120"	""	"656"	"13"	"117"	"6"	"174"	"64"	"3"	"2"	"2"	"4"	"372"
"142"	"121"	""	"1006"	"14"	"207"	"11"	"127"	"95"	"9"	"8"	"1"	"10"	"468"
"143"	"122"	""	"407"	"14"	"79"	"4"	"75"	"43"	"4"	"3"	"1"	"1"	"210"
"144"	"123"	""	"262"	"14"	"53"	"4"	"2"	"76"	"5"	"3"	"1"	"6"	"150"
"145"	"124"	""	"774"	"14"	"274"	"9"	"20"	"53"	"1"	"5"	"0"	"17"	"379"
"146"	"125"	""	"589"	"14"	"81"	"2"	"8"	"121"	"7"	"2"	"5"	"11"	"237"
"147"	"126"	""	"797"	"14"	"148"	"4"	"6"	"164"	"6"	"1"	"2"	"9"	"340"
"148"	"127"	""	"812"	"14"	"167"	"2"	"13"	"220"	"2"	"1"	"1"	"2"	"408"
"149"	"128"	""	"712"	"14"	"294"	"3"	"4"	"94"	"4"	"2"	"0"	"8"	"409"
"150"	"129"	""	"839"	"14"	"338"	"3"	"19"	"53"	"0"	"2"	"0"	"9"	"424"
"151"	"130"	""	"1318"	"14"	"93"	"46"	"19"	"458"	"13"	"8"	"5"	"13"	"655"
"152"	"131"	""	"1223"	"15"	"224"	"4"	"15"	"330"	"17"	"2"	"5"	"12"	"609"
"153"	"132"	""	"970"	"15"	"292"	"6"	"9"	"178"	"6"	"3"	"2"	"15"	"511"
"154"	"133"	""	"1031"	"15"	"107"	"4"	"18"	"359"	"17"	"3"	"0"	"9"	"517"
"155"	"134"	""	"865"	"15"	"152"	"8"	"12"	"165"	"16"	"2"	"5"	"20"	"380"
"156"	"135"	""	"574"	"15"	"80"	"5"	"6"	"135"	"6"	"2"	"1"	"6"	"241"
"157"	"136"	""	"938"	"15"	"365"	"7"	"15"	"77"	"7"	"2"	"2"	"12"	"487"
"158"	"137"	""	"1179"	"15"	"232"	"28"	"7"	"261"	"8"	"2"	"9"	"20"	"567"
"159"	"138"	""	"933"	"15"	"176"	"8"	"8"	"173"	"14"	"1"	"1"	"12"	"393"
"160"	"139"	""	"1220"	"15"	"287"	"10"	"13"	"285"	"32"	"6"	"4"	"35"	"672"
"161"	"140"	""	"966"	"15"	"246"	"7"	"95"	"142"	"6"	"3"	"1"	"10"	"510"
"162"	"141"	""	"992"	"16"	"214"	"5"	"32"	"157"	"8"	"4"	"3"	"16"	"439"
"163"	"141"	"A"	"620"	"16"	"179"	"4"	"11"	"58"	"5"	"1"	"5"	"20"	"283"
"164"	"142"	""	"1299"	"16"	"189"	"8"	"32"	"195"	"15"	"10"	"10"	"25"	"484"
"165"	"143"	""	"1142"	"16"	"337"	"8"	"12"	"214"	"12"	"1"	"2"	"9"	"595"
"166"	"144"	""	"994"	"16"	"238"	"11"	"4"	"231"	"9"	"4"	"4"	"18"	"519"
"167"	"145"	""	"903"	"16"	"413"	"4"	"4"	"79"	"1"	"3"	"3"	"17"	"524"
"168"	"146"	""	"1074"	"16"	"440"	"16"	"11"	"71"	"6"	"5"	"8"	"31"	"588"
"169"	"147"	""	"605"	"16"	"314"	"10"	"9"	"83"	"4"	"1"	"1"	"4"	"426"
"170"	"148"	""	"829"	"16"	"240"	"19"	"9"	"142"	"11"	"1"	"1"	"23"	"446"
"171"	"149"	""	"1387"	"16"	"209"	"16"	"25"	"406"	"15"	"3"	"2"	"9"	"685"
"172"	"150"	""	"1225"	"17"	"425"	"12"	"8"	"86"	"7"	"3"	"3"	"15"	"559"
"173"	"151"	""	"1054"	"17"	"173"	"11"	"36"	"167"	"12"	"8"	"7"	"24"	"438"
"174"	""	""	""	""	"Foram 20      017-PIPRA"	""	""	""	""	""	""	""	""
"175"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"176"	"Booth No."	"Ext"	"Voters"	"Round"	"KRISHNANDAN PASWAN"	"MALA  DEVI"	"VISHWA  NATH PASWAN"	"SURENDRA KUMAR CHANDRA"	"VEENA  PASWAN"	"SAHDEO  PASWAN"	"GANESH PASWAN"	"SURESH PASWAN"	"Total"
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"178"	"152"	""	"820"	"17"	"78"	"2"	"34"	"292"	"14"	"3"	"6"	"18"	"447"
"179"	"153"	""	"872"	"17"	"140"	"12"	"81"	"160"	"14"	"7"	"11"	"18"	"443"
"180"	"154"	""	"783"	"17"	"85"	"12"	"60"	"174"	"13"	"4"	"11"	"21"	"380"
"181"	"155"	""	"1335"	"17"	"224"	"22"	"24"	"320"	"22"	"6"	"6"	"32"	"656"
"182"	"156"	""	"926"	"17"	"270"	"9"	"29"	"142"	"13"	"3"	"1"	"9"	"476"
"183"	"157"	""	"1165"	"17"	"81"	"27"	"16"	"282"	"13"	"6"	"11"	"17"	"453"
"184"	"158"	""	"1270"	"17"	"157"	"11"	"121"	"308"	"34"	"14"	"7"	"34"	"686"
"185"	"159"	""	"1331"	"17"	"275"	"7"	"12"	"280"	"6"	"4"	"4"	"11"	"599"
"186"	"160"	""	"818"	"18"	"96"	"11"	"13"	"186"	"24"	"9"	"18"	"44"	"401"
"187"	"161"	""	"917"	"18"	"155"	"5"	"9"	"218"	"12"	"8"	"2"	"18"	"427"
"188"	"162"	""	"705"	"18"	"126"	"5"	"6"	"112"	"6"	"4"	"3"	"7"	"269"
"189"	"163"	""	"1096"	"18"	"396"	"5"	"25"	"44"	"7"	"6"	"4"	"18"	"505"
"190"	"164"	""	"1036"	"18"	"321"	"18"	"50"	"99"	"9"	"7"	"10"	"16"	"530"
"191"	"165"	""	"1109"	"18"	"245"	"18"	"27"	"195"	"20"	"9"	"5"	"15"	"534"
"192"	"166"	""	"741"	"18"	"151"	"4"	"18"	"117"	"6"	"2"	"4"	"9"	"311"
"193"	"167"	""	"1059"	"18"	"100"	"10"	"37"	"257"	"22"	"18"	"8"	"36"	"488"
"194"	"168"	""	"957"	"18"	"419"	"11"	"13"	"116"	"7"	"4"	"3"	"23"	"596"
"195"	"169"	""	"619"	"18"	"109"	"17"	"7"	"157"	"9"	"14"	"5"	"4"	"322"
"196"	"170"	""	"843"	"19"	"298"	"13"	"11"	"132"	"5"	"5"	"3"	"19"	"486"
"197"	"171"	""	"482"	"19"	"93"	"6"	"13"	"130"	"4"	"1"	"3"	"12"	"262"
"198"	"172"	""	"624"	"19"	"199"	"9"	"54"	"91"	"6"	"12"	"6"	"32"	"409"
"199"	"172"	"A"	"858"	"19"	"199"	"5"	"2"	"67"	"7"	"1"	"3"	"13"	"297"
"200"	"173"	""	"1155"	"19"	"232"	"19"	"30"	"243"	"19"	"13"	"16"	"23"	"595"
"201"	"174"	""	"750"	"19"	"89"	"4"	"7"	"251"	"13"	"8"	"4"	"12"	"388"
"202"	"175"	""	"866"	"19"	"299"	"13"	"23"	"130"	"7"	"4"	"6"	"25"	"507"
"203"	"176"	""	"1045"	"19"	"258"	"7"	"54"	"128"	"7"	"7"	"2"	"19"	"482"
"204"	"177"	""	"1215"	"19"	"393"	"10"	"14"	"115"	"5"	"78"	"5"	"18"	"638"
"205"	"178"	""	"704"	"19"	"156"	"10"	"5"	"199"	"9"	"4"	"2"	"5"	"390"
"206"	"179"	""	"929"	"20"	"215"	"8"	"19"	"181"	"12"	"6"	"6"	"19"	"466"
"207"	"180"	""	"1253"	"20"	"424"	"11"	"17"	"186"	"7"	"3"	"1"	"7"	"656"
"208"	"181"	""	"735"	"20"	"207"	"11"	"20"	"135"	"21"	"25"	"7"	"24"	"450"
"209"	"182"	""	"1063"	"20"	"406"	"42"	"14"	"99"	"12"	"4"	"7"	"23"	"607"
"210"	"183"	""	"1286"	"20"	"150"	"8"	"16"	"325"	"21"	"14"	"17"	"34"	"585"
"211"	"184"	""	"816"	"20"	"235"	"5"	"7"	"116"	"9"	"3"	"3"	"12"	"390"
"212"	"185"	""	"626"	"20"	"112"	"3"	"8"	"90"	"7"	"4"	"6"	"22"	"252"
"213"	"185"	"A"	"867"	"20"	"211"	"9"	"8"	"50"	"5"	"0"	"2"	"6"	"291"
"214"	"186"	""	"922"	"20"	"253"	"6"	"13"	"106"	"17"	"5"	"3"	"33"	"436"
"215"	"186"	"A"	"488"	"20"	"183"	"10"	"1"	"48"	"3"	"1"	"2"	"5"	"253"
"216"	"Tatal"	""	""	""	"43239"	"1640"	"4714"	"32760"	"1986"	"1063"	"760"	"2788"	"88950"
