"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total.Votes.Polled"
"42"	"34"	"61"	"152"	"22"	"9"	"9"	"2"	"255"
"43"	"35"	"282"	"65"	"21"	"3"	"14"	"7"	"392"
"44"	"36"	"218"	"194"	"89"	"8"	"8"	"75"	"592"
"45"	"37"	"189"	"79"	"20"	"3"	"11"	"17"	"319"
"46"	"38"	"33"	"89"	"219"	"26"	"30"	"21"	"418"
"47"	"39"	"57"	"280"	"40"	"2"	"5"	"1"	"385"
"48"	"40"	"100"	"104"	"26"	"9"	"5"	"32"	"276"
"49"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"50"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"51"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"53"	"41"	"86"	"133"	"99"	"14"	"15"	"21"	"368"
"54"	"42"	"94"	"126"	"13"	"6"	"9"	"42"	"290"
"55"	"43"	"94"	"11"	"54"	"7"	"7"	"7"	"180"
"56"	"43A"	"92"	"34"	"20"	"7"	"7"	"23"	"183"
"57"	"44"	"8"	"121"	"0"	"0"	"1"	"1"	"131"
"58"	"45"	"53"	"208"	"15"	"6"	"4"	"23"	"309"
"59"	"46"	"128"	"83"	"88"	"16"	"16"	"43"	"374"
"60"	"47"	"142"	"237"	"18"	"5"	"10"	"14"	"426"
"61"	"48"	"54"	"321"	"42"	"19"	"13"	"18"	"467"
"62"	"49"	"10"	"211"	"8"	"1"	"0"	"1"	"231"
"63"	"50"	"130"	"162"	"21"	"9"	"6"	"27"	"355"
"64"	"51"	"194"	"158"	"14"	"9"	"10"	"8"	"393"
"65"	"52"	"277"	"111"	"10"	"7"	"14"	"13"	"432"
"66"	"53"	"203"	"272"	"33"	"17"	"18"	"23"	"566"
"67"	"54"	"243"	"121"	"62"	"12"	"8"	"8"	"454"
"68"	"55"	"65"	"264"	"31"	"11"	"15"	"20"	"406"
"69"	"56"	"529"	"32"	"7"	"2"	"5"	"18"	"593"
"70"	"57"	"42"	"314"	"70"	"10"	"12"	"15"	"463"
"71"	"58"	"37"	"201"	"101"	"15"	"11"	"16"	"381"
"72"	"59"	"279"	"125"	"26"	"18"	"8"	"14"	"470"
"73"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"74"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"75"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"77"	"60"	"175"	"227"	"55"	"11"	"14"	"20"	"502"
"78"	"61"	"61"	"167"	"115"	"13"	"19"	"12"	"387"
"79"	"62"	"50"	"176"	"26"	"5"	"19"	"10"	"286"
"80"	"63"	"114"	"272"	"18"	"7"	"25"	"17"	"453"
"81"	"64"	"332"	"278"	"26"	"9"	"9"	"17"	"671"
"82"	"65"	"100"	"341"	"16"	"5"	"17"	"10"	"489"
"83"	"66"	"335"	"180"	"108"	"24"	"9"	"22"	"678"
"84"	"67"	"415"	"41"	"14"	"4"	"49"	"6"	"529"
"85"	"68"	"65"	"142"	"86"	"6"	"7"	"10"	"316"
"86"	"68A"	"59"	"112"	"106"	"13"	"7"	"12"	"309"
"87"	"69"	"116"	"289"	"79"	"20"	"29"	"24"	"557"
"88"	"70"	"158"	"142"	"114"	"10"	"11"	"16"	"451"
"89"	"71"	"79"	"101"	"93"	"9"	"1"	"6"	"289"
"90"	"72"	"141"	"253"	"39"	"14"	"7"	"15"	"469"
"91"	"73"	"283"	"174"	"33"	"12"	"16"	"48"	"566"
"92"	"74"	"236"	"76"	"7"	"5"	"5"	"4"	"333"
"93"	"74A"	"63"	"239"	"22"	"9"	"6"	"13"	"352"
"94"	"75"	"55"	"466"	"55"	"2"	"25"	"5"	"608"
"95"	"76"	"167"	"185"	"23"	"3"	"7"	"14"	"399"
"96"	"77"	"211"	"202"	"31"	"5"	"11"	"11"	"471"
"97"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"98"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"99"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"101"	"78"	"114"	"129"	"15"	"6"	"20"	"10"	"294"
"102"	"78A"	"118"	"48"	"12"	"0"	"3"	"9"	"190"
"103"	"79"	"163"	"56"	"6"	"3"	"13"	"8"	"249"
"104"	"79A"	"66"	"137"	"14"	"4"	"7"	"15"	"243"
"105"	"80"	"107"	"134"	"25"	"11"	"15"	"27"	"319"
"106"	"81"	"39"	"111"	"40"	"11"	"12"	"14"	"227"
"107"	"82"	"375"	"166"	"30"	"17"	"12"	"32"	"632"
"108"	"83"	"13"	"241"	"25"	"2"	"2"	"5"	"288"
"109"	"83A"	"93"	"161"	"27"	"5"	"7"	"12"	"305"
"110"	"84"	"82"	"221"	"23"	"3"	"10"	"8"	"347"
"111"	"85"	"190"	"155"	"19"	"1"	"3"	"3"	"371"
"112"	"86"	"42"	"338"	"23"	"7"	"3"	"12"	"425"
"113"	"87"	"47"	"279"	"27"	"7"	"5"	"14"	"379"
"114"	"88"	"44"	"451"	"31"	"9"	"4"	"11"	"550"
"115"	"89"	"20"	"523"	"13"	"5"	"2"	"1"	"564"
"116"	"90"	"44"	"413"	"39"	"6"	"8"	"9"	"519"
"117"	"91"	"450"	"83"	"9"	"7"	"19"	"16"	"584"
"118"	"92"	"101"	"133"	"18"	"6"	"152"	"29"	"439"
"119"	"93"	"104"	"348"	"23"	"8"	"89"	"5"	"577"
"120"	"94"	"322"	"44"	"15"	"0"	"19"	"26"	"426"
"121"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"122"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"123"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"124"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"125"	"95"	"53"	"283"	"21"	"7"	"102"	"27"	"493"
"126"	"96"	"126"	"45"	"6"	"4"	"9"	"4"	"194"
"127"	"97"	"182"	"17"	"5"	"2"	"18"	"6"	"230"
"128"	"98"	"71"	"400"	"23"	"5"	"7"	"10"	"516"
"129"	"99"	"86"	"175"	"11"	"4"	"5"	"3"	"284"
"130"	"100"	"43"	"213"	"7"	"7"	"0"	"5"	"275"
"131"	"101"	"136"	"178"	"24"	"1"	"6"	"11"	"356"
"132"	"102"	"70"	"60"	"18"	"10"	"8"	"12"	"178"
"133"	"103"	"207"	"40"	"6"	"3"	"1"	"0"	"257"
"134"	"104"	"74"	"396"	"36"	"7"	"7"	"16"	"536"
"135"	"105"	"121"	"165"	"24"	"4"	"11"	"9"	"334"
"136"	"105A"	"22"	"219"	"26"	"15"	"13"	"22"	"317"
"137"	"106"	"214"	"129"	"46"	"14"	"17"	"21"	"441"
"138"	"107"	"19"	"456"	"34"	"6"	"4"	"6"	"525"
"139"	"108"	"44"	"295"	"23"	"7"	"10"	"9"	"388"
"140"	"108A"	"28"	"250"	"71"	"8"	"8"	"18"	"383"
"141"	"109"	"29"	"468"	"83"	"37"	"10"	"13"	"640"
"142"	"110"	"255"	"146"	"79"	"17"	"9"	"12"	"518"
"143"	"111"	"48"	"324"	"31"	"5"	"4"	"3"	"415"
"144"	"112"	"74"	"248"	"113"	"18"	"13"	"17"	"483"
"145"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"146"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"147"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"148"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"149"	"113"	"74"	"289"	"98"	"12"	"9"	"6"	"488"
"150"	"114"	"87"	"405"	"46"	"24"	"15"	"27"	"604"
"151"	"115"	"56"	"294"	"59"	"15"	"18"	"22"	"464"
"152"	"116"	"322"	"152"	"42"	"5"	"16"	"18"	"555"
"153"	"117"	"326"	"116"	"24"	"11"	"7"	"8"	"492"
"154"	"118"	"24"	"280"	"53"	"3"	"10"	"27"	"397"
"155"	"118A"	"60"	"152"	"24"	"6"	"11"	"16"	"269"
"156"	"119"	"161"	"158"	"15"	"4"	"14"	"14"	"366"
"157"	"119A"	"182"	"93"	"43"	"6"	"8"	"8"	"340"
"158"	"120"	"103"	"233"	"82"	"22"	"20"	"19"	"479"
"159"	"121"	"162"	"130"	"21"	"3"	"8"	"13"	"337"
"160"	"122"	"160"	"71"	"48"	"7"	"10"	"25"	"321"
"161"	"123"	"165"	"369"	"45"	"14"	"7"	"25"	"625"
"162"	"124"	"103"	"383"	"31"	"10"	"12"	"5"	"544"
"163"	"125"	"87"	"345"	"10"	"4"	"12"	"5"	"463"
"164"	"126"	"197"	"213"	"11"	"5"	"6"	"17"	"449"
"165"	"127"	"167"	"263"	"54"	"15"	"13"	"23"	"535"
"166"	"128"	"84"	"236"	"25"	"11"	"6"	"9"	"371"
"167"	"129"	"178"	"369"	"24"	"13"	"5"	"9"	"598"
"168"	"130"	"73"	"272"	"2"	"4"	"4"	"4"	"359"
"169"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"170"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"171"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"173"	"131"	"171"	"61"	"15"	"1"	"7"	"14"	"269"
"174"	"132"	"329"	"135"	"12"	"8"	"6"	"19"	"509"
"175"	"133"	"59"	"396"	"12"	"3"	"4"	"5"	"479"
"176"	"134"	"28"	"283"	"40"	"5"	"3"	"6"	"365"
"177"	"135"	"109"	"155"	"7"	"2"	"5"	"4"	"282"
"178"	"135A"	"46"	"121"	"3"	"0"	"8"	"0"	"178"
"179"	"136"	"112"	"390"	"18"	"5"	"8"	"21"	"554"
"180"	"137"	"69"	"244"	"7"	"2"	"1"	"6"	"329"
"181"	"138"	"147"	"233"	"9"	"2"	"5"	"7"	"403"
"182"	"139"	"128"	"304"	"97"	"7"	"11"	"12"	"559"
"183"	"140"	"66"	"484"	"20"	"6"	"10"	"11"	"597"
"184"	"141"	"29"	"239"	"9"	"2"	"2"	"2"	"283"
"185"	"142"	"253"	"97"	"5"	"6"	"4"	"6"	"371"
"186"	"143"	"144"	"397"	"18"	"4"	"7"	"8"	"578"
"187"	"144"	"117"	"320"	"18"	"6"	"7"	"6"	"474"
"188"	"145"	"130"	"403"	"36"	"7"	"5"	"11"	"592"
"189"	"146"	"77"	"400"	"30"	"8"	"11"	"13"	"539"
"190"	"147"	"332"	"42"	"6"	"7"	"7"	"12"	"406"
"191"	"147A"	"146"	"122"	"16"	"3"	"4"	"2"	"293"
"192"	"148"	"256"	"124"	"15"	"6"	"2"	"18"	"421"
"193"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"194"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"195"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"196"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"197"	"149"	"96"	"264"	"54"	"11"	"21"	"29"	"475"
"198"	"150"	"147"	"92"	"39"	"9"	"7"	"9"	"303"
"199"	"150A"	"92"	"159"	"45"	"10"	"8"	"30"	"344"
"200"	"151"	"343"	"87"	"16"	"6"	"17"	"9"	"478"
"201"	"152"	"198"	"104"	"8"	"5"	"2"	"11"	"328"
"202"	"153"	"261"	"222"	"14"	"12"	"11"	"18"	"538"
"203"	"154"	"348"	"33"	"34"	"5"	"6"	"12"	"438"
"204"	"155"	"199"	"149"	"32"	"4"	"9"	"14"	"407"
"205"	"156"	"148"	"285"	"47"	"12"	"15"	"34"	"541"
"206"	"157"	"77"	"300"	"18"	"7"	"5"	"46"	"453"
"207"	"158"	"243"	"310"	"24"	"2"	"22"	"16"	"617"
"208"	"159"	"111"	"287"	"30"	"4"	"7"	"15"	"454"
"209"	"160"	"178"	"264"	"69"	"13"	"6"	"10"	"540"
"210"	"161"	"98"	"305"	"32"	"11"	"23"	"17"	"486"
"211"	"162"	"53"	"184"	"16"	"4"	"7"	"4"	"268"
"212"	"163"	"89"	"232"	"66"	"11"	"9"	"12"	"419"
"213"	"164"	"132"	"134"	"29"	"7"	"5"	"7"	"314"
"214"	"165"	"25"	"187"	"75"	"10"	"4"	"19"	"320"
"215"	"166"	"31"	"233"	"37"	"9"	"8"	"17"	"335"
"216"	"167"	"18"	"146"	"37"	"6"	"8"	"17"	"232"
"217"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"218"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"219"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"220"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"221"	"167A"	"14"	"129"	"20"	"4"	"7"	"24"	"198"
"222"	"168"	"289"	"92"	"13"	"6"	"10"	"35"	"445"
"223"	"169"	"345"	"73"	"92"	"6"	"3"	"14"	"533"
"224"	"170"	"111"	"151"	"15"	"11"	"7"	"8"	"303"
"225"	"171"	"98"	"215"	"29"	"10"	"6"	"5"	"363"
"226"	"172"	"81"	"250"	"35"	"13"	"13"	"6"	"398"
"227"	"173"	"149"	"50"	"45"	"4"	"5"	"12"	"265"
"228"	"174"	"18"	"81"	"136"	"9"	"6"	"7"	"257"
"229"	"175"	"312"	"274"	"8"	"5"	"8"	"25"	"632"
"230"	"176"	"346"	"56"	"10"	"1"	"0"	"5"	"418"
"231"	"177"	"185"	"205"	"54"	"7"	"10"	"7"	"468"
"232"	"178"	"85"	"203"	"21"	"4"	"1"	"9"	"323"
"233"	"179"	"222"	"77"	"8"	"6"	"9"	"57"	"379"
"234"	"180"	"145"	"123"	"22"	"5"	"11"	"92"	"398"
"235"	"181"	"89"	"58"	"2"	"5"	"10"	"12"	"176"
"236"	"181A"	"112"	"138"	"10"	"4"	"12"	"11"	"287"
"237"	"182"	"135"	"275"	"32"	"17"	"20"	"44"	"523"
"238"	"183"	"124"	"142"	"10"	"4"	"4"	"12"	"296"
"239"	"183A"	"56"	"179"	"9"	"4"	"15"	"5"	"268"
"240"	"184"	"87"	"292"	"43"	"9"	"22"	"16"	"469"
"241"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"242"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"243"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"244"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"245"	"185"	"259"	"36"	"29"	"7"	"3"	"19"	"353"
"246"	"186"	"73"	"227"	"30"	"11"	"10"	"20"	"371"
"247"	"187"	"258"	"147"	"11"	"7"	"5"	"14"	"442"
"248"	"TOTAL GENERAL VOTES"	"29320"	"38139"	"7162"	"1601"	"2275"	"3091"	"81588"
"249"	"POSTAL VOTES"	""	"1"	""	""	""	""	""
"250"	"TOTAL VALID VOTES"	"29320"	"38140"	"7162"	"1601"	"2275"	"3091"	""
"251"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"252"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"253"	"RETURNING OFFICER                                                                        OBSERVER"	""	""	""	""	""	""	""
